ward,precinct,total,Mary Lane Mikva,Mary Lane Mikva Percent,"John R. """"Jack"""" Duffy","John R. """"Jack"""" Duffy Percent",precinct_id
42,33,182,137,75.27,45,24.73,42033
42,34,119,88,73.95,31,26.05,42034
42,35,98,89,90.82,9,9.18,42035
42,36,89,70,78.65,19,21.35,42036
42,37,137,125,91.24,12,8.76,42037
42,38,114,101,88.6,13,11.4,42038
42,39,122,96,78.69,26,21.31,42039
42,40,85,63,74.12,22,25.88,42040
42,41,109,82,75.23,27,24.77,42041
42,42,66,50,75.76,16,24.24,42042
42,43,121,102,84.3,19,15.7,42043
42,44,112,79,70.54,33,29.46,42044
42,45,105,83,79.05,22,20.95,42045
42,46,75,49,65.33,26,34.67,42046
42,47,76,64,84.21,12,15.79,42047
42,48,82,63,76.83,19,23.17,42048
42,49,54,37,68.52,17,31.48,42049
42,50,93,77,82.8,16,17.2,42050
42,51,101,79,78.22,22,21.78,42051
42,52,66,47,71.21,19,28.79,42052
42,53,76,57,75.0,19,25.0,42053
42,54,75,52,69.33,23,30.67,42054
42,55,100,75,75.0,25,25.0,42055
42,56,87,72,82.76,15,17.24,42056
42,57,75,54,72.0,21,28.0,42057
42,58,42,27,64.29,15,35.71,42058
42,59,18,12,66.67,6,33.33,42059
42,60,65,48,73.85,17,26.15,42060
42,61,54,44,81.48,10,18.52,42061
42,62,81,65,80.25,16,19.75,42062
42,63,114,108,94.74,6,5.26,42063
42,64,55,41,74.55,14,25.45,42064
42,65,88,70,79.55,18,20.45,42065
42,66,77,57,74.03,20,25.97,42066
42,67,65,42,64.62,23,35.38,42067
42,68,106,86,81.13,20,18.87,42068
43,1,71,53,74.65,18,25.35,43001
43,2,94,70,74.47,24,25.53,43002
43,3,103,88,85.44,15,14.56,43003
43,4,109,84,77.06,25,22.94,43004
43,5,85,73,85.88,12,14.12,43005
43,6,91,61,67.03,30,32.97,43006
43,7,60,50,83.33,10,16.67,43007
43,8,111,93,83.78,18,16.22,43008
43,9,73,59,80.82,14,19.18,43009
43,10,38,34,89.47,4,10.53,43010
43,11,56,49,87.5,7,12.5,43011
43,12,158,125,79.11,33,20.89,43012
43,13,55,49,89.09,6,10.91,43013
43,14,110,96,87.27,14,12.73,43014
43,15,93,84,90.32,9,9.68,43015
43,16,108,87,80.56,21,19.44,43016
43,17,59,50,84.75,9,15.25,43017
43,18,143,119,83.22,24,16.78,43018
43,19,88,72,81.82,16,18.18,43019
43,20,112,90,80.36,22,19.64,43020
43,21,49,41,83.67,8,16.33,43021
43,22,58,39,67.24,19,32.76,43022
43,23,95,71,74.74,24,25.26,43023
43,24,87,63,72.41,24,27.59,43024
43,25,97,72,74.23,25,25.77,43025
43,26,89,74,83.15,15,16.85,43026
43,27,93,69,74.19,24,25.81,43027
43,28,80,65,81.25,15,18.75,43028
43,29,102,78,76.47,24,23.53,43029
43,30,48,38,79.17,10,20.83,43030
43,31,85,71,83.53,14,16.47,43031
43,32,86,73,84.88,13,15.12,43032
43,33,62,56,90.32,6,9.68,43033
43,34,53,38,71.7,15,28.3,43034
43,35,120,95,79.17,25,20.83,43035
43,36,85,65,76.47,20,23.53,43036
43,37,82,71,86.59,11,13.41,43037
43,38,85,68,80.0,17,20.0,43038
43,39,60,42,70.0,18,30.0,43039
43,40,71,51,71.83,20,28.17,43040
43,41,59,48,81.36,11,18.64,43041
43,42,114,95,83.33,19,16.67,43042
43,43,86,67,77.91,19,22.09,43043
43,44,103,79,76.7,24,23.3,43044
43,45,26,20,76.92,6,23.08,43045
43,46,137,109,79.56,28,20.44,43046
43,47,97,71,73.2,26,26.8,43047
43,48,102,79,77.45,23,22.55,43048
43,49,65,58,89.23,7,10.77,43049
43,50,75,56,74.67,19,25.33,43050
43,51,159,121,76.1,38,23.9,43051
43,52,96,74,77.08,22,22.92,43052
43,53,98,63,64.29,35,35.71,43053
43,54,87,53,60.92,34,39.08,43054
43,55,85,57,67.06,28,32.94,43055
43,56,89,80,89.89,9,10.11,43056
43,57,70,51,72.86,19,27.14,43057
43,58,140,117,83.57,23,16.43,43058
43,59,123,110,89.43,13,10.57,43059
43,60,48,40,83.33,8,16.67,43060
43,61,60,46,76.67,14,23.33,43061
43,62,92,74,80.43,18,19.57,43062
43,63,67,50,74.63,17,25.37,43063
43,64,71,62,87.32,9,12.68,43064
43,65,45,37,82.22,8,17.78,43065
43,66,32,25,78.13,7,21.88,43066
43,67,57,45,78.95,12,21.05,43067
44,1,129,102,79.07,27,20.93,44001
44,2,106,85,80.19,21,19.81,44002
44,3,188,171,90.96,17,9.04,44003
44,4,192,173,90.1,19,9.9,44004
44,5,158,127,80.38,31,19.62,44005
44,6,100,78,78.0,22,22.0,44006
44,7,138,111,80.43,27,19.57,44007
44,8,57,39,68.42,18,31.58,44008
44,9,144,112,77.78,32,22.22,44009
44,10,70,51,72.86,19,27.14,44010
44,11,132,103,78.03,29,21.97,44011
44,12,78,62,79.49,16,20.51,44012
44,13,99,79,79.8,20,20.2,44013
44,14,107,88,82.24,19,17.76,44014
44,15,168,148,88.1,20,11.9,44015
44,16,114,91,79.82,23,20.18,44016
44,17,150,126,84.0,24,16.0,44017
44,18,81,64,79.01,17,20.99,44018
44,19,83,71,85.54,12,14.46,44019
44,20,87,69,79.31,18,20.69,44020
44,21,140,111,79.29,29,20.71,44021
44,22,164,139,84.76,25,15.24,44022
44,23,115,94,81.74,21,18.26,44023
44,24,86,66,76.74,20,23.26,44024
44,25,110,82,74.55,28,25.45,44025
44,26,96,78,81.25,18,18.75,44026
44,27,115,94,81.74,21,18.26,44027
44,28,77,63,81.82,14,18.18,44028
44,29,110,94,85.45,16,14.55,44029
44,30,116,91,78.45,25,21.55,44030
44,31,111,86,77.48,25,22.52,44031
44,32,89,70,78.65,19,21.35,44032
44,33,198,158,79.8,40,20.2,44033
44,34,95,71,74.74,24,25.26,44034
44,35,96,75,78.13,21,21.88,44035
44,36,110,89,80.91,21,19.09,44036
44,37,174,150,86.21,24,13.79,44037
44,38,105,85,80.95,20,19.05,44038
44,39,89,64,71.91,25,28.09,44039
44,40,121,99,81.82,22,18.18,44040
44,41,111,84,75.68,27,24.32,44041
44,42,141,117,82.98,24,17.02,44042
44,43,130,106,81.54,24,18.46,44043
44,44,175,128,73.14,47,26.86,44044
44,45,138,100,72.46,38,27.54,44045
44,46,82,72,87.8,10,12.2,44046
44,47,151,119,78.81,32,21.19,44047
44,48,100,89,89.0,11,11.0,44048
44,49,261,218,83.52,43,16.48,44049
44,50,118,75,63.56,43,36.44,44050
46,1,287,242,84.32,45,15.68,46001
46,2,146,114,78.08,32,21.92,46002
46,3,201,155,77.11,46,22.89,46003
46,4,131,94,71.76,37,28.24,46004
46,5,147,96,65.31,51,34.69,46005
46,6,119,83,69.75,36,30.25,46006
46,7,183,164,89.62,19,10.38,46007
46,8,178,128,71.91,50,28.09,46008
46,9,135,90,66.67,45,33.33,46009
46,10,77,62,80.52,15,19.48,46010
46,11,183,137,74.86,46,25.14,46011
46,12,111,84,75.68,27,24.32,46012
46,13,163,126,77.3,37,22.7,46013
46,14,109,89,81.65,20,18.35,46014
46,15,162,129,79.63,33,20.37,46015
46,16,131,99,75.57,32,24.43,46016
46,17,224,185,82.59,39,17.41,46017
46,18,166,126,75.9,40,24.1,46018
46,19,161,136,84.47,25,15.53,46019
46,20,132,94,71.21,38,28.79,46020
46,22,99,62,62.63,37,37.37,46022
46,23,123,79,64.23,44,35.77,46023
46,24,104,84,80.77,20,19.23,46024
46,25,92,63,68.48,29,31.52,46025
46,26,135,94,69.63,41,30.37,46026
46,27,128,91,71.09,37,28.91,46027
46,28,134,97,72.39,37,27.61,46028
46,29,149,114,76.51,35,23.49,46029
46,30,172,121,70.35,51,29.65,46030
46,31,141,121,85.82,20,14.18,46031
46,32,141,108,76.6,33,23.4,46032
46,33,150,127,84.67,23,15.33,46033
46,34,173,126,72.83,47,27.17,46034
46,35,107,76,71.03,31,28.97,46035
46,36,158,127,80.38,31,19.62,46036
46,37,70,47,67.14,23,32.86,46037
46,38,66,49,74.24,17,25.76,46038
46,39,138,119,86.23,19,13.77,46039
46,40,108,79,73.15,29,26.85,46040
46,41,124,91,73.39,33,26.61,46041
46,42,150,100,66.67,50,33.33,46042
46,43,95,82,86.32,13,13.68,46043
47,18,158,130,82.28,28,17.72,47018
47,23,77,67,87.01,10,12.99,47023
47,24,123,97,78.86,26,21.14,47024
47,41,270,230,85.19,40,14.81,47041
47,44,145,110,75.86,35,24.14,47044
48,1,176,142,80.68,34,19.32,48001
48,3,180,136,75.56,44,24.44,48003
48,4,151,122,80.79,29,19.21,48004
48,5,139,102,73.38,37,26.62,48005
48,6,174,134,77.01,40,22.99,48006
48,7,128,113,88.28,15,11.72,48007
48,8,108,92,85.19,16,14.81,48008
48,9,140,111,79.29,29,20.71,48009
48,10,112,95,84.82,17,15.18,48010
48,11,207,188,90.82,19,9.18,48011
48,12,133,113,84.96,20,15.04,48012
48,14,189,147,77.78,42,22.22,48014
48,15,88,75,85.23,13,14.77,48015
48,16,115,96,83.48,19,16.52,48016
48,17,121,102,84.3,19,15.7,48017
48,18,124,85,68.55,39,31.45,48018
48,19,169,135,79.88,34,20.12,48019
48,20,74,68,91.89,6,8.11,48020
48,21,64,50,78.13,14,21.88,48021
48,23,150,107,71.33,43,28.67,48023
48,24,134,112,83.58,22,16.42,48024
48,25,118,89,75.42,29,24.58,48025
48,26,163,137,84.05,26,15.95,48026
48,27,77,48,62.34,29,37.66,48027
48,28,137,114,83.21,23,16.79,48028
48,29,161,147,91.3,14,8.7,48029
48,30,155,136,87.74,19,12.26,48030
48,31,120,90,75.0,30,25.0,48031
48,32,29,27,93.1,2,6.9,48032
48,34,62,41,66.13,21,33.87,48034
48,35,131,107,81.68,24,18.32,48035
48,36,122,98,80.33,24,19.67,48036
48,37,113,94,83.19,19,16.81,48037
48,38,195,152,77.95,43,22.05,48038
48,39,122,94,77.05,28,22.95,48039
48,40,70,55,78.57,15,21.43,48040
48,42,132,111,84.09,21,15.91,48042
48,43,152,136,89.47,16,10.53,48043
48,44,135,108,80.0,27,20.0,48044
48,45,117,87,74.36,30,25.64,48045
48,46,110,85,77.27,25,22.73,48046
48,47,110,84,76.36,26,23.64,48047
48,48,137,98,71.53,39,28.47,48048
48,49,29,24,82.76,5,17.24,48049
48,50,161,120,74.53,41,25.47,48050
48,51,187,155,82.89,32,17.11,48051
48,52,84,68,80.95,16,19.05,48052
48,53,0,0,0.0,0,0.0,48053
48,55,30,22,73.33,8,26.67,48055
48,56,116,71,61.21,45,38.79,48056
49,17,19,12,63.16,7,36.84,49017
