ward,precinct,total,Timothy Patrick Murphy,Timothy Patrick Murphy Percent,John Noonan Farrell,John Noonan Farrell Percent,Lisa R. Curcio,Lisa R. Curcio Percent,Mary Lou Ryan Norwell,Mary Lou Ryan Norwell Percent,Mary Beth Duffy,Mary Beth Duffy Percent,Edwin Jon Belz,Edwin Jon Belz Percent,Susan Patricia Malone,Susan Patricia Malone Percent,Terrence J. McConville,Terrence J. McConville Percent,precinct_id
2,15,30,11,36.67,2,6.67,2,6.67,6,20.0,3,10.0,1,3.33,5,16.67,0,0.0,02015
2,16,85,24,28.24,7,8.24,13,15.29,3,3.53,15,17.65,0,0.0,18,21.18,5,5.88,02016
2,17,123,43,34.96,7,5.69,13,10.57,19,15.45,11,8.94,2,1.63,25,20.33,3,2.44,02017
2,18,251,67,26.69,19,7.57,62,24.7,15,5.98,25,9.96,7,2.79,49,19.52,7,2.79,02018
2,19,80,30,37.5,5,6.25,9,11.25,11,13.75,14,17.5,2,2.5,6,7.5,3,3.75,02019
2,20,147,54,36.73,6,4.08,20,13.61,16,10.88,11,7.48,1,0.68,33,22.45,6,4.08,02020
2,21,163,53,32.52,5,3.07,24,14.72,17,10.43,23,14.11,4,2.45,31,19.02,6,3.68,02021
2,22,240,42,17.5,13,5.42,68,28.33,19,7.92,21,8.75,12,5.0,56,23.33,9,3.75,02022
2,23,99,34,34.34,9,9.09,13,13.13,6,6.06,14,14.14,1,1.01,16,16.16,6,6.06,02023
2,24,78,35,44.87,3,3.85,12,15.38,4,5.13,8,10.26,4,5.13,8,10.26,4,5.13,02024
2,25,74,22,29.73,3,4.05,12,16.22,1,1.35,8,10.81,2,2.7,23,31.08,3,4.05,02025
2,26,149,39,26.17,12,8.05,35,23.49,11,7.38,17,11.41,4,2.68,27,18.12,4,2.68,02026
2,27,76,28,36.84,3,3.95,4,5.26,11,14.47,8,10.53,3,3.95,12,15.79,7,9.21,02027
2,28,39,10,25.64,2,5.13,13,33.33,1,2.56,4,10.26,2,5.13,6,15.38,1,2.56,02028
2,29,60,17,28.33,1,1.67,16,26.67,1,1.67,7,11.67,1,1.67,15,25.0,2,3.33,02029
2,30,89,27,30.34,7,7.87,11,12.36,8,8.99,11,12.36,4,4.49,15,16.85,6,6.74,02030
2,31,154,48,31.17,4,2.6,9,5.84,21,13.64,15,9.74,1,0.65,46,29.87,10,6.49,02031
2,32,74,26,35.14,2,2.7,10,13.51,10,13.51,15,20.27,2,2.7,8,10.81,1,1.35,02032
2,33,83,27,32.53,4,4.82,7,8.43,7,8.43,8,9.64,2,2.41,22,26.51,6,7.23,02033
2,34,139,48,34.53,11,7.91,11,7.91,11,7.91,13,9.35,7,5.04,29,20.86,9,6.47,02034
2,35,36,8,22.22,2,5.56,12,33.33,3,8.33,6,16.67,4,11.11,1,2.78,0,0.0,02035
2,36,61,25,40.98,3,4.92,6,9.84,4,6.56,9,14.75,0,0.0,11,18.03,3,4.92,02036
2,37,147,29,19.73,8,5.44,39,26.53,12,8.16,15,10.2,6,4.08,30,20.41,8,5.44,02037
2,38,157,54,34.39,12,7.64,30,19.11,12,7.64,20,12.74,3,1.91,20,12.74,6,3.82,02038
2,39,123,41,33.33,9,7.32,20,16.26,6,4.88,18,14.63,6,4.88,17,13.82,6,4.88,02039
2,40,179,53,29.61,5,2.79,33,18.44,11,6.15,24,13.41,5,2.79,40,22.35,8,4.47,02040
2,41,81,29,35.8,4,4.94,6,7.41,9,11.11,10,12.35,2,2.47,19,23.46,2,2.47,02041
2,42,43,17,39.53,1,2.33,7,16.28,5,11.63,2,4.65,1,2.33,8,18.6,2,4.65,02042
2,43,178,49,27.53,7,3.93,45,25.28,9,5.06,24,13.48,5,2.81,33,18.54,6,3.37,02043
2,44,83,38,45.78,2,2.41,10,12.05,5,6.02,12,14.46,2,2.41,9,10.84,5,6.02,02044
2,45,115,43,37.39,6,5.22,11,9.57,9,7.83,15,13.04,3,2.61,23,20.0,5,4.35,02045
2,46,207,52,25.12,11,5.31,35,16.91,19,9.18,22,10.63,9,4.35,53,25.6,6,2.9,02046
2,47,145,56,38.62,6,4.14,21,14.48,5,3.45,21,14.48,5,3.45,21,14.48,10,6.9,02047
2,48,86,28,32.56,8,9.3,15,17.44,7,8.14,7,8.14,1,1.16,18,20.93,2,2.33,02048
2,49,106,19,17.92,5,4.72,33,31.13,6,5.66,7,6.6,9,8.49,25,23.58,2,1.89,02049
2,50,87,24,27.59,3,3.45,25,28.74,3,3.45,5,5.75,2,2.3,23,26.44,2,2.3,02050
2,51,108,41,37.96,7,6.48,7,6.48,11,10.19,12,11.11,4,3.7,20,18.52,6,5.56,02051
2,52,127,39,30.71,8,6.3,24,18.9,10,7.87,14,11.02,5,3.94,24,18.9,3,2.36,02052
2,53,65,26,40.0,2,3.08,9,13.85,6,9.23,10,15.38,4,6.15,6,9.23,2,3.08,02053
2,54,144,16,11.11,10,6.94,45,31.25,11,7.64,21,14.58,6,4.17,30,20.83,5,3.47,02054
2,55,29,6,20.69,3,10.34,12,41.38,1,3.45,3,10.34,0,0.0,2,6.9,2,6.9,02055
2,56,128,38,29.69,10,7.81,7,5.47,18,14.06,21,16.41,4,3.13,24,18.75,6,4.69,02056
2,57,77,21,27.27,11,14.29,8,10.39,6,7.79,9,11.69,2,2.6,16,20.78,4,5.19,02057
2,58,50,9,18.0,3,6.0,19,38.0,3,6.0,4,8.0,0,0.0,10,20.0,2,4.0,02058
2,59,146,27,18.49,6,4.11,50,34.25,8,5.48,18,12.33,6,4.11,23,15.75,8,5.48,02059
3,1,126,36,28.57,9,7.14,23,18.25,13,10.32,16,12.7,1,0.79,23,18.25,5,3.97,03001
3,2,219,60,27.4,9,4.11,58,26.48,24,10.96,19,8.68,6,2.74,35,15.98,8,3.65,03002
3,3,81,18,22.22,5,6.17,17,20.99,4,4.94,12,14.81,3,3.7,19,23.46,3,3.7,03003
3,4,53,20,37.74,1,1.89,5,9.43,7,13.21,5,9.43,3,5.66,11,20.75,1,1.89,03004
3,5,77,20,25.97,1,1.3,18,23.38,7,9.09,10,12.99,2,2.6,15,19.48,4,5.19,03005
3,6,91,31,34.07,8,8.79,4,4.4,6,6.59,18,19.78,1,1.1,19,20.88,4,4.4,03006
3,7,120,46,38.33,7,5.83,16,13.33,15,12.5,6,5.0,2,1.67,24,20.0,4,3.33,03007
3,8,31,7,22.58,0,0.0,4,12.9,0,0.0,5,16.13,1,3.23,11,35.48,3,9.68,03008
3,9,109,40,36.7,5,4.59,22,20.18,8,7.34,8,7.34,1,0.92,20,18.35,5,4.59,03009
3,10,80,23,28.75,2,2.5,29,36.25,6,7.5,8,10.0,1,1.25,9,11.25,2,2.5,03010
3,11,76,22,28.95,2,2.63,27,35.53,9,11.84,3,3.95,2,2.63,10,13.16,1,1.32,03011
3,12,166,42,25.3,12,7.23,49,29.52,12,7.23,14,8.43,5,3.01,25,15.06,7,4.22,03012
3,13,102,30,29.41,1,0.98,31,30.39,6,5.88,9,8.82,0,0.0,24,23.53,1,0.98,03013
3,14,59,13,22.03,5,8.47,13,22.03,5,8.47,8,13.56,2,3.39,10,16.95,3,5.08,03014
3,15,141,48,34.04,8,5.67,29,20.57,9,6.38,13,9.22,2,1.42,24,17.02,8,5.67,03015
3,16,265,55,20.75,11,4.15,105,39.62,20,7.55,25,9.43,2,0.75,40,15.09,7,2.64,03016
3,17,110,26,23.64,5,4.55,33,30.0,11,10.0,11,10.0,4,3.64,15,13.64,5,4.55,03017
3,18,108,23,21.3,6,5.56,47,43.52,9,8.33,9,8.33,2,1.85,10,9.26,2,1.85,03018
3,19,18,8,44.44,1,5.56,1,5.56,2,11.11,1,5.56,0,0.0,3,16.67,2,11.11,03019
3,20,8,5,62.5,0,0.0,0,0.0,0,0.0,2,25.0,0,0.0,0,0.0,1,12.5,03020
3,21,89,21,23.6,5,5.62,21,23.6,7,7.87,11,12.36,6,6.74,12,13.48,6,6.74,03021
3,22,98,23,23.47,6,6.12,37,37.76,5,5.1,9,9.18,1,1.02,12,12.24,5,5.1,03022
3,23,19,7,36.84,0,0.0,0,0.0,6,31.58,3,15.79,0,0.0,3,15.79,0,0.0,03023
3,24,119,40,33.61,6,5.04,36,30.25,11,9.24,5,4.2,2,1.68,13,10.92,6,5.04,03024
3,25,21,6,28.57,1,4.76,2,9.52,3,14.29,2,9.52,0,0.0,5,23.81,2,9.52,03025
3,26,106,28,26.42,3,2.83,43,40.57,9,8.49,10,9.43,1,0.94,10,9.43,2,1.89,03026
3,27,5,2,40.0,0,0.0,0,0.0,0,0.0,2,40.0,0,0.0,1,20.0,0,0.0,03027
3,28,70,26,37.14,4,5.71,13,18.57,5,7.14,6,8.57,2,2.86,9,12.86,5,7.14,03028
3,29,100,34,34.0,5,5.0,21,21.0,6,6.0,8,8.0,1,1.0,18,18.0,7,7.0,03029
3,30,109,36,33.03,4,3.67,27,24.77,16,14.68,8,7.34,2,1.83,12,11.01,4,3.67,03030
3,31,198,65,32.83,9,4.55,51,25.76,14,7.07,14,7.07,3,1.52,35,17.68,7,3.54,03031
3,32,94,34,36.17,4,4.26,18,19.15,8,8.51,11,11.7,0,0.0,17,18.09,2,2.13,03032
3,33,170,50,29.41,8,4.71,44,25.88,10,5.88,15,8.82,8,4.71,31,18.24,4,2.35,03033
3,34,104,16,15.38,3,2.88,38,36.54,15,14.42,12,11.54,2,1.92,14,13.46,4,3.85,03034
3,35,119,38,31.93,3,2.52,31,26.05,6,5.04,11,9.24,1,0.84,22,18.49,7,5.88,03035
3,36,75,22,29.33,4,5.33,16,21.33,4,5.33,8,10.67,0,0.0,19,25.33,2,2.67,03036
3,37,74,21,28.38,3,4.05,13,17.57,5,6.76,14,18.92,1,1.35,15,20.27,2,2.7,03037
3,38,34,9,26.47,0,0.0,10,29.41,0,0.0,6,17.65,1,2.94,4,11.76,4,11.76,03038
3,39,220,52,23.64,6,2.73,63,28.64,35,15.91,18,8.18,1,0.45,40,18.18,5,2.27,03039
3,40,118,34,28.81,6,5.08,28,23.73,10,8.47,13,11.02,3,2.54,20,16.95,4,3.39,03040
3,41,134,33,24.63,3,2.24,39,29.1,11,8.21,11,8.21,3,2.24,28,20.9,6,4.48,03041
3,42,106,32,30.19,6,5.66,32,30.19,6,5.66,6,5.66,1,0.94,20,18.87,3,2.83,03042
3,43,63,5,7.94,1,1.59,45,71.43,3,4.76,2,3.17,0,0.0,6,9.52,1,1.59,03043
3,44,65,27,41.54,2,3.08,14,21.54,5,7.69,7,10.77,0,0.0,9,13.85,1,1.54,03044
3,45,57,26,45.61,4,7.02,6,10.53,6,10.53,2,3.51,1,1.75,7,12.28,5,8.77,03045
3,46,127,37,29.13,2,1.57,26,20.47,17,13.39,16,12.6,2,1.57,19,14.96,8,6.3,03046
3,47,91,34,37.36,4,4.4,15,16.48,9,9.89,4,4.4,3,3.3,18,19.78,4,4.4,03047
3,48,106,38,35.85,4,3.77,28,26.42,7,6.6,6,5.66,1,0.94,20,18.87,2,1.89,03048
3,49,33,10,30.3,3,9.09,10,30.3,0,0.0,1,3.03,1,3.03,8,24.24,0,0.0,03049
3,50,142,23,16.2,10,7.04,70,49.3,9,6.34,14,9.86,1,0.7,11,7.75,4,2.82,03050
3,51,41,13,31.71,1,2.44,16,39.02,0,0.0,3,7.32,2,4.88,6,14.63,0,0.0,03051
3,52,62,19,30.65,0,0.0,25,40.32,2,3.23,1,1.61,2,3.23,12,19.35,1,1.61,03052
3,53,107,18,16.82,17,15.89,22,20.56,9,8.41,14,13.08,4,3.74,18,16.82,5,4.67,03053
3,54,96,19,19.79,7,7.29,34,35.42,2,2.08,10,10.42,7,7.29,12,12.5,5,5.21,03054
3,55,95,26,27.37,6,6.32,29,30.53,8,8.42,11,11.58,2,2.11,10,10.53,3,3.16,03055
3,56,103,32,31.07,5,4.85,25,24.27,9,8.74,7,6.8,1,0.97,20,19.42,4,3.88,03056
3,57,168,59,35.12,8,4.76,36,21.43,10,5.95,17,10.12,3,1.79,29,17.26,6,3.57,03057
3,58,43,7,16.28,4,9.3,13,30.23,2,4.65,8,18.6,1,2.33,8,18.6,0,0.0,03058
3,59,62,23,37.1,4,6.45,6,9.68,6,9.68,7,11.29,2,3.23,10,16.13,4,6.45,03059
3,60,129,39,30.23,9,6.98,27,20.93,13,10.08,9,6.98,6,4.65,24,18.6,2,1.55,03060
3,61,105,25,23.81,7,6.67,21,20.0,10,9.52,10,9.52,4,3.81,23,21.9,5,4.76,03061
3,62,67,25,37.31,4,5.97,17,25.37,2,2.99,7,10.45,2,2.99,5,7.46,5,7.46,03062
3,63,65,14,21.54,2,3.08,24,36.92,3,4.62,6,9.23,2,3.08,13,20.0,1,1.54,03063
4,1,164,31,18.9,4,2.44,39,23.78,10,6.1,14,8.54,3,1.83,57,34.76,6,3.66,04001
4,2,226,57,25.22,12,5.31,29,12.83,27,11.95,20,8.85,6,2.65,58,25.66,17,7.52,04002
4,3,226,37,16.37,10,4.42,26,11.5,27,11.95,13,5.75,2,0.88,103,45.58,8,3.54,04003
4,4,206,63,30.58,5,2.43,19,9.22,20,9.71,14,6.8,5,2.43,75,36.41,5,2.43,04004
4,5,193,49,25.39,7,3.63,21,10.88,23,11.92,18,9.33,5,2.59,60,31.09,10,5.18,04005
4,6,81,13,16.05,4,4.94,11,13.58,7,8.64,7,8.64,2,2.47,35,43.21,2,2.47,04006
4,7,120,33,27.5,4,3.33,16,13.33,6,5.0,7,5.83,0,0.0,52,43.33,2,1.67,04007
4,8,177,46,25.99,9,5.08,13,7.34,17,9.6,18,10.17,5,2.82,65,36.72,4,2.26,04008
4,9,341,83,24.34,12,3.52,51,14.96,29,8.5,23,6.74,6,1.76,127,37.24,10,2.93,04009
4,10,197,49,24.87,6,3.05,24,12.18,15,7.61,18,9.14,5,2.54,72,36.55,8,4.06,04010
4,11,215,67,31.16,6,2.79,15,6.98,16,7.44,19,8.84,1,0.47,80,37.21,11,5.12,04011
4,12,102,26,25.49,6,5.88,8,7.84,12,11.76,10,9.8,4,3.92,32,31.37,4,3.92,04012
4,13,171,32,18.71,9,5.26,42,24.56,8,4.68,18,10.53,1,0.58,54,31.58,7,4.09,04013
4,14,105,24,22.86,5,4.76,14,13.33,11,10.48,7,6.67,0,0.0,43,40.95,1,0.95,04014
4,15,110,24,21.82,6,5.45,14,12.73,7,6.36,8,7.27,2,1.82,45,40.91,4,3.64,04015
4,16,254,68,26.77,13,5.12,22,8.66,23,9.06,20,7.87,7,2.76,89,35.04,12,4.72,04016
4,17,192,42,21.88,6,3.13,39,20.31,5,2.6,29,15.1,2,1.04,59,30.73,10,5.21,04017
4,18,197,29,14.72,8,4.06,10,5.08,8,4.06,19,9.64,3,1.52,113,57.36,7,3.55,04018
4,19,196,60,30.61,10,5.1,12,6.12,22,11.22,15,7.65,1,0.51,67,34.18,9,4.59,04019
4,20,54,18,33.33,2,3.7,4,7.41,4,7.41,5,9.26,2,3.7,19,35.19,0,0.0,04020
4,21,238,58,24.37,11,4.62,28,11.76,16,6.72,15,6.3,9,3.78,94,39.5,7,2.94,04021
4,22,241,35,14.52,9,3.73,37,15.35,15,6.22,16,6.64,6,2.49,114,47.3,9,3.73,04022
4,23,141,17,12.06,4,2.84,30,21.28,13,9.22,10,7.09,5,3.55,55,39.01,7,4.96,04023
4,24,242,48,19.83,14,5.79,34,14.05,13,5.37,13,5.37,8,3.31,107,44.21,5,2.07,04024
4,25,178,35,19.66,4,2.25,25,14.04,12,6.74,18,10.11,1,0.56,74,41.57,9,5.06,04025
4,26,172,55,31.98,6,3.49,18,10.47,12,6.98,14,8.14,1,0.58,59,34.3,7,4.07,04026
4,27,225,71,31.56,8,3.56,26,11.56,22,9.78,16,7.11,3,1.33,67,29.78,12,5.33,04027
4,28,128,22,17.19,5,3.91,29,22.66,7,5.47,6,4.69,4,3.13,52,40.63,3,2.34,04028
4,29,147,40,27.21,8,5.44,21,14.29,6,4.08,8,5.44,3,2.04,57,38.78,4,2.72,04029
4,30,48,21,43.75,4,8.33,3,6.25,3,6.25,4,8.33,0,0.0,10,20.83,3,6.25,04030
4,31,44,12,27.27,3,6.82,4,9.09,7,15.91,5,11.36,2,4.55,10,22.73,1,2.27,04031
4,32,213,32,15.02,1,0.47,50,23.47,9,4.23,9,4.23,11,5.16,98,46.01,3,1.41,04032
4,33,75,15,20.0,6,8.0,5,6.67,7,9.33,4,5.33,0,0.0,35,46.67,3,4.0,04033
4,34,137,15,10.95,2,1.46,25,18.25,5,3.65,9,6.57,3,2.19,75,54.74,3,2.19,04034
4,35,97,18,18.56,2,2.06,8,8.25,14,14.43,17,17.53,5,5.15,24,24.74,9,9.28,04035
4,36,77,18,23.38,3,3.9,8,10.39,2,2.6,6,7.79,2,2.6,33,42.86,5,6.49,04036
4,37,85,39,45.88,4,4.71,5,5.88,15,17.65,7,8.24,1,1.18,13,15.29,1,1.18,04037
4,38,267,41,15.36,11,4.12,43,16.1,17,6.37,20,7.49,10,3.75,114,42.7,11,4.12,04038
4,39,79,24,30.38,0,0.0,6,7.59,7,8.86,6,7.59,2,2.53,24,30.38,10,12.66,04039
4,40,159,33,20.75,8,5.03,17,10.69,18,11.32,15,9.43,3,1.89,62,38.99,3,1.89,04040
4,41,88,11,12.5,0,0.0,19,21.59,3,3.41,6,6.82,2,2.27,42,47.73,5,5.68,04041
4,42,189,46,24.34,7,3.7,31,16.4,16,8.47,25,13.23,4,2.12,50,26.46,10,5.29,04042
4,43,128,17,13.28,6,4.69,17,13.28,5,3.91,12,9.38,2,1.56,66,51.56,3,2.34,04043
4,44,116,14,12.07,4,3.45,29,25.0,6,5.17,10,8.62,2,1.72,47,40.52,4,3.45,04044
4,45,309,45,14.56,10,3.24,40,12.94,20,6.47,16,5.18,11,3.56,158,51.13,9,2.91,04045
4,46,168,35,20.83,7,4.17,31,18.45,12,7.14,16,9.52,3,1.79,58,34.52,6,3.57,04046
4,47,282,55,19.5,9,3.19,36,12.77,10,3.55,21,7.45,11,3.9,128,45.39,12,4.26,04047
4,48,266,51,19.17,4,1.5,58,21.8,11,4.14,13,4.89,9,3.38,114,42.86,6,2.26,04048
4,49,81,22,27.16,6,7.41,5,6.17,8,9.88,5,6.17,1,1.23,32,39.51,2,2.47,04049
4,50,148,46,31.08,5,3.38,16,10.81,9,6.08,19,12.84,5,3.38,36,24.32,12,8.11,04050
4,51,206,41,19.9,17,8.25,29,14.08,21,10.19,15,7.28,3,1.46,66,32.04,14,6.8,04051
4,52,36,16,44.44,4,11.11,1,2.78,6,16.67,5,13.89,1,2.78,3,8.33,0,0.0,04052
4,53,169,45,26.63,3,1.78,32,18.93,16,9.47,7,4.14,3,1.78,56,33.14,7,4.14,04053
4,54,89,21,23.6,1,1.12,12,13.48,7,7.87,7,7.87,1,1.12,39,43.82,1,1.12,04054
4,55,125,8,6.4,1,0.8,26,20.8,4,3.2,7,5.6,5,4.0,72,57.6,2,1.6,04055
4,56,222,71,31.98,5,2.25,25,11.26,25,11.26,20,9.01,7,3.15,60,27.03,9,4.05,04056
4,57,111,23,20.72,7,6.31,22,19.82,12,10.81,14,12.61,4,3.6,24,21.62,5,4.5,04057
5,1,150,40,26.67,5,3.33,25,16.67,12,8.0,14,9.33,2,1.33,47,31.33,5,3.33,05001
5,2,166,46,27.71,10,6.02,26,15.66,20,12.05,19,11.45,1,0.6,43,25.9,1,0.6,05002
5,3,99,27,27.27,2,2.02,22,22.22,5,5.05,1,1.01,5,5.05,35,35.35,2,2.02,05003
5,4,146,45,30.82,7,4.79,21,14.38,12,8.22,12,8.22,2,1.37,39,26.71,8,5.48,05004
5,5,144,65,45.14,8,5.56,18,12.5,10,6.94,15,10.42,1,0.69,20,13.89,7,4.86,05005
5,6,184,54,29.35,3,1.63,24,13.04,15,8.15,21,11.41,2,1.09,52,28.26,13,7.07,05006
5,7,177,43,24.29,8,4.52,26,14.69,18,10.17,25,14.12,8,4.52,36,20.34,13,7.34,05007
5,8,222,20,9.01,6,2.7,56,25.23,3,1.35,24,10.81,13,5.86,95,42.79,5,2.25,05008
5,9,173,56,32.37,8,4.62,27,15.61,15,8.67,17,9.83,1,0.58,46,26.59,3,1.73,05009
5,10,159,55,34.59,8,5.03,17,10.69,13,8.18,22,13.84,2,1.26,31,19.5,11,6.92,05010
5,11,185,26,14.05,7,3.78,54,29.19,7,3.78,10,5.41,11,5.95,64,34.59,6,3.24,05011
5,12,124,40,32.26,9,7.26,19,15.32,10,8.06,7,5.65,2,1.61,30,24.19,7,5.65,05012
5,13,142,51,35.92,2,1.41,22,15.49,13,9.15,14,9.86,2,1.41,30,21.13,8,5.63,05013
5,14,233,26,11.16,13,5.58,67,28.76,18,7.73,22,9.44,8,3.43,74,31.76,5,2.15,05014
5,15,158,27,17.09,8,5.06,27,17.09,15,9.49,13,8.23,6,3.8,57,36.08,5,3.16,05015
5,16,132,48,36.36,5,3.79,20,15.15,13,9.85,18,13.64,3,2.27,20,15.15,5,3.79,05016
5,17,188,60,31.91,9,4.79,35,18.62,17,9.04,22,11.7,1,0.53,37,19.68,7,3.72,05017
5,18,186,63,33.87,5,2.69,29,15.59,15,8.06,22,11.83,4,2.15,42,22.58,6,3.23,05018
