ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Anthony W. Williams,Anthony W. Williams Percent,Everett Drayden Shumpert,Everett Drayden Shumpert Percent,Melvin (Mel) J. Reynolds,Melvin (Mel) J. Reynolds Percent,precinct_id
7,28,212,194,91.51,3,1.42,2,0.94,13,6.13,07028
7,29,136,127,93.38,2,1.47,0,0.0,7,5.15,07029
7,30,256,236,92.19,9,3.52,0,0.0,11,4.3,07030
7,31,224,214,95.54,4,1.79,1,0.45,5,2.23,07031
7,32,158,141,89.24,5,3.16,3,1.9,9,5.7,07032
7,33,172,158,91.86,4,2.33,0,0.0,10,5.81,07033
7,34,198,193,97.47,1,0.51,0,0.0,4,2.02,07034
7,35,124,116,93.55,2,1.61,3,2.42,3,2.42,07035
7,36,258,236,91.47,9,3.49,0,0.0,13,5.04,07036
7,37,105,96,91.43,2,1.9,0,0.0,7,6.67,07037
7,38,154,134,87.01,6,3.9,1,0.65,13,8.44,07038
7,39,182,170,93.41,1,0.55,0,0.0,11,6.04,07039
7,40,204,179,87.75,11,5.39,1,0.49,13,6.37,07040
7,41,161,148,91.93,1,0.62,0,0.0,12,7.45,07041
7,42,287,266,92.68,3,1.05,0,0.0,18,6.27,07042
7,43,224,210,93.75,6,2.68,1,0.45,7,3.13,07043
7,44,284,262,92.25,12,4.23,0,0.0,10,3.52,07044
7,45,320,311,97.19,4,1.25,0,0.0,5,1.56,07045
7,46,88,79,89.77,4,4.55,1,1.14,4,4.55,07046
7,47,164,151,92.07,5,3.05,0,0.0,8,4.88,07047
7,48,92,88,95.65,0,0.0,0,0.0,4,4.35,07048
7,49,131,117,89.31,2,1.53,1,0.76,11,8.4,07049
7,50,157,147,93.63,1,0.64,0,0.0,9,5.73,07050
7,51,173,166,95.95,2,1.16,0,0.0,5,2.89,07051
7,52,181,174,96.13,3,1.66,0,0.0,4,2.21,07052
7,53,185,172,92.97,3,1.62,1,0.54,9,4.86,07053
7,54,83,77,92.77,1,1.2,1,1.2,4,4.82,07054
7,55,187,171,91.44,6,3.21,0,0.0,10,5.35,07055
7,56,166,151,90.96,3,1.81,0,0.0,12,7.23,07056
7,57,173,155,89.6,3,1.73,2,1.16,13,7.51,07057
7,58,270,250,92.59,6,2.22,0,0.0,14,5.19,07058
7,59,107,96,89.72,6,5.61,0,0.0,5,4.67,07059
7,60,152,141,92.76,1,0.66,2,1.32,8,5.26,07060
7,61,182,164,90.11,1,0.55,0,0.0,17,9.34,07061
7,62,206,197,95.63,1,0.49,0,0.0,8,3.88,07062
7,63,190,166,87.37,14,7.37,0,0.0,10,5.26,07063
7,64,186,174,93.55,7,3.76,3,1.61,2,1.08,07064
7,65,160,143,89.38,8,5.0,0,0.0,9,5.63,07065
8,3,284,259,91.2,10,3.52,1,0.35,14,4.93,08003
8,4,260,242,93.08,5,1.92,1,0.38,12,4.62,08004
8,5,317,297,93.69,9,2.84,0,0.0,11,3.47,08005
8,7,195,184,94.36,3,1.54,0,0.0,8,4.1,08007
8,8,322,311,96.58,3,0.93,0,0.0,8,2.48,08008
8,9,324,296,91.36,6,1.85,3,0.93,19,5.86,08009
8,15,224,207,92.41,3,1.34,3,1.34,11,4.91,08015
8,17,216,202,93.52,8,3.7,0,0.0,6,2.78,08017
8,19,306,278,90.85,12,3.92,0,0.0,16,5.23,08019
8,23,255,239,93.73,5,1.96,0,0.0,11,4.31,08023
8,24,277,259,93.5,5,1.81,1,0.36,12,4.33,08024
8,25,258,247,95.74,4,1.55,0,0.0,7,2.71,08025
8,26,184,165,89.67,3,1.63,1,0.54,15,8.15,08026
8,27,284,260,91.55,10,3.52,2,0.7,12,4.23,08027
8,28,229,218,95.2,2,0.87,3,1.31,6,2.62,08028
8,32,413,391,94.67,13,3.15,1,0.24,8,1.94,08032
8,34,274,241,87.96,8,2.92,4,1.46,21,7.66,08034
8,36,232,216,93.1,3,1.29,0,0.0,13,5.6,08036
8,39,297,288,96.97,1,0.34,1,0.34,7,2.36,08039
8,42,277,262,94.58,4,1.44,0,0.0,11,3.97,08042
8,44,203,181,89.16,7,3.45,1,0.49,14,6.9,08044
8,46,199,184,92.46,5,2.51,1,0.5,9,4.52,08046
8,47,262,246,93.89,5,1.91,0,0.0,11,4.2,08047
8,49,293,269,91.81,7,2.39,1,0.34,16,5.46,08049
8,50,258,237,91.86,7,2.71,2,0.78,12,4.65,08050
8,51,311,300,96.46,6,1.93,1,0.32,4,1.29,08051
8,57,222,205,92.34,4,1.8,1,0.45,12,5.41,08057
8,60,219,203,92.69,7,3.2,0,0.0,9,4.11,08060
8,62,234,219,93.59,3,1.28,0,0.0,12,5.13,08062
8,63,292,265,90.75,7,2.4,2,0.68,18,6.16,08063
8,65,169,161,95.27,3,1.78,1,0.59,4,2.37,08065
8,66,331,303,91.54,4,1.21,2,0.6,22,6.65,08066
8,70,291,268,92.1,12,4.12,1,0.34,10,3.44,08070
9,1,289,263,91.0,11,3.81,0,0.0,15,5.19,09001
9,2,271,250,92.25,3,1.11,1,0.37,17,6.27,09002
9,3,164,140,85.37,13,7.93,1,0.61,10,6.1,09003
9,4,280,250,89.29,8,2.86,1,0.36,21,7.5,09004
9,5,223,201,90.13,4,1.79,0,0.0,18,8.07,09005
9,6,254,226,88.98,13,5.12,1,0.39,14,5.51,09006
9,7,243,211,86.83,11,4.53,0,0.0,21,8.64,09007
9,8,188,171,90.96,6,3.19,0,0.0,11,5.85,09008
9,9,278,249,89.57,10,3.6,0,0.0,19,6.83,09009
9,10,231,215,93.07,6,2.6,1,0.43,9,3.9,09010
9,11,128,107,83.59,9,7.03,2,1.56,10,7.81,09011
9,12,250,235,94.0,3,1.2,1,0.4,11,4.4,09012
9,13,346,318,91.91,10,2.89,1,0.29,17,4.91,09013
9,14,353,329,93.2,7,1.98,0,0.0,17,4.82,09014
9,15,102,91,89.22,5,4.9,0,0.0,6,5.88,09015
9,16,229,205,89.52,6,2.62,0,0.0,18,7.86,09016
9,17,214,209,97.66,1,0.47,0,0.0,4,1.87,09017
9,18,249,218,87.55,10,4.02,1,0.4,20,8.03,09018
9,19,300,280,93.33,5,1.67,0,0.0,15,5.0,09019
9,20,292,268,91.78,5,1.71,1,0.34,18,6.16,09020
9,21,190,176,92.63,2,1.05,0,0.0,12,6.32,09021
9,22,277,250,90.25,8,2.89,2,0.72,17,6.14,09022
9,23,192,171,89.06,8,4.17,0,0.0,13,6.77,09023
9,24,130,114,87.69,3,2.31,1,0.77,12,9.23,09024
9,25,104,94,90.38,3,2.88,2,1.92,5,4.81,09025
9,26,163,141,86.5,10,6.13,0,0.0,12,7.36,09026
9,27,133,123,92.48,5,3.76,0,0.0,5,3.76,09027
9,28,137,108,78.83,11,8.03,0,0.0,18,13.14,09028
9,29,186,172,92.47,2,1.08,2,1.08,10,5.38,09029
9,30,192,172,89.58,6,3.13,0,0.0,14,7.29,09030
9,31,205,187,91.22,9,4.39,1,0.49,8,3.9,09031
9,32,262,250,95.42,1,0.38,0,0.0,11,4.2,09032
9,33,163,150,92.02,11,6.75,0,0.0,2,1.23,09033
9,34,204,188,92.16,4,1.96,1,0.49,11,5.39,09034
9,35,260,231,88.85,8,3.08,1,0.38,20,7.69,09035
9,36,109,95,87.16,4,3.67,0,0.0,10,9.17,09036
9,37,153,118,77.12,15,9.8,6,3.92,14,9.15,09037
9,38,244,228,93.44,5,2.05,0,0.0,11,4.51,09038
9,39,221,201,90.95,8,3.62,0,0.0,12,5.43,09039
9,40,283,251,88.69,9,3.18,2,0.71,21,7.42,09040
9,41,319,267,83.7,12,3.76,1,0.31,39,12.23,09041
9,42,155,133,85.81,9,5.81,3,1.94,10,6.45,09042
9,43,160,141,88.13,4,2.5,0,0.0,15,9.38,09043
9,44,176,159,90.34,3,1.7,1,0.57,13,7.39,09044
9,45,246,219,89.02,9,3.66,0,0.0,18,7.32,09045
9,46,209,189,90.43,6,2.87,3,1.44,11,5.26,09046
9,47,146,128,87.67,4,2.74,3,2.05,11,7.53,09047
9,48,267,248,92.88,5,1.87,2,0.75,12,4.49,09048
9,49,89,77,86.52,3,3.37,1,1.12,8,8.99,09049
9,50,98,93,94.9,1,1.02,0,0.0,4,4.08,09050
9,51,165,156,94.55,2,1.21,0,0.0,7,4.24,09051
9,52,281,258,91.81,7,2.49,2,0.71,14,4.98,09052
9,53,178,156,87.64,3,1.69,1,0.56,18,10.11,09053
9,55,131,117,89.31,4,3.05,2,1.53,8,6.11,09055
9,57,129,95,73.64,17,13.18,6,4.65,11,8.53,09057
10,1,161,138,85.71,1,0.62,5,3.11,17,10.56,10001
10,2,116,77,66.38,19,16.38,10,8.62,10,8.62,10002
10,3,177,110,62.15,33,18.64,13,7.34,21,11.86,10003
10,4,128,99,77.34,11,8.59,0,0.0,18,14.06,10004
10,5,135,90,66.67,22,16.3,9,6.67,14,10.37,10005
10,6,182,164,90.11,5,2.75,0,0.0,13,7.14,10006
10,7,33,28,84.85,1,3.03,0,0.0,4,12.12,10007
10,8,136,85,62.5,20,14.71,11,8.09,20,14.71,10008
10,9,166,110,66.27,22,13.25,16,9.64,18,10.84,10009
10,10,146,88,60.27,25,17.12,6,4.11,27,18.49,10010
10,11,136,98,72.06,13,9.56,9,6.62,16,11.76,10011
10,12,101,67,66.34,12,11.88,5,4.95,17,16.83,10012
10,13,133,84,63.16,15,11.28,13,9.77,21,15.79,10013
10,14,153,97,63.4,22,14.38,17,11.11,17,11.11,10014
10,15,62,41,66.13,9,14.52,6,9.68,6,9.68,10015
10,16,153,97,63.4,20,13.07,8,5.23,28,18.3,10016
10,17,98,68,69.39,12,12.24,10,10.2,8,8.16,10017
10,18,128,102,79.69,12,9.38,3,2.34,11,8.59,10018
10,19,156,104,66.67,22,14.1,15,9.62,15,9.62,10019
10,20,110,75,68.18,11,10.0,8,7.27,16,14.55,10020
10,21,97,54,55.67,15,15.46,5,5.15,23,23.71,10021
10,22,40,29,72.5,6,15.0,2,5.0,3,7.5,10022
10,23,107,76,71.03,8,7.48,6,5.61,17,15.89,10023
10,24,114,73,64.04,17,14.91,6,5.26,18,15.79,10024
10,25,195,160,82.05,9,4.62,5,2.56,21,10.77,10025
10,26,99,66,66.67,11,11.11,9,9.09,13,13.13,10026
10,27,159,109,68.55,16,10.06,10,6.29,24,15.09,10027
10,28,163,149,91.41,4,2.45,3,1.84,7,4.29,10028
10,29,166,142,85.54,4,2.41,1,0.6,19,11.45,10029
10,30,156,107,68.59,16,10.26,11,7.05,22,14.1,10030
10,31,147,97,65.99,22,14.97,9,6.12,19,12.93,10031
10,32,146,103,70.55,12,8.22,9,6.16,22,15.07,10032
10,33,117,81,69.23,15,12.82,9,7.69,12,10.26,10033
10,34,128,86,67.19,13,10.16,11,8.59,18,14.06,10034
10,35,135,96,71.11,13,9.63,6,4.44,20,14.81,10035
10,36,179,142,79.33,14,7.82,7,3.91,16,8.94,10036
10,37,118,101,85.59,5,4.24,4,3.39,8,6.78,10037
10,38,185,119,64.32,25,13.51,16,8.65,25,13.51,10038
10,39,133,79,59.4,18,13.53,10,7.52,26,19.55,10039
10,40,141,112,79.43,9,6.38,8,5.67,12,8.51,10040
10,41,150,100,66.67,17,11.33,10,6.67,23,15.33,10041
10,42,133,81,60.9,17,12.78,5,3.76,30,22.56,10042
10,43,55,47,85.45,4,7.27,0,0.0,4,7.27,10043
10,44,105,67,63.81,20,19.05,7,6.67,11,10.48,10044
10,45,87,56,64.37,9,10.34,6,6.9,16,18.39,10045
10,46,132,95,71.97,12,9.09,8,6.06,17,12.88,10046
10,47,141,108,76.6,11,7.8,7,4.96,15,10.64,10047
10,48,115,92,80.0,7,6.09,4,3.48,12,10.43,10048
10,49,106,91,85.85,8,7.55,1,0.94,6,5.66,10049
34,1,318,294,92.45,6,1.89,0,0.0,18,5.66,34001
34,2,243,231,95.06,4,1.65,0,0.0,8,3.29,34002
34,3,174,158,90.8,6,3.45,3,1.72,7,4.02,34003
34,4,206,194,94.17,3,1.46,0,0.0,9,4.37,34004
34,5,169,161,95.27,2,1.18,1,0.59,5,2.96,34005
34,6,143,135,94.41,1,0.7,1,0.7,6,4.2,34006
34,7,322,287,89.13,12,3.73,3,0.93,20,6.21,34007
34,8,289,274,94.81,4,1.38,2,0.69,9,3.11,34008
34,9,202,189,93.56,7,3.47,0,0.0,6,2.97,34009
34,10,338,314,92.9,9,2.66,0,0.0,15,4.44,34010
34,11,183,163,89.07,4,2.19,1,0.55,15,8.2,34011
34,12,236,226,95.76,3,1.27,2,0.85,5,2.12,34012
34,14,176,164,93.18,4,2.27,1,0.57,7,3.98,34014
34,15,200,188,94.0,3,1.5,3,1.5,6,3.0,34015
34,16,142,128,90.14,2,1.41,1,0.7,11,7.75,34016
34,17,210,187,89.05,7,3.33,1,0.48,15,7.14,34017
34,18,182,167,91.76,4,2.2,0,0.0,11,6.04,34018
34,19,181,177,97.79,1,0.55,1,0.55,2,1.1,34019
34,20,343,329,95.92,6,1.75,1,0.29,7,2.04,34020
34,21,270,255,94.44,5,1.85,0,0.0,10,3.7,34021
34,22,304,289,95.07,7,2.3,0,0.0,8,2.63,34022
34,23,206,189,91.75,9,4.37,1,0.49,7,3.4,34023
34,24,249,233,93.57,4,1.61,2,0.8,10,4.02,34024
34,25,144,131,90.97,3,2.08,1,0.69,9,6.25,34025
34,26,201,191,95.02,1,0.5,2,1.0,7,3.48,34026
34,27,146,133,91.1,7,4.79,0,0.0,6,4.11,34027
34,28,155,147,94.84,4,2.58,0,0.0,4,2.58,34028
34,29,327,304,92.97,8,2.45,1,0.31,14,4.28,34029
34,30,345,301,87.25,27,7.83,1,0.29,16,4.64,34030
34,31,150,136,90.67,3,2.0,1,0.67,10,6.67,34031
34,32,291,271,93.13,8,2.75,0,0.0,12,4.12,34032
34,34,259,234,90.35,4,1.54,1,0.39,20,7.72,34034
34,35,297,273,91.92,9,3.03,1,0.34,14,4.71,34035
34,36,298,272,91.28,5,1.68,1,0.34,20,6.71,34036
34,37,125,113,90.4,3,2.4,1,0.8,8,6.4,34037
34,38,148,134,90.54,4,2.7,0,0.0,10,6.76,34038
34,39,165,150,90.91,3,1.82,0,0.0,12,7.27,34039
34,40,267,247,92.51,4,1.5,3,1.12,13,4.87,34040
34,41,221,204,92.31,9,4.07,0,0.0,8,3.62,34041
34,42,305,279,91.48,17,5.57,0,0.0,9,2.95,34042
34,43,272,256,94.12,3,1.1,0,0.0,13,4.78,34043
34,44,279,258,92.47,9,3.23,2,0.72,10,3.58,34044
34,45,312,300,96.15,3,0.96,0,0.0,9,2.88,34045
34,46,173,164,94.8,4,2.31,0,0.0,5,2.89,34046
34,48,274,256,93.43,14,5.11,0,0.0,4,1.46,34048
34,49,288,273,94.79,7,2.43,1,0.35,7,2.43,34049
34,50,210,196,93.33,5,2.38,1,0.48,8,3.81,34050
34,52,184,169,91.85,4,2.17,3,1.63,8,4.35,34052
34,53,205,190,92.68,5,2.44,1,0.49,9,4.39,34053
34,54,194,181,93.3,6,3.09,0,0.0,7,3.61,34054
34,55,179,170,94.97,2,1.12,3,1.68,4,2.23,34055
34,56,184,169,91.85,8,4.35,0,0.0,7,3.8,34056
34,57,125,110,88.0,5,4.0,1,0.8,9,7.2,34057
34,58,188,178,94.68,3,1.6,1,0.53,6,3.19,34058
34,59,208,193,92.79,4,1.92,0,0.0,11,5.29,34059
34,60,145,138,95.17,1,0.69,2,1.38,4,2.76,34060
34,61,124,117,94.35,2,1.61,0,0.0,5,4.03,34061
34,63,222,203,91.44,4,1.8,0,0.0,15,6.76,34063
34,65,71,68,95.77,1,1.41,0,0.0,2,2.82,34065
34,68,140,130,92.86,4,2.86,0,0.0,6,4.29,34068
