ward,precinct,total,Marcellus Barnes (Dean),Marcellus Barnes (Dean) Percent,"Chester Wilson, Jr. (Edwards)","Chester Wilson, Jr. (Edwards) Percent",Gilbert Delgado (Kerry),Gilbert Delgado (Kerry) Percent,Calvin Jordan (Braun),Calvin Jordan (Braun) Percent,precinct_id
9,16,182,35,19.23,24,13.19,53,29.12,70,38.46,09016
9,17,161,33,20.5,15,9.32,60,37.27,53,32.92,09017
9,18,185,44,23.78,31,16.76,62,33.51,48,25.95,09018
9,19,235,42,17.87,47,20.0,84,35.74,62,26.38,09019
9,20,207,43,20.77,20,9.66,85,41.06,59,28.5,09020
9,21,153,23,15.03,21,13.73,73,47.71,36,23.53,09021
9,22,199,31,15.58,22,11.06,83,41.71,63,31.66,09022
9,23,145,31,21.38,16,11.03,57,39.31,41,28.28,09023
9,24,93,24,25.81,9,9.68,26,27.96,34,36.56,09024
9,25,74,12,16.22,8,10.81,24,32.43,30,40.54,09025
9,26,134,28,20.9,12,8.96,49,36.57,45,33.58,09026
9,27,108,22,20.37,12,11.11,43,39.81,31,28.7,09027
9,28,101,12,11.88,14,13.86,52,51.49,23,22.77,09028
9,29,143,32,22.38,13,9.09,58,40.56,40,27.97,09029
9,30,171,18,10.53,21,12.28,92,53.8,40,23.39,09030
9,31,156,33,21.15,17,10.9,63,40.38,43,27.56,09031
9,32,208,27,12.98,33,15.87,77,37.02,71,34.13,09032
9,33,119,21,17.65,16,13.45,41,34.45,41,34.45,09033
9,34,150,25,16.67,13,8.67,54,36.0,58,38.67,09034
9,35,203,29,14.29,21,10.34,102,50.25,51,25.12,09035
9,36,87,17,19.54,8,9.2,32,36.78,30,34.48,09036
9,37,127,9,7.09,19,14.96,77,60.63,22,17.32,09037
9,38,183,26,14.21,28,15.3,73,39.89,56,30.6,09038
9,39,187,41,21.93,22,11.76,64,34.22,60,32.09,09039
9,40,211,29,13.74,27,12.8,87,41.23,68,32.23,09040
9,41,248,43,17.34,25,10.08,87,35.08,93,37.5,09041
9,42,113,22,19.47,14,12.39,30,26.55,47,41.59,09042
9,43,120,22,18.33,18,15.0,44,36.67,36,30.0,09043
9,44,133,25,18.8,16,12.03,44,33.08,48,36.09,09044
9,45,191,31,16.23,18,9.42,84,43.98,58,30.37,09045
9,46,150,24,16.0,25,16.67,54,36.0,47,31.33,09046
9,47,106,22,20.75,9,8.49,37,34.91,38,35.85,09047
9,48,212,26,12.26,21,9.91,92,43.4,73,34.43,09048
9,49,63,9,14.29,10,15.87,28,44.44,16,25.4,09049
9,50,66,10,15.15,8,12.12,25,37.88,23,34.85,09050
9,51,129,38,29.46,18,13.95,46,35.66,27,20.93,09051
9,52,210,26,12.38,19,9.05,106,50.48,59,28.1,09052
9,53,147,30,20.41,19,12.93,56,38.1,42,28.57,09053
9,55,110,19,17.27,12,10.91,45,40.91,34,30.91,09055
9,57,111,15,13.51,15,13.51,64,57.66,17,15.32,09057
10,1,114,14,12.28,10,8.77,70,61.4,20,17.54,10001
10,2,103,12,11.65,12,11.65,77,74.76,2,1.94,10002
10,3,176,23,13.07,27,15.34,118,67.05,8,4.55,10003
10,4,125,14,11.2,8,6.4,90,72.0,13,10.4,10004
10,5,119,9,7.56,16,13.45,87,73.11,7,5.88,10005
10,6,149,16,10.74,18,12.08,71,47.65,44,29.53,10006
10,7,28,1,3.57,2,7.14,21,75.0,4,14.29,10007
10,8,118,10,8.47,18,15.25,84,71.19,6,5.08,10008
10,9,157,11,7.01,28,17.83,114,72.61,4,2.55,10009
10,10,126,9,7.14,19,15.08,94,74.6,4,3.17,10010
10,11,134,19,14.18,13,9.7,97,72.39,5,3.73,10011
10,12,97,8,8.25,12,12.37,74,76.29,3,3.09,10012
10,13,118,9,7.63,19,16.1,87,73.73,3,2.54,10013
10,14,139,18,12.95,18,12.95,102,73.38,1,0.72,10014
10,15,57,6,10.53,6,10.53,43,75.44,2,3.51,10015
10,16,134,12,8.96,22,16.42,97,72.39,3,2.24,10016
10,17,93,8,8.6,10,10.75,70,75.27,5,5.38,10017
10,18,114,9,7.89,11,9.65,82,71.93,12,10.53,10018
10,19,143,13,9.09,16,11.19,110,76.92,4,2.8,10019
10,20,101,6,5.94,14,13.86,78,77.23,3,2.97,10020
10,21,85,10,11.76,13,15.29,59,69.41,3,3.53,10021
10,22,35,3,8.57,4,11.43,27,77.14,1,2.86,10022
10,23,93,8,8.6,7,7.53,66,70.97,12,12.9,10023
10,24,103,10,9.71,18,17.48,73,70.87,2,1.94,10024
10,25,168,23,13.69,16,9.52,105,62.5,24,14.29,10025
10,26,90,5,5.56,7,7.78,71,78.89,7,7.78,10026
10,27,134,11,8.21,21,15.67,96,71.64,6,4.48,10027
10,28,138,12,8.7,15,10.87,72,52.17,39,28.26,10028
10,29,126,18,14.29,11,8.73,57,45.24,40,31.75,10029
10,30,136,15,11.03,14,10.29,95,69.85,12,8.82,10030
10,31,129,8,6.2,7,5.43,110,85.27,4,3.1,10031
10,32,121,12,9.92,22,18.18,83,68.6,4,3.31,10032
10,33,110,13,11.82,7,6.36,86,78.18,4,3.64,10033
10,34,125,15,12.0,15,12.0,89,71.2,6,4.8,10034
10,35,121,11,9.09,8,6.61,97,80.17,5,4.13,10035
10,36,153,18,11.76,12,7.84,99,64.71,24,15.69,10036
10,37,94,10,10.64,10,10.64,60,63.83,14,14.89,10037
10,38,162,20,12.35,27,16.67,108,66.67,7,4.32,10038
10,39,126,11,8.73,17,13.49,94,74.6,4,3.17,10039
10,40,133,3,2.26,8,6.02,113,84.96,9,6.77,10040
10,41,138,15,10.87,15,10.87,104,75.36,4,2.9,10041
10,42,123,11,8.94,22,17.89,87,70.73,3,2.44,10042
10,43,48,6,12.5,7,14.58,28,58.33,7,14.58,10043
10,44,95,7,7.37,9,9.47,74,77.89,5,5.26,10044
10,45,85,7,8.24,8,9.41,65,76.47,5,5.88,10045
10,46,112,11,9.82,10,8.93,85,75.89,6,5.36,10046
10,47,123,8,6.5,7,5.69,103,83.74,5,4.07,10047
10,48,96,14,14.58,9,9.38,60,62.5,13,13.54,10048
10,49,90,9,10.0,8,8.89,56,62.22,17,18.89,10049
34,1,255,35,13.73,66,25.88,94,36.86,60,23.53,34001
34,2,180,28,15.56,68,37.78,46,25.56,38,21.11,34002
34,3,139,34,24.46,17,12.23,45,32.37,43,30.94,34003
34,4,151,27,17.88,52,34.44,36,23.84,36,23.84,34004
34,5,127,24,18.9,47,37.01,29,22.83,27,21.26,34005
34,6,118,18,15.25,36,30.51,36,30.51,28,23.73,34006
34,7,255,28,10.98,90,35.29,78,30.59,59,23.14,34007
34,8,230,40,17.39,61,26.52,75,32.61,54,23.48,34008
34,9,163,22,13.5,54,33.13,48,29.45,39,23.93,34009
34,10,255,42,16.47,55,21.57,92,36.08,66,25.88,34010
34,11,147,23,15.65,52,35.37,38,25.85,34,23.13,34011
34,12,170,20,11.76,38,22.35,59,34.71,53,31.18,34012
34,14,142,19,13.38,29,20.42,44,30.99,50,35.21,34014
34,15,149,13,8.72,75,50.34,31,20.81,30,20.13,34015
34,16,117,20,17.09,33,28.21,37,31.62,27,23.08,34016
34,17,146,22,15.07,41,28.08,53,36.3,30,20.55,34017
34,18,144,20,13.89,44,30.56,42,29.17,38,26.39,34018
34,19,142,18,12.68,58,40.85,40,28.17,26,18.31,34019
34,20,277,31,11.19,119,42.96,67,24.19,60,21.66,34020
34,21,222,27,12.16,79,35.59,76,34.23,40,18.02,34021
34,22,238,24,10.08,82,34.45,70,29.41,62,26.05,34022
34,23,162,18,11.11,44,27.16,60,37.04,40,24.69,34023
34,24,192,20,10.42,74,38.54,59,30.73,39,20.31,34024
34,25,106,21,19.81,25,23.58,33,31.13,27,25.47,34025
34,26,159,20,12.58,72,45.28,41,25.79,26,16.35,34026
34,27,116,16,13.79,29,25.0,38,32.76,33,28.45,34027
34,28,134,12,8.96,86,64.18,21,15.67,15,11.19,34028
34,29,242,36,14.88,79,32.64,60,24.79,67,27.69,34029
34,30,264,29,10.98,58,21.97,88,33.33,89,33.71,34030
34,31,123,27,21.95,28,22.76,30,24.39,38,30.89,34031
34,32,231,30,12.99,51,22.08,86,37.23,64,27.71,34032
34,34,196,35,17.86,52,26.53,58,29.59,51,26.02,34034
34,35,227,34,14.98,70,30.84,71,31.28,52,22.91,34035
34,36,217,22,10.14,69,31.8,70,32.26,56,25.81,34036
34,37,92,15,16.3,35,38.04,21,22.83,21,22.83,34037
34,38,117,14,11.97,66,56.41,21,17.95,16,13.68,34038
34,39,134,30,22.39,22,16.42,49,36.57,33,24.63,34039
34,40,211,28,13.27,73,34.6,63,29.86,47,22.27,34040
34,41,163,33,20.25,45,27.61,48,29.45,37,22.7,34041
34,42,237,39,16.46,58,24.47,85,35.86,55,23.21,34042
34,43,194,21,10.82,60,30.93,58,29.9,55,28.35,34043
34,44,232,14,6.03,108,46.55,72,31.03,38,16.38,34044
34,45,226,28,12.39,62,27.43,83,36.73,53,23.45,34045
34,46,106,17,16.04,22,20.75,43,40.57,24,22.64,34046
34,48,199,45,22.61,12,6.03,84,42.21,58,29.15,34048
34,49,237,37,15.61,69,29.11,84,35.44,47,19.83,34049
34,50,172,36,20.93,24,13.95,60,34.88,52,30.23,34050
34,52,153,22,14.38,63,41.18,37,24.18,31,20.26,34052
34,53,166,24,14.46,36,21.69,48,28.92,58,34.94,34053
34,54,145,19,13.1,52,35.86,41,28.28,33,22.76,34054
34,55,131,23,17.56,34,25.95,34,25.95,40,30.53,34055
34,56,148,12,8.11,47,31.76,47,31.76,42,28.38,34056
34,57,101,22,21.78,12,11.88,33,32.67,34,33.66,34057
34,58,152,17,11.18,61,40.13,40,26.32,34,22.37,34058
34,59,146,13,8.9,48,32.88,49,33.56,36,24.66,34059
34,60,127,17,13.39,20,15.75,53,41.73,37,29.13,34060
34,61,95,11,11.58,29,30.53,31,32.63,24,25.26,34061
34,63,183,19,10.38,54,29.51,65,35.52,45,24.59,34063
34,65,59,9,15.25,16,27.12,22,37.29,12,20.34,34065
34,68,109,12,11.01,12,11.01,50,45.87,35,32.11,34068
