ward,precinct,total,Fred G. Lebed (Dean),Fred G. Lebed (Dean) Percent,Marion Murphy (Dean),Marion Murphy (Dean) Percent,Joseph M. Burns (Dean),Joseph M. Burns (Dean) Percent,Patricia E. Bolivar (Dean),Patricia E. Bolivar (Dean) Percent,Rachel M. Ostendorf (Dean),Rachel M. Ostendorf (Dean) Percent,Marjorie D. Zamora (Kucinich),Marjorie D. Zamora (Kucinich) Percent,Michael Foerstel (Kucinich),Michael Foerstel (Kucinich) Percent,"Theresa M. """"Teri"""" Pluta (Kucinich)","Theresa M. """"Teri"""" Pluta (Kucinich) Percent",Carl J. Holmgren (Kucinich),Carl J. Holmgren (Kucinich) Percent,"Pamela M. """"Pam"""" Paxton (Kucinich)","Pamela M. """"Pam"""" Paxton (Kucinich) Percent",Timothy A. Prorok (Kucinich),Timothy A. Prorok (Kucinich) Percent,Alfredo A. Pedroza (Braun),Alfredo A. Pedroza (Braun) Percent,John Fitzgerald (Braun),John Fitzgerald (Braun) Percent,Robert K. Gorman (Braun),Robert K. Gorman (Braun) Percent,Elizabeth Pedroza (Braun),Elizabeth Pedroza (Braun) Percent,Thomas J. Dart (Edwards),Thomas J. Dart (Edwards) Percent,Terrie Pickerill (Edwards),Terrie Pickerill (Edwards) Percent,Paul D. Newman (Edwards),Paul D. Newman (Edwards) Percent,Dolores J. Foertsch (Edwards),Dolores J. Foertsch (Edwards) Percent,Alvan Hui Tong Leung (Edwards),Alvan Hui Tong Leung (Edwards) Percent,Angela V. Venegas (Edwards),Angela V. Venegas (Edwards) Percent,Michael B. Stillman (Clark),Michael B. Stillman (Clark) Percent,John D. Carr (Clark),John D. Carr (Clark) Percent,Ron Pratl (Clark),Ron Pratl (Clark) Percent,Hollie Bush (Clark),Hollie Bush (Clark) Percent,Mary Newman (Clark),Mary Newman (Clark) Percent,Lisa Forde (Clark),Lisa Forde (Clark) Percent,Lisa Benigno-Praznowski (Kerry),Lisa Benigno-Praznowski (Kerry) Percent,James M. Ryan (Kerry),James M. Ryan (Kerry) Percent,Nora E. Rowley (Kerry),Nora E. Rowley (Kerry) Percent,Martin Joyce (Kerry),Martin Joyce (Kerry) Percent,Virginia L. Reyes (Kerry),Virginia L. Reyes (Kerry) Percent,Matthew J. O'Shea (Kerry),Matthew J. O'Shea (Kerry) Percent,Lenore Goodfriend (Lieberman),Lenore Goodfriend (Lieberman) Percent,Christopher Jutton (Lieberman),Christopher Jutton (Lieberman) Percent,"John """"Jack"""" Neven (Lieberman)","John """"Jack"""" Neven (Lieberman) Percent",Mary Jo Noonan (Lieberman),Mary Jo Noonan (Lieberman) Percent,Diane Viverito (Lieberman),Diane Viverito (Lieberman) Percent,precinct_id
13,5,428,15,3.5,19,4.44,9,2.1,16,3.74,10,2.34,11,2.57,8,1.87,9,2.1,5,1.17,9,2.1,5,1.17,6,1.4,5,1.17,1,0.23,5,1.17,4,0.93,6,1.4,6,1.4,4,0.93,4,0.93,9,2.1,1,0.23,1,0.23,1,0.23,1,0.23,0,0.0,0,0.0,37,8.64,38,8.88,40,9.35,39,9.11,38,8.88,37,8.64,2,0.47,1,0.23,4,0.93,6,1.4,4,0.93,13005
13,6,402,11,2.74,15,3.73,12,2.99,12,2.99,8,1.99,10,2.49,6,1.49,7,1.74,7,1.74,8,1.99,5,1.24,7,1.74,8,1.99,6,1.49,5,1.24,6,1.49,6,1.49,6,1.49,7,1.74,7,1.74,11,2.74,5,1.24,4,1.0,2,0.5,3,0.75,4,1.0,2,0.5,24,5.97,35,8.71,30,7.46,33,8.21,31,7.71,30,7.46,5,1.24,2,0.5,2,0.5,2,0.5,7,1.74,13006
13,7,408,14,3.43,13,3.19,12,2.94,15,3.68,15,3.68,16,3.92,9,2.21,18,4.41,8,1.96,16,3.92,9,2.21,4,0.98,3,0.74,0,0.0,4,0.98,7,1.72,8,1.96,8,1.96,9,2.21,6,1.47,8,1.96,4,0.98,3,0.74,2,0.49,3,0.74,3,0.74,2,0.49,28,6.86,28,6.86,32,7.84,31,7.6,27,6.62,23,5.64,1,0.25,3,0.74,2,0.49,1,0.25,2,0.49,13007
13,8,860,19,2.21,28,3.26,26,3.02,24,2.79,15,1.74,18,2.09,8,0.93,16,1.86,5,0.58,20,2.33,7,0.81,8,0.93,18,2.09,4,0.47,6,0.7,21,2.44,23,2.67,24,2.79,18,2.09,19,2.21,20,2.33,3,0.35,6,0.7,3,0.35,6,0.7,6,0.7,4,0.47,70,8.14,73,8.49,70,8.14,71,8.26,59,6.86,63,7.33,7,0.81,7,0.81,11,1.28,14,1.63,12,1.4,13008
13,9,531,18,3.39,27,5.08,18,3.39,29,5.46,20,3.77,8,1.51,7,1.32,7,1.32,3,0.56,13,2.45,3,0.56,6,1.13,15,2.82,0,0.0,5,0.94,7,1.32,6,1.13,7,1.32,7,1.32,6,1.13,12,2.26,7,1.32,9,1.69,9,1.69,7,1.32,7,1.32,9,1.69,35,6.59,41,7.72,43,8.1,32,6.03,42,7.91,37,6.97,2,0.38,1,0.19,1,0.19,3,0.56,4,0.75,13009
13,10,611,9,1.47,28,4.58,13,2.13,13,2.13,10,1.64,11,1.8,11,1.8,13,2.13,10,1.64,11,1.8,11,1.8,9,1.47,12,1.96,6,0.98,10,1.64,14,2.29,7,1.15,16,2.62,10,1.64,10,1.64,10,1.64,6,0.98,7,1.15,5,0.82,4,0.65,3,0.49,4,0.65,46,7.53,55,9.0,54,8.84,54,8.84,45,7.36,48,7.86,5,0.82,2,0.33,2,0.33,9,1.47,7,1.15,13010
13,11,334,11,3.29,23,6.89,13,3.89,10,2.99,13,3.89,3,0.9,1,0.3,3,0.9,2,0.6,6,1.8,3,0.9,5,1.5,3,0.9,3,0.9,3,0.9,7,2.1,6,1.8,6,1.8,5,1.5,5,1.5,9,2.69,1,0.3,3,0.9,0,0.0,1,0.3,1,0.3,1,0.3,25,7.49,30,8.98,29,8.68,28,8.38,28,8.38,24,7.19,2,0.6,2,0.6,0,0.0,2,0.6,4,1.2,13011
13,12,606,13,2.15,26,4.29,12,1.98,16,2.64,13,2.15,16,2.64,11,1.82,11,1.82,6,0.99,15,2.48,5,0.83,8,1.32,14,2.31,1,0.17,7,1.16,8,1.32,6,0.99,11,1.82,9,1.49,8,1.32,12,1.98,4,0.66,9,1.49,2,0.33,3,0.5,4,0.66,6,0.99,48,7.92,48,7.92,48,7.92,56,9.24,47,7.76,46,7.59,6,0.99,7,1.16,5,0.83,9,1.49,10,1.65,13012
13,13,423,17,4.02,21,4.96,14,3.31,13,3.07,10,2.36,9,2.13,7,1.65,10,2.36,9,2.13,11,2.6,6,1.42,6,1.42,3,0.71,0,0.0,6,1.42,9,2.13,6,1.42,8,1.89,9,2.13,8,1.89,10,2.36,2,0.47,1,0.24,0,0.0,1,0.24,2,0.47,1,0.24,35,8.27,36,8.51,35,8.27,32,7.57,35,8.27,29,6.86,2,0.47,2,0.47,2,0.47,1,0.24,3,0.71,13013
13,14,616,13,2.11,26,4.22,12,1.95,12,1.95,9,1.46,14,2.27,3,0.49,10,1.62,4,0.65,11,1.79,5,0.81,8,1.3,15,2.44,1,0.16,10,1.62,9,1.46,11,1.79,16,2.6,12,1.95,12,1.95,15,2.44,5,0.81,1,0.16,1,0.16,5,0.81,4,0.65,0,0.0,58,9.42,58,9.42,57,9.25,44,7.14,45,7.31,50,8.12,8,1.3,5,0.81,12,1.95,9,1.46,6,0.97,13014
13,15,614,25,4.07,25,4.07,21,3.42,24,3.91,14,2.28,20,3.26,9,1.47,18,2.93,11,1.79,16,2.61,13,2.12,18,2.93,10,1.63,3,0.49,9,1.47,11,1.79,8,1.3,10,1.63,7,1.14,10,1.63,14,2.28,1,0.16,1,0.16,4,0.65,3,0.49,3,0.49,0,0.0,50,8.14,47,7.65,43,7.0,44,7.17,44,7.17,33,5.37,4,0.65,2,0.33,6,0.98,8,1.3,7,1.14,13015
13,16,662,18,2.72,29,4.38,19,2.87,24,3.63,13,1.96,22,3.32,8,1.21,12,1.81,7,1.06,15,2.27,5,0.76,16,2.42,22,3.32,1,0.15,15,2.27,8,1.21,9,1.36,9,1.36,13,1.96,10,1.51,20,3.02,4,0.6,1,0.15,4,0.6,6,0.91,5,0.76,5,0.76,51,7.7,58,8.76,44,6.65,42,6.34,53,8.01,43,6.5,6,0.91,3,0.45,6,0.91,8,1.21,10,1.51,13016
13,17,668,20,2.99,16,2.4,14,2.1,17,2.54,11,1.65,16,2.4,5,0.75,17,2.54,9,1.35,13,1.95,5,0.75,4,0.6,9,1.35,3,0.45,8,1.2,7,1.05,7,1.05,7,1.05,11,1.65,9,1.35,15,2.25,5,0.75,5,0.75,3,0.45,8,1.2,8,1.2,8,1.2,61,9.13,64,9.58,61,9.13,53,7.93,56,8.38,50,7.49,6,0.9,8,1.2,8,1.2,8,1.2,12,1.8,13017
13,18,286,7,2.45,9,3.15,9,3.15,12,4.2,10,3.5,6,2.1,6,2.1,7,2.45,4,1.4,4,1.4,3,1.05,8,2.8,9,3.15,0,0.0,4,1.4,1,0.35,1,0.35,4,1.4,1,0.35,1,0.35,5,1.75,1,0.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,9.79,32,11.19,25,8.74,24,8.39,30,10.49,21,7.34,0,0.0,0,0.0,2,0.7,2,0.7,2,0.7,13018
13,19,452,11,2.43,22,4.87,13,2.88,18,3.98,10,2.21,10,2.21,3,0.66,10,2.21,6,1.33,10,2.21,6,1.33,15,3.32,11,2.43,2,0.44,12,2.65,9,1.99,6,1.33,6,1.33,6,1.33,4,0.88,10,2.21,1,0.22,3,0.66,0,0.0,2,0.44,4,0.88,3,0.66,33,7.3,36,7.96,33,7.3,35,7.74,40,8.85,34,7.52,3,0.66,1,0.22,3,0.66,3,0.66,3,0.66,13019
13,20,322,10,3.11,12,3.73,8,2.48,14,4.35,7,2.17,3,0.93,1,0.31,2,0.62,0,0.0,5,1.55,2,0.62,12,3.73,5,1.55,0,0.0,8,2.48,6,1.86,3,0.93,4,1.24,4,1.24,3,0.93,5,1.55,3,0.93,5,1.55,2,0.62,3,0.93,2,0.62,2,0.62,25,7.76,31,9.63,27,8.39,28,8.7,35,10.87,30,9.32,1,0.31,1,0.31,1,0.31,2,0.62,1,0.31,13020
13,21,301,9,2.99,12,3.99,3,1.0,14,4.65,6,1.99,8,2.66,6,1.99,10,3.32,7,2.33,7,2.33,9,2.99,4,1.33,3,1.0,0,0.0,2,0.66,11,3.65,10,3.32,9,2.99,8,2.66,9,2.99,12,3.99,1,0.33,2,0.66,2,0.66,1,0.33,1,0.33,2,0.66,21,6.98,21,6.98,23,7.64,21,6.98,21,6.98,17,5.65,0,0.0,1,0.33,0,0.0,0,0.0,2,0.66,13021
13,22,429,21,4.9,18,4.2,14,3.26,18,4.2,9,2.1,13,3.03,3,0.7,14,3.26,6,1.4,11,2.56,7,1.63,7,1.63,9,2.1,3,0.7,1,0.23,6,1.4,7,1.63,7,1.63,9,2.1,7,1.63,10,2.33,0,0.0,1,0.23,0,0.0,0,0.0,0,0.0,0,0.0,27,6.29,38,8.86,34,7.93,32,7.46,34,7.93,27,6.29,5,1.17,3,0.7,4,0.93,5,1.17,6,1.4,13022
13,23,535,10,1.87,18,3.36,16,2.99,19,3.55,11,2.06,12,2.24,4,0.75,9,1.68,5,0.93,9,1.68,7,1.31,10,1.87,13,2.43,4,0.75,5,0.93,13,2.43,10,1.87,14,2.62,11,2.06,11,2.06,14,2.62,4,0.75,3,0.56,1,0.19,5,0.93,4,0.75,1,0.19,36,6.73,38,7.1,42,7.85,39,7.29,42,7.85,42,7.85,3,0.56,6,1.12,5,0.93,8,1.5,8,1.5,13023
13,24,955,18,1.88,26,2.72,18,1.88,18,1.88,12,1.26,23,2.41,7,0.73,19,1.99,10,1.05,14,1.47,8,0.84,12,1.26,15,1.57,2,0.21,11,1.15,15,1.57,17,1.78,17,1.78,14,1.47,14,1.47,24,2.51,8,0.84,9,0.94,9,0.94,9,0.94,10,1.05,9,0.94,96,10.05,90,9.42,87,9.11,75,7.85,88,9.21,76,7.96,10,1.05,10,1.05,8,0.84,7,0.73,13,1.36,13024
13,25,531,13,2.45,20,3.77,13,2.45,16,3.01,13,2.45,20,3.77,9,1.69,13,2.45,6,1.13,9,1.69,8,1.51,10,1.88,13,2.45,2,0.38,10,1.88,9,1.69,6,1.13,13,2.45,8,1.51,5,0.94,10,1.88,4,0.75,3,0.56,3,0.56,3,0.56,4,0.75,7,1.32,40,7.53,45,8.47,42,7.91,39,7.34,48,9.04,39,7.34,5,0.94,1,0.19,3,0.56,3,0.56,5,0.94,13025
13,26,653,14,2.14,21,3.22,16,2.45,24,3.68,10,1.53,17,2.6,10,1.53,12,1.84,8,1.23,10,1.53,7,1.07,21,3.22,13,1.99,4,0.61,16,2.45,16,2.45,11,1.68,13,1.99,17,2.6,10,1.53,23,3.52,4,0.61,5,0.77,4,0.61,6,0.92,5,0.77,6,0.92,42,6.43,49,7.5,52,7.96,43,6.58,56,8.58,42,6.43,4,0.61,3,0.46,3,0.46,11,1.68,8,1.23,13026
13,27,517,14,2.71,19,3.68,15,2.9,19,3.68,13,2.51,9,1.74,5,0.97,6,1.16,6,1.16,8,1.55,5,0.97,5,0.97,6,1.16,3,0.58,1,0.19,7,1.35,7,1.35,7,1.35,5,0.97,5,0.97,6,1.16,6,1.16,4,0.77,5,0.97,5,0.97,5,0.97,3,0.58,45,8.7,54,10.44,48,9.28,50,9.67,44,8.51,45,8.7,4,0.77,4,0.77,2,0.39,4,0.77,3,0.58,13027
13,28,446,9,2.02,15,3.36,11,2.47,22,4.93,10,2.24,7,1.57,1,0.22,4,0.9,0,0.0,3,0.67,2,0.45,12,2.69,8,1.79,1,0.22,9,2.02,4,0.9,5,1.12,4,0.9,7,1.57,4,0.9,11,2.47,2,0.45,3,0.67,1,0.22,2,0.45,2,0.45,2,0.45,43,9.64,45,10.09,42,9.42,40,8.97,54,12.11,36,8.07,4,0.9,2,0.45,3,0.67,4,0.9,4,0.9,13028
13,29,564,17,3.01,18,3.19,14,2.48,19,3.37,16,2.84,15,2.66,7,1.24,8,1.42,3,0.53,10,1.77,6,1.06,9,1.6,7,1.24,1,0.18,9,1.6,7,1.24,8,1.42,7,1.24,8,1.42,6,1.06,14,2.48,0,0.0,2,0.35,0,0.0,0,0.0,2,0.35,1,0.18,48,8.51,55,9.75,53,9.4,53,9.4,60,10.64,46,8.16,4,0.71,2,0.35,2,0.35,5,0.89,5,0.89,13029
13,30,435,13,2.99,16,3.68,11,2.53,19,4.37,5,1.15,13,2.99,5,1.15,5,1.15,5,1.15,4,0.92,3,0.69,19,4.37,11,2.53,2,0.46,13,2.99,10,2.3,9,2.07,10,2.3,7,1.61,8,1.84,17,3.91,0,0.0,2,0.46,3,0.69,5,1.15,3,0.69,1,0.23,29,6.67,33,7.59,29,6.67,30,6.9,43,9.89,34,7.82,2,0.46,1,0.23,3,0.69,2,0.46,2,0.46,13030
13,31,337,9,2.67,13,3.86,11,3.26,15,4.45,8,2.37,11,3.26,5,1.48,8,2.37,4,1.19,8,2.37,5,1.48,6,1.78,4,1.19,0,0.0,3,0.89,3,0.89,4,1.19,4,1.19,3,0.89,3,0.89,6,1.78,0,0.0,1,0.3,2,0.59,1,0.3,1,0.3,2,0.59,26,7.72,27,8.01,28,8.31,29,8.61,32,9.5,26,7.72,4,1.19,3,0.89,4,1.19,2,0.59,2,0.59,13031
13,32,442,12,2.71,22,4.98,12,2.71,17,3.85,9,2.04,9,2.04,3,0.68,7,1.58,0,0.0,8,1.81,3,0.68,11,2.49,8,1.81,4,0.9,4,0.9,3,0.68,0,0.0,0,0.0,0,0.0,0,0.0,4,0.9,5,1.13,1,0.23,2,0.45,1,0.23,0,0.0,1,0.23,46,10.41,52,11.76,44,9.95,47,10.63,44,9.95,40,9.05,1,0.23,3,0.68,3,0.68,3,0.68,3,0.68,13032
13,33,370,9,2.43,13,3.51,10,2.7,16,4.32,10,2.7,15,4.05,3,0.81,12,3.24,6,1.62,12,3.24,6,1.62,6,1.62,6,1.62,4,1.08,4,1.08,7,1.89,4,1.08,4,1.08,2,0.54,2,0.54,7,1.89,1,0.27,0,0.0,0,0.0,3,0.81,0,0.0,1,0.27,30,8.11,31,8.38,31,8.38,31,8.38,36,9.73,28,7.57,2,0.54,1,0.27,1,0.27,1,0.27,2,0.54,13033
13,34,567,14,2.47,16,2.82,10,1.76,8,1.41,7,1.23,17,3.0,6,1.06,14,2.47,5,0.88,7,1.23,6,1.06,9,1.59,11,1.94,4,0.71,9,1.59,13,2.29,13,2.29,19,3.35,17,3.0,13,2.29,16,2.82,2,0.35,6,1.06,2,0.35,0,0.0,3,0.53,3,0.53,49,8.64,42,7.41,41,7.23,46,8.11,48,8.47,38,6.7,7,1.23,6,1.06,6,1.06,5,0.88,12,2.12,13034
13,35,564,15,2.66,17,3.01,21,3.72,19,3.37,13,2.3,17,3.01,7,1.24,9,1.6,12,2.13,9,1.6,10,1.77,8,1.42,7,1.24,2,0.35,10,1.77,8,1.42,12,2.13,13,2.3,12,2.13,14,2.48,15,2.66,4,0.71,6,1.06,4,0.71,4,0.71,3,0.53,3,0.53,42,7.45,44,7.8,41,7.27,37,6.56,45,7.98,38,6.74,5,0.89,4,0.71,4,0.71,2,0.35,7,1.24,13035
13,36,313,11,3.51,14,4.47,12,3.83,18,5.75,9,2.88,9,2.88,4,1.28,7,2.24,3,0.96,8,2.56,5,1.6,8,2.56,7,2.24,2,0.64,5,1.6,4,1.28,4,1.28,5,1.6,3,0.96,4,1.28,5,1.6,2,0.64,5,1.6,2,0.64,2,0.64,3,0.96,2,0.64,20,6.39,24,7.67,22,7.03,22,7.03,22,7.03,22,7.03,2,0.64,2,0.64,1,0.32,2,0.64,1,0.32,13036
13,37,345,12,3.48,14,4.06,13,3.77,13,3.77,8,2.32,7,2.03,6,1.74,7,2.03,3,0.87,5,1.45,3,0.87,8,2.32,1,0.29,1,0.29,4,1.16,4,1.16,5,1.45,5,1.45,3,0.87,4,1.16,9,2.61,1,0.29,1,0.29,0,0.0,1,0.29,3,0.87,3,0.87,23,6.67,29,8.41,30,8.7,29,8.41,31,8.99,26,7.54,3,0.87,4,1.16,5,1.45,5,1.45,3,0.87,13037
13,38,1015,15,1.48,39,3.84,20,1.97,19,1.87,17,1.67,17,1.67,7,0.69,20,1.97,12,1.18,13,1.28,8,0.79,11,1.08,20,1.97,5,0.49,16,1.58,21,2.07,17,1.67,17,1.67,17,1.67,14,1.38,20,1.97,9,0.89,9,0.89,8,0.79,12,1.18,11,1.08,6,0.59,86,8.47,105,10.34,93,9.16,86,8.47,97,9.56,84,8.28,5,0.49,5,0.49,6,0.59,10,0.99,17,1.67,13038
13,39,487,10,2.05,11,2.26,9,1.85,21,4.31,9,1.85,9,1.85,4,0.82,9,1.85,7,1.44,12,2.46,3,0.62,17,3.49,10,2.05,5,1.03,12,2.46,10,2.05,8,1.64,11,2.26,8,1.64,7,1.44,16,3.29,2,0.41,5,1.03,0,0.0,5,1.03,6,1.23,3,0.62,34,6.98,37,7.6,33,6.78,32,6.57,44,9.03,30,6.16,5,1.03,3,0.62,5,1.03,10,2.05,11,2.26,13039
13,40,279,4,1.43,10,3.58,6,2.15,9,3.23,7,2.51,10,3.58,6,2.15,10,3.58,8,2.87,9,3.23,6,2.15,7,2.51,5,1.79,1,0.36,3,1.08,7,2.51,3,1.08,6,2.15,3,1.08,4,1.43,8,2.87,1,0.36,5,1.79,0,0.0,1,0.36,3,1.08,4,1.43,17,6.09,21,7.53,19,6.81,23,8.24,20,7.17,15,5.38,1,0.36,1,0.36,3,1.08,2,0.72,3,1.08,13040
13,41,396,9,2.27,15,3.79,13,3.28,20,5.05,9,2.27,16,4.04,5,1.26,6,1.52,2,0.51,11,2.78,3,0.76,19,4.8,10,2.53,5,1.26,12,3.03,2,0.51,1,0.25,4,1.01,4,1.01,1,0.25,11,2.78,1,0.25,0,0.0,0,0.0,1,0.25,0,0.0,3,0.76,29,7.32,30,7.58,33,8.33,35,8.84,37,9.34,31,7.83,4,1.01,0,0.0,0,0.0,0,0.0,4,1.01,13041
13,42,418,9,2.15,13,3.11,11,2.63,14,3.35,8,1.91,7,1.67,4,0.96,4,0.96,4,0.96,3,0.72,1,0.24,7,1.67,9,2.15,4,0.96,5,1.2,16,3.83,13,3.11,14,3.35,12,2.87,8,1.91,10,2.39,1,0.24,3,0.72,1,0.24,1,0.24,1,0.24,2,0.48,26,6.22,41,9.81,28,6.7,31,7.42,30,7.18,28,6.7,10,2.39,6,1.44,7,1.67,5,1.2,4,0.96,13042
13,43,318,7,2.2,15,4.72,5,1.57,8,2.52,4,1.26,12,3.77,3,0.94,8,2.52,6,1.89,5,1.57,5,1.57,8,2.52,5,1.57,5,1.57,5,1.57,3,0.94,2,0.63,3,0.94,6,1.89,4,1.26,2,0.63,0,0.0,0,0.0,0,0.0,2,0.63,1,0.31,2,0.63,30,9.43,37,11.64,29,9.12,31,9.75,25,7.86,27,8.49,2,0.63,0,0.0,1,0.31,2,0.63,5,1.57,13043
13,44,309,8,2.59,10,3.24,11,3.56,14,4.53,7,2.27,11,3.56,6,1.94,8,2.59,5,1.62,10,3.24,6,1.94,8,2.59,5,1.62,1,0.32,5,1.62,2,0.65,3,0.97,3,0.97,5,1.62,2,0.65,8,2.59,4,1.29,4,1.29,6,1.94,6,1.94,6,1.94,6,1.94,18,5.83,18,5.83,21,6.8,18,5.83,18,5.83,19,6.15,3,0.97,3,0.97,4,1.29,4,1.29,4,1.29,13044
13,45,697,19,2.73,38,5.45,22,3.16,24,3.44,18,2.58,18,2.58,6,0.86,14,2.01,7,1.0,16,2.3,6,0.86,6,0.86,5,0.72,1,0.14,6,0.86,11,1.58,9,1.29,9,1.29,10,1.43,8,1.15,12,1.72,3,0.43,4,0.57,2,0.29,3,0.43,5,0.72,2,0.29,58,8.32,62,8.9,58,8.32,58,8.32,57,8.18,62,8.9,7,1.0,8,1.15,7,1.0,7,1.0,8,1.15,13045
13,46,414,10,2.42,12,2.9,13,3.14,17,4.11,8,1.93,12,2.9,5,1.21,11,2.66,6,1.45,8,1.93,6,1.45,5,1.21,7,1.69,1,0.24,5,1.21,5,1.21,5,1.21,9,2.17,8,1.93,4,0.97,9,2.17,1,0.24,1,0.24,1,0.24,1,0.24,3,0.72,1,0.24,40,9.66,40,9.66,36,8.7,34,8.21,40,9.66,34,8.21,0,0.0,2,0.48,2,0.48,0,0.0,2,0.48,13046
13,47,335,10,2.99,10,2.99,11,3.28,17,5.07,10,2.99,7,2.09,5,1.49,6,1.79,3,0.9,6,1.79,3,0.9,7,2.09,4,1.19,0,0.0,6,1.79,3,0.9,4,1.19,3,0.9,3,0.9,2,0.6,7,2.09,2,0.6,1,0.3,1,0.3,1,0.3,2,0.6,3,0.9,28,8.36,31,9.25,29,8.66,27,8.06,34,10.15,27,8.06,2,0.6,1,0.3,4,1.19,4,1.19,4,1.19,13047
13,48,829,23,2.77,24,2.9,17,2.05,33,3.98,15,1.81,16,1.93,5,0.6,8,0.97,5,0.6,10,1.21,8,0.97,20,2.41,18,2.17,2,0.24,12,1.45,18,2.17,10,1.21,17,2.05,13,1.57,18,2.17,26,3.14,3,0.36,8,0.97,2,0.24,5,0.6,6,0.72,2,0.24,50,6.03,63,7.6,55,6.63,52,6.27,65,7.84,54,6.51,11,1.33,67,8.08,14,1.69,12,1.45,20,2.41,13048
13,49,651,23,3.53,29,4.45,22,3.38,21,3.23,15,2.3,22,3.38,16,2.46,18,2.76,11,1.69,18,2.76,12,1.84,9,1.38,10,1.54,3,0.46,6,0.92,18,2.76,19,2.92,16,2.46,14,2.15,18,2.76,18,2.76,7,1.08,5,0.77,4,0.61,6,0.92,6,0.92,3,0.46,36,5.53,39,5.99,35,5.38,32,4.92,40,6.14,32,4.92,9,1.38,9,1.38,8,1.23,6,0.92,10,1.54,13049
13,50,598,21,3.51,21,3.51,20,3.34,27,4.52,11,1.84,14,2.34,7,1.17,10,1.67,6,1.0,18,3.01,9,1.51,17,2.84,13,2.17,3,0.5,14,2.34,9,1.51,8,1.34,15,2.51,10,1.67,8,1.34,14,2.34,2,0.33,3,0.5,3,0.5,5,0.84,2,0.33,2,0.33,45,7.53,39,6.52,40,6.69,41,6.86,46,7.69,40,6.69,4,0.67,6,1.0,6,1.0,5,0.84,8,1.34,13050
13,51,292,6,2.05,15,5.14,5,1.71,12,4.11,4,1.37,6,2.05,1,0.34,7,2.4,7,2.4,4,1.37,3,1.03,1,0.34,5,1.71,3,1.03,3,1.03,7,2.4,8,2.74,8,2.74,7,2.4,7,2.4,11,3.77,2,0.68,1,0.34,2,0.68,3,1.03,4,1.37,3,1.03,22,7.53,24,8.22,20,6.85,19,6.51,25,8.56,16,5.48,3,1.03,2,0.68,1,0.34,3,1.03,5,1.71,13051
13,52,413,11,2.66,16,3.87,6,1.45,14,3.39,7,1.69,9,2.18,4,0.97,5,1.21,3,0.73,6,1.45,2,0.48,9,2.18,10,2.42,1,0.24,5,1.21,9,2.18,5,1.21,5,1.21,7,1.69,9,2.18,12,2.91,3,0.73,2,0.48,1,0.24,3,0.73,0,0.0,2,0.48,35,8.47,42,10.17,39,9.44,35,8.47,35,8.47,37,8.96,1,0.24,2,0.48,1,0.24,3,0.73,5,1.21,13052
13,53,582,7,1.2,18,3.09,14,2.41,15,2.58,12,2.06,8,1.37,2,0.34,6,1.03,5,0.86,9,1.55,1,0.17,3,0.52,6,1.03,1,0.17,5,0.86,12,2.06,14,2.41,14,2.41,14,2.41,12,2.06,16,2.75,2,0.34,2,0.34,3,0.52,2,0.34,3,0.52,4,0.69,54,9.28,63,10.82,60,10.31,58,9.97,61,10.48,54,9.28,0,0.0,1,0.17,2,0.34,2,0.34,4,0.69,13053
13,54,565,19,3.36,21,3.72,15,2.65,23,4.07,10,1.77,12,2.12,6,1.06,11,1.95,11,1.95,7,1.24,6,1.06,14,2.48,10,1.77,5,0.88,15,2.65,5,0.88,7,1.24,6,1.06,5,0.88,5,0.88,14,2.48,2,0.35,2,0.35,2,0.35,2,0.35,5,0.88,2,0.35,45,7.96,50,8.85,49,8.67,50,8.85,55,9.73,39,6.9,5,0.88,5,0.88,3,0.53,1,0.18,6,1.06,13054
14,2,440,6,1.36,9,2.05,8,1.82,13,2.95,3,0.68,10,2.27,3,0.68,4,0.91,2,0.45,6,1.36,4,0.91,13,2.95,9,2.05,4,0.91,11,2.5,8,1.82,7,1.59,5,1.14,5,1.14,5,1.14,9,2.05,3,0.68,1,0.23,1,0.23,1,0.23,2,0.45,0,0.0,46,10.45,49,11.14,42,9.55,39,8.86,51,11.59,42,9.55,1,0.23,1,0.23,3,0.68,0,0.0,5,1.14,14002
14,25,613,7,1.14,10,1.63,6,0.98,5,0.82,8,1.31,12,1.96,5,0.82,10,1.63,6,0.98,9,1.47,7,1.14,4,0.65,6,0.98,2,0.33,4,0.65,6,0.98,6,0.98,7,1.14,8,1.31,7,1.14,9,1.47,1,0.16,3,0.49,1,0.16,0,0.0,1,0.16,4,0.65,77,12.56,75,12.23,71,11.58,70,11.42,72,11.75,75,12.23,3,0.49,1,0.16,3,0.49,2,0.33,3,0.49,14025
14,28,434,9,2.07,16,3.69,10,2.3,12,2.76,10,2.3,6,1.38,2,0.46,9,2.07,3,0.69,6,1.38,3,0.69,6,1.38,2,0.46,0,0.0,2,0.46,2,0.46,2,0.46,3,0.69,4,0.92,1,0.23,4,0.92,0,0.0,2,0.46,0,0.0,0,0.0,0,0.0,0,0.0,56,12.9,53,12.21,50,11.52,49,11.29,51,11.75,48,11.06,1,0.23,0,0.0,1,0.23,0,0.0,1,0.23,14028
