ward,precinct,total,Robin Flanagan (Kucinich),Robin Flanagan (Kucinich) Percent,Geraldine M. McPartlin (Dean),Geraldine M. McPartlin (Dean) Percent,Sarah Alipourian (Gephardt),Sarah Alipourian (Gephardt) Percent,Renae Ogletree (Edwards),Renae Ogletree (Edwards) Percent,Margaret Cushing (Clark),Margaret Cushing (Clark) Percent,Shanna S Jafri (Kerry),Shanna S Jafri (Kerry) Percent,precinct_id
31,33,77,10,12.99,11,14.29,8,10.39,6,7.79,10,12.99,32,41.56,31033
31,35,13,4,30.77,1,7.69,0,0.0,1,7.69,0,0.0,7,53.85,31035
31,38,52,7,13.46,8,15.38,4,7.69,5,9.62,5,9.62,23,44.23,31038
31,41,61,12,19.67,6,9.84,4,6.56,6,9.84,5,8.2,28,45.9,31041
31,43,68,15,22.06,6,8.82,7,10.29,2,2.94,6,8.82,32,47.06,31043
31,45,53,15,28.3,4,7.55,0,0.0,8,15.09,6,11.32,20,37.74,31045
31,46,73,15,20.55,4,5.48,3,4.11,5,6.85,14,19.18,32,43.84,31046
31,47,96,18,18.75,12,12.5,8,8.33,6,6.25,7,7.29,45,46.88,31047
31,48,55,6,10.91,4,7.27,4,7.27,7,12.73,6,10.91,28,50.91,31048
31,50,81,21,25.93,9,11.11,6,7.41,6,7.41,6,7.41,33,40.74,31050
32,7,70,5,7.14,8,11.43,1,1.43,9,12.86,6,8.57,41,58.57,32007
32,8,130,20,15.38,7,5.38,2,1.54,21,16.15,7,5.38,73,56.15,32008
32,9,173,19,10.98,13,7.51,9,5.2,16,9.25,10,5.78,106,61.27,32009
32,10,84,10,11.9,8,9.52,0,0.0,4,4.76,6,7.14,56,66.67,32010
32,13,44,6,13.64,3,6.82,1,2.27,3,6.82,3,6.82,28,63.64,32013
32,15,112,19,16.96,9,8.04,4,3.57,8,7.14,10,8.93,62,55.36,32015
32,18,90,9,10.0,8,8.89,3,3.33,11,12.22,5,5.56,54,60.0,32018
32,19,128,21,16.41,17,13.28,3,2.34,8,6.25,7,5.47,72,56.25,32019
32,20,105,8,7.62,12,11.43,1,0.95,17,16.19,7,6.67,60,57.14,32020
32,21,100,10,10.0,12,12.0,5,5.0,6,6.0,14,14.0,53,53.0,32021
32,22,160,20,12.5,16,10.0,5,3.13,13,8.13,9,5.63,97,60.63,32022
32,23,139,15,10.79,12,8.63,4,2.88,9,6.47,9,6.47,90,64.75,32023
32,24,82,11,13.41,6,7.32,3,3.66,8,9.76,8,9.76,46,56.1,32024
32,25,96,11,11.46,12,12.5,3,3.13,10,10.42,7,7.29,53,55.21,32025
32,27,96,8,8.33,10,10.42,2,2.08,7,7.29,5,5.21,64,66.67,32027
32,30,59,5,8.47,3,5.08,0,0.0,7,11.86,2,3.39,42,71.19,32030
32,32,104,6,5.77,6,5.77,4,3.85,12,11.54,7,6.73,69,66.35,32032
32,37,115,13,11.3,9,7.83,8,6.96,9,7.83,6,5.22,70,60.87,32037
32,38,104,12,11.54,10,9.62,3,2.88,18,17.31,3,2.88,58,55.77,32038
32,39,125,6,4.8,11,8.8,6,4.8,3,2.4,10,8.0,89,71.2,32039
32,40,127,22,17.32,13,10.24,3,2.36,12,9.45,2,1.57,75,59.06,32040
32,41,154,19,12.34,15,9.74,6,3.9,10,6.49,9,5.84,95,61.69,32041
32,42,134,24,17.91,11,8.21,4,2.99,9,6.72,9,6.72,77,57.46,32042
32,43,103,6,5.83,8,7.77,2,1.94,7,6.8,5,4.85,75,72.82,32043
32,44,78,5,6.41,13,16.67,3,3.85,6,7.69,4,5.13,47,60.26,32044
32,45,102,14,13.73,8,7.84,4,3.92,8,7.84,5,4.9,63,61.76,32045
32,47,111,13,11.71,8,7.21,8,7.21,7,6.31,5,4.5,70,63.06,32047
32,48,121,8,6.61,5,4.13,3,2.48,13,10.74,5,4.13,87,71.9,32048
32,49,94,12,12.77,5,5.32,1,1.06,3,3.19,9,9.57,64,68.09,32049
32,50,12,3,25.0,3,25.0,0,0.0,3,25.0,0,0.0,3,25.0,32050
33,5,52,13,25.0,7,13.46,1,1.92,6,11.54,4,7.69,21,40.38,33005
33,7,171,17,9.94,16,9.36,1,0.58,14,8.19,10,5.85,113,66.08,33007
33,10,206,28,13.59,23,11.17,13,6.31,11,5.34,16,7.77,115,55.83,33010
33,14,127,26,20.47,21,16.54,5,3.94,16,12.6,11,8.66,48,37.8,33014
33,16,48,8,16.67,4,8.33,2,4.17,7,14.58,8,16.67,19,39.58,33016
33,18,59,10,16.95,10,16.95,3,5.08,3,5.08,8,13.56,25,42.37,33018
33,22,123,23,18.7,7,5.69,4,3.25,8,6.5,14,11.38,67,54.47,33022
33,23,194,33,17.01,15,7.73,15,7.73,19,9.79,12,6.19,100,51.55,33023
33,24,150,21,14.0,16,10.67,4,2.67,12,8.0,8,5.33,89,59.33,33024
33,25,190,31,16.32,10,5.26,11,5.79,23,12.11,17,8.95,98,51.58,33025
33,28,181,19,10.5,18,9.94,6,3.31,14,7.73,7,3.87,117,64.64,33028
33,29,128,22,17.19,10,7.81,10,7.81,12,9.38,8,6.25,66,51.56,33029
33,34,102,12,11.76,14,13.73,3,2.94,12,11.76,9,8.82,52,50.98,33034
35,22,52,10,19.23,4,7.69,1,1.92,1,1.92,3,5.77,33,63.46,35022
35,33,111,20,18.02,14,12.61,4,3.6,9,8.11,10,9.01,54,48.65,35033
36,1,122,9,7.38,37,30.33,7,5.74,13,10.66,6,4.92,50,40.98,36001
36,2,119,16,13.45,42,35.29,2,1.68,9,7.56,10,8.4,40,33.61,36002
36,3,144,8,5.56,73,50.69,7,4.86,5,3.47,7,4.86,44,30.56,36003
36,5,100,8,8.0,37,37.0,4,4.0,11,11.0,4,4.0,36,36.0,36005
36,6,110,10,9.09,35,31.82,2,1.82,5,4.55,11,10.0,47,42.73,36006
36,7,88,15,17.05,21,23.86,3,3.41,4,4.55,4,4.55,41,46.59,36007
36,8,131,12,9.16,46,35.11,9,6.87,12,9.16,12,9.16,40,30.53,36008
36,9,127,15,11.81,52,40.94,7,5.51,10,7.87,5,3.94,38,29.92,36009
36,10,93,16,17.2,36,38.71,2,2.15,4,4.3,3,3.23,32,34.41,36010
36,11,193,36,18.65,74,38.34,9,4.66,7,3.63,10,5.18,57,29.53,36011
36,12,88,12,13.64,14,15.91,6,6.82,9,10.23,10,11.36,37,42.05,36012
36,13,221,18,8.14,103,46.61,5,2.26,19,8.6,16,7.24,60,27.15,36013
36,14,148,14,9.46,85,57.43,6,4.05,2,1.35,4,2.7,37,25.0,36014
36,15,113,12,10.62,53,46.9,2,1.77,7,6.19,10,8.85,29,25.66,36015
36,16,233,25,10.73,49,21.03,6,2.58,17,7.3,19,8.15,117,50.21,36016
36,17,106,11,10.38,28,26.42,4,3.77,19,17.92,2,1.89,42,39.62,36017
36,18,167,23,13.77,35,20.96,11,6.59,18,10.78,16,9.58,64,38.32,36018
36,19,194,10,5.15,29,14.95,1,0.52,9,4.64,8,4.12,137,70.62,36019
36,20,189,16,8.47,99,52.38,6,3.17,7,3.7,11,5.82,50,26.46,36020
36,21,227,26,11.45,90,39.65,10,4.41,14,6.17,9,3.96,78,34.36,36021
36,22,187,20,10.7,52,27.81,8,4.28,19,10.16,11,5.88,77,41.18,36022
36,25,90,11,12.22,26,28.89,2,2.22,7,7.78,4,4.44,40,44.44,36025
36,26,136,19,13.97,42,30.88,10,7.35,11,8.09,9,6.62,45,33.09,36026
36,27,76,8,10.53,20,26.32,5,6.58,7,9.21,8,10.53,28,36.84,36027
36,28,104,9,8.65,43,41.35,10,9.62,6,5.77,7,6.73,29,27.88,36028
36,29,106,9,8.49,32,30.19,2,1.89,7,6.6,8,7.55,48,45.28,36029
36,30,148,22,14.86,53,35.81,8,5.41,10,6.76,7,4.73,48,32.43,36030
36,31,158,15,9.49,57,36.08,7,4.43,11,6.96,11,6.96,57,36.08,36031
36,32,131,19,14.5,13,9.92,7,5.34,11,8.4,9,6.87,72,54.96,36032
36,33,65,8,12.31,16,24.62,2,3.08,6,9.23,3,4.62,30,46.15,36033
36,34,84,10,11.9,17,20.24,1,1.19,13,15.48,4,4.76,39,46.43,36034
36,35,179,19,10.61,76,42.46,7,3.91,15,8.38,7,3.91,55,30.73,36035
36,36,125,15,12.0,39,31.2,8,6.4,10,8.0,7,5.6,46,36.8,36036
36,37,95,13,13.68,25,26.32,5,5.26,7,7.37,7,7.37,38,40.0,36037
36,38,97,7,7.22,48,49.48,6,6.19,4,4.12,4,4.12,28,28.87,36038
36,39,116,12,10.34,46,39.66,3,2.59,9,7.76,4,3.45,42,36.21,36039
36,40,138,14,10.14,27,19.57,7,5.07,7,5.07,10,7.25,73,52.9,36040
36,41,120,27,22.5,19,15.83,5,4.17,10,8.33,9,7.5,50,41.67,36041
36,42,124,24,19.35,35,28.23,8,6.45,7,5.65,9,7.26,41,33.06,36042
36,43,121,20,16.53,29,23.97,4,3.31,6,4.96,6,4.96,56,46.28,36043
36,45,124,5,4.03,42,33.87,8,6.45,13,10.48,6,4.84,50,40.32,36045
36,46,103,15,14.56,21,20.39,6,5.83,6,5.83,3,2.91,52,50.49,36046
36,47,108,18,16.67,43,39.81,4,3.7,11,10.19,9,8.33,23,21.3,36047
36,48,123,21,17.07,16,13.01,11,8.94,8,6.5,12,9.76,55,44.72,36048
36,49,149,25,16.78,16,10.74,4,2.68,15,10.07,12,8.05,77,51.68,36049
36,50,130,15,11.54,44,33.85,9,6.92,8,6.15,6,4.62,48,36.92,36050
36,51,222,23,10.36,104,46.85,9,4.05,10,4.5,17,7.66,59,26.58,36051
36,52,119,15,12.61,39,32.77,4,3.36,12,10.08,10,8.4,39,32.77,36052
36,53,104,15,14.42,38,36.54,5,4.81,7,6.73,5,4.81,34,32.69,36053
36,55,158,21,13.29,31,19.62,5,3.16,23,14.56,7,4.43,71,44.94,36055
37,52,6,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,3,50.0,37052
38,1,137,23,16.79,15,10.95,9,6.57,17,12.41,14,10.22,59,43.07,38001
38,2,95,19,20.0,7,7.37,6,6.32,12,12.63,7,7.37,44,46.32,38002
38,3,88,12,13.64,9,10.23,4,4.55,5,5.68,8,9.09,50,56.82,38003
38,4,61,6,9.84,9,14.75,4,6.56,5,8.2,7,11.48,30,49.18,38004
38,5,189,19,10.05,13,6.88,5,2.65,23,12.17,14,7.41,115,60.85,38005
38,6,92,9,9.78,10,10.87,4,4.35,15,16.3,10,10.87,44,47.83,38006
38,7,138,14,10.14,19,13.77,6,4.35,15,10.87,4,2.9,80,57.97,38007
38,8,79,9,11.39,11,13.92,2,2.53,10,12.66,8,10.13,39,49.37,38008
38,9,106,17,16.04,11,10.38,2,1.89,8,7.55,6,5.66,62,58.49,38009
38,10,177,15,8.47,18,10.17,8,4.52,16,9.04,10,5.65,110,62.15,38010
38,11,85,14,16.47,6,7.06,6,7.06,12,14.12,4,4.71,43,50.59,38011
38,12,126,19,15.08,13,10.32,2,1.59,22,17.46,13,10.32,57,45.24,38012
38,13,103,21,20.39,14,13.59,11,10.68,7,6.8,9,8.74,41,39.81,38013
38,14,91,14,15.38,8,8.79,6,6.59,9,9.89,11,12.09,43,47.25,38014
38,15,92,14,15.22,6,6.52,1,1.09,10,10.87,6,6.52,55,59.78,38015
38,16,127,19,14.96,14,11.02,7,5.51,17,13.39,14,11.02,56,44.09,38016
38,17,105,15,14.29,8,7.62,5,4.76,11,10.48,7,6.67,59,56.19,38017
38,18,115,18,15.65,10,8.7,5,4.35,11,9.57,10,8.7,61,53.04,38018
38,19,136,18,13.24,12,8.82,5,3.68,16,11.76,12,8.82,73,53.68,38019
38,20,157,18,11.46,15,9.55,2,1.27,13,8.28,11,7.01,98,62.42,38020
38,21,105,21,20.0,8,7.62,5,4.76,15,14.29,10,9.52,46,43.81,38021
38,22,115,18,15.65,13,11.3,8,6.96,16,13.91,6,5.22,54,46.96,38022
38,23,85,9,10.59,5,5.88,5,5.88,10,11.76,3,3.53,53,62.35,38023
38,24,59,13,22.03,8,13.56,2,3.39,5,8.47,0,0.0,31,52.54,38024
38,25,94,15,15.96,9,9.57,3,3.19,6,6.38,14,14.89,47,50.0,38025
38,26,87,19,21.84,5,5.75,2,2.3,10,11.49,8,9.2,43,49.43,38026
38,27,53,5,9.43,4,7.55,2,3.77,9,16.98,5,9.43,28,52.83,38027
38,28,82,12,14.63,10,12.2,5,6.1,4,4.88,6,7.32,45,54.88,38028
38,29,82,17,20.73,5,6.1,5,6.1,6,7.32,9,10.98,40,48.78,38029
38,30,94,21,22.34,7,7.45,4,4.26,6,6.38,8,8.51,48,51.06,38030
38,31,125,20,16.0,14,11.2,11,8.8,9,7.2,16,12.8,55,44.0,38031
38,32,135,20,14.81,14,10.37,7,5.19,10,7.41,6,4.44,78,57.78,38032
38,33,94,8,8.51,12,12.77,8,8.51,8,8.51,7,7.45,51,54.26,38033
38,34,70,13,18.57,13,18.57,1,1.43,8,11.43,4,5.71,31,44.29,38034
38,35,130,21,16.15,12,9.23,7,5.38,12,9.23,12,9.23,66,50.77,38035
38,36,97,16,16.49,10,10.31,4,4.12,12,12.37,7,7.22,48,49.48,38036
38,37,119,19,15.97,11,9.24,8,6.72,12,10.08,8,6.72,61,51.26,38037
38,38,141,15,10.64,17,12.06,10,7.09,15,10.64,17,12.06,67,47.52,38038
38,39,115,22,19.13,8,6.96,4,3.48,8,6.96,14,12.17,59,51.3,38039
38,40,89,18,20.22,10,11.24,1,1.12,10,11.24,5,5.62,45,50.56,38040
38,41,175,18,10.29,16,9.14,13,7.43,19,10.86,10,5.71,99,56.57,38041
38,42,136,15,11.03,11,8.09,6,4.41,13,9.56,13,9.56,78,57.35,38042
38,43,136,18,13.24,15,11.03,5,3.68,15,11.03,19,13.97,64,47.06,38043
38,44,119,20,16.81,8,6.72,3,2.52,20,16.81,9,7.56,59,49.58,38044
38,45,100,11,11.0,6,6.0,3,3.0,7,7.0,3,3.0,70,70.0,38045
38,46,94,20,21.28,6,6.38,2,2.13,8,8.51,7,7.45,51,54.26,38046
38,47,118,13,11.02,15,12.71,5,4.24,17,14.41,12,10.17,56,47.46,38047
38,48,129,20,15.5,14,10.85,8,6.2,15,11.63,4,3.1,68,52.71,38048
38,49,89,15,16.85,6,6.74,1,1.12,7,7.87,12,13.48,48,53.93,38049
38,50,126,20,15.87,18,14.29,9,7.14,13,10.32,9,7.14,57,45.24,38050
38,51,95,14,14.74,5,5.26,6,6.32,11,11.58,5,5.26,54,56.84,38051
38,52,115,19,16.52,8,6.96,4,3.48,8,6.96,7,6.09,69,60.0,38052
38,53,21,7,33.33,3,14.29,2,9.52,1,4.76,3,14.29,5,23.81,38053
39,1,127,15,11.81,11,8.66,5,3.94,21,16.54,4,3.15,71,55.91,39001
39,2,198,33,16.67,16,8.08,11,5.56,14,7.07,16,8.08,108,54.55,39002
39,3,147,15,10.2,6,4.08,5,3.4,20,13.61,19,12.93,82,55.78,39003
39,4,92,16,17.39,7,7.61,0,0.0,11,11.96,7,7.61,51,55.43,39004
39,5,84,12,14.29,8,9.52,4,4.76,5,5.95,9,10.71,46,54.76,39005
39,6,128,28,21.88,11,8.59,9,7.03,10,7.81,11,8.59,59,46.09,39006
39,7,112,15,13.39,16,14.29,3,2.68,6,5.36,9,8.04,63,56.25,39007
39,8,156,35,22.44,3,1.92,11,7.05,9,5.77,15,9.62,83,53.21,39008
39,9,169,28,16.57,14,8.28,3,1.78,22,13.02,19,11.24,83,49.11,39009
39,10,123,18,14.63,14,11.38,7,5.69,8,6.5,7,5.69,69,56.1,39010
39,11,182,23,12.64,17,9.34,16,8.79,19,10.44,18,9.89,89,48.9,39011
39,12,85,14,16.47,12,14.12,5,5.88,3,3.53,12,14.12,39,45.88,39012
39,13,78,9,11.54,5,6.41,1,1.28,4,5.13,13,16.67,46,58.97,39013
39,14,112,16,14.29,13,11.61,9,8.04,12,10.71,9,8.04,53,47.32,39014
39,15,107,11,10.28,6,5.61,8,7.48,12,11.21,14,13.08,56,52.34,39015
39,16,77,8,10.39,7,9.09,3,3.9,6,7.79,6,7.79,47,61.04,39016
39,17,88,14,15.91,4,4.55,6,6.82,5,5.68,6,6.82,53,60.23,39017
39,18,157,22,14.01,6,3.82,11,7.01,15,9.55,9,5.73,94,59.87,39018
39,19,96,18,18.75,7,7.29,5,5.21,8,8.33,10,10.42,48,50.0,39019
39,20,109,11,10.09,8,7.34,2,1.83,8,7.34,10,9.17,70,64.22,39020
39,21,81,16,19.75,4,4.94,4,4.94,7,8.64,8,9.88,42,51.85,39021
39,22,90,15,16.67,8,8.89,5,5.56,10,11.11,8,8.89,44,48.89,39022
39,23,92,5,5.43,9,9.78,5,5.43,6,6.52,4,4.35,63,68.48,39023
39,24,115,20,17.39,13,11.3,8,6.96,7,6.09,16,13.91,51,44.35,39024
39,25,127,20,15.75,15,11.81,7,5.51,7,5.51,10,7.87,68,53.54,39025
39,26,143,19,13.29,14,9.79,3,2.1,21,14.69,19,13.29,67,46.85,39026
39,27,124,18,14.52,8,6.45,4,3.23,8,6.45,10,8.06,76,61.29,39027
39,28,134,20,14.93,10,7.46,7,5.22,9,6.72,13,9.7,75,55.97,39028
39,29,130,18,13.85,8,6.15,4,3.08,11,8.46,9,6.92,80,61.54,39029
39,30,67,12,17.91,7,10.45,5,7.46,4,5.97,13,19.4,26,38.81,39030
39,31,71,12,16.9,7,9.86,8,11.27,4,5.63,9,12.68,31,43.66,39031
39,32,126,12,9.52,5,3.97,5,3.97,7,5.56,11,8.73,86,68.25,39032
39,33,125,16,12.8,14,11.2,2,1.6,9,7.2,7,5.6,77,61.6,39033
39,34,131,19,14.5,13,9.92,4,3.05,13,9.92,11,8.4,71,54.2,39034
39,35,129,11,8.53,17,13.18,7,5.43,8,6.2,5,3.88,81,62.79,39035
39,36,158,25,15.82,9,5.7,9,5.7,12,7.59,19,12.03,84,53.16,39036
39,37,198,23,11.62,16,8.08,4,2.02,18,9.09,11,5.56,126,63.64,39037
39,38,129,14,10.85,12,9.3,4,3.1,11,8.53,4,3.1,84,65.12,39038
39,39,69,11,15.94,8,11.59,7,10.14,5,7.25,6,8.7,32,46.38,39039
39,40,78,10,12.82,10,12.82,3,3.85,10,12.82,8,10.26,37,47.44,39040
39,41,51,3,5.88,1,1.96,1,1.96,3,5.88,7,13.73,36,70.59,39041
39,42,147,8,5.44,14,9.52,7,4.76,22,14.97,15,10.2,81,55.1,39042
39,43,102,15,14.71,5,4.9,9,8.82,11,10.78,7,6.86,55,53.92,39043
39,44,142,15,10.56,20,14.08,15,10.56,17,11.97,15,10.56,60,42.25,39044
39,45,60,13,21.67,6,10.0,3,5.0,3,5.0,5,8.33,30,50.0,39045
39,46,84,16,19.05,9,10.71,2,2.38,6,7.14,8,9.52,43,51.19,39046
39,47,87,12,13.79,7,8.05,4,4.6,10,11.49,12,13.79,42,48.28,39047
40,1,79,15,18.99,4,5.06,5,6.33,4,5.06,5,6.33,46,58.23,40001
40,2,89,10,11.24,5,5.62,3,3.37,10,11.24,3,3.37,58,65.17,40002
40,5,113,20,17.7,11,9.73,5,4.42,12,10.62,8,7.08,57,50.44,40005
40,6,116,20,17.24,9,7.76,3,2.59,8,6.9,7,6.03,69,59.48,40006
40,10,133,21,15.79,12,9.02,6,4.51,6,4.51,12,9.02,76,57.14,40010
40,14,88,15,17.05,6,6.82,6,6.82,6,6.82,8,9.09,47,53.41,40014
40,15,130,23,17.69,14,10.77,2,1.54,11,8.46,7,5.38,73,56.15,40015
40,17,60,9,15.0,2,3.33,4,6.67,3,5.0,9,15.0,33,55.0,40017
40,19,95,11,11.58,9,9.47,6,6.32,5,5.26,9,9.47,55,57.89,40019
40,20,91,12,13.19,7,7.69,4,4.4,8,8.79,8,8.79,52,57.14,40020
40,21,123,14,11.38,14,11.38,4,3.25,11,8.94,7,5.69,73,59.35,40021
40,23,181,33,18.23,24,13.26,4,2.21,20,11.05,12,6.63,88,48.62,40023
40,24,63,9,14.29,10,15.87,3,4.76,7,11.11,5,7.94,29,46.03,40024
40,25,88,19,21.59,5,5.68,4,4.55,7,7.95,6,6.82,47,53.41,40025
40,29,142,33,23.24,6,4.23,3,2.11,16,11.27,8,5.63,76,53.52,40029
40,30,148,22,14.86,7,4.73,5,3.38,15,10.14,7,4.73,92,62.16,40030
40,31,97,16,16.49,6,6.19,7,7.22,9,9.28,7,7.22,52,53.61,40031
40,32,66,17,25.76,9,13.64,4,6.06,5,7.58,5,7.58,26,39.39,40032
40,34,96,11,11.46,10,10.42,13,13.54,11,11.46,5,5.21,46,47.92,40034
40,36,110,14,12.73,11,10.0,0,0.0,9,8.18,4,3.64,72,65.45,40036
40,38,64,12,18.75,10,15.63,3,4.69,5,7.81,4,6.25,30,46.88,40038
40,40,68,16,23.53,5,7.35,3,4.41,5,7.35,3,4.41,36,52.94,40040
40,41,19,2,10.53,3,15.79,0,0.0,1,5.26,0,0.0,13,68.42,40041
40,44,92,17,18.48,6,6.52,7,7.61,8,8.7,5,5.43,49,53.26,40044
40,45,183,40,21.86,15,8.2,5,2.73,12,6.56,9,4.92,102,55.74,40045
40,48,74,5,6.76,10,13.51,2,2.7,5,6.76,5,6.76,47,63.51,40048
40,49,66,9,13.64,5,7.58,2,3.03,8,12.12,7,10.61,35,53.03,40049
41,3,80,10,12.5,10,12.5,4,5.0,15,18.75,5,6.25,36,45.0,41003
41,9,107,10,9.35,7,6.54,8,7.48,12,11.21,2,1.87,68,63.55,41009
41,10,120,17,14.17,16,13.33,3,2.5,13,10.83,20,16.67,51,42.5,41010
41,12,129,18,13.95,14,10.85,9,6.98,11,8.53,15,11.63,62,48.06,41012
41,14,191,18,9.42,13,6.81,3,1.57,20,10.47,24,12.57,113,59.16,41014
41,16,134,18,13.43,9,6.72,5,3.73,12,8.96,12,8.96,78,58.21,41016
41,19,105,17,16.19,12,11.43,2,1.9,8,7.62,9,8.57,57,54.29,41019
41,21,127,30,23.62,12,9.45,6,4.72,10,7.87,6,4.72,63,49.61,41021
41,22,112,11,9.82,19,16.96,5,4.46,18,16.07,11,9.82,48,42.86,41022
41,23,120,16,13.33,8,6.67,4,3.33,15,12.5,4,3.33,73,60.83,41023
41,24,80,17,21.25,10,12.5,3,3.75,8,10.0,4,5.0,38,47.5,41024
41,30,98,7,7.14,10,10.2,3,3.06,10,10.2,6,6.12,62,63.27,41030
41,35,111,21,18.92,13,11.71,7,6.31,4,3.6,9,8.11,57,51.35,41035
41,43,85,14,16.47,5,5.88,8,9.41,7,8.24,6,7.06,45,52.94,41043
41,46,115,18,15.65,9,7.83,6,5.22,12,10.43,11,9.57,59,51.3,41046
41,47,137,14,10.22,14,10.22,6,4.38,15,10.95,19,13.87,69,50.36,41047
41,50,115,16,13.91,14,12.17,5,4.35,14,12.17,7,6.09,59,51.3,41050
41,51,102,14,13.73,14,13.73,7,6.86,9,8.82,4,3.92,54,52.94,41051
41,54,136,15,11.03,12,8.82,6,4.41,13,9.56,15,11.03,75,55.15,41054
41,57,103,14,13.59,10,9.71,8,7.77,11,10.68,6,5.83,54,52.43,41057
41,59,111,8,7.21,9,8.11,7,6.31,13,11.71,17,15.32,57,51.35,41059
41,62,109,18,16.51,14,12.84,2,1.83,4,3.67,11,10.09,60,55.05,41062
41,65,153,24,15.69,13,8.5,13,8.5,15,9.8,11,7.19,77,50.33,41065
41,66,132,14,10.61,15,11.36,4,3.03,18,13.64,17,12.88,64,48.48,41066
41,67,107,12,11.21,11,10.28,6,5.61,16,14.95,8,7.48,54,50.47,41067
41,68,111,15,13.51,15,13.51,4,3.6,12,10.81,5,4.5,60,54.05,41068
41,69,197,26,13.2,10,5.08,5,2.54,24,12.18,26,13.2,106,53.81,41069
41,70,118,14,11.86,11,9.32,6,5.08,17,14.41,4,3.39,66,55.93,41070
