ward,precinct,total,Patrick Dennis Riley,Patrick Dennis Riley Percent,Jeanne Marie Reynolds,Jeanne Marie Reynolds Percent,Michelle Jordan,Michelle Jordan Percent,Kathleen Ann Panozzo,Kathleen Ann Panozzo Percent,William Burnett Raines,William Burnett Raines Percent,precinct_id
2,39,121,23,19.01,19,15.7,46,38.02,14,11.57,19,15.7,02039
2,40,181,31,17.13,24,13.26,74,40.88,32,17.68,20,11.05,02040
2,41,84,16,19.05,12,14.29,43,51.19,5,5.95,8,9.52,02041
2,42,47,8,17.02,6,12.77,27,57.45,2,4.26,4,8.51,02042
2,43,177,16,9.04,20,11.3,98,55.37,20,11.3,23,12.99,02043
2,44,101,16,15.84,12,11.88,58,57.43,1,0.99,14,13.86,02044
2,45,128,26,20.31,21,16.41,59,46.09,10,7.81,12,9.38,02045
2,46,244,20,8.2,33,13.52,144,59.02,12,4.92,35,14.34,02046
2,47,153,32,20.92,21,13.73,81,52.94,3,1.96,16,10.46,02047
2,48,98,16,16.33,14,14.29,56,57.14,2,2.04,10,10.2,02048
2,49,106,10,9.43,14,13.21,56,52.83,20,18.87,6,5.66,02049
2,50,90,15,16.67,17,18.89,37,41.11,13,14.44,8,8.89,02050
2,51,122,14,11.48,15,12.3,75,61.48,3,2.46,15,12.3,02051
2,52,135,20,14.81,24,17.78,64,47.41,14,10.37,13,9.63,02052
2,53,68,17,25.0,11,16.18,32,47.06,2,2.94,6,8.82,02053
2,54,151,13,8.61,14,9.27,86,56.95,27,17.88,11,7.28,02054
2,55,30,3,10.0,5,16.67,13,43.33,6,20.0,3,10.0,02055
2,56,137,26,18.98,17,12.41,71,51.82,7,5.11,16,11.68,02056
2,57,85,19,22.35,15,17.65,31,36.47,4,4.71,16,18.82,02057
2,58,51,4,7.84,8,15.69,30,58.82,4,7.84,5,9.8,02058
2,59,156,13,8.33,14,8.97,92,58.97,24,15.38,13,8.33,02059
3,1,129,18,13.95,15,11.63,68,52.71,4,3.1,24,18.6,03001
3,2,242,29,11.98,30,12.4,152,62.81,3,1.24,28,11.57,03002
3,3,89,12,13.48,16,17.98,38,42.7,12,13.48,11,12.36,03003
3,4,60,17,28.33,8,13.33,28,46.67,1,1.67,6,10.0,03004
3,5,82,12,14.63,10,12.2,45,54.88,0,0.0,15,18.29,03005
3,6,98,22,22.45,24,24.49,36,36.73,5,5.1,11,11.22,03006
3,7,131,20,15.27,20,15.27,62,47.33,5,3.82,24,18.32,03007
3,8,31,8,25.81,4,12.9,18,58.06,1,3.23,0,0.0,03008
3,9,117,21,17.95,14,11.97,64,54.7,5,4.27,13,11.11,03009
3,10,82,12,14.63,10,12.2,48,58.54,2,2.44,10,12.2,03010
3,11,76,12,15.79,12,15.79,44,57.89,3,3.95,5,6.58,03011
3,12,174,32,18.39,29,16.67,99,56.9,1,0.57,13,7.47,03012
3,13,103,32,31.07,24,23.3,16,15.53,24,23.3,7,6.8,03013
3,14,64,14,21.88,9,14.06,37,57.81,1,1.56,3,4.69,03014
3,15,150,27,18.0,29,19.33,69,46.0,11,7.33,14,9.33,03015
3,16,274,24,8.76,37,13.5,181,66.06,6,2.19,26,9.49,03016
3,17,115,18,15.65,14,12.17,72,62.61,5,4.35,6,5.22,03017
3,18,104,15,14.42,14,13.46,69,66.35,1,0.96,5,4.81,03018
3,19,17,2,11.76,4,23.53,6,35.29,3,17.65,2,11.76,03019
3,20,9,3,33.33,0,0.0,3,33.33,0,0.0,3,33.33,03020
3,21,95,19,20.0,20,21.05,47,49.47,1,1.05,8,8.42,03021
3,22,99,13,13.13,9,9.09,68,68.69,3,3.03,6,6.06,03022
3,23,22,4,18.18,6,27.27,8,36.36,0,0.0,4,18.18,03023
3,24,123,25,20.33,12,9.76,77,62.6,2,1.63,7,5.69,03024
3,25,21,5,23.81,5,23.81,7,33.33,0,0.0,4,19.05,03025
3,26,111,14,12.61,11,9.91,70,63.06,4,3.6,12,10.81,03026
3,27,7,1,14.29,2,28.57,3,42.86,1,14.29,0,0.0,03027
3,28,71,16,22.54,12,16.9,32,45.07,3,4.23,8,11.27,03028
3,29,102,14,13.73,15,14.71,53,51.96,11,10.78,9,8.82,03029
3,30,112,16,14.29,15,13.39,68,60.71,5,4.46,8,7.14,03030
3,31,213,27,12.68,39,18.31,125,58.69,3,1.41,19,8.92,03031
3,32,100,18,18.0,17,17.0,59,59.0,1,1.0,5,5.0,03032
3,33,182,27,14.84,26,14.29,101,55.49,6,3.3,22,12.09,03033
3,34,102,14,13.73,12,11.76,63,61.76,3,2.94,10,9.8,03034
3,35,129,27,20.93,21,16.28,62,48.06,4,3.1,15,11.63,03035
3,36,77,16,20.78,11,14.29,39,50.65,2,2.6,9,11.69,03036
3,37,75,10,13.33,9,12.0,42,56.0,3,4.0,11,14.67,03037
3,38,36,7,19.44,5,13.89,18,50.0,3,8.33,3,8.33,03038
3,39,241,18,7.47,28,11.62,157,65.15,10,4.15,28,11.62,03039
3,40,126,18,14.29,17,13.49,71,56.35,8,6.35,12,9.52,03040
3,41,144,20,13.89,21,14.58,86,59.72,2,1.39,15,10.42,03041
3,42,108,26,24.07,19,17.59,53,49.07,5,4.63,5,4.63,03042
3,43,65,6,9.23,2,3.08,53,81.54,0,0.0,4,6.15,03043
3,44,68,15,22.06,10,14.71,32,47.06,3,4.41,8,11.76,03044
3,45,59,20,33.9,7,11.86,23,38.98,2,3.39,7,11.86,03045
3,46,139,24,17.27,20,14.39,79,56.83,2,1.44,14,10.07,03046
3,47,95,20,21.05,7,7.37,60,63.16,3,3.16,5,5.26,03047
3,48,114,24,21.05,19,16.67,60,52.63,3,2.63,8,7.02,03048
3,49,31,7,22.58,3,9.68,19,61.29,0,0.0,2,6.45,03049
3,50,149,22,14.77,21,14.09,93,62.42,2,1.34,11,7.38,03050
3,51,41,8,19.51,9,21.95,11,26.83,12,29.27,1,2.44,03051
3,52,64,11,17.19,12,18.75,34,53.13,1,1.56,6,9.38,03052
3,53,114,14,12.28,12,10.53,70,61.4,6,5.26,12,10.53,03053
3,54,105,19,18.1,10,9.52,50,47.62,15,14.29,11,10.48,03054
3,55,101,24,23.76,14,13.86,52,51.49,7,6.93,4,3.96,03055
3,56,117,15,12.82,11,9.4,71,60.68,3,2.56,17,14.53,03056
3,57,178,34,19.1,31,17.42,94,52.81,3,1.69,16,8.99,03057
3,58,43,4,9.3,1,2.33,29,67.44,3,6.98,6,13.95,03058
3,59,65,15,23.08,9,13.85,28,43.08,4,6.15,9,13.85,03059
3,60,132,29,21.97,22,16.67,67,50.76,5,3.79,9,6.82,03060
3,61,106,22,20.75,11,10.38,55,51.89,8,7.55,10,9.43,03061
3,62,70,18,25.71,15,21.43,26,37.14,1,1.43,10,14.29,03062
3,63,63,3,4.76,9,14.29,35,55.56,12,19.05,4,6.35,03063
4,1,169,20,11.83,18,10.65,113,66.86,6,3.55,12,7.1,04001
4,2,244,19,7.79,36,14.75,159,65.16,9,3.69,21,8.61,04002
4,3,238,19,7.98,25,10.5,164,68.91,10,4.2,20,8.4,04003
4,4,232,34,14.66,37,15.95,130,56.03,5,2.16,26,11.21,04004
4,5,209,24,11.48,21,10.05,137,65.55,6,2.87,21,10.05,04005
4,6,86,3,3.49,11,12.79,61,70.93,2,2.33,9,10.47,04006
4,7,129,14,10.85,17,13.18,82,63.57,3,2.33,13,10.08,04007
4,8,187,24,12.83,28,14.97,121,64.71,1,0.53,13,6.95,04008
4,9,374,29,7.75,42,11.23,259,69.25,9,2.41,35,9.36,04009
4,10,210,29,13.81,24,11.43,137,65.24,3,1.43,17,8.1,04010
4,11,222,28,12.61,28,12.61,130,58.56,8,3.6,28,12.61,04011
4,12,108,10,9.26,20,18.52,67,62.04,1,0.93,10,9.26,04012
4,13,170,13,7.65,26,15.29,106,62.35,6,3.53,19,11.18,04013
4,14,110,19,17.27,13,11.82,59,53.64,6,5.45,13,11.82,04014
4,15,108,16,14.81,5,4.63,66,61.11,5,4.63,16,14.81,04015
4,16,250,43,17.2,33,13.2,145,58.0,3,1.2,26,10.4,04016
4,17,202,11,5.45,31,15.35,126,62.38,15,7.43,19,9.41,04017
4,18,204,14,6.86,23,11.27,149,73.04,6,2.94,12,5.88,04018
4,19,218,26,11.93,30,13.76,130,59.63,7,3.21,25,11.47,04019
4,20,60,11,18.33,4,6.67,38,63.33,1,1.67,6,10.0,04020
4,21,246,21,8.54,26,10.57,171,69.51,14,5.69,14,5.69,04021
4,22,255,17,6.67,23,9.02,184,72.16,11,4.31,20,7.84,04022
4,23,148,6,4.05,15,10.14,104,70.27,3,2.03,20,13.51,04023
4,24,251,31,12.35,31,12.35,164,65.34,12,4.78,13,5.18,04024
4,25,204,9,4.41,25,12.25,149,73.04,3,1.47,18,8.82,04025
4,26,181,22,12.15,20,11.05,105,58.01,14,7.73,20,11.05,04026
4,27,239,19,7.95,43,17.99,141,59.0,10,4.18,26,10.88,04027
4,28,132,9,6.82,9,6.82,96,72.73,9,6.82,9,6.82,04028
4,29,155,12,7.74,18,11.61,106,68.39,7,4.52,12,7.74,04029
4,30,48,13,27.08,8,16.67,18,37.5,3,6.25,6,12.5,04030
4,31,45,9,20.0,8,17.78,23,51.11,1,2.22,4,8.89,04031
4,32,219,13,5.94,21,9.59,161,73.52,10,4.57,14,6.39,04032
4,33,79,9,11.39,8,10.13,46,58.23,4,5.06,12,15.19,04033
4,34,139,7,5.04,9,6.47,114,82.01,7,5.04,2,1.44,04034
4,35,103,13,12.62,20,19.42,52,50.49,6,5.83,12,11.65,04035
4,36,85,12,14.12,14,16.47,49,57.65,3,3.53,7,8.24,04036
4,37,83,21,25.3,17,20.48,26,31.33,2,2.41,17,20.48,04037
4,38,297,18,6.06,31,10.44,209,70.37,14,4.71,25,8.42,04038
4,39,87,11,12.64,16,18.39,48,55.17,1,1.15,11,12.64,04039
4,40,168,15,8.93,27,16.07,96,57.14,11,6.55,19,11.31,04040
4,41,91,8,8.79,13,14.29,60,65.93,5,5.49,5,5.49,04041
4,42,207,20,9.66,27,13.04,130,62.8,10,4.83,20,9.66,04042
4,43,130,11,8.46,6,4.62,96,73.85,7,5.38,10,7.69,04043
4,44,121,8,6.61,15,12.4,78,64.46,9,7.44,11,9.09,04044
4,45,349,19,5.44,41,11.75,259,74.21,8,2.29,22,6.3,04045
4,46,177,15,8.47,19,10.73,117,66.1,3,1.69,23,12.99,04046
4,47,288,23,7.99,33,11.46,199,69.1,13,4.51,20,6.94,04047
4,48,276,17,6.16,30,10.87,198,71.74,13,4.71,18,6.52,04048
4,49,88,17,19.32,13,14.77,50,56.82,2,2.27,6,6.82,04049
4,50,156,27,17.31,21,13.46,92,58.97,2,1.28,14,8.97,04050
4,51,222,18,8.11,32,14.41,151,68.02,4,1.8,17,7.66,04051
4,52,33,10,30.3,4,12.12,14,42.42,3,9.09,2,6.06,04052
4,53,185,29,15.68,24,12.97,109,58.92,4,2.16,19,10.27,04053
4,54,95,5,5.26,10,10.53,69,72.63,4,4.21,7,7.37,04054
4,55,122,2,1.64,12,9.84,88,72.13,16,13.11,4,3.28,04055
4,56,232,36,15.52,46,19.83,120,51.72,6,2.59,24,10.34,04056
4,57,118,12,10.17,16,13.56,71,60.17,4,3.39,15,12.71,04057
5,1,172,17,9.88,24,13.95,116,67.44,2,1.16,13,7.56,05001
5,2,181,30,16.57,13,7.18,109,60.22,14,7.73,15,8.29,05002
5,3,100,10,10.0,10,10.0,60,60.0,15,15.0,5,5.0,05003
5,4,162,21,12.96,20,12.35,100,61.73,9,5.56,12,7.41,05004
5,5,156,31,19.87,22,14.1,84,53.85,5,3.21,14,8.97,05005
5,6,205,24,11.71,34,16.59,122,59.51,6,2.93,19,9.27,05006
5,7,234,16,6.84,24,10.26,172,73.5,9,3.85,13,5.56,05007
5,8,213,15,7.04,21,9.86,152,71.36,17,7.98,8,3.76,05008
5,9,195,23,11.79,27,13.85,119,61.03,4,2.05,22,11.28,05009
5,10,185,24,12.97,25,13.51,115,62.16,5,2.7,16,8.65,05010
5,11,208,7,3.37,17,8.17,161,77.4,12,5.77,11,5.29,05011
5,12,123,26,21.14,24,19.51,60,48.78,4,3.25,9,7.32,05012
5,13,157,23,14.65,30,19.11,90,57.32,3,1.91,11,7.01,05013
5,14,253,18,7.11,23,9.09,159,62.85,30,11.86,23,9.09,05014
5,15,178,15,8.43,25,14.04,113,63.48,15,8.43,10,5.62,05015
5,16,140,18,12.86,27,19.29,71,50.71,8,5.71,16,11.43,05016
5,17,196,32,16.33,27,13.78,113,57.65,9,4.59,15,7.65,05017
5,18,225,32,14.22,30,13.33,142,63.11,4,1.78,17,7.56,05018
5,19,79,9,11.39,14,17.72,40,50.63,5,6.33,11,13.92,05019
5,20,66,5,7.58,10,15.15,40,60.61,3,4.55,8,12.12,05020
5,21,223,41,18.39,29,13.0,116,52.02,6,2.69,31,13.9,05021
5,22,191,27,14.14,46,24.08,85,44.5,5,2.62,28,14.66,05022
5,23,150,18,12.0,26,17.33,90,60.0,4,2.67,12,8.0,05023
5,24,146,10,6.85,22,15.07,103,70.55,4,2.74,7,4.79,05024
5,25,179,24,13.41,30,16.76,104,58.1,9,5.03,12,6.7,05025
5,26,187,18,9.63,30,16.04,118,63.1,7,3.74,14,7.49,05026
5,27,209,19,9.09,17,8.13,138,66.03,24,11.48,11,5.26,05027
5,28,193,14,7.25,27,13.99,135,69.95,2,1.04,15,7.77,05028
5,29,209,25,11.96,30,14.35,133,63.64,5,2.39,16,7.66,05029
5,30,129,8,6.2,9,6.98,93,72.09,13,10.08,6,4.65,05030
5,31,167,20,11.98,26,15.57,95,56.89,7,4.19,19,11.38,05031
5,32,264,15,5.68,25,9.47,183,69.32,15,5.68,26,9.85,05032
5,33,133,9,6.77,25,18.8,81,60.9,5,3.76,13,9.77,05033
5,34,188,25,13.3,23,12.23,109,57.98,9,4.79,22,11.7,05034
5,35,127,3,2.36,14,11.02,88,69.29,12,9.45,10,7.87,05035
5,36,124,18,14.52,21,16.94,65,52.42,5,4.03,15,12.1,05036
5,37,147,13,8.84,20,13.61,79,53.74,20,13.61,15,10.2,05037
5,38,174,16,9.2,26,14.94,96,55.17,22,12.64,14,8.05,05038
5,39,177,13,7.34,16,9.04,133,75.14,10,5.65,5,2.82,05039
5,40,215,25,11.63,35,16.28,128,59.53,6,2.79,21,9.77,05040
5,41,122,13,10.66,15,12.3,75,61.48,11,9.02,8,6.56,05041
5,42,206,23,11.17,32,15.53,117,56.8,8,3.88,26,12.62,05042
5,43,219,20,9.13,32,14.61,140,63.93,3,1.37,24,10.96,05043
5,44,216,23,10.65,26,12.04,139,64.35,7,3.24,21,9.72,05044
5,45,113,21,18.58,9,7.96,61,53.98,5,4.42,17,15.04,05045
5,46,195,17,8.72,23,11.79,118,60.51,22,11.28,15,7.69,05046
5,47,145,13,8.97,24,16.55,96,66.21,3,2.07,9,6.21,05047
5,48,141,12,8.51,23,16.31,78,55.32,11,7.8,17,12.06,05048
5,49,38,6,15.79,9,23.68,19,50.0,1,2.63,3,7.89,05049
5,50,165,21,12.73,25,15.15,96,58.18,7,4.24,16,9.7,05050
5,51,152,26,17.11,22,14.47,83,54.61,8,5.26,13,8.55,05051
5,52,46,2,4.35,8,17.39,31,67.39,4,8.7,1,2.17,05052
5,53,220,12,5.45,34,15.45,129,58.64,18,8.18,27,12.27,05053
5,54,279,23,8.24,31,11.11,198,70.97,9,3.23,18,6.45,05054
5,55,137,15,10.95,21,15.33,76,55.47,6,4.38,19,13.87,05055
6,1,269,21,7.81,37,13.75,187,69.52,4,1.49,20,7.43,06001
6,2,262,24,9.16,42,16.03,172,65.65,7,2.67,17,6.49,06002
6,3,217,25,11.52,34,15.67,131,60.37,7,3.23,20,9.22,06003
6,4,116,24,20.69,11,9.48,62,53.45,5,4.31,14,12.07,06004
6,5,87,12,13.79,14,16.09,50,57.47,4,4.6,7,8.05,06005
6,6,178,14,7.87,33,18.54,101,56.74,8,4.49,22,12.36,06006
6,7,225,25,11.11,41,18.22,132,58.67,6,2.67,21,9.33,06007
6,8,204,19,9.31,25,12.25,133,65.2,7,3.43,20,9.8,06008
6,9,161,14,8.7,13,8.07,120,74.53,2,1.24,12,7.45,06009
6,10,256,19,7.42,41,16.02,167,65.23,6,2.34,23,8.98,06010
6,11,214,18,8.41,29,13.55,145,67.76,3,1.4,19,8.88,06011
6,12,142,23,16.2,26,18.31,73,51.41,3,2.11,17,11.97,06012
6,13,172,13,7.56,34,19.77,98,56.98,4,2.33,23,13.37,06013
6,14,199,25,12.56,29,14.57,116,58.29,7,3.52,22,11.06,06014
6,15,158,31,19.62,24,15.19,77,48.73,10,6.33,16,10.13,06015
6,16,234,23,9.83,31,13.25,152,64.96,6,2.56,22,9.4,06016
6,17,263,29,11.03,25,9.51,174,66.16,5,1.9,30,11.41,06017
6,18,52,8,15.38,10,19.23,27,51.92,1,1.92,6,11.54,06018
6,19,244,38,15.57,34,13.93,137,56.15,6,2.46,29,11.89,06019
6,20,202,27,13.37,39,19.31,100,49.5,11,5.45,25,12.38,06020
6,21,206,15,7.28,21,10.19,154,74.76,1,0.49,15,7.28,06021
6,22,206,21,10.19,20,9.71,141,68.45,3,1.46,21,10.19,06022
6,23,179,20,11.17,27,15.08,113,63.13,6,3.35,13,7.26,06023
6,24,222,30,13.51,34,15.32,124,55.86,5,2.25,29,13.06,06024
6,25,149,22,14.77,22,14.77,95,63.76,2,1.34,8,5.37,06025
6,26,206,25,12.14,38,18.45,120,58.25,6,2.91,17,8.25,06026
6,27,306,28,9.15,39,12.75,202,66.01,6,1.96,31,10.13,06027
6,28,342,28,8.19,46,13.45,220,64.33,4,1.17,44,12.87,06028
6,29,241,21,8.71,31,12.86,159,65.98,6,2.49,24,9.96,06029
6,30,174,21,12.07,37,21.26,87,50.0,6,3.45,23,13.22,06030
6,31,248,26,10.48,46,18.55,152,61.29,5,2.02,19,7.66,06031
6,32,244,39,15.98,35,14.34,132,54.1,10,4.1,28,11.48,06032
6,33,238,34,14.29,37,15.55,138,57.98,5,2.1,24,10.08,06033
6,34,184,24,13.04,22,11.96,118,64.13,7,3.8,13,7.07,06034
6,35,269,26,9.67,34,12.64,184,68.4,5,1.86,20,7.43,06035
6,36,40,10,25.0,6,15.0,19,47.5,0,0.0,5,12.5,06036
6,37,248,25,10.08,31,12.5,160,64.52,6,2.42,26,10.48,06037
6,38,256,40,15.63,49,19.14,130,50.78,12,4.69,25,9.77,06038
6,39,185,20,10.81,23,12.43,121,65.41,3,1.62,18,9.73,06039
6,40,120,21,17.5,22,18.33,64,53.33,3,2.5,10,8.33,06040
6,41,202,16,7.92,23,11.39,146,72.28,5,2.48,12,5.94,06041
6,42,97,11,11.34,17,17.53,54,55.67,3,3.09,12,12.37,06042
6,43,227,29,12.78,30,13.22,145,63.88,7,3.08,16,7.05,06043
6,44,201,25,12.44,20,9.95,136,67.66,7,3.48,13,6.47,06044
6,45,145,19,13.1,32,22.07,73,50.34,3,2.07,18,12.41,06045
6,46,166,16,9.64,27,16.27,108,65.06,2,1.2,13,7.83,06046
6,47,232,31,13.36,38,16.38,134,57.76,9,3.88,20,8.62,06047
6,48,238,29,12.18,36,15.13,141,59.24,7,2.94,25,10.5,06048
6,49,198,30,15.15,41,20.71,106,53.54,3,1.52,18,9.09,06049
6,50,231,24,10.39,27,11.69,155,67.1,2,0.87,23,9.96,06050
6,51,161,16,9.94,26,16.15,101,62.73,5,3.11,13,8.07,06051
6,52,153,21,13.73,22,14.38,92,60.13,3,1.96,15,9.8,06052
6,53,191,26,13.61,30,15.71,105,54.97,8,4.19,22,11.52,06053
6,54,184,21,11.41,32,17.39,111,60.33,4,2.17,16,8.7,06054
6,55,162,19,11.73,16,9.88,111,68.52,2,1.23,14,8.64,06055
6,56,144,22,15.28,23,15.97,88,61.11,4,2.78,7,4.86,06056
6,57,122,16,13.11,23,18.85,70,57.38,7,5.74,6,4.92,06057
6,58,241,21,8.71,42,17.43,145,60.17,6,2.49,27,11.2,06058
6,59,210,25,11.9,26,12.38,139,66.19,10,4.76,10,4.76,06059
6,60,136,11,8.09,15,11.03,82,60.29,4,2.94,24,17.65,06060
6,61,131,17,12.98,24,18.32,73,55.73,5,3.82,12,9.16,06061
6,62,69,12,17.39,11,15.94,39,56.52,1,1.45,6,8.7,06062
6,63,179,20,11.17,28,15.64,110,61.45,6,3.35,15,8.38,06063
6,64,256,23,8.98,35,13.67,174,67.97,4,1.56,20,7.81,06064
6,65,58,11,18.97,6,10.34,32,55.17,3,5.17,6,10.34,06065
6,66,171,19,11.11,35,20.47,88,51.46,12,7.02,17,9.94,06066
7,1,239,25,10.46,19,7.95,168,70.29,9,3.77,18,7.53,07001
7,2,236,21,8.9,27,11.44,150,63.56,10,4.24,28,11.86,07002
7,3,133,19,14.29,18,13.53,72,54.14,7,5.26,17,12.78,07003
7,4,147,19,12.93,18,12.24,83,56.46,8,5.44,19,12.93,07004
7,5,141,10,7.09,23,16.31,84,59.57,13,9.22,11,7.8,07005
7,6,143,14,9.79,17,11.89,94,65.73,6,4.2,12,8.39,07006
7,7,113,16,14.16,12,10.62,66,58.41,3,2.65,16,14.16,07007
7,8,57,6,10.53,9,15.79,34,59.65,7,12.28,1,1.75,07008
7,9,185,17,9.19,20,10.81,121,65.41,8,4.32,19,10.27,07009
7,10,127,18,14.17,12,9.45,82,64.57,3,2.36,12,9.45,07010
7,11,183,12,6.56,31,16.94,119,65.03,2,1.09,19,10.38,07011
