ward,precinct,total,Marlow H. Colvin,Marlow H. Colvin Percent,George C Roby,George C Roby Percent,Derrick Prince,Derrick Prince Percent,precinct_id
8,64,186,118,63.44,24,12.9,44,23.66,08064
8,65,150,86,57.33,24,16.0,40,26.67,08065
10,3,108,59,54.63,34,31.48,15,13.89,10003
10,6,150,66,44.0,38,25.33,46,30.67,10006
10,8,119,69,57.98,41,34.45,9,7.56,10008
10,9,150,85,56.67,44,29.33,21,14.0,10009
10,10,128,50,39.06,68,53.13,10,7.81,10010
10,11,124,58,46.77,53,42.74,13,10.48,10011
10,12,93,40,43.01,44,47.31,9,9.68,10012
10,13,112,48,42.86,51,45.54,13,11.61,10013
10,14,137,55,40.15,61,44.53,21,15.33,10014
10,16,130,73,56.15,41,31.54,16,12.31,10016
10,19,135,55,40.74,63,46.67,17,12.59,10019
10,20,96,39,40.63,42,43.75,15,15.63,10020
10,23,79,35,44.3,33,41.77,11,13.92,10023
10,24,107,48,44.86,38,35.51,21,19.63,10024
10,26,94,40,42.55,36,38.3,18,19.15,10026
10,27,139,61,43.88,47,33.81,31,22.3,10027
10,28,143,69,48.25,34,23.78,40,27.97,10028
10,29,128,57,44.53,19,14.84,52,40.63,10029
10,30,132,50,37.88,55,41.67,27,20.45,10030
10,31,127,66,51.97,44,34.65,17,13.39,10031
10,32,135,67,49.63,45,33.33,23,17.04,10032
10,33,106,51,48.11,44,41.51,11,10.38,10033
10,34,125,53,42.4,52,41.6,20,16.0,10034
10,35,125,38,30.4,63,50.4,24,19.2,10035
10,36,138,55,39.86,49,35.51,34,24.64,10036
10,38,159,68,42.77,67,42.14,24,15.09,10038
10,39,115,51,44.35,45,39.13,19,16.52,10039
10,40,109,60,55.05,31,28.44,18,16.51,10040
10,41,137,46,33.58,72,52.55,19,13.87,10041
10,42,119,56,47.06,45,37.82,18,15.13,10042
10,44,85,39,45.88,32,37.65,14,16.47,10044
10,46,108,48,44.44,42,38.89,18,16.67,10046
10,49,10,6,60.0,2,20.0,2,20.0,10049
