ward,precinct,total,James Michael McGing,James Michael McGing Percent,Aurelia Marie Pucinski,Aurelia Marie Pucinski Percent,Carolyn Quinn,Carolyn Quinn Percent,precinct_id
39,16,75,17,22.67,33,44.0,25,33.33,39016
39,17,100,27,27.0,36,36.0,37,37.0,39017
39,18,144,43,29.86,54,37.5,47,32.64,39018
39,19,106,32,30.19,43,40.57,31,29.25,39019
39,20,129,45,34.88,42,32.56,42,32.56,39020
39,21,91,25,27.47,49,53.85,17,18.68,39021
39,22,131,73,55.73,23,17.56,35,26.72,39022
39,23,96,31,32.29,34,35.42,31,32.29,39023
39,24,127,26,20.47,65,51.18,36,28.35,39024
39,25,125,28,22.4,52,41.6,45,36.0,39025
39,26,175,50,28.57,70,40.0,55,31.43,39026
39,27,123,25,20.33,58,47.15,40,32.52,39027
39,28,136,23,16.91,59,43.38,54,39.71,39028
39,29,136,39,28.68,57,41.91,40,29.41,39029
39,30,77,13,16.88,39,50.65,25,32.47,39030
39,31,110,16,14.55,37,33.64,57,51.82,39031
39,33,143,40,27.97,57,39.86,46,32.17,39033
39,34,139,32,23.02,65,46.76,42,30.22,39034
39,35,138,34,24.64,51,36.96,53,38.41,39035
39,36,188,80,42.55,69,36.7,39,20.74,39036
39,37,218,70,32.11,57,26.15,91,41.74,39037
39,38,127,27,21.26,47,37.01,53,41.73,39038
39,39,72,17,23.61,37,51.39,18,25.0,39039
39,40,102,48,47.06,33,32.35,21,20.59,39040
39,41,21,5,23.81,15,71.43,1,4.76,39041
39,42,166,65,39.16,57,34.34,44,26.51,39042
39,43,95,10,10.53,46,48.42,39,41.05,39043
39,44,152,22,14.47,79,51.97,51,33.55,39044
39,45,77,21,27.27,32,41.56,24,31.17,39045
39,46,98,14,14.29,45,45.92,39,39.8,39046
39,47,97,25,25.77,52,53.61,20,20.62,39047
40,1,80,19,23.75,41,51.25,20,25.0,40001
40,2,91,30,32.97,30,32.97,31,34.07,40002
40,5,120,47,39.17,40,33.33,33,27.5,40005
40,6,113,25,22.12,42,37.17,46,40.71,40006
40,8,42,13,30.95,18,42.86,11,26.19,40008
40,10,150,57,38.0,52,34.67,41,27.33,40010
40,14,86,15,17.44,49,56.98,22,25.58,40014
40,15,140,37,26.43,64,45.71,39,27.86,40015
40,17,62,15,24.19,26,41.94,21,33.87,40017
40,18,18,5,27.78,8,44.44,5,27.78,40018
40,19,98,22,22.45,52,53.06,24,24.49,40019
40,20,100,29,29.0,39,39.0,32,32.0,40020
40,21,132,34,25.76,55,41.67,43,32.58,40021
40,24,70,21,30.0,34,48.57,15,21.43,40024
40,25,97,33,34.02,34,35.05,30,30.93,40025
40,29,162,54,33.33,56,34.57,52,32.1,40029
40,30,178,88,49.44,50,28.09,40,22.47,40030
40,31,130,68,52.31,33,25.38,29,22.31,40031
40,32,69,19,27.54,27,39.13,23,33.33,40032
40,34,107,38,35.51,34,31.78,35,32.71,40034
40,36,142,79,55.63,34,23.94,29,20.42,40036
40,38,58,18,31.03,25,43.1,15,25.86,40038
40,44,87,25,28.74,38,43.68,24,27.59,40044
40,48,83,20,24.1,35,42.17,28,33.73,40048
40,49,68,13,19.12,34,50.0,21,30.88,40049
41,1,98,58,59.18,28,28.57,12,12.24,41001
41,2,216,170,78.7,28,12.96,18,8.33,41002
41,3,92,50,54.35,32,34.78,10,10.87,41003
41,4,136,74,54.41,35,25.74,27,19.85,41004
41,5,175,86,49.14,56,32.0,33,18.86,41005
41,6,134,75,55.97,45,33.58,14,10.45,41006
41,7,194,94,48.45,59,30.41,41,21.13,41007
41,8,142,71,50.0,60,42.25,11,7.75,41008
41,9,115,41,35.65,55,47.83,19,16.52,41009
41,10,153,54,35.29,65,42.48,34,22.22,41010
41,11,101,58,57.43,25,24.75,18,17.82,41011
41,12,147,56,38.1,77,52.38,14,9.52,41012
41,13,108,46,42.59,47,43.52,15,13.89,41013
41,14,224,91,40.63,78,34.82,55,24.55,41014
41,15,84,42,50.0,29,34.52,13,15.48,41015
41,16,152,68,44.74,57,37.5,27,17.76,41016
41,17,166,71,42.77,69,41.57,26,15.66,41017
41,18,101,36,35.64,52,51.49,13,12.87,41018
41,19,127,71,55.91,35,27.56,21,16.54,41019
41,20,193,65,33.68,109,56.48,19,9.84,41020
41,21,148,60,40.54,57,38.51,31,20.95,41021
41,22,137,77,56.2,43,31.39,17,12.41,41022
41,23,148,53,35.81,73,49.32,22,14.86,41023
41,24,94,45,47.87,30,31.91,19,20.21,41024
41,30,112,53,47.32,46,41.07,13,11.61,41030
41,31,158,78,49.37,60,37.97,20,12.66,41031
41,32,108,40,37.04,54,50.0,14,12.96,41032
41,33,100,53,53.0,32,32.0,15,15.0,41033
41,34,95,48,50.53,33,34.74,14,14.74,41034
41,35,128,54,42.19,39,30.47,35,27.34,41035
41,36,136,77,56.62,42,30.88,17,12.5,41036
41,37,132,48,36.36,44,33.33,40,30.3,41037
41,39,89,53,59.55,20,22.47,16,17.98,41039
41,40,125,79,63.2,34,27.2,12,9.6,41040
41,41,123,35,28.46,71,57.72,17,13.82,41041
41,42,108,62,57.41,32,29.63,14,12.96,41042
41,43,105,48,45.71,46,43.81,11,10.48,41043
41,44,116,44,37.93,49,42.24,23,19.83,41044
41,45,115,56,48.7,42,36.52,17,14.78,41045
41,46,137,64,46.72,53,38.69,20,14.6,41046
41,49,120,76,63.33,33,27.5,11,9.17,41049
41,50,137,75,54.74,46,33.58,16,11.68,41050
41,51,108,58,53.7,39,36.11,11,10.19,41051
41,52,165,66,40.0,69,41.82,30,18.18,41052
41,53,129,58,44.96,57,44.19,14,10.85,41053
41,55,92,40,43.48,38,41.3,14,15.22,41055
41,56,156,104,66.67,31,19.87,21,13.46,41056
41,57,117,59,50.43,42,35.9,16,13.68,41057
41,58,89,43,48.31,31,34.83,15,16.85,41058
41,59,139,67,48.2,44,31.65,28,20.14,41059
41,60,107,38,35.51,56,52.34,13,12.15,41060
41,61,180,107,59.44,46,25.56,27,15.0,41061
41,62,127,64,50.39,44,34.65,19,14.96,41062
41,63,133,83,62.41,35,26.32,15,11.28,41063
41,64,162,40,24.69,106,65.43,16,9.88,41064
41,65,169,72,42.6,69,40.83,28,16.57,41065
41,66,161,57,35.4,57,35.4,47,29.19,41066
41,68,124,61,49.19,54,43.55,9,7.26,41068
41,69,102,34,33.33,36,35.29,32,31.37,41069
45,2,102,46,45.1,37,36.27,19,18.63,45002
45,3,268,159,59.33,86,32.09,23,8.58,45003
45,4,210,62,29.52,93,44.29,55,26.19,45004
45,5,179,59,32.96,73,40.78,47,26.26,45005
45,6,160,67,41.88,64,40.0,29,18.13,45006
45,7,110,32,29.09,56,50.91,22,20.0,45007
45,8,122,51,41.8,52,42.62,19,15.57,45008
45,9,165,63,38.18,73,44.24,29,17.58,45009
45,10,190,59,31.05,69,36.32,62,32.63,45010
45,11,152,76,50.0,58,38.16,18,11.84,45011
45,12,168,52,30.95,64,38.1,52,30.95,45012
45,13,255,138,54.12,83,32.55,34,13.33,45013
45,14,195,80,41.03,74,37.95,41,21.03,45014
45,15,204,97,47.55,80,39.22,27,13.24,45015
45,16,169,65,38.46,56,33.14,48,28.4,45016
45,17,188,86,45.74,69,36.7,33,17.55,45017
45,18,189,108,57.14,55,29.1,26,13.76,45018
45,19,180,85,47.22,58,32.22,37,20.56,45019
45,20,126,34,26.98,63,50.0,29,23.02,45020
45,21,136,56,41.18,56,41.18,24,17.65,45021
45,22,121,37,30.58,61,50.41,23,19.01,45022
45,23,164,71,43.29,63,38.41,30,18.29,45023
45,24,175,57,32.57,74,42.29,44,25.14,45024
45,25,207,102,49.28,69,33.33,36,17.39,45025
45,26,202,111,54.95,55,27.23,36,17.82,45026
45,27,155,48,30.97,88,56.77,19,12.26,45027
45,28,167,60,35.93,78,46.71,29,17.37,45028
45,29,164,54,32.93,74,45.12,36,21.95,45029
45,30,176,68,38.64,68,38.64,40,22.73,45030
45,31,146,55,37.67,53,36.3,38,26.03,45031
45,32,102,33,32.35,48,47.06,21,20.59,45032
45,33,163,70,42.94,57,34.97,36,22.09,45033
45,34,124,36,29.03,59,47.58,29,23.39,45034
45,35,155,79,50.97,43,27.74,33,21.29,45035
45,36,134,60,44.78,40,29.85,34,25.37,45036
45,37,136,45,33.09,60,44.12,31,22.79,45037
45,38,200,105,52.5,59,29.5,36,18.0,45038
45,39,192,63,32.81,90,46.88,39,20.31,45039
45,40,243,138,56.79,69,28.4,36,14.81,45040
45,41,108,37,34.26,51,47.22,20,18.52,45041
45,42,184,90,48.91,66,35.87,28,15.22,45042
45,43,150,67,44.67,64,42.67,19,12.67,45043
45,44,182,83,45.6,65,35.71,34,18.68,45044
45,45,126,40,31.75,58,46.03,28,22.22,45045
45,46,184,57,30.98,91,49.46,36,19.57,45046
45,47,165,76,46.06,60,36.36,29,17.58,45047
45,48,157,70,44.59,55,35.03,32,20.38,45048
45,49,138,55,39.86,49,35.51,34,24.64,45049
45,50,118,30,25.42,60,50.85,28,23.73,45050
45,51,144,61,42.36,57,39.58,26,18.06,45051
45,52,159,74,46.54,60,37.74,25,15.72,45052
45,53,125,61,48.8,37,29.6,27,21.6,45053
46,21,41,5,12.2,18,43.9,18,43.9,46021
47,1,178,46,25.84,51,28.65,81,45.51,47001
47,2,164,60,36.59,53,32.32,51,31.1,47002
47,3,132,48,36.36,39,29.55,45,34.09,47003
47,4,211,78,36.97,72,34.12,61,28.91,47004
47,5,147,34,23.13,41,27.89,72,48.98,47005
47,6,248,110,44.35,63,25.4,75,30.24,47006
47,7,162,47,29.01,53,32.72,62,38.27,47007
47,8,249,87,34.94,75,30.12,87,34.94,47008
47,9,127,66,51.97,35,27.56,26,20.47,47009
47,10,135,23,17.04,47,34.81,65,48.15,47010
47,11,299,158,52.84,68,22.74,73,24.41,47011
47,12,167,53,31.74,69,41.32,45,26.95,47012
47,13,238,64,26.89,83,34.87,91,38.24,47013
47,14,121,38,31.4,37,30.58,46,38.02,47014
47,16,167,41,24.55,60,35.93,66,39.52,47016
47,17,179,70,39.11,52,29.05,57,31.84,47017
47,19,259,148,57.14,46,17.76,65,25.1,47019
47,20,196,80,40.82,46,23.47,70,35.71,47020
47,21,22,8,36.36,5,22.73,9,40.91,47021
47,22,195,52,26.67,62,31.79,81,41.54,47022
47,25,203,73,35.96,48,23.65,82,40.39,47025
47,26,228,52,22.81,86,37.72,90,39.47,47026
47,27,157,39,24.84,43,27.39,75,47.77,47027
47,28,269,98,36.43,77,28.62,94,34.94,47028
47,29,165,37,22.42,47,28.48,81,49.09,47029
47,30,189,55,29.1,59,31.22,75,39.68,47030
47,31,154,32,20.78,40,25.97,82,53.25,47031
47,32,196,64,32.65,53,27.04,79,40.31,47032
47,33,185,64,34.59,58,31.35,63,34.05,47033
47,34,221,64,28.96,62,28.05,95,42.99,47034
47,35,225,95,42.22,53,23.56,77,34.22,47035
47,36,256,59,23.05,68,26.56,129,50.39,47036
47,37,211,83,39.34,51,24.17,77,36.49,47037
47,38,200,60,30.0,58,29.0,82,41.0,47038
47,39,165,43,26.06,42,25.45,80,48.48,47039
47,42,125,33,26.4,37,29.6,55,44.0,47042
47,43,114,35,30.7,32,28.07,47,41.23,47043
47,45,179,39,21.79,59,32.96,81,45.25,47045
47,46,104,26,25.0,41,39.42,37,35.58,47046
47,47,173,52,30.06,58,33.53,63,36.42,47047
47,48,52,27,51.92,13,25.0,12,23.08,47048
47,49,133,55,41.35,25,18.8,53,39.85,47049
47,50,104,36,34.62,31,29.81,37,35.58,47050
47,51,105,28,26.67,44,41.9,33,31.43,47051
48,49,11,2,18.18,6,54.55,3,27.27,48049
50,8,122,31,25.41,53,43.44,38,31.15,50008
50,23,69,10,14.49,41,59.42,18,26.09,50023
50,29,142,29,20.42,72,50.7,41,28.87,50029
50,45,0,0,0.0,0,0.0,0,0.0,50045
