ward,precinct,total,Jean L. Hart (Gephardt),Jean L. Hart (Gephardt) Percent,Irene H. Brodie (Braun),Irene H. Brodie (Braun) Percent,Thelma Jean Quince (Edwards),Thelma Jean Quince (Edwards) Percent,Tanya Baker (Kerry),Tanya Baker (Kerry) Percent,precinct_id
5,19,68,3,4.41,12,17.65,8,11.76,45,66.18,05019
5,20,62,5,8.06,20,32.26,6,9.68,31,50.0,05020
5,22,173,13,7.51,45,26.01,28,16.18,87,50.29,05022
5,23,131,11,8.4,32,24.43,17,12.98,71,54.2,05023
5,25,172,17,9.88,53,30.81,20,11.63,82,47.67,05025
5,27,231,7,3.03,14,6.06,33,14.29,177,76.62,05027
5,30,150,7,4.67,11,7.33,12,8.0,120,80.0,05030
5,33,121,9,7.44,25,20.66,7,5.79,80,66.12,05033
5,35,139,6,4.32,19,13.67,16,11.51,98,70.5,05035
5,39,189,7,3.7,12,6.35,15,7.94,155,82.01,05039
5,41,183,4,2.19,10,5.46,21,11.48,148,80.87,05041
5,45,100,8,8.0,32,32.0,15,15.0,45,45.0,05045
5,48,142,10,7.04,20,14.08,10,7.04,102,71.83,05048
5,50,154,14,9.09,44,28.57,11,7.14,85,55.19,05050
5,51,135,14,10.37,36,26.67,19,14.07,66,48.89,05051
5,52,49,2,4.08,8,16.33,8,16.33,31,63.27,05052
5,53,221,10,4.52,36,16.29,23,10.41,152,68.78,05053
5,55,140,11,7.86,42,30.0,11,7.86,76,54.29,05055
6,1,236,20,8.47,62,26.27,13,5.51,141,59.75,06001
6,2,239,15,6.28,57,23.85,24,10.04,143,59.83,06002
6,3,200,20,10.0,48,24.0,18,9.0,114,57.0,06003
6,4,116,19,16.38,30,25.86,17,14.66,50,43.1,06004
6,5,87,12,13.79,13,14.94,14,16.09,48,55.17,06005
6,6,182,17,9.34,45,24.73,13,7.14,107,58.79,06006
6,7,221,19,8.6,44,19.91,21,9.5,137,61.99,06007
6,8,174,16,9.2,41,23.56,16,9.2,101,58.05,06008
6,9,130,5,3.85,29,22.31,14,10.77,82,63.08,06009
6,10,247,24,9.72,62,25.1,26,10.53,135,54.66,06010
6,11,189,16,8.47,43,22.75,13,6.88,117,61.9,06011
6,12,134,13,9.7,35,26.12,17,12.69,69,51.49,06012
6,13,151,13,8.61,40,26.49,16,10.6,82,54.3,06013
6,14,179,19,10.61,48,26.82,16,8.94,96,53.63,06014
6,15,145,15,10.34,42,28.97,16,11.03,72,49.66,06015
6,16,208,15,7.21,61,29.33,21,10.1,111,53.37,06016
6,17,229,10,4.37,63,27.51,25,10.92,131,57.21,06017
6,18,42,4,9.52,11,26.19,8,19.05,19,45.24,06018
6,19,211,21,9.95,58,27.49,21,9.95,111,52.61,06019
6,20,149,21,14.09,34,22.82,17,11.41,77,51.68,06020
6,23,145,12,8.28,44,30.34,19,13.1,70,48.28,06023
6,24,193,16,8.29,57,29.53,16,8.29,104,53.89,06024
6,25,135,9,6.67,34,25.19,16,11.85,76,56.3,06025
6,26,175,27,15.43,42,24.0,15,8.57,91,52.0,06026
6,27,257,20,7.78,72,28.02,23,8.95,142,55.25,06027
6,28,318,25,7.86,82,25.79,39,12.26,172,54.09,06028
6,29,221,19,8.6,46,20.81,24,10.86,132,59.73,06029
6,30,169,12,7.1,46,27.22,20,11.83,91,53.85,06030
6,31,218,13,5.96,71,32.57,24,11.01,110,50.46,06031
6,32,243,22,9.05,66,27.16,33,13.58,122,50.21,06032
6,33,227,11,4.85,65,28.63,18,7.93,133,58.59,06033
6,34,172,19,11.05,40,23.26,17,9.88,96,55.81,06034
6,35,240,23,9.58,69,28.75,20,8.33,128,53.33,06035
6,36,33,8,24.24,4,12.12,5,15.15,16,48.48,06036
6,37,233,13,5.58,63,27.04,23,9.87,134,57.51,06037
6,38,225,16,7.11,47,20.89,24,10.67,138,61.33,06038
6,39,148,16,10.81,47,31.76,22,14.86,63,42.57,06039
6,40,117,6,5.13,39,33.33,20,17.09,52,44.44,06040
6,41,187,16,8.56,54,28.88,19,10.16,98,52.41,06041
6,42,83,16,19.28,18,21.69,9,10.84,40,48.19,06042
6,43,185,16,8.65,46,24.86,19,10.27,104,56.22,06043
6,44,188,11,5.85,56,29.79,12,6.38,109,57.98,06044
6,45,126,9,7.14,34,26.98,12,9.52,71,56.35,06045
6,46,163,9,5.52,51,31.29,20,12.27,83,50.92,06046
6,47,216,15,6.94,78,36.11,19,8.8,104,48.15,06047
6,48,217,24,11.06,51,23.5,23,10.6,119,54.84,06048
6,49,181,17,9.39,42,23.2,22,12.15,100,55.25,06049
6,50,202,27,13.37,44,21.78,18,8.91,113,55.94,06050
6,51,143,12,8.39,38,26.57,15,10.49,78,54.55,06051
6,52,146,11,7.53,44,30.14,14,9.59,77,52.74,06052
6,53,181,19,10.5,49,27.07,15,8.29,98,54.14,06053
6,54,165,16,9.7,31,18.79,11,6.67,107,64.85,06054
6,55,150,15,10.0,38,25.33,15,10.0,82,54.67,06055
6,56,131,10,7.63,33,25.19,9,6.87,79,60.31,06056
6,57,113,11,9.73,32,28.32,6,5.31,64,56.64,06057
6,58,215,9,4.19,56,26.05,24,11.16,126,58.6,06058
6,59,199,13,6.53,51,25.63,19,9.55,116,58.29,06059
6,60,120,9,7.5,33,27.5,13,10.83,65,54.17,06060
6,61,112,3,2.68,31,27.68,13,11.61,65,58.04,06061
6,62,58,4,6.9,14,24.14,5,8.62,35,60.34,06062
6,63,160,8,5.0,51,31.88,15,9.38,86,53.75,06063
6,65,49,5,10.2,14,28.57,5,10.2,25,51.02,06065
6,66,156,10,6.41,38,24.36,15,9.62,93,59.62,06066
8,1,212,13,6.13,75,35.38,14,6.6,110,51.89,08001
8,2,123,13,10.57,38,30.89,9,7.32,63,51.22,08002
8,3,48,3,6.25,16,33.33,4,8.33,25,52.08,08003
8,6,221,18,8.14,90,40.72,23,10.41,90,40.72,08006
8,10,268,18,6.72,73,27.24,24,8.96,153,57.09,08010
8,11,169,13,7.69,47,27.81,14,8.28,95,56.21,08011
8,12,153,13,8.5,51,33.33,19,12.42,70,45.75,08012
8,13,152,13,8.55,59,38.82,16,10.53,64,42.11,08013
8,14,137,14,10.22,49,35.77,14,10.22,60,43.8,08014
8,16,206,15,7.28,53,25.73,20,9.71,118,57.28,08016
8,18,99,15,15.15,25,25.25,13,13.13,46,46.46,08018
8,20,153,17,11.11,45,29.41,19,12.42,72,47.06,08020
8,21,145,15,10.34,44,30.34,10,6.9,76,52.41,08021
8,22,172,15,8.72,50,29.07,14,8.14,93,54.07,08022
8,29,200,23,11.5,73,36.5,15,7.5,89,44.5,08029
8,30,132,13,9.85,35,26.52,15,11.36,69,52.27,08030
8,31,114,11,9.65,41,35.96,14,12.28,48,42.11,08031
8,33,201,14,6.97,43,21.39,14,6.97,130,64.68,08033
8,35,237,22,9.28,81,34.18,14,5.91,120,50.63,08035
8,37,216,29,13.43,57,26.39,28,12.96,102,47.22,08037
8,38,180,21,11.67,51,28.33,18,10.0,90,50.0,08038
8,40,185,8,4.32,62,33.51,12,6.49,103,55.68,08040
8,41,177,15,8.47,54,30.51,18,10.17,90,50.85,08041
8,43,164,17,10.37,39,23.78,18,10.98,90,54.88,08043
8,45,143,14,9.79,50,34.97,17,11.89,62,43.36,08045
8,48,149,14,9.4,47,31.54,18,12.08,70,46.98,08048
8,52,227,18,7.93,74,32.6,18,7.93,117,51.54,08052
8,53,228,16,7.02,79,34.65,17,7.46,116,50.88,08053
8,54,198,21,10.61,68,34.34,22,11.11,87,43.94,08054
8,55,184,13,7.07,55,29.89,18,9.78,98,53.26,08055
8,56,192,16,8.33,62,32.29,22,11.46,92,47.92,08056
8,58,231,18,7.79,75,32.47,12,5.19,126,54.55,08058
8,59,108,12,11.11,28,25.93,10,9.26,58,53.7,08059
8,61,144,11,7.64,45,31.25,10,6.94,78,54.17,08061
8,64,151,18,11.92,41,27.15,16,10.6,76,50.33,08064
8,67,78,9,11.54,29,37.18,5,6.41,35,44.87,08067
8,68,112,6,5.36,26,23.21,15,13.39,65,58.04,08068
8,69,115,11,9.57,39,33.91,14,12.17,51,44.35,08069
9,54,144,12,8.33,28,19.44,19,13.19,85,59.03,09054
9,56,114,17,14.91,28,24.56,17,14.91,52,45.61,09056
9,58,137,10,7.3,47,34.31,16,11.68,64,46.72,09058
15,2,110,13,11.82,28,25.45,16,14.55,53,48.18,15002
15,3,115,17,14.78,23,20.0,18,15.65,57,49.57,15003
15,4,86,9,10.47,20,23.26,11,12.79,46,53.49,15004
15,5,95,18,18.95,19,20.0,11,11.58,47,49.47,15005
15,6,120,10,8.33,38,31.67,14,11.67,58,48.33,15006
15,7,121,16,13.22,27,22.31,11,9.09,67,55.37,15007
15,8,148,16,10.81,35,23.65,26,17.57,71,47.97,15008
15,9,116,12,10.34,20,17.24,9,7.76,75,64.66,15009
15,11,123,13,10.57,37,30.08,17,13.82,56,45.53,15011
15,12,88,9,10.23,19,21.59,13,14.77,47,53.41,15012
15,17,114,15,13.16,24,21.05,18,15.79,57,50.0,15017
15,18,95,13,13.68,20,21.05,13,13.68,49,51.58,15018
15,19,125,16,12.8,28,22.4,21,16.8,60,48.0,15019
15,20,108,16,14.81,31,28.7,15,13.89,46,42.59,15020
15,21,116,20,17.24,34,29.31,15,12.93,47,40.52,15021
15,22,122,13,10.66,28,22.95,16,13.11,65,53.28,15022
15,23,92,12,13.04,27,29.35,15,16.3,38,41.3,15023
15,24,94,10,10.64,21,22.34,16,17.02,47,50.0,15024
15,26,91,6,6.59,31,34.07,14,15.38,40,43.96,15026
15,27,79,10,12.66,18,22.78,12,15.19,39,49.37,15027
15,29,45,7,15.56,11,24.44,3,6.67,24,53.33,15029
15,30,146,18,12.33,43,29.45,19,13.01,66,45.21,15030
15,31,83,9,10.84,23,27.71,16,19.28,35,42.17,15031
15,33,87,7,8.05,25,28.74,9,10.34,46,52.87,15033
15,34,76,4,5.26,24,31.58,15,19.74,33,43.42,15034
15,35,100,14,14.0,30,30.0,8,8.0,48,48.0,15035
15,36,87,10,11.49,24,27.59,12,13.79,41,47.13,15036
15,37,103,15,14.56,20,19.42,8,7.77,60,58.25,15037
15,38,104,10,9.62,21,20.19,14,13.46,59,56.73,15038
15,39,113,14,12.39,31,27.43,17,15.04,51,45.13,15039
15,40,114,14,12.28,26,22.81,22,19.3,52,45.61,15040
15,41,154,13,8.44,32,20.78,20,12.99,89,57.79,15041
15,42,70,9,12.86,14,20.0,9,12.86,38,54.29,15042
15,43,103,14,13.59,28,27.18,19,18.45,42,40.78,15043
15,45,50,3,6.0,11,22.0,6,12.0,30,60.0,15045
15,46,111,14,12.61,32,28.83,11,9.91,54,48.65,15046
15,47,123,15,12.2,33,26.83,16,13.01,59,47.97,15047
15,48,88,7,7.95,20,22.73,16,18.18,45,51.14,15048
15,49,21,0,0.0,4,19.05,5,23.81,12,57.14,15049
15,50,99,7,7.07,24,24.24,13,13.13,55,55.56,15050
15,51,74,6,8.11,20,27.03,12,16.22,36,48.65,15051
15,52,71,10,14.08,16,22.54,16,22.54,29,40.85,15052
16,2,90,9,10.0,24,26.67,12,13.33,45,50.0,16002
16,3,104,6,5.77,34,32.69,11,10.58,53,50.96,16003
16,5,140,17,12.14,37,26.43,26,18.57,60,42.86,16005
16,8,82,12,14.63,21,25.61,12,14.63,37,45.12,16008
16,9,165,22,13.33,39,23.64,16,9.7,88,53.33,16009
16,10,91,7,7.69,26,28.57,10,10.99,48,52.75,16010
16,12,84,10,11.9,21,25.0,11,13.1,42,50.0,16012
16,14,126,10,7.94,35,27.78,13,10.32,68,53.97,16014
16,19,87,4,4.6,20,22.99,13,14.94,50,57.47,16019
16,25,85,9,10.59,20,23.53,11,12.94,45,52.94,16025
16,26,117,21,17.95,30,25.64,18,15.38,48,41.03,16026
16,27,117,12,10.26,31,26.5,17,14.53,57,48.72,16027
16,28,136,9,6.62,28,20.59,19,13.97,80,58.82,16028
16,31,110,15,13.64,34,30.91,10,9.09,51,46.36,16031
16,34,108,13,12.04,25,23.15,15,13.89,55,50.93,16034
16,36,101,13,12.87,25,24.75,14,13.86,49,48.51,16036
16,37,77,9,11.69,22,28.57,5,6.49,41,53.25,16037
16,38,131,19,14.5,32,24.43,21,16.03,59,45.04,16038
16,40,144,19,13.19,38,26.39,28,19.44,59,40.97,16040
16,41,46,6,13.04,12,26.09,5,10.87,23,50.0,16041
16,43,120,13,10.83,20,16.67,24,20.0,63,52.5,16043
16,44,81,15,18.52,19,23.46,18,22.22,29,35.8,16044
16,45,78,7,8.97,19,24.36,11,14.1,41,52.56,16045
16,46,34,6,17.65,11,32.35,5,14.71,12,35.29,16046
16,47,43,3,6.98,8,18.6,9,20.93,23,53.49,16047
17,1,92,13,14.13,28,30.43,15,16.3,36,39.13,17001
17,2,114,17,14.91,35,30.7,11,9.65,51,44.74,17002
17,3,95,15,15.79,22,23.16,10,10.53,48,50.53,17003
17,4,207,31,14.98,47,22.71,23,11.11,106,51.21,17004
17,5,137,17,12.41,36,26.28,9,6.57,75,54.74,17005
17,6,109,11,10.09,27,24.77,13,11.93,58,53.21,17006
17,7,176,16,9.09,46,26.14,21,11.93,93,52.84,17007
17,8,107,6,5.61,26,24.3,12,11.21,63,58.88,17008
17,9,91,13,14.29,28,30.77,9,9.89,41,45.05,17009
17,10,150,16,10.67,32,21.33,11,7.33,91,60.67,17010
17,11,150,18,12.0,29,19.33,26,17.33,77,51.33,17011
17,12,178,19,10.67,41,23.03,16,8.99,102,57.3,17012
17,13,103,15,14.56,22,21.36,19,18.45,47,45.63,17013
17,14,129,13,10.08,39,30.23,21,16.28,56,43.41,17014
17,15,106,8,7.55,34,32.08,17,16.04,47,44.34,17015
17,16,119,13,10.92,32,26.89,16,13.45,58,48.74,17016
17,17,91,10,10.99,29,31.87,12,13.19,40,43.96,17017
17,18,132,16,12.12,28,21.21,16,12.12,72,54.55,17018
17,19,49,4,8.16,15,30.61,11,22.45,19,38.78,17019
17,20,144,20,13.89,26,18.06,18,12.5,80,55.56,17020
17,21,224,29,12.95,40,17.86,31,13.84,124,55.36,17021
17,22,134,14,10.45,42,31.34,12,8.96,66,49.25,17022
17,23,101,12,11.88,30,29.7,17,16.83,42,41.58,17023
17,24,141,10,7.09,29,20.57,10,7.09,92,65.25,17024
17,25,83,7,8.43,25,30.12,10,12.05,41,49.4,17025
17,26,172,14,8.14,48,27.91,25,14.53,85,49.42,17026
17,27,180,28,15.56,49,27.22,17,9.44,86,47.78,17027
17,28,120,11,9.17,28,23.33,17,14.17,64,53.33,17028
17,29,165,10,6.06,32,19.39,19,11.52,104,63.03,17029
17,30,155,22,14.19,37,23.87,26,16.77,70,45.16,17030
17,31,129,14,10.85,30,23.26,16,12.4,69,53.49,17031
17,32,140,17,12.14,38,27.14,19,13.57,66,47.14,17032
17,33,105,11,10.48,29,27.62,11,10.48,54,51.43,17033
17,34,125,18,14.4,42,33.6,10,8.0,55,44.0,17034
17,35,88,7,7.95,21,23.86,7,7.95,53,60.23,17035
17,36,72,8,11.11,21,29.17,8,11.11,35,48.61,17036
17,37,112,9,8.04,38,33.93,13,11.61,52,46.43,17037
17,38,131,14,10.69,27,20.61,11,8.4,79,60.31,17038
17,39,95,16,16.84,25,26.32,16,16.84,38,40.0,17039
17,40,100,10,10.0,19,19.0,16,16.0,55,55.0,17040
17,41,130,17,13.08,38,29.23,9,6.92,66,50.77,17041
17,42,114,5,4.39,32,28.07,11,9.65,66,57.89,17042
17,43,131,19,14.5,34,25.95,21,16.03,57,43.51,17043
17,44,121,11,9.09,31,25.62,19,15.7,60,49.59,17044
17,45,86,6,6.98,27,31.4,9,10.47,44,51.16,17045
17,46,158,23,14.56,39,24.68,28,17.72,68,43.04,17046
17,47,89,12,13.48,23,25.84,15,16.85,39,43.82,17047
17,48,153,14,9.15,33,21.57,20,13.07,86,56.21,17048
17,49,107,14,13.08,23,21.5,12,11.21,58,54.21,17049
17,50,121,10,8.26,31,25.62,15,12.4,65,53.72,17050
17,51,152,16,10.53,30,19.74,16,10.53,90,59.21,17051
17,52,178,22,12.36,48,26.97,10,5.62,98,55.06,17052
17,53,141,15,10.64,38,26.95,14,9.93,74,52.48,17053
17,54,161,9,5.59,44,27.33,15,9.32,93,57.76,17054
17,55,112,15,13.39,23,20.54,9,8.04,65,58.04,17055
17,56,137,12,8.76,32,23.36,17,12.41,76,55.47,17056
17,57,172,11,6.4,36,20.93,22,12.79,103,59.88,17057
17,58,115,8,6.96,36,31.3,16,13.91,55,47.83,17058
17,59,110,4,3.64,14,12.73,8,7.27,84,76.36,17059
17,60,176,19,10.8,42,23.86,22,12.5,93,52.84,17060
17,61,103,10,9.71,27,26.21,15,14.56,51,49.51,17061
17,62,102,8,7.84,25,24.51,18,17.65,51,50.0,17062
17,63,99,12,12.12,25,25.25,10,10.1,52,52.53,17063
17,64,108,12,11.11,30,27.78,18,16.67,48,44.44,17064
18,1,125,12,9.6,23,18.4,19,15.2,71,56.8,18001
18,2,178,21,11.8,43,24.16,21,11.8,93,52.25,18002
18,4,196,16,8.16,37,18.88,28,14.29,115,58.67,18004
18,5,152,14,9.21,32,21.05,21,13.82,85,55.92,18005
18,7,160,19,11.88,32,20.0,17,10.63,92,57.5,18007
18,8,91,5,5.49,21,23.08,11,12.09,54,59.34,18008
18,9,176,14,7.95,52,29.55,22,12.5,88,50.0,18009
18,10,278,28,10.07,68,24.46,29,10.43,153,55.04,18010
18,11,143,9,6.29,30,20.98,24,16.78,80,55.94,18011
18,12,261,23,8.81,58,22.22,30,11.49,150,57.47,18012
18,13,207,18,8.7,47,22.71,15,7.25,127,61.35,18013
18,14,229,15,6.55,54,23.58,25,10.92,135,58.95,18014
18,16,196,24,12.24,48,24.49,14,7.14,110,56.12,18016
18,17,158,19,12.03,31,19.62,21,13.29,87,55.06,18017
18,18,198,18,9.09,54,27.27,23,11.62,103,52.02,18018
18,19,159,26,16.35,41,25.79,23,14.47,69,43.4,18019
18,20,165,17,10.3,31,18.79,18,10.91,99,60.0,18020
18,21,235,22,9.36,46,19.57,27,11.49,140,59.57,18021
18,22,202,21,10.4,46,22.77,22,10.89,113,55.94,18022
18,23,185,14,7.57,63,34.05,17,9.19,91,49.19,18023
18,24,227,13,5.73,60,26.43,26,11.45,128,56.39,18024
18,25,205,25,12.2,44,21.46,19,9.27,117,57.07,18025
18,26,148,6,4.05,33,22.3,13,8.78,96,64.86,18026
18,27,187,15,8.02,38,20.32,28,14.97,106,56.68,18027
18,29,175,23,13.14,32,18.29,21,12.0,99,56.57,18029
18,30,152,13,8.55,28,18.42,21,13.82,90,59.21,18030
18,31,157,17,10.83,38,24.2,18,11.46,84,53.5,18031
18,32,201,16,7.96,54,26.87,28,13.93,103,51.24,18032
18,33,120,9,7.5,34,28.33,14,11.67,63,52.5,18033
18,34,251,17,6.77,53,21.12,28,11.16,153,60.96,18034
18,35,220,20,9.09,46,20.91,25,11.36,129,58.64,18035
18,36,131,15,11.45,30,22.9,12,9.16,74,56.49,18036
18,37,148,15,10.14,29,19.59,16,10.81,88,59.46,18037
18,38,241,23,9.54,60,24.9,20,8.3,138,57.26,18038
18,39,168,14,8.33,46,27.38,23,13.69,85,50.6,18039
18,40,240,19,7.92,55,22.92,21,8.75,145,60.42,18040
18,42,136,14,10.29,24,17.65,12,8.82,86,63.24,18042
18,44,104,8,7.69,28,26.92,16,15.38,52,50.0,18044
18,45,212,25,11.79,31,14.62,25,11.79,131,61.79,18045
18,46,178,10,5.62,36,20.22,27,15.17,105,58.99,18046
18,47,138,14,10.14,31,22.46,16,11.59,77,55.8,18047
18,49,160,15,9.38,38,23.75,17,10.63,90,56.25,18049
18,50,175,20,11.43,41,23.43,24,13.71,90,51.43,18050
18,51,99,12,12.12,29,29.29,9,9.09,49,49.49,18051
18,52,157,10,6.37,43,27.39,20,12.74,84,53.5,18052
18,53,153,20,13.07,29,18.95,15,9.8,89,58.17,18053
18,54,191,9,4.71,50,26.18,20,10.47,112,58.64,18054
18,58,159,13,8.18,38,23.9,20,12.58,88,55.35,18058
18,59,118,6,5.08,23,19.49,9,7.63,80,67.8,18059
18,60,193,23,11.92,44,22.8,28,14.51,98,50.78,18060
18,61,167,16,9.58,41,24.55,21,12.57,89,53.29,18061
18,62,136,16,11.76,39,28.68,15,11.03,66,48.53,18062
18,63,137,11,8.03,41,29.93,18,13.14,67,48.91,18063
19,28,263,23,8.75,54,20.53,20,7.6,166,63.12,19028
19,43,226,15,6.64,64,28.32,31,13.72,116,51.33,19043
19,48,157,9,5.73,37,23.57,13,8.28,98,62.42,19048
19,50,208,22,10.58,51,24.52,11,5.29,124,59.62,19050
19,60,219,17,7.76,40,18.26,29,13.24,133,60.73,19060
19,66,178,18,10.11,41,23.03,18,10.11,101,56.74,19066
20,1,134,18,13.43,39,29.1,15,11.19,62,46.27,20001
20,2,127,14,11.02,23,18.11,12,9.45,78,61.42,20002
20,3,134,16,11.94,30,22.39,17,12.69,71,52.99,20003
20,5,88,6,6.82,24,27.27,13,14.77,45,51.14,20005
20,6,123,13,10.57,37,30.08,10,8.13,63,51.22,20006
20,7,83,12,14.46,24,28.92,10,12.05,37,44.58,20007
20,9,114,7,6.14,32,28.07,10,8.77,65,57.02,20009
20,10,108,9,8.33,35,32.41,9,8.33,55,50.93,20010
20,11,78,9,11.54,22,28.21,8,10.26,39,50.0,20011
20,12,51,2,3.92,18,35.29,4,7.84,27,52.94,20012
20,13,27,4,14.81,6,22.22,1,3.7,16,59.26,20013
20,14,160,19,11.88,40,25.0,12,7.5,89,55.63,20014
20,16,50,6,12.0,9,18.0,7,14.0,28,56.0,20016
20,17,117,12,10.26,29,24.79,21,17.95,55,47.01,20017
20,18,156,17,10.9,39,25.0,17,10.9,83,53.21,20018
20,19,67,6,8.96,19,28.36,8,11.94,34,50.75,20019
20,20,71,8,11.27,21,29.58,8,11.27,34,47.89,20020
20,22,133,10,7.52,37,27.82,15,11.28,71,53.38,20022
20,23,128,16,12.5,38,29.69,19,14.84,55,42.97,20023
20,24,256,22,8.59,61,23.83,28,10.94,145,56.64,20024
20,25,80,7,8.75,21,26.25,13,16.25,39,48.75,20025
20,26,127,19,14.96,28,22.05,16,12.6,64,50.39,20026
20,28,148,13,8.78,27,18.24,15,10.14,93,62.84,20028
20,29,114,14,12.28,21,18.42,15,13.16,64,56.14,20029
20,30,124,16,12.9,37,29.84,18,14.52,53,42.74,20030
20,32,214,27,12.62,54,25.23,22,10.28,111,51.87,20032
20,33,154,14,9.09,47,30.52,21,13.64,72,46.75,20033
20,34,167,3,1.8,43,25.75,13,7.78,108,64.67,20034
20,35,73,1,1.37,25,34.25,10,13.7,37,50.68,20035
