ward,precinct,total,"Margaret J. """"Peggy"""" Bell (Kucinich)","Margaret J. """"Peggy"""" Bell (Kucinich) Percent",James C. Sorrels (Kucinich),James C. Sorrels (Kucinich) Percent,Mary Ellen McDonagh (Kucinich),Mary Ellen McDonagh (Kucinich) Percent,Jason F. Keppe (Kucinich),Jason F. Keppe (Kucinich) Percent,"Jacqueline """"Jackie"""" McKay (Kucinich)","Jacqueline """"Jackie"""" McKay (Kucinich) Percent",Daniel Birkhahn-Rommelfanger (Kucin),Daniel Birkhahn-Rommelfanger (Kucin) Percent,Joseph Berrios (Dean),Joseph Berrios (Dean) Percent,Sara Feigenholtz (Dean),Sara Feigenholtz (Dean) Percent,Gene Schulter (Dean),Gene Schulter (Dean) Percent,Pamela Cullerton (Dean),Pamela Cullerton (Dean) Percent,Frances Sarra Johns (Dean),Frances Sarra Johns (Dean) Percent,"Ronald R. Bettag (LaRouche, Jr.)","Ronald R. Bettag (LaRouche, Jr.) Percent","Judith A. Clark (LaRouche, Jr.)","Judith A. Clark (LaRouche, Jr.) Percent","Donald S. Clark (LaRouche, Jr.)","Donald S. Clark (LaRouche, Jr.) Percent","Mindy R. Pechenuk (LaRouche, Jr.)","Mindy R. Pechenuk (LaRouche, Jr.) Percent","Gerald Pechenuk (LaRouche, Jr.)","Gerald Pechenuk (LaRouche, Jr.) Percent","Allison Merriam (LaRouche, Jr.)","Allison Merriam (LaRouche, Jr.) Percent","Gary Genazzio (LaRouche, Jr.)","Gary Genazzio (LaRouche, Jr.) Percent",Ann Williams (Gephardt),Ann Williams (Gephardt) Percent,William B. Kaplan (Gephardt),William B. Kaplan (Gephardt) Percent,Teree E. Foster (Gephardt),Teree E. Foster (Gephardt) Percent,Barrett Pedersen (Edwards),Barrett Pedersen (Edwards) Percent,Judith Gold (Edwards),Judith Gold (Edwards) Percent,Michael Bauer (Edwards),Michael Bauer (Edwards) Percent,Cynthia Ramirez (Edwards),Cynthia Ramirez (Edwards) Percent,"Rudyard """"Rudy"""" E. Urian (Edwards)","Rudyard """"Rudy"""" E. Urian (Edwards) Percent",Margaret Mell (Edwards),Margaret Mell (Edwards) Percent,Margaret Laurino (Clark),Margaret Laurino (Clark) Percent,John L. Borovicka (Clark),John L. Borovicka (Clark) Percent,Marilyn Katz (Clark),Marilyn Katz (Clark) Percent,Charles R. Bernardini (Clark),Charles R. Bernardini (Clark) Percent,Gail Morse (Clark),Gail Morse (Clark) Percent,John A. Fritchey (Clark),John A. Fritchey (Clark) Percent,Daisy Cintron (Kerry),Daisy Cintron (Kerry) Percent,Mike Quigley (Kerry),Mike Quigley (Kerry) Percent,Degee Wilhelm (Kerry),Degee Wilhelm (Kerry) Percent,William S Singer (Kerry),William S Singer (Kerry) Percent,Cynthia Rosario (Kerry),Cynthia Rosario (Kerry) Percent,M. Blair Hull (Braun),M. Blair Hull (Braun) Percent,Mary Bennett (Braun),Mary Bennett (Braun) Percent,Nancy Skinner (Braun),Nancy Skinner (Braun) Percent,Brian O'Connor (Braun),Brian O'Connor (Braun) Percent,precinct_id
30,12,131,2,1.53,3,2.29,2,1.53,2,1.53,3,2.29,2,1.53,8,6.11,2,1.53,1,0.76,1,0.76,1,0.76,1,0.76,1,0.76,1,0.76,1,0.76,2,1.53,1,0.76,1,0.76,1,0.76,2,1.53,0,0.0,1,0.76,1,0.76,3,2.29,5,3.82,0,0.0,1,0.76,1,0.76,0,0.0,1,0.76,1,0.76,1,0.76,0,0.0,12,9.16,10,7.63,10,7.63,10,7.63,18,13.74,2,1.53,1,0.76,1,0.76,0,0.0,30012
30,13,304,8,2.63,5,1.64,12,3.95,4,1.32,7,2.3,4,1.32,16,5.26,7,2.3,9,2.96,6,1.97,4,1.32,1,0.33,1,0.33,1,0.33,1,0.33,2,0.66,5,1.64,2,0.66,4,1.32,4,1.32,2,0.66,6,1.97,8,2.63,2,0.66,15,4.93,3,0.99,6,1.97,1,0.33,2,0.66,1,0.33,0,0.0,1,0.33,1,0.33,27,8.88,23,7.57,18,5.92,18,5.92,28,9.21,6,1.97,2,0.66,6,1.97,2,0.66,30013
30,14,136,3,2.21,2,1.47,2,1.47,0,0.0,0,0.0,1,0.74,7,5.15,0,0.0,2,1.47,3,2.21,2,1.47,1,0.74,1,0.74,0,0.0,2,1.47,0,0.0,1,0.74,0,0.0,1,0.74,2,1.47,0,0.0,2,1.47,5,3.68,4,2.94,11,8.09,3,2.21,4,2.94,5,3.68,0,0.0,1,0.74,1,0.74,1,0.74,0,0.0,12,8.82,9,6.62,8,5.88,9,6.62,15,11.03,1,0.74,1,0.74,1,0.74,3,2.21,30014
30,15,626,20,3.19,13,2.08,17,2.72,8,1.28,12,1.92,5,0.8,26,4.15,16,2.56,22,3.51,24,3.83,16,2.56,2,0.32,3,0.48,1,0.16,2,0.32,4,0.64,2,0.32,3,0.48,4,0.64,3,0.48,2,0.32,7,1.12,15,2.4,12,1.92,13,2.08,9,1.44,9,1.44,15,2.4,5,0.8,7,1.12,9,1.44,8,1.28,7,1.12,49,7.83,41,6.55,44,7.03,49,7.83,48,7.67,4,0.64,3,0.48,2,0.32,5,0.8,30015
30,16,232,9,3.88,7,3.02,8,3.45,6,2.59,7,3.02,5,2.16,11,4.74,3,1.29,4,1.72,2,0.86,1,0.43,0,0.0,0,0.0,0,0.0,2,0.86,1,0.43,0,0.0,3,1.29,1,0.43,0,0.0,0,0.0,4,1.72,6,2.59,4,1.72,6,2.59,5,2.16,4,1.72,2,0.86,4,1.72,2,0.86,1,0.43,4,1.72,4,1.72,16,6.9,20,8.62,16,6.9,19,8.19,20,8.62,4,1.72,0,0.0,2,0.86,2,0.86,30016
30,17,220,14,6.36,5,2.27,6,2.73,6,2.73,9,4.09,4,1.82,11,5.0,9,4.09,6,2.73,10,4.55,1,0.45,1,0.45,2,0.91,2,0.91,4,1.82,3,1.36,2,0.91,1,0.45,2,0.91,1,0.45,0,0.0,1,0.45,4,1.82,3,1.36,9,4.09,1,0.45,7,3.18,1,0.45,0,0.0,1,0.45,2,0.91,3,1.36,3,1.36,8,3.64,8,3.64,8,3.64,11,5.0,12,5.45,6,2.73,1,0.45,6,2.73,8,3.64,30017
30,25,41,0,0.0,0,0.0,1,2.44,0,0.0,1,2.44,0,0.0,2,4.88,1,2.44,2,4.88,2,4.88,1,2.44,0,0.0,0,0.0,0,0.0,3,7.32,0,0.0,0,0.0,0,0.0,1,2.44,0,0.0,1,2.44,0,0.0,1,2.44,1,2.44,1,2.44,0,0.0,1,2.44,0,0.0,0,0.0,1,2.44,0,0.0,1,2.44,0,0.0,4,9.76,2,4.88,2,4.88,2,4.88,5,12.2,0,0.0,0,0.0,1,2.44,1,2.44,30025
30,28,216,7,3.24,2,0.93,4,1.85,3,1.39,5,2.31,3,1.39,16,7.41,5,2.31,6,2.78,7,3.24,2,0.93,0,0.0,2,0.93,0,0.0,1,0.46,0,0.0,0,0.0,1,0.46,1,0.46,2,0.93,2,0.93,2,0.93,3,1.39,2,0.93,7,3.24,3,1.39,2,0.93,4,1.85,2,0.93,0,0.0,1,0.46,3,1.39,1,0.46,15,6.94,18,8.33,14,6.48,16,7.41,22,10.19,5,2.31,0,0.0,1,0.46,3,1.39,30028
30,30,361,14,3.88,4,1.11,11,3.05,4,1.11,9,2.49,6,1.66,27,7.48,7,1.94,8,2.22,8,2.22,3,0.83,2,0.55,6,1.66,5,1.39,3,0.83,1,0.28,3,0.83,3,0.83,3,0.83,5,1.39,0,0.0,7,1.94,7,1.94,9,2.49,16,4.43,5,1.39,5,1.39,7,1.94,6,1.66,7,1.94,6,1.66,7,1.94,3,0.83,23,6.37,19,5.26,20,5.54,19,5.26,33,9.14,1,0.28,1,0.28,2,0.55,5,1.39,30030
30,34,324,8,2.47,7,2.16,10,3.09,5,1.54,7,2.16,5,1.54,24,7.41,5,1.54,6,1.85,6,1.85,4,1.23,4,1.23,4,1.23,2,0.62,0,0.0,1,0.31,0,0.0,1,0.31,1,0.31,3,0.93,1,0.31,6,1.85,9,2.78,8,2.47,17,5.25,5,1.54,5,1.54,2,0.62,2,0.62,1,0.31,0,0.0,2,0.62,1,0.31,26,8.02,22,6.79,21,6.48,21,6.48,30,9.26,8,2.47,1,0.31,3,0.93,2,0.62,30034
30,37,183,6,3.28,3,1.64,6,3.28,3,1.64,3,1.64,1,0.55,10,5.46,2,1.09,1,0.55,3,1.64,0,0.0,0,0.0,1,0.55,2,1.09,0,0.0,1,0.55,0,0.0,0,0.0,0,0.0,1,0.55,0,0.0,3,1.64,3,1.64,5,2.73,9,4.92,3,1.64,3,1.64,1,0.55,1,0.55,0,0.0,0,0.0,1,0.55,1,0.55,20,10.93,18,9.84,13,7.1,16,8.74,20,10.93,7,3.83,0,0.0,0,0.0,0,0.0,30037
30,38,587,17,2.9,12,2.04,19,3.24,7,1.19,8,1.36,8,1.36,22,3.75,13,2.21,14,2.39,12,2.04,6,1.02,3,0.51,8,1.36,2,0.34,2,0.34,1,0.17,2,0.34,3,0.51,6,1.02,5,0.85,2,0.34,8,1.36,11,1.87,8,1.36,11,1.87,5,0.85,9,1.53,2,0.34,5,0.85,2,0.34,3,0.51,7,1.19,4,0.68,51,8.69,51,8.69,47,8.01,52,8.86,57,9.71,7,1.19,2,0.34,1,0.17,8,1.36,30038
30,39,327,13,3.98,5,1.53,13,3.98,3,0.92,7,2.14,4,1.22,23,7.03,4,1.22,8,2.45,10,3.06,4,1.22,0,0.0,5,1.53,3,0.92,2,0.61,1,0.31,2,0.61,1,0.31,3,0.92,0,0.0,2,0.61,4,1.22,5,1.53,2,0.61,11,3.36,3,0.92,1,0.31,8,2.45,2,0.61,4,1.22,3,0.92,3,0.92,1,0.31,25,7.65,23,7.03,21,6.42,22,6.73,33,10.09,6,1.83,0,0.0,1,0.31,6,1.83,30039
30,40,237,14,5.91,7,2.95,10,4.22,5,2.11,11,4.64,8,3.38,19,8.02,8,3.38,3,1.27,10,4.22,4,1.69,1,0.42,2,0.84,3,1.27,0,0.0,2,0.84,0,0.0,0,0.0,1,0.42,1,0.42,1,0.42,1,0.42,2,0.84,0,0.0,11,4.64,2,0.84,1,0.42,2,0.84,1,0.42,2,0.84,3,1.27,3,1.27,0,0.0,11,4.64,11,4.64,12,5.06,13,5.49,21,8.86,5,2.11,1,0.42,3,1.27,4,1.69,30040
31,2,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,31002
31,3,355,10,2.82,7,1.97,7,1.97,6,1.69,4,1.13,2,0.56,15,4.23,3,0.85,4,1.13,5,1.41,4,1.13,3,0.85,2,0.56,3,0.85,1,0.28,2,0.56,1,0.28,1,0.28,3,0.85,4,1.13,2,0.56,6,1.69,8,2.25,10,2.82,15,4.23,9,2.54,7,1.97,1,0.28,6,1.69,1,0.28,2,0.56,3,0.85,5,1.41,28,7.89,26,7.32,24,6.76,27,7.61,35,9.86,5,1.41,1,0.28,3,0.85,5,1.41,31003
31,8,181,8,4.42,4,2.21,8,4.42,5,2.76,11,6.08,3,1.66,10,5.52,6,3.31,7,3.87,9,4.97,7,3.87,2,1.1,4,2.21,0,0.0,0,0.0,0,0.0,1,0.55,0,0.0,0,0.0,0,0.0,0,0.0,1,0.55,4,2.21,2,1.1,7,3.87,4,2.21,1,0.55,2,1.1,0,0.0,1,0.55,0,0.0,1,0.55,0,0.0,12,6.63,9,4.97,9,4.97,10,5.52,15,8.29,2,1.1,0,0.0,0,0.0,0,0.0,31008
31,9,457,10,2.22,5,1.11,6,1.33,2,0.44,11,2.44,6,1.33,40,8.87,12,2.66,9,2.0,15,3.33,10,2.22,1,0.22,8,1.77,2,0.44,1,0.22,3,0.67,1,0.22,2,0.44,6,1.33,6,1.33,6,1.33,8,1.77,6,1.33,11,2.44,17,3.77,10,2.22,6,1.33,11,2.44,4,0.89,2,0.44,9,2.0,3,0.67,3,0.67,29,6.43,29,6.43,26,5.76,27,5.99,35,7.76,9,2.0,4,0.89,4,0.89,6,0.0,31009
31,15,88,6,6.82,3,3.41,4,4.55,1,1.14,2,2.27,3,3.41,16,18.18,2,2.27,2,2.27,5,5.68,3,3.41,0,0.0,2,2.27,2,2.27,1,1.14,0,0.0,1,1.14,0,0.0,0,0.0,0,0.0,1,1.14,0,0.0,1,1.14,0,0.0,7,7.95,0,0.0,0,0.0,1,1.14,0,0.0,0,0.0,2,2.27,2,2.27,0,0.0,4,4.55,1,1.14,2,2.27,1,1.14,4,4.55,5,5.68,0,0.0,1,1.14,1,1.14,31015
31,16,71,1,1.41,1,1.41,1,1.41,1,1.41,1,1.41,2,2.82,2,2.82,0,0.0,1,1.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.41,0,0.0,0,0.0,1,1.41,0,0.0,0,0.0,0,0.0,1,1.41,0,0.0,0,0.0,0,0.0,1,1.41,0,0.0,0,0.0,1,1.41,1,1.41,10,14.08,9,12.68,8,11.27,9,12.68,11,15.49,0,0.0,0,0.0,0,0.0,0,0.0,31016
31,19,140,7,5.0,3,2.14,3,2.14,2,1.43,3,2.14,2,1.43,19,13.57,2,1.43,2,1.43,1,0.71,2,1.43,0,0.0,2,1.43,1,0.71,2,1.43,1,0.71,0,0.0,0,0.0,2,1.43,1,0.71,2,1.43,2,1.43,5,3.57,3,2.14,9,6.43,2,1.43,3,2.14,4,2.86,0,0.0,2,1.43,1,0.71,0,0.0,1,0.71,8,5.71,5,3.57,5,3.57,5,3.57,11,7.86,5,3.57,0,0.0,0,0.0,2,1.43,31019
