ward,precinct,total,Sheila M. Murphy (Dean),Sheila M. Murphy (Dean) Percent,Gail E. Schlesinger (Kucinich),Gail E. Schlesinger (Kucinich) Percent,Linda D. Stevanovich (Gephardt),Linda D. Stevanovich (Gephardt) Percent,Cristina De La Rosa (Edwards),Cristina De La Rosa (Edwards) Percent,Tamie Sepulveda (Kerry),Tamie Sepulveda (Kerry) Percent,Laura Lee Nieciak (Lieberman),Laura Lee Nieciak (Lieberman) Percent,precinct_id
11,21,134,31,23.13,7,5.22,7,5.22,24,17.91,63,47.01,2,1.49,11021
11,22,97,22,22.68,3,3.09,5,5.15,13,13.4,51,52.58,3,3.09,11022
11,23,101,21,20.79,6,5.94,3,2.97,17,16.83,50,49.5,4,3.96,11023
11,24,194,45,23.2,10,5.15,4,2.06,20,10.31,110,56.7,5,2.58,11024
11,25,67,7,10.45,2,2.99,4,5.97,14,20.9,36,53.73,4,5.97,11025
11,26,162,17,10.49,9,5.56,11,6.79,44,27.16,77,47.53,4,2.47,11026
11,29,184,33,17.93,7,3.8,9,4.89,36,19.57,89,48.37,10,5.43,11029
11,30,126,16,12.7,15,11.9,7,5.56,29,23.02,51,40.48,8,6.35,11030
11,31,106,18,16.98,2,1.89,8,7.55,8,7.55,69,65.09,1,0.94,11031
11,32,76,18,23.68,5,6.58,4,5.26,9,11.84,38,50.0,2,2.63,11032
11,33,73,9,12.33,5,6.85,3,4.11,9,12.33,44,60.27,3,4.11,11033
11,34,8,1,12.5,1,12.5,1,12.5,0,0.0,5,62.5,0,0.0,11034
11,35,145,34,23.45,5,3.45,12,8.28,18,12.41,74,51.03,2,1.38,11035
11,37,119,15,12.61,3,2.52,4,3.36,22,18.49,72,60.5,3,2.52,11037
11,38,193,32,16.58,10,5.18,13,6.74,21,10.88,112,58.03,5,2.59,11038
11,39,188,28,14.89,4,2.13,9,4.79,23,12.23,122,64.89,2,1.06,11039
11,40,76,10,13.16,9,11.84,0,0.0,13,17.11,40,52.63,4,5.26,11040
11,41,68,15,22.06,4,5.88,3,4.41,9,13.24,31,45.59,6,8.82,11041
11,42,75,10,13.33,5,6.67,5,6.67,17,22.67,34,45.33,4,5.33,11042
11,43,122,32,26.23,10,8.2,8,6.56,12,9.84,56,45.9,4,3.28,11043
11,44,137,18,13.14,18,13.14,13,9.49,20,14.6,61,44.53,7,5.11,11044
11,45,69,14,20.29,3,4.35,6,8.7,7,10.14,36,52.17,3,4.35,11045
11,47,121,28,23.14,9,7.44,4,3.31,23,19.01,53,43.8,4,3.31,11047
11,48,52,14,26.92,3,5.77,5,9.62,4,7.69,24,46.15,2,3.85,11048
11,49,105,23,21.9,10,9.52,4,3.81,14,13.33,52,49.52,2,1.9,11049
11,50,84,19,22.62,7,8.33,4,4.76,10,11.9,41,48.81,3,3.57,11050
13,1,154,29,18.83,6,3.9,9,5.84,21,13.64,78,50.65,11,7.14,13001
13,2,119,30,25.21,5,4.2,7,5.88,22,18.49,51,42.86,4,3.36,13002
13,4,220,52,23.64,6,2.73,15,6.82,24,10.91,87,39.55,36,16.36,13004
13,5,124,25,20.16,4,3.23,5,4.03,24,19.35,60,48.39,6,4.84,13005
13,6,136,33,24.26,8,5.88,8,5.88,28,20.59,56,41.18,3,2.21,13006
13,7,141,29,20.57,11,7.8,15,10.64,28,19.86,54,38.3,4,2.84,13007
13,8,156,36,23.08,9,5.77,4,2.56,27,17.31,68,43.59,12,7.69,13008
13,9,142,30,21.13,6,4.23,10,7.04,28,19.72,61,42.96,7,4.93,13009
13,10,142,38,26.76,13,9.15,7,4.93,15,10.56,62,43.66,7,4.93,13010
13,11,140,45,32.14,5,3.57,9,6.43,20,14.29,56,40.0,5,3.57,13011
13,12,144,25,17.36,4,2.78,10,6.94,28,19.44,68,47.22,9,6.25,13012
13,13,144,27,18.75,10,6.94,13,9.03,31,21.53,62,43.06,1,0.69,13013
13,14,113,25,22.12,6,5.31,3,2.65,18,15.93,52,46.02,9,7.96,13014
13,15,176,38,21.59,21,11.93,11,6.25,34,19.32,60,34.09,12,6.82,13015
13,16,121,22,18.18,6,4.96,10,8.26,26,21.49,53,43.8,4,3.31,13016
13,17,159,38,23.9,3,1.89,8,5.03,27,16.98,72,45.28,11,6.92,13017
13,18,104,21,20.19,6,5.77,9,8.65,25,24.04,39,37.5,4,3.85,13018
13,19,140,40,28.57,5,3.57,3,2.14,32,22.86,56,40.0,4,2.86,13019
13,20,125,28,22.4,4,3.2,8,6.4,30,24.0,49,39.2,6,4.8,13020
13,21,111,16,14.41,12,10.81,9,8.11,23,20.72,43,38.74,8,7.21,13021
13,22,137,32,23.36,8,5.84,6,4.38,23,16.79,60,43.8,8,5.84,13022
13,23,100,23,23.0,5,5.0,13,13.0,18,18.0,39,39.0,2,2.0,13023
13,24,177,32,18.08,11,6.21,11,6.21,28,15.82,77,43.5,18,10.17,13024
13,25,133,34,25.56,8,6.02,9,6.77,20,15.04,59,44.36,3,2.26,13025
13,26,104,9,8.65,5,4.81,5,4.81,30,28.85,49,47.12,6,5.77,13026
13,27,159,40,25.16,8,5.03,10,6.29,17,10.69,77,48.43,7,4.4,13027
13,28,114,19,16.67,3,2.63,9,7.89,25,21.93,54,47.37,4,3.51,13028
13,29,153,27,17.65,9,5.88,12,7.84,20,13.07,79,51.63,6,3.92,13029
13,30,123,22,17.89,4,3.25,7,5.69,38,30.89,49,39.84,3,2.44,13030
13,31,128,21,16.41,5,3.91,6,4.69,33,25.78,55,42.97,8,6.25,13031
13,32,174,37,21.26,2,1.15,5,2.87,20,11.49,101,58.05,9,5.17,13032
13,33,116,19,16.38,12,10.34,8,6.9,23,19.83,51,43.97,3,2.59,13033
13,34,126,19,15.08,7,5.56,5,3.97,34,26.98,58,46.03,3,2.38,13034
13,35,166,41,24.7,8,4.82,9,5.42,40,24.1,55,33.13,13,7.83,13035
13,36,89,13,14.61,4,4.49,6,6.74,23,25.84,38,42.7,5,5.62,13036
13,37,99,20,20.2,3,3.03,6,6.06,15,15.15,52,52.53,3,3.03,13037
13,38,185,42,22.7,7,3.78,9,4.86,27,14.59,90,48.65,10,5.41,13038
13,39,134,31,23.13,8,5.97,14,10.45,37,27.61,40,29.85,4,2.99,13039
13,40,101,16,15.84,10,9.9,6,5.94,21,20.79,43,42.57,5,4.95,13040
13,41,149,20,13.42,8,5.37,8,5.37,46,30.87,60,40.27,7,4.7,13041
13,42,156,46,29.49,7,4.49,8,5.13,28,17.95,54,34.62,13,8.33,13042
13,43,114,22,19.3,6,5.26,3,2.63,28,24.56,51,44.74,4,3.51,13043
13,44,107,15,14.02,10,9.35,5,4.67,26,24.3,46,42.99,5,4.67,13044
13,45,213,51,23.94,8,3.76,13,6.1,37,17.37,95,44.6,9,4.23,13045
13,46,144,24,16.67,11,7.64,5,3.47,35,24.31,64,44.44,5,3.47,13046
13,47,119,23,19.33,4,3.36,4,3.36,31,26.05,53,44.54,4,3.36,13047
13,48,152,29,19.08,8,5.26,8,5.26,35,23.03,58,38.16,14,9.21,13048
13,49,167,37,22.16,14,8.38,7,4.19,37,22.16,59,35.33,13,7.78,13049
13,50,134,24,17.91,3,2.24,8,5.97,34,25.37,56,41.79,9,6.72,13050
13,51,122,18,14.75,10,8.2,10,8.2,32,26.23,48,39.34,4,3.28,13051
13,52,136,30,22.06,4,2.94,6,4.41,27,19.85,56,41.18,13,9.56,13052
13,53,177,44,24.86,8,4.52,9,5.08,24,13.56,86,48.59,6,3.39,13053
13,54,144,31,21.53,5,3.47,8,5.56,23,15.97,71,49.31,6,4.17,13054
14,2,108,15,13.89,2,1.85,10,9.26,21,19.44,54,50.0,6,5.56,14002
14,25,148,12,8.11,9,6.08,7,4.73,20,13.51,95,64.19,5,3.38,14025
14,28,126,14,11.11,9,7.14,8,6.35,17,13.49,75,59.52,3,2.38,14028
15,1,78,18,23.08,3,3.85,5,6.41,21,26.92,27,34.62,4,5.13,15001
15,10,86,11,12.79,3,3.49,3,3.49,34,39.53,28,32.56,7,8.14,15010
15,13,69,27,39.13,1,1.45,1,1.45,14,20.29,24,34.78,2,2.9,15013
15,14,141,21,14.89,9,6.38,5,3.55,47,33.33,51,36.17,8,5.67,15014
15,15,75,21,28.0,2,2.67,2,2.67,22,29.33,27,36.0,1,1.33,15015
15,16,68,9,13.24,3,4.41,4,5.88,28,41.18,21,30.88,3,4.41,15016
15,25,94,21,22.34,3,3.19,5,5.32,25,26.6,36,38.3,4,4.26,15025
15,28,113,18,15.93,4,3.54,6,5.31,37,32.74,43,38.05,5,4.42,15028
15,32,120,26,21.67,3,2.5,4,3.33,23,19.17,59,49.17,5,4.17,15032
15,44,122,36,29.51,5,4.1,7,5.74,18,14.75,52,42.62,4,3.28,15044
15,49,27,6,22.22,1,3.7,1,3.7,8,29.63,10,37.04,1,3.7,15049
16,1,52,20,38.46,4,7.69,4,7.69,7,13.46,15,28.85,2,3.85,16001
16,4,94,29,30.85,1,1.06,5,5.32,20,21.28,37,39.36,2,2.13,16004
16,6,34,12,35.29,0,0.0,3,8.82,2,5.88,15,44.12,2,5.88,16006
16,7,74,26,35.14,6,8.11,4,5.41,7,9.46,30,40.54,1,1.35,16007
16,11,107,37,34.58,1,0.93,10,9.35,13,12.15,42,39.25,4,3.74,16011
16,13,75,15,20.0,3,4.0,4,5.33,26,34.67,22,29.33,5,6.67,16013
16,17,135,18,13.33,3,2.22,8,5.93,46,34.07,51,37.78,9,6.67,16017
16,23,94,25,26.6,4,4.26,5,5.32,25,26.6,32,34.04,3,3.19,16023
16,32,35,3,8.57,4,11.43,0,0.0,7,20.0,20,57.14,1,2.86,16032
16,35,92,10,10.87,2,2.17,4,4.35,42,45.65,33,35.87,1,1.09,16035
16,39,44,9,20.45,1,2.27,3,6.82,17,38.64,14,31.82,0,0.0,16039
16,42,57,18,31.58,2,3.51,3,5.26,18,31.58,13,22.81,3,5.26,16042
16,47,5,2,40.0,0,0.0,0,0.0,1,20.0,2,40.0,0,0.0,16047
18,3,150,39,26.0,7,4.67,12,8.0,22,14.67,55,36.67,15,10.0,18003
18,6,125,30,24.0,4,3.2,8,6.4,24,19.2,52,41.6,7,5.6,18006
18,15,102,24,23.53,2,1.96,7,6.86,21,20.59,42,41.18,6,5.88,18015
18,28,207,51,24.64,11,5.31,9,4.35,32,15.46,94,45.41,10,4.83,18028
18,41,179,50,27.93,4,2.23,9,5.03,22,12.29,85,47.49,9,5.03,18041
18,43,114,36,31.58,2,1.75,4,3.51,21,18.42,49,42.98,2,1.75,18043
18,48,100,30,30.0,1,1.0,1,1.0,13,13.0,52,52.0,3,3.0,18048
18,55,168,40,23.81,8,4.76,7,4.17,24,14.29,79,47.02,10,5.95,18055
18,56,162,49,30.25,14,8.64,8,4.94,26,16.05,64,39.51,1,0.62,18056
18,57,134,40,29.85,2,1.49,11,8.21,33,24.63,42,31.34,6,4.48,18057
18,64,144,42,29.17,3,2.08,5,3.47,34,23.61,58,40.28,2,1.39,18064
19,1,253,94,37.15,11,4.35,7,2.77,18,7.11,116,45.85,7,2.77,19001
19,2,217,56,25.81,13,5.99,6,2.76,23,10.6,111,51.15,8,3.69,19002
19,3,162,56,34.57,3,1.85,9,5.56,18,11.11,65,40.12,11,6.79,19003
19,4,186,54,29.03,11,5.91,10,5.38,14,7.53,92,49.46,5,2.69,19004
19,5,225,53,23.56,11,4.89,4,1.78,25,11.11,122,54.22,10,4.44,19005
19,6,158,37,23.42,4,2.53,8,5.06,19,12.03,80,50.63,10,6.33,19006
19,7,194,67,34.54,3,1.55,6,3.09,14,7.22,93,47.94,11,5.67,19007
19,8,144,38,26.39,5,3.47,5,3.47,9,6.25,77,53.47,10,6.94,19008
19,9,152,52,34.21,12,7.89,2,1.32,19,12.5,63,41.45,4,2.63,19009
19,10,311,77,24.76,14,4.5,5,1.61,39,12.54,164,52.73,12,3.86,19010
19,11,221,62,28.05,12,5.43,5,2.26,34,15.38,98,44.34,10,4.52,19011
19,12,199,55,27.64,7,3.52,13,6.53,34,17.09,87,43.72,3,1.51,19012
19,13,187,53,28.34,7,3.74,5,2.67,11,5.88,108,57.75,3,1.6,19013
19,14,122,36,29.51,1,0.82,1,0.82,12,9.84,66,54.1,6,4.92,19014
19,15,109,26,23.85,5,4.59,2,1.83,11,10.09,61,55.96,4,3.67,19015
19,16,211,61,28.91,5,2.37,6,2.84,30,14.22,102,48.34,7,3.32,19016
19,17,254,81,31.89,6,2.36,5,1.97,19,7.48,139,54.72,4,1.57,19017
19,18,255,63,24.71,15,5.88,3,1.18,23,9.02,143,56.08,8,3.14,19018
19,19,235,53,22.55,10,4.26,6,2.55,31,13.19,127,54.04,8,3.4,19019
19,20,207,43,20.77,7,3.38,5,2.42,21,10.14,127,61.35,4,1.93,19020
19,21,153,50,32.68,6,3.92,5,3.27,14,9.15,72,47.06,6,3.92,19021
19,22,250,66,26.4,10,4.0,3,1.2,30,12.0,125,50.0,16,6.4,19022
19,23,223,47,21.08,5,2.24,6,2.69,16,7.17,133,59.64,16,7.17,19023
19,24,177,59,33.33,3,1.69,2,1.13,19,10.73,83,46.89,11,6.21,19024
19,25,242,74,30.58,9,3.72,7,2.89,27,11.16,115,47.52,10,4.13,19025
19,26,214,61,28.5,12,5.61,5,2.34,14,6.54,118,55.14,4,1.87,19026
19,27,140,37,26.43,6,4.29,3,2.14,10,7.14,81,57.86,3,2.14,19027
19,29,164,48,29.27,6,3.66,8,4.88,25,15.24,66,40.24,11,6.71,19029
19,30,182,56,30.77,6,3.3,9,4.95,16,8.79,88,48.35,7,3.85,19030
19,31,193,65,33.68,9,4.66,4,2.07,11,5.7,99,51.3,5,2.59,19031
19,32,242,81,33.47,14,5.79,9,3.72,21,8.68,115,47.52,2,0.83,19032
19,33,168,39,23.21,7,4.17,4,2.38,24,14.29,80,47.62,14,8.33,19033
19,34,219,64,29.22,9,4.11,2,0.91,16,7.31,124,56.62,4,1.83,19034
19,35,213,63,29.58,9,4.23,3,1.41,11,5.16,116,54.46,11,5.16,19035
19,36,241,71,29.46,7,2.9,6,2.49,12,4.98,140,58.09,5,2.07,19036
19,37,200,49,24.5,19,9.5,0,0.0,20,10.0,110,55.0,2,1.0,19037
19,38,274,69,25.18,18,6.57,2,0.73,22,8.03,155,56.57,8,2.92,19038
19,39,100,34,34.0,0,0.0,2,2.0,5,5.0,57,57.0,2,2.0,19039
19,40,205,45,21.95,11,5.37,3,1.46,16,7.8,126,61.46,4,1.95,19040
19,41,175,34,19.43,6,3.43,5,2.86,21,12.0,98,56.0,11,6.29,19041
19,42,179,47,26.26,8,4.47,4,2.23,13,7.26,96,53.63,11,6.15,19042
19,44,138,52,37.68,5,3.62,5,3.62,12,8.7,53,38.41,11,7.97,19044
19,45,234,72,30.77,7,2.99,14,5.98,30,12.82,106,45.3,5,2.14,19045
19,46,304,94,30.92,13,4.28,8,2.63,37,12.17,133,43.75,19,6.25,19046
19,47,148,28,18.92,4,2.7,6,4.05,17,11.49,88,59.46,5,3.38,19047
19,49,257,61,23.74,8,3.11,6,2.33,20,7.78,156,60.7,6,2.33,19049
19,51,168,52,30.95,5,2.98,5,2.98,18,10.71,84,50.0,4,2.38,19051
19,52,140,34,24.29,5,3.57,3,2.14,18,12.86,74,52.86,6,4.29,19052
19,53,207,60,28.99,5,2.42,7,3.38,20,9.66,104,50.24,11,5.31,19053
19,54,164,47,28.66,8,4.88,9,5.49,19,11.59,75,45.73,6,3.66,19054
19,55,174,40,22.99,2,1.15,10,5.75,13,7.47,99,56.9,10,5.75,19055
19,56,263,68,25.86,15,5.7,3,1.14,30,11.41,138,52.47,9,3.42,19056
19,57,257,73,28.4,9,3.5,7,2.72,20,7.78,141,54.86,7,2.72,19057
19,58,194,50,25.77,16,8.25,5,2.58,25,12.89,95,48.97,3,1.55,19058
19,59,222,57,25.68,10,4.5,12,5.41,18,8.11,119,53.6,6,2.7,19059
19,61,282,90,31.91,10,3.55,5,1.77,23,8.16,145,51.42,9,3.19,19061
19,62,228,63,27.63,12,5.26,5,2.19,10,4.39,134,58.77,4,1.75,19062
19,63,164,37,22.56,4,2.44,4,2.44,21,12.8,92,56.1,6,3.66,19063
19,64,290,72,24.83,17,5.86,10,3.45,21,7.24,161,55.52,9,3.1,19064
19,65,156,49,31.41,1,0.64,9,5.77,8,5.13,85,54.49,4,2.56,19065
19,67,45,18,40.0,2,4.44,1,2.22,3,6.67,21,46.67,0,0.0,19067
20,41,7,2,28.57,3,42.86,1,14.29,0,0.0,1,14.29,0,0.0,20041
20,51,24,3,12.5,1,4.17,0,0.0,9,37.5,11,45.83,0,0.0,20051
23,1,191,22,11.52,11,5.76,9,4.71,22,11.52,65,34.03,62,32.46,23001
23,2,309,26,8.41,8,2.59,12,3.88,20,6.47,51,16.5,192,62.14,23002
23,3,163,28,17.18,11,6.75,6,3.68,17,10.43,60,36.81,41,25.15,23003
23,4,198,18,9.09,6,3.03,10,5.05,24,12.12,60,30.3,80,40.4,23004
23,5,132,12,9.09,5,3.79,4,3.03,37,28.03,44,33.33,30,22.73,23005
23,6,183,26,14.21,10,5.46,4,2.19,22,12.02,46,25.14,75,40.98,23006
23,7,65,26,40.0,4,6.15,6,9.23,4,6.15,16,24.62,9,13.85,23007
23,8,188,20,10.64,10,5.32,4,2.13,27,14.36,62,32.98,65,34.57,23008
23,10,274,25,9.12,5,1.82,6,2.19,28,10.22,56,20.44,154,56.2,23010
23,11,171,27,15.79,6,3.51,11,6.43,27,15.79,59,34.5,41,23.98,23011
23,12,155,25,16.13,13,8.39,9,5.81,18,11.61,51,32.9,39,25.16,23012
23,13,208,30,14.42,12,5.77,11,5.29,22,10.58,86,41.35,47,22.6,23013
23,14,54,20,37.04,2,3.7,5,9.26,6,11.11,10,18.52,11,20.37,23014
23,15,130,21,16.15,5,3.85,5,3.85,21,16.15,46,35.38,32,24.62,23015
23,16,227,28,12.33,7,3.08,14,6.17,28,12.33,76,33.48,74,32.6,23016
23,17,217,30,13.82,8,3.69,10,4.61,24,11.06,94,43.32,51,23.5,23017
23,18,124,15,12.1,4,3.23,7,5.65,16,12.9,49,39.52,33,26.61,23018
23,19,181,20,11.05,12,6.63,11,6.08,12,6.63,56,30.94,70,38.67,23019
23,20,168,28,16.67,8,4.76,5,2.98,18,10.71,55,32.74,54,32.14,23020
23,21,143,49,34.27,5,3.5,2,1.4,13,9.09,46,32.17,28,19.58,23021
23,22,180,22,12.22,7,3.89,8,4.44,19,10.56,64,35.56,60,33.33,23022
23,23,141,14,9.93,7,4.96,7,4.96,22,15.6,52,36.88,39,27.66,23023
23,25,102,9,8.82,9,8.82,10,9.8,23,22.55,31,30.39,20,19.61,23025
23,26,177,30,16.95,11,6.21,12,6.78,25,14.12,57,32.2,42,23.73,23026
23,27,124,19,15.32,3,2.42,5,4.03,12,9.68,53,42.74,32,25.81,23027
23,28,156,31,19.87,4,2.56,6,3.85,24,15.38,57,36.54,34,21.79,23028
23,30,167,18,10.78,9,5.39,11,6.59,11,6.59,55,32.93,63,37.72,23030
23,31,124,17,13.71,4,3.23,10,8.06,26,20.97,42,33.87,25,20.16,23031
23,32,206,33,16.02,13,6.31,8,3.88,23,11.17,66,32.04,63,30.58,23032
23,33,225,28,12.44,9,4.0,11,4.89,21,9.33,56,24.89,100,44.44,23033
23,34,136,25,18.38,9,6.62,5,3.68,14,10.29,39,28.68,44,32.35,23034
23,35,123,39,31.71,12,9.76,2,1.63,8,6.5,41,33.33,21,17.07,23035
23,36,230,29,12.61,3,1.3,11,4.78,22,9.57,62,26.96,103,44.78,23036
23,37,125,40,32.0,5,4.0,0,0.0,8,6.4,42,33.6,30,24.0,23037
23,38,142,16,11.27,8,5.63,7,4.93,15,10.56,44,30.99,52,36.62,23038
23,39,155,27,17.42,8,5.16,6,3.87,13,8.39,52,33.55,49,31.61,23039
23,40,163,22,13.5,7,4.29,7,4.29,15,9.2,50,30.67,62,38.04,23040
23,41,121,18,14.88,5,4.13,5,4.13,21,17.36,52,42.98,20,16.53,23041
23,42,147,19,12.93,9,6.12,6,4.08,20,13.61,49,33.33,44,29.93,23042
23,43,209,24,11.48,7,3.35,10,4.78,23,11.0,62,29.67,83,39.71,23043
23,44,219,25,11.42,7,3.2,10,4.57,19,8.68,65,29.68,93,42.47,23044
23,45,189,18,9.52,7,3.7,10,5.29,28,14.81,62,32.8,64,33.86,23045
23,46,183,33,18.03,5,2.73,11,6.01,16,8.74,58,31.69,60,32.79,23046
23,47,202,16,7.92,7,3.47,11,5.45,30,14.85,72,35.64,66,32.67,23047
23,48,150,20,13.33,6,4.0,7,4.67,17,11.33,49,32.67,51,34.0,23048
23,49,198,30,15.15,13,6.57,14,7.07,21,10.61,76,38.38,44,22.22,23049
23,50,97,12,12.37,4,4.12,4,4.12,25,25.77,32,32.99,20,20.62,23050
23,51,156,14,8.97,7,4.49,9,5.77,31,19.87,49,31.41,46,29.49,23051
23,52,205,36,17.56,12,5.85,10,4.88,17,8.29,87,42.44,43,20.98,23052
23,53,108,10,9.26,6,5.56,1,0.93,11,10.19,36,33.33,44,40.74,23053
23,54,274,21,7.66,13,4.74,10,3.65,21,7.66,50,18.25,159,58.03,23054
23,55,204,24,11.76,7,3.43,9,4.41,24,11.76,58,28.43,82,40.2,23055
23,56,140,29,20.71,8,5.71,8,5.71,19,13.57,38,27.14,38,27.14,23056
