ward,precinct,total,"Bernard J. """"Bernie"""" Gray (Kucinich)","Bernard J. """"Bernie"""" Gray (Kucinich) Percent",Heather Poppe (Kucinich),Heather Poppe (Kucinich) Percent,John Schlitt (Kucinich),John Schlitt (Kucinich) Percent,Katherine Felt Armstrong (Kucinich),Katherine Felt Armstrong (Kucinich) Percent,Gary Kuzminski (Kucinich),Gary Kuzminski (Kucinich) Percent,Bernadette Maune (Kucinich),Bernadette Maune (Kucinich) Percent,Marc O'Connor (Kucinich),Marc O'Connor (Kucinich) Percent,Deborah Sims (Dean),Deborah Sims (Dean) Percent,James T. Meeks (Dean),James T. Meeks (Dean) Percent,Michelle Markiewicz Qualkinbush (Dean,Michelle Markiewicz Qualkinbush (Dean Percent,Sandi S. Jackson (Dean),Sandi S. Jackson (Dean) Percent,"William """"Will"""" Davis (Dean)","William """"Will"""" Davis (Dean) Percent",Dorian M. Morley (Dean),Dorian M. Morley (Dean) Percent,Michael Hartt (Dean),Michael Hartt (Dean) Percent,Larry Williams (Edwards),Larry Williams (Edwards) Percent,Bertha M. Scott (Edwards),Bertha M. Scott (Edwards) Percent,James E. Young (Edwards),James E. Young (Edwards) Percent,Henrietta Battle (Edwards),Henrietta Battle (Edwards) Percent,Jeremy Alexander (Edwards),Jeremy Alexander (Edwards) Percent,Archia Lakiska Lucas (Edwards),Archia Lakiska Lucas (Edwards) Percent,Lawrence N. Hill (Edwards),Lawrence N. Hill (Edwards) Percent,Nather L. Jones (Edwards),Nather L. Jones (Edwards) Percent,Al Riley (Clark),Al Riley (Clark) Percent,Johnny Holmes (Clark),Johnny Holmes (Clark) Percent,Kevin McCaffrey (Clark),Kevin McCaffrey (Clark) Percent,Paul Lynch (Clark),Paul Lynch (Clark) Percent,Barbara J. Moore (Clark),Barbara J. Moore (Clark) Percent,Harriet Salk (Clark),Harriet Salk (Clark) Percent,Myrtle Martin (Clark),Myrtle Martin (Clark) Percent,Karen Olson (Clark),Karen Olson (Clark) Percent,Frederick Young (Kerry),Frederick Young (Kerry) Percent,Sharon Latiker (Kerry),Sharon Latiker (Kerry) Percent,Kurt Elling (Kerry),Kurt Elling (Kerry) Percent,Lisa Dunbar (Kerry),Lisa Dunbar (Kerry) Percent,Jonathan D Karmel (Kerry),Jonathan D Karmel (Kerry) Percent,Thu Anh Vo (Kerry),Thu Anh Vo (Kerry) Percent,Gregory Arlen Diephouse (Kerry),Gregory Arlen Diephouse (Kerry) Percent,Edonna Brazzle (Kerry),Edonna Brazzle (Kerry) Percent,Lamar Britt (Lieberman),Lamar Britt (Lieberman) Percent,Jerry Doss (Lieberman),Jerry Doss (Lieberman) Percent,Shirley Doss (Lieberman),Shirley Doss (Lieberman) Percent,Marc Hamilton (Lieberman),Marc Hamilton (Lieberman) Percent,Myra Handy (Lieberman),Myra Handy (Lieberman) Percent,Janet Williams (Lieberman),Janet Williams (Lieberman) Percent,William M. Beavers (Braun),William M. Beavers (Braun) Percent,Dorothy James (Braun),Dorothy James (Braun) Percent,Diane Phillips (Braun),Diane Phillips (Braun) Percent,Donne Trotter (Braun),Donne Trotter (Braun) Percent,Dorothy Brown (Braun),Dorothy Brown (Braun) Percent,William Shaw (Braun),William Shaw (Braun) Percent,Carrie Austin (Braun),Carrie Austin (Braun) Percent,precinct_id
5,29,1120,26,2.32,13,1.16,10,0.89,13,1.16,8,0.71,9,0.8,9,0.8,32,2.86,86,7.68,16,1.43,40,3.57,33,2.95,18,1.61,11,0.98,15,1.34,11,0.98,7,0.63,6,0.54,8,0.71,3,0.27,4,0.36,5,0.45,7,0.63,5,0.45,2,0.18,1,0.09,13,1.16,2,0.18,3,0.27,4,0.36,75,6.7,65,5.8,61,5.45,67,5.98,57,5.09,50,4.46,45,4.02,51,4.55,2,0.18,0,0.0,3,0.27,0,0.0,0,0.0,0,0.0,19,1.7,19,1.7,16,1.43,28,2.5,41,3.66,37,3.3,35,3.13,05029
5,31,715,12,1.68,3,0.42,3,0.42,6,0.84,2,0.28,3,0.42,4,0.56,24,3.36,62,8.67,11,1.54,23,3.22,21,2.94,14,1.96,7,0.98,8,1.12,2,0.28,4,0.56,8,1.12,1,0.14,4,0.56,4,0.56,3,0.42,3,0.42,3,0.42,2,0.28,0,0.0,6,0.84,1,0.14,1,0.14,1,0.14,43,6.01,44,6.15,33,4.62,32,4.48,29,4.06,32,4.48,31,4.34,30,4.2,1,0.14,1,0.14,0,0.0,1,0.14,0,0.0,0,0.0,20,2.8,15,2.1,14,1.96,24,3.36,32,4.48,36,5.03,31,4.34,05031
5,32,1308,21,1.61,12,0.92,9,0.69,15,1.15,6,0.46,8,0.61,7,0.54,37,2.83,90,6.88,12,0.92,36,2.75,29,2.22,14,1.07,10,0.76,13,0.99,11,0.84,8,0.61,20,1.53,11,0.84,7,0.54,8,0.61,8,0.61,3,0.23,5,0.38,1,0.08,1,0.08,13,0.99,1,0.08,3,0.23,3,0.23,97,7.42,84,6.42,79,6.04,90,6.88,78,5.96,69,5.28,57,4.36,64,4.89,0,0.0,1,0.08,3,0.23,0,0.0,1,0.08,2,0.15,25,1.91,19,1.45,13,0.99,45,3.44,48,3.67,51,3.9,39,2.98,05032
5,34,784,16,2.04,12,1.53,4,0.51,9,1.15,2,0.26,5,0.64,4,0.51,21,2.68,64,8.16,6,0.77,21,2.68,23,2.93,14,1.79,4,0.51,10,1.28,5,0.64,8,1.02,6,0.77,6,0.77,2,0.26,1,0.13,2,0.26,5,0.64,5,0.64,5,0.64,4,0.51,14,1.79,2,0.26,4,0.51,6,0.77,59,7.53,44,5.61,36,4.59,42,5.36,34,4.34,27,3.44,28,3.57,29,3.7,0,0.0,0,0.0,1,0.13,0,0.0,0,0.0,1,0.13,18,2.3,17,2.17,11,1.4,28,3.57,39,4.97,33,4.21,33,4.21,05034
5,36,339,10,2.95,2,0.59,1,0.29,1,0.29,1,0.29,2,0.59,3,0.88,11,3.24,35,10.32,3,0.88,9,2.65,5,1.47,10,2.95,4,1.18,6,1.77,7,2.06,5,1.47,1,0.29,0,0.0,0,0.0,1,0.29,0,0.0,0,0.0,2,0.59,1,0.29,0,0.0,5,1.47,1,0.29,0,0.0,1,0.29,22,6.49,18,5.31,10,2.95,16,4.72,10,2.95,8,2.36,8,2.36,8,2.36,0,0.0,0,0.0,1,0.29,0,0.0,1,0.29,2,0.59,7,2.06,6,1.77,4,1.18,6,1.77,24,7.08,35,10.32,19,5.6,05036
5,37,1058,22,2.08,27,2.55,13,1.23,18,1.7,13,1.23,17,1.61,12,1.13,25,2.36,37,3.5,12,1.13,19,1.8,13,1.23,11,1.04,4,0.38,10,0.95,12,1.13,10,0.95,13,1.23,7,0.66,8,0.76,8,0.76,6,0.57,15,1.42,3,0.28,7,0.66,4,0.38,12,1.13,4,0.38,5,0.47,5,0.47,77,7.28,84,7.94,82,7.75,76,7.18,67,6.33,70,6.62,65,6.14,69,6.52,1,0.09,1,0.09,1,0.09,1,0.09,2,0.19,1,0.09,11,1.04,7,0.66,7,0.66,9,0.85,14,1.32,13,1.23,18,1.7,05037
5,38,1490,33,2.21,27,1.81,23,1.54,28,1.88,19,1.28,21,1.41,20,1.34,27,1.81,34,2.28,16,1.07,19,1.28,22,1.48,12,0.81,11,0.74,11,0.74,22,1.48,10,0.67,12,0.81,8,0.54,7,0.47,9,0.6,5,0.34,8,0.54,5,0.34,4,0.27,1,0.07,7,0.47,5,0.34,4,0.27,4,0.27,118,7.92,124,8.32,126,8.46,133,8.93,116,7.79,114,7.65,113,7.58,107,7.18,3,0.2,2,0.13,5,0.34,3,0.2,3,0.2,3,0.2,7,0.47,6,0.4,6,0.4,9,0.6,14,0.94,15,1.01,12,0.81,05038
5,40,817,18,2.2,12,1.47,6,0.73,16,1.96,7,0.86,9,1.1,8,0.98,35,4.28,75,9.18,16,1.96,37,4.53,36,4.41,30,3.67,12,1.47,11,1.35,8,0.98,5,0.61,4,0.49,7,0.86,2,0.24,7,0.86,2,0.24,5,0.61,3,0.37,1,0.12,1,0.12,16,1.96,1,0.12,1,0.12,3,0.37,44,5.39,34,4.16,25,3.06,33,4.04,23,2.82,23,2.82,22,2.69,21,2.57,3,0.37,2,0.24,2,0.24,0,0.0,1,0.12,2,0.24,13,1.59,14,1.71,6,0.73,21,2.57,33,4.04,47,5.75,25,3.06,05040
5,42,777,22,2.83,9,1.16,3,0.39,13,1.67,4,0.51,7,0.9,7,0.9,27,3.47,79,10.17,9,1.16,15,1.93,20,2.57,20,2.57,7,0.9,14,1.8,5,0.64,8,1.03,8,1.03,4,0.51,4,0.51,8,1.03,5,0.64,2,0.26,3,0.39,7,0.9,1,0.13,13,1.67,2,0.26,2,0.26,0,0.0,50,6.44,34,4.38,26,3.35,33,4.25,24,3.09,16,2.06,17,2.19,18,2.32,1,0.13,3,0.39,2,0.26,1,0.13,0,0.0,2,0.26,23,2.96,16,2.06,9,1.16,22,2.83,41,5.28,67,8.62,28,3.6,05042
5,43,1224,10,0.82,9,0.74,5,0.41,9,0.74,4,0.33,7,0.57,2,0.16,27,2.21,77,6.29,14,1.14,36,2.94,30,2.45,17,1.39,17,1.39,17,1.39,14,1.14,8,0.65,8,0.65,19,1.55,8,0.65,7,0.57,6,0.49,3,0.25,2,0.16,2,0.16,1,0.08,9,0.74,1,0.08,2,0.16,4,0.33,88,7.19,88,7.19,84,6.86,90,7.35,65,5.31,63,5.15,64,5.23,65,5.31,1,0.08,1,0.08,3,0.25,4,0.33,2,0.16,4,0.33,21,1.72,17,1.39,14,1.14,39,3.19,57,4.66,24,1.96,29,2.37,05043
5,44,939,18,1.92,7,0.75,3,0.32,8,0.85,3,0.32,6,0.64,7,0.75,25,2.66,91,9.69,11,1.17,31,3.3,24,2.56,19,2.02,7,0.75,15,1.6,15,1.6,13,1.38,13,1.38,10,1.06,10,1.06,11,1.17,8,0.85,3,0.32,1,0.11,1,0.11,3,0.32,12,1.28,0,0.0,2,0.21,7,0.75,58,6.18,44,4.69,36,3.83,47,5.01,37,3.94,31,3.3,29,3.09,29,3.09,3,0.32,1,0.11,2,0.21,3,0.32,2,0.21,1,0.11,24,2.56,14,1.49,11,1.17,29,3.09,46,4.9,54,5.75,34,3.62,05044
5,46,1668,37,2.22,28,1.68,24,1.44,30,1.8,20,1.2,26,1.56,22,1.32,34,2.04,44,2.64,23,1.38,32,1.92,26,1.56,17,1.02,13,0.78,16,0.96,10,0.6,15,0.9,11,0.66,11,0.66,11,0.66,6,0.36,8,0.48,11,0.66,7,0.42,3,0.18,7,0.42,8,0.48,2,0.12,3,0.18,6,0.36,126,7.55,127,7.61,126,7.55,124,7.43,118,7.07,118,7.07,105,6.29,105,6.29,6,0.36,5,0.3,7,0.42,5,0.3,6,0.36,8,0.48,15,0.9,19,1.14,12,0.72,23,1.38,28,1.68,23,1.38,25,1.5,05046
5,47,677,6,0.89,4,0.59,3,0.44,8,1.18,0,0.0,6,0.89,5,0.74,17,2.51,51,7.53,7,1.03,15,2.22,15,2.22,11,1.62,8,1.18,8,1.18,6,0.89,2,0.3,8,1.18,2,0.3,3,0.44,6,0.89,4,0.59,1,0.15,4,0.59,2,0.3,3,0.44,9,1.33,3,0.44,0,0.0,1,0.15,49,7.24,40,5.91,37,5.47,42,6.2,37,5.47,31,4.58,29,4.28,28,4.14,1,0.15,2,0.3,1,0.15,4,0.59,0,0.0,0,0.0,12,1.77,16,2.36,9,1.33,20,2.95,36,5.32,33,4.87,22,3.25,05047
5,49,132,2,1.52,1,0.76,0,0.0,2,1.52,0,0.0,0,0.0,1,0.76,3,2.27,17,12.88,1,0.76,2,1.52,3,2.27,7,5.3,1,0.76,1,0.76,1,0.76,1,0.76,0,0.0,1,0.76,0,0.0,1,0.76,1,0.76,2,1.52,0,0.0,0,0.0,0,0.0,4,3.03,0,0.0,0,0.0,0,0.0,7,5.3,7,5.3,4,3.03,7,5.3,5,3.79,6,4.55,5,3.79,5,3.79,0,0.0,0,0.0,1,0.76,0,0.0,0,0.0,0,0.0,2,1.52,2,1.52,1,0.76,2,1.52,7,5.3,9,6.82,7,5.3,05049
5,54,1279,14,1.09,9,0.7,6,0.47,6,0.47,6,0.47,7,0.55,11,0.86,37,2.89,90,7.04,20,1.56,38,2.97,37,2.89,22,1.72,13,1.02,20,1.56,10,0.78,7,0.55,22,1.72,9,0.7,7,0.55,8,0.63,8,0.63,5,0.39,3,0.23,2,0.16,3,0.23,14,1.09,3,0.23,2,0.16,3,0.23,83,6.49,71,5.55,67,5.24,85,6.65,63,4.93,56,4.38,51,3.99,52,4.07,1,0.08,3,0.23,2,0.16,2,0.16,6,0.47,2,0.16,34,2.66,31,2.42,25,1.95,42,3.28,48,3.75,48,3.75,37,2.89,05054
6,21,1326,12,0.9,11,0.83,6,0.45,3,0.23,6,0.45,3,0.23,5,0.38,36,2.71,120,9.05,10,0.75,29,2.19,26,1.96,19,1.43,8,0.6,18,1.36,15,1.13,21,1.58,9,0.68,11,0.83,6,0.45,11,0.83,15,1.13,8,0.6,8,0.6,2,0.15,4,0.3,9,0.68,1,0.08,5,0.38,3,0.23,82,6.18,59,4.45,63,4.75,73,5.51,57,4.3,48,3.62,47,3.54,45,3.39,1,0.08,1,0.08,2,0.15,1,0.08,0,0.0,7,0.53,41,3.09,35,2.64,30,2.26,71,5.35,83,6.26,62,4.68,56,4.22,06021
6,22,926,11,1.19,9,0.97,5,0.54,10,1.08,4,0.43,8,0.86,6,0.65,31,3.35,81,8.75,13,1.4,25,2.7,22,2.38,17,1.84,11,1.19,8,0.86,6,0.65,11,1.19,5,0.54,3,0.32,1,0.11,6,0.65,4,0.43,3,0.32,7,0.76,2,0.22,1,0.11,17,1.84,4,0.43,5,0.54,5,0.54,63,6.8,49,5.29,42,4.54,45,4.86,38,4.1,31,3.35,35,3.78,33,3.56,1,0.11,3,0.32,3,0.32,1,0.11,2,0.22,2,0.22,25,2.7,18,1.94,12,1.3,38,4.1,49,5.29,45,4.86,27,2.92,06022
6,64,1023,22,2.15,10,0.98,9,0.88,11,1.08,8,0.78,5,0.49,14,1.37,31,3.03,92,8.99,13,1.27,26,2.54,30,2.93,21,2.05,11,1.08,12,1.17,9,0.88,11,1.08,14,1.37,3,0.29,5,0.49,8,0.78,4,0.39,2,0.2,7,0.68,2,0.2,1,0.1,11,1.08,2,0.2,4,0.39,5,0.49,69,6.74,49,4.79,40,3.91,49,4.79,39,3.81,35,3.42,38,3.71,37,3.62,1,0.1,1,0.1,3,0.29,2,0.2,0,0.0,2,0.2,24,2.35,15,1.47,16,1.56,38,3.71,48,4.69,47,4.59,44,4.3,06064
7,1,1041,18,1.73,14,1.34,9,0.86,12,1.15,7,0.67,5,0.48,6,0.58,21,2.02,70,6.72,9,0.86,22,2.11,21,2.02,9,0.86,5,0.48,14,1.34,6,0.58,6,0.58,6,0.58,5,0.48,3,0.29,4,0.38,4,0.38,1,0.1,1,0.1,3,0.29,2,0.19,12,1.15,3,0.29,2,0.19,2,0.19,56,5.38,42,4.03,40,3.84,45,4.32,36,3.46,32,3.07,29,2.79,27,2.59,1,0.1,0,0.0,0,0.0,1,0.1,0,0.0,3,0.29,63,6.05,49,4.71,46,4.42,60,5.76,73,7.01,56,5.38,65,6.24,07001
7,2,1144,16,1.4,12,1.05,9,0.79,8,0.7,10,0.87,11,0.96,7,0.61,26,2.27,86,7.52,12,1.05,31,2.71,31,2.71,17,1.49,14,1.22,8,0.7,12,1.05,10,0.87,9,0.79,3,0.26,5,0.44,4,0.35,8,0.7,6,0.52,6,0.52,5,0.44,3,0.26,8,0.7,1,0.09,3,0.26,2,0.17,63,5.51,45,3.93,32,2.8,41,3.58,29,2.53,27,2.36,29,2.53,27,2.36,3,0.26,2,0.17,3,0.26,4,0.35,3,0.26,6,0.52,78,6.82,44,3.85,41,3.58,68,5.94,72,6.29,76,6.64,48,4.2,07002
7,3,562,14,2.49,8,1.42,1,0.18,8,1.42,4,0.71,5,0.89,5,0.89,13,2.31,37,6.58,6,1.07,11,1.96,15,2.67,8,1.42,5,0.89,5,0.89,7,1.25,9,1.6,6,1.07,1,0.18,2,0.36,3,0.53,3,0.53,3,0.53,1,0.18,1,0.18,1,0.18,5,0.89,0,0.0,0,0.0,0,0.0,24,4.27,24,4.27,22,3.91,23,4.09,20,3.56,16,2.85,18,3.2,19,3.38,1,0.18,0,0.0,2,0.36,0,0.0,0,0.0,3,0.53,25,4.45,16,2.85,15,2.67,24,4.27,38,6.76,43,7.65,31,5.52,07003
7,4,696,12,1.72,5,0.72,5,0.72,8,1.15,5,0.72,5,0.72,7,1.01,9,1.29,47,6.75,6,0.86,9,1.29,10,1.44,10,1.44,3,0.43,6,0.86,7,1.01,6,0.86,5,0.72,5,0.72,3,0.43,2,0.29,3,0.43,4,0.57,2,0.29,0,0.0,3,0.43,5,0.72,2,0.29,0,0.0,1,0.14,26,3.74,15,2.16,14,2.01,24,3.45,18,2.59,12,1.72,13,1.87,12,1.72,1,0.14,2,0.29,1,0.14,0,0.0,0,0.0,2,0.29,54,7.76,42,6.03,39,5.6,55,7.9,55,7.9,58,8.33,50,7.18,07004
7,5,555,11,1.98,8,1.44,5,0.9,7,1.26,4,0.72,6,1.08,3,0.54,13,2.34,22,3.96,4,0.72,10,1.8,9,1.62,8,1.44,4,0.72,7,1.26,5,0.9,6,1.08,3,0.54,5,0.9,3,0.54,2,0.36,4,0.72,2,0.36,2,0.36,1,0.18,2,0.36,0,0.0,1,0.18,0,0.0,0,0.0,18,3.24,19,3.42,14,2.52,17,3.06,16,2.88,14,2.52,13,2.34,9,1.62,3,0.54,0,0.0,1,0.18,1,0.18,0,0.0,1,0.18,39,7.03,34,6.13,30,5.41,37,6.67,38,6.85,46,8.29,44,7.93,07005
