ward,precinct,total,Melanie R. Nuby,Melanie R. Nuby Percent,Orville E. Hambright,Orville E. Hambright Percent,Robert Balanoff,Robert Balanoff Percent,LaGuina Clay-Clark,LaGuina Clay-Clark Percent,precinct_id
7,53,164,24,14.63,7,4.27,76,46.34,57,34.76,07053
7,54,67,12,17.91,4,5.97,33,49.25,18,26.87,07054
7,55,167,19,11.38,43,25.75,70,41.92,35,20.96,07055
7,56,145,32,22.07,31,21.38,29,20.0,53,36.55,07056
7,57,142,34,23.94,41,28.87,18,12.68,49,34.51,07057
7,58,244,45,18.44,44,18.03,73,29.92,82,33.61,07058
7,59,86,12,13.95,16,18.6,40,46.51,18,20.93,07059
7,60,131,22,16.79,13,9.92,62,47.33,34,25.95,07060
7,61,173,26,15.03,19,10.98,54,31.21,74,42.77,07061
7,62,181,21,11.6,14,7.73,101,55.8,45,24.86,07062
7,63,143,41,28.67,22,15.38,32,22.38,48,33.57,07063
7,65,137,44,32.12,20,14.6,29,21.17,44,32.12,07065
8,1,244,44,18.03,71,29.1,66,27.05,63,25.82,08001
8,2,135,23,17.04,40,29.63,42,31.11,30,22.22,08002
8,3,319,73,22.88,95,29.78,112,35.11,39,12.23,08003
8,4,222,49,22.07,52,23.42,81,36.49,40,18.02,08004
8,5,289,31,10.73,84,29.07,79,27.34,95,32.87,08005
8,6,261,71,27.2,80,30.65,40,15.33,70,26.82,08006
8,7,166,53,31.93,44,26.51,35,21.08,34,20.48,08007
8,8,279,48,17.2,103,36.92,72,25.81,56,20.07,08008
8,9,283,66,23.32,81,28.62,83,29.33,53,18.73,08009
8,10,329,44,13.37,88,26.75,42,12.77,155,47.11,08010
8,11,192,53,27.6,61,31.77,42,21.88,36,18.75,08011
8,12,192,38,19.79,38,19.79,61,31.77,55,28.65,08012
8,13,167,35,20.96,58,34.73,42,25.15,32,19.16,08013
8,14,155,33,21.29,48,30.97,32,20.65,42,27.1,08014
8,15,194,59,30.41,41,21.13,50,25.77,44,22.68,08015
8,16,252,29,11.51,81,32.14,39,15.48,103,40.87,08016
8,17,187,45,24.06,46,24.6,65,34.76,31,16.58,08017
8,18,112,29,25.89,44,39.29,20,17.86,19,16.96,08018
8,19,289,52,17.99,108,37.37,82,28.37,47,16.26,08019
8,20,164,53,32.32,42,25.61,37,22.56,32,19.51,08020
8,21,162,62,38.27,45,27.78,31,19.14,24,14.81,08021
8,22,179,46,25.7,61,34.08,43,24.02,29,16.2,08022
8,23,210,96,45.71,33,15.71,38,18.1,43,20.48,08023
8,24,233,68,29.18,56,24.03,57,24.46,52,22.32,08024
8,25,215,47,21.86,55,25.58,68,31.63,45,20.93,08025
8,26,155,38,24.52,45,29.03,34,21.94,38,24.52,08026
8,27,257,50,19.46,66,25.68,105,40.86,36,14.01,08027
8,28,215,92,42.79,45,20.93,30,13.95,48,22.33,08028
8,29,237,50,21.1,85,35.86,42,17.72,60,25.32,08029
8,30,172,51,29.65,55,31.98,33,19.19,33,19.19,08030
8,31,139,30,21.58,40,28.78,36,25.9,33,23.74,08031
8,32,351,88,25.07,92,26.21,112,31.91,59,16.81,08032
8,33,213,23,10.8,109,51.17,43,20.19,38,17.84,08033
8,34,232,64,27.59,63,27.16,54,23.28,51,21.98,08034
8,35,261,52,19.92,70,26.82,84,32.18,55,21.07,08035
8,36,206,50,24.27,60,29.13,47,22.82,49,23.79,08036
8,37,237,71,29.96,51,21.52,59,24.89,56,23.63,08037
8,38,203,57,28.08,56,27.59,54,26.6,36,17.73,08038
8,39,251,57,22.71,79,31.47,82,32.67,33,13.15,08039
8,40,206,46,22.33,52,25.24,62,30.1,46,22.33,08040
8,41,205,40,19.51,83,40.49,42,20.49,40,19.51,08041
8,42,227,73,32.16,58,25.55,46,20.26,50,22.03,08042
8,43,179,43,24.02,52,29.05,39,21.79,45,25.14,08043
8,44,177,34,19.21,45,25.42,67,37.85,31,17.51,08044
8,45,159,47,29.56,45,28.3,28,17.61,39,24.53,08045
8,46,167,27,16.17,45,26.95,47,28.14,48,28.74,08046
8,47,232,38,16.38,93,40.09,71,30.6,30,12.93,08047
8,48,183,53,28.96,63,34.43,27,14.75,40,21.86,08048
8,49,274,68,24.82,85,31.02,70,25.55,51,18.61,08049
8,50,217,57,26.27,78,35.94,46,21.2,36,16.59,08050
8,51,274,94,34.31,69,25.18,47,17.15,64,23.36,08051
8,52,237,64,27.0,71,29.96,52,21.94,50,21.1,08052
8,53,268,59,22.01,95,35.45,53,19.78,61,22.76,08053
8,54,232,41,17.67,79,34.05,28,12.07,84,36.21,08054
8,55,205,48,23.41,70,34.15,40,19.51,47,22.93,08055
8,56,236,59,25.0,82,34.75,41,17.37,54,22.88,08056
8,58,268,55,20.52,59,22.01,69,25.75,85,31.72,08058
8,59,132,26,19.7,65,49.24,20,15.15,21,15.91,08059
8,60,188,69,36.7,37,19.68,35,18.62,47,25.0,08060
8,61,156,36,23.08,38,24.36,40,25.64,42,26.92,08061
8,62,221,36,16.29,49,22.17,64,28.96,72,32.58,08062
8,63,267,96,35.96,65,24.34,57,21.35,49,18.35,08063
8,64,179,44,24.58,51,28.49,51,28.49,33,18.44,08064
8,65,153,44,28.76,38,24.84,38,24.84,33,21.57,08065
8,66,284,77,27.11,54,19.01,83,29.23,70,24.65,08066
8,67,96,11,11.46,33,34.38,28,29.17,24,25.0,08067
8,68,131,36,27.48,43,32.82,28,21.37,24,18.32,08068
8,69,80,15,18.75,33,41.25,16,20.0,16,20.0,08069
9,13,282,68,24.11,72,25.53,66,23.4,76,26.95,09013
9,35,223,65,29.15,40,17.94,55,24.66,63,28.25,09035
9,52,230,54,23.48,63,27.39,62,26.96,51,22.17,09052
9,54,178,47,26.4,41,23.03,37,20.79,53,29.78,09054
9,56,123,38,30.89,18,14.63,39,31.71,28,22.76,09056
9,58,158,42,26.58,27,17.09,47,29.75,42,26.58,09058
10,1,126,13,10.32,8,6.35,94,74.6,11,8.73,10001
10,2,104,20,19.23,6,5.77,71,68.27,7,6.73,10002
10,3,159,26,16.35,18,11.32,109,68.55,6,3.77,10003
10,4,128,14,10.94,9,7.03,55,42.97,50,39.06,10004
10,5,108,14,12.96,8,7.41,75,69.44,11,10.19,10005
10,6,161,24,14.91,14,8.7,75,46.58,48,29.81,10006
10,7,29,5,17.24,7,24.14,14,48.28,3,10.34,10007
10,8,117,13,11.11,11,9.4,72,61.54,21,17.95,10008
10,9,141,24,17.02,11,7.8,95,67.38,11,7.8,10009
10,10,134,20,14.93,20,14.93,92,68.66,2,1.49,10010
10,11,129,16,12.4,10,7.75,93,72.09,10,7.75,10011
10,12,93,11,11.83,6,6.45,63,67.74,13,13.98,10012
10,13,122,28,22.95,6,4.92,78,63.93,10,8.2,10013
10,14,138,30,21.74,12,8.7,88,63.77,8,5.8,10014
10,15,59,7,11.86,5,8.47,41,69.49,6,10.17,10015
10,16,125,19,15.2,7,5.6,93,74.4,6,4.8,10016
10,17,90,11,12.22,7,7.78,64,71.11,8,8.89,10017
10,18,113,18,15.93,8,7.08,66,58.41,21,18.58,10018
10,19,139,23,16.55,13,9.35,95,68.35,8,5.76,10019
10,20,109,18,16.51,8,7.34,76,69.72,7,6.42,10020
10,21,93,12,12.9,7,7.53,68,73.12,6,6.45,10021
10,22,32,5,15.63,1,3.13,22,68.75,4,12.5,10022
10,23,98,18,18.37,8,8.16,65,66.33,7,7.14,10023
10,24,113,15,13.27,9,7.96,83,73.45,6,5.31,10024
10,25,174,26,14.94,14,8.05,104,59.77,30,17.24,10025
10,26,93,10,10.75,7,7.53,68,73.12,8,8.6,10026
10,27,143,36,25.17,16,11.19,83,58.04,8,5.59,10027
10,28,155,28,18.06,14,9.03,87,56.13,26,16.77,10028
10,29,137,21,15.33,13,9.49,63,45.99,40,29.2,10029
10,30,150,23,15.33,7,4.67,104,69.33,16,10.67,10030
10,31,139,15,10.79,9,6.47,112,80.58,3,2.16,10031
10,32,131,16,12.21,10,7.63,95,72.52,10,7.63,10032
10,33,115,20,17.39,7,6.09,74,64.35,14,12.17,10033
10,34,126,12,9.52,14,11.11,91,72.22,9,7.14,10034
10,35,133,25,18.8,13,9.77,81,60.9,14,10.53,10035
10,36,166,35,21.08,6,3.61,116,69.88,9,5.42,10036
10,37,98,16,16.33,10,10.2,50,51.02,22,22.45,10037
10,38,177,27,15.25,22,12.43,119,67.23,9,5.08,10038
10,39,130,19,14.62,8,6.15,93,71.54,10,7.69,10039
10,40,111,14,12.61,7,6.31,85,76.58,5,4.5,10040
10,41,136,24,17.65,9,6.62,92,67.65,11,8.09,10041
10,42,126,22,17.46,7,5.56,92,73.02,5,3.97,10042
10,43,54,11,20.37,4,7.41,32,59.26,7,12.96,10043
10,44,96,15,15.63,6,6.25,66,68.75,9,9.38,10044
10,45,80,24,30.0,8,10.0,44,55.0,4,5.0,10045
10,46,117,19,16.24,5,4.27,88,75.21,5,4.27,10046
10,47,120,20,16.67,6,5.0,83,69.17,11,9.17,10047
10,48,106,23,21.7,13,12.26,44,41.51,26,24.53,10048
10,49,88,16,18.18,16,18.18,34,38.64,22,25.0,10049
17,2,127,40,31.5,25,19.69,27,21.26,35,27.56,17002
17,3,102,29,28.43,22,21.57,29,28.43,22,21.57,17003
17,4,230,64,27.83,38,16.52,69,30.0,59,25.65,17004
17,5,143,32,22.38,41,28.67,40,27.97,30,20.98,17005
17,7,190,49,25.79,44,23.16,54,28.42,43,22.63,17007
17,9,108,32,29.63,25,23.15,26,24.07,25,23.15,17009
17,10,150,44,29.33,31,20.67,41,27.33,34,22.67,17010
17,12,197,57,28.93,39,19.8,45,22.84,56,28.43,17012
17,15,122,29,23.77,32,26.23,31,25.41,30,24.59,17015
17,18,147,32,21.77,34,23.13,46,31.29,35,23.81,17018
17,20,150,50,33.33,24,16.0,39,26.0,37,24.67,17020
17,21,256,50,19.53,80,31.25,62,24.22,64,25.0,17021
17,22,156,47,30.13,23,14.74,41,26.28,45,28.85,17022
17,23,119,37,31.09,21,17.65,29,24.37,32,26.89,17023
17,24,140,33,23.57,20,14.29,50,35.71,37,26.43,17024
17,25,93,26,27.96,21,22.58,17,18.28,29,31.18,17025
17,26,192,58,30.21,30,15.63,56,29.17,48,25.0,17026
17,27,206,61,29.61,46,22.33,51,24.76,48,23.3,17027
17,28,129,30,23.26,33,25.58,34,26.36,32,24.81,17028
17,29,174,45,25.86,55,31.61,40,22.99,34,19.54,17029
17,30,180,40,22.22,49,27.22,42,23.33,49,27.22,17030
17,31,145,39,26.9,23,15.86,39,26.9,44,30.34,17031
17,33,119,24,20.17,26,21.85,42,35.29,27,22.69,17033
17,35,105,27,25.71,27,25.71,32,30.48,19,18.1,17035
17,37,133,26,19.55,31,23.31,44,33.08,32,24.06,17037
17,38,144,36,25.0,23,15.97,51,35.42,34,23.61,17038
17,44,132,37,28.03,46,34.85,27,20.45,22,16.67,17044
17,47,88,19,21.59,25,28.41,17,19.32,27,30.68,17047
17,48,153,47,30.72,27,17.65,42,27.45,37,24.18,17048
17,50,134,30,22.39,38,28.36,31,23.13,35,26.12,17050
17,51,172,44,25.58,35,20.35,52,30.23,41,23.84,17051
17,52,208,58,27.88,42,20.19,56,26.92,52,25.0,17052
17,53,155,35,22.58,56,36.13,24,15.48,40,25.81,17053
17,54,181,41,22.65,38,20.99,56,30.94,46,25.41,17054
17,55,113,33,29.2,17,15.04,26,23.01,37,32.74,17055
18,20,201,28,13.93,27,13.43,48,23.88,98,48.76,18020
18,30,182,28,15.38,53,29.12,42,23.08,59,32.42,18030
18,38,251,55,21.91,45,17.93,59,23.51,92,36.65,18038
18,51,118,20,16.95,37,31.36,31,26.27,30,25.42,18051
18,52,187,28,14.97,64,34.22,37,19.79,58,31.02,18052
18,53,156,29,18.59,52,33.33,28,17.95,47,30.13,18053
18,60,219,51,23.29,29,13.24,40,18.26,99,45.21,18060
18,61,196,48,24.49,28,14.29,33,16.84,87,44.39,18061
18,63,166,42,25.3,28,16.87,44,26.51,52,31.33,18063
21,2,66,18,27.27,20,30.3,14,21.21,14,21.21,21002
21,15,202,46,22.77,69,34.16,31,15.35,56,27.72,21015
21,16,191,32,16.75,77,40.31,44,23.04,38,19.9,21016
21,17,108,23,21.3,38,35.19,22,20.37,25,23.15,21017
21,29,101,16,15.84,43,42.57,24,23.76,18,17.82,21029
21,32,112,27,24.11,34,30.36,28,25.0,23,20.54,21032
21,34,240,41,17.08,93,38.75,45,18.75,61,25.42,21034
21,35,17,6,35.29,7,41.18,2,11.76,2,11.76,21035
21,36,147,27,18.37,44,29.93,33,22.45,43,29.25,21036
21,37,117,36,30.77,23,19.66,30,25.64,28,23.93,21037
21,39,21,6,28.57,5,23.81,5,23.81,5,23.81,21039
21,41,154,38,24.68,40,25.97,38,24.68,38,24.68,21041
21,52,197,50,25.38,56,28.43,44,22.34,47,23.86,21052
21,57,169,49,28.99,36,21.3,42,24.85,42,24.85,21057
21,62,215,28,13.02,81,37.67,48,22.33,58,26.98,21062
21,65,215,35,16.28,72,33.49,50,23.26,58,26.98,21065
21,67,150,38,25.33,37,24.67,31,20.67,44,29.33,21067
21,68,75,14,18.67,23,30.67,20,26.67,18,24.0,21068
21,69,169,30,17.75,64,37.87,38,22.49,37,21.89,21069
21,70,159,39,24.53,60,37.74,29,18.24,31,19.5,21070
21,71,145,25,17.24,51,35.17,39,26.9,30,20.69,21071
21,72,146,34,23.29,30,20.55,49,33.56,33,22.6,21072
21,73,221,47,21.27,63,28.51,52,23.53,59,26.7,21073
21,74,62,13,20.97,23,37.1,16,25.81,10,16.13,21074
21,75,39,4,10.26,13,33.33,14,35.9,8,20.51,21075
21,76,183,28,15.3,66,36.07,49,26.78,40,21.86,21076
