ward,precinct,total,"Leonard """"Lenny"""" Brody (Kucinich)","Leonard """"Lenny"""" Brody (Kucinich) Percent","Proco """"Joe"""" Moreno (Dean)","Proco """"Joe"""" Moreno (Dean) Percent",Francisco Cisneros (Gephardt),Francisco Cisneros (Gephardt) Percent,Nicholas J. Delgado (Edwards),Nicholas J. Delgado (Edwards) Percent,Gary Klein (Kerry),Gary Klein (Kerry) Percent,William Bennett (Braun),William Bennett (Braun) Percent,precinct_id
22,20,103,3,2.91,25,24.27,37,35.92,6,5.83,25,24.27,5,4.85,22020
22,22,63,2,3.17,15,23.81,24,38.1,8,12.7,14,22.22,0,0.0,22022
22,23,49,2,4.08,11,22.45,14,28.57,5,10.2,17,34.69,0,0.0,22023
22,24,72,5,6.94,16,22.22,24,33.33,8,11.11,17,23.61,2,2.78,22024
22,25,68,1,1.47,17,25.0,15,22.06,7,10.29,25,36.76,1,1.47,22025
22,26,72,3,4.17,11,15.28,23,31.94,8,11.11,24,33.33,2,2.78,22026
22,27,71,3,4.23,13,18.31,12,16.9,7,9.86,29,40.85,3,4.23,22027
22,28,59,5,8.47,13,22.03,20,33.9,6,10.17,10,16.95,3,5.08,22028
22,29,58,4,6.9,11,18.97,18,31.03,6,10.34,14,24.14,1,1.72,22029
22,30,95,6,6.32,19,20.0,15,15.79,10,10.53,39,41.05,2,2.11,22030
23,9,139,6,4.32,16,11.51,19,13.67,23,16.55,64,46.04,7,5.04,23009
23,24,80,8,10.0,17,21.25,9,11.25,13,16.25,25,31.25,7,8.75,23024
23,29,117,13,11.11,21,17.95,19,16.24,13,11.11,44,37.61,4,3.42,23029
24,53,11,0,0.0,1,9.09,5,45.45,1,9.09,3,27.27,1,9.09,24053
24,57,106,6,5.66,17,16.04,28,26.42,15,14.15,29,27.36,6,5.66,24057
25,1,115,10,8.7,17,14.78,19,16.52,20,17.39,43,37.39,3,2.61,25001
25,2,138,16,11.59,35,25.36,22,15.94,15,10.87,43,31.16,3,2.17,25002
25,5,114,14,12.28,19,16.67,15,13.16,19,16.67,36,31.58,6,5.26,25005
25,6,87,12,13.79,14,16.09,11,12.64,8,9.2,34,39.08,5,5.75,25006
25,7,121,6,4.96,13,10.74,37,30.58,18,14.88,35,28.93,5,4.13,25007
25,8,145,14,9.66,27,18.62,28,19.31,17,11.72,43,29.66,9,6.21,25008
25,9,189,14,7.41,35,18.52,35,18.52,21,11.11,69,36.51,6,3.17,25009
25,11,108,10,9.26,26,24.07,20,18.52,14,12.96,31,28.7,3,2.78,25011
25,12,143,12,8.39,26,18.18,8,5.59,24,16.78,65,45.45,2,1.4,25012
25,13,158,8,5.06,32,20.25,26,16.46,19,12.03,51,32.28,10,6.33,25013
25,15,126,8,6.35,22,17.46,28,22.22,11,8.73,50,39.68,4,3.17,25015
25,17,133,9,6.77,26,19.55,23,17.29,24,18.05,36,27.07,12,9.02,25017
25,19,142,4,2.82,28,19.72,32,22.54,22,15.49,46,32.39,3,2.11,25019
25,20,183,10,5.46,33,18.03,30,16.39,20,10.93,80,43.72,1,0.55,25020
25,22,55,6,10.91,12,21.82,11,20.0,6,10.91,16,29.09,1,1.82,25022
25,23,181,11,6.08,29,16.02,31,17.13,20,11.05,75,41.44,9,4.97,25023
25,24,155,7,4.52,34,21.94,27,17.42,25,16.13,57,36.77,1,0.65,25024
25,30,141,16,11.35,21,14.89,33,23.4,13,9.22,52,36.88,3,2.13,25030
25,31,88,14,15.91,12,13.64,5,5.68,10,11.36,36,40.91,7,7.95,25031
26,1,52,7,13.46,5,9.62,8,15.38,5,9.62,23,44.23,3,5.77,26001
26,2,74,9,12.16,12,16.22,6,8.11,12,16.22,21,28.38,11,14.86,26002
26,3,47,2,4.26,6,12.77,3,6.38,10,21.28,20,42.55,4,8.51,26003
26,4,67,4,5.97,15,22.39,8,11.94,11,16.42,25,37.31,2,2.99,26004
26,5,120,5,4.17,12,10.0,11,9.17,16,13.33,62,51.67,12,10.0,26005
26,6,50,4,8.0,6,12.0,7,14.0,11,22.0,13,26.0,7,14.0,26006
26,7,40,4,10.0,5,12.5,3,7.5,4,10.0,20,50.0,2,5.0,26007
26,8,71,5,7.04,6,8.45,3,4.23,15,21.13,29,40.85,9,12.68,26008
26,9,48,2,4.17,12,25.0,6,12.5,14,29.17,11,22.92,2,4.17,26009
26,10,54,4,7.41,6,11.11,9,16.67,6,11.11,24,44.44,5,9.26,26010
26,11,76,4,5.26,9,11.84,10,13.16,11,14.47,37,48.68,3,3.95,26011
26,12,48,0,0.0,10,20.83,5,10.42,8,16.67,15,31.25,9,18.75,26012
26,13,99,11,11.11,7,7.07,5,5.05,18,18.18,57,57.58,0,0.0,26013
26,14,64,1,1.56,14,21.88,13,20.31,13,20.31,18,28.13,2,3.13,26014
26,15,46,2,4.35,5,10.87,7,15.22,8,17.39,16,34.78,7,15.22,26015
26,16,50,6,12.0,4,8.0,8,16.0,11,22.0,16,32.0,3,6.0,26016
26,18,50,0,0.0,9,18.0,6,12.0,9,18.0,15,30.0,5,10.0,26018
26,19,124,21,16.94,8,6.45,7,5.65,17,13.71,64,51.61,0,0.0,26019
26,20,99,9,9.09,19,19.19,5,5.05,19,19.19,35,35.35,8,8.08,26020
26,21,80,9,11.25,12,15.0,10,12.5,13,16.25,21,26.25,10,12.5,26021
26,22,42,1,2.38,5,11.9,7,16.67,6,14.29,17,40.48,3,7.14,26022
26,23,48,2,4.17,2,4.17,10,20.83,8,16.67,22,45.83,2,4.17,26023
26,24,71,10,14.08,9,12.68,3,4.23,10,14.08,35,49.3,3,4.23,26024
26,25,35,1,2.86,5,14.29,5,14.29,4,11.43,13,37.14,6,17.14,26025
26,26,56,7,12.5,5,8.93,8,14.29,8,14.29,19,33.93,8,14.29,26026
26,27,55,2,3.64,1,1.82,10,18.18,8,14.55,22,40.0,8,14.55,26027
26,28,63,5,7.94,7,11.11,5,7.94,8,12.7,28,44.44,6,9.52,26028
26,29,68,7,10.29,13,19.12,4,5.88,15,22.06,18,26.47,7,10.29,26029
26,30,70,1,1.43,13,18.57,13,18.57,11,15.71,19,27.14,11,15.71,26030
26,31,59,2,3.39,6,10.17,9,15.25,15,25.42,23,38.98,4,6.78,26031
26,32,70,10,14.29,6,8.57,8,11.43,7,10.0,35,50.0,1,1.43,26032
26,34,66,11,16.67,5,7.58,8,12.12,9,13.64,26,39.39,4,6.06,26034
26,35,73,9,12.33,7,9.59,6,8.22,8,10.96,36,49.32,3,4.11,26035
26,36,54,1,1.85,9,16.67,5,9.26,11,20.37,14,25.93,9,16.67,26036
26,37,31,3,9.68,5,16.13,3,9.68,6,19.35,5,16.13,5,16.13,26037
26,38,43,3,6.98,7,16.28,4,9.3,3,6.98,12,27.91,10,23.26,26038
26,39,65,2,3.08,8,12.31,8,12.31,13,20.0,31,47.69,3,4.62,26039
26,40,31,4,12.9,2,6.45,4,12.9,8,25.81,6,19.35,5,16.13,26040
26,41,49,4,8.16,9,18.37,4,8.16,9,18.37,21,42.86,1,2.04,26041
26,42,35,3,8.57,6,17.14,0,0.0,4,11.43,14,40.0,7,20.0,26042
26,43,73,5,6.85,12,16.44,17,23.29,9,12.33,16,21.92,9,12.33,26043
26,44,54,3,5.56,7,12.96,8,14.81,9,16.67,13,24.07,10,18.52,26044
26,45,59,7,11.86,14,23.73,0,0.0,12,20.34,12,20.34,11,18.64,26045
26,46,16,3,18.75,1,6.25,1,6.25,1,6.25,8,50.0,1,6.25,26046
26,47,42,0,0.0,13,30.95,6,14.29,5,11.9,13,30.95,3,7.14,26047
26,48,96,10,10.42,13,13.54,4,4.17,14,14.58,30,31.25,17,17.71,26048
26,49,66,3,4.55,9,13.64,7,10.61,7,10.61,25,37.88,11,16.67,26049
26,50,32,5,15.63,1,3.13,2,6.25,3,9.38,11,34.38,8,25.0,26050
26,51,75,2,2.67,10,13.33,12,16.0,12,16.0,31,41.33,4,5.33,26051
26,52,34,3,8.82,4,11.76,2,5.88,7,20.59,10,29.41,6,17.65,26052
26,53,54,5,9.26,7,12.96,4,7.41,10,18.52,21,38.89,3,5.56,26053
26,54,54,4,7.41,8,14.81,10,18.52,12,22.22,11,20.37,6,11.11,26054
26,55,47,2,4.26,3,6.38,7,14.89,10,21.28,21,44.68,3,6.38,26055
26,56,69,13,18.84,7,10.14,8,11.59,8,11.59,27,39.13,2,2.9,26056
26,57,41,2,4.88,7,17.07,7,17.07,7,17.07,13,31.71,5,12.2,26057
26,58,60,8,13.33,5,8.33,7,11.67,12,20.0,19,31.67,7,11.67,26058
26,59,91,7,7.69,14,15.38,7,7.69,16,17.58,32,35.16,10,10.99,26059
26,60,58,5,8.62,5,8.62,5,8.62,12,20.69,24,41.38,4,6.9,26060
26,61,28,2,7.14,8,28.57,2,7.14,3,10.71,8,28.57,4,14.29,26061
26,62,96,16,16.67,14,14.58,5,5.21,10,10.42,39,40.63,6,6.25,26062
26,63,29,0,0.0,5,17.24,10,34.48,4,13.79,6,20.69,3,10.34,26063
27,32,97,11,11.34,11,11.34,11,11.34,7,7.22,31,31.96,19,19.59,27032
27,35,178,22,12.36,23,12.92,7,3.93,11,6.18,91,51.12,12,6.74,27035
27,38,105,10,9.52,10,9.52,9,8.57,14,13.33,52,49.52,6,5.71,27038
27,41,98,9,9.18,10,10.2,7,7.14,4,4.08,60,61.22,4,4.08,27041
27,55,29,3,10.34,4,13.79,1,3.45,2,6.9,17,58.62,1,3.45,27055
27,56,71,3,4.23,10,14.08,7,9.86,7,9.86,41,57.75,1,1.41,27056
27,59,138,13,9.42,17,12.32,11,7.97,20,14.49,57,41.3,17,12.32,27059
28,29,81,2,2.47,12,14.81,19,23.46,13,16.05,24,29.63,5,6.17,28029
28,34,11,0,0.0,1,9.09,3,27.27,1,9.09,4,36.36,2,18.18,28034
28,38,45,2,4.44,11,24.44,14,31.11,0,0.0,11,24.44,4,8.89,28038
29,6,45,2,4.44,1,2.22,10,22.22,4,8.89,20,44.44,6,13.33,29006
29,7,70,7,10.0,8,11.43,4,5.71,13,18.57,24,34.29,9,12.86,29007
29,30,30,1,3.33,4,13.33,3,10.0,2,6.67,14,46.67,0,0.0,29030
29,39,97,3,3.09,10,10.31,11,11.34,15,15.46,43,44.33,11,11.34,29039
29,52,104,6,5.77,12,11.54,9,8.65,24,23.08,34,32.69,16,15.38,29052
29,53,35,2,5.71,4,11.43,9,25.71,2,5.71,11,31.43,4,11.43,29053
30,4,95,9,9.47,12,12.63,16,16.84,20,21.05,28,29.47,8,8.42,30004
30,5,54,2,3.7,9,16.67,6,11.11,12,22.22,20,37.04,1,1.85,30005
30,6,61,2,3.28,10,16.39,6,9.84,12,19.67,24,39.34,4,6.56,30006
30,17,6,0,0.0,0,0.0,1,16.67,2,33.33,3,50.0,0,0.0,30017
30,18,22,1,4.55,2,9.09,3,13.64,5,22.73,11,50.0,0,0.0,30018
30,19,54,5,9.26,6,11.11,5,9.26,8,14.81,23,42.59,6,11.11,30019
30,20,74,2,2.7,13,17.57,8,10.81,15,20.27,30,40.54,4,5.41,30020
30,21,62,3,4.84,9,14.52,10,16.13,9,14.52,25,40.32,4,6.45,30021
30,22,109,9,8.26,12,11.01,18,16.51,27,24.77,33,30.28,6,5.5,30022
30,23,78,2,2.56,5,6.41,18,23.08,15,19.23,21,26.92,11,14.1,30023
30,24,57,3,5.26,7,12.28,7,12.28,15,26.32,18,31.58,3,5.26,30024
30,25,55,7,12.73,11,20.0,8,14.55,4,7.27,20,36.36,2,3.64,30025
30,26,62,2,3.23,7,11.29,9,14.52,10,16.13,22,35.48,10,16.13,30026
30,27,98,9,9.18,13,13.27,11,11.22,22,22.45,34,34.69,8,8.16,30027
30,29,48,0,0.0,9,18.75,7,14.58,6,12.5,16,33.33,8,16.67,30029
30,31,66,2,3.03,7,10.61,18,27.27,7,10.61,24,36.36,4,6.06,30031
30,32,37,1,2.7,2,5.41,7,18.92,5,13.51,18,48.65,4,10.81,30032
30,33,88,4,4.55,11,12.5,18,20.45,24,27.27,21,23.86,7,7.95,30033
30,35,72,5,6.94,11,15.28,10,13.89,11,15.28,31,43.06,4,5.56,30035
30,36,101,12,11.88,12,11.88,19,18.81,10,9.9,41,40.59,3,2.97,30036
30,41,82,4,4.88,13,15.85,19,23.17,16,19.51,19,23.17,6,7.32,30041
31,1,40,3,7.5,5,12.5,6,15.0,10,25.0,14,35.0,1,2.5,31001
31,2,58,3,5.17,13,22.41,6,10.34,11,18.97,17,29.31,2,3.45,31002
31,4,82,7,8.54,7,8.54,14,17.07,11,13.41,37,45.12,4,4.88,31004
31,5,76,9,11.84,7,9.21,6,7.89,10,13.16,36,47.37,6,7.89,31005
31,6,114,3,2.63,13,11.4,27,23.68,11,9.65,50,43.86,2,1.75,31006
31,7,69,7,10.14,7,10.14,12,17.39,9,13.04,26,37.68,5,7.25,31007
31,10,28,2,7.14,5,17.86,8,28.57,5,17.86,6,21.43,0,0.0,31010
31,11,59,2,3.39,7,11.86,12,20.34,13,22.03,23,38.98,1,1.69,31011
31,12,54,4,7.41,7,12.96,8,14.81,18,33.33,14,25.93,0,0.0,31012
31,13,72,3,4.17,11,15.28,12,16.67,13,18.06,27,37.5,3,4.17,31013
31,14,59,4,6.78,11,18.64,7,11.86,8,13.56,21,35.59,7,11.86,31014
31,16,12,1,8.33,1,8.33,5,41.67,0,0.0,5,41.67,0,0.0,31016
31,17,66,2,3.03,9,13.64,7,10.61,22,33.33,25,37.88,1,1.52,31017
31,18,82,7,8.54,17,20.73,15,18.29,11,13.41,25,30.49,5,6.1,31018
31,20,48,4,8.33,3,6.25,9,18.75,7,14.58,21,43.75,2,4.17,31020
31,21,85,3,3.53,12,14.12,23,27.06,15,17.65,27,31.76,4,4.71,31021
31,22,65,7,10.77,10,15.38,5,7.69,5,7.69,33,50.77,3,4.62,31022
31,23,59,4,6.78,6,10.17,3,5.08,11,18.64,32,54.24,2,3.39,31023
31,24,71,3,4.23,10,14.08,5,7.04,19,26.76,28,39.44,2,2.82,31024
31,25,57,6,10.53,8,14.04,9,15.79,14,24.56,17,29.82,2,3.51,31025
31,27,50,0,0.0,4,8.0,11,22.0,8,16.0,24,48.0,2,4.0,31027
31,30,79,0,0.0,7,8.86,5,6.33,15,18.99,38,48.1,9,11.39,31030
31,31,111,6,5.41,12,10.81,13,11.71,21,18.92,45,40.54,10,9.01,31031
31,34,50,3,6.0,9,18.0,6,12.0,13,26.0,17,34.0,1,2.0,31034
31,35,35,3,8.57,5,14.29,7,20.0,4,11.43,15,42.86,0,0.0,31035
31,36,89,7,7.87,15,16.85,8,8.99,19,21.35,32,35.96,7,7.87,31036
31,37,91,1,1.1,14,15.38,16,17.58,21,23.08,29,31.87,8,8.79,31037
31,39,50,3,6.0,6,12.0,7,14.0,15,30.0,16,32.0,1,2.0,31039
31,40,68,2,2.94,8,11.76,12,17.65,18,26.47,18,26.47,7,10.29,31040
31,42,84,7,8.33,7,8.33,9,10.71,18,21.43,27,32.14,10,11.9,31042
31,44,59,1,1.69,10,16.95,10,16.95,13,22.03,20,33.9,4,6.78,31044
31,49,51,4,7.84,7,13.73,6,11.76,12,23.53,16,31.37,3,5.88,31049
31,51,58,4,6.9,6,10.34,6,10.34,12,20.69,27,46.55,2,3.45,31051
32,1,27,5,18.52,4,14.81,0,0.0,1,3.7,16,59.26,0,0.0,32001
32,2,145,16,11.03,21,14.48,5,3.45,19,13.1,73,50.34,8,5.52,32002
32,3,98,16,16.33,13,13.27,2,2.04,10,10.2,45,45.92,6,6.12,32003
