ward,precinct,total,Timothy Michael Kelly,Timothy Michael Kelly Percent,Kathleen Marie Burke,Kathleen Marie Burke Percent,William James Haddad,William James Haddad Percent,Michael J. (Yakov) Fox,Michael J. (Yakov) Fox Percent,Barbara Anne Bailey,Barbara Anne Bailey Percent,Thomas G. O'Brien,Thomas G. O'Brien Percent,precinct_id
2,22,249,23,9.24,65,26.1,65,26.1,10,4.02,50,20.08,13,5.22,02022
2,23,100,15,15.0,19,19.0,9,9.0,6,6.0,28,28.0,8,8.0,02023
2,24,83,18,21.69,16,19.28,12,14.46,0,0.0,22,26.51,9,10.84,02024
2,25,76,7,9.21,22,28.95,13,17.11,3,3.95,13,17.11,7,9.21,02025
2,26,156,20,12.82,32,20.51,36,23.08,8,5.13,37,23.72,10,6.41,02026
2,27,82,20,24.39,16,19.51,13,15.85,4,4.88,14,17.07,8,9.76,02027
2,28,40,3,7.5,11,27.5,7,17.5,4,10.0,4,10.0,4,10.0,02028
2,29,61,3,4.92,19,31.15,9,14.75,3,4.92,16,26.23,6,9.84,02029
2,30,90,20,22.22,19,21.11,4,4.44,2,2.22,18,20.0,9,10.0,02030
2,31,160,33,20.63,39,24.38,22,13.75,5,3.13,38,23.75,7,4.38,02031
2,32,80,17,21.25,11,13.75,14,17.5,9,11.25,14,17.5,7,8.75,02032
2,33,89,21,23.6,19,21.35,7,7.87,4,4.49,17,19.1,9,10.11,02033
2,34,142,25,17.61,34,23.94,20,14.08,7,4.93,31,21.83,7,4.93,02034
2,35,39,8,20.51,13,33.33,10,25.64,2,5.13,1,2.56,1,2.56,02035
2,36,62,12,19.35,9,14.52,5,8.06,1,1.61,15,24.19,9,14.52,02036
2,37,156,12,7.69,36,23.08,34,21.79,9,5.77,32,20.51,10,6.41,02037
2,38,165,37,22.42,32,19.39,23,13.94,11,6.67,35,21.21,9,5.45,02038
2,39,125,18,14.4,25,20.0,18,14.4,5,4.0,31,24.8,9,7.2,02039
2,40,188,30,15.96,50,26.6,28,14.89,10,5.32,27,14.36,17,9.04,02040
2,41,87,12,13.79,14,16.09,8,9.2,10,11.49,21,24.14,5,5.75,02041
2,42,43,5,11.63,7,16.28,9,20.93,2,4.65,8,18.6,6,13.95,02042
2,43,183,26,14.21,38,20.77,54,29.51,9,4.92,32,17.49,9,4.92,02043
2,44,88,18,20.45,13,14.77,14,15.91,5,5.68,18,20.45,7,7.95,02044
2,45,123,16,13.01,27,21.95,11,8.94,10,8.13,35,28.46,10,8.13,02045
2,46,212,23,10.85,44,20.75,21,9.91,9,4.25,84,39.62,7,3.3,02046
2,47,144,29,20.14,31,21.53,11,7.64,10,6.94,25,17.36,10,6.94,02047
2,48,92,16,17.39,15,16.3,10,10.87,8,8.7,23,25.0,6,6.52,02048
2,49,112,8,7.14,27,24.11,33,29.46,6,5.36,21,18.75,2,1.79,02049
2,50,89,11,12.36,23,25.84,15,16.85,3,3.37,15,16.85,8,8.99,02050
2,51,112,22,19.64,23,20.54,8,7.14,7,6.25,34,30.36,6,5.36,02051
2,52,132,15,11.36,42,31.82,19,14.39,8,6.06,27,20.45,8,6.06,02052
2,53,62,9,14.52,17,27.42,4,6.45,6,9.68,14,22.58,7,11.29,02053
2,54,149,7,4.7,24,16.11,58,38.93,8,5.37,21,14.09,8,5.37,02054
2,55,32,2,6.25,9,28.13,7,21.88,1,3.13,7,21.88,1,3.13,02055
2,56,127,18,14.17,34,26.77,10,7.87,3,2.36,38,29.92,10,7.87,02056
2,57,81,15,18.52,15,18.52,12,14.81,2,2.47,23,28.4,4,4.94,02057
2,58,52,9,17.31,9,17.31,17,32.69,2,3.85,8,15.38,5,9.62,02058
2,59,161,10,6.21,37,22.98,53,32.92,12,7.45,25,15.53,4,2.48,02059
3,1,137,26,18.98,21,15.33,7,5.11,9,6.57,24,17.52,13,9.49,03001
3,2,228,30,13.16,39,17.11,27,11.84,9,3.95,59,25.88,9,3.95,03002
3,3,88,12,13.64,28,31.82,10,11.36,2,2.27,17,19.32,6,6.82,03003
3,4,56,9,16.07,15,26.79,4,7.14,2,3.57,15,26.79,5,8.93,03004
3,5,77,10,12.99,13,16.88,4,5.19,4,5.19,20,25.97,7,9.09,03005
3,6,98,17,17.35,21,21.43,5,5.1,7,7.14,21,21.43,14,14.29,03006
3,7,126,24,19.05,36,28.57,10,7.94,6,4.76,36,28.57,0,0.0,03007
3,8,31,4,12.9,5,16.13,0,0.0,4,12.9,9,29.03,4,12.9,03008
3,9,120,21,17.5,17,14.17,9,7.5,8,6.67,30,25.0,7,5.83,03009
3,10,85,14,16.47,13,15.29,0,0.0,2,2.35,28,32.94,2,2.35,03010
3,11,79,10,12.66,6,7.59,4,5.06,4,5.06,18,22.78,1,1.27,03011
3,12,174,28,16.09,28,16.09,6,3.45,9,5.17,45,25.86,9,5.17,03012
3,13,102,11,10.78,26,25.49,4,3.92,15,14.71,24,23.53,13,12.75,03013
3,14,58,13,22.41,10,17.24,8,13.79,0,0.0,14,24.14,2,3.45,03014
3,15,146,27,18.49,39,26.71,8,5.48,1,0.68,29,19.86,9,6.16,03015
3,16,271,25,9.23,46,16.97,14,5.17,8,2.95,64,23.62,11,4.06,03016
3,17,121,16,13.22,18,14.88,11,9.09,11,9.09,21,17.36,6,4.96,03017
3,18,104,16,15.38,11,10.58,8,7.69,2,1.92,16,15.38,3,2.88,03018
3,19,18,5,27.78,1,5.56,1,5.56,0,0.0,6,33.33,4,22.22,03019
3,20,8,3,37.5,2,25.0,0,0.0,2,25.0,0,0.0,1,12.5,03020
3,21,95,13,13.68,10,10.53,3,3.16,9,9.47,29,30.53,6,6.32,03021
3,22,97,15,15.46,5,5.15,11,11.34,5,5.15,25,25.77,2,2.06,03022
3,23,21,3,14.29,7,33.33,1,4.76,1,4.76,5,23.81,2,9.52,03023
3,24,116,22,18.97,20,17.24,4,3.45,8,6.9,22,18.97,4,3.45,03024
3,25,21,6,28.57,4,19.05,4,19.05,1,4.76,3,14.29,0,0.0,03025
3,26,105,14,13.33,14,13.33,6,5.71,0,0.0,23,21.9,6,5.71,03026
3,27,5,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,2,40.0,03027
3,28,71,10,14.08,13,18.31,6,8.45,7,9.86,15,21.13,10,14.08,03028
3,29,99,23,23.23,23,23.23,11,11.11,6,6.06,14,14.14,3,3.03,03029
3,30,112,16,14.29,18,16.07,8,7.14,6,5.36,29,25.89,6,5.36,03030
3,31,196,33,16.84,29,14.8,13,6.63,4,2.04,54,27.55,14,7.14,03031
3,32,99,16,16.16,16,16.16,3,3.03,7,7.07,25,25.25,9,9.09,03032
3,33,178,37,20.79,36,20.22,10,5.62,6,3.37,35,19.66,11,6.18,03033
3,34,104,9,8.65,12,11.54,5,4.81,5,4.81,31,29.81,1,0.96,03034
3,35,123,24,19.51,25,20.33,7,5.69,6,4.88,22,17.89,6,4.88,03035
3,36,78,10,12.82,17,21.79,2,2.56,4,5.13,25,32.05,5,6.41,03036
3,37,75,10,13.33,10,13.33,6,8.0,5,6.67,14,18.67,7,9.33,03037
3,38,35,4,11.43,7,20.0,1,2.86,3,8.57,4,11.43,1,2.86,03038
3,39,227,31,13.66,44,19.38,21,9.25,3,1.32,56,24.67,5,2.2,03039
3,40,130,20,15.38,22,16.92,13,10.0,4,3.08,26,20.0,12,9.23,03040
3,41,133,12,9.02,26,19.55,8,6.02,5,3.76,27,20.3,8,6.02,03041
3,42,109,19,17.43,20,18.35,5,4.59,3,2.75,20,18.35,7,6.42,03042
3,43,68,8,11.76,4,5.88,1,1.47,2,2.94,6,8.82,1,1.47,03043
3,44,62,12,19.35,9,14.52,2,3.23,1,1.61,18,29.03,9,14.52,03044
3,45,60,13,21.67,17,28.33,4,6.67,3,5.0,5,8.33,6,10.0,03045
3,46,141,22,15.6,28,19.86,7,4.96,7,4.96,36,25.53,8,5.67,03046
3,47,88,23,26.14,10,11.36,2,2.27,2,2.27,24,27.27,7,7.95,03047
3,48,118,16,13.56,14,11.86,9,7.63,11,9.32,33,27.97,7,5.93,03048
3,49,33,6,18.18,3,9.09,2,6.06,2,6.06,10,30.3,2,6.06,03049
3,50,140,18,12.86,13,9.29,11,7.86,5,3.57,28,20.0,8,5.71,03050
3,51,44,5,11.36,15,34.09,2,4.55,1,2.27,11,25.0,2,4.55,03051
3,52,68,10,14.71,11,16.18,5,7.35,1,1.47,14,20.59,5,7.35,03052
3,53,112,13,11.61,18,16.07,12,10.71,14,12.5,25,22.32,3,2.68,03053
3,54,104,9,8.65,28,26.92,21,20.19,3,2.88,15,14.42,4,3.85,03054
3,55,109,17,15.6,7,6.42,10,9.17,6,5.5,28,25.69,8,7.34,03055
3,56,111,15,13.51,17,15.32,8,7.21,7,6.31,36,32.43,9,8.11,03056
3,57,168,33,19.64,25,14.88,5,2.98,7,4.17,47,27.98,12,7.14,03057
3,58,41,5,12.2,4,9.76,8,19.51,0,0.0,15,36.59,2,4.88,03058
3,59,65,16,24.62,9,13.85,12,18.46,3,4.62,11,16.92,3,4.62,03059
3,60,129,24,18.6,24,18.6,5,3.88,5,3.88,28,21.71,8,6.2,03060
3,61,111,18,16.22,29,26.13,16,14.41,8,7.21,24,21.62,3,2.7,03061
3,62,69,16,23.19,10,14.49,12,17.39,3,4.35,15,21.74,5,7.25,03062
3,63,66,8,12.12,14,21.21,13,19.7,0,0.0,8,12.12,3,4.55,03063
4,1,164,15,9.15,21,12.8,65,39.63,8,4.88,25,15.24,4,2.44,04001
4,2,232,27,11.64,60,25.86,42,18.1,13,5.6,56,24.14,5,2.16,04002
4,3,235,25,10.64,35,14.89,74,31.49,11,4.68,49,20.85,15,6.38,04003
4,4,219,32,14.61,40,18.26,49,22.37,15,6.85,46,21.0,14,6.39,04004
4,5,196,27,13.78,37,18.88,43,21.94,6,3.06,49,25.0,9,4.59,04005
4,6,82,10,12.2,20,24.39,17,20.73,0,0.0,27,32.93,1,1.22,04006
4,7,127,19,14.96,23,18.11,44,34.65,2,1.57,23,18.11,9,7.09,04007
4,8,181,17,9.39,35,19.34,50,27.62,10,5.52,39,21.55,11,6.08,04008
4,9,356,37,10.39,60,16.85,102,28.65,18,5.06,101,28.37,10,2.81,04009
4,10,206,32,15.53,37,17.96,57,27.67,5,2.43,43,20.87,5,2.43,04010
4,11,213,26,12.21,48,22.54,44,20.66,10,4.69,48,22.54,15,7.04,04011
4,12,99,8,8.08,20,20.2,17,17.17,3,3.03,34,34.34,5,5.05,04012
4,13,168,15,8.93,37,22.02,43,25.6,8,4.76,43,25.6,2,1.19,04013
4,14,104,19,18.27,19,18.27,28,26.92,2,1.92,20,19.23,11,10.58,04014
4,15,112,11,9.82,22,19.64,34,30.36,4,3.57,23,20.54,4,3.57,04015
4,16,244,49,20.08,33,13.52,61,25.0,6,2.46,59,24.18,16,6.56,04016
4,17,201,19,9.45,31,15.42,60,29.85,8,3.98,50,24.88,7,3.48,04017
4,18,200,20,10.0,24,12.0,104,52.0,6,3.0,27,13.5,6,3.0,04018
4,19,204,34,16.67,37,18.14,39,19.12,7,3.43,52,25.49,14,6.86,04019
4,20,58,10,17.24,8,13.79,17,29.31,4,6.9,14,24.14,4,6.9,04020
4,21,238,36,15.13,41,17.23,82,34.45,11,4.62,42,17.65,6,2.52,04021
4,22,249,15,6.02,42,16.87,116,46.59,5,2.01,47,18.88,5,2.01,04022
4,23,145,15,10.34,21,14.48,60,41.38,3,2.07,34,23.45,2,1.38,04023
4,24,246,26,10.57,50,20.33,86,34.96,9,3.66,42,17.07,9,3.66,04024
4,25,189,13,6.88,36,19.05,51,26.98,6,3.17,60,31.75,4,2.12,04025
4,26,183,37,20.22,33,18.03,43,23.5,11,6.01,36,19.67,6,3.28,04026
4,27,226,33,14.6,53,23.45,49,21.68,11,4.87,52,23.01,13,5.75,04027
4,28,132,7,5.3,26,19.7,63,47.73,6,4.55,22,16.67,5,3.79,04028
4,29,156,19,12.18,25,16.03,67,42.95,4,2.56,18,11.54,3,1.92,04029
4,30,56,11,19.64,11,19.64,7,12.5,1,1.79,13,23.21,6,10.71,04030
4,31,41,6,14.63,5,12.2,10,24.39,3,7.32,9,21.95,3,7.32,04031
4,32,216,16,7.41,35,16.2,110,50.93,9,4.17,23,10.65,5,2.31,04032
4,33,75,11,14.67,12,16.0,25,33.33,1,1.33,14,18.67,8,10.67,04033
4,34,139,10,7.19,17,12.23,81,58.27,4,2.88,15,10.79,3,2.16,04034
4,35,101,12,11.88,15,14.85,14,13.86,9,8.91,30,29.7,9,8.91,04035
4,36,85,14,16.47,20,23.53,15,17.65,4,4.71,17,20.0,4,4.71,04036
4,37,85,17,20.0,15,17.65,5,5.88,6,7.06,20,23.53,11,12.94,04037
4,38,280,18,6.43,48,17.14,110,39.29,14,5.0,62,22.14,8,2.86,04038
4,39,83,16,19.28,11,13.25,16,19.28,6,7.23,21,25.3,5,6.02,04039
4,40,159,23,14.47,35,22.01,49,30.82,4,2.52,27,16.98,5,3.14,04040
4,41,90,4,4.44,13,14.44,44,48.89,2,2.22,16,17.78,2,2.22,04041
4,42,203,18,8.87,48,23.65,50,24.63,9,4.43,48,23.65,7,3.45,04042
4,43,127,6,4.72,21,16.54,75,59.06,2,1.57,13,10.24,2,1.57,04043
4,44,123,8,6.5,20,16.26,50,40.65,4,3.25,24,19.51,7,5.69,04044
4,45,327,27,8.26,41,12.54,148,45.26,15,4.59,69,21.1,4,1.22,04045
4,46,175,13,7.43,28,16.0,53,30.29,10,5.71,43,24.57,8,4.57,04046
4,47,282,27,9.57,43,15.25,127,45.04,8,2.84,50,17.73,6,2.13,04047
4,48,275,14,5.09,51,18.55,123,44.73,14,5.09,45,16.36,7,2.55,04048
4,49,86,19,22.09,11,12.79,29,33.72,3,3.49,15,17.44,4,4.65,04049
4,50,156,21,13.46,36,23.08,34,21.79,6,3.85,27,17.31,10,6.41,04050
4,51,205,22,10.73,52,25.37,46,22.44,6,2.93,49,23.9,8,3.9,04051
4,52,36,6,16.67,9,25.0,6,16.67,2,5.56,6,16.67,5,13.89,04052
4,53,173,24,13.87,41,23.7,34,19.65,7,4.05,47,27.17,7,4.05,04053
4,54,95,10,10.53,11,11.58,44,46.32,3,3.16,14,14.74,2,2.11,04054
4,55,132,2,1.52,22,16.67,77,58.33,7,5.3,14,10.61,0,0.0,04055
4,56,227,37,16.3,45,19.82,43,18.94,8,3.52,42,18.5,17,7.49,04056
4,57,114,14,12.28,28,24.56,21,18.42,4,3.51,33,28.95,3,2.63,04057
5,1,162,19,11.73,35,21.6,41,25.31,5,3.09,43,26.54,2,1.23,05001
5,2,176,27,15.34,39,22.16,20,11.36,12,6.82,45,25.57,8,4.55,05002
5,3,101,19,18.81,16,15.84,35,34.65,7,6.93,16,15.84,0,0.0,05003
5,4,153,21,13.73,31,20.26,24,15.69,6,3.92,43,28.1,8,5.23,05004
5,5,156,32,20.51,22,14.1,36,23.08,11,7.05,31,19.87,12,7.69,05005
5,6,196,25,12.76,36,18.37,30,15.31,6,3.06,66,33.67,10,5.1,05006
5,7,230,16,6.96,32,13.91,86,37.39,7,3.04,66,28.7,8,3.48,05007
5,8,221,7,3.17,25,11.31,135,61.09,17,7.69,25,11.31,1,0.45,05008
5,9,187,29,15.51,32,17.11,52,27.81,5,2.67,42,22.46,9,4.81,05009
5,10,179,24,13.41,25,13.97,55,30.73,5,2.79,49,27.37,8,4.47,05010
5,11,210,8,3.81,32,15.24,110,52.38,7,3.33,31,14.76,5,2.38,05011
5,12,119,21,17.65,28,23.53,12,10.08,4,3.36,26,21.85,10,8.4,05012
5,13,147,28,19.05,26,17.69,23,15.65,3,2.04,32,21.77,13,8.84,05013
5,14,245,10,4.08,45,18.37,101,41.22,13,5.31,45,18.37,4,1.63,05014
5,15,171,14,8.19,34,19.88,48,28.07,6,3.51,45,26.32,10,5.85,05015
5,16,144,19,13.19,32,22.22,19,13.19,11,7.64,43,29.86,6,4.17,05016
5,17,191,27,14.14,39,20.42,34,17.8,2,1.05,56,29.32,6,3.14,05017
5,18,218,27,12.39,40,18.35,48,22.02,9,4.13,45,20.64,13,5.96,05018
5,19,80,15,18.75,8,10.0,26,32.5,4,5.0,13,16.25,4,5.0,05019
5,20,66,5,7.58,17,25.76,9,13.64,5,7.58,16,24.24,5,7.58,05020
5,21,221,36,16.29,52,23.53,20,9.05,8,3.62,62,28.05,15,6.79,05021
5,22,184,29,15.76,47,25.54,16,8.7,12,6.52,54,29.35,10,5.43,05022
5,23,140,31,22.14,32,22.86,17,12.14,6,4.29,26,18.57,5,3.57,05023
5,24,145,14,9.66,30,20.69,48,33.1,5,3.45,32,22.07,5,3.45,05024
5,25,178,23,12.92,39,21.91,29,16.29,9,5.06,49,27.53,12,6.74,05025
5,26,175,26,14.86,25,14.29,28,16.0,5,2.86,63,36.0,5,2.86,05026
5,27,212,12,5.66,28,13.21,121,57.08,4,1.89,21,9.91,7,3.3,05027
5,28,184,17,9.24,44,23.91,26,14.13,10,5.43,62,33.7,6,3.26,05028
5,29,204,24,11.76,46,22.55,35,17.16,8,3.92,59,28.92,13,6.37,05029
5,30,135,3,2.22,18,13.33,86,63.7,3,2.22,8,5.93,3,2.22,05030
5,31,159,19,11.95,30,18.87,23,14.47,8,5.03,51,32.08,4,2.52,05031
5,32,242,33,13.64,42,17.36,45,18.6,11,4.55,76,31.4,1,0.41,05032
5,33,120,26,21.67,28,23.33,11,9.17,7,5.83,33,27.5,4,3.33,05033
5,34,174,25,14.37,28,16.09,23,13.22,11,6.32,53,30.46,15,8.62,05034
5,35,129,10,7.75,18,13.95,44,34.11,7,5.43,27,20.93,5,3.88,05035
5,36,121,24,19.83,30,24.79,17,14.05,3,2.48,30,24.79,8,6.61,05036
5,37,149,15,10.07,39,26.17,46,30.87,5,3.36,21,14.09,4,2.68,05037
5,38,170,11,6.47,25,14.71,83,48.82,7,4.12,24,14.12,4,2.35,05038
5,39,194,8,4.12,24,12.37,126,64.95,7,3.61,16,8.25,1,0.52,05039
5,40,206,32,15.53,51,24.76,20,9.71,14,6.8,58,28.16,11,5.34,05040
5,41,130,3,2.31,23,17.69,66,50.77,12,9.23,10,7.69,4,3.08,05041
5,42,205,38,18.54,48,23.41,26,12.68,8,3.9,60,29.27,11,5.37,05042
5,43,206,33,16.02,34,16.5,37,17.96,6,2.91,65,31.55,11,5.34,05043
5,44,212,33,15.57,50,23.58,18,8.49,8,3.77,75,35.38,9,4.25,05044
5,45,107,26,24.3,17,15.89,9,8.41,8,7.48,29,27.1,8,7.48,05045
5,46,198,16,8.08,30,15.15,77,38.89,10,5.05,30,15.15,6,3.03,05046
5,47,141,15,10.64,28,19.86,21,14.89,6,4.26,51,36.17,3,2.13,05047
5,48,132,16,12.12,25,18.94,37,28.03,9,6.82,28,21.21,1,0.76,05048
5,49,42,12,28.57,8,19.05,2,4.76,2,4.76,14,33.33,1,2.38,05049
5,50,162,31,19.14,32,19.75,19,11.73,7,4.32,47,29.01,10,6.17,05050
5,51,148,20,13.51,33,22.3,26,17.57,5,3.38,37,25.0,15,10.14,05051
5,52,46,1,2.17,5,10.87,19,41.3,2,4.35,11,23.91,2,4.35,05052
5,53,215,28,13.02,37,17.21,54,25.12,6,2.79,61,28.37,7,3.26,05053
5,54,265,21,7.92,44,16.6,98,36.98,10,3.77,57,21.51,10,3.77,05054
5,55,132,21,15.91,28,21.21,14,10.61,8,6.06,37,28.03,7,5.3,05055
6,1,244,25,10.25,55,22.54,58,23.77,5,2.05,59,24.18,7,2.87,06001
6,2,248,38,15.32,58,23.39,42,16.94,8,3.23,65,26.21,10,4.03,06002
6,3,213,33,15.49,37,17.37,40,18.78,7,3.29,74,34.74,6,2.82,06003
6,4,110,22,20.0,22,20.0,18,16.36,2,1.82,24,21.82,10,9.09,06004
6,5,84,21,25.0,16,19.05,10,11.9,0,0.0,21,25.0,5,5.95,06005
6,6,187,25,13.37,30,16.04,36,19.25,5,2.67,53,28.34,4,2.14,06006
6,7,229,38,16.59,50,21.83,28,12.23,5,2.18,64,27.95,10,4.37,06007
6,8,185,24,12.97,40,21.62,38,20.54,4,2.16,48,25.95,9,4.86,06008
6,9,148,12,8.11,19,12.84,37,25.0,6,4.05,45,30.41,2,1.35,06009
6,10,248,21,8.47,49,19.76,55,22.18,3,1.21,83,33.47,12,4.84,06010
6,11,206,31,15.05,41,19.9,26,12.62,2,0.97,71,34.47,11,5.34,06011
6,12,139,30,21.58,27,19.42,14,10.07,7,5.04,43,30.94,13,9.35,06012
6,13,170,23,13.53,40,23.53,19,11.18,2,1.18,52,30.59,10,5.88,06013
6,14,188,28,14.89,40,21.28,33,17.55,9,4.79,48,25.53,9,4.79,06014
6,15,151,34,22.52,31,20.53,21,13.91,3,1.99,35,23.18,10,6.62,06015
6,16,218,33,15.14,35,16.06,48,22.02,10,4.59,55,25.23,10,4.59,06016
6,17,250,31,12.4,40,16.0,63,25.2,6,2.4,73,29.2,9,3.6,06017
6,18,45,7,15.56,10,22.22,11,24.44,4,8.89,4,8.89,5,11.11,06018
6,19,228,33,14.47,60,26.32,33,14.47,9,3.95,50,21.93,16,7.02,06019
6,20,190,34,17.89,31,16.32,62,32.63,12,6.32,33,17.37,12,6.32,06020
6,21,188,13,6.91,37,19.68,55,29.26,7,3.72,50,26.6,6,3.19,06021
6,22,195,16,8.21,34,17.44,58,29.74,2,1.03,52,26.67,11,5.64,06022
6,23,165,24,14.55,28,16.97,47,28.48,5,3.03,33,20.0,2,1.21,06023
6,24,212,47,22.17,45,21.23,30,14.15,6,2.83,48,22.64,12,5.66,06024
6,25,146,22,15.07,20,13.7,29,19.86,7,4.79,36,24.66,9,6.16,06025
6,26,202,34,16.83,49,24.26,29,14.36,5,2.48,47,23.27,11,5.45,06026
6,27,287,51,17.77,52,18.12,73,25.44,10,3.48,58,20.21,14,4.88,06027
6,28,324,40,12.35,66,20.37,68,20.99,17,5.25,79,24.38,15,4.63,06028
6,29,227,34,14.98,50,22.03,42,18.5,5,2.2,58,25.55,10,4.41,06029
