ward,precinct,total,"Edward (""""ED"""") Washington II","Edward (""""ED"""") Washington II Percent",Diane M. Shelley,Diane M. Shelley Percent,Ginger Mance,Ginger Mance Percent,Jackie Marie Portman,Jackie Marie Portman Percent,precinct_id
3,53,132,68,51.52,18,13.64,6,4.55,16,12.12,03053
3,55,106,55,51.89,19,17.92,5,4.72,8,7.55,03055
3,56,120,59,49.17,19,15.83,4,3.33,6,5.0,03056
3,57,184,100,54.35,30,16.3,10,5.43,17,9.24,03057
3,58,47,19,40.43,6,12.77,2,4.26,5,10.64,03058
3,59,69,36,52.17,10,14.49,4,5.8,5,7.25,03059
3,60,137,75,54.74,19,13.87,8,5.84,20,14.6,03060
3,62,82,42,51.22,19,23.17,1,1.22,8,9.76,03062
4,1,187,95,50.8,15,8.02,31,16.58,16,8.56,04001
4,2,269,126,46.84,47,17.47,19,7.06,17,6.32,04002
4,3,262,156,59.54,29,11.07,19,7.25,11,4.2,04003
4,4,234,131,55.98,36,15.38,14,5.98,15,6.41,04004
4,5,227,124,54.63,25,11.01,17,7.49,14,6.17,04005
4,6,102,43,42.16,37,36.27,6,5.88,5,4.9,04006
4,7,142,80,56.34,22,15.49,8,5.63,8,5.63,04007
4,8,206,92,44.66,81,39.32,5,2.43,9,4.37,04008
4,9,428,239,55.84,48,11.21,33,7.71,27,6.31,04009
4,10,241,108,44.81,27,11.2,18,7.47,11,4.56,04010
4,11,229,132,57.64,37,16.16,14,6.11,17,7.42,04011
4,12,120,59,49.17,25,20.83,6,5.0,5,4.17,04012
4,13,197,112,56.85,23,11.68,8,4.06,19,9.64,04013
4,14,113,46,40.71,18,15.93,9,7.96,6,5.31,04014
4,15,122,64,52.46,14,11.48,8,6.56,9,7.38,04015
4,16,287,134,46.69,46,16.03,14,4.88,15,5.23,04016
4,17,218,100,45.87,29,13.3,37,16.97,19,8.72,04017
4,18,212,140,66.04,23,10.85,4,1.89,19,8.96,04018
4,19,240,119,49.58,36,15.0,12,5.0,19,7.92,04019
4,20,63,32,50.79,8,12.7,2,3.17,5,7.94,04020
4,21,274,132,48.18,36,13.14,15,5.47,17,6.2,04021
4,22,284,122,42.96,28,9.86,51,17.96,12,4.23,04022
4,23,162,77,47.53,18,11.11,16,9.88,14,8.64,04023
4,24,275,162,58.91,30,10.91,19,6.91,22,8.0,04024
4,25,218,115,52.75,29,13.3,11,5.05,9,4.13,04025
4,26,203,97,47.78,28,13.79,14,6.9,11,5.42,04026
4,27,255,112,43.92,55,21.57,20,7.84,24,9.41,04027
4,28,146,96,65.75,18,12.33,8,5.48,5,3.42,04028
4,29,161,93,57.76,25,15.53,14,8.7,10,6.21,04029
4,30,54,24,44.44,10,18.52,3,5.56,7,12.96,04030
4,31,48,20,41.67,7,14.58,2,4.17,3,6.25,04031
4,32,239,132,55.23,21,8.79,33,13.81,13,5.44,04032
4,33,81,46,56.79,7,8.64,2,2.47,10,12.35,04033
4,34,153,99,64.71,12,7.84,12,7.84,6,3.92,04034
4,35,111,45,40.54,29,26.13,4,3.6,12,10.81,04035
4,36,102,53,51.96,10,9.8,7,6.86,6,5.88,04036
4,37,90,38,42.22,18,20.0,2,2.22,7,7.78,04037
4,38,315,185,58.73,26,8.25,19,6.03,22,6.98,04038
4,39,94,44,46.81,19,20.21,4,4.26,4,4.26,04039
4,40,171,109,63.74,19,11.11,6,3.51,18,10.53,04040
4,41,90,46,51.11,12,13.33,12,13.33,6,6.67,04041
4,42,219,123,56.16,26,11.87,12,5.48,13,5.94,04042
4,43,133,82,61.65,17,12.78,9,6.77,3,2.26,04043
4,44,139,75,53.96,18,12.95,12,8.63,6,4.32,04044
4,45,376,227,60.37,37,9.84,30,7.98,16,4.26,04045
4,46,190,100,52.63,29,15.26,15,7.89,9,4.74,04046
4,47,307,172,56.03,39,12.7,45,14.66,16,5.21,04047
4,48,293,176,60.07,37,12.63,22,7.51,15,5.12,04048
4,49,102,60,58.82,17,16.67,5,4.9,4,3.92,04049
4,50,167,91,54.49,31,18.56,4,2.4,9,5.39,04050
4,51,238,118,49.58,45,18.91,14,5.88,19,7.98,04051
4,52,39,14,35.9,8,20.51,1,2.56,4,10.26,04052
4,53,188,92,48.94,42,22.34,10,5.32,17,9.04,04053
4,54,95,58,61.05,10,10.53,9,9.47,5,5.26,04054
4,55,135,90,66.67,11,8.15,10,7.41,10,7.41,04055
4,56,248,133,53.63,35,14.11,14,5.65,16,6.45,04056
4,57,116,72,62.07,15,12.93,7,6.03,9,7.76,04057
5,1,186,98,52.69,22,11.83,14,7.53,15,8.06,05001
5,2,186,99,53.23,31,16.67,9,4.84,17,9.14,05002
5,3,108,65,60.19,8,7.41,6,5.56,8,7.41,05003
5,4,166,73,43.98,26,15.66,11,6.63,18,10.84,05004
5,5,160,84,52.5,31,19.38,7,4.38,18,11.25,05005
5,6,212,116,54.72,31,14.62,11,5.19,20,9.43,05006
5,7,236,141,59.75,25,10.59,17,7.2,17,7.2,05007
5,8,221,139,62.9,34,15.38,18,8.14,10,4.52,05008
5,9,207,116,56.04,36,17.39,7,3.38,20,9.66,05009
5,10,193,108,55.96,22,11.4,14,7.25,19,9.84,05010
5,11,225,149,66.22,19,8.44,20,8.89,12,5.33,05011
5,13,161,79,49.07,27,16.77,9,5.59,18,11.18,05013
5,14,268,153,57.09,32,11.94,31,11.57,14,5.22,05014
5,15,194,108,55.67,19,9.79,25,12.89,13,6.7,05015
5,16,152,61,40.13,24,15.79,8,5.26,20,13.16,05016
5,17,212,122,57.55,30,14.15,10,4.72,18,8.49,05017
5,18,236,135,57.2,39,16.53,12,5.08,16,6.78,05018
5,19,83,42,50.6,13,15.66,1,1.2,10,12.05,05019
5,20,72,34,47.22,12,16.67,5,6.94,8,11.11,05020
5,21,232,110,47.41,46,19.83,17,7.33,20,8.62,05021
5,22,197,89,45.18,47,23.86,14,7.11,15,7.61,05022
5,23,155,78,50.32,22,14.19,15,9.68,19,12.26,05023
5,24,158,84,53.16,19,12.03,15,9.49,13,8.23,05024
5,25,198,92,46.46,41,20.71,17,8.59,18,9.09,05025
5,26,209,97,46.41,55,26.32,10,4.78,16,7.66,05026
5,27,211,123,58.29,30,14.22,15,7.11,12,5.69,05027
5,28,230,134,58.26,35,15.22,20,8.7,12,5.22,05028
5,29,223,116,52.02,31,13.9,21,9.42,15,6.73,05029
5,30,136,95,69.85,12,8.82,7,5.15,4,2.94,05030
5,31,179,77,43.02,22,12.29,20,11.17,15,8.38,05031
5,32,289,141,48.79,40,13.84,25,8.65,14,4.84,05032
5,33,140,65,46.43,19,13.57,6,4.29,13,9.29,05033
5,34,197,80,40.61,30,15.23,19,9.64,18,9.14,05034
5,35,156,82,52.56,31,19.87,20,12.82,10,6.41,05035
5,36,128,54,42.19,20,15.63,9,7.03,10,7.81,05036
5,37,155,59,38.06,20,12.9,38,24.52,7,4.52,05037
5,38,214,100,46.73,22,10.28,26,12.15,13,6.07,05038
5,39,185,121,65.41,17,9.19,13,7.03,9,4.86,05039
5,40,222,106,47.75,36,16.22,21,9.46,11,4.95,05040
5,41,126,66,52.38,20,15.87,9,7.14,5,3.97,05041
5,42,217,104,47.93,47,21.66,15,6.91,13,5.99,05042
5,43,251,143,56.97,30,11.95,17,6.77,14,5.58,05043
5,44,240,96,40.0,69,28.75,8,3.33,16,6.67,05044
5,45,118,60,50.85,20,16.95,5,4.24,11,9.32,05045
5,46,207,105,50.72,28,13.53,27,13.04,20,9.66,05046
5,47,153,68,44.44,26,16.99,15,9.8,13,8.5,05047
5,48,147,64,43.54,23,15.65,21,14.29,16,10.88,05048
5,49,45,28,62.22,5,11.11,1,2.22,1,2.22,05049
5,50,33,18,54.55,5,15.15,0,0.0,4,12.12,05050
5,51,159,67,42.14,25,15.72,13,8.18,23,14.47,05051
5,52,54,34,62.96,5,9.26,9,16.67,0,0.0,05052
5,53,243,137,56.38,34,13.99,21,8.64,20,8.23,05053
5,54,296,164,55.41,44,14.86,21,7.09,19,6.42,05054
5,55,151,78,51.66,23,15.23,13,8.61,18,11.92,05055
6,7,236,118,50.0,49,20.76,11,4.66,16,6.78,06007
6,15,157,74,47.13,31,19.75,6,3.82,20,12.74,06015
6,18,52,27,51.92,10,19.23,1,1.92,3,5.77,06018
6,20,200,114,57.0,36,18.0,7,3.5,14,7.0,06020
6,30,181,85,46.96,35,19.34,8,4.42,19,10.5,06030
6,32,253,126,49.8,41,16.21,9,3.56,24,9.49,06032
6,33,252,125,49.6,44,17.46,14,5.56,22,8.73,06033
6,39,51,27,52.94,14,27.45,1,1.96,3,5.88,06039
6,48,249,144,57.83,42,16.87,14,5.62,27,10.84,06048
6,61,139,62,44.6,33,23.74,7,5.04,13,9.35,06061
6,65,61,22,36.07,12,19.67,6,9.84,11,18.03,06065
6,66,179,79,44.13,38,21.23,12,6.7,20,11.17,06066
7,9,193,86,44.56,22,11.4,13,6.74,21,10.88,07009
7,11,191,100,52.36,25,13.09,11,5.76,19,9.95,07011
7,35,96,42,43.75,15,15.63,8,8.33,11,11.46,07035
7,40,148,70,47.3,21,14.19,9,6.08,17,11.49,07040
7,44,239,113,47.28,42,17.57,18,7.53,34,14.23,07044
7,45,289,150,51.9,32,11.07,25,8.65,23,7.96,07045
7,50,142,66,46.48,22,15.49,10,7.04,14,9.86,07050
7,64,168,89,52.98,29,17.26,13,7.74,19,11.31,07064
8,57,193,91,47.15,29,15.03,13,6.74,24,12.44,08057
8,69,18,4,22.22,7,38.89,1,5.56,1,5.56,08069
8,70,242,107,44.21,40,16.53,19,7.85,31,12.81,08070
11,12,249,11,4.42,9,3.61,8,3.21,11,4.42,11012
11,13,181,22,12.15,20,11.05,7,3.87,7,3.87,11013
11,15,141,11,7.8,19,13.48,5,3.55,4,2.84,11015
11,27,89,14,15.73,19,21.35,7,7.87,6,6.74,11027
11,28,175,23,13.14,22,12.57,2,1.14,9,5.14,11028
11,31,168,14,8.33,22,13.1,8,4.76,7,4.17,11031
11,32,160,11,6.88,21,13.13,5,3.13,5,3.13,11032
11,34,113,22,19.47,17,15.04,2,1.77,9,7.96,11034
11,39,283,40,14.13,44,15.55,14,4.95,17,6.01,11039
11,42,56,13,23.21,16,28.57,6,10.71,10,17.86,11042
11,43,205,27,13.17,35,17.07,14,6.83,10,4.88,11043
11,45,89,18,20.22,14,15.73,7,7.87,11,12.36,11045
11,46,118,14,11.86,2,1.69,1,0.85,12,10.17,11046
11,47,156,25,16.03,27,17.31,9,5.77,12,7.69,11047
11,48,90,5,5.56,8,8.89,5,5.56,3,3.33,11048
11,49,184,13,7.07,18,9.78,6,3.26,11,5.98,11049
15,2,122,61,50.0,20,16.39,5,4.1,14,11.48,15002
15,3,130,63,48.46,29,22.31,3,2.31,14,10.77,15003
15,4,99,39,39.39,22,22.22,5,5.05,10,10.1,15004
15,5,114,52,45.61,26,22.81,1,0.88,12,10.53,15005
15,7,135,60,44.44,19,14.07,1,0.74,30,22.22,15007
15,12,105,45,42.86,23,21.9,6,5.71,17,16.19,15012
15,17,124,50,40.32,28,22.58,5,4.03,18,14.52,15017
15,18,109,42,38.53,15,13.76,2,1.83,28,25.69,15018
15,19,132,44,33.33,34,25.76,1,0.76,29,21.97,15019
15,20,130,54,41.54,21,16.15,6,4.62,19,14.62,15020
15,21,128,63,49.22,32,25.0,1,0.78,15,11.72,15021
15,23,109,43,39.45,18,16.51,6,5.5,16,14.68,15023
15,26,104,45,43.27,21,20.19,4,3.85,16,15.38,15026
15,31,99,40,40.4,26,26.26,3,3.03,11,11.11,15031
15,33,89,41,46.07,10,11.24,3,3.37,13,14.61,15033
15,34,0,0,0.0,0,0.0,0,0.0,0,0.0,15034
15,35,121,49,40.5,27,22.31,5,4.13,13,10.74,15035
15,36,108,45,41.67,23,21.3,1,0.93,8,7.41,15036
15,37,114,40,35.09,24,21.05,7,6.14,16,14.04,15037
15,39,134,54,40.3,22,16.42,3,2.24,16,11.94,15039
15,40,125,46,36.8,19,15.2,8,6.4,28,22.4,15040
15,42,83,33,39.76,11,13.25,3,3.61,21,25.3,15042
15,43,120,45,37.5,19,15.83,5,4.17,23,19.17,15043
15,46,45,24,53.33,5,11.11,0,0.0,8,17.78,15046
15,47,143,66,46.15,13,9.09,4,2.8,30,20.98,15047
15,51,45,12,26.67,4,8.89,2,4.44,14,31.11,15051
15,52,76,23,30.26,16,21.05,3,3.95,14,18.42,15052
16,3,116,40,34.48,30,25.86,7,6.03,12,10.34,16003
16,5,153,66,43.14,28,18.3,6,3.92,14,9.15,16005
16,6,41,14,34.15,9,21.95,3,7.32,5,12.2,16006
16,8,99,35,35.35,23,23.23,5,5.05,15,15.15,16008
16,9,188,84,44.68,37,19.68,7,3.72,28,14.89,16009
16,10,95,35,36.84,25,26.32,1,1.05,16,16.84,16010
16,12,89,30,33.71,20,22.47,5,5.62,14,15.73,16012
16,14,138,47,34.06,32,23.19,3,2.17,15,10.87,16014
16,15,148,53,35.81,25,16.89,9,6.08,14,9.46,16015
16,16,111,45,40.54,20,18.02,3,2.7,14,12.61,16016
16,18,104,49,47.12,21,20.19,6,5.77,5,4.81,16018
16,19,108,41,37.96,24,22.22,3,2.78,17,15.74,16019
16,20,152,63,41.45,36,23.68,5,3.29,14,9.21,16020
16,22,114,51,44.74,17,14.91,4,3.51,16,14.04,16022
16,24,56,23,41.07,10,17.86,3,5.36,8,14.29,16024
16,25,105,34,32.38,14,13.33,9,8.57,10,9.52,16025
16,26,136,59,43.38,30,22.06,0,0.0,18,13.24,16026
16,27,134,60,44.78,28,20.9,7,5.22,20,14.93,16027
16,28,170,68,40.0,42,24.71,3,1.76,24,14.12,16028
16,29,69,32,46.38,11,15.94,3,4.35,13,18.84,16029
16,30,80,30,37.5,15,18.75,5,6.25,15,18.75,16030
16,31,148,57,38.51,33,22.3,4,2.7,25,16.89,16031
16,33,112,44,39.29,22,19.64,2,1.79,13,11.61,16033
16,34,119,52,43.7,17,14.29,3,2.52,16,13.45,16034
16,36,124,54,43.55,17,13.71,11,8.87,23,18.55,16036
16,37,89,28,31.46,17,19.1,5,5.62,10,11.24,16037
16,38,141,52,36.88,34,24.11,9,6.38,26,18.44,16038
16,40,160,57,35.63,40,25.0,6,3.75,33,20.63,16040
16,41,54,26,48.15,10,18.52,3,5.56,7,12.96,16041
16,43,138,62,44.93,32,23.19,2,1.45,22,15.94,16043
16,44,0,0,0.0,0,0.0,0,0.0,0,0.0,16044
16,45,88,40,45.45,11,12.5,3,3.41,14,15.91,16045
16,46,33,10,30.3,5,15.15,5,15.15,2,6.06,16046
16,47,41,20,48.78,7,17.07,1,2.44,6,14.63,16047
17,1,116,47,40.52,20,17.24,2,1.72,15,12.93,17001
17,6,124,49,39.52,16,12.9,6,4.84,20,16.13,17006
17,8,131,57,43.51,27,20.61,6,4.58,18,13.74,17008
17,13,125,39,31.2,25,20.0,4,3.2,23,18.4,17013
17,14,150,30,20.0,15,10.0,4,2.67,64,42.67,17014
17,16,136,52,38.24,24,17.65,8,5.88,14,10.29,17016
17,17,112,41,36.61,18,16.07,4,3.57,14,12.5,17017
17,19,61,21,34.43,11,18.03,4,6.56,16,26.23,17019
17,34,139,53,38.13,30,21.58,5,3.6,26,18.71,17034
17,36,83,39,46.99,10,12.05,4,4.82,12,14.46,17036
17,39,127,50,39.37,15,11.81,2,1.57,15,11.81,17039
17,41,144,44,30.56,27,18.75,3,2.08,21,14.58,17041
17,42,124,58,46.77,20,16.13,3,2.42,18,14.52,17042
17,43,152,53,34.87,27,17.76,2,1.32,29,19.08,17043
17,45,100,37,37.0,11,11.0,3,3.0,12,12.0,17045
17,46,183,48,26.23,33,18.03,5,2.73,70,38.25,17046
17,49,132,40,30.3,24,18.18,7,5.3,15,11.36,17049
17,58,129,53,41.09,18,13.95,5,3.88,24,18.6,17058
20,1,165,73,44.24,28,16.97,10,6.06,21,12.73,20001
20,2,143,56,39.16,22,15.38,6,4.2,14,9.79,20002
20,3,166,78,46.99,22,13.25,10,6.02,21,12.65,20003
20,5,102,52,50.98,15,14.71,9,8.82,11,10.78,20005
20,6,150,64,42.67,23,15.33,3,2.0,13,8.67,20006
20,7,92,32,34.78,16,17.39,5,5.43,12,13.04,20007
20,9,123,49,39.84,12,9.76,8,6.5,14,11.38,20009
20,10,136,60,44.12,21,15.44,5,3.68,12,8.82,20010
20,11,79,30,37.97,20,25.32,5,6.33,11,13.92,20011
20,12,55,24,43.64,12,21.82,2,3.64,7,12.73,20012
20,13,31,11,35.48,8,25.81,1,3.23,1,3.23,20013
20,14,228,120,52.63,22,9.65,16,7.02,19,8.33,20014
20,16,54,23,42.59,16,29.63,2,3.7,8,14.81,20016
20,17,128,58,45.31,21,16.41,5,3.91,13,10.16,20017
20,18,168,62,36.9,35,20.83,12,7.14,20,11.9,20018
20,19,71,31,43.66,18,25.35,2,2.82,8,11.27,20019
20,20,83,34,40.96,9,10.84,3,3.61,11,13.25,20020
20,22,144,54,37.5,21,14.58,5,3.47,18,12.5,20022
20,23,148,67,45.27,22,14.86,4,2.7,10,6.76,20023
20,24,277,126,45.49,52,18.77,13,4.69,20,7.22,20024
20,25,88,35,39.77,13,14.77,5,5.68,21,23.86,20025
20,26,150,59,39.33,29,19.33,7,4.67,22,14.67,20026
20,27,85,35,41.18,20,23.53,1,1.18,6,7.06,20027
20,28,191,68,35.6,22,11.52,9,4.71,20,10.47,20028
20,29,133,56,42.11,20,15.04,4,3.01,14,10.53,20029
20,30,141,49,34.75,24,17.02,7,4.96,20,14.18,20030
20,31,139,69,49.64,25,17.99,6,4.32,7,5.04,20031
20,32,256,123,48.05,53,20.7,12,4.69,20,7.81,20032
20,33,190,79,41.58,37,19.47,10,5.26,16,8.42,20033
20,34,187,88,47.06,37,19.79,9,4.81,10,5.35,20034
20,35,82,34,41.46,18,21.95,8,9.76,8,9.76,20035
20,36,142,53,37.32,28,19.72,6,4.23,16,11.27,20036
20,37,113,42,37.17,24,21.24,5,4.42,7,6.19,20037
20,38,18,10,55.56,3,16.67,0,0.0,2,11.11,20038
20,39,124,61,49.19,19,15.32,8,6.45,18,14.52,20039
20,40,83,41,49.4,21,25.3,2,2.41,8,9.64,20040
20,42,124,42,33.87,24,19.35,5,4.03,15,12.1,20042
20,44,208,65,31.25,31,14.9,15,7.21,18,8.65,20044
20,45,25,7,28.0,5,20.0,1,4.0,1,4.0,20045
20,46,99,40,40.4,16,16.16,4,4.04,9,9.09,20046
20,47,89,39,43.82,16,17.98,6,6.74,7,7.87,20047
20,48,77,31,40.26,15,19.48,8,10.39,8,10.39,20048
20,49,153,58,37.91,34,22.22,3,1.96,22,14.38,20049
20,50,105,45,42.86,26,24.76,4,3.81,13,12.38,20050
20,51,7,1,14.29,1,14.29,0,0.0,1,14.29,20051
20,52,74,30,40.54,10,13.51,3,4.05,4,5.41,20052
20,53,20,9,45.0,2,10.0,0,0.0,4,20.0,20053
20,54,106,39,36.79,20,18.87,5,4.72,10,9.43,20054
20,55,52,16,30.77,8,15.38,2,3.85,10,19.23,20055
