ward,precinct,total,"Xochitl """"So-She"""" Flores","Xochitl """"So-She"""" Flores Percent",Stacy M. Stoldt,Stacy M. Stoldt Percent,Brendan George O'Connor,Brendan George O'Connor Percent,Gloria Alitto Majewski,Gloria Alitto Majewski Percent,Patricia Young,Patricia Young Percent,Barbara McGowan,Barbara McGowan Percent,Anthony J. Sutor Jr.,Anthony J. Sutor Jr. Percent,"Lewis W. Powell, III","Lewis W. Powell, III Percent",Minerva V. Orozco,Minerva V. Orozco Percent,Gracie Gipson,Gracie Gipson Percent,Frank Avila,Frank Avila Percent,precinct_id
1,29,255,79,30.98,13,5.1,21,8.24,27,10.59,26,10.2,22,8.63,3,1.18,8,3.14,17,6.67,7,2.75,32,12.55,01029
1,30,492,150,30.49,14,2.85,54,10.98,41,8.33,38,7.72,43,8.74,12,2.44,13,2.64,51,10.37,13,2.64,63,12.8,01030
1,31,161,49,30.43,12,7.45,8,4.97,16,9.94,18,11.18,13,8.07,3,1.86,6,3.73,7,4.35,7,4.35,22,13.66,01031
1,32,249,100,40.16,7,2.81,23,9.24,11,4.42,19,7.63,19,7.63,3,1.2,2,0.8,25,10.04,3,1.2,37,14.86,01032
1,33,302,99,32.78,10,3.31,28,9.27,23,7.62,22,7.28,26,8.61,6,1.99,5,1.66,27,8.94,8,2.65,48,15.89,01033
1,34,194,50,25.77,7,3.61,16,8.25,11,5.67,23,11.86,16,8.25,6,3.09,8,4.12,25,12.89,9,4.64,23,11.86,01034
1,35,119,35,29.41,3,2.52,9,7.56,8,6.72,10,8.4,16,13.45,4,3.36,3,2.52,15,12.61,2,1.68,14,11.76,01035
1,36,282,68,24.11,16,5.67,17,6.03,48,17.02,29,10.28,26,9.22,6,2.13,7,2.48,19,6.74,12,4.26,34,12.06,01036
1,37,289,93,32.18,8,2.77,23,7.96,27,9.34,25,8.65,29,10.03,5,1.73,10,3.46,25,8.65,7,2.42,37,12.8,01037
1,38,182,57,31.32,3,1.65,12,6.59,13,7.14,15,8.24,24,13.19,4,2.2,7,3.85,14,7.69,8,4.4,25,13.74,01038
1,39,384,125,32.55,9,2.34,26,6.77,32,8.33,33,8.59,24,6.25,8,2.08,5,1.3,48,12.5,8,2.08,66,17.19,01039
1,40,123,35,28.46,2,1.63,5,4.07,10,8.13,14,11.38,7,5.69,1,0.81,4,3.25,16,13.01,3,2.44,26,21.14,01040
2,1,445,69,15.51,16,3.6,38,8.54,41,9.21,84,18.88,65,14.61,12,2.7,35,7.87,16,3.6,19,4.27,50,11.24,02001
2,2,20,2,10.0,0,0.0,2,10.0,1,5.0,2,10.0,4,20.0,2,10.0,3,15.0,0,0.0,2,10.0,2,10.0,02002
2,3,226,27,11.95,15,6.64,10,4.42,15,6.64,45,19.91,29,12.83,11,4.87,23,10.18,14,6.19,14,6.19,23,10.18,02003
2,4,262,35,13.36,16,6.11,18,6.87,14,5.34,45,17.18,56,21.37,7,2.67,34,12.98,5,1.91,10,3.82,22,8.4,02004
2,5,236,34,14.41,10,4.24,16,6.78,4,1.69,42,17.8,43,18.22,5,2.12,31,13.14,11,4.66,14,5.93,26,11.02,02005
2,6,187,21,11.23,12,6.42,18,9.63,22,11.76,37,19.79,30,16.04,3,1.6,8,4.28,8,4.28,9,4.81,19,10.16,02006
2,7,525,41,7.81,18,3.43,33,6.29,23,4.38,128,24.38,101,19.24,21,4.0,76,14.48,14,2.67,30,5.71,40,7.62,02007
2,8,493,72,14.6,18,3.65,24,4.87,60,12.17,105,21.3,81,16.43,3,0.61,39,7.91,25,5.07,30,6.09,36,7.3,02008
2,9,243,28,11.52,16,6.58,16,6.58,11,4.53,58,23.87,41,16.87,16,6.58,25,10.29,5,2.06,12,4.94,15,6.17,02009
2,10,115,18,15.65,6,5.22,6,5.22,7,6.09,15,13.04,20,17.39,5,4.35,12,10.43,2,1.74,9,7.83,15,13.04,02010
2,11,223,35,15.7,7,3.14,14,6.28,38,17.04,45,20.18,36,16.14,3,1.35,8,3.59,9,4.04,6,2.69,22,9.87,02011
2,12,207,22,10.63,10,4.83,21,10.14,33,15.94,32,15.46,32,15.46,4,1.93,8,3.86,12,5.8,10,4.83,23,11.11,02012
2,13,308,52,16.88,12,3.9,14,4.55,26,8.44,60,19.48,53,17.21,5,1.62,32,10.39,17,5.52,11,3.57,26,8.44,02013
2,14,734,74,10.08,20,2.72,32,4.36,34,4.63,162,22.07,144,19.62,32,4.36,108,14.71,24,3.27,44,5.99,60,8.17,02014
2,15,79,12,15.19,2,2.53,6,7.59,2,2.53,19,24.05,13,16.46,4,5.06,11,13.92,2,2.53,4,5.06,4,5.06,02015
2,16,239,33,13.81,8,3.35,19,7.95,19,7.95,44,18.41,43,17.99,11,4.6,21,8.79,10,4.18,10,4.18,21,8.79,02016
2,17,319,33,10.34,14,4.39,22,6.9,11,3.45,80,25.08,58,18.18,15,4.7,50,15.67,5,1.57,15,4.7,16,5.02,02017
2,18,745,77,10.34,20,2.68,58,7.79,69,9.26,176,23.62,119,15.97,12,1.61,66,8.86,32,4.3,37,4.97,79,10.6,02018
2,19,212,40,18.87,9,4.25,18,8.49,4,1.89,24,11.32,48,22.64,4,1.89,14,6.6,4,1.89,12,5.66,35,16.51,02019
2,20,411,43,10.46,15,3.65,24,5.84,20,4.87,84,20.44,81,19.71,15,3.65,54,13.14,9,2.19,27,6.57,39,9.49,02020
2,21,428,33,7.71,26,6.07,27,6.31,24,5.61,83,19.39,99,23.13,14,3.27,46,10.75,11,2.57,31,7.24,34,7.94,02021
2,22,725,74,10.21,25,3.45,55,7.59,73,10.07,153,21.1,133,18.34,18,2.48,66,9.1,16,2.21,38,5.24,74,10.21,02022
2,23,265,33,12.45,10,3.77,28,10.57,11,4.15,46,17.36,48,18.11,11,4.15,26,9.81,9,3.4,15,5.66,28,10.57,02023
2,24,228,30,13.16,11,4.82,18,7.89,8,3.51,49,21.49,41,17.98,11,4.82,24,10.53,3,1.32,11,4.82,22,9.65,02024
2,25,209,23,11.0,11,5.26,18,8.61,18,8.61,32,15.31,39,18.66,5,2.39,21,10.05,9,4.31,9,4.31,24,11.48,02025
2,26,425,48,11.29,18,4.24,30,7.06,27,6.35,91,21.41,80,18.82,11,2.59,57,13.41,14,3.29,14,3.29,35,8.24,02026
2,27,242,27,11.16,11,4.55,19,7.85,10,4.13,45,18.6,56,23.14,10,4.13,33,13.64,5,2.07,6,2.48,20,8.26,02027
2,28,124,11,8.87,6,4.84,14,11.29,13,10.48,24,19.35,15,12.1,6,4.84,9,7.26,8,6.45,5,4.03,13,10.48,02028
2,29,172,21,12.21,7,4.07,7,4.07,15,8.72,32,18.6,30,17.44,6,3.49,15,8.72,9,5.23,9,5.23,21,12.21,02029
2,30,245,43,17.55,11,4.49,21,8.57,6,2.45,43,17.55,41,16.73,7,2.86,30,12.24,6,2.45,10,4.08,27,11.02,02030
2,31,465,35,7.53,18,3.87,21,4.52,17,3.66,113,24.3,84,18.06,21,4.52,89,19.14,9,1.94,22,4.73,36,7.74,02031
2,32,216,25,11.57,9,4.17,19,8.8,5,2.31,36,16.67,38,17.59,13,6.02,31,14.35,3,1.39,18,8.33,19,8.8,02032
2,33,214,19,8.88,9,4.21,17,7.94,10,4.67,46,21.5,41,19.16,11,5.14,30,14.02,5,2.34,11,5.14,15,7.01,02033
2,34,394,35,8.88,23,5.84,26,6.6,17,4.31,83,21.07,93,23.6,22,5.58,43,10.91,7,1.78,24,6.09,21,5.33,02034
2,35,99,15,15.15,6,6.06,4,4.04,5,5.05,15,15.15,14,14.14,4,4.04,7,7.07,6,6.06,9,9.09,14,14.14,02035
2,36,168,19,11.31,13,7.74,14,8.33,8,4.76,44,26.19,26,15.48,3,1.79,17,10.12,4,2.38,8,4.76,12,7.14,02036
2,37,405,50,12.35,19,4.69,30,7.41,45,11.11,85,20.99,57,14.07,10,2.47,32,7.9,19,4.69,20,4.94,38,9.38,02037
2,38,395,51,12.91,17,4.3,34,8.61,15,3.8,82,20.76,64,16.2,22,5.57,41,10.38,12,3.04,22,5.57,35,8.86,02038
2,39,326,52,15.95,22,6.75,24,7.36,21,6.44,52,15.95,40,12.27,15,4.6,25,7.67,16,4.91,18,5.52,41,12.58,02039
2,40,438,53,12.1,23,5.25,30,6.85,37,8.45,92,21.0,74,16.89,14,3.2,41,9.36,15,3.42,20,4.57,39,8.9,02040
2,41,219,21,9.59,9,4.11,22,10.05,7,3.2,50,22.83,32,14.61,9,4.11,37,16.89,2,0.91,13,5.94,17,7.76,02041
2,42,124,10,8.06,5,4.03,8,6.45,7,5.65,28,22.58,27,21.77,3,2.42,18,14.52,3,2.42,7,5.65,8,6.45,02042
2,43,520,51,9.81,19,3.65,26,5.0,72,13.85,98,18.85,98,18.85,11,2.12,42,8.08,23,4.42,32,6.15,48,9.23,02043
2,44,234,27,11.54,12,5.13,18,7.69,12,5.13,49,20.94,41,17.52,11,4.7,33,14.1,7,2.99,14,5.98,10,4.27,02044
2,45,299,31,10.37,16,5.35,23,7.69,11,3.68,78,26.09,53,17.73,15,5.02,34,11.37,7,2.34,15,5.02,16,5.35,02045
2,46,646,59,9.13,18,2.79,31,4.8,15,2.32,151,23.37,123,19.04,18,2.79,107,16.56,17,2.63,47,7.28,60,9.29,02046
2,47,357,45,12.61,15,4.2,25,7.0,18,5.04,74,20.73,69,19.33,15,4.2,43,12.04,7,1.96,14,3.92,32,8.96,02047
2,48,227,25,11.01,9,3.96,16,7.05,12,5.29,53,23.35,59,25.99,5,2.2,23,10.13,2,0.88,12,5.29,11,4.85,02048
2,49,299,44,14.72,20,6.69,21,7.02,36,12.04,52,17.39,38,12.71,7,2.34,16,5.35,22,7.36,13,4.35,30,10.03,02049
2,50,240,70,29.17,11,4.58,9,3.75,11,4.58,33,13.75,22,9.17,5,2.08,11,4.58,26,10.83,8,3.33,34,14.17,02050
2,51,277,20,7.22,14,5.05,23,8.3,8,2.89,57,20.58,64,23.1,9,3.25,37,13.36,8,2.89,17,6.14,20,7.22,02051
2,52,334,35,10.48,10,2.99,22,6.59,12,3.59,83,24.85,51,15.27,18,5.39,41,12.28,15,4.49,18,5.39,29,8.68,02052
2,53,171,23,13.45,7,4.09,15,8.77,5,2.92,31,18.13,37,21.64,7,4.09,18,10.53,1,0.58,7,4.09,20,11.7,02053
2,54,413,68,16.46,16,3.87,24,5.81,58,14.04,80,19.37,56,13.56,11,2.66,27,6.54,20,4.84,24,5.81,29,7.02,02054
2,55,84,7,8.33,3,3.57,4,4.76,14,16.67,15,17.86,13,15.48,0,0.0,11,13.1,4,4.76,3,3.57,10,11.9,02055
2,56,363,41,11.29,14,3.86,31,8.54,8,2.2,78,21.49,70,19.28,18,4.96,43,11.85,11,3.03,16,4.41,33,9.09,02056
2,57,190,19,10.0,12,6.32,24,12.63,15,7.89,33,17.37,34,17.89,14,7.37,24,12.63,2,1.05,3,1.58,10,5.26,02057
2,58,147,18,12.24,4,2.72,7,4.76,11,7.48,29,19.73,32,21.77,4,2.72,15,10.2,9,6.12,7,4.76,11,7.48,02058
2,59,450,54,12.0,18,4.0,23,5.11,64,14.22,92,20.44,71,15.78,12,2.67,35,7.78,22,4.89,20,4.44,39,8.67,02059
3,1,334,24,7.19,8,2.4,23,6.89,28,8.38,77,23.05,55,16.47,18,5.39,50,14.97,5,1.5,25,7.49,21,6.29,03001
3,2,623,37,5.94,20,3.21,31,4.98,63,10.11,144,23.11,145,23.27,21,3.37,88,14.13,5,0.8,36,5.78,33,5.3,03002
3,3,260,28,10.77,7,2.69,15,5.77,22,8.46,58,22.31,47,18.08,6,2.31,26,10.0,15,5.77,14,5.38,22,8.46,03003
3,4,133,11,8.27,5,3.76,11,8.27,8,6.02,24,18.05,30,22.56,8,6.02,18,13.53,2,1.5,8,6.02,8,6.02,03004
3,5,221,15,6.79,9,4.07,17,7.69,14,6.33,58,26.24,37,16.74,6,2.71,31,14.03,7,3.17,10,4.52,17,7.69,03005
3,6,208,16,7.69,12,5.77,24,11.54,9,4.33,48,23.08,37,17.79,6,2.88,24,11.54,6,2.88,12,5.77,14,6.73,03006
3,7,316,19,6.01,16,5.06,17,5.38,18,5.7,64,20.25,72,22.78,10,3.16,44,13.92,4,1.27,22,6.96,30,9.49,03007
3,8,79,3,3.8,5,6.33,11,13.92,7,8.86,22,27.85,10,12.66,3,3.8,7,8.86,1,1.27,3,3.8,7,8.86,03008
3,9,304,20,6.58,8,2.63,21,6.91,19,6.25,74,24.34,61,20.07,11,3.62,39,12.83,8,2.63,20,6.58,23,7.57,03009
3,10,202,10,4.95,8,3.96,21,10.4,24,11.88,55,27.23,50,24.75,1,0.5,12,5.94,3,1.49,8,3.96,10,4.95,03010
3,11,200,14,7.0,6,3.0,11,5.5,27,13.5,46,23.0,42,21.0,5,2.5,20,10.0,3,1.5,8,4.0,18,9.0,03011
3,12,415,21,5.06,11,2.65,24,5.78,50,12.05,115,27.71,79,19.04,15,3.61,51,12.29,8,1.93,18,4.34,23,5.54,03012
3,13,279,78,27.96,7,2.51,12,4.3,22,7.89,15,5.38,9,3.23,9,3.23,3,1.08,60,21.51,1,0.36,63,22.58,03013
3,14,168,10,5.95,11,6.55,15,8.93,12,7.14,32,19.05,44,26.19,3,1.79,23,13.69,0,0.0,9,5.36,9,5.36,03014
3,15,397,46,11.59,20,5.04,37,9.32,37,9.32,87,21.91,69,17.38,8,2.02,45,11.34,8,2.02,20,5.04,20,5.04,03015
3,16,716,38,5.31,13,1.82,28,3.91,98,13.69,201,28.07,181,25.28,13,1.82,65,9.08,13,1.82,26,3.63,40,5.59,03016
3,17,272,13,4.78,15,5.51,18,6.62,41,15.07,65,23.9,54,19.85,10,3.68,23,8.46,5,1.84,10,3.68,18,6.62,03017
3,18,301,18,5.98,12,3.99,17,5.65,47,15.61,78,25.91,68,22.59,6,1.99,27,8.97,8,2.66,11,3.65,9,2.99,03018
3,19,29,2,6.9,2,6.9,0,0.0,0,0.0,8,27.59,7,24.14,0,0.0,9,31.03,0,0.0,0,0.0,1,3.45,03019
3,20,19,1,5.26,0,0.0,1,5.26,2,10.53,4,21.05,3,15.79,1,5.26,4,21.05,0,0.0,1,5.26,2,10.53,03020
3,21,223,15,6.73,15,6.73,18,8.07,19,8.52,52,23.32,41,18.39,6,2.69,27,12.11,5,2.24,11,4.93,14,6.28,03021
3,22,277,17,6.14,10,3.61,17,6.14,35,12.64,69,24.91,65,23.47,7,2.53,32,11.55,3,1.08,13,4.69,9,3.25,03022
3,23,42,2,4.76,5,11.9,4,9.52,1,2.38,10,23.81,5,11.9,4,9.52,4,9.52,1,2.38,5,11.9,1,2.38,03023
3,24,296,20,6.76,10,3.38,18,6.08,29,9.8,82,27.7,60,20.27,10,3.38,33,11.15,3,1.01,19,6.42,12,4.05,03024
3,25,37,2,5.41,0,0.0,7,18.92,1,2.7,9,24.32,4,10.81,1,2.7,10,27.03,1,2.7,1,2.7,1,2.7,03025
3,26,305,15,4.92,10,3.28,9,2.95,39,12.79,82,26.89,67,21.97,6,1.97,34,11.15,4,1.31,15,4.92,24,7.87,03026
3,27,14,0,0.0,0,0.0,1,7.14,0,0.0,3,21.43,5,35.71,1,7.14,1,7.14,0,0.0,1,7.14,2,14.29,03027
3,28,168,10,5.95,11,6.55,9,5.36,11,6.55,33,19.64,33,19.64,9,5.36,23,13.69,6,3.57,9,5.36,14,8.33,03028
3,29,244,19,7.79,16,6.56,17,6.97,23,9.43,60,24.59,50,20.49,12,4.92,20,8.2,7,2.87,8,3.28,12,4.92,03029
3,30,305,24,7.87,13,4.26,16,5.25,23,7.54,78,25.57,57,18.69,10,3.28,42,13.77,7,2.3,16,5.25,19,6.23,03030
3,31,516,39,7.56,15,2.91,33,6.4,65,12.6,132,25.58,119,23.06,14,2.71,50,9.69,6,1.16,21,4.07,22,4.26,03031
3,32,249,15,6.02,12,4.82,13,5.22,25,10.04,63,25.3,51,20.48,8,3.21,33,13.25,7,2.81,7,2.81,15,6.02,03032
3,33,441,29,6.58,18,4.08,34,7.71,41,9.3,104,23.58,93,21.09,20,4.54,46,10.43,3,0.68,21,4.76,32,7.26,03033
3,34,271,22,8.12,14,5.17,8,2.95,36,13.28,63,23.25,52,19.19,8,2.95,29,10.7,9,3.32,9,3.32,21,7.75,03034
3,35,309,21,6.8,11,3.56,21,6.8,26,8.41,81,26.21,55,17.8,10,3.24,41,13.27,2,0.65,17,5.5,24,7.77,03035
3,36,199,11,5.53,3,1.51,14,7.04,12,6.03,55,27.64,43,21.61,8,4.02,23,11.56,4,2.01,13,6.53,13,6.53,03036
3,37,190,13,6.84,11,5.79,12,6.32,17,8.95,41,21.58,32,16.84,11,5.79,25,13.16,5,2.63,12,6.32,11,5.79,03037
3,38,101,10,9.9,4,3.96,5,4.95,7,6.93,27,26.73,15,14.85,2,1.98,15,14.85,2,1.98,5,4.95,9,8.91,03038
3,39,657,28,4.26,25,3.81,40,6.09,70,10.65,160,24.35,164,24.96,19,2.89,72,10.96,11,1.67,30,4.57,38,5.78,03039
3,40,345,25,7.25,12,3.48,21,6.09,27,7.83,79,22.9,70,20.29,14,4.06,43,12.46,5,1.45,15,4.35,34,9.86,03040
3,41,374,25,6.68,13,3.48,22,5.88,55,14.71,97,25.94,78,20.86,11,2.94,31,8.29,4,1.07,18,4.81,20,5.35,03041
3,42,267,18,6.74,11,4.12,19,7.12,29,10.86,63,23.6,64,23.97,3,1.12,25,9.36,3,1.12,16,5.99,16,5.99,03042
3,43,179,5,2.79,5,2.79,6,3.35,43,24.02,53,29.61,47,26.26,5,2.79,5,2.79,3,1.68,2,1.12,5,2.79,03043
3,44,125,9,7.2,6,4.8,7,5.6,4,3.2,34,27.2,20,16.0,5,4.0,22,17.6,3,2.4,5,4.0,10,8.0,03044
3,45,111,8,7.21,9,8.11,11,9.91,8,7.21,18,16.22,17,15.32,11,9.91,15,13.51,1,0.9,5,4.5,8,7.21,03045
3,46,358,25,6.98,14,3.91,31,8.66,30,8.38,82,22.91,79,22.07,17,4.75,31,8.66,10,2.79,24,6.7,15,4.19,03046
3,47,219,12,5.48,10,4.57,13,5.94,22,10.05,60,27.4,40,18.26,8,3.65,30,13.7,1,0.46,12,5.48,11,5.02,03047
3,48,262,21,8.02,15,5.73,18,6.87,25,9.54,61,23.28,54,20.61,9,3.44,33,12.6,5,1.91,11,4.2,10,3.82,03048
3,49,75,6,8.0,3,4.0,3,4.0,10,13.33,16,21.33,18,24.0,3,4.0,6,8.0,0,0.0,6,8.0,4,5.33,03049
3,50,353,19,5.38,15,4.25,14,3.97,62,17.56,97,27.48,82,23.23,9,2.55,29,8.22,2,0.57,12,3.4,12,3.4,03050
3,51,117,30,25.64,2,1.71,5,4.27,13,11.11,11,9.4,4,3.42,5,4.27,3,2.56,19,16.24,3,2.56,22,18.8,03051
3,52,146,3,2.05,5,3.42,7,4.79,22,15.07,42,28.77,33,22.6,7,4.79,9,6.16,4,2.74,2,1.37,12,8.22,03052
3,53,253,18,7.11,12,4.74,12,4.74,17,6.72,46,18.18,51,20.16,8,3.16,45,17.79,7,2.77,17,6.72,20,7.91,03053
3,54,268,31,11.57,12,4.48,17,6.34,31,11.57,52,19.4,45,16.79,5,1.87,24,8.96,14,5.22,12,4.48,25,9.33,03054
3,55,251,17,6.77,13,5.18,14,5.58,26,10.36,58,23.11,56,22.31,8,3.19,30,11.95,3,1.2,11,4.38,15,5.98,03055
3,56,296,21,7.09,9,3.04,18,6.08,25,8.45,70,23.65,66,22.3,13,4.39,41,13.85,4,1.35,11,3.72,18,6.08,03056
3,57,440,32,7.27,24,5.45,35,7.95,37,8.41,105,23.86,84,19.09,18,4.09,48,10.91,7,1.59,21,4.77,29,6.59,03057
3,58,112,9,8.04,3,2.68,1,0.89,12,10.71,27,24.11,27,24.11,0,0.0,14,12.5,5,4.46,5,4.46,9,8.04,03058
3,59,133,15,11.28,7,5.26,7,5.26,7,5.26,27,20.3,29,21.8,5,3.76,14,10.53,3,2.26,8,6.02,11,8.27,03059
3,60,335,24,7.16,19,5.67,25,7.46,33,9.85,83,24.78,57,17.01,17,5.07,37,11.04,4,1.19,19,5.67,17,5.07,03060
3,61,268,28,10.45,16,5.97,20,7.46,18,6.72,56,20.9,35,13.06,8,2.99,36,13.43,14,5.22,15,5.6,22,8.21,03061
3,62,192,24,12.5,9,4.69,29,15.1,16,8.33,38,19.79,28,14.58,5,2.6,23,11.98,0,0.0,12,6.25,8,4.17,03062
3,63,186,16,8.6,5,2.69,10,5.38,22,11.83,37,19.89,38,20.43,5,2.69,21,11.29,8,4.3,10,5.38,14,7.53,03063
4,1,479,63,13.15,22,4.59,22,4.59,50,10.44,85,17.75,73,15.24,8,1.67,68,14.2,25,5.22,23,4.8,40,8.35,04001
4,2,632,49,7.75,21,3.32,22,3.48,37,5.85,138,21.84,130,20.57,12,1.9,112,17.72,23,3.64,27,4.27,61,9.65,04002
4,3,632,46,7.28,18,2.85,30,4.75,61,9.65,114,18.04,117,18.51,24,3.8,127,20.09,15,2.37,35,5.54,45,7.12,04003
4,4,577,36,6.24,23,3.99,36,6.24,57,9.88,98,16.98,114,19.76,21,3.64,107,18.54,16,2.77,29,5.03,40,6.93,04004
4,5,542,49,9.04,22,4.06,24,4.43,34,6.27,109,20.11,99,18.27,18,3.32,111,20.48,12,2.21,23,4.24,41,7.56,04005
4,6,245,15,6.12,5,2.04,8,3.27,21,8.57,45,18.37,52,21.22,6,2.45,51,20.82,5,2.04,14,5.71,23,9.39,04006
4,7,323,18,5.57,6,1.86,12,3.72,38,11.76,61,18.89,77,23.84,11,3.41,62,19.2,4,1.24,17,5.26,17,5.26,04007
4,8,483,38,7.87,11,2.28,25,5.18,40,8.28,97,20.08,92,19.05,15,3.11,94,19.46,10,2.07,23,4.76,38,7.87,04008
4,9,1049,56,5.34,24,2.29,36,3.43,89,8.48,218,20.78,226,21.54,23,2.19,203,19.35,22,2.1,81,7.72,71,6.77,04009
4,10,554,38,6.86,14,2.53,25,4.51,44,7.94,114,20.58,110,19.86,17,3.07,101,18.23,14,2.53,33,5.96,44,7.94,04010
4,11,553,33,5.97,26,4.7,35,6.33,38,6.87,110,19.89,112,20.25,18,3.25,100,18.08,6,1.08,31,5.61,44,7.96,04011
4,12,277,20,7.22,9,3.25,10,3.61,14,5.05,59,21.3,46,16.61,12,4.33,54,19.49,8,2.89,14,5.05,31,11.19,04012
4,13,465,53,11.4,14,3.01,15,3.23,30,6.45,83,17.85,83,17.85,14,3.01,85,18.28,20,4.3,27,5.81,41,8.82,04013
4,14,249,20,8.03,19,7.63,19,7.63,22,8.84,39,15.66,47,18.88,9,3.61,37,14.86,7,2.81,13,5.22,17,6.83,04014
4,15,288,20,6.94,8,2.78,13,4.51,22,7.64,53,18.4,47,16.32,8,2.78,64,22.22,7,2.43,16,5.56,30,10.42,04015
4,16,634,41,6.47,30,4.73,34,5.36,62,9.78,115,18.14,136,21.45,13,2.05,127,20.03,11,1.74,26,4.1,39,6.15,04016
