ward,precinct,total,Penelope Morris,Penelope Morris Percent,"Leroy K. Martin, Jr.","Leroy K. Martin, Jr. Percent",precinct_id
7,49,112,20,17.86,92,82.14,07049
7,51,145,51,35.17,94,64.83,07051
7,52,160,40,25.0,120,75.0,07052
7,53,160,33,20.63,127,79.38,07053
7,54,63,27,42.86,36,57.14,07054
7,55,156,29,18.59,127,81.41,07055
7,56,143,43,30.07,100,69.93,07056
7,57,142,36,25.35,106,74.65,07057
7,58,238,51,21.43,187,78.57,07058
7,59,85,24,28.24,61,71.76,07059
7,60,125,25,20.0,100,80.0,07060
7,61,159,25,15.72,134,84.28,07061
7,62,170,35,20.59,135,79.41,07062
7,63,140,42,30.0,98,70.0,07063
7,65,139,40,28.78,99,71.22,07065
8,1,250,45,18.0,205,82.0,08001
8,2,136,36,26.47,100,73.53,08002
8,3,314,58,18.47,256,81.53,08003
8,4,222,44,19.82,178,80.18,08004
8,5,283,33,11.66,250,88.34,08005
8,6,252,58,23.02,194,76.98,08006
8,7,168,49,29.17,119,70.83,08007
8,8,274,48,17.52,226,82.48,08008
8,9,272,45,16.54,227,83.46,08009
8,10,292,60,20.55,232,79.45,08010
8,11,191,43,22.51,148,77.49,08011
8,12,185,38,20.54,147,79.46,08012
8,13,161,35,21.74,126,78.26,08013
8,14,164,51,31.1,113,68.9,08014
8,15,200,55,27.5,145,72.5,08015
8,16,227,43,18.94,184,81.06,08016
8,17,192,39,20.31,153,79.69,08017
8,18,115,35,30.43,80,69.57,08018
8,19,268,64,23.88,204,76.12,08019
8,20,176,45,25.57,131,74.43,08020
8,21,173,47,27.17,126,72.83,08021
8,22,185,41,22.16,144,77.84,08022
8,23,207,64,30.92,143,69.08,08023
8,24,233,59,25.32,174,74.68,08024
8,25,214,37,17.29,177,82.71,08025
8,26,162,32,19.75,130,80.25,08026
8,27,251,49,19.52,202,80.48,08027
8,28,201,74,36.82,127,63.18,08028
8,29,232,47,20.26,185,79.74,08029
8,30,164,44,26.83,120,73.17,08030
8,31,140,39,27.86,101,72.14,08031
8,32,350,84,24.0,266,76.0,08032
8,33,216,39,18.06,177,81.94,08033
8,34,229,74,32.31,155,67.69,08034
8,35,262,48,18.32,214,81.68,08035
8,36,213,53,24.88,160,75.12,08036
8,37,234,80,34.19,154,65.81,08037
8,38,215,42,19.53,173,80.47,08038
8,39,251,50,19.92,201,80.08,08039
8,40,211,37,17.54,174,82.46,08040
8,41,198,45,22.73,153,77.27,08041
8,42,227,54,23.79,173,76.21,08042
8,43,176,51,28.98,125,71.02,08043
8,44,176,37,21.02,139,78.98,08044
8,45,162,47,29.01,115,70.99,08045
8,46,171,25,14.62,146,85.38,08046
8,47,224,36,16.07,188,83.93,08047
8,48,180,33,18.33,147,81.67,08048
8,49,258,71,27.52,187,72.48,08049
8,50,217,67,30.88,150,69.12,08050
8,51,273,66,24.18,207,75.82,08051
8,52,241,44,18.26,197,81.74,08052
8,53,247,57,23.08,190,76.92,08053
8,54,207,53,25.6,154,74.4,08054
8,55,213,55,25.82,158,74.18,08055
8,56,226,52,23.01,174,76.99,08056
8,58,263,67,25.48,196,74.52,08058
8,59,128,30,23.44,98,76.56,08059
8,60,176,61,34.66,115,65.34,08060
8,61,157,25,15.92,132,84.08,08061
8,62,201,25,12.44,176,87.56,08062
8,63,268,78,29.1,190,70.9,08063
8,64,171,36,21.05,135,78.95,08064
8,65,146,47,32.19,99,67.81,08065
8,66,281,76,27.05,205,72.95,08066
8,67,102,24,23.53,78,76.47,08067
8,68,122,36,29.51,86,70.49,08068
8,69,81,21,25.93,60,74.07,08069
9,13,282,67,23.76,215,76.24,09013
9,35,214,64,29.91,150,70.09,09035
9,52,233,56,24.03,177,75.97,09052
9,54,181,54,29.83,127,70.17,09054
9,56,127,36,28.35,91,71.65,09056
9,58,158,48,30.38,110,69.62,09058
10,1,108,38,35.19,70,64.81,10001
10,2,81,58,71.6,23,28.4,10002
10,3,134,107,79.85,27,20.15,10003
10,4,119,71,59.66,48,40.34,10004
10,5,89,60,67.42,29,32.58,10005
10,6,154,61,39.61,93,60.39,10006
10,7,25,12,48.0,13,52.0,10007
10,8,101,75,74.26,26,25.74,10008
10,9,123,87,70.73,36,29.27,10009
10,10,103,70,67.96,33,32.04,10010
10,11,93,71,76.34,22,23.66,10011
10,12,79,57,72.15,22,27.85,10012
10,13,94,60,63.83,34,36.17,10013
10,14,120,83,69.17,37,30.83,10014
10,15,47,31,65.96,16,34.04,10015
10,16,101,71,70.3,30,29.7,10016
10,17,69,52,75.36,17,24.64,10017
10,18,100,57,57.0,43,43.0,10018
10,19,119,88,73.95,31,26.05,10019
10,20,91,64,70.33,27,29.67,10020
10,21,78,55,70.51,23,29.49,10021
10,22,25,17,68.0,8,32.0,10022
10,23,78,53,67.95,25,32.05,10023
10,24,100,79,79.0,21,21.0,10024
10,25,147,77,52.38,70,47.62,10025
10,26,80,55,68.75,25,31.25,10026
10,27,125,76,60.8,49,39.2,10027
10,28,144,52,36.11,92,63.89,10028
10,29,132,50,37.88,82,62.12,10029
10,30,120,92,76.67,28,23.33,10030
10,31,118,84,71.19,34,28.81,10031
10,32,111,74,66.67,37,33.33,10032
10,33,92,67,72.83,25,27.17,10033
10,34,106,68,64.15,38,35.85,10034
10,35,115,81,70.43,34,29.57,10035
10,36,146,67,45.89,79,54.11,10036
10,37,93,47,50.54,46,49.46,10037
10,38,153,106,69.28,47,30.72,10038
10,39,108,72,66.67,36,33.33,10039
10,40,100,57,57.0,43,43.0,10040
10,41,117,82,70.09,35,29.91,10041
10,42,109,88,80.73,21,19.27,10042
10,43,48,22,45.83,26,54.17,10043
10,44,84,53,63.1,31,36.9,10044
10,45,66,47,71.21,19,28.79,10045
10,46,88,64,72.73,24,27.27,10046
10,47,98,66,67.35,32,32.65,10047
10,48,99,46,46.46,53,53.54,10048
10,49,89,44,49.44,45,50.56,10049
17,2,140,48,34.29,92,65.71,17002
17,3,104,28,26.92,76,73.08,17003
17,4,236,64,27.12,172,72.88,17004
17,5,134,41,30.6,93,69.4,17005
17,7,177,44,24.86,133,75.14,17007
17,9,100,27,27.0,73,73.0,17009
17,10,157,44,28.03,113,71.97,17010
17,12,188,51,27.13,137,72.87,17012
17,15,103,34,33.01,69,66.99,17015
17,18,147,34,23.13,113,76.87,17018
17,20,153,40,26.14,113,73.86,17020
17,21,233,61,26.18,172,73.82,17021
17,22,151,39,25.83,112,74.17,17022
17,23,120,38,31.67,82,68.33,17023
17,24,138,45,32.61,93,67.39,17024
17,25,94,27,28.72,67,71.28,17025
17,26,200,50,25.0,150,75.0,17026
17,27,212,60,28.3,152,71.7,17027
17,28,139,40,28.78,99,71.22,17028
17,29,174,54,31.03,120,68.97,17029
17,30,157,46,29.3,111,70.7,17030
17,31,151,46,30.46,105,69.54,17031
17,33,123,30,24.39,93,75.61,17033
17,35,109,24,22.02,85,77.98,17035
17,37,125,33,26.4,92,73.6,17037
17,38,146,43,29.45,103,70.55,17038
17,44,137,31,22.63,106,77.37,17044
17,47,90,21,23.33,69,76.67,17047
17,48,162,50,30.86,112,69.14,17048
17,50,130,33,25.38,97,74.62,17050
17,51,174,45,25.86,129,74.14,17051
17,52,214,48,22.43,166,77.57,17052
17,53,141,47,33.33,94,66.67,17053
17,54,177,49,27.68,128,72.32,17054
17,55,116,41,35.34,75,64.66,17055
18,20,183,65,35.52,118,64.48,18020
18,30,172,42,24.42,130,75.58,18030
18,38,246,60,24.39,186,75.61,18038
18,51,106,35,33.02,71,66.98,18051
18,52,185,43,23.24,142,76.76,18052
18,53,152,51,33.55,101,66.45,18053
18,60,193,44,22.8,149,77.2,18060
18,61,181,49,27.07,132,72.93,18061
18,63,166,42,25.3,124,74.7,18063
21,2,64,20,31.25,44,68.75,21002
21,15,177,72,40.68,105,59.32,21015
21,16,167,58,34.73,109,65.27,21016
21,17,101,33,32.67,68,67.33,21017
21,29,81,26,32.1,55,67.9,21029
21,32,109,31,28.44,78,71.56,21032
21,34,223,62,27.8,161,72.2,21034
21,35,16,4,25.0,12,75.0,21035
21,36,146,45,30.82,101,69.18,21036
21,37,116,38,32.76,78,67.24,21037
21,39,22,5,22.73,17,77.27,21039
21,41,152,41,26.97,111,73.03,21041
21,52,198,72,36.36,126,63.64,21052
21,57,172,57,33.14,115,66.86,21057
21,62,196,55,28.06,141,71.94,21062
21,65,196,47,23.98,149,76.02,21065
21,67,143,47,32.87,96,67.13,21067
21,68,66,19,28.79,47,71.21,21068
21,69,152,36,23.68,116,76.32,21069
21,70,145,42,28.97,103,71.03,21070
21,71,131,47,35.88,84,64.12,21071
21,72,148,38,25.68,110,74.32,21072
21,73,211,73,34.6,138,65.4,21073
21,74,58,20,34.48,38,65.52,21074
21,75,36,15,41.67,21,58.33,21075
21,76,161,54,33.54,107,66.46,21076
