ward,precinct,total,Robert J. Baren (Dean),Robert J. Baren (Dean) Percent,Deborah L. Graham (Dean),Deborah L. Graham (Dean) Percent,Thomas E. Simmons (Dean),Thomas E. Simmons (Dean) Percent,Anna Eleanor Roosevelt (Dean),Anna Eleanor Roosevelt (Dean) Percent,Eric Emmett Davis (Dean),Eric Emmett Davis (Dean) Percent,Barbara Burchjolla (Dean),Barbara Burchjolla (Dean) Percent,Vincent R. Williams (Dean),Vincent R. Williams (Dean) Percent,Camille Y. Lilly (Dean),Camille Y. Lilly (Dean) Percent,Richard Breyer (Kucinich),Richard Breyer (Kucinich) Percent,Mary Jean Cravens (Kucinich),Mary Jean Cravens (Kucinich) Percent,Babak Bakhtiari (Kucinich),Babak Bakhtiari (Kucinich) Percent,Leslie Roberts (Kucinich),Leslie Roberts (Kucinich) Percent,Bruce Samuels (Kucinich),Bruce Samuels (Kucinich) Percent,Margo Dumelle (Kucinich),Margo Dumelle (Kucinich) Percent,Mary O'Kiersey (Kucinich),Mary O'Kiersey (Kucinich) Percent,Barbara A. Mullarkey (Kucinich),Barbara A. Mullarkey (Kucinich) Percent,Susan S. Pritzker (Gephardt),Susan S. Pritzker (Gephardt) Percent,Reanetta Hunt (Gephardt),Reanetta Hunt (Gephardt) Percent,Peter A. Fosco (Gephardt),Peter A. Fosco (Gephardt) Percent,Javier Ramirez (Gephardt),Javier Ramirez (Gephardt) Percent,Darlena Williams-Burnett (Edwards),Darlena Williams-Burnett (Edwards) Percent,Larry R. Rogers (Edwards),Larry R. Rogers (Edwards) Percent,Gabriella S. Pehanich (Edwards),Gabriella S. Pehanich (Edwards) Percent,Ajay Niranjan Shah (Edwards),Ajay Niranjan Shah (Edwards) Percent,Mercedes A. Laing (Edwards),Mercedes A. Laing (Edwards) Percent,Frank M. Bass (Edwards),Frank M. Bass (Edwards) Percent,Tania Irene Lopez (Edwards),Tania Irene Lopez (Edwards) Percent,Keith A. Romero (Edwards),Keith A. Romero (Edwards) Percent,Vi Daley (Clark),Vi Daley (Clark) Percent,Thomas Gary (Clark),Thomas Gary (Clark) Percent,Bettylu K. Saltzman (Clark),Bettylu K. Saltzman (Clark) Percent,Ted Tetzlaff (Clark),Ted Tetzlaff (Clark) Percent,Judy Klutznick (Clark),Judy Klutznick (Clark) Percent,Robert C. Howard (Clark),Robert C. Howard (Clark) Percent,Bette Cerf Hill (Clark),Bette Cerf Hill (Clark) Percent,Robert L. Fogel (Clark),Robert L. Fogel (Clark) Percent,Laura Perna (Kerry),Laura Perna (Kerry) Percent,Victor Johnson (Kerry),Victor Johnson (Kerry) Percent,Lisa Ellman (Kerry),Lisa Ellman (Kerry) Percent,Carl Harper (Kerry),Carl Harper (Kerry) Percent,Audra Wilson (Kerry),Audra Wilson (Kerry) Percent,Kimberly Johnson (Kerry),Kimberly Johnson (Kerry) Percent,Mike Keating (Kerry),Mike Keating (Kerry) Percent,Nathaniel Benson (Lieberman),Nathaniel Benson (Lieberman) Percent,Desiree Grode (Lieberman),Desiree Grode (Lieberman) Percent,Alissa Krinsky (Lieberman),Alissa Krinsky (Lieberman) Percent,Daniel Logan (Lieberman),Daniel Logan (Lieberman) Percent,Andrew May (Lieberman),Andrew May (Lieberman) Percent,Miriam Moore-Hunter (Lieberman),Miriam Moore-Hunter (Lieberman) Percent,Barton Moy (Lieberman),Barton Moy (Lieberman) Percent,Betty Wong (Lieberman),Betty Wong (Lieberman) Percent,Christine K. Cook (Braun),Christine K. Cook (Braun) Percent,Michael J. Fitzgerald (Braun),Michael J. Fitzgerald (Braun) Percent,Bobbie L. Steele (Braun),Bobbie L. Steele (Braun) Percent,Calvin Giles (Braun),Calvin Giles (Braun) Percent,Joyce Washington (Braun),Joyce Washington (Braun) Percent,John Troelstrup (Braun),John Troelstrup (Braun) Percent,Mattie Hunter (Braun),Mattie Hunter (Braun) Percent,precinct_id
2,7,991,23,2.32,28,2.83,18,1.82,27,2.72,21,2.12,16,1.61,17,1.72,17,1.72,4,0.4,4,0.4,5,0.5,7,0.71,7,0.71,2,0.2,2,0.2,13,1.31,4,0.4,5,0.5,1,0.1,3,0.3,24,2.42,32,3.23,7,0.71,6,0.61,11,1.11,9,0.91,10,1.01,9,0.91,7,0.71,6,0.61,3,0.3,1,0.1,10,1.01,16,1.61,2,0.2,4,0.4,50,5.05,51,5.15,47,4.74,50,5.05,52,5.25,68,6.86,37,3.73,2,0.2,2,0.2,1,0.1,2,0.2,0,0.0,4,0.4,0,0.0,8,0.81,23,2.32,26,2.62,40,4.04,22,2.22,37,3.73,16,1.61,29,2.93,02007
2,8,1324,26,1.96,28,2.11,15,1.13,31,2.34,19,1.44,23,1.74,18,1.36,26,1.96,9,0.68,13,0.98,10,0.76,12,0.91,12,0.91,11,0.83,11,0.83,5,0.38,6,0.45,9,0.68,5,0.38,4,0.3,18,1.36,11,0.83,10,0.76,11,0.83,9,0.68,9,0.68,15,1.13,10,0.76,7,0.53,2,0.15,4,0.3,3,0.23,5,0.38,5,0.38,4,0.3,2,0.15,94,7.1,99,7.48,109,8.23,102,7.7,101,7.63,102,7.7,101,7.63,6,0.45,5,0.38,5,0.38,4,0.3,4,0.3,7,0.53,6,0.45,10,0.76,9,0.68,6,0.45,9,0.68,6,0.45,11,0.83,4,0.3,8,0.6,02008
2,9,431,18,4.18,28,6.5,15,3.48,18,4.18,16,3.71,15,3.48,10,2.32,13,3.02,4,0.93,9,2.09,1,0.23,6,1.39,2,0.46,2,0.46,4,0.93,6,1.39,5,1.16,1,0.23,4,0.93,1,0.23,17,3.94,6,1.39,1,0.23,2,0.46,1,0.23,0,0.0,1,0.23,0,0.0,1,0.23,0,0.0,4,0.93,0,0.0,1,0.23,12,2.78,2,0.46,2,0.46,23,5.34,16,3.71,14,3.25,14,3.25,17,3.94,20,4.64,14,3.25,1,0.23,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7,1,0.23,3,0.7,10,2.32,11,2.55,12,2.78,7,1.62,16,3.71,3,0.7,5,1.16,02009
2,10,158,4,2.53,8,5.06,2,1.27,6,3.8,3,1.9,3,1.9,3,1.9,3,1.9,0,0.0,1,0.63,1,0.63,0,0.0,0,0.0,0,0.0,0,0.0,5,3.16,1,0.63,2,1.27,2,1.27,1,0.63,6,3.8,1,0.63,1,0.63,0,0.0,0,0.0,0,0.0,3,1.9,1,0.63,1,0.63,2,1.27,0,0.0,1,0.63,1,0.63,5,3.16,2,1.27,4,2.53,7,4.43,10,6.33,8,5.06,6,3.8,6,3.8,5,3.16,4,2.53,1,0.63,0,0.0,1,0.63,0,0.0,1,0.63,0,0.0,0,0.0,3,1.9,0,0.0,5,3.16,13,8.23,1,0.63,5,3.16,1,0.63,1,0.63,02010
2,11,615,11,1.79,10,1.63,7,1.14,9,1.46,4,0.65,8,1.3,6,0.98,6,0.98,9,1.46,8,1.3,8,1.3,9,1.46,12,1.95,8,1.3,9,1.46,9,1.46,4,0.65,1,0.16,1,0.16,2,0.33,3,0.49,4,0.65,5,0.81,4,0.65,5,0.81,3,0.49,5,0.81,4,0.65,2,0.33,0,0.0,0,0.0,0,0.0,3,0.49,2,0.33,3,0.49,1,0.16,46,7.48,49,7.97,48,7.8,48,7.8,48,7.8,45,7.32,46,7.48,4,0.65,4,0.65,4,0.65,3,0.49,3,0.49,3,0.49,2,0.33,3,0.49,4,0.65,2,0.33,6,0.98,3,0.49,5,0.81,3,0.49,6,0.98,02011
2,12,696,13,1.87,16,2.3,11,1.58,15,2.16,10,1.44,12,1.72,7,1.01,11,1.58,9,1.29,11,1.58,8,1.15,10,1.44,8,1.15,9,1.29,10,1.44,5,0.72,1,0.14,0,0.0,0,0.0,0,0.0,11,1.58,12,1.72,9,1.29,10,1.44,9,1.29,7,1.01,11,1.58,8,1.15,2,0.29,1,0.14,2,0.29,2,0.29,3,0.43,1,0.14,3,0.43,2,0.29,53,7.61,50,7.18,54,7.76,52,7.47,57,8.19,52,7.47,50,7.18,0,0.0,0,0.0,0,0.0,2,0.29,0,0.0,2,0.29,1,0.14,1,0.14,1,0.14,2,0.29,2,0.29,2,0.29,2,0.29,2,0.29,1,0.14,02012
2,13,547,9,1.65,14,2.56,8,1.46,9,1.65,10,1.83,7,1.28,10,1.83,9,1.65,2,0.37,7,1.28,4,0.73,7,1.28,4,0.73,5,0.91,5,0.91,3,0.55,4,0.73,3,0.55,1,0.18,5,0.91,15,2.74,15,2.74,6,1.1,4,0.73,5,0.91,3,0.55,3,0.55,3,0.55,1,0.18,2,0.37,4,0.73,2,0.37,4,0.73,4,0.73,3,0.55,1,0.18,33,6.03,37,6.76,33,6.03,32,5.85,32,5.85,28,5.12,29,5.3,2,0.37,3,0.55,2,0.37,1,0.18,1,0.18,2,0.37,1,0.18,4,0.73,6,1.1,12,2.19,21,3.84,9,1.65,12,2.19,7,1.28,9,1.65,02013
2,14,77,0,0.0,7,9.09,3,3.9,2,2.6,2,2.6,2,2.6,3,3.9,1,1.3,2,2.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.3,2,2.6,1,1.3,1,1.3,1,1.3,2,2.6,1,1.3,1,1.3,0,0.0,0,0.0,0,0.0,0,0.0,4,5.19,1,1.3,1,1.3,0,0.0,3,3.9,3,3.9,2,2.6,2,2.6,2,2.6,2,2.6,2,2.6,0,0.0,0,0.0,3,3.9,3,3.9,3,3.9,3,3.9,2,2.6,3,3.9,2,2.6,0,0.0,0,0.0,0,0.0,0,0.0,1,1.3,1,1.3,02014
2,15,154,4,2.6,6,3.9,4,2.6,5,3.25,5,3.25,4,2.6,4,2.6,2,1.3,1,0.65,1,0.65,2,1.3,3,1.95,1,0.65,1,0.65,1,0.65,2,1.3,1,0.65,0,0.0,0,0.0,1,0.65,7,4.55,3,1.95,2,1.3,2,1.3,3,1.95,2,1.3,1,0.65,1,0.65,0,0.0,1,0.65,0,0.0,0,0.0,0,0.0,3,1.95,0,0.0,0,0.0,6,3.9,3,1.95,5,3.25,3,1.95,5,3.25,6,3.9,5,3.25,1,0.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.3,6,3.9,8,5.19,6,3.9,5,3.25,6,3.9,4,2.6,6,3.9,02015
2,16,496,17,3.43,13,2.62,9,1.81,14,2.82,14,2.82,12,2.42,13,2.62,12,2.42,8,1.61,9,1.81,6,1.21,7,1.41,9,1.81,6,1.21,7,1.41,7,1.41,4,0.81,0,0.0,0,0.0,1,0.2,10,2.02,9,1.81,6,1.21,4,0.81,6,1.21,3,0.6,6,1.21,3,0.6,2,0.4,2,0.4,2,0.4,2,0.4,3,0.6,6,1.21,4,0.81,1,0.2,25,5.04,29,5.85,32,6.45,29,5.85,30,6.05,27,5.44,26,5.24,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,2,0.4,4,0.81,7,1.41,4,0.81,3,0.6,3,0.6,3,0.6,4,0.81,02016
2,17,486,19,3.91,19,3.91,11,2.26,24,4.94,16,3.29,8,1.65,9,1.85,14,2.88,2,0.41,6,1.23,5,1.03,9,1.85,5,1.03,3,0.62,5,1.03,5,1.03,3,0.62,2,0.41,2,0.41,2,0.41,15,3.09,10,2.06,1,0.21,2,0.41,1,0.21,4,0.82,3,0.62,2,0.41,1,0.21,3,0.62,0,0.0,1,0.21,8,1.65,6,1.23,4,0.82,5,1.03,16,3.29,23,4.73,26,5.35,18,3.7,21,4.32,22,4.53,13,2.67,2,0.41,1,0.21,0,0.0,2,0.41,2,0.41,1,0.21,0,0.0,3,0.62,9,1.85,11,2.26,15,3.09,8,1.65,19,3.91,7,1.44,14,2.88,02017
2,18,1785,18,1.01,25,1.4,21,1.18,30,1.68,22,1.23,17,0.95,20,1.12,19,1.06,15,0.84,18,1.01,13,0.73,15,0.84,13,0.73,11,0.62,19,1.06,15,0.84,5,0.28,4,0.22,2,0.11,5,0.28,24,1.34,35,1.96,22,1.23,18,1.01,23,1.29,18,1.01,21,1.18,20,1.12,8,0.45,7,0.39,4,0.22,7,0.39,6,0.34,5,0.28,2,0.11,5,0.28,135,7.56,143,8.01,143,8.01,138,7.73,140,7.84,150,8.4,138,7.73,3,0.17,9,0.5,5,0.28,4,0.22,4,0.22,5,0.28,4,0.22,8,0.45,14,0.78,10,0.56,20,1.12,13,0.73,15,0.84,6,0.34,12,0.67,02018
2,19,251,9,3.59,9,3.59,4,1.59,10,3.98,10,3.98,6,2.39,4,1.59,4,1.59,2,0.8,2,0.8,1,0.4,1,0.4,1,0.4,0,0.0,2,0.8,5,1.99,3,1.2,5,1.99,3,1.2,4,1.59,5,1.99,9,3.59,3,1.2,1,0.4,2,0.8,1,0.4,2,0.8,0,0.0,4,1.59,2,0.8,1,0.4,0,0.0,2,0.8,8,3.19,4,1.59,6,2.39,6,2.39,8,3.19,8,3.19,10,3.98,12,4.78,6,2.39,5,1.99,1,0.4,5,1.99,0,0.0,2,0.8,0,0.0,1,0.4,0,0.0,7,2.79,3,1.2,3,1.2,5,1.99,6,2.39,14,5.58,3,1.2,5,1.99,02019
2,20,47,3,6.38,2,4.26,1,2.13,3,6.38,1,2.13,2,4.26,1,2.13,2,4.26,0,0.0,1,2.13,0,0.0,1,2.13,0,0.0,1,2.13,0,0.0,1,2.13,0,0.0,0,0.0,0,0.0,0,0.0,1,2.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.13,0,0.0,0,0.0,0,0.0,2,4.26,2,4.26,3,6.38,3,6.38,3,6.38,4,8.51,3,6.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.13,0,0.0,1,2.13,02020
2,21,706,21,2.97,18,2.55,12,1.7,16,2.27,17,2.41,13,1.84,8,1.13,8,1.13,8,1.13,6,0.85,7,0.99,7,0.99,6,0.85,7,0.99,7,0.99,6,0.85,5,0.71,1,0.14,1,0.14,2,0.28,14,1.98,31,4.39,8,1.13,7,0.99,5,0.71,5,0.71,7,0.99,4,0.57,4,0.57,4,0.57,2,0.28,0,0.0,2,0.28,13,1.84,8,1.13,5,0.71,38,5.38,40,5.67,39,5.52,36,5.1,39,5.52,47,6.66,32,4.53,2,0.28,2,0.28,1,0.14,3,0.42,2,0.28,2,0.28,1,0.14,4,0.57,10,1.42,9,1.27,20,2.83,5,0.71,21,2.97,5,0.71,14,1.98,02021
2,22,2021,37,1.83,42,2.08,26,1.29,46,2.28,32,1.58,30,1.48,30,1.48,32,1.58,13,0.64,17,0.84,13,0.64,10,0.49,13,0.64,11,0.54,13,0.64,2,0.1,15,0.74,5,0.25,0,0.0,3,0.15,23,1.14,31,1.53,20,0.99,18,0.89,26,1.29,15,0.74,22,1.09,13,0.64,6,0.3,4,0.2,7,0.35,6,0.3,3,0.15,2,0.1,7,0.35,3,0.15,152,7.52,154,7.62,158,7.82,158,7.82,159,7.87,155,7.67,138,6.83,9,0.45,9,0.45,11,0.54,9,0.45,7,0.35,8,0.4,8,0.4,13,0.64,17,0.84,15,0.74,27,1.34,17,0.84,23,1.14,14,0.69,17,0.84,02022
2,23,511,15,2.94,13,2.54,14,2.74,12,2.35,8,1.57,8,1.57,7,1.37,5,0.98,5,0.98,6,1.17,5,0.98,5,0.98,5,0.98,3,0.59,5,0.98,6,1.17,5,0.98,3,0.59,1,0.2,1,0.2,19,3.72,9,1.76,5,0.98,4,0.78,5,0.98,8,1.57,6,1.17,3,0.59,1,0.2,3,0.59,2,0.39,3,0.59,3,0.59,6,1.17,4,0.78,1,0.2,29,5.68,28,5.48,27,5.28,29,5.68,32,6.26,35,6.85,26,5.09,1,0.2,4,0.78,1,0.2,2,0.39,1,0.2,5,0.98,3,0.59,7,1.37,6,1.17,5,0.98,11,2.15,8,1.57,10,1.96,2,0.39,3,0.59,02023
2,24,313,20,6.39,15,4.79,6,1.92,11,3.51,11,3.51,6,1.92,11,3.51,10,3.19,4,1.28,3,0.96,3,0.96,3,0.96,3,0.96,3,0.96,3,0.96,8,2.56,1,0.32,2,0.64,2,0.64,2,0.64,12,3.83,13,4.15,2,0.64,2,0.64,4,1.28,3,0.96,4,1.28,2,0.64,3,0.96,3,0.96,1,0.32,2,0.64,0,0.0,6,1.92,0,0.0,2,0.64,9,2.88,8,2.56,11,3.51,11,3.51,8,2.56,12,3.83,10,3.19,1,0.32,1,0.32,1,0.32,1,0.32,1,0.32,3,0.96,1,0.32,4,1.28,2,0.64,1,0.32,10,3.19,6,1.92,12,3.83,1,0.32,3,0.96,02024
