ward,precinct,total,Elizabeth L. Gracie (Dean),Elizabeth L. Gracie (Dean) Percent,Patrice M. Ball-Reed (Edwards),Patrice M. Ball-Reed (Edwards) Percent,Eileen Fein (Clark),Eileen Fein (Clark) Percent,Catherine Randle (Kerry),Catherine Randle (Kerry) Percent,Ethel Triplett (Lieberman),Ethel Triplett (Lieberman) Percent,Tumia Romero (Braun),Tumia Romero (Braun) Percent,precinct_id
20,40,68,8,11.76,13,19.12,1,1.47,34,50.0,3,4.41,9,13.24,20040
20,45,18,3,16.67,2,11.11,0,0.0,12,66.67,0,0.0,1,5.56,20045
20,48,54,8,14.81,12,22.22,2,3.7,25,46.3,3,5.56,4,7.41,20048
20,52,59,7,11.86,10,16.95,1,1.69,29,49.15,4,6.78,8,13.56,20052
22,7,123,20,16.26,16,13.01,1,0.81,65,52.85,2,1.63,19,15.45,22007
22,18,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,22018
22,19,90,8,8.89,12,13.33,2,2.22,51,56.67,6,6.67,11,12.22,22019
22,21,124,21,16.94,20,16.13,7,5.65,56,45.16,3,2.42,17,13.71,22021
24,1,92,16,17.39,5,5.43,4,4.35,55,59.78,2,2.17,10,10.87,24001
24,2,117,31,26.5,21,17.95,8,6.84,38,32.48,8,6.84,11,9.4,24002
24,3,128,19,14.84,20,15.63,5,3.91,66,51.56,7,5.47,11,8.59,24003
24,4,108,22,20.37,9,8.33,6,5.56,43,39.81,8,7.41,20,18.52,24004
24,5,75,14,18.67,11,14.67,2,2.67,39,52.0,4,5.33,5,6.67,24005
24,6,126,19,15.08,15,11.9,9,7.14,58,46.03,3,2.38,22,17.46,24006
24,7,102,18,17.65,12,11.76,3,2.94,53,51.96,3,2.94,13,12.75,24007
24,8,107,15,14.02,11,10.28,8,7.48,57,53.27,5,4.67,11,10.28,24008
24,9,103,22,21.36,11,10.68,3,2.91,49,47.57,3,2.91,15,14.56,24009
24,10,111,22,19.82,20,18.02,3,2.7,49,44.14,5,4.5,12,10.81,24010
24,11,51,13,25.49,6,11.76,1,1.96,20,39.22,3,5.88,8,15.69,24011
24,12,70,9,12.86,13,18.57,3,4.29,38,54.29,2,2.86,5,7.14,24012
24,13,77,10,12.99,6,7.79,2,2.6,43,55.84,5,6.49,11,14.29,24013
24,14,131,16,12.21,20,15.27,9,6.87,62,47.33,9,6.87,15,11.45,24014
24,15,82,6,7.32,10,12.2,5,6.1,40,48.78,6,7.32,15,18.29,24015
24,16,91,18,19.78,9,9.89,9,9.89,33,36.26,4,4.4,18,19.78,24016
24,17,101,18,17.82,15,14.85,2,1.98,51,50.5,5,4.95,10,9.9,24017
24,18,91,22,24.18,8,8.79,3,3.3,43,47.25,2,2.2,13,14.29,24018
24,19,76,13,17.11,4,5.26,8,10.53,41,53.95,2,2.63,8,10.53,24019
24,20,143,21,14.69,20,13.99,8,5.59,76,53.15,5,3.5,13,9.09,24020
24,21,90,19,21.11,12,13.33,6,6.67,40,44.44,4,4.44,9,10.0,24021
24,22,92,14,15.22,9,9.78,4,4.35,50,54.35,5,5.43,10,10.87,24022
24,23,109,16,14.68,13,11.93,7,6.42,51,46.79,6,5.5,16,14.68,24023
24,24,83,21,25.3,8,9.64,4,4.82,40,48.19,3,3.61,7,8.43,24024
24,25,93,14,15.05,11,11.83,8,8.6,46,49.46,1,1.08,13,13.98,24025
24,26,140,18,12.86,17,12.14,7,5.0,79,56.43,4,2.86,15,10.71,24026
24,27,74,17,22.97,7,9.46,3,4.05,31,41.89,5,6.76,11,14.86,24027
24,28,99,14,14.14,17,17.17,2,2.02,52,52.53,4,4.04,10,10.1,24028
24,29,127,27,21.26,17,13.39,2,1.57,52,40.94,5,3.94,24,18.9,24029
24,30,84,17,20.24,6,7.14,5,5.95,40,47.62,4,4.76,12,14.29,24030
24,31,96,17,17.71,21,21.88,1,1.04,39,40.63,4,4.17,14,14.58,24031
24,32,112,14,12.5,22,19.64,10,8.93,45,40.18,7,6.25,14,12.5,24032
24,33,77,12,15.58,9,11.69,3,3.9,48,62.34,4,5.19,1,1.3,24033
24,34,108,15,13.89,12,11.11,7,6.48,62,57.41,1,0.93,11,10.19,24034
24,35,122,32,26.23,23,18.85,4,3.28,52,42.62,3,2.46,8,6.56,24035
24,36,87,16,18.39,15,17.24,4,4.6,38,43.68,3,3.45,11,12.64,24036
24,37,140,20,14.29,17,12.14,6,4.29,75,53.57,6,4.29,16,11.43,24037
24,38,136,13,9.56,14,10.29,3,2.21,82,60.29,8,5.88,16,11.76,24038
24,39,102,12,11.76,11,10.78,7,6.86,56,54.9,4,3.92,12,11.76,24039
24,40,163,23,14.11,24,14.72,7,4.29,77,47.24,3,1.84,29,17.79,24040
24,41,78,17,21.79,8,10.26,3,3.85,39,50.0,3,3.85,8,10.26,24041
24,42,81,18,22.22,16,19.75,2,2.47,37,45.68,2,2.47,6,7.41,24042
24,43,99,16,16.16,10,10.1,5,5.05,52,52.53,4,4.04,12,12.12,24043
24,44,35,10,28.57,5,14.29,2,5.71,13,37.14,3,8.57,2,5.71,24044
24,45,95,12,12.63,9,9.47,4,4.21,45,47.37,8,8.42,17,17.89,24045
24,46,121,26,21.49,19,15.7,3,2.48,55,45.45,8,6.61,10,8.26,24046
24,47,101,7,6.93,14,13.86,3,2.97,65,64.36,4,3.96,8,7.92,24047
24,48,57,4,7.02,6,10.53,5,8.77,34,59.65,4,7.02,4,7.02,24048
24,49,176,29,16.48,28,15.91,3,1.7,84,47.73,5,2.84,27,15.34,24049
24,50,167,25,14.97,28,16.77,7,4.19,77,46.11,9,5.39,21,12.57,24050
24,51,149,24,16.11,24,16.11,2,1.34,68,45.64,16,10.74,15,10.07,24051
24,52,103,24,23.3,14,13.59,3,2.91,48,46.6,5,4.85,9,8.74,24052
24,53,47,10,21.28,6,12.77,6,12.77,16,34.04,2,4.26,7,14.89,24053
24,54,92,17,18.48,8,8.7,7,7.61,44,47.83,2,2.17,14,15.22,24054
24,55,48,11,22.92,6,12.5,3,6.25,22,45.83,2,4.17,4,8.33,24055
24,56,125,18,14.4,15,12.0,2,1.6,72,57.6,6,4.8,12,9.6,24056
24,58,124,22,17.74,18,14.52,8,6.45,63,50.81,5,4.03,8,6.45,24058
24,59,63,11,17.46,6,9.52,2,3.17,32,50.79,2,3.17,10,15.87,24059
25,3,48,10,20.83,9,18.75,0,0.0,20,41.67,4,8.33,5,10.42,25003
25,4,157,31,19.75,18,11.46,6,3.82,82,52.23,3,1.91,17,10.83,25004
25,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25005
25,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25006
25,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25008
25,10,68,9,13.24,7,10.29,2,2.94,31,45.59,2,2.94,17,25.0,25010
25,14,49,10,20.41,5,10.2,4,8.16,23,46.94,4,8.16,3,6.12,25014
25,16,40,4,10.0,10,25.0,3,7.5,21,52.5,0,0.0,2,5.0,25016
25,18,95,20,21.05,11,11.58,2,2.11,53,55.79,2,2.11,7,7.37,25018
25,21,108,15,13.89,15,13.89,3,2.78,61,56.48,7,6.48,7,6.48,25021
25,25,96,12,12.5,9,9.38,6,6.25,58,60.42,5,5.21,6,6.25,25025
25,26,99,20,20.2,9,9.09,4,4.04,55,55.56,4,4.04,7,7.07,25026
25,27,96,10,10.42,13,13.54,5,5.21,65,67.71,1,1.04,2,2.08,25027
25,28,153,17,11.11,14,9.15,9,5.88,87,56.86,7,4.58,19,12.42,25028
25,29,71,13,18.31,9,12.68,6,8.45,28,39.44,7,9.86,8,11.27,25029
26,17,35,8,22.86,5,14.29,2,5.71,16,45.71,0,0.0,4,11.43,26017
26,28,4,1,25.0,0,0.0,0,0.0,2,50.0,0,0.0,1,25.0,26028
26,33,24,3,12.5,4,16.67,0,0.0,17,70.83,0,0.0,0,0.0,26033
26,46,65,9,13.85,8,12.31,4,6.15,36,55.38,4,6.15,4,6.15,26046
27,1,52,5,9.62,9,17.31,3,5.77,33,63.46,1,1.92,1,1.92,27001
27,2,116,19,16.38,10,8.62,5,4.31,57,49.14,4,3.45,21,18.1,27002
27,3,99,14,14.14,9,9.09,6,6.06,51,51.52,9,9.09,10,10.1,27003
27,4,85,16,18.82,13,15.29,4,4.71,28,32.94,4,4.71,20,23.53,27004
27,5,24,4,16.67,3,12.5,1,4.17,14,58.33,1,4.17,1,4.17,27005
27,6,63,14,22.22,15,23.81,5,7.94,22,34.92,3,4.76,4,6.35,27006
27,7,78,8,10.26,15,19.23,2,2.56,48,61.54,0,0.0,5,6.41,27007
27,8,38,4,10.53,7,18.42,6,15.79,16,42.11,1,2.63,4,10.53,27008
27,9,108,13,12.04,14,12.96,4,3.7,62,57.41,8,7.41,7,6.48,27009
27,10,175,25,14.29,23,13.14,6,3.43,91,52.0,4,2.29,26,14.86,27010
27,11,74,11,14.86,10,13.51,1,1.35,36,48.65,6,8.11,10,13.51,27011
27,12,36,4,11.11,2,5.56,2,5.56,25,69.44,2,5.56,1,2.78,27012
27,13,22,0,0.0,2,9.09,0,0.0,16,72.73,4,18.18,0,0.0,27013
27,14,42,3,7.14,0,0.0,1,2.38,29,69.05,3,7.14,6,14.29,27014
27,15,60,16,26.67,13,21.67,3,5.0,26,43.33,1,1.67,1,1.67,27015
27,16,26,5,19.23,2,7.69,0,0.0,16,61.54,2,7.69,1,3.85,27016
27,17,59,5,8.47,4,6.78,2,3.39,45,76.27,1,1.69,2,3.39,27017
27,18,37,5,13.51,1,2.7,2,5.41,28,75.68,0,0.0,1,2.7,27018
27,19,116,14,12.07,25,21.55,5,4.31,49,42.24,5,4.31,18,15.52,27019
27,20,119,20,16.81,20,16.81,6,5.04,51,42.86,6,5.04,16,13.45,27020
27,21,41,12,29.27,3,7.32,4,9.76,14,34.15,2,4.88,6,14.63,27021
27,22,91,16,17.58,10,10.99,5,5.49,43,47.25,7,7.69,10,10.99,27022
27,23,43,9,20.93,8,18.6,4,9.3,17,39.53,2,4.65,3,6.98,27023
27,24,82,17,20.73,11,13.41,8,9.76,32,39.02,5,6.1,9,10.98,27024
27,25,82,19,23.17,11,13.41,4,4.88,38,46.34,3,3.66,7,8.54,27025
27,26,85,17,20.0,13,15.29,2,2.35,40,47.06,2,2.35,11,12.94,27026
27,27,48,10,20.83,5,10.42,1,2.08,17,35.42,5,10.42,10,20.83,27027
27,28,94,14,14.89,9,9.57,2,2.13,64,68.09,0,0.0,5,5.32,27028
27,29,80,12,15.0,9,11.25,4,5.0,34,42.5,7,8.75,14,17.5,27029
27,30,58,3,5.17,9,15.52,4,6.9,32,55.17,4,6.9,6,10.34,27030
27,31,117,17,14.53,20,17.09,5,4.27,50,42.74,8,6.84,17,14.53,27031
27,33,82,15,18.29,9,10.98,4,4.88,40,48.78,5,6.1,9,10.98,27033
27,34,63,9,14.29,11,17.46,4,6.35,30,47.62,3,4.76,6,9.52,27034
27,36,101,27,26.73,11,10.89,2,1.98,45,44.55,4,3.96,12,11.88,27036
27,37,26,7,26.92,3,11.54,0,0.0,12,46.15,0,0.0,4,15.38,27037
27,39,36,9,25.0,5,13.89,1,2.78,11,30.56,3,8.33,7,19.44,27039
27,40,56,10,17.86,5,8.93,4,7.14,27,48.21,6,10.71,4,7.14,27040
27,41,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,27041
27,42,70,4,5.71,8,11.43,3,4.29,45,64.29,7,10.0,3,4.29,27042
27,43,71,8,11.27,14,19.72,7,9.86,30,42.25,4,5.63,8,11.27,27043
27,44,74,14,18.92,8,10.81,4,5.41,26,35.14,5,6.76,17,22.97,27044
27,45,121,22,18.18,8,6.61,4,3.31,31,25.62,3,2.48,53,43.8,27045
27,46,66,9,13.64,7,10.61,3,4.55,25,37.88,4,6.06,18,27.27,27046
27,47,78,20,25.64,7,8.97,4,5.13,34,43.59,6,7.69,7,8.97,27047
27,48,88,16,18.18,15,17.05,4,4.55,35,39.77,6,6.82,12,13.64,27048
27,49,94,20,21.28,17,18.09,5,5.32,36,38.3,2,2.13,14,14.89,27049
27,50,140,21,15.0,16,11.43,9,6.43,85,60.71,1,0.71,8,5.71,27050
27,51,56,13,23.21,13,23.21,3,5.36,13,23.21,5,8.93,9,16.07,27051
27,52,23,4,17.39,5,21.74,2,8.7,10,43.48,0,0.0,2,8.7,27052
27,53,38,13,34.21,5,13.16,1,2.63,15,39.47,0,0.0,4,10.53,27053
27,54,96,7,7.29,7,7.29,3,3.13,74,77.08,3,3.13,2,2.08,27054
27,55,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,27055
27,57,66,10,15.15,10,15.15,2,3.03,40,60.61,2,3.03,2,3.03,27057
27,58,93,16,17.2,13,13.98,5,5.38,46,49.46,5,5.38,8,8.6,27058
27,60,106,24,22.64,15,14.15,8,7.55,48,45.28,4,3.77,7,6.6,27060
27,61,19,6,31.58,2,10.53,2,10.53,7,36.84,1,5.26,1,5.26,27061
27,62,84,15,17.86,15,17.86,3,3.57,43,51.19,5,5.95,3,3.57,27062
27,63,120,27,22.5,11,9.17,5,4.17,59,49.17,6,5.0,12,10.0,27063
27,64,88,18,20.45,14,15.91,6,6.82,28,31.82,7,7.95,15,17.05,27064
27,65,21,4,19.05,5,23.81,1,4.76,6,28.57,1,4.76,4,19.05,27065
27,66,20,3,15.0,7,35.0,2,10.0,7,35.0,0,0.0,1,5.0,27066
28,1,110,16,14.55,13,11.82,3,2.73,49,44.55,2,1.82,27,24.55,28001
28,2,69,8,11.59,11,15.94,3,4.35,29,42.03,8,11.59,10,14.49,28002
28,3,63,11,17.46,9,14.29,4,6.35,24,38.1,5,7.94,10,15.87,28003
28,4,155,23,14.84,18,11.61,10,6.45,68,43.87,6,3.87,30,19.35,28004
28,5,93,15,16.13,18,19.35,4,4.3,42,45.16,3,3.23,11,11.83,28005
28,6,51,9,17.65,7,13.73,2,3.92,23,45.1,1,1.96,9,17.65,28006
28,7,112,22,19.64,22,19.64,6,5.36,42,37.5,5,4.46,15,13.39,28007
28,8,74,13,17.57,9,12.16,2,2.7,37,50.0,2,2.7,11,14.86,28008
