ward,precinct,total,Dawn Doering-Suter (Kucinich),Dawn Doering-Suter (Kucinich) Percent,Amy V. Przybylo (Dean),Amy V. Przybylo (Dean) Percent,Alicia Renee Pardo (Edwards),Alicia Renee Pardo (Edwards) Percent,Jennifer A. Kuhn (Clark),Jennifer A. Kuhn (Clark) Percent,Amy Galibois (Kerry),Amy Galibois (Kerry) Percent,Deborah Rosenberg Alexander (Lieb),Deborah Rosenberg Alexander (Lieb) Percent,Beatrice Turner (Braun),Beatrice Turner (Braun) Percent,precinct_id
46,16,166,19,11.45,19,11.45,21,12.65,5,3.01,88,53.01,4,2.41,10,6.02,46016
46,19,182,23,12.64,31,17.03,11,6.04,3,1.65,107,58.79,1,0.55,6,3.3,46019
46,20,139,12,8.63,9,6.47,11,7.91,15,10.79,60,43.17,11,7.91,21,15.11,46020
46,21,39,7,17.95,3,7.69,6,15.38,3,7.69,16,41.03,0,0.0,4,10.26,46021
46,22,115,20,17.39,6,5.22,11,9.57,5,4.35,53,46.09,6,5.22,14,12.17,46022
46,23,126,10,7.94,8,6.35,10,7.94,6,4.76,53,42.06,11,8.73,28,22.22,46023
46,25,98,8,8.16,14,14.29,9,9.18,8,8.16,39,39.8,13,13.27,7,7.14,46025
46,26,137,13,9.49,9,6.57,10,7.3,10,7.3,64,46.72,9,6.57,22,16.06,46026
46,27,134,9,6.72,15,11.19,14,10.45,12,8.96,70,52.24,4,2.99,10,7.46,46027
46,28,158,5,3.16,9,5.7,17,10.76,4,2.53,106,67.09,6,3.8,11,6.96,46028
46,30,183,8,4.37,16,8.74,16,8.74,10,5.46,98,53.55,14,7.65,21,11.48,46030
46,32,142,10,7.04,14,9.86,12,8.45,10,7.04,71,50.0,5,3.52,20,14.08,46032
46,33,155,13,8.39,16,10.32,14,9.03,7,4.52,91,58.71,10,6.45,4,2.58,46033
46,34,187,19,10.16,15,8.02,12,6.42,10,5.35,105,56.15,9,4.81,17,9.09,46034
46,35,122,16,13.11,5,4.1,9,7.38,6,4.92,65,53.28,7,5.74,14,11.48,46035
46,38,67,8,11.94,9,13.43,4,5.97,2,2.99,30,44.78,3,4.48,11,16.42,46038
46,39,145,4,2.76,5,3.45,11,7.59,5,3.45,104,71.72,8,5.52,8,5.52,46039
46,40,95,12,12.63,6,6.32,11,11.58,10,10.53,36,37.89,7,7.37,13,13.68,46040
46,41,132,9,6.82,13,9.85,14,10.61,11,8.33,67,50.76,9,6.82,9,6.82,46041
46,42,170,11,6.47,9,5.29,19,11.18,16,9.41,81,47.65,11,6.47,23,13.53,46042
