ward,precinct,total,Michael P. Shannon,Michael P. Shannon Percent,Simon M. Ribeiro,Simon M. Ribeiro Percent,precinct_id
44,49,28,25,89.29,3,10.71,44049
46,1,40,34,85.0,6,15.0,46001
46,2,4,4,,0,,46002
46,4,16,14,87.5,2,12.5,46004
46,6,9,8,88.89,1,11.11,46006
46,7,5,5,,0,,46007
46,8,18,15,83.33,3,16.67,46008
46,9,14,13,92.86,1,7.14,46009
46,10,9,8,88.89,1,11.11,46010
46,11,22,20,90.91,2,9.09,46011
46,12,7,5,71.43,2,28.57,46012
46,14,10,7,70.0,3,30.0,46014
46,15,17,15,88.24,2,11.76,46015
46,16,10,8,80.0,2,20.0,46016
46,19,7,7,,0,,46019
46,20,5,4,80.0,1,20.0,46020
46,21,4,4,,0,,46021
46,22,29,19,65.52,10,34.48,46022
46,23,3,2,66.67,1,33.33,46023
46,25,16,11,68.75,5,31.25,46025
46,26,3,3,,0,,46026
46,27,18,15,83.33,3,16.67,46027
46,28,29,26,89.66,3,10.34,46028
46,30,26,23,88.46,3,11.54,46030
46,32,22,18,81.82,4,18.18,46032
46,33,12,10,83.33,2,16.67,46033
46,34,13,10,76.92,3,23.08,46034
46,35,16,14,87.5,2,12.5,46035
46,38,2,1,50.0,1,50.0,46038
46,39,19,17,89.47,2,10.53,46039
46,40,14,12,85.71,2,14.29,46040
46,41,4,3,75.0,1,25.0,46041
46,42,6,4,66.67,2,33.33,46042
46,45,13,10,76.92,3,23.08,46045
46,46,9,5,55.56,4,44.44,46046
46,47,3,2,66.67,1,33.33,46047
48,1,19,15,78.95,4,21.05,48001
48,2,17,11,64.71,6,35.29,48002
48,3,18,16,88.89,2,11.11,48003
48,4,26,21,80.77,5,19.23,48004
48,5,22,17,77.27,5,22.73,48005
48,6,11,10,90.91,1,9.09,48006
48,7,5,3,60.0,2,40.0,48007
48,8,11,9,81.82,2,18.18,48008
48,9,17,13,76.47,4,23.53,48009
48,10,11,10,90.91,1,9.09,48010
48,11,8,5,62.5,3,37.5,48011
48,12,7,7,,0,,48012
48,13,13,10,76.92,3,23.08,48013
48,14,22,12,54.55,10,45.45,48014
48,15,2,2,,0,,48015
48,16,14,8,57.14,6,42.86,48016
48,17,13,10,76.92,3,23.08,48017
48,18,7,6,85.71,1,14.29,48018
48,19,8,8,,0,,48019
48,20,4,3,75.0,1,25.0,48020
48,21,4,3,75.0,1,25.0,48021
48,22,41,32,78.05,9,21.95,48022
48,23,24,21,87.5,3,12.5,48023
48,24,11,8,72.73,3,27.27,48024
48,25,15,10,66.67,5,33.33,48025
48,26,18,15,83.33,3,16.67,48026
48,27,14,12,85.71,2,14.29,48027
48,28,13,9,69.23,4,30.77,48028
48,29,12,7,58.33,5,41.67,48029
48,30,10,10,,0,,48030
48,31,12,8,66.67,4,33.33,48031
48,32,6,4,66.67,2,33.33,48032
48,33,15,14,93.33,1,6.67,48033
48,34,5,4,80.0,1,20.0,48034
48,35,12,9,75.0,3,25.0,48035
48,36,16,12,75.0,4,25.0,48036
48,37,7,6,85.71,1,14.29,48037
48,38,11,10,90.91,1,9.09,48038
48,39,17,15,88.24,2,11.76,48039
48,40,8,4,50.0,4,50.0,48040
48,41,13,12,92.31,1,7.69,48041
48,42,4,3,75.0,1,25.0,48042
48,43,11,11,,0,,48043
48,44,6,2,33.33,4,66.67,48044
48,45,10,8,80.0,2,20.0,48045
48,46,13,10,76.92,3,23.08,48046
48,47,3,2,66.67,1,33.33,48047
48,48,14,13,92.86,1,7.14,48048
48,49,1,0,,1,,48049
48,50,14,8,57.14,6,42.86,48050
48,51,20,16,80.0,4,20.0,48051
48,52,7,6,85.71,1,14.29,48052
48,53,23,13,56.52,10,43.48,48053
48,54,8,4,50.0,4,50.0,48054
48,55,14,9,64.29,5,35.71,48055
48,56,6,4,66.67,2,33.33,48056
49,1,1,0,,1,,49001
49,2,24,23,95.83,1,4.17,49002
49,3,2,2,,0,,49003
49,4,6,6,,0,,49004
49,5,7,5,71.43,2,28.57,49005
49,6,8,7,87.5,1,12.5,49006
49,7,4,3,75.0,1,25.0,49007
49,8,13,8,61.54,5,38.46,49008
49,9,11,8,72.73,3,27.27,49009
49,10,11,10,90.91,1,9.09,49010
49,11,9,8,88.89,1,11.11,49011
49,12,8,8,,0,,49012
49,13,15,12,80.0,3,20.0,49013
49,14,11,8,72.73,3,27.27,49014
49,15,6,6,,0,,49015
49,16,11,8,72.73,3,27.27,49016
49,17,1,1,,0,,49017
49,18,7,5,71.43,2,28.57,49018
49,19,3,3,,0,,49019
49,20,9,6,66.67,3,33.33,49020
49,21,3,2,66.67,1,33.33,49021
49,22,12,10,83.33,2,16.67,49022
49,23,6,4,66.67,2,33.33,49023
49,24,10,9,90.0,1,10.0,49024
49,25,5,5,,0,,49025
49,26,12,9,75.0,3,25.0,49026
49,27,7,5,71.43,2,28.57,49027
49,28,5,5,,0,,49028
49,29,1,1,,0,,49029
49,30,2,2,,0,,49030
49,31,5,3,60.0,2,40.0,49031
49,32,4,2,50.0,2,50.0,49032
49,33,5,5,,0,,49033
49,34,4,4,,0,,49034
49,35,11,8,72.73,3,27.27,49035
49,36,15,10,66.67,5,33.33,49036
49,37,10,10,,0,,49037
49,38,1,1,,0,,49038
49,39,4,2,50.0,2,50.0,49039
49,40,14,11,78.57,3,21.43,49040
49,41,3,3,,0,,49041
49,42,5,3,60.0,2,40.0,49042
50,1,13,11,84.62,2,15.38,50001
50,2,9,8,88.89,1,11.11,50002
50,3,5,4,80.0,1,20.0,50003
50,4,13,11,84.62,2,15.38,50004
50,5,13,12,92.31,1,7.69,50005
50,6,9,8,88.89,1,11.11,50006
50,7,12,9,75.0,3,25.0,50007
50,8,9,7,77.78,2,22.22,50008
50,9,10,9,90.0,1,10.0,50009
50,10,8,6,75.0,2,25.0,50010
50,11,7,4,57.14,3,42.86,50011
50,12,7,5,71.43,2,28.57,50012
50,13,6,5,83.33,1,16.67,50013
50,14,4,4,,0,,50014
50,15,14,12,85.71,2,14.29,50015
50,16,10,9,90.0,1,10.0,50016
50,17,16,12,75.0,4,25.0,50017
50,18,10,9,90.0,1,10.0,50018
50,19,11,9,81.82,2,18.18,50019
50,20,14,12,85.71,2,14.29,50020
50,21,14,10,71.43,4,28.57,50021
50,22,11,9,81.82,2,18.18,50022
50,23,3,2,66.67,1,33.33,50023
50,24,16,14,87.5,2,12.5,50024
50,25,13,9,69.23,4,30.77,50025
50,26,7,4,57.14,3,42.86,50026
50,27,5,4,80.0,1,20.0,50027
50,28,18,18,,0,,50028
50,29,14,11,78.57,3,21.43,50029
50,30,10,9,90.0,1,10.0,50030
50,31,3,3,,0,,50031
50,32,9,6,66.67,3,33.33,50032
50,33,4,4,,0,,50033
50,34,5,3,60.0,2,40.0,50034
50,35,13,10,76.92,3,23.08,50035
50,36,18,16,88.89,2,11.11,50036
50,37,21,18,85.71,3,14.29,50037
50,38,10,10,,0,,50038
50,39,9,5,55.56,4,44.44,50039
50,40,23,19,82.61,4,17.39,50040
50,41,13,8,61.54,5,38.46,50041
50,42,7,7,,0,,50042
50,43,11,8,72.73,3,27.27,50043
