ward,precinct,total,Peter N. Silvestri,Peter N. Silvestri Percent,Daniel S. Kollman,Daniel S. Kollman Percent,precinct_id
41,47,36,29,80.56,7,19.44,41047
41,48,18,11,61.11,7,38.89,41048
41,49,69,60,86.96,9,13.04,41049
41,50,37,34,91.89,3,8.11,41050
41,51,33,29,87.88,4,12.12,41051
41,52,53,42,79.25,11,20.75,41052
41,53,31,26,83.87,5,16.13,41053
41,54,28,25,89.29,3,10.71,41054
41,55,70,64,91.43,6,8.57,41055
41,56,45,41,91.11,4,8.89,41056
41,57,13,11,84.62,2,15.38,41057
45,2,25,20,80.0,5,20.0,45002
45,3,13,9,69.23,4,30.77,45003
45,4,3,1,33.33,2,66.67,45004
45,5,12,10,83.33,2,16.67,45005
45,6,15,10,66.67,5,33.33,45006
45,8,15,10,66.67,5,33.33,45008
45,9,25,20,80.0,5,20.0,45009
45,11,24,19,79.17,5,20.83,45011
45,13,15,8,53.33,7,46.67,45013
45,15,21,17,80.95,4,19.05,45015
45,17,8,5,62.5,3,37.5,45017
45,18,18,7,38.89,11,61.11,45018
45,19,17,13,76.47,4,23.53,45019
45,21,28,24,85.71,4,14.29,45021
45,22,31,24,77.42,7,22.58,45022
45,23,25,17,68.0,8,32.0,45023
45,24,36,28,77.78,8,22.22,45024
45,26,6,5,83.33,1,16.67,45026
45,27,23,14,60.87,9,39.13,45027
45,30,27,21,77.78,6,22.22,45030
45,32,9,8,88.89,1,11.11,45032
45,33,29,25,86.21,4,13.79,45033
45,34,9,7,77.78,2,22.22,45034
45,35,39,27,69.23,12,30.77,45035
45,36,16,11,68.75,5,31.25,45036
45,37,19,13,68.42,6,31.58,45037
45,38,9,4,44.44,5,55.56,45038
45,39,19,14,73.68,5,26.32,45039
45,40,15,9,60.0,6,40.0,45040
45,41,13,9,69.23,4,30.77,45041
45,42,12,8,66.67,4,33.33,45042
45,43,20,16,80.0,4,20.0,45043
45,44,26,22,84.62,4,15.38,45044
45,45,11,8,72.73,3,27.27,45045
45,49,30,27,90.0,3,10.0,45049
45,51,37,24,64.86,13,35.14,45051
45,52,13,9,69.23,4,30.77,45052
