ward,precinct,total,Raymond G. Wardingley,Raymond G. Wardingley Percent,Arthur J. Jones,Arthur J. Jones Percent,precinct_id
19,59,33,30,90.91,3,9.09,19059
19,61,10,10,,0,,19061
19,62,11,9,81.82,2,18.18,19062
19,63,8,7,87.5,1,12.5,19063
19,64,11,7,63.64,4,36.36,19064
19,65,7,4,57.14,3,42.86,19065
19,67,9,6,66.67,3,33.33,19067
20,41,1,1,,0,,20041
23,1,23,19,82.61,4,17.39,23001
23,2,4,1,25.0,3,75.0,23002
23,3,23,17,73.91,6,26.09,23003
23,4,16,9,56.25,7,43.75,23004
23,5,12,8,66.67,4,33.33,23005
23,6,11,7,63.64,4,36.36,23006
23,8,18,11,61.11,7,38.89,23008
23,10,10,6,60.0,4,40.0,23010
23,11,13,7,53.85,6,46.15,23011
23,12,21,17,80.95,4,19.05,23012
23,13,12,8,66.67,4,33.33,23013
23,15,13,11,84.62,2,15.38,23015
23,16,20,15,75.0,5,25.0,23016
23,17,20,16,80.0,4,20.0,23017
23,18,12,7,58.33,5,41.67,23018
23,19,16,11,68.75,5,31.25,23019
23,20,11,5,45.45,6,54.55,23020
23,22,10,7,70.0,3,30.0,23022
23,23,14,11,78.57,3,21.43,23023
23,25,8,5,62.5,3,37.5,23025
23,26,23,17,73.91,6,26.09,23026
23,27,12,9,75.0,3,25.0,23027
23,28,12,9,75.0,3,25.0,23028
23,30,10,8,80.0,2,20.0,23030
23,31,8,4,50.0,4,50.0,23031
23,32,13,11,84.62,2,15.38,23032
23,33,5,3,60.0,2,40.0,23033
23,34,9,7,77.78,2,22.22,23034
23,35,2,1,50.0,1,50.0,23035
23,36,21,13,61.9,8,38.1,23036
23,37,4,1,25.0,3,75.0,23037
23,38,4,3,75.0,1,25.0,23038
23,39,19,10,52.63,9,47.37,23039
23,40,24,22,91.67,2,8.33,23040
23,41,10,8,80.0,2,20.0,23041
23,42,7,4,57.14,3,42.86,23042
23,43,24,15,62.5,9,37.5,23043
23,44,9,6,66.67,3,33.33,23044
23,45,20,13,65.0,7,35.0,23045
23,46,5,4,80.0,1,20.0,23046
23,47,17,12,70.59,5,29.41,23047
23,48,8,6,75.0,2,25.0,23048
23,49,17,12,70.59,5,29.41,23049
23,50,7,4,57.14,3,42.86,23050
23,51,9,4,44.44,5,55.56,23051
23,52,12,7,58.33,5,41.67,23052
23,53,3,2,66.67,1,33.33,23053
23,54,18,11,61.11,7,38.89,23054
23,55,14,10,71.43,4,28.57,23055
23,56,18,14,77.78,4,22.22,23056
