ward,precinct,total,Sargis Sangari,Sargis Sangari Percent,John D. Elleson,John D. Elleson Percent,Maxwell Rice,Maxwell Rice Percent,D. Vincent Thomas Jr.,D. Vincent Thomas Jr. Percent,precinct_id
46,15,18,4,22.22,10,55.56,1,5.56,3,16.67,46015
46,16,2,1,50.0,0,0.0,1,50.0,0,0.0,46016
46,17,22,7,31.82,5,22.73,6,27.27,4,18.18,46017
46,18,32,8,25.0,11,34.38,6,18.75,7,21.88,46018
46,20,13,3,23.08,5,38.46,2,15.38,3,23.08,46020
46,21,6,3,50.0,2,33.33,1,16.67,0,0.0,46021
46,22,10,5,50.0,2,20.0,1,10.0,2,20.0,46022
46,23,8,1,12.5,3,37.5,3,37.5,1,12.5,46023
46,24,18,6,33.33,8,44.44,1,5.56,3,16.67,46024
46,25,8,4,50.0,3,37.5,1,12.5,0,0.0,46025
46,26,10,3,30.0,5,50.0,1,10.0,1,10.0,46026
46,27,20,4,20.0,6,30.0,6,30.0,4,20.0,46027
46,29,16,4,25.0,5,31.25,3,18.75,4,25.0,46029
46,32,15,4,26.67,5,33.33,4,26.67,2,13.33,46032
46,34,9,4,44.44,2,22.22,1,11.11,2,22.22,46034
46,35,16,4,25.0,7,43.75,2,12.5,3,18.75,46035
46,37,7,1,14.29,3,42.86,2,28.57,1,14.29,46037
46,38,4,1,25.0,1,25.0,0,0.0,2,50.0,46038
46,40,9,3,33.33,0,0.0,1,11.11,5,55.56,46040
47,15,14,2,14.29,7,50.0,2,14.29,3,21.43,47015
47,19,9,4,44.44,0,0.0,1,11.11,4,44.44,47019
47,23,7,1,14.29,2,28.57,0,0.0,4,57.14,47023
47,30,9,2,22.22,6,66.67,0,0.0,1,11.11,47030
48,1,7,5,71.43,2,28.57,0,0.0,0,0.0,48001
48,2,12,5,41.67,6,50.0,1,8.33,0,0.0,48002
48,3,9,2,22.22,4,44.44,1,11.11,2,22.22,48003
48,4,4,3,75.0,0,0.0,0,0.0,1,25.0,48004
48,5,13,5,38.46,6,46.15,0,0.0,2,15.38,48005
48,6,22,12,54.55,6,27.27,4,18.18,0,0.0,48006
48,7,5,0,0.0,3,60.0,2,40.0,0,0.0,48007
48,8,21,7,33.33,7,33.33,1,4.76,6,28.57,48008
48,9,31,10,32.26,9,29.03,6,19.35,6,19.35,48009
48,10,11,3,27.27,5,45.45,2,18.18,1,9.09,48010
48,11,8,3,37.5,0,0.0,3,37.5,2,25.0,48011
48,12,15,4,26.67,7,46.67,2,13.33,2,13.33,48012
48,13,29,8,27.59,13,44.83,3,10.34,5,17.24,48013
48,14,20,6,30.0,8,40.0,2,10.0,4,20.0,48014
48,15,10,5,50.0,2,20.0,1,10.0,2,20.0,48015
48,16,11,4,36.36,4,36.36,1,9.09,2,18.18,48016
48,17,17,8,47.06,2,11.76,2,11.76,5,29.41,48017
48,18,18,3,16.67,9,50.0,1,5.56,5,27.78,48018
48,19,8,3,37.5,3,37.5,1,12.5,1,12.5,48019
48,20,13,4,30.77,8,61.54,1,7.69,0,0.0,48020
48,21,18,5,27.78,6,33.33,2,11.11,5,27.78,48021
48,22,28,8,28.57,13,46.43,4,14.29,3,10.71,48022
48,23,46,18,39.13,14,30.43,6,13.04,8,17.39,48023
48,24,33,9,27.27,11,33.33,3,9.09,10,30.3,48024
48,25,9,3,33.33,6,66.67,0,0.0,0,0.0,48025
48,26,5,2,40.0,2,40.0,0,0.0,1,20.0,48026
48,27,14,4,28.57,4,28.57,3,21.43,3,21.43,48027
48,28,49,20,40.82,20,40.82,5,10.2,4,8.16,48028
48,29,9,1,11.11,5,55.56,1,11.11,2,22.22,48029
48,30,7,0,0.0,4,57.14,1,14.29,2,28.57,48030
48,31,19,4,21.05,10,52.63,3,15.79,2,10.53,48031
48,32,11,3,27.27,3,27.27,3,27.27,2,18.18,48032
48,33,17,4,23.53,9,52.94,1,5.88,3,17.65,48033
48,34,7,0,0.0,2,28.57,1,14.29,4,57.14,48034
48,35,23,4,17.39,8,34.78,4,17.39,7,30.43,48035
48,36,16,4,25.0,4,25.0,5,31.25,3,18.75,48036
48,37,8,2,25.0,3,37.5,0,0.0,3,37.5,48037
48,38,19,3,15.79,11,57.89,1,5.26,4,21.05,48038
48,39,18,4,22.22,10,55.56,2,11.11,2,11.11,48039
48,40,11,1,9.09,5,45.45,2,18.18,3,27.27,48040
48,41,16,7,43.75,2,12.5,5,31.25,2,12.5,48041
48,42,7,1,14.29,3,42.86,0,0.0,3,42.86,48042
48,43,13,4,30.77,4,30.77,4,30.77,1,7.69,48043
48,44,13,3,23.08,5,38.46,1,7.69,4,30.77,48044
48,45,9,1,11.11,6,66.67,1,11.11,1,11.11,48045
48,46,13,7,53.85,3,23.08,1,7.69,2,15.38,48046
49,1,5,0,0.0,1,20.0,2,40.0,2,40.0,49001
49,2,7,1,14.29,3,42.86,2,28.57,1,14.29,49002
49,3,9,4,44.44,4,44.44,1,11.11,0,0.0,49003
49,4,7,4,57.14,1,14.29,2,28.57,0,0.0,49004
49,5,17,8,47.06,5,29.41,2,11.76,2,11.76,49005
49,6,12,1,8.33,3,25.0,3,25.0,5,41.67,49006
49,7,21,8,38.1,8,38.1,3,14.29,2,9.52,49007
49,8,8,4,50.0,3,37.5,1,12.5,0,0.0,49008
49,9,8,4,50.0,1,12.5,2,25.0,1,12.5,49009
49,10,22,2,9.09,12,54.55,4,18.18,4,18.18,49010
49,11,11,7,63.64,1,9.09,1,9.09,2,18.18,49011
49,12,6,2,33.33,2,33.33,0,0.0,2,33.33,49012
49,13,18,4,22.22,7,38.89,5,27.78,2,11.11,49013
49,14,20,8,40.0,9,45.0,3,15.0,0,0.0,49014
49,15,11,2,18.18,2,18.18,4,36.36,3,27.27,49015
49,16,23,6,26.09,6,26.09,4,17.39,7,30.43,49016
49,17,12,0,0.0,3,25.0,3,25.0,6,50.0,49017
49,18,12,5,41.67,4,33.33,1,8.33,2,16.67,49018
49,19,6,2,33.33,2,33.33,2,33.33,0,0.0,49019
49,20,15,5,33.33,5,33.33,2,13.33,3,20.0,49020
49,21,8,4,50.0,2,25.0,0,0.0,2,25.0,49021
49,22,16,1,6.25,10,62.5,2,12.5,3,18.75,49022
49,23,12,5,41.67,4,33.33,1,8.33,2,16.67,49023
49,24,8,0,0.0,4,50.0,1,12.5,3,37.5,49024
49,25,18,9,50.0,3,16.67,4,22.22,2,11.11,49025
49,26,29,10,34.48,14,48.28,3,10.34,2,6.9,49026
49,27,8,4,50.0,2,25.0,2,25.0,0,0.0,49027
49,28,19,5,26.32,6,31.58,5,26.32,3,15.79,49028
49,29,12,3,25.0,8,66.67,1,8.33,0,0.0,49029
49,30,14,6,42.86,5,35.71,3,21.43,0,0.0,49030
49,31,10,4,40.0,4,40.0,1,10.0,1,10.0,49031
49,32,11,3,27.27,5,45.45,2,18.18,1,9.09,49032
49,33,8,2,25.0,3,37.5,2,25.0,1,12.5,49033
50,1,27,12,44.44,5,18.52,7,25.93,3,11.11,50001
50,2,16,6,37.5,3,18.75,4,25.0,3,18.75,50002
50,3,17,6,35.29,3,17.65,3,17.65,5,29.41,50003
50,4,22,4,18.18,9,40.91,2,9.09,7,31.82,50004
50,5,35,11,31.43,13,37.14,3,8.57,8,22.86,50005
50,6,20,4,20.0,11,55.0,2,10.0,3,15.0,50006
50,7,21,6,28.57,8,38.1,3,14.29,4,19.05,50007
50,8,8,2,25.0,5,62.5,0,0.0,1,12.5,50008
50,9,16,7,43.75,6,37.5,2,12.5,1,6.25,50009
50,10,14,6,42.86,4,28.57,3,21.43,1,7.14,50010
50,11,11,6,54.55,4,36.36,0,0.0,1,9.09,50011
50,12,15,6,40.0,4,26.67,1,6.67,4,26.67,50012
50,13,9,1,11.11,6,66.67,0,0.0,2,22.22,50013
50,14,12,1,8.33,3,25.0,5,41.67,3,25.0,50014
50,15,18,5,27.78,8,44.44,2,11.11,3,16.67,50015
50,16,17,3,17.65,8,47.06,3,17.65,3,17.65,50016
50,17,25,13,52.0,7,28.0,3,12.0,2,8.0,50017
50,18,5,2,40.0,2,40.0,1,20.0,0,0.0,50018
50,19,12,7,58.33,1,8.33,2,16.67,2,16.67,50019
50,20,22,3,13.64,10,45.45,2,9.09,7,31.82,50020
50,21,16,8,50.0,4,25.0,2,12.5,2,12.5,50021
50,22,14,6,42.86,5,35.71,0,0.0,3,21.43,50022
50,23,18,5,27.78,6,33.33,2,11.11,5,27.78,50023
50,25,28,10,35.71,12,42.86,4,14.29,2,7.14,50025
50,26,20,4,20.0,10,50.0,2,10.0,4,20.0,50026
50,27,10,1,10.0,3,30.0,3,30.0,3,30.0,50027
50,28,53,36,67.92,8,15.09,6,11.32,3,5.66,50028
50,29,18,5,27.78,9,50.0,1,5.56,3,16.67,50029
50,30,7,1,14.29,1,14.29,2,28.57,3,42.86,50030
50,31,7,2,28.57,2,28.57,1,14.29,2,28.57,50031
50,32,8,2,25.0,2,25.0,2,25.0,2,25.0,50032
50,33,29,8,27.59,12,41.38,5,17.24,4,13.79,50033
50,34,33,9,27.27,17,51.52,4,12.12,3,9.09,50034
50,35,15,8,53.33,4,26.67,1,6.67,2,13.33,50035
50,36,27,8,29.63,8,29.63,4,14.81,7,25.93,50036
50,37,25,14,56.0,6,24.0,2,8.0,3,12.0,50037
50,38,16,7,43.75,5,31.25,3,18.75,1,6.25,50038
50,39,24,7,29.17,10,41.67,7,29.17,0,0.0,50039
50,40,20,6,30.0,7,35.0,3,15.0,4,20.0,50040
