ward,precinct,total,Arthur J. Jones,Arthur J. Jones Percent,precinct_id
16,7,0,0,0.0,16007
16,23,6,6,100.0,16023
16,32,3,3,100.0,16032
16,35,1,1,100.0,16035
18,15,1,1,100.0,18015
18,24,17,17,100.0,18024
18,25,12,12,100.0,18025
18,30,18,18,100.0,18030
18,40,10,10,100.0,18040
18,43,13,13,100.0,18043
18,46,11,11,100.0,18046
19,1,28,28,100.0,19001
19,2,3,3,100.0,19002
19,3,43,43,100.0,19003
19,4,37,37,100.0,19004
19,5,10,10,100.0,19005
19,6,46,46,100.0,19006
19,7,17,17,100.0,19007
19,8,50,50,100.0,19008
19,9,22,22,100.0,19009
19,10,11,11,100.0,19010
19,11,33,33,100.0,19011
19,12,39,39,100.0,19012
19,15,52,52,100.0,19015
19,16,47,47,100.0,19016
19,17,24,24,100.0,19017
19,18,19,19,100.0,19018
19,19,22,22,100.0,19019
19,21,46,46,100.0,19021
19,22,15,15,100.0,19022
19,23,23,23,100.0,19023
19,24,35,35,100.0,19024
19,25,16,16,100.0,19025
19,26,39,39,100.0,19026
19,29,37,37,100.0,19029
19,30,41,41,100.0,19030
19,32,28,28,100.0,19032
19,33,55,55,100.0,19033
19,34,24,24,100.0,19034
19,35,19,19,100.0,19035
19,41,41,41,100.0,19041
19,44,34,34,100.0,19044
19,45,33,33,100.0,19045
19,46,34,34,100.0,19046
19,50,19,19,100.0,19050
19,51,24,24,100.0,19051
19,52,50,50,100.0,19052
19,53,21,21,100.0,19053
19,54,49,49,100.0,19054
19,55,31,31,100.0,19055
19,56,35,35,100.0,19056
19,57,6,6,100.0,19057
20,4,1,1,100.0,20004
20,15,3,3,100.0,20015
20,20,0,0,0.0,20020
22,1,1,1,100.0,22001
22,2,15,15,100.0,22002
22,8,14,14,100.0,22008
22,12,14,14,100.0,22012
22,23,1,1,100.0,22023
23,1,30,30,100.0,23001
23,2,25,25,100.0,23002
23,3,19,19,100.0,23003
23,4,23,23,100.0,23004
23,5,8,8,100.0,23005
23,6,8,8,100.0,23006
23,7,8,8,100.0,23007
23,8,11,11,100.0,23008
23,9,6,6,100.0,23009
23,10,5,5,100.0,23010
23,11,7,7,100.0,23011
23,12,22,22,100.0,23012
23,14,19,19,100.0,23014
23,15,7,7,100.0,23015
23,16,17,17,100.0,23016
23,17,0,0,0.0,23017
23,18,21,21,100.0,23018
23,19,3,3,100.0,23019
23,20,11,11,100.0,23020
23,21,27,27,100.0,23021
23,22,24,24,100.0,23022
23,23,26,26,100.0,23023
23,25,10,10,100.0,23025
23,26,8,8,100.0,23026
23,27,25,25,100.0,23027
23,28,23,23,100.0,23028
23,29,13,13,100.0,23029
23,30,10,10,100.0,23030
23,31,9,9,100.0,23031
23,32,8,8,100.0,23032
23,33,11,11,100.0,23033
23,34,6,6,100.0,23034
23,35,26,26,100.0,23035
23,36,29,29,100.0,23036
23,37,21,21,100.0,23037
23,38,24,24,100.0,23038
23,39,0,0,0.0,23039
