ward,precinct,total,Ashvin Lad,Ashvin Lad Percent,precinct_id
45,29,37,8,21.62,45029
45,30,30,3,10.0,45030
45,31,22,4,18.18,45031
45,32,22,7,31.82,45032
45,33,54,10,18.52,45033
45,34,19,4,21.05,45034
45,35,34,14,41.18,45035
45,36,50,16,32.0,45036
45,37,16,5,31.25,45037
45,38,26,11,42.31,45038
45,39,26,5,19.23,45039
45,40,23,3,13.04,45040
45,41,10,3,30.0,45041
45,42,19,3,15.79,45042
45,43,23,7,30.43,45043
45,44,30,10,33.33,45044
45,45,27,5,18.52,45045
45,46,35,11,31.43,45046
45,47,33,6,18.18,45047
45,48,26,8,30.77,45048
45,49,39,11,28.21,45049
45,50,30,2,6.67,45050
45,51,37,7,18.92,45051
45,52,26,6,23.08,45052
45,53,29,6,20.69,45053
46,3,13,8,61.54,46003
46,5,6,2,33.33,46005
46,13,37,6,16.22,46013
46,17,36,8,22.22,46017
46,18,27,10,37.04,46018
46,24,15,5,33.33,46024
46,29,27,2,7.41,46029
46,31,22,12,54.55,46031
46,36,18,9,50.0,46036
46,37,11,3,27.27,46037
46,43,18,9,50.0,46043
46,44,9,3,33.33,46044
47,1,17,1,5.88,47001
47,2,9,4,44.44,47002
47,3,13,6,46.15,47003
47,4,15,6,40.0,47004
47,5,30,14,46.67,47005
47,6,29,13,44.83,47006
47,7,15,6,40.0,47007
47,8,21,7,33.33,47008
47,9,12,1,8.33,47009
47,10,10,1,10.0,47010
47,11,21,5,23.81,47011
47,12,24,7,29.17,47012
47,13,17,4,23.53,47013
47,14,9,2,22.22,47014
47,15,17,5,29.41,47015
47,16,14,4,28.57,47016
47,17,27,4,14.81,47017
47,18,17,9,52.94,47018
47,19,11,5,45.45,47019
47,20,18,9,50.0,47020
47,21,22,3,13.64,47021
47,22,13,3,23.08,47022
47,23,10,4,40.0,47023
47,24,22,14,63.64,47024
47,25,21,7,33.33,47025
47,26,15,3,20.0,47026
47,27,16,7,43.75,47027
47,28,20,6,30.0,47028
47,29,24,4,16.67,47029
47,30,23,6,26.09,47030
47,31,9,4,44.44,47031
47,32,17,7,41.18,47032
47,33,11,4,36.36,47033
47,34,22,10,45.45,47034
47,35,19,7,36.84,47035
47,36,26,11,42.31,47036
47,37,20,10,50.0,47037
47,38,21,7,33.33,47038
47,39,21,6,28.57,47039
47,40,15,8,53.33,47040
47,41,15,5,33.33,47041
47,42,13,7,53.85,47042
47,43,19,5,26.32,47043
47,44,26,7,26.92,47044
47,45,14,3,21.43,47045
47,46,19,6,31.58,47046
47,47,17,5,29.41,47047
47,48,3,0,0.0,47048
47,49,18,4,22.22,47049
47,50,17,7,41.18,47050
47,51,10,1,10.0,47051
47,52,7,3,42.86,47052
50,44,13,4,30.77,50044
50,45,15,3,20.0,50045
