ward,precinct,total,Stefanie Linares,Stefanie Linares Percent,precinct_id
47,24,13,13,100.0,47024
47,25,10,10,100.0,47025
47,27,17,17,100.0,47027
47,28,1,1,100.0,47028
47,29,22,22,100.0,47029
47,33,13,13,100.0,47033
47,35,25,25,100.0,47035
47,39,13,13,100.0,47039
47,40,20,20,100.0,47040
47,41,2,2,100.0,47041
47,43,19,19,100.0,47043
47,44,23,23,100.0,47044
47,46,20,20,100.0,47046
47,47,21,21,100.0,47047
47,48,0,0,0.0,47048
