ward,precinct,total,Hector Concepcion,Hector Concepcion Percent,precinct_id
26,34,12,12,100.0,26034
26,35,2,2,100.0,26035
26,36,0,0,0.0,26036
26,37,3,3,100.0,26037
26,38,4,4,100.0,26038
26,39,0,0,0.0,26039
26,40,2,2,100.0,26040
26,41,4,4,100.0,26041
26,42,4,4,100.0,26042
26,43,1,1,100.0,26043
26,44,0,0,0.0,26044
26,45,0,0,0.0,26045
26,47,3,3,100.0,26047
26,48,5,5,100.0,26048
26,49,1,1,100.0,26049
28,19,2,2,100.0,28019
29,1,2,2,100.0,29001
29,9,21,21,100.0,29009
29,23,13,13,100.0,29023
29,30,11,11,100.0,29030
29,38,23,23,100.0,29038
29,39,22,22,100.0,29039
29,43,3,3,100.0,29043
30,1,28,28,100.0,30001
30,2,13,13,100.0,30002
30,3,11,11,100.0,30003
30,4,15,15,100.0,30004
30,5,0,0,0.0,30005
30,6,10,10,100.0,30006
30,7,19,19,100.0,30007
30,8,13,13,100.0,30008
30,9,17,17,100.0,30009
30,10,17,17,100.0,30010
30,11,8,8,100.0,30011
30,12,21,21,100.0,30012
30,13,13,13,100.0,30013
30,14,11,11,100.0,30014
30,15,3,3,100.0,30015
30,16,9,9,100.0,30016
30,17,5,5,100.0,30017
30,18,5,5,100.0,30018
30,19,7,7,100.0,30019
30,20,10,10,100.0,30020
30,22,6,6,100.0,30022
30,23,7,7,100.0,30023
30,24,11,11,100.0,30024
30,25,21,21,100.0,30025
30,26,8,8,100.0,30026
30,27,9,9,100.0,30027
30,28,9,9,100.0,30028
30,29,10,10,100.0,30029
30,30,2,2,100.0,30030
30,31,7,7,100.0,30031
30,32,7,7,100.0,30032
31,1,4,4,100.0,31001
31,2,2,2,100.0,31002
31,3,20,20,100.0,31003
31,4,4,4,100.0,31004
31,5,8,8,100.0,31005
31,6,4,4,100.0,31006
31,7,0,0,0.0,31007
31,8,4,4,100.0,31008
31,9,7,7,100.0,31009
31,10,6,6,100.0,31010
31,11,4,4,100.0,31011
31,12,8,8,100.0,31012
31,13,4,4,100.0,31013
31,14,7,7,100.0,31014
31,15,7,7,100.0,31015
31,16,5,5,100.0,31016
31,17,8,8,100.0,31017
31,18,6,6,100.0,31018
31,19,8,8,100.0,31019
31,20,4,4,100.0,31020
31,21,4,4,100.0,31021
31,22,3,3,100.0,31022
31,23,8,8,100.0,31023
31,24,6,6,100.0,31024
31,25,5,5,100.0,31025
31,26,6,6,100.0,31026
31,27,5,5,100.0,31027
31,28,9,9,100.0,31028
31,29,7,7,100.0,31029
31,30,8,8,100.0,31030
31,31,0,0,0.0,31031
31,32,7,7,100.0,31032
31,33,6,6,100.0,31033
31,34,10,10,100.0,31034
31,35,7,7,100.0,31035
31,36,5,5,100.0,31036
31,37,5,5,100.0,31037
31,38,3,3,100.0,31038
31,39,1,1,100.0,31039
31,40,3,3,100.0,31040
31,41,3,3,100.0,31041
32,3,14,14,100.0,32003
32,11,10,10,100.0,32011
32,12,9,9,100.0,32012
32,14,9,9,100.0,32014
32,16,2,2,100.0,32016
32,17,11,11,100.0,32017
32,20,5,5,100.0,32020
32,22,13,13,100.0,32022
32,26,3,3,100.0,32026
32,28,6,6,100.0,32028
32,43,6,6,100.0,32043
33,1,12,12,100.0,33001
33,3,17,17,100.0,33003
33,4,16,16,100.0,33004
33,6,12,12,100.0,33006
33,7,4,4,100.0,33007
33,8,5,5,100.0,33008
33,9,17,17,100.0,33009
33,10,19,19,100.0,33010
33,11,14,14,100.0,33011
33,12,22,22,100.0,33012
33,13,7,7,100.0,33013
33,14,3,3,100.0,33014
33,15,14,14,100.0,33015
33,16,35,35,100.0,33016
33,17,16,16,100.0,33017
33,19,11,11,100.0,33019
33,20,13,13,100.0,33020
33,21,17,17,100.0,33021
33,22,8,8,100.0,33022
33,23,15,15,100.0,33023
33,25,22,22,100.0,33025
33,26,7,7,100.0,33026
33,27,13,13,100.0,33027
33,28,12,12,100.0,33028
35,1,16,16,100.0,35001
35,2,16,16,100.0,35002
35,3,4,4,100.0,35003
35,4,19,19,100.0,35004
35,5,9,9,100.0,35005
35,6,9,9,100.0,35006
35,7,5,5,100.0,35007
35,8,5,5,100.0,35008
35,9,15,15,100.0,35009
35,10,10,10,100.0,35010
35,11,6,6,100.0,35011
35,12,1,1,100.0,35012
35,13,4,4,100.0,35013
35,14,4,4,100.0,35014
35,15,6,6,100.0,35015
35,16,10,10,100.0,35016
35,17,12,12,100.0,35017
35,18,7,7,100.0,35018
35,19,5,5,100.0,35019
35,20,3,3,100.0,35020
35,21,12,12,100.0,35021
35,22,13,13,100.0,35022
35,23,10,10,100.0,35023
35,24,13,13,100.0,35024
35,25,9,9,100.0,35025
35,26,16,16,100.0,35026
35,27,11,11,100.0,35027
35,28,9,9,100.0,35028
35,29,6,6,100.0,35029
35,30,11,11,100.0,35030
35,31,21,21,100.0,35031
36,1,17,17,100.0,36001
36,2,11,11,100.0,36002
36,3,16,16,100.0,36003
36,4,9,9,100.0,36004
36,6,14,14,100.0,36006
36,8,2,2,100.0,36008
36,9,7,7,100.0,36009
36,10,12,12,100.0,36010
36,11,4,4,100.0,36011
36,12,5,5,100.0,36012
36,13,1,1,100.0,36013
36,16,3,3,100.0,36016
36,19,18,18,100.0,36019
36,20,9,9,100.0,36020
36,21,7,7,100.0,36021
36,22,5,5,100.0,36022
36,23,9,9,100.0,36023
36,24,3,3,100.0,36024
36,25,4,4,100.0,36025
36,27,21,21,100.0,36027
36,29,10,10,100.0,36029
37,26,0,0,0.0,37026
38,1,28,28,100.0,38001
38,35,14,14,100.0,38035
38,41,32,32,100.0,38041
39,6,0,0,0.0,39006
39,12,1,1,100.0,39012
39,25,2,2,100.0,39025
39,28,7,7,100.0,39028
39,31,16,16,100.0,39031
45,1,11,11,100.0,45001
45,2,14,14,100.0,45002
45,8,11,11,100.0,45008
45,9,21,21,100.0,45009
45,10,20,20,100.0,45010
