ward,precinct,total,Carol English,Carol English Percent,precinct_id
50,24,1,1,100.0,50024
50,25,0,0,0.0,50025
50,26,0,0,0.0,50026
50,27,0,0,0.0,50027
50,28,1,1,100.0,50028
50,29,0,0,0.0,50029
50,30,0,0,0.0,50030
50,31,3,3,100.0,50031
50,32,0,0,0.0,50032
50,33,0,0,0.0,50033
50,34,1,1,100.0,50034
50,35,1,1,100.0,50035
50,36,1,1,100.0,50036
50,37,2,2,100.0,50037
50,38,0,0,0.0,50038
50,39,0,0,0.0,50039
50,40,0,0,0.0,50040
50,41,0,0,0.0,50041
50,42,0,0,0.0,50042
50,43,0,0,0.0,50043
