ward,precinct,total,Michael A. Forti,Michael A. Forti Percent,precinct_id
42,31,571,571,100.0,42031
42,32,587,587,100.0,42032
42,33,571,571,100.0,42033
42,34,336,336,100.0,42034
42,35,625,625,100.0,42035
42,36,192,192,100.0,42036
42,37,362,362,100.0,42037
42,38,446,446,100.0,42038
42,39,889,889,100.0,42039
42,40,769,769,100.0,42040
42,42,894,894,100.0,42042
43,1,236,236,100.0,43001
43,2,495,495,100.0,43002
43,3,438,438,100.0,43003
43,4,570,570,100.0,43004
43,5,448,448,100.0,43005
43,6,400,400,100.0,43006
43,7,307,307,100.0,43007
43,8,349,349,100.0,43008
43,9,449,449,100.0,43009
43,10,571,571,100.0,43010
43,11,441,441,100.0,43011
43,12,306,306,100.0,43012
43,13,500,500,100.0,43013
43,14,459,459,100.0,43014
43,15,458,458,100.0,43015
43,16,690,690,100.0,43016
43,17,381,381,100.0,43017
43,18,529,529,100.0,43018
43,19,475,475,100.0,43019
43,20,599,599,100.0,43020
43,21,560,560,100.0,43021
43,22,347,347,100.0,43022
43,23,315,315,100.0,43023
43,24,338,338,100.0,43024
43,25,385,385,100.0,43025
43,26,280,280,100.0,43026
43,27,446,446,100.0,43027
43,28,607,607,100.0,43028
43,29,679,679,100.0,43029
43,30,501,501,100.0,43030
43,31,434,434,100.0,43031
43,32,509,509,100.0,43032
43,33,440,440,100.0,43033
43,34,314,314,100.0,43034
43,35,459,459,100.0,43035
43,36,324,324,100.0,43036
43,37,594,594,100.0,43037
43,38,311,311,100.0,43038
43,39,377,377,100.0,43039
43,40,374,374,100.0,43040
43,41,588,588,100.0,43041
43,42,450,450,100.0,43042
43,43,458,458,100.0,43043
43,44,462,462,100.0,43044
43,45,281,281,100.0,43045
43,46,300,300,100.0,43046
44,1,818,818,100.0,44001
44,2,532,532,100.0,44002
44,3,252,252,100.0,44003
44,4,404,404,100.0,44004
44,5,554,554,100.0,44005
44,6,712,712,100.0,44006
44,7,305,305,100.0,44007
44,8,755,755,100.0,44008
44,9,526,526,100.0,44009
44,10,593,593,100.0,44010
44,11,614,614,100.0,44011
44,12,564,564,100.0,44012
44,13,452,452,100.0,44013
44,14,508,508,100.0,44014
44,15,502,502,100.0,44015
44,16,612,612,100.0,44016
44,17,717,717,100.0,44017
44,18,595,595,100.0,44018
44,19,637,637,100.0,44019
44,20,702,702,100.0,44020
44,21,657,657,100.0,44021
44,22,511,511,100.0,44022
44,23,513,513,100.0,44023
44,24,362,362,100.0,44024
44,25,559,559,100.0,44025
44,26,723,723,100.0,44026
44,27,613,613,100.0,44027
44,28,600,600,100.0,44028
44,29,643,643,100.0,44029
44,30,664,664,100.0,44030
44,31,498,498,100.0,44031
44,32,622,622,100.0,44032
44,33,634,634,100.0,44033
44,34,586,586,100.0,44034
44,35,584,584,100.0,44035
44,36,634,634,100.0,44036
44,37,609,609,100.0,44037
44,38,653,653,100.0,44038
44,39,593,593,100.0,44039
44,40,527,527,100.0,44040
44,41,735,735,100.0,44041
46,1,377,377,100.0,46001
46,2,504,504,100.0,46002
46,3,569,569,100.0,46003
46,4,466,466,100.0,46004
46,5,690,690,100.0,46005
46,6,440,440,100.0,46006
46,7,462,462,100.0,46007
46,8,333,333,100.0,46008
46,9,568,568,100.0,46009
46,10,897,897,100.0,46010
46,11,481,481,100.0,46011
46,12,553,553,100.0,46012
46,13,534,534,100.0,46013
46,14,516,516,100.0,46014
46,15,526,526,100.0,46015
46,16,578,578,100.0,46016
46,17,537,537,100.0,46017
46,18,554,554,100.0,46018
46,19,329,329,100.0,46019
46,20,420,420,100.0,46020
46,21,368,368,100.0,46021
46,22,353,353,100.0,46022
46,23,478,478,100.0,46023
46,24,641,641,100.0,46024
46,25,487,487,100.0,46025
46,26,730,730,100.0,46026
46,27,674,674,100.0,46027
46,28,462,462,100.0,46028
46,29,396,396,100.0,46029
46,30,541,541,100.0,46030
46,31,539,539,100.0,46031
46,32,457,457,100.0,46032
46,33,517,517,100.0,46033
46,34,652,652,100.0,46034
46,35,559,559,100.0,46035
46,36,465,465,100.0,46036
46,37,387,387,100.0,46037
46,38,608,608,100.0,46038
46,39,441,441,100.0,46039
46,40,426,426,100.0,46040
47,9,159,159,100.0,47009
47,11,514,514,100.0,47011
47,15,629,629,100.0,47015
47,18,461,461,100.0,47018
47,19,835,835,100.0,47019
47,23,598,598,100.0,47023
47,24,537,537,100.0,47024
47,33,174,174,100.0,47033
47,41,564,564,100.0,47041
47,44,443,443,100.0,47044
48,1,494,494,100.0,48001
48,2,216,216,100.0,48002
48,3,537,537,100.0,48003
48,4,454,454,100.0,48004
48,5,249,249,100.0,48005
48,6,581,581,100.0,48006
48,7,528,528,100.0,48007
48,8,234,234,100.0,48008
48,9,299,299,100.0,48009
48,10,723,723,100.0,48010
48,11,392,392,100.0,48011
48,12,619,619,100.0,48012
48,14,204,204,100.0,48014
48,16,529,529,100.0,48016
48,17,411,411,100.0,48017
48,18,314,314,100.0,48018
48,19,349,349,100.0,48019
48,20,506,506,100.0,48020
48,21,609,609,100.0,48021
48,23,431,431,100.0,48023
48,24,514,514,100.0,48024
48,25,420,420,100.0,48025
48,26,226,226,100.0,48026
48,27,203,203,100.0,48027
48,28,504,504,100.0,48028
48,29,189,189,100.0,48029
48,30,421,421,100.0,48030
48,31,401,401,100.0,48031
48,32,199,199,100.0,48032
48,34,417,417,100.0,48034
48,35,274,274,100.0,48035
48,36,258,258,100.0,48036
48,37,510,510,100.0,48037
48,38,477,477,100.0,48038
48,39,346,346,100.0,48039
48,40,438,438,100.0,48040
48,41,655,655,100.0,48041
48,42,573,573,100.0,48042
48,43,598,598,100.0,48043
48,44,657,657,100.0,48044
48,45,365,365,100.0,48045
49,2,306,306,100.0,49002
49,17,368,368,100.0,49017
