ward,precinct,total,Jonathan Clark Green,Jonathan Clark Green Percent,precinct_id
27,38,479,479,100.0,27038
27,42,242,242,100.0,27042
27,46,320,320,100.0,27046
27,47,233,233,100.0,27047
27,48,671,671,100.0,27048
32,7,576,576,100.0,32007
32,8,637,637,100.0,32008
32,10,554,554,100.0,32010
32,13,197,197,100.0,32013
32,18,477,477,100.0,32018
32,23,517,517,100.0,32023
32,27,64,64,100.0,32027
32,39,540,540,100.0,32039
40,13,314,314,100.0,40013
40,21,144,144,100.0,40021
40,22,553,553,100.0,40022
40,23,553,553,100.0,40023
40,26,491,491,100.0,40026
40,28,124,124,100.0,40028
40,31,500,500,100.0,40031
40,32,495,495,100.0,40032
40,33,433,433,100.0,40033
40,36,391,391,100.0,40036
42,1,373,373,100.0,42001
42,2,624,624,100.0,42002
42,4,1144,1144,100.0,42004
42,5,378,378,100.0,42005
42,6,427,427,100.0,42006
42,7,559,559,100.0,42007
42,8,370,370,100.0,42008
42,9,655,655,100.0,42009
42,10,685,685,100.0,42010
42,11,289,289,100.0,42011
42,12,205,205,100.0,42012
42,13,341,341,100.0,42013
42,14,648,648,100.0,42014
42,15,616,616,100.0,42015
42,17,718,718,100.0,42017
42,18,2,2,100.0,42018
42,19,568,568,100.0,42019
42,20,567,567,100.0,42020
42,22,247,247,100.0,42022
42,23,484,484,100.0,42023
42,24,425,425,100.0,42024
42,25,513,513,100.0,42025
42,26,777,777,100.0,42026
42,27,309,309,100.0,42027
42,28,489,489,100.0,42028
42,29,561,561,100.0,42029
42,30,343,343,100.0,42030
42,31,565,565,100.0,42031
42,32,581,581,100.0,42032
42,33,564,564,100.0,42033
42,34,329,329,100.0,42034
42,35,621,621,100.0,42035
42,36,189,189,100.0,42036
42,37,359,359,100.0,42037
42,38,443,443,100.0,42038
42,39,879,879,100.0,42039
42,40,770,770,100.0,42040
42,42,888,888,100.0,42042
43,1,236,236,100.0,43001
43,2,488,488,100.0,43002
43,3,428,428,100.0,43003
43,4,569,569,100.0,43004
43,5,442,442,100.0,43005
43,6,396,396,100.0,43006
43,7,306,306,100.0,43007
43,8,347,347,100.0,43008
43,9,447,447,100.0,43009
43,10,562,562,100.0,43010
43,11,443,443,100.0,43011
43,12,302,302,100.0,43012
43,13,496,496,100.0,43013
43,14,455,455,100.0,43014
43,15,455,455,100.0,43015
43,16,693,693,100.0,43016
43,17,379,379,100.0,43017
43,18,529,529,100.0,43018
43,19,457,457,100.0,43019
43,20,596,596,100.0,43020
43,21,557,557,100.0,43021
43,22,344,344,100.0,43022
43,23,315,315,100.0,43023
43,24,338,338,100.0,43024
43,25,381,381,100.0,43025
43,26,283,283,100.0,43026
43,27,436,436,100.0,43027
43,28,605,605,100.0,43028
43,29,668,668,100.0,43029
43,30,497,497,100.0,43030
43,31,439,439,100.0,43031
43,32,505,505,100.0,43032
43,33,432,432,100.0,43033
43,34,305,305,100.0,43034
43,35,463,463,100.0,43035
43,36,321,321,100.0,43036
43,37,586,586,100.0,43037
43,38,315,315,100.0,43038
43,39,372,372,100.0,43039
43,40,370,370,100.0,43040
43,41,588,588,100.0,43041
43,42,444,444,100.0,43042
43,43,455,455,100.0,43043
43,44,457,457,100.0,43044
43,45,279,279,100.0,43045
43,46,303,303,100.0,43046
44,1,810,810,100.0,44001
44,2,527,527,100.0,44002
44,3,285,285,100.0,44003
44,4,393,393,100.0,44004
44,5,555,555,100.0,44005
44,6,699,699,100.0,44006
44,7,298,298,100.0,44007
44,8,739,739,100.0,44008
44,9,527,527,100.0,44009
44,10,580,580,100.0,44010
44,11,610,610,100.0,44011
44,12,566,566,100.0,44012
44,13,449,449,100.0,44013
44,14,501,501,100.0,44014
44,15,489,489,100.0,44015
44,16,606,606,100.0,44016
44,17,712,712,100.0,44017
44,18,585,585,100.0,44018
44,19,624,624,100.0,44019
44,20,698,698,100.0,44020
44,21,652,652,100.0,44021
44,22,512,512,100.0,44022
44,23,513,513,100.0,44023
44,24,363,363,100.0,44024
44,25,553,553,100.0,44025
44,26,715,715,100.0,44026
44,27,607,607,100.0,44027
44,28,588,588,100.0,44028
44,29,635,635,100.0,44029
44,30,654,654,100.0,44030
44,31,492,492,100.0,44031
44,32,616,616,100.0,44032
44,33,627,627,100.0,44033
44,34,575,575,100.0,44034
44,35,582,582,100.0,44035
44,36,627,627,100.0,44036
44,37,605,605,100.0,44037
44,38,645,645,100.0,44038
44,39,586,586,100.0,44039
44,40,525,525,100.0,44040
44,41,725,725,100.0,44041
46,1,369,369,100.0,46001
46,2,494,494,100.0,46002
46,3,567,567,100.0,46003
46,4,464,464,100.0,46004
46,5,675,675,100.0,46005
46,6,429,429,100.0,46006
46,7,463,463,100.0,46007
46,8,327,327,100.0,46008
46,9,561,561,100.0,46009
46,10,881,881,100.0,46010
46,11,476,476,100.0,46011
46,12,548,548,100.0,46012
46,13,527,527,100.0,46013
46,14,506,506,100.0,46014
46,15,516,516,100.0,46015
46,16,573,573,100.0,46016
46,17,534,534,100.0,46017
46,18,543,543,100.0,46018
46,19,323,323,100.0,46019
46,20,427,427,100.0,46020
46,21,368,368,100.0,46021
46,22,349,349,100.0,46022
46,23,478,478,100.0,46023
46,24,639,639,100.0,46024
46,25,479,479,100.0,46025
46,26,727,727,100.0,46026
46,27,671,671,100.0,46027
46,28,461,461,100.0,46028
46,29,394,394,100.0,46029
46,30,538,538,100.0,46030
46,31,535,535,100.0,46031
46,32,458,458,100.0,46032
46,33,533,533,100.0,46033
46,34,646,646,100.0,46034
46,35,560,560,100.0,46035
46,36,466,466,100.0,46036
46,37,385,385,100.0,46037
46,38,602,602,100.0,46038
46,39,441,441,100.0,46039
46,40,417,417,100.0,46040
47,9,154,154,100.0,47009
47,11,507,507,100.0,47011
47,15,621,621,100.0,47015
47,18,449,449,100.0,47018
47,19,820,820,100.0,47019
47,23,583,583,100.0,47023
47,24,524,524,100.0,47024
47,33,171,171,100.0,47033
47,41,554,554,100.0,47041
47,44,439,439,100.0,47044
48,1,487,487,100.0,48001
48,2,208,208,100.0,48002
48,3,540,540,100.0,48003
48,4,461,461,100.0,48004
48,5,245,245,100.0,48005
48,6,574,574,100.0,48006
48,7,520,520,100.0,48007
48,8,232,232,100.0,48008
48,9,298,298,100.0,48009
48,10,708,708,100.0,48010
48,11,378,378,100.0,48011
48,12,613,613,100.0,48012
48,14,197,197,100.0,48014
48,16,514,514,100.0,48016
48,17,407,407,100.0,48017
48,18,316,316,100.0,48018
48,19,348,348,100.0,48019
48,20,498,498,100.0,48020
48,21,596,596,100.0,48021
48,23,426,426,100.0,48023
48,24,507,507,100.0,48024
48,25,405,405,100.0,48025
48,26,230,230,100.0,48026
48,27,201,201,100.0,48027
48,28,500,500,100.0,48028
48,29,190,190,100.0,48029
48,30,415,415,100.0,48030
48,31,398,398,100.0,48031
48,32,199,199,100.0,48032
48,34,412,412,100.0,48034
48,35,272,272,100.0,48035
48,36,257,257,100.0,48036
48,37,508,508,100.0,48037
48,38,466,466,100.0,48038
48,39,346,346,100.0,48039
48,40,437,437,100.0,48040
48,41,643,643,100.0,48041
48,42,560,560,100.0,48042
48,43,596,596,100.0,48043
48,44,649,649,100.0,48044
48,45,364,364,100.0,48045
49,2,305,305,100.0,49002
49,17,365,365,100.0,49017
