ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Craig Cameron,Craig Cameron Percent,Tracy Jennings,Tracy Jennings Percent,precinct_id
3,37,526,481,91.44,11,2.09,34,6.46,03037
3,39,1309,1019,77.85,220,16.81,70,5.35,03039
3,40,659,557,84.52,72,10.93,30,4.55,03040
4,2,887,693,78.13,144,16.23,50,5.64,04002
4,4,725,654,90.21,21,2.9,50,6.9,04004
4,5,633,549,86.73,23,3.63,61,9.64,04005
4,6,729,640,87.79,54,7.41,35,4.8,04006
4,7,772,702,90.93,20,2.59,50,6.48,04007
4,8,130,120,92.31,3,2.31,7,5.38,04008
4,10,774,699,90.31,14,1.81,61,7.88,04010
4,11,377,343,90.98,8,2.12,26,6.9,04011
4,13,918,739,80.5,129,14.05,50,5.45,04013
4,14,140,124,88.57,7,5.0,9,6.43,04014
4,15,210,186,88.57,8,3.81,16,7.62,04015
4,16,1188,926,77.95,195,16.41,67,5.64,04016
4,17,798,644,80.7,102,12.78,52,6.52,04017
4,20,559,410,73.35,108,19.32,41,7.33,04020
4,21,766,600,78.33,114,14.88,52,6.79,04021
4,22,25,23,92.0,1,4.0,1,4.0,04022
4,25,869,686,78.94,141,16.23,42,4.83,04025
4,28,408,353,86.52,24,5.88,31,7.6,04028
4,29,227,209,92.07,5,2.2,13,5.73,04029
4,30,127,116,91.34,0,0.0,11,8.66,04030
4,34,565,503,89.03,20,3.54,42,7.43,04034
4,35,719,643,89.43,34,4.73,42,5.84,04035
4,36,371,336,90.57,14,3.77,21,5.66,04036
4,37,1257,977,77.72,195,15.51,85,6.76,04037
6,21,230,210,91.3,2,0.87,18,7.83,06021
11,2,50,36,72.0,11,22.0,3,6.0,11002
11,6,879,679,77.25,139,15.81,61,6.94,11006
11,7,552,420,76.09,72,13.04,60,10.87,11007
11,14,338,204,60.36,113,33.43,21,6.21,11014
11,30,320,217,67.81,85,26.56,18,5.63,11030
11,33,750,531,70.8,166,22.13,53,7.07,11033
11,34,192,117,60.94,64,33.33,11,5.73,11034
11,35,96,52,54.17,37,38.54,7,7.29,11035
11,36,269,180,66.91,69,25.65,20,7.43,11036
11,37,187,144,77.01,30,16.04,13,6.95,11037
12,10,83,75,90.36,2,2.41,6,7.23,12010
12,15,250,201,80.4,22,8.8,27,10.8,12015
12,18,244,206,84.43,20,8.2,18,7.38,12018
15,2,260,238,91.54,7,2.69,15,5.77,15002
15,3,276,250,90.58,8,2.9,18,6.52,15003
15,7,272,239,87.87,6,2.21,27,9.93,15007
15,13,66,50,75.76,12,18.18,4,6.06,15013
15,14,74,57,77.03,6,8.11,11,14.86,15014
15,16,16,12,75.0,2,12.5,2,12.5,15016
15,17,274,251,91.61,7,2.55,16,5.84,15017
15,18,248,225,90.73,9,3.63,14,5.65,15018
15,20,281,262,93.24,6,2.14,13,4.63,15020
15,21,237,210,88.61,6,2.53,21,8.86,15021
15,22,282,250,88.65,11,3.9,21,7.45,15022
15,23,303,274,90.43,13,4.29,16,5.28,15023
15,24,276,244,88.41,6,2.17,26,9.42,15024
16,2,338,299,88.46,20,5.92,19,5.62,16002
16,3,308,277,89.94,9,2.92,22,7.14,16003
16,4,400,359,89.75,17,4.25,24,6.0,16004
16,5,254,231,90.94,7,2.76,16,6.3,16005
16,6,314,296,94.27,4,1.27,14,4.46,16006
16,7,336,300,89.29,13,3.87,23,6.85,16007
16,8,255,230,90.2,7,2.75,18,7.06,16008
16,9,28,25,89.29,1,3.57,2,7.14,16009
16,10,312,285,91.35,5,1.6,22,7.05,16010
16,11,361,314,86.98,14,3.88,33,9.14,16011
16,12,313,278,88.82,16,5.11,19,6.07,16012
16,13,418,352,84.21,27,6.46,39,9.33,16013
16,14,272,245,90.07,9,3.31,18,6.62,16014
16,15,333,297,89.19,13,3.9,23,6.91,16015
16,16,301,277,92.03,8,2.66,16,5.32,16016
16,17,474,406,85.65,32,6.75,36,7.59,16017
16,18,412,354,85.92,23,5.58,35,8.5,16018
16,19,351,308,87.75,19,5.41,24,6.84,16019
16,20,266,241,90.6,10,3.76,15,5.64,16020
16,21,310,283,91.29,8,2.58,19,6.13,16021
16,22,325,292,89.85,16,4.92,17,5.23,16022
16,23,34,28,82.35,2,5.88,4,11.76,16023
16,24,176,162,92.05,8,4.55,6,3.41,16024
16,25,399,364,91.23,11,2.76,24,6.02,16025
16,26,266,239,89.85,5,1.88,22,8.27,16026
16,27,259,248,95.75,4,1.54,7,2.7,16027
16,29,296,270,91.22,10,3.38,16,5.41,16029
16,31,265,227,85.66,8,3.02,30,11.32,16031
16,33,278,257,92.45,3,1.08,18,6.47,16033
16,34,242,218,90.08,6,2.48,18,7.44,16034
16,35,354,307,86.72,27,7.63,20,5.65,16035
16,36,245,218,88.98,8,3.27,19,7.76,16036
17,6,204,184,90.2,8,3.92,12,5.88,17006
17,7,420,377,89.76,14,3.33,29,6.9,17007
17,8,19,16,84.21,2,10.53,1,5.26,17008
17,12,533,450,84.43,51,9.57,32,6.0,17012
17,13,327,307,93.88,4,1.22,16,4.89,17013
17,14,474,413,87.13,31,6.54,30,6.33,17014
17,16,111,96,86.49,6,5.41,9,8.11,17016
17,19,250,231,92.4,7,2.8,12,4.8,17019
17,25,17,16,94.12,0,0.0,1,5.88,17025
17,31,254,241,94.88,3,1.18,10,3.94,17031
17,33,146,124,84.93,8,5.48,14,9.59,17033
17,35,164,152,92.68,2,1.22,10,6.1,17035
17,36,69,62,89.86,0,0.0,7,10.14,17036
20,2,179,168,93.85,3,1.68,8,4.47,20002
20,4,150,139,92.67,5,3.33,6,4.0,20004
20,6,220,187,85.0,8,3.64,25,11.36,20006
20,11,303,267,88.12,10,3.3,26,8.58,20011
20,15,253,215,84.98,22,8.7,16,6.32,20015
20,17,310,250,80.65,35,11.29,25,8.06,20017
20,20,359,288,80.22,39,10.86,32,8.91,20020
20,21,379,333,87.86,15,3.96,31,8.18,20021
20,25,334,296,88.62,13,3.89,25,7.49,20025
20,27,91,80,87.91,3,3.3,8,8.79,20027
20,30,213,199,93.43,3,1.41,11,5.16,20030
20,31,404,365,90.35,8,1.98,31,7.67,20031
20,32,398,353,88.69,14,3.52,31,7.79,20032
20,36,156,147,94.23,3,1.92,6,3.85,20036
20,37,6,5,83.33,0,0.0,1,16.67,20037
20,38,167,142,85.03,11,6.59,14,8.38,20038
20,39,40,36,90.0,1,2.5,3,7.5,20039
22,14,224,188,83.93,18,8.04,18,8.04,22014
22,15,14,12,85.71,2,14.29,0,0.0,22015
22,19,218,190,87.16,8,3.67,20,9.17,22019
22,21,448,409,91.29,19,4.24,20,4.46,22021
23,17,149,112,75.17,26,17.45,11,7.38,23017
23,19,132,103,78.03,18,13.64,11,8.33,23019
23,31,94,77,81.91,12,12.77,5,5.32,23031
24,1,357,329,92.16,7,1.96,21,5.88,24001
24,2,397,368,92.7,4,1.01,25,6.3,24002
24,3,471,430,91.3,10,2.12,31,6.58,24003
24,4,335,313,93.43,4,1.19,18,5.37,24004
24,5,228,215,94.3,4,1.75,9,3.95,24005
24,6,402,373,92.79,4,1.0,25,6.22,24006
24,7,279,236,84.59,12,4.3,31,11.11,24007
24,8,192,174,90.63,4,2.08,14,7.29,24008
24,9,391,362,92.58,10,2.56,19,4.86,24009
24,10,191,176,92.15,3,1.57,12,6.28,24010
24,11,474,431,90.93,13,2.74,30,6.33,24011
24,12,252,229,90.87,5,1.98,18,7.14,24012
24,13,244,222,90.98,6,2.46,16,6.56,24013
24,14,374,341,91.18,12,3.21,21,5.61,24014
24,15,222,212,95.5,3,1.35,7,3.15,24015
24,16,744,496,66.67,118,15.86,130,17.47,24016
24,17,297,275,92.59,10,3.37,12,4.04,24017
24,18,407,377,92.63,7,1.72,23,5.65,24018
24,19,464,425,91.59,11,2.37,28,6.03,24019
24,20,348,328,94.25,9,2.59,11,3.16,24020
24,21,212,188,88.68,5,2.36,19,8.96,24021
24,22,494,450,91.09,14,2.83,30,6.07,24022
24,23,350,317,90.57,12,3.43,21,6.0,24023
24,24,442,410,92.76,8,1.81,24,5.43,24024
24,25,320,298,93.13,9,2.81,13,4.06,24025
24,26,589,542,92.02,11,1.87,36,6.11,24026
24,27,394,361,91.62,10,2.54,23,5.84,24027
24,28,255,230,90.2,6,2.35,19,7.45,24028
24,29,292,271,92.81,2,0.68,19,6.51,24029
24,30,246,223,90.65,5,2.03,18,7.32,24030
24,31,437,408,93.36,6,1.37,23,5.26,24031
24,32,209,192,91.87,4,1.91,13,6.22,24032
24,33,256,227,88.67,12,4.69,17,6.64,24033
24,34,404,370,91.58,9,2.23,25,6.19,24034
24,35,405,375,92.59,5,1.23,25,6.17,24035
24,36,439,393,89.52,14,3.19,32,7.29,24036
24,37,225,213,94.67,5,2.22,7,3.11,24037
24,38,301,274,91.03,12,3.99,15,4.98,24038
24,39,408,351,86.03,31,7.6,26,6.37,24039
24,40,476,445,93.49,10,2.1,21,4.41,24040
24,41,280,264,94.29,8,2.86,8,2.86,24041
25,3,1091,778,71.31,250,22.91,63,5.77,25003
25,4,471,392,83.23,47,9.98,32,6.79,25004
25,6,220,157,71.36,50,22.73,13,5.91,25006
25,10,890,628,70.56,212,23.82,50,5.62,25010
25,14,399,303,75.94,72,18.05,24,6.02,25014
25,16,1112,705,63.4,352,31.65,55,4.95,25016
25,18,370,254,68.65,87,23.51,29,7.84,25018
25,20,369,333,90.24,11,2.98,25,6.78,25020
25,21,1181,892,75.53,193,16.34,96,8.13,25021
25,25,544,366,67.28,135,24.82,43,7.9,25025
25,27,768,573,74.61,156,20.31,39,5.08,25027
25,29,478,421,88.08,33,6.9,24,5.02,25029
25,31,1264,852,67.41,350,27.69,62,4.91,25031
26,1,261,211,80.84,35,13.41,15,5.75,26001
26,3,567,437,77.07,87,15.34,43,7.58,26003
26,4,337,278,82.49,36,10.68,23,6.82,26004
26,10,342,281,82.16,29,8.48,32,9.36,26010
26,17,422,274,64.93,109,25.83,39,9.24,26017
26,19,293,245,83.62,24,8.19,24,8.19,26019
26,21,540,455,84.26,46,8.52,39,7.22,26021
26,27,253,209,82.61,24,9.49,20,7.91,26027
26,28,281,209,74.38,52,18.51,20,7.12,26028
26,33,485,406,83.71,50,10.31,29,5.98,26033
26,36,458,362,79.04,65,14.19,31,6.77,26036
26,39,319,268,84.01,37,11.6,14,4.39,26039
26,45,141,103,73.05,24,17.02,14,9.93,26045
26,46,370,250,67.57,102,27.57,18,4.86,26046
27,1,1309,925,70.66,306,23.38,78,5.96,27001
27,2,604,463,76.66,99,16.39,42,6.95,27002
27,3,270,248,91.85,7,2.59,15,5.56,27003
27,4,282,235,83.33,16,5.67,31,10.99,27004
27,5,427,366,85.71,25,5.85,36,8.43,27005
27,6,665,500,75.19,129,19.4,36,5.41,27006
27,8,404,353,87.38,19,4.7,32,7.92,27008
27,9,305,197,64.59,92,30.16,16,5.25,27009
27,10,469,435,92.75,16,3.41,18,3.84,27010
27,11,718,496,69.08,181,25.21,41,5.71,27011
27,13,501,467,93.21,18,3.59,16,3.19,27013
27,14,260,237,91.15,8,3.08,15,5.77,27014
27,15,274,248,90.51,11,4.01,15,5.47,27015
27,16,678,487,71.83,166,24.48,25,3.69,27016
27,17,530,440,83.02,51,9.62,39,7.36,27017
27,18,369,322,87.26,27,7.32,20,5.42,27018
27,19,268,222,82.84,26,9.7,20,7.46,27019
27,20,401,378,94.26,7,1.75,16,3.99,27020
27,21,557,393,70.56,137,24.6,27,4.85,27021
27,22,252,228,90.48,8,3.17,16,6.35,27022
27,23,358,330,92.18,8,2.23,20,5.59,27023
27,24,343,312,90.96,16,4.66,15,4.37,27024
27,25,494,412,83.4,39,7.89,43,8.7,27025
27,26,347,299,86.17,19,5.48,29,8.36,27026
27,27,613,531,86.62,42,6.85,40,6.53,27027
27,28,803,515,64.13,237,29.51,51,6.35,27028
27,29,324,267,82.41,29,8.95,28,8.64,27029
27,30,247,225,91.09,8,3.24,14,5.67,27030
27,31,387,344,88.89,16,4.13,27,6.98,27031
27,32,483,411,85.09,37,7.66,35,7.25,27032
27,33,784,599,76.4,140,17.86,45,5.74,27033
27,34,352,325,92.33,9,2.56,18,5.11,27034
27,35,687,507,73.8,142,20.67,38,5.53,27035
27,36,354,312,88.14,15,4.24,27,7.63,27036
27,37,609,468,76.85,106,17.41,35,5.75,27037
27,38,746,558,74.8,137,18.36,51,6.84,27038
27,39,360,314,87.22,20,5.56,26,7.22,27039
27,40,722,513,71.05,163,22.58,46,6.37,27040
27,41,432,402,93.06,13,3.01,17,3.94,27041
27,42,127,117,92.13,6,4.72,4,3.15,27042
27,43,375,330,88.0,15,4.0,30,8.0,27043
27,44,357,324,90.76,13,3.64,20,5.6,27044
27,45,1730,1229,71.04,421,24.34,80,4.62,27045
27,47,353,313,88.67,25,7.08,15,4.25,27047
27,48,1103,840,76.16,200,18.13,63,5.71,27048
27,49,351,320,91.17,7,1.99,24,6.84,27049
27,50,489,433,88.55,20,4.09,36,7.36,27050
28,1,306,277,90.52,13,4.25,16,5.23,28001
28,2,378,331,87.57,19,5.03,28,7.41,28002
28,3,303,280,92.41,9,2.97,14,4.62,28003
28,4,455,347,76.26,73,16.04,35,7.69,28004
28,5,267,238,89.14,17,6.37,12,4.49,28005
28,6,230,185,80.43,27,11.74,18,7.83,28006
28,7,412,389,94.42,7,1.7,16,3.88,28007
28,8,670,489,72.99,130,19.4,51,7.61,28008
28,9,396,370,93.43,5,1.26,21,5.3,28009
28,10,582,453,77.84,85,14.6,44,7.56,28010
28,11,940,786,83.62,95,10.11,59,6.28,28011
28,12,369,351,95.12,4,1.08,14,3.79,28012
28,13,492,457,92.89,16,3.25,19,3.86,28013
28,14,388,360,92.78,3,0.77,25,6.44,28014
28,15,83,78,93.98,1,1.2,4,4.82,28015
28,16,257,234,91.05,7,2.72,16,6.23,28016
28,17,335,309,92.24,6,1.79,20,5.97,28017
28,18,333,304,91.29,12,3.6,17,5.11,28018
28,19,355,293,82.54,37,10.42,25,7.04,28019
28,20,322,289,89.75,12,3.73,21,6.52,28020
28,21,311,292,93.89,3,0.96,16,5.14,28021
28,22,382,341,89.27,12,3.14,29,7.59,28022
28,23,508,476,93.7,9,1.77,23,4.53,28023
28,24,349,313,89.68,16,4.58,20,5.73,28024
28,25,581,530,91.22,22,3.79,29,4.99,28025
28,26,392,368,93.88,4,1.02,20,5.1,28026
28,27,461,313,67.9,116,25.16,32,6.94,28027
28,28,572,409,71.5,115,20.1,48,8.39,28028
28,29,214,186,86.92,11,5.14,17,7.94,28029
28,30,57,52,91.23,3,5.26,2,3.51,28030
28,31,505,463,91.68,10,1.98,32,6.34,28031
28,32,388,355,91.49,5,1.29,28,7.22,28032
28,33,427,393,92.04,13,3.04,21,4.92,28033
28,34,709,639,90.13,29,4.09,41,5.78,28034
28,35,470,430,91.49,7,1.49,33,7.02,28035
28,36,214,199,92.99,3,1.4,12,5.61,28036
28,37,452,420,92.92,9,1.99,23,5.09,28037
28,38,146,136,93.15,7,4.79,3,2.05,28038
28,39,312,275,88.14,14,4.49,23,7.37,28039
28,40,493,457,92.7,12,2.43,24,4.87,28040
28,41,269,253,94.05,7,2.6,9,3.35,28041
28,42,412,375,91.02,8,1.94,29,7.04,28042
28,43,513,489,95.32,6,1.17,18,3.51,28043
28,44,302,282,93.38,7,2.32,13,4.3,28044
28,45,650,469,72.15,132,20.31,49,7.54,28045
28,46,794,610,76.83,125,15.74,59,7.43,28046
29,1,641,480,74.88,109,17.0,52,8.11,29001
29,2,637,596,93.56,8,1.26,33,5.18,29002
29,3,536,491,91.6,12,2.24,33,6.16,29003
29,4,572,519,90.73,20,3.5,33,5.77,29004
29,5,393,349,88.8,14,3.56,30,7.63,29005
29,6,376,351,93.35,6,1.6,19,5.05,29006
29,7,510,430,84.31,57,11.18,23,4.51,29007
29,8,466,426,91.42,11,2.36,29,6.22,29008
29,9,0,0,0.0,0,0.0,0,0.0,29009
29,10,640,480,75.0,111,17.34,49,7.66,29010
29,11,285,255,89.47,9,3.16,21,7.37,29011
29,12,574,514,89.55,28,4.88,32,5.57,29012
29,13,499,446,89.38,17,3.41,36,7.21,29013
29,14,430,403,93.72,5,1.16,22,5.12,29014
29,15,525,470,89.52,16,3.05,39,7.43,29015
29,16,461,405,87.85,9,1.95,47,10.2,29016
29,17,450,406,90.22,14,3.11,30,6.67,29017
29,18,475,428,90.11,11,2.32,36,7.58,29018
29,19,483,443,91.72,11,2.28,29,6.0,29019
29,20,503,464,92.25,10,1.99,29,5.77,29020
29,21,682,637,93.4,16,2.35,29,4.25,29021
29,22,405,349,86.17,28,6.91,28,6.91,29022
29,24,457,424,92.78,15,3.28,18,3.94,29024
29,25,537,505,94.04,12,2.23,20,3.72,29025
29,26,460,409,88.91,16,3.48,35,7.61,29026
29,27,436,415,95.18,8,1.83,13,2.98,29027
29,28,603,558,92.54,11,1.82,34,5.64,29028
29,33,350,317,90.57,8,2.29,25,7.14,29033
29,34,376,329,87.5,30,7.98,17,4.52,29034
29,35,364,341,93.68,5,1.37,18,4.95,29035
29,36,405,375,92.59,5,1.23,25,6.17,29036
29,37,450,411,91.33,13,2.89,26,5.78,29037
29,40,540,513,95.0,6,1.11,21,3.89,29040
29,41,407,377,92.63,8,1.97,22,5.41,29041
29,42,543,505,93.0,7,1.29,31,5.71,29042
29,43,384,308,80.21,38,9.9,38,9.9,29043
29,44,632,571,90.35,24,3.8,37,5.85,29044
36,5,446,354,79.37,57,12.78,35,7.85,36005
36,21,124,97,78.23,19,15.32,8,6.45,36021
37,1,385,353,91.69,8,2.08,24,6.23,37001
37,2,369,328,88.89,18,4.88,23,6.23,37002
37,3,314,287,91.4,9,2.87,18,5.73,37003
37,4,359,310,86.35,25,6.96,24,6.69,37004
37,5,451,417,92.46,9,2.0,25,5.54,37005
37,6,468,429,91.67,18,3.85,21,4.49,37006
37,7,347,294,84.73,34,9.8,19,5.48,37007
37,8,322,282,87.58,17,5.28,23,7.14,37008
37,9,455,417,91.65,13,2.86,25,5.49,37009
37,10,545,483,88.62,39,7.16,23,4.22,37010
37,11,292,269,92.12,9,3.08,14,4.79,37011
37,12,412,364,88.35,22,5.34,26,6.31,37012
37,13,321,287,89.41,13,4.05,21,6.54,37013
37,14,462,421,91.13,20,4.33,21,4.55,37014
37,15,450,413,91.78,11,2.44,26,5.78,37015
37,16,509,458,89.98,17,3.34,34,6.68,37016
37,17,320,287,89.69,11,3.44,22,6.88,37017
37,18,382,340,89.01,19,4.97,23,6.02,37018
37,19,324,281,86.73,13,4.01,30,9.26,37019
37,20,386,358,92.75,12,3.11,16,4.15,37020
37,21,394,347,88.07,28,7.11,19,4.82,37021
37,22,408,343,84.07,27,6.62,38,9.31,37022
37,23,415,386,93.01,6,1.45,23,5.54,37023
37,24,460,415,90.22,25,5.43,20,4.35,37024
37,25,384,354,92.19,15,3.91,15,3.91,37025
37,26,567,511,90.12,34,6.0,22,3.88,37026
37,27,401,364,90.77,10,2.49,27,6.73,37027
37,28,394,351,89.09,22,5.58,21,5.33,37028
37,29,423,378,89.36,20,4.73,25,5.91,37029
37,30,421,387,91.92,12,2.85,22,5.23,37030
37,31,488,442,90.57,15,3.07,31,6.35,37031
37,32,379,339,89.45,17,4.49,23,6.07,37032
37,33,477,439,92.03,14,2.94,24,5.03,37033
37,34,378,356,94.18,8,2.12,14,3.7,37034
37,35,420,399,95.0,5,1.19,16,3.81,37035
37,36,418,378,90.43,17,4.07,23,5.5,37036
37,37,479,445,92.9,9,1.88,25,5.22,37037
37,38,458,412,89.96,21,4.59,25,5.46,37038
37,39,420,376,89.52,16,3.81,28,6.67,37039
37,40,459,432,94.12,12,2.61,15,3.27,37040
37,41,458,407,88.86,18,3.93,33,7.21,37041
42,1,635,405,63.78,211,33.23,19,2.99,42001
42,2,949,672,70.81,226,23.81,51,5.37,42002
42,3,756,566,74.87,152,20.11,38,5.03,42003
42,4,1835,1221,66.54,519,28.28,95,5.18,42004
42,5,635,424,66.77,181,28.5,30,4.72,42005
42,6,669,445,66.52,192,28.7,32,4.78,42006
42,7,879,578,65.76,261,29.69,40,4.55,42007
42,8,620,457,73.71,133,21.45,30,4.84,42008
42,9,965,707,73.26,193,20.0,65,6.74,42009
42,10,1030,723,70.19,255,24.76,52,5.05,42010
42,11,516,318,61.63,180,34.88,18,3.49,42011
42,12,619,401,64.78,192,31.02,26,4.2,42012
42,13,561,375,66.84,155,27.63,31,5.53,42013
42,14,1046,654,62.52,346,33.08,46,4.4,42014
42,15,1081,675,62.44,356,32.93,50,4.63,42015
42,16,756,523,69.18,182,24.07,51,6.75,42016
42,17,1249,772,61.81,442,35.39,35,2.8,42017
42,18,997,666,66.8,284,28.49,47,4.71,42018
42,19,964,629,65.25,311,32.26,24,2.49,42019
42,20,986,593,60.14,340,34.48,53,5.38,42020
42,21,922,694,75.27,189,20.5,39,4.23,42021
42,22,435,274,62.99,137,31.49,24,5.52,42022
42,23,859,525,61.12,298,34.69,36,4.19,42023
42,24,705,459,65.11,224,31.77,22,3.12,42024
42,25,898,569,63.36,283,31.51,46,5.12,42025
42,26,1285,844,65.68,387,30.12,54,4.2,42026
42,27,508,351,69.09,127,25.0,30,5.91,42027
42,28,734,505,68.8,181,24.66,48,6.54,42028
42,29,893,568,63.61,282,31.58,43,4.82,42029
42,30,567,383,67.55,171,30.16,13,2.29,42030
42,31,917,601,65.54,277,30.21,39,4.25,42031
42,32,922,577,62.58,301,32.65,44,4.77,42032
42,33,821,599,72.96,152,18.51,70,8.53,42033
42,34,607,383,63.1,203,33.44,21,3.46,42034
42,35,930,657,70.65,223,23.98,50,5.38,42035
42,36,1357,927,68.31,360,26.53,70,5.16,42036
42,37,602,381,63.29,196,32.56,25,4.15,42037
42,38,763,481,63.04,251,32.9,31,4.06,42038
42,39,1405,912,64.91,420,29.89,73,5.2,42039
42,40,1119,791,70.69,278,24.84,50,4.47,42040
42,41,778,562,72.24,170,21.85,46,5.91,42041
42,42,1335,980,73.41,302,22.62,53,3.97,42042
43,1,383,279,72.85,87,22.72,17,4.44,43001
43,5,127,83,65.35,40,31.5,4,3.15,43005
43,9,91,61,67.03,28,30.77,2,2.2,43009
43,33,710,483,68.03,209,29.44,18,2.54,43033
43,35,762,518,67.98,215,28.22,29,3.81,43035
43,45,421,304,72.21,99,23.52,18,4.28,43045
