ward,precinct,total,Tyria B. Walton,Tyria B. Walton Percent,precinct_id
9,25,316,316,100.0,09025
9,35,161,161,100.0,09035
9,36,266,266,100.0,09036
9,42,344,344,100.0,09042
9,47,336,336,100.0,09047
9,48,318,318,100.0,09048
9,49,336,336,100.0,09049
9,50,441,441,100.0,09050
9,51,321,321,100.0,09051
10,1,253,253,100.0,10001
10,2,274,274,100.0,10002
10,3,306,306,100.0,10003
10,4,238,238,100.0,10004
10,5,236,236,100.0,10005
10,6,245,245,100.0,10006
10,7,239,239,100.0,10007
10,8,139,139,100.0,10008
10,9,262,262,100.0,10009
10,10,344,344,100.0,10010
10,11,424,424,100.0,10011
10,12,225,225,100.0,10012
10,13,285,285,100.0,10013
10,14,400,400,100.0,10014
10,15,568,568,100.0,10015
10,16,227,227,100.0,10016
10,17,360,360,100.0,10017
10,18,188,188,100.0,10018
10,19,319,319,100.0,10019
10,20,335,335,100.0,10020
10,21,314,314,100.0,10021
10,22,194,194,100.0,10022
10,23,294,294,100.0,10023
10,24,275,275,100.0,10024
10,25,99,99,100.0,10025
10,26,248,248,100.0,10026
10,27,289,289,100.0,10027
10,28,378,378,100.0,10028
10,29,354,354,100.0,10029
10,30,314,314,100.0,10030
10,31,290,290,100.0,10031
10,32,337,337,100.0,10032
10,33,272,272,100.0,10033
10,34,202,202,100.0,10034
10,35,323,323,100.0,10035
10,36,84,84,100.0,10036
17,2,277,277,100.0,17002
17,4,293,293,100.0,17004
17,5,214,214,100.0,17005
17,9,215,215,100.0,17009
17,10,365,365,100.0,17010
17,15,298,298,100.0,17015
17,18,359,359,100.0,17018
17,20,377,377,100.0,17020
17,21,352,352,100.0,17021
17,22,276,276,100.0,17022
17,23,193,193,100.0,17023
17,24,301,301,100.0,17024
17,26,292,292,100.0,17026
17,27,258,258,100.0,17027
17,28,214,214,100.0,17028
17,29,285,285,100.0,17029
17,35,88,88,100.0,17035
17,38,300,300,100.0,17038
17,39,262,262,100.0,17039
17,40,321,321,100.0,17040
17,41,399,399,100.0,17041
18,20,222,222,100.0,18020
18,38,302,302,100.0,18038
21,2,91,91,100.0,21002
21,4,314,314,100.0,21004
21,13,138,138,100.0,21013
21,15,289,289,100.0,21015
21,17,108,108,100.0,21017
21,20,267,267,100.0,21020
21,26,316,316,100.0,21026
21,28,371,371,100.0,21028
21,30,263,263,100.0,21030
21,31,247,247,100.0,21031
21,33,123,123,100.0,21033
21,34,163,163,100.0,21034
21,43,338,338,100.0,21043
21,44,114,114,100.0,21044
21,47,290,290,100.0,21047
21,48,97,97,100.0,21048
21,51,345,345,100.0,21051
21,52,260,260,100.0,21052
21,53,249,249,100.0,21053
21,54,261,261,100.0,21054
