ward,precinct,total,Robin Kelly,Robin Kelly Percent,Theresa J. Raborn,Theresa J. Raborn Percent,precinct_id
9,11,304,290,95.39,14,4.61,09011
9,13,479,469,97.91,10,2.09,09013
9,14,485,470,96.91,15,3.09,09014
9,15,529,504,95.27,25,4.73,09015
9,16,404,391,96.78,13,3.22,09016
9,17,319,303,94.98,16,5.02,09017
9,18,304,302,99.34,2,0.66,09018
9,19,421,410,97.39,11,2.61,09019
9,20,403,391,97.02,12,2.98,09020
9,21,403,380,94.29,23,5.71,09021
9,22,464,448,96.55,16,3.45,09022
9,26,537,511,95.16,26,4.84,09026
9,27,356,344,96.63,12,3.37,09027
9,28,281,256,91.1,25,8.9,09028
9,29,377,368,97.61,9,2.39,09029
9,30,367,350,95.37,17,4.63,09030
9,31,350,343,98.0,7,2.0,09031
9,32,436,421,96.56,15,3.44,09032
9,33,326,313,96.01,13,3.99,09033
9,34,363,347,95.59,16,4.41,09034
9,35,391,377,96.42,14,3.58,09035
9,37,651,555,85.25,96,14.75,09037
9,38,413,396,95.88,17,4.12,09038
9,39,450,440,97.78,10,2.22,09039
9,40,464,455,98.06,9,1.94,09040
9,41,353,340,96.32,13,3.68,09041
9,43,377,358,94.96,19,5.04,09043
9,44,369,364,98.64,5,1.36,09044
9,45,354,335,94.63,19,5.37,09045
9,46,400,374,93.5,26,6.5,09046
10,1,364,334,91.76,30,8.24,10001
10,2,471,299,63.48,172,36.52,10002
10,3,511,354,69.28,157,30.72,10003
10,4,365,330,90.41,35,9.59,10004
10,5,389,272,69.92,117,30.08,10005
10,6,403,314,77.92,89,22.08,10006
10,7,356,293,82.3,63,17.7,10007
10,8,247,231,93.52,16,6.48,10008
10,9,460,302,65.65,158,34.35,10009
10,10,516,389,75.39,127,24.61,10010
10,11,597,485,81.24,112,18.76,10011
10,12,343,270,78.72,73,21.28,10012
10,13,420,369,87.86,51,12.14,10013
10,14,590,461,78.14,129,21.86,10014
10,15,784,763,97.32,21,2.68,10015
10,16,373,267,71.58,106,28.42,10016
10,17,636,422,66.35,214,33.65,10017
10,18,278,254,91.37,24,8.63,10018
10,19,492,360,73.17,132,26.83,10019
10,20,491,389,79.23,102,20.77,10020
10,21,489,379,77.51,110,22.49,10021
10,22,276,221,80.07,55,19.93,10022
10,23,400,325,81.25,75,18.75,10023
10,24,487,305,62.63,182,37.37,10024
10,25,133,127,95.49,6,4.51,10025
10,26,336,289,86.01,47,13.99,10026
10,27,423,393,92.91,30,7.09,10027
10,28,533,449,84.24,84,15.76,10028
10,29,482,390,80.91,92,19.09,10029
10,30,432,366,84.72,66,15.28,10030
10,31,390,338,86.67,52,13.33,10031
10,32,491,379,77.19,112,22.81,10032
10,33,364,308,84.62,56,15.38,10033
10,34,325,290,89.23,35,10.77,10034
10,35,518,352,67.95,166,32.05,10035
10,36,133,124,93.23,9,6.77,10036
34,2,60,60,100.0,0,0.0,34002
34,4,335,321,95.82,14,4.18,34004
34,18,301,292,97.01,9,2.99,34018
34,22,319,309,96.87,10,3.13,34022
34,23,371,364,98.11,7,1.89,34023
34,24,374,363,97.06,11,2.94,34024
34,27,365,350,95.89,15,4.11,34027
34,28,291,280,96.22,11,3.78,34028
34,30,258,252,97.67,6,2.33,34030
34,36,381,368,96.59,13,3.41,34036
34,37,246,236,95.93,10,4.07,34037
34,38,227,216,95.15,11,4.85,34038
34,39,330,313,94.85,17,5.15,34039
34,41,227,226,99.56,1,0.44,34041
34,53,298,281,94.3,17,5.7,34053
