ward,precinct,total,Kim Foxx,Kim Foxx Percent,Patrick W. ''Pat'' O'Brien,Patrick W. ''Pat'' O'Brien Percent,Brian Dennehy,Brian Dennehy Percent,precinct_id
3,8,460,402,87.39,39,8.48,19,4.13,03008
3,9,669,615,91.93,27,4.04,27,4.04,03009
3,10,309,280,90.61,20,6.47,9,2.91,03010
3,11,641,582,90.8,34,5.3,25,3.9,03011
3,12,563,511,90.76,36,6.39,16,2.84,03012
3,13,739,377,51.01,294,39.78,68,9.2,03013
3,14,731,474,64.84,199,27.22,58,7.93,03014
3,15,571,505,88.44,41,7.18,25,4.38,03015
3,16,478,435,91.0,25,5.23,18,3.77,03016
3,17,907,695,76.63,150,16.54,62,6.84,03017
3,18,822,693,84.31,83,10.1,46,5.6,03018
3,19,791,368,46.52,373,47.16,50,6.32,03019
3,20,633,581,91.79,39,6.16,13,2.05,03020
3,21,687,401,58.37,260,37.85,26,3.78,03021
3,22,894,480,53.69,348,38.93,66,7.38,03022
3,23,517,435,84.14,63,12.19,19,3.68,03023
3,24,510,456,89.41,31,6.08,23,4.51,03024
3,25,1149,525,45.69,555,48.3,69,6.01,03025
3,26,728,379,52.06,312,42.86,37,5.08,03026
3,27,831,402,48.38,368,44.28,61,7.34,03027
3,28,361,317,87.81,24,6.65,20,5.54,03028
3,29,639,561,87.79,44,6.89,34,5.32,03029
3,30,513,467,91.03,28,5.46,18,3.51,03030
3,31,699,634,90.7,26,3.72,39,5.58,03031
3,32,1032,648,62.79,310,30.04,74,7.17,03032
3,33,820,491,59.88,269,32.8,60,7.32,03033
3,34,981,601,61.26,313,31.91,67,6.83,03034
3,35,315,275,87.3,27,8.57,13,4.13,03035
3,36,283,260,91.87,12,4.24,11,3.89,03036
3,37,520,473,90.96,24,4.62,23,4.42,03037
3,38,428,390,91.12,25,5.84,13,3.04,03038
3,39,1262,732,58.0,453,35.9,77,6.1,03039
3,40,651,477,73.27,140,21.51,34,5.22,03040
3,41,445,358,80.45,68,15.28,19,4.27,03041
4,1,887,740,83.43,115,12.97,32,3.61,04001
4,2,852,490,57.51,297,34.86,65,7.63,04002
4,3,520,486,93.46,20,3.85,14,2.69,04003
4,4,804,730,90.8,56,6.97,18,2.24,04004
4,5,625,558,89.28,45,7.2,22,3.52,04005
4,6,711,590,82.98,98,13.78,23,3.23,04006
4,7,774,709,91.6,43,5.56,22,2.84,04007
4,8,681,632,92.8,23,3.38,26,3.82,04008
4,9,646,580,89.78,45,6.97,21,3.25,04009
4,10,767,667,86.96,54,7.04,46,6.0,04010
4,11,627,552,88.04,42,6.7,33,5.26,04011
4,12,777,698,89.83,46,5.92,33,4.25,04012
4,13,883,567,64.21,238,26.95,78,8.83,04013
4,14,616,542,87.99,50,8.12,24,3.9,04014
4,15,686,609,88.78,53,7.73,24,3.5,04015
4,16,1147,703,61.29,355,30.95,89,7.76,04016
4,17,754,492,65.25,201,26.66,61,8.09,04017
4,18,596,525,88.09,44,7.38,27,4.53,04018
4,19,500,454,90.8,28,5.6,18,3.6,04019
4,20,534,301,56.37,194,36.33,39,7.3,04020
4,21,729,450,61.73,215,29.49,64,8.78,04021
4,22,596,478,80.2,82,13.76,36,6.04,04022
4,23,743,625,84.12,74,9.96,44,5.92,04023
4,24,584,496,84.93,59,10.1,29,4.97,04024
4,25,838,486,58.0,278,33.17,74,8.83,04025
4,26,563,502,89.17,40,7.1,21,3.73,04026
4,27,829,711,85.77,79,9.53,39,4.7,04027
4,28,548,478,87.23,47,8.58,23,4.2,04028
4,29,591,543,91.88,34,5.75,14,2.37,04029
4,30,855,780,91.23,37,4.33,38,4.44,04030
4,31,575,494,85.91,55,9.57,26,4.52,04031
4,32,683,609,89.17,53,7.76,21,3.07,04032
4,33,579,501,86.53,42,7.25,36,6.22,04033
4,34,566,492,86.93,49,8.66,25,4.42,04034
4,35,701,607,86.59,61,8.7,33,4.71,04035
4,36,753,661,87.78,58,7.7,34,4.52,04036
4,37,1210,764,63.14,379,31.32,67,5.54,04037
4,38,670,596,88.96,51,7.61,23,3.43,04038
5,1,536,472,88.06,28,5.22,36,6.72,05001
5,2,435,392,90.11,20,4.6,23,5.29,05002
5,3,580,505,87.07,59,10.17,16,2.76,05003
5,4,764,677,88.61,46,6.02,41,5.37,05004
5,5,531,473,89.08,24,4.52,34,6.4,05005
5,6,459,411,89.54,28,6.1,20,4.36,05006
5,7,582,499,85.74,56,9.62,27,4.64,05007
5,8,596,461,77.35,122,20.47,13,2.18,05008
5,9,674,596,88.43,58,8.61,20,2.97,05009
5,10,480,421,87.71,25,5.21,34,7.08,05010
5,11,562,463,82.38,68,12.1,31,5.52,05011
5,12,369,321,86.99,33,8.94,15,4.07,05012
5,13,505,467,92.48,19,3.76,19,3.76,05013
5,14,445,401,90.11,26,5.84,18,4.04,05014
5,15,569,477,83.83,61,10.72,31,5.45,05015
5,16,549,491,89.44,37,6.74,21,3.83,05016
5,17,469,404,86.14,33,7.04,32,6.82,05017
5,18,536,455,84.89,54,10.07,27,5.04,05018
5,19,527,427,81.02,77,14.61,23,4.36,05019
5,20,619,530,85.62,64,10.34,25,4.04,05020
5,21,590,494,83.73,65,11.02,31,5.25,05021
5,22,678,535,78.91,105,15.49,38,5.6,05022
5,23,1003,803,80.06,140,13.96,60,5.98,05023
5,24,712,628,88.2,58,8.15,26,3.65,05024
5,25,528,471,89.2,36,6.82,21,3.98,05025
5,26,556,485,87.23,34,6.12,37,6.65,05026
5,27,592,467,78.89,106,17.91,19,3.21,05027
5,28,581,506,87.09,41,7.06,34,5.85,05028
5,29,584,521,89.21,36,6.16,27,4.62,05029
5,30,375,341,90.93,13,3.47,21,5.6,05030
5,31,437,389,89.02,25,5.72,23,5.26,05031
5,32,619,559,90.31,29,4.68,31,5.01,05032
5,33,613,551,89.89,31,5.06,31,5.06,05033
5,34,612,476,77.78,104,16.99,32,5.23,05034
5,35,718,574,79.94,99,13.79,45,6.27,05035
5,36,357,320,89.64,19,5.32,18,5.04,05036
5,37,586,463,79.01,90,15.36,33,5.63,05037
5,38,539,472,87.57,28,5.19,39,7.24,05038
5,39,471,356,75.58,93,19.75,22,4.67,05039
5,40,434,392,90.32,23,5.3,19,4.38,05040
5,41,267,211,79.03,43,16.1,13,4.87,05041
6,1,484,450,92.98,19,3.93,15,3.1,06001
6,2,469,413,88.06,30,6.4,26,5.54,06002
6,3,490,449,91.63,18,3.67,23,4.69,06003
6,4,341,307,90.03,15,4.4,19,5.57,06004
6,5,317,290,91.48,17,5.36,10,3.15,06005
6,6,529,484,91.49,26,4.91,19,3.59,06006
6,7,461,422,91.54,21,4.56,18,3.9,06007
6,8,464,423,91.16,23,4.96,18,3.88,06008
6,9,459,418,91.07,19,4.14,22,4.79,06009
6,10,343,312,90.96,21,6.12,10,2.92,06010
6,11,402,369,91.79,21,5.22,12,2.99,06011
6,12,361,328,90.86,16,4.43,17,4.71,06012
6,13,346,320,92.49,10,2.89,16,4.62,06013
6,14,426,390,91.55,21,4.93,15,3.52,06014
6,15,417,380,91.13,27,6.47,10,2.4,06015
6,16,488,445,91.19,24,4.92,19,3.89,06016
6,17,333,293,87.99,23,6.91,17,5.11,06017
6,18,336,302,89.88,21,6.25,13,3.87,06018
6,19,388,351,90.46,13,3.35,24,6.19,06019
6,20,302,283,93.71,10,3.31,9,2.98,06020
6,21,236,215,91.1,13,5.51,8,3.39,06021
6,22,303,274,90.43,20,6.6,9,2.97,06022
6,23,260,230,88.46,21,8.08,9,3.46,06023
6,24,256,233,91.02,19,7.42,4,1.56,06024
6,25,254,232,91.34,12,4.72,10,3.94,06025
6,26,364,323,88.74,19,5.22,22,6.04,06026
6,27,289,266,92.04,12,4.15,11,3.81,06027
6,28,236,215,91.1,14,5.93,7,2.97,06028
6,29,473,429,90.7,21,4.44,23,4.86,06029
6,30,394,360,91.37,19,4.82,15,3.81,06030
6,31,458,424,92.58,23,5.02,11,2.4,06031
6,32,441,401,90.93,23,5.22,17,3.85,06032
6,33,453,409,90.29,23,5.08,21,4.64,06033
6,34,458,420,91.7,21,4.59,17,3.71,06034
6,35,415,363,87.47,29,6.99,23,5.54,06035
6,36,491,466,94.91,10,2.04,15,3.05,06036
6,37,482,436,90.46,27,5.6,19,3.94,06037
6,38,493,441,89.45,27,5.48,25,5.07,06038
6,39,393,350,89.06,24,6.11,19,4.83,06039
6,40,401,369,92.02,17,4.24,15,3.74,06040
6,41,462,419,90.69,27,5.84,16,3.46,06041
6,42,457,419,91.68,20,4.38,18,3.94,06042
6,43,440,398,90.45,21,4.77,21,4.77,06043
6,44,534,488,91.39,33,6.18,13,2.43,06044
6,45,463,427,92.22,15,3.24,21,4.54,06045
6,46,350,321,91.71,13,3.71,16,4.57,06046
6,47,334,297,88.92,27,8.08,10,2.99,06047
6,48,455,415,91.21,29,6.37,11,2.42,06048
7,1,455,390,85.71,39,8.57,26,5.71,07001
7,2,459,406,88.45,33,7.19,20,4.36,07002
7,3,435,396,91.03,16,3.68,23,5.29,07003
7,4,438,403,92.01,25,5.71,10,2.28,07004
7,5,402,348,86.57,33,8.21,21,5.22,07005
7,6,565,500,88.5,32,5.66,33,5.84,07006
7,7,439,387,88.15,31,7.06,21,4.78,07007
7,8,361,325,90.03,22,6.09,14,3.88,07008
7,9,737,648,87.92,52,7.06,37,5.02,07009
7,10,502,462,92.03,23,4.58,17,3.39,07010
7,11,505,463,91.68,18,3.56,24,4.75,07011
7,12,437,391,89.47,20,4.58,26,5.95,07012
7,13,290,260,89.66,19,6.55,11,3.79,07013
7,14,504,451,89.48,30,5.95,23,4.56,07014
7,15,429,389,90.68,18,4.2,22,5.13,07015
7,16,432,380,87.96,36,8.33,16,3.7,07016
7,17,351,319,90.88,14,3.99,18,5.13,07017
7,18,419,368,87.83,32,7.64,19,4.53,07018
7,19,418,369,88.28,30,7.18,19,4.55,07019
7,20,350,315,90.0,15,4.29,20,5.71,07020
7,21,334,288,86.23,25,7.49,21,6.29,07021
7,22,383,324,84.6,39,10.18,20,5.22,07022
7,23,408,365,89.46,19,4.66,24,5.88,07023
7,24,368,332,90.22,23,6.25,13,3.53,07024
7,25,368,295,80.16,48,13.04,25,6.79,07025
7,26,340,310,91.18,17,5.0,13,3.82,07026
7,27,351,322,91.74,9,2.56,20,5.7,07027
7,28,345,298,86.38,33,9.57,14,4.06,07028
7,29,396,351,88.64,23,5.81,22,5.56,07029
7,30,346,302,87.28,29,8.38,15,4.34,07030
7,31,319,256,80.25,38,11.91,25,7.84,07031
7,32,535,480,89.72,27,5.05,28,5.23,07032
7,33,521,476,91.36,31,5.95,14,2.69,07033
7,34,536,488,91.04,28,5.22,20,3.73,07034
7,35,469,418,89.13,29,6.18,22,4.69,07035
7,36,529,465,87.9,44,8.32,20,3.78,07036
7,37,448,392,87.5,29,6.47,27,6.03,07037
7,38,371,339,91.37,19,5.12,13,3.5,07038
7,39,394,364,92.39,12,3.05,18,4.57,07039
7,40,376,343,91.22,20,5.32,13,3.46,07040
7,41,407,369,90.66,22,5.41,16,3.93,07041
7,42,388,347,89.43,19,4.9,22,5.67,07042
7,43,408,375,91.91,18,4.41,15,3.68,07043
7,44,374,345,92.25,15,4.01,14,3.74,07044
7,45,428,374,87.38,34,7.94,20,4.67,07045
7,46,147,130,88.44,12,8.16,5,3.4,07046
8,1,397,339,85.39,35,8.82,23,5.79,08001
8,2,425,379,89.18,24,5.65,22,5.18,08002
8,3,490,446,91.02,28,5.71,16,3.27,08003
8,4,494,460,93.12,18,3.64,16,3.24,08004
8,5,476,449,94.33,11,2.31,16,3.36,08005
8,6,440,409,92.95,18,4.09,13,2.95,08006
8,7,501,450,89.82,37,7.39,14,2.79,08007
8,8,452,420,92.92,20,4.42,12,2.65,08008
8,9,290,262,90.34,15,5.17,13,4.48,08009
8,10,543,501,92.27,21,3.87,21,3.87,08010
8,11,380,347,91.32,24,6.32,9,2.37,08011
8,12,390,357,91.54,18,4.62,15,3.85,08012
8,13,522,468,89.66,31,5.94,23,4.41,08013
8,14,380,331,87.11,27,7.11,22,5.79,08014
8,15,431,384,89.1,22,5.1,25,5.8,08015
8,16,147,131,89.12,13,8.84,3,2.04,08016
8,17,382,350,91.62,17,4.45,15,3.93,08017
8,18,435,392,90.11,26,5.98,17,3.91,08018
8,19,482,446,92.53,28,5.81,8,1.66,08019
8,20,519,462,89.02,32,6.17,25,4.82,08020
8,21,586,535,91.3,29,4.95,22,3.75,08021
8,22,405,363,89.63,25,6.17,17,4.2,08022
8,23,357,326,91.32,14,3.92,17,4.76,08023
8,24,256,227,88.67,12,4.69,17,6.64,08024
8,25,460,403,87.61,30,6.52,27,5.87,08025
8,26,397,346,87.15,23,5.79,28,7.05,08026
8,27,496,444,89.52,29,5.85,23,4.64,08027
8,28,450,413,91.78,15,3.33,22,4.89,08028
8,29,500,463,92.6,22,4.4,15,3.0,08029
8,30,499,455,91.18,21,4.21,23,4.61,08030
8,31,356,320,89.89,18,5.06,18,5.06,08031
8,32,359,341,94.99,7,1.95,11,3.06,08032
8,33,376,343,91.22,13,3.46,20,5.32,08033
8,34,419,392,93.56,15,3.58,12,2.86,08034
8,35,507,452,89.15,33,6.51,22,4.34,08035
8,36,454,415,91.41,20,4.41,19,4.19,08036
8,37,357,317,88.8,19,5.32,21,5.88,08037
8,38,337,302,89.61,18,5.34,17,5.04,08038
8,39,440,401,91.14,22,5.0,17,3.86,08039
8,40,384,341,88.8,27,7.03,16,4.17,08040
8,41,491,447,91.04,25,5.09,19,3.87,08041
8,42,581,537,92.43,21,3.61,23,3.96,08042
8,43,258,232,89.92,15,5.81,11,4.26,08043
8,44,330,299,90.61,22,6.67,9,2.73,08044
8,45,399,362,90.73,20,5.01,17,4.26,08045
8,46,361,325,90.03,20,5.54,16,4.43,08046
8,47,385,352,91.43,22,5.71,11,2.86,08047
8,48,422,376,89.1,27,6.4,19,4.5,08048
8,49,415,380,91.57,17,4.1,18,4.34,08049
8,50,450,422,93.78,16,3.56,12,2.67,08050
8,51,451,421,93.35,19,4.21,11,2.44,08051
8,52,546,500,91.58,21,3.85,25,4.58,08052
8,53,266,240,90.23,18,6.77,8,3.01,08053
8,54,385,335,87.01,30,7.79,20,5.19,08054
8,55,355,331,93.24,13,3.66,11,3.1,08055
8,56,468,430,91.88,25,5.34,13,2.78,08056
9,1,423,391,92.43,18,4.26,14,3.31,09001
9,2,348,319,91.67,17,4.89,12,3.45,09002
9,3,308,271,87.99,19,6.17,18,5.84,09003
9,4,342,320,93.57,12,3.51,10,2.92,09004
9,5,422,393,93.13,14,3.32,15,3.55,09005
9,6,400,376,94.0,14,3.5,10,2.5,09006
9,7,336,307,91.37,20,5.95,9,2.68,09007
9,8,467,421,90.15,20,4.28,26,5.57,09008
9,9,499,464,92.99,17,3.41,18,3.61,09009
9,10,327,303,92.66,12,3.67,12,3.67,09010
9,11,316,287,90.82,14,4.43,15,4.75,09011
9,12,483,438,90.68,29,6.0,16,3.31,09012
9,13,478,451,94.35,17,3.56,10,2.09,09013
9,14,475,435,91.58,25,5.26,15,3.16,09014
9,15,532,473,88.91,31,5.83,28,5.26,09015
9,16,420,370,88.1,27,6.43,23,5.48,09016
9,17,319,300,94.04,14,4.39,5,1.57,09017
9,18,307,289,94.14,13,4.23,5,1.63,09018
9,19,427,393,92.04,19,4.45,15,3.51,09019
9,20,406,374,92.12,21,5.17,11,2.71,09020
9,21,400,362,90.5,23,5.75,15,3.75,09021
9,22,460,424,92.17,21,4.57,15,3.26,09022
9,23,478,442,92.47,22,4.6,14,2.93,09023
9,24,425,387,91.06,26,6.12,12,2.82,09024
9,25,416,390,93.75,16,3.85,10,2.4,09025
9,26,541,489,90.39,26,4.81,26,4.81,09026
9,27,359,335,93.31,14,3.9,10,2.79,09027
9,28,283,231,81.63,36,12.72,16,5.65,09028
9,29,379,344,90.77,23,6.07,12,3.17,09029
9,30,368,324,88.04,23,6.25,21,5.71,09030
9,31,352,311,88.35,24,6.82,17,4.83,09031
9,32,442,404,91.4,18,4.07,20,4.52,09032
9,33,325,294,90.46,20,6.15,11,3.38,09033
9,34,364,336,92.31,18,4.95,10,2.75,09034
9,35,395,368,93.16,17,4.3,10,2.53,09035
9,36,377,345,91.51,18,4.77,14,3.71,09036
9,37,629,410,65.18,159,25.28,60,9.54,09037
9,38,413,380,92.01,16,3.87,17,4.12,09038
9,39,452,424,93.81,13,2.88,15,3.32,09039
9,40,462,427,92.42,16,3.46,19,4.11,09040
9,41,352,325,92.33,14,3.98,13,3.69,09041
9,42,443,405,91.42,26,5.87,12,2.71,09042
9,43,389,353,90.75,15,3.86,21,5.4,09043
9,44,372,345,92.74,15,4.03,12,3.23,09044
9,45,355,315,88.73,22,6.2,18,5.07,09045
9,46,409,353,86.31,37,9.05,19,4.65,09046
9,47,442,413,93.44,12,2.71,17,3.85,09047
9,48,457,417,91.25,28,6.13,12,2.63,09048
9,49,474,438,92.41,20,4.22,16,3.38,09049
9,50,591,536,90.69,33,5.58,22,3.72,09050
9,51,416,383,92.07,24,5.77,9,2.16,09051
10,1,362,279,77.07,51,14.09,32,8.84,10001
10,2,464,144,31.03,263,56.68,57,12.28,10002
10,3,497,224,45.07,218,43.86,55,11.07,10003
10,4,355,262,73.8,66,18.59,27,7.61,10004
10,5,390,132,33.85,197,50.51,61,15.64,10005
10,6,389,202,51.93,150,38.56,37,9.51,10006
10,7,337,177,52.52,109,32.34,51,15.13,10007
10,8,248,198,79.84,28,11.29,22,8.87,10008
10,9,468,175,37.39,245,52.35,48,10.26,10009
10,10,500,198,39.6,238,47.6,64,12.8,10010
10,11,585,349,59.66,167,28.55,69,11.79,10011
10,12,339,154,45.43,137,40.41,48,14.16,10012
10,13,399,262,65.66,100,25.06,37,9.27,10013
10,14,569,236,41.48,249,43.76,84,14.76,10014
10,15,788,725,92.01,34,4.31,29,3.68,10015
10,16,369,156,42.28,169,45.8,44,11.92,10016
10,17,613,214,34.91,345,56.28,54,8.81,10017
10,18,262,203,77.48,35,13.36,24,9.16,10018
10,19,489,194,39.67,247,50.51,48,9.82,10019
10,20,476,210,44.12,203,42.65,63,13.24,10020
10,21,472,215,45.55,192,40.68,65,13.77,10021
10,22,273,154,56.41,87,31.87,32,11.72,10022
10,23,410,235,57.32,138,33.66,37,9.02,10023
10,24,487,153,31.42,286,58.73,48,9.86,10024
10,25,126,95,75.4,20,15.87,11,8.73,10025
10,26,332,218,65.66,77,23.19,37,11.14,10026
10,27,413,321,77.72,58,14.04,34,8.23,10027
10,28,517,290,56.09,158,30.56,69,13.35,10028
10,29,478,260,54.39,150,31.38,68,14.23,10029
10,30,425,242,56.94,126,29.65,57,13.41,10030
10,31,381,239,62.73,91,23.88,51,13.39,10031
10,32,488,234,47.95,205,42.01,49,10.04,10032
10,33,357,216,60.5,104,29.13,37,10.36,10033
10,34,315,236,74.92,58,18.41,21,6.67,10034
10,35,509,198,38.9,259,50.88,52,10.22,10035
10,36,121,82,67.77,30,24.79,9,7.44,10036
11,1,582,257,44.16,266,45.7,59,10.14,11001
11,2,41,23,56.1,14,34.15,4,9.76,11002
11,3,566,371,65.55,137,24.2,58,10.25,11003
11,4,442,218,49.32,186,42.08,38,8.6,11004
11,5,721,460,63.8,203,28.16,58,8.04,11005
11,6,868,512,58.99,283,32.6,73,8.41,11006
11,7,533,346,64.92,146,27.39,41,7.69,11007
11,8,516,258,50.0,210,40.7,48,9.3,11008
11,9,487,212,43.53,236,48.46,39,8.01,11009
11,10,556,216,38.85,291,52.34,49,8.81,11010
11,11,630,262,41.59,310,49.21,58,9.21,11011
11,12,753,112,14.87,592,78.62,49,6.51,11012
11,13,724,136,18.78,536,74.03,52,7.18,11013
11,14,326,124,38.04,185,56.75,17,5.21,11014
11,15,222,99,44.59,104,46.85,19,8.56,11015
11,16,415,143,34.46,239,57.59,33,7.95,11016
11,17,671,345,51.42,260,38.75,66,9.84,11017
11,18,471,152,32.27,269,57.11,50,10.62,11018
11,19,732,384,52.46,261,35.66,87,11.89,11019
11,20,410,130,31.71,244,59.51,36,8.78,11020
11,21,668,191,28.59,426,63.77,51,7.63,11021
11,22,690,289,41.88,341,49.42,60,8.7,11022
11,23,312,96,30.77,186,59.62,30,9.62,11023
11,24,618,179,28.96,398,64.4,41,6.63,11024
11,25,695,281,40.43,342,49.21,72,10.36,11025
11,26,601,246,40.93,306,50.92,49,8.15,11026
11,27,220,90,40.91,117,53.18,13,5.91,11027
11,28,286,79,27.62,179,62.59,28,9.79,11028
11,29,671,172,25.63,465,69.3,34,5.07,11029
11,30,305,114,37.38,174,57.05,17,5.57,11030
11,31,579,152,26.25,396,68.39,31,5.35,11031
11,32,263,64,24.33,183,69.58,16,6.08,11032
11,33,727,378,51.99,286,39.34,63,8.67,11033
11,34,185,65,35.14,102,55.14,18,9.73,11034
11,35,104,41,39.42,57,54.81,6,5.77,11035
11,36,280,111,39.64,149,53.21,20,7.14,11036
11,37,176,105,59.66,65,36.93,6,3.41,11037
11,38,286,185,64.69,74,25.87,27,9.44,11038
12,1,485,273,56.29,158,32.58,54,11.13,12001
12,2,409,236,57.7,124,30.32,49,11.98,12002
12,3,570,313,54.91,189,33.16,68,11.93,12003
12,4,556,300,53.96,196,35.25,60,10.79,12004
12,5,451,196,43.46,199,44.12,56,12.42,12005
12,6,569,311,54.66,213,37.43,45,7.91,12006
12,7,447,325,72.71,63,14.09,59,13.2,12007
12,8,494,256,51.82,191,38.66,47,9.51,12008
12,9,419,209,49.88,158,37.71,52,12.41,12009
12,10,615,438,71.22,100,16.26,77,12.52,12010
12,11,518,312,60.23,158,30.5,48,9.27,12011
12,12,486,279,57.41,157,32.3,50,10.29,12012
12,13,533,302,56.66,179,33.58,52,9.76,12013
12,14,430,302,70.23,87,20.23,41,9.53,12014
12,15,438,279,63.7,111,25.34,48,10.96,12015
12,16,414,269,64.98,104,25.12,41,9.9,12016
12,17,554,312,56.32,188,33.94,54,9.75,12017
12,18,414,279,67.39,80,19.32,55,13.29,12018
12,19,477,262,54.93,171,35.85,44,9.22,12019
12,20,573,388,67.71,133,23.21,52,9.08,12020
12,21,523,290,55.45,166,31.74,67,12.81,12021
12,22,457,319,69.8,75,16.41,63,13.79,12022
12,23,510,278,54.51,168,32.94,64,12.55,12023
13,1,413,120,29.06,236,57.14,57,13.8,13001
13,2,347,86,24.78,233,67.15,28,8.07,13002
13,3,356,220,61.8,108,30.34,28,7.87,13003
