ward,precinct,total,Maire Aileen Dempsey,Maire Aileen Dempsey Percent,precinct_id
45,3,349,349,100.0,45003
45,4,378,378,100.0,45004
45,5,89,89,100.0,45005
45,7,508,508,100.0,45007
45,8,363,363,100.0,45008
45,9,142,142,100.0,45009
45,10,224,224,100.0,45010
45,11,284,284,100.0,45011
45,12,346,346,100.0,45012
45,13,311,311,100.0,45013
45,14,556,556,100.0,45014
45,15,492,492,100.0,45015
45,16,334,334,100.0,45016
45,17,387,387,100.0,45017
45,18,396,396,100.0,45018
45,19,201,201,100.0,45019
45,20,254,254,100.0,45020
45,21,310,310,100.0,45021
45,22,353,353,100.0,45022
45,23,336,336,100.0,45023
45,24,262,262,100.0,45024
45,25,236,236,100.0,45025
45,26,190,190,100.0,45026
45,27,339,339,100.0,45027
45,28,287,287,100.0,45028
45,29,234,234,100.0,45029
45,30,360,360,100.0,45030
45,31,308,308,100.0,45031
45,32,329,329,100.0,45032
45,33,249,249,100.0,45033
45,34,378,378,100.0,45034
45,35,387,387,100.0,45035
45,36,357,357,100.0,45036
45,37,328,328,100.0,45037
45,38,352,352,100.0,45038
45,39,353,353,100.0,45039
45,40,339,339,100.0,45040
45,41,322,322,100.0,45041
45,42,338,338,100.0,45042
45,43,364,364,100.0,45043
45,44,318,318,100.0,45044
45,45,203,203,100.0,45045
45,46,254,254,100.0,45046
45,47,222,222,100.0,45047
45,48,240,240,100.0,45048
47,1,351,351,100.0,47001
47,2,489,489,100.0,47002
47,3,447,447,100.0,47003
47,4,603,603,100.0,47004
47,5,554,554,100.0,47005
47,6,636,636,100.0,47006
47,7,467,467,100.0,47007
47,8,487,487,100.0,47008
47,9,60,60,100.0,47009
47,10,608,608,100.0,47010
47,12,559,559,100.0,47012
47,13,371,371,100.0,47013
47,14,457,457,100.0,47014
47,16,493,493,100.0,47016
47,17,498,498,100.0,47017
47,20,535,535,100.0,47020
47,21,476,476,100.0,47021
47,22,533,533,100.0,47022
47,25,634,634,100.0,47025
47,26,728,728,100.0,47026
47,27,426,426,100.0,47027
47,28,462,462,100.0,47028
47,29,597,597,100.0,47029
47,30,646,646,100.0,47030
47,31,553,553,100.0,47031
47,32,635,635,100.0,47032
47,33,331,331,100.0,47033
47,34,530,530,100.0,47034
47,35,492,492,100.0,47035
47,36,593,593,100.0,47036
47,37,476,476,100.0,47037
47,38,488,488,100.0,47038
47,39,505,505,100.0,47039
47,40,245,245,100.0,47040
47,42,294,294,100.0,47042
47,43,455,455,100.0,47043
47,45,464,464,100.0,47045
47,46,493,493,100.0,47046
47,47,614,614,100.0,47047
47,48,25,25,100.0,47048
50,23,216,216,100.0,50023
50,24,22,22,100.0,50024
50,26,35,35,100.0,50026
50,30,69,69,100.0,50030
50,31,136,136,100.0,50031
