ward,precinct,total,Maura McMahon Zeller,Maura McMahon Zeller Percent,precinct_id
4,22,416,416,100.0,04022
4,23,544,544,100.0,04023
4,24,435,435,100.0,04024
4,25,556,556,100.0,04025
4,26,419,419,100.0,04026
4,27,627,627,100.0,04027
4,28,413,413,100.0,04028
4,29,452,452,100.0,04029
4,30,635,635,100.0,04030
4,31,396,396,100.0,04031
4,32,522,522,100.0,04032
4,33,433,433,100.0,04033
4,34,409,409,100.0,04034
4,35,544,544,100.0,04035
4,36,557,557,100.0,04036
4,37,857,857,100.0,04037
4,38,548,548,100.0,04038
5,1,368,368,100.0,05001
5,2,286,286,100.0,05002
5,3,433,433,100.0,05003
5,4,590,590,100.0,05004
5,5,380,380,100.0,05005
5,6,314,314,100.0,05006
5,7,398,398,100.0,05007
5,8,397,397,100.0,05008
5,9,506,506,100.0,05009
5,10,334,334,100.0,05010
5,11,408,408,100.0,05011
5,12,254,254,100.0,05012
5,13,357,357,100.0,05013
5,14,337,337,100.0,05014
5,15,412,412,100.0,05015
5,16,390,390,100.0,05016
5,17,324,324,100.0,05017
5,18,394,394,100.0,05018
5,19,361,361,100.0,05019
5,20,455,455,100.0,05020
5,21,436,436,100.0,05021
5,22,495,495,100.0,05022
5,23,707,707,100.0,05023
5,24,522,522,100.0,05024
5,25,397,397,100.0,05025
5,26,400,400,100.0,05026
5,27,407,407,100.0,05027
5,28,408,408,100.0,05028
5,29,434,434,100.0,05029
5,30,248,248,100.0,05030
5,31,304,304,100.0,05031
5,32,490,490,100.0,05032
5,33,426,426,100.0,05033
5,34,395,395,100.0,05034
5,35,541,541,100.0,05035
5,36,258,258,100.0,05036
5,37,430,430,100.0,05037
5,38,359,359,100.0,05038
5,39,328,328,100.0,05039
5,40,316,316,100.0,05040
5,41,187,187,100.0,05041
6,1,340,340,100.0,06001
6,2,354,354,100.0,06002
6,3,347,347,100.0,06003
6,4,225,225,100.0,06004
6,5,199,199,100.0,06005
6,6,413,413,100.0,06006
6,7,321,321,100.0,06007
6,8,326,326,100.0,06008
6,9,324,324,100.0,06009
6,10,216,216,100.0,06010
6,11,296,296,100.0,06011
6,12,227,227,100.0,06012
6,13,246,246,100.0,06013
6,14,307,307,100.0,06014
6,15,266,266,100.0,06015
6,16,355,355,100.0,06016
6,17,229,229,100.0,06017
6,18,234,234,100.0,06018
6,19,263,263,100.0,06019
6,20,227,227,100.0,06020
6,21,131,131,100.0,06021
6,22,184,184,100.0,06022
6,23,144,144,100.0,06023
6,24,168,168,100.0,06024
6,25,157,157,100.0,06025
6,26,221,221,100.0,06026
6,27,204,204,100.0,06027
6,28,159,159,100.0,06028
6,29,336,336,100.0,06029
6,30,270,270,100.0,06030
6,31,354,354,100.0,06031
6,32,351,351,100.0,06032
6,33,322,322,100.0,06033
6,34,322,322,100.0,06034
6,35,301,301,100.0,06035
6,36,347,347,100.0,06036
6,37,374,374,100.0,06037
6,38,354,354,100.0,06038
6,39,262,262,100.0,06039
6,40,288,288,100.0,06040
6,41,324,324,100.0,06041
6,42,309,309,100.0,06042
6,43,302,302,100.0,06043
6,44,369,369,100.0,06044
6,45,330,330,100.0,06045
6,46,246,246,100.0,06046
6,47,232,232,100.0,06047
6,48,329,329,100.0,06048
7,1,308,308,100.0,07001
7,2,309,309,100.0,07002
7,3,312,312,100.0,07003
7,4,312,312,100.0,07004
7,5,273,273,100.0,07005
7,6,420,420,100.0,07006
7,7,283,283,100.0,07007
7,8,272,272,100.0,07008
7,9,522,522,100.0,07009
7,10,393,393,100.0,07010
7,11,332,332,100.0,07011
7,12,267,267,100.0,07012
7,13,173,173,100.0,07013
7,14,351,351,100.0,07014
7,15,321,321,100.0,07015
7,16,299,299,100.0,07016
7,17,239,239,100.0,07017
7,18,290,290,100.0,07018
7,19,308,308,100.0,07019
7,20,247,247,100.0,07020
7,21,237,237,100.0,07021
7,22,269,269,100.0,07022
7,23,316,316,100.0,07023
7,24,267,267,100.0,07024
7,25,242,242,100.0,07025
7,26,269,269,100.0,07026
7,27,233,233,100.0,07027
7,28,224,224,100.0,07028
7,29,283,283,100.0,07029
7,30,254,254,100.0,07030
7,31,246,246,100.0,07031
7,32,416,416,100.0,07032
7,33,425,425,100.0,07033
7,34,410,410,100.0,07034
7,35,362,362,100.0,07035
7,36,405,405,100.0,07036
7,37,327,327,100.0,07037
7,38,305,305,100.0,07038
7,39,288,288,100.0,07039
7,40,288,288,100.0,07040
7,41,323,323,100.0,07041
7,42,315,315,100.0,07042
7,43,310,310,100.0,07043
7,44,285,285,100.0,07044
7,45,268,268,100.0,07045
7,46,88,88,100.0,07046
8,1,271,271,100.0,08001
8,2,296,296,100.0,08002
8,3,384,384,100.0,08003
8,4,391,391,100.0,08004
8,5,373,373,100.0,08005
8,6,336,336,100.0,08006
8,7,372,372,100.0,08007
8,8,335,335,100.0,08008
8,9,220,220,100.0,08009
8,10,434,434,100.0,08010
8,11,276,276,100.0,08011
8,12,276,276,100.0,08012
8,13,358,358,100.0,08013
8,14,233,233,100.0,08014
8,15,299,299,100.0,08015
8,16,105,105,100.0,08016
8,17,296,296,100.0,08017
8,18,290,290,100.0,08018
8,19,377,377,100.0,08019
8,20,366,366,100.0,08020
8,21,431,431,100.0,08021
8,22,302,302,100.0,08022
8,23,254,254,100.0,08023
8,24,172,172,100.0,08024
8,25,304,304,100.0,08025
8,26,269,269,100.0,08026
8,27,362,362,100.0,08027
8,28,327,327,100.0,08028
8,29,345,345,100.0,08029
8,30,366,366,100.0,08030
8,31,251,251,100.0,08031
8,32,261,261,100.0,08032
8,33,250,250,100.0,08033
8,34,324,324,100.0,08034
8,35,376,376,100.0,08035
8,36,332,332,100.0,08036
8,37,260,260,100.0,08037
8,38,236,236,100.0,08038
8,39,320,320,100.0,08039
8,40,262,262,100.0,08040
8,41,333,333,100.0,08041
8,42,427,427,100.0,08042
8,43,175,175,100.0,08043
8,44,220,220,100.0,08044
8,45,261,261,100.0,08045
8,46,261,261,100.0,08046
8,47,277,277,100.0,08047
8,48,288,288,100.0,08048
8,49,306,306,100.0,08049
8,50,312,312,100.0,08050
8,51,331,331,100.0,08051
8,52,416,416,100.0,08052
8,53,197,197,100.0,08053
8,54,257,257,100.0,08054
8,55,251,251,100.0,08055
8,56,343,343,100.0,08056
9,1,292,292,100.0,09001
9,2,242,242,100.0,09002
9,3,157,157,100.0,09003
9,4,233,233,100.0,09004
9,5,319,319,100.0,09005
9,6,291,291,100.0,09006
9,7,234,234,100.0,09007
9,8,329,329,100.0,09008
9,9,345,345,100.0,09009
9,10,226,226,100.0,09010
9,11,221,221,100.0,09011
9,12,344,344,100.0,09012
9,13,347,347,100.0,09013
9,14,354,354,100.0,09014
9,15,308,308,100.0,09015
9,16,305,305,100.0,09016
9,17,211,211,100.0,09017
9,18,219,219,100.0,09018
9,19,306,306,100.0,09019
9,20,297,297,100.0,09020
9,21,289,289,100.0,09021
9,22,333,333,100.0,09022
9,23,341,341,100.0,09023
9,24,311,311,100.0,09024
9,25,297,297,100.0,09025
9,26,341,341,100.0,09026
9,27,261,261,100.0,09027
9,28,182,182,100.0,09028
9,29,266,266,100.0,09029
9,30,250,250,100.0,09030
9,31,261,261,100.0,09031
9,32,311,311,100.0,09032
9,33,189,189,100.0,09033
9,34,267,267,100.0,09034
9,35,290,290,100.0,09035
9,36,265,265,100.0,09036
9,37,444,444,100.0,09037
9,38,269,269,100.0,09038
9,39,322,322,100.0,09039
9,40,340,340,100.0,09040
9,41,252,252,100.0,09041
9,42,348,348,100.0,09042
9,43,259,259,100.0,09043
9,44,288,288,100.0,09044
9,45,246,246,100.0,09045
9,46,295,295,100.0,09046
9,47,333,333,100.0,09047
9,48,310,310,100.0,09048
9,49,315,315,100.0,09049
9,50,434,434,100.0,09050
9,51,299,299,100.0,09051
10,1,255,255,100.0,10001
10,2,275,275,100.0,10002
10,3,295,295,100.0,10003
10,4,240,240,100.0,10004
10,5,239,239,100.0,10005
10,6,253,253,100.0,10006
10,7,234,234,100.0,10007
10,8,140,140,100.0,10008
10,9,266,266,100.0,10009
10,10,347,347,100.0,10010
10,11,421,421,100.0,10011
10,12,233,233,100.0,10012
10,13,280,280,100.0,10013
10,14,396,396,100.0,10014
10,15,549,549,100.0,10015
10,16,221,221,100.0,10016
10,17,349,349,100.0,10017
10,18,179,179,100.0,10018
10,19,315,315,100.0,10019
10,20,342,342,100.0,10020
10,21,310,310,100.0,10021
10,22,195,195,100.0,10022
10,23,286,286,100.0,10023
10,24,271,271,100.0,10024
10,25,97,97,100.0,10025
10,26,248,248,100.0,10026
10,27,292,292,100.0,10027
10,28,376,376,100.0,10028
10,29,353,353,100.0,10029
10,30,314,314,100.0,10030
10,31,298,298,100.0,10031
10,32,337,337,100.0,10032
10,33,271,271,100.0,10033
10,34,199,199,100.0,10034
10,35,329,329,100.0,10035
10,36,84,84,100.0,10036
11,1,363,363,100.0,11001
11,2,30,30,100.0,11002
11,3,392,392,100.0,11003
11,4,298,298,100.0,11004
11,5,487,487,100.0,11005
11,6,606,606,100.0,11006
11,7,377,377,100.0,11007
11,8,367,367,100.0,11008
11,9,314,314,100.0,11009
11,10,371,371,100.0,11010
11,11,385,385,100.0,11011
11,12,414,414,100.0,11012
11,13,358,358,100.0,11013
11,14,186,186,100.0,11014
11,15,134,134,100.0,11015
11,16,251,251,100.0,11016
11,17,463,463,100.0,11017
11,18,286,286,100.0,11018
11,19,489,489,100.0,11019
11,20,252,252,100.0,11020
11,21,396,396,100.0,11021
11,22,465,465,100.0,11022
11,23,199,199,100.0,11023
11,24,399,399,100.0,11024
11,25,443,443,100.0,11025
11,26,380,380,100.0,11026
11,27,148,148,100.0,11027
11,28,162,162,100.0,11028
11,29,402,402,100.0,11029
11,30,175,175,100.0,11030
11,31,301,301,100.0,11031
11,32,132,132,100.0,11032
11,33,511,511,100.0,11033
11,34,95,95,100.0,11034
11,35,54,54,100.0,11035
11,36,174,174,100.0,11036
11,37,100,100,100.0,11037
11,38,200,200,100.0,11038
12,1,315,315,100.0,12001
12,2,255,255,100.0,12002
12,3,400,400,100.0,12003
12,4,399,399,100.0,12004
12,5,287,287,100.0,12005
12,6,410,410,100.0,12006
12,7,297,297,100.0,12007
12,8,307,307,100.0,12008
12,9,264,264,100.0,12009
12,10,423,423,100.0,12010
12,11,355,355,100.0,12011
12,12,341,341,100.0,12012
12,13,373,373,100.0,12013
12,14,306,306,100.0,12014
12,15,293,293,100.0,12015
12,16,294,294,100.0,12016
12,17,398,398,100.0,12017
12,18,282,282,100.0,12018
12,19,335,335,100.0,12019
12,20,419,419,100.0,12020
12,21,361,361,100.0,12021
12,22,337,337,100.0,12022
12,23,338,338,100.0,12023
13,1,268,268,100.0,13001
13,2,211,211,100.0,13002
13,3,249,249,100.0,13003
13,4,289,289,100.0,13004
13,5,378,378,100.0,13005
13,6,242,242,100.0,13006
13,7,258,258,100.0,13007
13,8,222,222,100.0,13008
13,9,350,350,100.0,13009
13,10,214,214,100.0,13010
13,11,299,299,100.0,13011
13,12,269,269,100.0,13012
13,13,291,291,100.0,13013
13,14,261,261,100.0,13014
13,15,456,456,100.0,13015
13,16,228,228,100.0,13016
13,17,255,255,100.0,13017
13,18,223,223,100.0,13018
13,19,387,387,100.0,13019
13,20,185,185,100.0,13020
13,21,274,274,100.0,13021
13,22,272,272,100.0,13022
13,23,244,244,100.0,13023
13,24,292,292,100.0,13024
13,25,310,310,100.0,13025
13,26,293,293,100.0,13026
13,27,271,271,100.0,13027
13,28,240,240,100.0,13028
13,29,257,257,100.0,13029
13,30,258,258,100.0,13030
13,31,298,298,100.0,13031
13,32,223,223,100.0,13032
13,33,258,258,100.0,13033
13,34,322,322,100.0,13034
13,35,257,257,100.0,13035
13,36,229,229,100.0,13036
13,37,301,301,100.0,13037
13,38,219,219,100.0,13038
13,39,318,318,100.0,13039
13,40,268,268,100.0,13040
13,41,379,379,100.0,13041
13,42,257,257,100.0,13042
13,43,281,281,100.0,13043
13,44,332,332,100.0,13044
13,45,306,306,100.0,13045
13,46,352,352,100.0,13046
13,47,344,344,100.0,13047
13,48,226,226,100.0,13048
14,1,289,289,100.0,14001
14,2,497,497,100.0,14002
14,3,311,311,100.0,14003
14,4,280,280,100.0,14004
14,5,464,464,100.0,14005
14,6,174,174,100.0,14006
14,7,458,458,100.0,14007
14,8,399,399,100.0,14008
14,9,356,356,100.0,14009
14,10,255,255,100.0,14010
14,11,200,200,100.0,14011
14,12,351,351,100.0,14012
14,13,322,322,100.0,14013
14,14,333,333,100.0,14014
14,15,338,338,100.0,14015
14,16,241,241,100.0,14016
14,17,263,263,100.0,14017
14,18,157,157,100.0,14018
14,19,334,334,100.0,14019
14,20,262,262,100.0,14020
14,21,330,330,100.0,14021
14,22,385,385,100.0,14022
14,23,244,244,100.0,14023
14,24,357,357,100.0,14024
14,25,167,167,100.0,14025
14,26,246,246,100.0,14026
14,27,343,343,100.0,14027
14,28,306,306,100.0,14028
14,29,235,235,100.0,14029
14,30,247,247,100.0,14030
14,31,188,188,100.0,14031
15,1,262,262,100.0,15001
15,2,174,174,100.0,15002
15,3,181,181,100.0,15003
15,4,340,340,100.0,15004
15,5,278,278,100.0,15005
15,6,330,330,100.0,15006
15,7,168,168,100.0,15007
15,8,314,314,100.0,15008
15,9,436,436,100.0,15009
15,10,429,429,100.0,15010
15,11,412,412,100.0,15011
15,12,398,398,100.0,15012
15,13,332,332,100.0,15013
15,14,273,273,100.0,15014
15,15,277,277,100.0,15015
15,16,376,376,100.0,15016
15,17,182,182,100.0,15017
15,18,136,136,100.0,15018
15,19,263,263,100.0,15019
15,20,181,181,100.0,15020
15,21,154,154,100.0,15021
15,22,145,145,100.0,15022
15,23,199,199,100.0,15023
15,24,178,178,100.0,15024
16,1,405,405,100.0,16001
16,2,218,218,100.0,16002
16,3,218,218,100.0,16003
16,4,230,230,100.0,16004
16,5,178,178,100.0,16005
16,6,205,205,100.0,16006
16,7,244,244,100.0,16007
16,8,153,153,100.0,16008
16,9,213,213,100.0,16009
16,10,203,203,100.0,16010
16,11,244,244,100.0,16011
16,12,205,205,100.0,16012
16,13,271,271,100.0,16013
16,14,159,159,100.0,16014
16,15,212,212,100.0,16015
16,16,188,188,100.0,16016
16,17,328,328,100.0,16017
16,18,246,246,100.0,16018
16,19,226,226,100.0,16019
16,20,154,154,100.0,16020
16,21,187,187,100.0,16021
16,22,209,209,100.0,16022
16,23,349,349,100.0,16023
16,24,113,113,100.0,16024
16,25,243,243,100.0,16025
16,26,156,156,100.0,16026
16,27,150,150,100.0,16027
16,28,164,164,100.0,16028
16,29,175,175,100.0,16029
16,30,168,168,100.0,16030
16,31,198,198,100.0,16031
16,32,333,333,100.0,16032
16,33,171,171,100.0,16033
16,34,193,193,100.0,16034
16,35,340,340,100.0,16035
16,36,164,164,100.0,16036
17,1,290,290,100.0,17001
17,2,269,269,100.0,17002
17,3,282,282,100.0,17003
17,4,294,294,100.0,17004
17,5,211,211,100.0,17005
17,6,300,300,100.0,17006
17,7,264,264,100.0,17007
17,8,229,229,100.0,17008
17,9,217,217,100.0,17009
17,10,360,360,100.0,17010
17,11,213,213,100.0,17011
17,12,406,406,100.0,17012
17,13,206,206,100.0,17013
17,14,314,314,100.0,17014
17,15,288,288,100.0,17015
17,16,317,317,100.0,17016
17,17,287,287,100.0,17017
17,18,352,352,100.0,17018
17,19,172,172,100.0,17019
17,20,390,390,100.0,17020
17,21,346,346,100.0,17021
17,22,284,284,100.0,17022
17,23,183,183,100.0,17023
17,24,297,297,100.0,17024
17,25,214,214,100.0,17025
17,26,295,295,100.0,17026
17,27,253,253,100.0,17027
17,28,216,216,100.0,17028
17,29,282,282,100.0,17029
17,30,287,287,100.0,17030
17,31,193,193,100.0,17031
17,32,219,219,100.0,17032
17,33,164,164,100.0,17033
17,34,217,217,100.0,17034
17,35,202,202,100.0,17035
17,36,259,259,100.0,17036
17,37,250,250,100.0,17037
17,38,293,293,100.0,17038
17,39,267,267,100.0,17039
17,40,312,312,100.0,17040
17,41,392,392,100.0,17041
18,1,310,310,100.0,18001
18,2,364,364,100.0,18002
18,3,265,265,100.0,18003
18,4,363,363,100.0,18004
18,5,196,196,100.0,18005
18,6,279,279,100.0,18006
18,7,328,328,100.0,18007
18,8,340,340,100.0,18008
18,9,325,325,100.0,18009
18,10,444,444,100.0,18010
18,11,316,316,100.0,18011
18,12,309,309,100.0,18012
18,13,373,373,100.0,18013
18,14,350,350,100.0,18014
18,15,352,352,100.0,18015
18,16,341,341,100.0,18016
18,17,352,352,100.0,18017
18,18,257,257,100.0,18018
18,19,297,297,100.0,18019
18,20,223,223,100.0,18020
18,21,403,403,100.0,18021
18,22,368,368,100.0,18022
18,23,322,322,100.0,18023
18,24,297,297,100.0,18024
18,25,334,334,100.0,18025
18,26,449,449,100.0,18026
18,27,294,294,100.0,18027
18,28,265,265,100.0,18028
18,29,388,388,100.0,18029
18,30,375,375,100.0,18030
18,31,354,354,100.0,18031
18,32,332,332,100.0,18032
18,33,266,266,100.0,18033
18,34,361,361,100.0,18034
18,35,405,405,100.0,18035
18,36,354,354,100.0,18036
18,37,414,414,100.0,18037
18,38,304,304,100.0,18038
18,39,286,286,100.0,18039
18,40,355,355,100.0,18040
18,41,424,424,100.0,18041
18,42,288,288,100.0,18042
18,43,286,286,100.0,18043
18,44,278,278,100.0,18044
18,45,343,343,100.0,18045
18,46,336,336,100.0,18046
18,47,245,245,100.0,18047
18,48,269,269,100.0,18048
18,49,219,219,100.0,18049
18,50,220,220,100.0,18050
19,1,252,252,100.0,19001
19,2,466,466,100.0,19002
19,3,198,198,100.0,19003
19,4,303,303,100.0,19004
19,5,379,379,100.0,19005
19,6,285,285,100.0,19006
19,7,246,246,100.0,19007
19,8,298,298,100.0,19008
19,9,197,197,100.0,19009
19,10,411,411,100.0,19010
19,11,212,212,100.0,19011
19,12,205,205,100.0,19012
19,13,421,421,100.0,19013
19,14,370,370,100.0,19014
19,15,360,360,100.0,19015
19,16,263,263,100.0,19016
19,17,246,246,100.0,19017
19,18,316,316,100.0,19018
19,19,400,400,100.0,19019
19,20,311,311,100.0,19020
19,21,284,284,100.0,19021
19,22,358,358,100.0,19022
19,23,306,306,100.0,19023
19,24,215,215,100.0,19024
19,25,298,298,100.0,19025
19,26,307,307,100.0,19026
19,27,358,358,100.0,19027
19,28,419,419,100.0,19028
19,29,260,260,100.0,19029
19,30,263,263,100.0,19030
19,31,289,289,100.0,19031
19,32,249,249,100.0,19032
19,33,283,283,100.0,19033
19,34,286,286,100.0,19034
19,35,301,301,100.0,19035
19,36,468,468,100.0,19036
19,37,359,359,100.0,19037
19,38,313,313,100.0,19038
19,39,186,186,100.0,19039
19,40,347,347,100.0,19040
19,41,236,236,100.0,19041
19,42,275,275,100.0,19042
19,43,498,498,100.0,19043
19,44,293,293,100.0,19044
19,45,325,325,100.0,19045
19,46,253,253,100.0,19046
19,47,507,507,100.0,19047
19,48,422,422,100.0,19048
19,49,448,448,100.0,19049
19,50,285,285,100.0,19050
19,51,318,318,100.0,19051
19,52,327,327,100.0,19052
19,53,274,274,100.0,19053
19,54,186,186,100.0,19054
19,55,209,209,100.0,19055
19,56,373,373,100.0,19056
19,57,288,288,100.0,19057
20,1,361,361,100.0,20001
20,2,101,101,100.0,20002
20,3,313,313,100.0,20003
20,4,143,143,100.0,20004
20,5,384,384,100.0,20005
20,6,126,126,100.0,20006
20,7,373,373,100.0,20007
20,8,277,277,100.0,20008
20,9,491,491,100.0,20009
20,10,228,228,100.0,20010
20,11,409,409,100.0,20011
20,12,286,286,100.0,20012
20,13,281,281,100.0,20013
20,14,181,181,100.0,20014
20,15,294,294,100.0,20015
20,16,383,383,100.0,20016
20,17,179,179,100.0,20017
20,18,205,205,100.0,20018
20,19,334,334,100.0,20019
20,20,234,234,100.0,20020
20,21,242,242,100.0,20021
20,22,460,460,100.0,20022
20,23,268,268,100.0,20023
20,24,412,412,100.0,20024
20,25,192,192,100.0,20025
20,26,321,321,100.0,20026
20,27,157,157,100.0,20027
20,28,209,209,100.0,20028
20,29,331,331,100.0,20029
20,30,132,132,100.0,20030
20,31,367,367,100.0,20031
20,32,238,238,100.0,20032
20,33,204,204,100.0,20033
20,34,398,398,100.0,20034
20,35,198,198,100.0,20035
20,36,96,96,100.0,20036
20,37,87,87,100.0,20037
20,38,96,96,100.0,20038
20,39,22,22,100.0,20039
21,1,346,346,100.0,21001
21,2,220,220,100.0,21002
21,3,311,311,100.0,21003
21,4,325,325,100.0,21004
21,5,332,332,100.0,21005
21,6,257,257,100.0,21006
21,7,322,322,100.0,21007
21,8,333,333,100.0,21008
21,9,329,329,100.0,21009
21,10,273,273,100.0,21010
21,11,296,296,100.0,21011
21,12,289,289,100.0,21012
21,13,307,307,100.0,21013
21,14,357,357,100.0,21014
21,15,293,293,100.0,21015
21,16,279,279,100.0,21016
21,17,257,257,100.0,21017
21,18,329,329,100.0,21018
21,19,367,367,100.0,21019
21,20,289,289,100.0,21020
21,21,256,256,100.0,21021
21,22,286,286,100.0,21022
21,23,286,286,100.0,21023
21,24,349,349,100.0,21024
21,25,282,282,100.0,21025
21,26,311,311,100.0,21026
21,27,348,348,100.0,21027
21,28,355,355,100.0,21028
21,29,343,343,100.0,21029
21,30,261,261,100.0,21030
21,31,231,231,100.0,21031
21,32,309,309,100.0,21032
21,33,261,261,100.0,21033
21,34,288,288,100.0,21034
21,35,383,383,100.0,21035
21,36,289,289,100.0,21036
21,37,238,238,100.0,21037
21,38,314,314,100.0,21038
21,39,317,317,100.0,21039
21,40,271,271,100.0,21040
21,41,330,330,100.0,21041
21,42,341,341,100.0,21042
21,43,327,327,100.0,21043
21,44,339,339,100.0,21044
21,45,307,307,100.0,21045
21,46,350,350,100.0,21046
21,47,277,277,100.0,21047
21,48,298,298,100.0,21048
21,49,343,343,100.0,21049
21,50,211,211,100.0,21050
21,51,344,344,100.0,21051
21,52,298,298,100.0,21052
21,53,241,241,100.0,21053
21,54,255,255,100.0,21054
22,1,180,180,100.0,22001
22,2,377,377,100.0,22002
22,3,512,512,100.0,22003
22,4,258,258,100.0,22004
22,5,263,263,100.0,22005
22,6,290,290,100.0,22006
22,7,283,283,100.0,22007
22,8,443,443,100.0,22008
22,9,245,245,100.0,22009
22,10,409,409,100.0,22010
22,11,223,223,100.0,22011
22,12,236,236,100.0,22012
22,13,317,317,100.0,22013
22,14,254,254,100.0,22014
22,15,282,282,100.0,22015
22,16,265,265,100.0,22016
22,17,399,399,100.0,22017
22,18,268,268,100.0,22018
22,19,145,145,100.0,22019
22,20,335,335,100.0,22020
22,21,287,287,100.0,22021
22,22,294,294,100.0,22022
22,23,344,344,100.0,22023
22,24,391,391,100.0,22024
22,25,297,297,100.0,22025
23,1,241,241,100.0,23001
23,2,283,283,100.0,23002
23,3,232,232,100.0,23003
23,4,294,294,100.0,23004
23,5,315,315,100.0,23005
23,6,296,296,100.0,23006
23,7,306,306,100.0,23007
23,8,358,358,100.0,23008
23,9,316,316,100.0,23009
23,10,364,364,100.0,23010
23,11,383,383,100.0,23011
23,12,266,266,100.0,23012
23,13,291,291,100.0,23013
23,14,254,254,100.0,23014
