ward,precinct,total,Daniel Edward Maloney,Daniel Edward Maloney Percent,precinct_id
23,29,256,256,100.0,23029
23,30,376,376,100.0,23030
23,31,261,261,100.0,23031
23,32,319,319,100.0,23032
23,33,371,371,100.0,23033
23,34,363,363,100.0,23034
23,35,201,201,100.0,23035
23,36,279,279,100.0,23036
23,37,291,291,100.0,23037
23,38,250,250,100.0,23038
23,39,351,351,100.0,23039
34,17,398,398,100.0,34017
34,19,74,74,100.0,34019
34,49,184,184,100.0,34049
