ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Sargis Sangari,Sargis Sangari Percent,precinct_id
50,19,431,367,85.15,64,14.85,50019
50,20,565,446,78.94,119,21.06,50020
50,21,497,380,76.46,117,23.54,50021
50,22,542,324,59.78,218,40.22,50022
50,23,419,268,63.96,151,36.04,50023
50,25,489,255,52.15,234,47.85,50025
50,26,634,443,69.87,191,30.13,50026
50,27,206,123,59.71,83,40.29,50027
50,28,577,488,84.58,89,15.42,50028
50,29,571,478,83.71,93,16.29,50029
50,30,432,373,86.34,59,13.66,50030
50,31,727,625,85.97,102,14.03,50031
50,32,642,557,86.76,85,13.24,50032
50,33,455,201,44.18,254,55.82,50033
50,34,743,513,69.04,230,30.96,50034
50,35,689,597,86.65,92,13.35,50035
50,36,557,433,77.74,124,22.26,50036
50,37,571,486,85.11,85,14.89,50037
50,38,231,147,63.64,84,36.36,50038
50,39,398,234,58.79,164,41.21,50039
50,40,587,216,36.8,371,63.2,50040
