ward,precinct,total,Richard J. Durbin,Richard J. Durbin Percent,Mark C. Curran Jr.,Mark C. Curran Jr. Percent,Willie L. Wilson,Willie L. Wilson Percent,Danny Malouf,Danny Malouf Percent,precinct_id
3,9,678,510,75.22,9,1.33,146,21.53,5,0.74,03009
3,10,314,233,74.2,8,2.55,66,21.02,4,1.27,03010
3,11,653,501,76.72,11,1.68,134,20.52,3,0.46,03011
3,12,580,441,76.03,8,1.38,122,21.03,1,0.17,03012
3,13,785,640,81.53,97,12.36,32,4.08,12,1.53,03013
3,14,761,605,79.5,82,10.78,54,7.1,9,1.18,03014
3,15,579,453,78.24,6,1.04,109,18.83,6,1.04,03015
3,16,486,366,75.31,12,2.47,101,20.78,4,0.82,03016
3,17,955,776,81.26,68,7.12,96,10.05,9,0.94,03017
3,18,869,646,74.34,26,2.99,175,20.14,9,1.04,03018
3,19,827,611,73.88,180,21.77,24,2.9,7,0.85,03019
3,20,643,493,76.67,12,1.87,130,20.22,1,0.16,03020
3,21,731,542,74.15,135,18.47,46,6.29,7,0.96,03021
3,22,951,737,77.5,156,16.4,32,3.36,16,1.68,03022
3,23,533,392,73.55,21,3.94,117,21.95,0,0.0,03023
3,24,515,393,76.31,13,2.52,103,20.0,3,0.58,03024
3,25,1218,923,75.78,245,20.11,34,2.79,8,0.66,03025
3,26,771,599,77.69,117,15.18,39,5.06,9,1.17,03026
3,27,866,624,72.06,186,21.48,38,4.39,8,0.92,03027
3,28,374,275,73.53,9,2.41,87,23.26,1,0.27,03028
3,29,665,479,72.03,13,1.95,166,24.96,3,0.45,03029
3,30,529,415,78.45,6,1.13,101,19.09,2,0.38,03030
3,31,715,543,75.94,8,1.12,157,21.96,1,0.14,03031
3,32,1082,854,78.93,158,14.6,49,4.53,10,0.92,03032
3,33,853,686,80.42,115,13.48,31,3.63,11,1.29,03033
3,34,1019,834,81.84,120,11.78,52,5.1,5,0.49,03034
3,35,319,257,80.56,9,2.82,49,15.36,2,0.63,03035
3,36,294,212,72.11,5,1.7,75,25.51,1,0.34,03036
3,37,532,405,76.13,10,1.88,106,19.92,4,0.75,03037
3,38,447,357,79.87,3,0.67,83,18.57,2,0.45,03038
3,39,1330,1066,80.15,200,15.04,30,2.26,12,0.9,03039
3,40,673,537,79.79,56,8.32,69,10.25,8,1.19,03040
3,41,494,389,78.74,33,6.68,63,12.75,4,0.81,03041
4,1,945,809,85.61,48,5.08,58,6.14,5,0.53,04001
4,2,894,716,80.09,138,15.44,25,2.8,11,1.23,04002
4,3,533,400,75.05,5,0.94,125,23.45,2,0.38,04003
4,4,822,604,73.48,22,2.68,189,22.99,1,0.12,04004
4,5,648,511,78.86,17,2.62,108,16.67,4,0.62,04005
4,6,734,607,82.7,47,6.4,78,10.63,1,0.14,04006
4,7,780,616,78.97,15,1.92,143,18.33,2,0.26,04007
4,8,699,524,74.96,11,1.57,149,21.32,6,0.86,04008
4,9,672,551,81.99,16,2.38,101,15.03,0,0.0,04009
4,10,782,664,84.91,12,1.53,96,12.28,4,0.51,04010
4,11,643,524,81.49,7,1.09,104,16.17,2,0.31,04011
4,12,787,634,80.56,13,1.65,135,17.15,0,0.0,04012
4,13,932,751,80.58,112,12.02,33,3.54,26,2.79,04013
4,14,640,505,78.91,21,3.28,102,15.94,4,0.63,04014
4,15,697,578,82.93,15,2.15,97,13.92,3,0.43,04015
4,16,1208,977,80.88,173,14.32,32,2.65,13,1.08,04016
4,17,811,668,82.37,90,11.1,19,2.34,14,1.73,04017
4,18,609,439,72.09,9,1.48,158,25.94,1,0.16,04018
4,19,534,416,77.9,12,2.25,98,18.35,2,0.37,04019
4,20,563,424,75.31,96,17.05,22,3.91,11,1.95,04020
4,21,783,631,80.59,104,13.28,27,3.45,10,1.28,04021
4,22,638,540,84.64,32,5.02,57,8.93,5,0.78,04022
4,23,809,726,89.74,25,3.09,40,4.94,5,0.62,04023
4,24,602,506,84.05,24,3.99,57,9.47,3,0.5,04024
4,25,886,711,80.25,132,14.9,17,1.92,16,1.81,04025
4,26,569,424,74.52,13,2.28,130,22.85,2,0.35,04026
4,27,872,736,84.4,23,2.64,86,9.86,6,0.69,04027
4,28,571,450,78.81,23,4.03,88,15.41,2,0.35,04028
4,29,600,474,79.0,6,1.0,113,18.83,2,0.33,04029
4,30,867,686,79.12,11,1.27,156,17.99,4,0.46,04030
4,31,598,519,86.79,16,2.68,55,9.2,1,0.17,04031
4,32,695,538,77.41,24,3.45,119,17.12,5,0.72,04032
4,33,608,509,83.72,18,2.96,72,11.84,0,0.0,04033
4,34,574,443,77.18,15,2.61,99,17.25,4,0.7,04034
4,35,721,599,83.08,26,3.61,86,11.93,4,0.55,04035
4,36,768,639,83.2,21,2.73,99,12.89,3,0.39,04036
4,37,1274,1041,81.71,167,13.11,26,2.04,17,1.33,04037
4,38,678,562,82.89,15,2.21,93,13.72,3,0.44,04038
5,1,556,445,80.04,15,2.7,88,15.83,4,0.72,05001
5,2,442,340,76.92,3,0.68,94,21.27,3,0.68,05002
5,3,635,564,88.82,23,3.62,28,4.41,1,0.16,05003
5,4,787,667,84.75,19,2.41,83,10.55,0,0.0,05004
5,5,545,419,76.88,6,1.1,110,20.18,2,0.37,05005
5,6,473,356,75.26,10,2.11,102,21.56,3,0.63,05006
5,7,615,499,81.14,26,4.23,77,12.52,4,0.65,05007
5,8,659,601,91.2,35,5.31,15,2.28,4,0.61,05008
5,9,722,628,86.98,24,3.32,52,7.2,5,0.69,05009
5,10,501,374,74.65,6,1.2,114,22.75,1,0.2,05010
5,11,611,522,85.43,26,4.26,36,5.89,5,0.82,05011
5,12,374,277,74.06,10,2.67,82,21.93,2,0.53,05012
5,13,520,401,77.12,9,1.73,101,19.42,0,0.0,05013
5,14,459,373,81.26,6,1.31,74,16.12,3,0.65,05014
5,15,607,480,79.08,27,4.45,84,13.84,4,0.66,05015
5,16,562,424,75.44,7,1.25,122,21.71,1,0.18,05016
5,17,489,389,79.55,9,1.84,88,18.0,1,0.2,05017
5,18,563,479,85.08,18,3.2,56,9.95,2,0.36,05018
5,19,574,506,88.15,37,6.45,23,4.01,1,0.17,05019
5,20,653,565,86.52,26,3.98,52,7.96,0,0.0,05020
5,21,614,530,86.32,20,3.26,48,7.82,1,0.16,05021
5,22,708,632,89.27,32,4.52,36,5.08,3,0.42,05022
5,23,1056,915,86.65,67,6.34,54,5.11,10,0.95,05023
5,24,749,639,85.31,27,3.6,65,8.68,3,0.4,05024
5,25,531,432,81.36,9,1.69,84,15.82,1,0.19,05025
5,26,572,422,73.78,18,3.15,124,21.68,3,0.52,05026
5,27,650,567,87.23,58,8.92,10,1.54,7,1.08,05027
5,28,595,447,75.13,21,3.53,116,19.5,6,1.01,05028
5,29,603,490,81.26,14,2.32,91,15.09,2,0.33,05029
5,30,388,298,76.8,4,1.03,81,20.88,2,0.52,05030
5,31,444,346,77.93,7,1.58,85,19.14,2,0.45,05031
5,32,640,499,77.97,12,1.88,120,18.75,5,0.78,05032
5,33,620,471,75.97,4,0.65,139,22.42,3,0.48,05033
5,34,670,597,89.1,44,6.57,12,1.79,11,1.64,05034
5,35,781,682,87.32,35,4.48,51,6.53,3,0.38,05035
5,36,380,281,73.95,6,1.58,89,23.42,1,0.26,05036
5,37,639,574,89.83,27,4.23,31,4.85,4,0.63,05037
5,38,555,420,75.68,10,1.8,121,21.8,3,0.54,05038
5,39,529,457,86.39,43,8.13,16,3.02,4,0.76,05039
5,40,450,350,77.78,11,2.44,84,18.67,2,0.44,05040
5,41,286,261,91.26,7,2.45,17,5.94,1,0.35,05041
6,1,496,387,78.02,4,0.81,102,20.56,0,0.0,06001
6,2,476,367,77.1,1,0.21,106,22.27,0,0.0,06002
6,3,506,403,79.64,3,0.59,96,18.97,1,0.2,06003
6,4,356,279,78.37,5,1.4,67,18.82,3,0.84,06004
6,5,335,255,76.12,4,1.19,75,22.39,1,0.3,06005
6,6,543,420,77.35,6,1.1,113,20.81,0,0.0,06006
6,7,476,358,75.21,8,1.68,106,22.27,1,0.21,06007
6,8,475,367,77.26,4,0.84,98,20.63,2,0.42,06008
6,9,475,359,75.58,5,1.05,105,22.11,4,0.84,06009
6,10,362,268,74.03,8,2.21,83,22.93,0,0.0,06010
6,11,407,300,73.71,6,1.47,97,23.83,1,0.25,06011
6,12,374,278,74.33,6,1.6,84,22.46,4,1.07,06012
6,13,354,270,76.27,4,1.13,74,20.9,0,0.0,06013
6,14,442,337,76.24,3,0.68,100,22.62,1,0.23,06014
6,15,440,316,71.82,9,2.05,109,24.77,2,0.45,06015
6,16,498,359,72.09,8,1.61,125,25.1,3,0.6,06016
6,17,343,243,70.85,12,3.5,85,24.78,0,0.0,06017
6,18,362,270,74.59,6,1.66,79,21.82,2,0.55,06018
6,19,414,317,76.57,1,0.24,91,21.98,0,0.0,06019
6,20,310,233,75.16,4,1.29,66,21.29,3,0.97,06020
6,21,247,180,72.87,4,1.62,60,24.29,1,0.4,06021
6,22,311,220,70.74,12,3.86,75,24.12,2,0.64,06022
6,23,279,212,75.99,6,2.15,57,20.43,2,0.72,06023
6,24,268,189,70.52,5,1.87,74,27.61,0,0.0,06024
6,25,261,202,77.39,5,1.92,53,20.31,0,0.0,06025
6,26,370,269,72.7,5,1.35,85,22.97,4,1.08,06026
6,27,292,214,73.29,5,1.71,70,23.97,1,0.34,06027
6,28,249,186,74.7,7,2.81,54,21.69,0,0.0,06028
6,29,491,398,81.06,3,0.61,86,17.52,1,0.2,06029
6,30,399,297,74.44,4,1.0,90,22.56,3,0.75,06030
6,31,468,372,79.49,5,1.07,83,17.74,3,0.64,06031
6,32,446,326,73.09,9,2.02,108,24.22,0,0.0,06032
6,33,465,358,76.99,12,2.58,92,19.78,3,0.65,06033
6,34,472,380,80.51,1,0.21,87,18.43,3,0.64,06034
6,35,432,339,78.47,7,1.62,80,18.52,1,0.23,06035
6,36,509,415,81.53,4,0.79,85,16.7,3,0.59,06036
6,37,489,362,74.03,10,2.04,113,23.11,2,0.41,06037
6,38,500,380,76.0,6,1.2,107,21.4,0,0.0,06038
6,39,402,296,73.63,6,1.49,99,24.63,0,0.0,06039
6,40,419,311,74.22,7,1.67,98,23.39,1,0.24,06040
6,41,472,345,73.09,6,1.27,115,24.36,3,0.64,06041
6,42,472,363,76.91,5,1.06,99,20.97,2,0.42,06042
6,43,442,337,76.24,3,0.68,98,22.17,1,0.23,06043
6,44,548,425,77.55,11,2.01,107,19.53,1,0.18,06044
6,45,468,360,76.92,4,0.85,101,21.58,2,0.43,06045
6,46,354,270,76.27,3,0.85,75,21.19,2,0.56,06046
6,47,349,249,71.35,7,2.01,93,26.65,0,0.0,06047
6,48,463,361,77.97,5,1.08,92,19.87,2,0.43,06048
7,1,475,356,74.95,9,1.89,104,21.89,3,0.63,07001
7,2,476,351,73.74,6,1.26,109,22.9,4,0.84,07002
7,3,455,370,81.32,5,1.1,74,16.26,3,0.66,07003
7,4,442,364,82.35,5,1.13,71,16.06,1,0.23,07004
7,5,423,314,74.23,11,2.6,91,21.51,3,0.71,07005
7,6,587,485,82.62,12,2.04,84,14.31,2,0.34,07006
7,7,452,342,75.66,17,3.76,89,19.69,1,0.22,07007
7,8,373,284,76.14,16,4.29,69,18.5,2,0.54,07008
7,9,768,583,75.91,16,2.08,166,21.61,1,0.13,07009
7,10,515,411,79.81,3,0.58,96,18.64,1,0.19,07010
7,11,525,414,78.86,5,0.95,100,19.05,1,0.19,07011
7,12,464,338,72.84,7,1.51,110,23.71,5,1.08,07012
7,13,308,247,80.19,3,0.97,57,18.51,0,0.0,07013
7,14,530,400,75.47,12,2.26,107,20.19,5,0.94,07014
7,15,440,333,75.68,2,0.45,99,22.5,2,0.45,07015
7,16,453,334,73.73,16,3.53,96,21.19,2,0.44,07016
7,17,362,262,72.38,4,1.1,88,24.31,4,1.1,07017
7,18,452,340,75.22,14,3.1,92,20.35,3,0.66,07018
7,19,431,318,73.78,5,1.16,99,22.97,2,0.46,07019
7,20,361,276,76.45,8,2.22,71,19.67,1,0.28,07020
7,21,353,265,75.07,9,2.55,75,21.25,4,1.13,07021
7,22,401,309,77.06,16,3.99,65,16.21,5,1.25,07022
7,23,413,340,82.32,4,0.97,62,15.01,1,0.24,07023
7,24,381,281,73.75,8,2.1,89,23.36,0,0.0,07024
7,25,384,288,75.0,24,6.25,67,17.45,2,0.52,07025
7,26,346,269,77.75,2,0.58,72,20.81,3,0.87,07026
7,27,360,286,79.44,4,1.11,62,17.22,6,1.67,07027
7,28,353,266,75.35,12,3.4,68,19.26,1,0.28,07028
7,29,401,314,78.3,8,2.0,73,18.2,3,0.75,07029
7,30,356,289,81.18,14,3.93,50,14.04,2,0.56,07030
7,31,330,262,79.39,15,4.55,48,14.55,2,0.61,07031
7,32,549,423,77.05,12,2.19,109,19.85,1,0.18,07032
7,33,544,460,84.56,4,0.74,79,14.52,1,0.18,07033
7,34,542,433,79.89,4,0.74,95,17.53,4,0.74,07034
7,35,476,377,79.2,15,3.15,81,17.02,0,0.0,07035
7,36,535,437,81.68,5,0.93,86,16.07,0,0.0,07036
7,37,455,353,77.58,9,1.98,88,19.34,3,0.66,07037
7,38,379,282,74.41,5,1.32,88,23.22,1,0.26,07038
7,39,402,319,79.35,2,0.5,78,19.4,1,0.25,07039
7,40,386,308,79.79,4,1.04,73,18.91,1,0.26,07040
7,41,414,310,74.88,3,0.72,98,23.67,0,0.0,07041
7,42,397,330,83.12,1,0.25,66,16.62,0,0.0,07042
7,43,420,320,76.19,7,1.67,89,21.19,2,0.48,07043
7,44,391,293,74.94,5,1.28,85,21.74,3,0.77,07044
7,45,459,348,75.82,11,2.4,92,20.04,1,0.22,07045
7,46,167,108,64.67,3,1.8,54,32.34,0,0.0,07046
8,1,409,308,75.31,8,1.96,86,21.03,4,0.98,08001
8,2,447,335,74.94,9,2.01,94,21.03,3,0.67,08002
8,3,498,411,82.53,4,0.8,77,15.46,3,0.6,08003
8,4,506,420,83.0,4,0.79,81,16.01,1,0.2,08004
8,5,486,408,83.95,1,0.21,71,14.61,0,0.0,08005
8,6,451,373,82.71,6,1.33,71,15.74,0,0.0,08006
8,7,513,416,81.09,11,2.14,80,15.59,1,0.19,08007
8,8,454,356,78.41,5,1.1,90,19.82,0,0.0,08008
8,9,298,236,79.19,4,1.34,52,17.45,5,1.68,08009
8,10,560,465,83.04,10,1.79,83,14.82,0,0.0,08010
8,11,384,303,78.91,4,1.04,74,19.27,0,0.0,08011
8,12,407,331,81.33,6,1.47,65,15.97,1,0.25,08012
8,13,533,408,76.55,11,2.06,105,19.7,3,0.56,08013
8,14,410,299,72.93,7,1.71,94,22.93,5,1.22,08014
8,15,437,333,76.2,11,2.52,88,20.14,1,0.23,08015
8,16,151,118,78.15,4,2.65,29,19.21,0,0.0,08016
8,17,397,322,81.11,6,1.51,64,16.12,1,0.25,08017
8,18,451,347,76.94,8,1.77,90,19.96,1,0.22,08018
8,19,495,407,82.22,7,1.41,73,14.75,2,0.4,08019
8,20,536,387,72.2,6,1.12,130,24.25,5,0.93,08020
8,21,603,453,75.12,9,1.49,138,22.89,2,0.33,08021
8,22,429,340,79.25,3,0.7,83,19.35,0,0.0,08022
8,23,378,295,78.04,6,1.59,75,19.84,1,0.26,08023
8,24,265,207,78.11,4,1.51,50,18.87,1,0.38,08024
8,25,472,360,76.27,10,2.12,96,20.34,4,0.85,08025
8,26,413,291,70.46,8,1.94,107,25.91,4,0.97,08026
8,27,507,407,80.28,12,2.37,82,16.17,2,0.39,08027
8,28,470,372,79.15,6,1.28,87,18.51,0,0.0,08028
8,29,516,391,75.78,7,1.36,115,22.29,0,0.0,08029
8,30,517,402,77.76,8,1.55,97,18.76,2,0.39,08030
8,31,357,286,80.11,5,1.4,64,17.93,1,0.28,08031
8,32,367,284,77.38,3,0.82,78,21.25,0,0.0,08032
8,33,385,295,76.62,4,1.04,83,21.56,1,0.26,08033
8,34,426,340,79.81,2,0.47,83,19.48,0,0.0,08034
8,35,538,427,79.37,8,1.49,99,18.4,0,0.0,08035
8,36,468,363,77.56,4,0.85,95,20.3,4,0.85,08036
8,37,365,294,80.55,6,1.64,62,16.99,1,0.27,08037
8,38,347,279,80.4,6,1.73,60,17.29,1,0.29,08038
8,39,451,363,80.49,3,0.67,80,17.74,3,0.67,08039
8,40,387,299,77.26,6,1.55,81,20.93,1,0.26,08040
8,41,500,363,72.6,3,0.6,125,25.0,3,0.6,08041
8,42,597,451,75.54,5,0.84,132,22.11,4,0.67,08042
8,43,269,195,72.49,7,2.6,63,23.42,2,0.74,08043
8,44,350,285,81.43,6,1.71,57,16.29,1,0.29,08044
8,45,412,306,74.27,4,0.97,93,22.57,3,0.73,08045
8,46,370,282,76.22,2,0.54,83,22.43,0,0.0,08046
8,47,393,292,74.3,7,1.78,88,22.39,2,0.51,08047
8,48,428,326,76.17,4,0.93,94,21.96,0,0.0,08048
8,49,422,339,80.33,3,0.71,75,17.77,0,0.0,08049
8,50,462,371,80.3,3,0.65,82,17.75,2,0.43,08050
8,51,467,371,79.44,6,1.28,85,18.2,0,0.0,08051
8,52,561,435,77.54,1,0.18,121,21.57,2,0.36,08052
8,53,274,211,77.01,4,1.46,58,21.17,0,0.0,08053
8,54,398,301,75.63,4,1.01,88,22.11,1,0.25,08054
8,55,367,281,76.57,3,0.82,79,21.53,0,0.0,08055
8,56,476,373,78.36,5,1.05,94,19.75,2,0.42,08056
9,1,434,314,72.35,7,1.61,111,25.58,2,0.46,09001
9,2,354,270,76.27,2,0.56,78,22.03,2,0.56,09002
9,3,316,254,80.38,6,1.9,54,17.09,1,0.32,09003
9,4,341,273,80.06,1,0.29,65,19.06,1,0.29,09004
9,5,425,336,79.06,2,0.47,82,19.29,1,0.24,09005
9,6,412,310,75.24,3,0.73,94,22.82,2,0.49,09006
9,7,339,251,74.04,5,1.47,78,23.01,2,0.59,09007
9,8,474,341,71.94,8,1.69,118,24.89,3,0.63,09008
9,9,505,377,74.65,5,0.99,118,23.37,0,0.0,09009
9,10,343,261,76.09,1,0.29,78,22.74,3,0.87,09010
9,11,317,229,72.24,5,1.58,82,25.87,0,0.0,09011
9,12,499,400,80.16,7,1.4,86,17.23,1,0.2,09012
9,13,488,365,74.8,1,0.2,119,24.39,0,0.0,09013
9,14,497,393,79.07,8,1.61,94,18.91,2,0.4,09014
9,15,565,404,71.5,9,1.59,143,25.31,5,0.88,09015
9,16,418,328,78.47,5,1.2,79,18.9,1,0.24,09016
9,17,336,249,74.11,4,1.19,76,22.62,4,1.19,09017
9,18,315,238,75.56,2,0.63,73,23.17,0,0.0,09018
9,19,432,346,80.09,5,1.16,76,17.59,2,0.46,09019
9,20,410,301,73.41,1,0.24,105,25.61,2,0.49,09020
9,21,414,298,71.98,12,2.9,100,24.15,0,0.0,09021
9,22,477,362,75.89,14,2.94,99,20.75,1,0.21,09022
9,23,498,394,79.12,4,0.8,95,19.08,1,0.2,09023
9,24,435,355,81.61,7,1.61,69,15.86,0,0.0,09024
9,25,429,344,80.19,5,1.17,76,17.72,1,0.23,09025
9,26,552,417,75.54,10,1.81,114,20.65,4,0.72,09026
9,27,367,283,77.11,5,1.36,75,20.44,2,0.54,09027
9,28,283,212,74.91,15,5.3,52,18.37,1,0.35,09028
9,29,394,289,73.35,4,1.02,99,25.13,2,0.51,09029
9,30,376,278,73.94,8,2.13,88,23.4,2,0.53,09030
9,31,365,281,76.99,6,1.64,73,20.0,1,0.27,09031
9,32,444,320,72.07,8,1.8,113,25.45,1,0.23,09032
9,33,338,245,72.49,1,0.3,87,25.74,2,0.59,09033
9,34,369,268,72.63,4,1.08,94,25.47,0,0.0,09034
9,35,405,325,80.25,4,0.99,72,17.78,2,0.49,09035
9,36,386,288,74.61,4,1.04,87,22.54,0,0.0,09036
9,37,665,479,72.03,54,8.12,117,17.59,7,1.05,09037
9,38,428,319,74.53,3,0.7,101,23.6,3,0.7,09038
9,39,455,349,76.7,5,1.1,94,20.66,4,0.88,09039
9,40,478,366,76.57,3,0.63,105,21.97,0,0.0,09040
9,41,362,274,75.69,7,1.93,79,21.82,0,0.0,09041
9,42,450,352,78.22,5,1.11,91,20.22,1,0.22,09042
9,43,392,274,69.9,4,1.02,112,28.57,1,0.26,09043
9,44,376,276,73.4,2,0.53,96,25.53,1,0.27,09044
9,45,365,283,77.53,7,1.92,70,19.18,1,0.27,09045
9,46,416,324,77.88,16,3.85,71,17.07,2,0.48,09046
9,47,454,358,78.85,3,0.66,85,18.72,1,0.22,09047
9,48,458,347,75.76,9,1.97,102,22.27,0,0.0,09048
9,49,478,367,76.78,5,1.05,102,21.34,3,0.63,09049
9,50,604,509,84.27,6,0.99,86,14.24,1,0.17,09050
9,51,421,326,77.43,3,0.71,91,21.62,0,0.0,09051
10,1,375,295,78.67,19,5.07,58,15.47,2,0.53,10001
10,2,485,292,60.21,127,26.19,53,10.93,8,1.65,10002
10,3,526,328,62.36,118,22.43,72,13.69,5,0.95,10003
10,4,383,293,76.5,16,4.18,65,16.97,4,1.04,10004
10,5,396,246,62.12,94,23.74,50,12.63,5,1.26,10005
10,6,412,306,74.27,71,17.23,30,7.28,3,0.73,10006
