ward,precinct,total,Erin Haggerty Antonietti,Erin Haggerty Antonietti Percent,precinct_id
19,52,335,335,100.0,19052
19,53,287,287,100.0,19053
19,54,203,203,100.0,19054
19,55,210,210,100.0,19055
19,56,422,422,100.0,19056
19,57,326,326,100.0,19057
22,1,175,175,100.0,22001
22,2,381,381,100.0,22002
22,8,458,458,100.0,22008
22,23,332,332,100.0,22023
23,1,244,244,100.0,23001
23,2,285,285,100.0,23002
23,3,239,239,100.0,23003
23,4,317,317,100.0,23004
23,5,314,314,100.0,23005
23,6,296,296,100.0,23006
23,7,304,304,100.0,23007
23,8,365,365,100.0,23008
23,9,309,309,100.0,23009
23,10,358,358,100.0,23010
23,11,379,379,100.0,23011
23,12,281,281,100.0,23012
23,13,289,289,100.0,23013
23,14,258,258,100.0,23014
23,15,289,289,100.0,23015
23,16,290,290,100.0,23016
23,17,246,246,100.0,23017
23,18,268,268,100.0,23018
23,19,272,272,100.0,23019
23,20,210,210,100.0,23020
23,21,219,219,100.0,23021
23,22,268,268,100.0,23022
23,23,260,260,100.0,23023
23,24,280,280,100.0,23024
23,25,277,277,100.0,23025
23,26,311,311,100.0,23026
23,27,229,229,100.0,23027
23,28,307,307,100.0,23028
23,29,254,254,100.0,23029
23,30,374,374,100.0,23030
23,31,260,260,100.0,23031
23,32,320,320,100.0,23032
23,33,370,370,100.0,23033
23,34,355,355,100.0,23034
23,35,202,202,100.0,23035
23,36,278,278,100.0,23036
23,37,288,288,100.0,23037
23,38,251,251,100.0,23038
23,39,350,350,100.0,23039
34,17,383,383,100.0,34017
34,19,75,75,100.0,34019
34,49,175,175,100.0,34049
