ward,precinct,total,Jesus ''Chuy'' Garcia,Jesus ''Chuy'' Garcia Percent,Jesus Solorio,Jesus Solorio Percent,precinct_id
14,13,426,351,82.39,75,17.61,14013
14,14,473,430,90.91,43,9.09,14014
14,15,527,483,91.65,44,8.35,14015
14,16,347,297,85.59,50,14.41,14016
14,17,423,361,85.34,62,14.66,14017
14,19,450,396,88.0,54,12.0,14019
14,20,372,323,86.83,49,13.17,14020
14,25,273,238,87.18,35,12.82,14025
14,27,486,397,81.69,89,18.31,14027
14,28,396,334,84.34,62,15.66,14028
14,30,317,298,94.01,19,5.99,14030
14,31,259,223,86.1,36,13.9,14031
15,1,88,80,90.91,8,9.09,15001
15,4,482,440,91.29,42,8.71,15004
15,5,350,319,91.14,31,8.86,15005
15,6,495,433,87.47,62,12.53,15006
15,8,301,271,90.03,30,9.97,15008
15,9,629,567,90.14,62,9.86,15009
15,10,632,553,87.5,79,12.5,15010
15,11,576,498,86.46,78,13.54,15011
15,12,576,501,86.98,75,13.02,15012
15,15,162,136,83.95,26,16.05,15015
16,1,173,162,93.64,11,6.36,16001
22,3,707,624,88.26,83,11.74,22003
22,4,385,353,91.69,32,8.31,22004
22,5,461,410,88.94,51,11.06,22005
22,6,458,424,92.58,34,7.42,22006
22,7,363,341,93.94,22,6.06,22007
22,9,378,352,93.12,26,6.88,22009
22,10,629,561,89.19,68,10.81,22010
22,11,401,369,92.02,32,7.98,22011
22,13,505,459,90.89,46,9.11,22013
22,14,165,151,91.52,14,8.48,22014
22,15,377,340,90.19,37,9.81,22015
22,16,388,348,89.69,40,10.31,22016
22,17,630,554,87.94,76,12.06,22017
22,18,396,363,91.67,33,8.33,22018
22,19,4,4,100.0,0,0.0,22019
22,20,459,420,91.5,39,8.5,22020
22,22,451,400,88.69,51,11.31,22022
22,24,559,504,90.16,55,9.84,22024
22,25,454,417,91.85,37,8.15,22025
23,9,241,215,89.21,26,10.79,23009
23,13,445,386,86.74,59,13.26,23013
23,15,66,56,84.85,10,15.15,23015
23,24,406,348,85.71,58,14.29,23024
23,26,165,143,86.67,22,13.33,23026
23,34,206,175,84.95,31,15.05,23034
23,39,402,357,88.81,45,11.19,23039
24,16,346,319,92.2,27,7.8,24016
25,1,469,420,89.55,49,10.45,25001
25,2,724,671,92.68,53,7.32,25002
25,5,619,542,87.56,77,12.44,25005
25,7,617,566,91.73,51,8.27,25007
25,8,680,636,93.53,44,6.47,25008
25,9,591,550,93.06,41,6.94,25009
25,11,618,559,90.45,59,9.55,25011
25,12,547,484,88.48,63,11.52,25012
25,13,719,675,93.88,44,6.12,25013
25,14,63,55,87.3,8,12.7,25014
25,15,517,444,85.88,73,14.12,25015
25,17,641,578,90.17,63,9.83,25017
25,19,632,594,93.99,38,6.01,25019
25,22,589,542,92.02,47,7.98,25022
25,23,675,605,89.63,70,10.37,25023
25,24,602,556,92.36,46,7.64,25024
25,26,576,522,90.63,54,9.38,25026
25,27,60,50,83.33,10,16.67,25027
25,28,628,578,92.04,50,7.96,25028
25,30,586,526,89.76,60,10.24,25030
25,32,532,441,82.89,91,17.11,25032
26,1,235,217,92.34,18,7.66,26001
26,2,398,349,87.69,49,12.31,26002
26,5,406,374,92.12,32,7.88,26005
26,6,406,369,90.89,37,9.11,26006
26,7,428,395,92.29,33,7.71,26007
26,8,296,262,88.51,34,11.49,26008
26,9,388,348,89.69,40,10.31,26009
26,10,106,94,88.68,12,11.32,26010
26,11,433,373,86.14,60,13.86,26011
26,12,478,427,89.33,51,10.67,26012
26,13,280,253,90.36,27,9.64,26013
26,14,377,337,89.39,40,10.61,26014
26,15,312,271,86.86,41,13.14,26015
26,16,260,221,85.0,39,15.0,26016
26,18,337,292,86.65,45,13.35,26018
26,20,425,367,86.35,58,13.65,26020
26,22,276,237,85.87,39,14.13,26022
26,23,348,315,90.52,33,9.48,26023
26,24,382,346,90.58,36,9.42,26024
26,25,377,346,91.78,31,8.22,26025
26,26,328,299,91.16,29,8.84,26026
26,27,262,228,87.02,34,12.98,26027
26,29,249,211,84.74,38,15.26,26029
26,30,379,355,93.67,24,6.33,26030
26,31,222,182,81.98,40,18.02,26031
26,33,57,50,87.72,7,12.28,26033
26,34,503,449,89.26,54,10.74,26034
26,35,409,369,90.22,40,9.78,26035
26,36,12,10,83.33,2,16.67,26036
26,37,480,437,91.04,43,8.96,26037
26,38,249,214,85.94,35,14.06,26038
26,39,214,180,84.11,34,15.89,26039
26,40,306,266,86.93,40,13.07,26040
26,41,486,444,91.36,42,8.64,26041
26,42,369,331,89.7,38,10.3,26042
26,43,291,266,91.41,25,8.59,26043
26,44,249,226,90.76,23,9.24,26044
26,45,90,81,90.0,9,10.0,26045
26,47,345,304,88.12,41,11.88,26047
26,48,475,431,90.74,44,9.26,26048
26,49,311,275,88.42,36,11.58,26049
28,19,2,2,100.0,0,0.0,28019
29,1,30,27,90.0,3,10.0,29001
29,9,548,432,78.83,116,21.17,29009
29,23,433,321,74.13,112,25.87,29023
29,30,677,589,87.0,88,13.0,29030
29,38,628,475,75.64,153,24.36,29038
29,39,272,201,73.9,71,26.1,29039
29,43,231,207,89.61,24,10.39,29043
30,1,622,509,81.83,113,18.17,30001
30,2,599,455,75.96,144,24.04,30002
30,3,447,380,85.01,67,14.99,30003
30,4,562,421,74.91,141,25.09,30004
30,5,444,386,86.94,58,13.06,30005
30,6,467,389,83.3,78,16.7,30006
30,7,605,497,82.15,108,17.85,30007
30,8,658,560,85.11,98,14.89,30008
30,9,514,397,77.24,117,22.76,30009
30,10,623,513,82.34,110,17.66,30010
30,11,563,489,86.86,74,13.14,30011
30,12,541,443,81.89,98,18.11,30012
30,13,565,446,78.94,119,21.06,30013
30,14,442,382,86.43,60,13.57,30014
30,15,132,109,82.58,23,17.42,30015
30,16,332,261,78.61,71,21.39,30016
30,17,250,189,75.6,61,24.4,30017
30,18,690,622,90.14,68,9.86,30018
30,19,585,504,86.15,81,13.85,30019
30,20,618,492,79.61,126,20.39,30020
30,22,807,715,88.6,92,11.4,30022
30,23,696,584,83.91,112,16.09,30023
30,24,830,727,87.59,103,12.41,30024
30,25,819,707,86.32,112,13.68,30025
30,26,362,289,79.83,73,20.17,30026
30,27,419,335,79.95,84,20.05,30027
30,28,554,479,86.46,75,13.54,30028
30,29,405,343,84.69,62,15.31,30029
30,30,247,213,86.23,34,13.77,30030
30,31,370,295,79.73,75,20.27,30031
30,32,460,395,85.87,65,14.13,30032
31,1,370,321,86.76,49,13.24,31001
31,2,333,293,87.99,40,12.01,31002
31,3,377,296,78.51,81,21.49,31003
31,4,473,426,90.06,47,9.94,31004
31,5,394,323,81.98,71,18.02,31005
31,6,279,243,87.1,36,12.9,31006
31,7,564,517,91.67,47,8.33,31007
31,8,341,287,84.16,54,15.84,31008
31,9,420,360,85.71,60,14.29,31009
31,10,440,395,89.77,45,10.23,31010
31,11,335,274,81.79,61,18.21,31011
31,12,342,259,75.73,83,24.27,31012
31,13,426,364,85.45,62,14.55,31013
31,14,372,304,81.72,68,18.28,31014
31,15,401,317,79.05,84,20.95,31015
31,16,461,416,90.24,45,9.76,31016
31,17,364,299,82.14,65,17.86,31017
31,18,366,321,87.7,45,12.3,31018
31,19,354,289,81.64,65,18.36,31019
31,20,340,273,80.29,67,19.71,31020
31,21,344,299,86.92,45,13.08,31021
31,22,343,311,90.67,32,9.33,31022
31,23,406,337,83.0,69,17.0,31023
31,24,404,354,87.62,50,12.38,31024
31,25,375,303,80.8,72,19.2,31025
31,26,409,327,79.95,82,20.05,31026
31,27,432,349,80.79,83,19.21,31027
31,28,338,276,81.66,62,18.34,31028
31,29,371,312,84.1,59,15.9,31029
31,30,316,283,89.56,33,10.44,31030
31,31,332,260,78.31,72,21.69,31031
31,32,320,273,85.31,47,14.69,31032
31,33,372,307,82.53,65,17.47,31033
31,34,401,325,81.05,76,18.95,31034
31,35,462,395,85.5,67,14.5,31035
31,36,404,342,84.65,62,15.35,31036
31,37,373,321,86.06,52,13.94,31037
31,38,349,305,87.39,44,12.61,31038
31,39,432,382,88.43,50,11.57,31039
31,40,438,390,89.04,48,10.96,31040
31,41,360,313,86.94,47,13.06,31041
32,1,0,0,0.0,0,0.0,32001
32,3,738,659,89.3,79,10.7,32003
32,11,620,566,91.29,54,8.71,32011
32,12,493,458,92.9,35,7.1,32012
32,14,732,666,90.98,66,9.02,32014
32,16,36,27,75.0,9,25.0,32016
32,17,660,596,90.3,64,9.7,32017
32,20,644,593,92.08,51,7.92,32020
32,22,822,740,90.02,82,9.98,32022
32,26,706,638,90.37,68,9.63,32026
32,28,677,611,90.25,66,9.75,32028
32,43,620,543,87.58,77,12.42,32043
33,1,741,655,88.39,86,11.61,33001
33,3,912,816,89.47,96,10.53,33003
33,4,956,813,85.04,143,14.96,33004
33,6,630,544,86.35,86,13.65,33006
33,7,249,222,89.16,27,10.84,33007
33,8,370,329,88.92,41,11.08,33008
33,9,797,654,82.06,143,17.94,33009
33,10,533,449,84.24,84,15.76,33010
33,11,731,613,83.86,118,16.14,33011
33,12,728,627,86.13,101,13.87,33012
33,13,684,602,88.01,82,11.99,33013
33,14,346,303,87.57,43,12.43,33014
33,15,719,644,89.57,75,10.43,33015
33,16,995,842,84.62,153,15.38,33016
33,17,740,615,83.11,125,16.89,33017
33,19,493,417,84.58,76,15.42,33019
33,20,888,798,89.86,90,10.14,33020
33,21,741,659,88.93,82,11.07,33021
33,22,670,552,82.39,118,17.61,33022
33,23,717,625,87.17,92,12.83,33023
33,25,845,723,85.56,122,14.44,33025
33,26,550,505,91.82,45,8.18,33026
33,27,828,701,84.66,127,15.34,33027
33,28,643,591,91.91,52,8.09,33028
35,1,645,574,88.99,71,11.01,35001
35,2,616,539,87.5,77,12.5,35002
35,3,552,483,87.5,69,12.5,35003
35,4,610,508,83.28,102,16.72,35004
35,5,533,475,89.12,58,10.88,35005
35,6,628,580,92.36,48,7.64,35006
35,7,641,591,92.2,50,7.8,35007
35,8,610,554,90.82,56,9.18,35008
35,9,578,490,84.78,88,15.22,35009
35,10,700,646,92.29,54,7.71,35010
35,11,702,633,90.17,69,9.83,35011
35,12,452,394,87.17,58,12.83,35012
35,13,469,418,89.13,51,10.87,35013
35,14,500,451,90.2,49,9.8,35014
35,15,727,657,90.37,70,9.63,35015
35,16,363,323,88.98,40,11.02,35016
35,17,639,582,91.08,57,8.92,35017
35,18,415,364,87.71,51,12.29,35018
35,19,410,362,88.29,48,11.71,35019
35,20,632,553,87.5,79,12.5,35020
35,21,623,577,92.62,46,7.38,35021
35,22,729,648,88.89,81,11.11,35022
35,23,635,547,86.14,88,13.86,35023
35,24,546,488,89.38,58,10.62,35024
35,25,626,567,90.58,59,9.42,35025
35,26,520,432,83.08,88,16.92,35026
35,27,569,500,87.87,69,12.13,35027
35,28,582,519,89.18,63,10.82,35028
35,29,608,505,83.06,103,16.94,35029
35,30,607,514,84.68,93,15.32,35030
35,31,649,535,82.43,114,17.57,35031
36,1,519,426,82.08,93,17.92,36001
36,2,515,449,87.18,66,12.82,36002
36,3,451,371,82.26,80,17.74,36003
36,4,561,485,86.45,76,13.55,36004
36,6,474,398,83.97,76,16.03,36006
36,8,433,379,87.53,54,12.47,36008
36,9,510,424,83.14,86,16.86,36009
36,10,667,517,77.51,150,22.49,36010
36,11,376,314,83.51,62,16.49,36011
36,12,361,308,85.32,53,14.68,36012
36,13,392,344,87.76,48,12.24,36013
36,16,155,120,77.42,35,22.58,36016
36,19,662,539,81.42,123,18.58,36019
36,20,311,238,76.53,73,23.47,36020
36,21,354,298,84.18,56,15.82,36021
36,22,468,414,88.46,54,11.54,36022
36,23,481,408,84.82,73,15.18,36023
36,24,85,67,78.82,18,21.18,36024
36,25,533,475,89.12,58,10.88,36025
36,27,482,381,79.05,101,20.95,36027
36,29,295,215,72.88,80,27.12,36029
37,26,1,1,100.0,0,0.0,37026
38,1,527,409,77.61,118,22.39,38001
38,35,307,232,75.57,75,24.43,38035
38,41,514,424,82.49,90,17.51,38041
39,6,5,5,100.0,0,0.0,39006
39,12,237,195,82.28,42,17.72,39012
39,25,11,8,72.73,3,27.27,39025
39,28,348,311,89.37,37,10.63,39028
39,31,501,405,80.84,96,19.16,39031
45,1,482,412,85.48,70,14.52,45001
45,2,594,531,89.39,63,10.61,45002
45,8,571,455,79.68,116,20.32,45008
45,9,599,461,76.96,138,23.04,45009
45,10,608,443,72.86,165,27.14,45010
