ward,precinct,total,Donald J. Trump & Michael R. Pence,Donald J. Trump & Michael R. Pence Percent,Howie Hawkins & Angela Walker,Howie Hawkins & Angela Walker Percent,Gloria La Riva & Leonard Peltier,Gloria La Riva & Leonard Peltier Percent,Brian Carroll & Amar Patel,Brian Carroll & Amar Patel Percent,Jo Jorgensen & Jeremy ''Spike'' Cohen,Jo Jorgensen & Jeremy ''Spike'' Cohen Percent,precinct_id
5,38,562,20,3.56,3,0.53,1,0.18,0,0.0,1,0.18,05038
5,39,530,41,7.74,1,0.19,3,0.57,2,0.38,3,0.57,05039
5,40,454,24,5.29,4,0.88,3,0.66,1,0.22,3,0.66,05040
5,41,287,8,2.79,1,0.35,0,0.0,0,0.0,1,0.35,05041
6,1,497,15,3.02,0,0.0,0,0.0,0,0.0,0,0.0,06001
6,2,473,16,3.38,2,0.42,1,0.21,0,0.0,1,0.21,06002
6,3,513,17,3.31,1,0.19,0,0.0,0,0.0,0,0.0,06003
6,4,368,13,3.53,3,0.82,1,0.27,1,0.27,0,0.0,06004
6,5,334,15,4.49,3,0.9,0,0.0,0,0.0,0,0.0,06005
6,6,547,18,3.29,7,1.28,0,0.0,0,0.0,1,0.18,06006
6,7,474,17,3.59,0,0.0,2,0.42,0,0.0,1,0.21,06007
6,8,477,9,1.89,2,0.42,0,0.0,0,0.0,1,0.21,06008
6,9,475,13,2.74,1,0.21,1,0.21,1,0.21,3,0.63,06009
6,10,364,13,3.57,5,1.37,0,0.0,0,0.0,0,0.0,06010
6,11,408,19,4.66,1,0.25,1,0.25,0,0.0,0,0.0,06011
6,12,381,27,7.09,1,0.26,0,0.0,1,0.26,3,0.79,06012
6,13,359,11,3.06,2,0.56,2,0.56,0,0.0,0,0.0,06013
6,14,444,11,2.48,2,0.45,0,0.0,2,0.45,0,0.0,06014
6,15,441,23,5.22,3,0.68,2,0.45,1,0.23,0,0.0,06015
6,16,498,15,3.01,4,0.8,0,0.0,0,0.0,1,0.2,06016
6,17,344,21,6.1,2,0.58,1,0.29,1,0.29,0,0.0,06017
6,18,383,5,1.31,3,0.78,1,0.26,0,0.0,1,0.26,06018
6,19,414,13,3.14,2,0.48,0,0.0,1,0.24,0,0.0,06019
6,20,312,10,3.21,1,0.32,0,0.0,0,0.0,1,0.32,06020
6,21,250,12,4.8,1,0.4,2,0.8,3,1.2,0,0.0,06021
6,22,315,17,5.4,1,0.32,0,0.0,2,0.63,0,0.0,06022
6,23,281,14,4.98,2,0.71,0,0.0,1,0.36,1,0.36,06023
6,24,269,17,6.32,1,0.37,2,0.74,1,0.37,1,0.37,06024
6,25,262,13,4.96,1,0.38,0,0.0,0,0.0,0,0.0,06025
6,26,374,15,4.01,4,1.07,3,0.8,2,0.53,1,0.27,06026
6,27,294,11,3.74,1,0.34,2,0.68,1,0.34,0,0.0,06027
6,28,249,10,4.02,0,0.0,1,0.4,1,0.4,0,0.0,06028
6,29,486,14,2.88,3,0.62,2,0.41,0,0.0,2,0.41,06029
6,30,404,17,4.21,3,0.74,1,0.25,0,0.0,4,0.99,06030
6,31,468,14,2.99,0,0.0,1,0.21,0,0.0,2,0.43,06031
6,32,446,19,4.26,2,0.45,0,0.0,1,0.22,0,0.0,06032
6,33,464,25,5.39,3,0.65,1,0.22,0,0.0,0,0.0,06033
6,34,480,4,0.83,1,0.21,0,0.0,0,0.0,0,0.0,06034
6,35,434,16,3.69,1,0.23,1,0.23,1,0.23,2,0.46,06035
6,36,513,10,1.95,2,0.39,1,0.19,0,0.0,0,0.0,06036
6,37,485,25,5.15,3,0.62,0,0.0,1,0.21,1,0.21,06037
6,38,502,11,2.19,4,0.8,2,0.4,0,0.0,0,0.0,06038
6,39,407,12,2.95,1,0.25,1,0.25,1,0.25,0,0.0,06039
6,40,423,12,2.84,0,0.0,1,0.24,0,0.0,0,0.0,06040
6,41,474,22,4.64,1,0.21,1,0.21,0,0.0,2,0.42,06041
6,42,481,14,2.91,3,0.62,2,0.42,0,0.0,3,0.62,06042
6,43,446,14,3.14,3,0.67,4,0.9,0,0.0,1,0.22,06043
6,44,551,23,4.17,0,0.0,1,0.18,1,0.18,0,0.0,06044
6,45,474,11,2.32,1,0.21,0,0.0,0,0.0,1,0.21,06045
6,46,356,6,1.69,0,0.0,0,0.0,1,0.28,1,0.28,06046
6,47,348,13,3.74,2,0.57,0,0.0,1,0.29,1,0.29,06047
6,48,464,15,3.23,3,0.65,0,0.0,0,0.0,0,0.0,06048
7,1,479,18,3.76,1,0.21,1,0.21,0,0.0,4,0.84,07001
7,2,485,23,4.74,5,1.03,2,0.41,1,0.21,0,0.0,07002
7,3,453,12,2.65,0,0.0,3,0.66,1,0.22,0,0.0,07003
7,4,442,11,2.49,1,0.23,0,0.0,1,0.23,2,0.45,07004
7,5,440,28,6.36,2,0.45,0,0.0,0,0.0,3,0.68,07005
7,6,585,19,3.25,5,0.85,3,0.51,0,0.0,1,0.17,07006
7,7,462,21,4.55,2,0.43,1,0.22,1,0.22,0,0.0,07007
7,8,370,27,7.3,4,1.08,0,0.0,0,0.0,1,0.27,07008
7,9,766,36,4.7,2,0.26,3,0.39,1,0.13,1,0.13,07009
7,10,515,11,2.14,2,0.39,1,0.19,0,0.0,2,0.39,07010
7,11,529,15,2.84,2,0.38,2,0.38,0,0.0,1,0.19,07011
7,12,467,23,4.93,5,1.07,0,0.0,1,0.21,1,0.21,07012
7,13,312,9,2.88,1,0.32,1,0.32,0,0.0,0,0.0,07013
7,14,540,30,5.56,1,0.19,2,0.37,2,0.37,0,0.0,07014
7,15,444,7,1.58,1,0.23,1,0.23,0,0.0,0,0.0,07015
7,16,455,29,6.37,5,1.1,2,0.44,1,0.22,0,0.0,07016
7,17,363,14,3.86,0,0.0,1,0.28,1,0.28,0,0.0,07017
7,18,454,25,5.51,5,1.1,2,0.44,0,0.0,0,0.0,07018
7,19,430,14,3.26,1,0.23,4,0.93,0,0.0,1,0.23,07019
7,20,361,12,3.32,4,1.11,0,0.0,0,0.0,0,0.0,07020
7,21,347,19,5.48,4,1.15,0,0.0,1,0.29,1,0.29,07021
7,22,403,25,6.2,3,0.74,1,0.25,0,0.0,0,0.0,07022
7,23,416,10,2.4,1,0.24,0,0.0,1,0.24,0,0.0,07023
7,24,385,16,4.16,1,0.26,1,0.26,2,0.52,0,0.0,07024
7,25,388,38,9.79,3,0.77,2,0.52,3,0.77,0,0.0,07025
7,26,345,17,4.93,2,0.58,2,0.58,0,0.0,0,0.0,07026
7,27,362,4,1.1,3,0.83,1,0.28,0,0.0,3,0.83,07027
7,28,361,21,5.82,4,1.11,1,0.28,0,0.0,1,0.28,07028
7,29,402,18,4.48,3,0.75,0,0.0,0,0.0,2,0.5,07029
7,30,360,23,6.39,1,0.28,1,0.28,1,0.28,1,0.28,07030
7,31,335,29,8.66,2,0.6,1,0.3,1,0.3,2,0.6,07031
7,32,550,21,3.82,2,0.36,1,0.18,0,0.0,0,0.0,07032
7,33,547,16,2.93,2,0.37,1,0.18,0,0.0,0,0.0,07033
7,34,542,17,3.14,5,0.92,1,0.18,0,0.0,0,0.0,07034
7,35,478,21,4.39,4,0.84,3,0.63,0,0.0,1,0.21,07035
7,36,535,19,3.55,3,0.56,1,0.19,0,0.0,0,0.0,07036
7,37,464,22,4.74,3,0.65,1,0.22,0,0.0,0,0.0,07037
7,38,384,9,2.34,1,0.26,1,0.26,0,0.0,1,0.26,07038
7,39,403,8,1.99,1,0.25,0,0.0,0,0.0,0,0.0,07039
7,40,384,8,2.08,2,0.52,2,0.52,0,0.0,2,0.52,07040
7,41,423,12,2.84,2,0.47,0,0.0,2,0.47,2,0.47,07041
7,42,398,7,1.76,0,0.0,0,0.0,1,0.25,1,0.25,07042
7,43,423,19,4.49,1,0.24,0,0.0,0,0.0,1,0.24,07043
7,44,389,13,3.34,2,0.51,2,0.51,2,0.51,0,0.0,07044
7,45,476,21,4.41,0,0.0,0,0.0,5,1.05,1,0.21,07045
7,46,175,5,2.86,2,1.14,1,0.57,0,0.0,0,0.0,07046
8,1,412,15,3.64,6,1.46,2,0.49,0,0.0,1,0.24,08001
8,2,446,16,3.59,0,0.0,1,0.22,3,0.67,1,0.22,08002
8,3,499,9,1.8,3,0.6,0,0.0,1,0.2,0,0.0,08003
8,4,507,7,1.38,2,0.39,0,0.0,0,0.0,1,0.2,08004
8,5,488,7,1.43,5,1.02,2,0.41,0,0.0,0,0.0,08005
8,6,452,18,3.98,2,0.44,1,0.22,0,0.0,1,0.22,08006
8,7,515,28,5.44,0,0.0,1,0.19,1,0.19,0,0.0,08007
8,8,455,13,2.86,1,0.22,0,0.0,0,0.0,2,0.44,08008
8,9,301,11,3.65,0,0.0,0,0.0,0,0.0,0,0.0,08009
8,10,560,21,3.75,2,0.36,1,0.18,0,0.0,1,0.18,08010
8,11,382,14,3.66,3,0.79,1,0.26,2,0.52,0,0.0,08011
8,12,404,19,4.7,0,0.0,1,0.25,1,0.25,0,0.0,08012
8,13,536,17,3.17,6,1.12,0,0.0,0,0.0,2,0.37,08013
8,14,407,17,4.18,1,0.25,3,0.74,0,0.0,2,0.49,08014
8,15,435,16,3.68,3,0.69,1,0.23,0,0.0,3,0.69,08015
8,16,152,9,5.92,1,0.66,0,0.0,0,0.0,0,0.0,08016
8,17,397,7,1.76,3,0.76,1,0.25,1,0.25,1,0.25,08017
8,18,461,29,6.29,1,0.22,1,0.22,0,0.0,0,0.0,08018
8,19,495,17,3.43,3,0.61,0,0.0,0,0.0,0,0.0,08019
8,20,533,13,2.44,1,0.19,3,0.56,0,0.0,1,0.19,08020
8,21,596,19,3.19,2,0.34,0,0.0,0,0.0,1,0.17,08021
8,22,427,16,3.75,3,0.7,3,0.7,0,0.0,1,0.23,08022
8,23,380,10,2.63,1,0.26,0,0.0,1,0.26,0,0.0,08023
8,24,264,8,3.03,2,0.76,0,0.0,1,0.38,0,0.0,08024
8,25,473,24,5.07,1,0.21,2,0.42,2,0.42,0,0.0,08025
8,26,424,13,3.07,1,0.24,1,0.24,0,0.0,2,0.47,08026
8,27,511,22,4.31,2,0.39,0,0.0,1,0.2,1,0.2,08027
8,28,466,17,3.65,1,0.21,1,0.21,0,0.0,0,0.0,08028
8,29,522,15,2.87,6,1.15,1,0.19,0,0.0,1,0.19,08029
8,30,511,17,3.33,8,1.57,0,0.0,2,0.39,2,0.39,08030
8,31,363,15,4.13,1,0.28,1,0.28,0,0.0,1,0.28,08031
8,32,368,10,2.72,3,0.82,1,0.27,0,0.0,1,0.27,08032
8,33,385,14,3.64,2,0.52,1,0.26,1,0.26,0,0.0,08033
8,34,430,10,2.33,1,0.23,1,0.23,0,0.0,0,0.0,08034
8,35,539,14,2.6,4,0.74,1,0.19,0,0.0,3,0.56,08035
8,36,467,8,1.71,2,0.43,2,0.43,1,0.21,1,0.21,08036
8,37,362,6,1.66,2,0.55,1,0.28,0,0.0,0,0.0,08037
8,38,353,6,1.7,0,0.0,0,0.0,1,0.28,0,0.0,08038
8,39,449,8,1.78,4,0.89,1,0.22,0,0.0,2,0.45,08039
8,40,387,10,2.58,0,0.0,0,0.0,0,0.0,1,0.26,08040
8,41,506,15,2.96,3,0.59,0,0.0,1,0.2,0,0.0,08041
8,42,594,17,2.86,2,0.34,0,0.0,0,0.0,2,0.34,08042
8,43,272,16,5.88,2,0.74,2,0.74,0,0.0,0,0.0,08043
