ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Philanise White,Philanise White Percent,precinct_id
17,37,325,313,96.31,12,3.69,17037
17,38,467,456,97.64,11,2.36,17038
17,39,414,400,96.62,14,3.38,17039
17,40,451,443,98.23,8,1.77,17040
17,41,541,523,96.67,18,3.33,17041
18,1,437,407,93.14,30,6.86,18001
18,2,521,438,84.07,83,15.93,18002
18,3,420,302,71.9,118,28.1,18003
18,4,479,457,95.41,22,4.59,18004
18,5,285,279,97.89,6,2.11,18005
18,6,425,304,71.53,121,28.47,18006
18,7,475,408,85.89,67,14.11,18007
18,8,446,423,94.84,23,5.16,18008
18,9,430,408,94.88,22,5.12,18009
18,10,551,526,95.46,25,4.54,18010
18,11,427,372,87.12,55,12.88,18011
18,12,427,406,95.08,21,4.92,18012
18,13,496,468,94.35,28,5.65,18013
18,14,461,448,97.18,13,2.82,18014
18,15,13,7,53.85,6,46.15,18015
18,16,428,403,94.16,25,5.84,18016
18,17,473,437,92.39,36,7.61,18017
18,18,340,329,96.76,11,3.24,18018
18,19,399,383,95.99,16,4.01,18019
18,20,344,333,96.8,11,3.2,18020
18,21,564,514,91.13,50,8.87,18021
18,22,486,461,94.86,25,5.14,18022
18,23,459,429,93.46,30,6.54,18023
18,26,534,507,94.94,27,5.06,18026
18,27,393,373,94.91,20,5.09,18027
18,28,456,300,65.79,156,34.21,18028
18,29,523,464,88.72,59,11.28,18029
18,31,490,466,95.1,24,4.9,18031
18,32,460,442,96.09,18,3.91,18032
18,33,351,342,97.44,9,2.56,18033
18,34,497,458,92.15,39,7.85,18034
18,35,497,471,94.77,26,5.23,18035
18,36,503,432,85.88,71,14.12,18036
18,37,506,487,96.25,19,3.75,18037
18,38,415,408,98.31,7,1.69,18038
18,39,400,375,93.75,25,6.25,18039
18,41,535,507,94.77,28,5.23,18041
18,42,418,391,93.54,27,6.46,18042
18,44,446,305,68.39,141,31.61,18044
18,45,481,417,86.69,64,13.31,18045
18,47,356,328,92.13,28,7.87,18047
18,48,329,318,96.66,11,3.34,18048
18,49,306,295,96.41,11,3.59,18049
18,50,371,350,94.34,21,5.66,18050
19,2,568,469,82.57,99,17.43,19002
19,5,373,280,75.07,93,24.93,19005
19,10,63,50,79.37,13,20.63,19010
19,11,32,13,40.63,19,59.38,19011
19,13,589,551,93.55,38,6.45,19013
19,14,545,425,77.98,120,22.02,19014
19,20,414,351,84.78,63,15.22,19020
19,25,131,100,76.34,31,23.66,19025
19,27,495,422,85.25,73,14.75,19027
19,28,584,553,94.69,31,5.31,19028
19,31,463,290,62.63,173,37.37,19031
19,36,713,626,87.8,87,12.2,19036
19,37,500,416,83.2,84,16.8,19037
19,38,459,389,84.75,70,15.25,19038
19,39,241,225,93.36,16,6.64,19039
19,40,552,410,74.28,142,25.72,19040
19,42,425,323,76.0,102,24.0,19042
19,43,677,631,93.21,46,6.79,19043
19,47,698,588,84.24,110,15.76,19047
19,48,626,600,95.85,26,4.15,19048
19,49,606,543,89.6,63,10.4,19049
19,57,37,28,75.68,9,24.32,19057
20,1,465,455,97.85,10,2.15,20001
20,3,401,388,96.76,13,3.24,20003
20,5,542,521,96.13,21,3.87,20005
20,7,551,531,96.37,20,3.63,20007
20,8,411,394,95.86,17,4.14,20008
20,9,646,628,97.21,18,2.79,20009
20,10,330,320,96.97,10,3.03,20010
20,11,303,295,97.36,8,2.64,20011
20,12,447,435,97.32,12,2.68,20012
20,13,487,471,96.71,16,3.29,20013
20,14,272,264,97.06,8,2.94,20014
20,16,551,530,96.19,21,3.81,20016
20,18,333,328,98.5,5,1.5,20018
20,19,482,465,96.47,17,3.53,20019
20,22,619,581,93.86,38,6.14,20022
20,23,448,430,95.98,18,4.02,20023
20,24,606,565,93.23,41,6.77,20024
20,26,443,419,94.58,24,5.42,20026
20,27,172,165,95.93,7,4.07,20027
20,28,284,278,97.89,6,2.11,20028
20,29,543,523,96.32,20,3.68,20029
20,30,0,0,0.0,0,0.0,20030
20,31,167,159,95.21,8,4.79,20031
20,33,282,274,97.16,8,2.84,20033
20,34,607,560,92.26,47,7.74,20034
20,35,346,336,97.11,10,2.89,20035
20,37,134,132,98.51,2,1.49,20037
21,1,489,469,95.91,20,4.09,21001
21,2,379,368,97.1,11,2.9,21002
21,3,447,430,96.2,17,3.8,21003
21,4,428,419,97.9,9,2.1,21004
21,5,474,461,97.26,13,2.74,21005
