ward,precinct,total,Anita Rivkin-Carothers,Anita Rivkin-Carothers Percent,precinct_id
37,21,306,306,100.0,37021
37,23,237,237,100.0,37023
37,25,328,328,100.0,37025
37,27,350,350,100.0,37027
37,28,256,256,100.0,37028
37,29,357,357,100.0,37029
37,30,191,191,100.0,37030
37,31,303,303,100.0,37031
37,32,330,330,100.0,37032
37,33,235,235,100.0,37033
37,34,302,302,100.0,37034
37,35,286,286,100.0,37035
37,36,284,284,100.0,37036
37,37,287,287,100.0,37037
37,38,365,365,100.0,37038
37,40,296,296,100.0,37040
37,41,317,317,100.0,37041
37,43,300,300,100.0,37043
42,18,638,638,100.0,42018
42,21,269,269,100.0,42021
42,69,285,285,100.0,42069
