ward,precinct,total,Ann Collins Dole,Ann Collins Dole Percent,precinct_id
43,20,309,309,100.0,43020
43,21,308,308,100.0,43021
43,22,264,264,100.0,43022
43,23,251,251,100.0,43023
43,24,323,323,100.0,43024
43,25,274,274,100.0,43025
43,26,218,218,100.0,43026
43,27,240,240,100.0,43027
43,28,324,324,100.0,43028
43,29,291,291,100.0,43029
43,30,258,258,100.0,43030
43,31,351,351,100.0,43031
43,32,268,268,100.0,43032
43,33,265,265,100.0,43033
43,34,229,229,100.0,43034
43,35,281,281,100.0,43035
43,36,267,267,100.0,43036
43,37,283,283,100.0,43037
43,38,309,309,100.0,43038
43,39,166,166,100.0,43039
43,40,118,118,100.0,43040
43,41,196,196,100.0,43041
43,42,192,192,100.0,43042
43,43,225,225,100.0,43043
43,44,334,334,100.0,43044
43,45,105,105,100.0,43045
43,46,241,241,100.0,43046
43,47,224,224,100.0,43047
43,48,345,345,100.0,43048
43,49,267,267,100.0,43049
43,50,239,239,100.0,43050
43,51,313,313,100.0,43051
43,52,258,258,100.0,43052
43,53,303,303,100.0,43053
43,54,237,237,100.0,43054
43,55,259,259,100.0,43055
43,56,270,270,100.0,43056
43,57,286,286,100.0,43057
43,58,266,266,100.0,43058
43,59,224,224,100.0,43059
44,1,234,234,100.0,44001
44,2,239,239,100.0,44002
44,3,248,248,100.0,44003
44,4,210,210,100.0,44004
44,5,415,415,100.0,44005
44,6,412,412,100.0,44006
44,7,263,263,100.0,44007
44,8,188,188,100.0,44008
44,9,322,322,100.0,44009
44,10,312,312,100.0,44010
44,11,402,402,100.0,44011
44,12,228,228,100.0,44012
44,13,240,240,100.0,44013
44,14,329,329,100.0,44014
44,15,428,428,100.0,44015
44,16,412,412,100.0,44016
44,17,333,333,100.0,44017
44,18,264,264,100.0,44018
44,19,241,241,100.0,44019
44,20,405,405,100.0,44020
44,21,469,469,100.0,44021
44,22,322,322,100.0,44022
44,23,387,387,100.0,44023
44,24,267,267,100.0,44024
44,25,400,400,100.0,44025
44,26,337,337,100.0,44026
44,27,452,452,100.0,44027
44,28,281,281,100.0,44028
44,29,427,427,100.0,44029
44,30,331,331,100.0,44030
44,31,419,419,100.0,44031
44,32,279,279,100.0,44032
44,33,533,533,100.0,44033
44,34,233,233,100.0,44034
44,35,193,193,100.0,44035
44,36,416,416,100.0,44036
44,37,402,402,100.0,44037
44,38,312,312,100.0,44038
44,39,405,405,100.0,44039
44,40,384,384,100.0,44040
44,41,321,321,100.0,44041
44,42,474,474,100.0,44042
44,43,446,446,100.0,44043
44,44,413,413,100.0,44044
44,45,454,454,100.0,44045
44,46,236,236,100.0,44046
44,47,490,490,100.0,44047
44,48,187,187,100.0,44048
44,49,428,428,100.0,44049
44,50,389,389,100.0,44050
44,51,295,295,100.0,44051
46,1,370,370,100.0,46001
46,2,352,352,100.0,46002
46,3,361,361,100.0,46003
46,4,308,308,100.0,46004
46,5,296,296,100.0,46005
46,6,338,338,100.0,46006
46,7,246,246,100.0,46007
46,8,288,288,100.0,46008
46,9,359,359,100.0,46009
46,10,283,283,100.0,46010
46,11,352,352,100.0,46011
46,12,362,362,100.0,46012
46,13,322,322,100.0,46013
46,14,279,279,100.0,46014
46,15,349,349,100.0,46015
46,16,279,279,100.0,46016
46,17,370,370,100.0,46017
46,18,288,288,100.0,46018
46,19,392,392,100.0,46019
46,20,206,206,100.0,46020
46,22,215,215,100.0,46022
46,23,211,211,100.0,46023
46,24,357,357,100.0,46024
46,25,365,365,100.0,46025
46,26,350,350,100.0,46026
46,27,406,406,100.0,46027
46,28,387,387,100.0,46028
46,29,248,248,100.0,46029
46,30,311,311,100.0,46030
46,31,351,351,100.0,46031
46,32,199,199,100.0,46032
46,33,319,319,100.0,46033
46,34,370,370,100.0,46034
46,35,339,339,100.0,46035
46,36,236,236,100.0,46036
46,37,265,265,100.0,46037
46,38,238,238,100.0,46038
46,39,371,371,100.0,46039
46,40,213,213,100.0,46040
46,41,260,260,100.0,46041
46,42,350,350,100.0,46042
46,43,425,425,100.0,46043
46,44,280,280,100.0,46044
46,45,354,354,100.0,46045
46,46,247,247,100.0,46046
46,47,172,172,100.0,46047
47,18,390,390,100.0,47018
47,23,184,184,100.0,47023
47,24,389,389,100.0,47024
47,25,60,60,100.0,47025
47,41,627,627,100.0,47041
47,44,334,334,100.0,47044
47,50,63,63,100.0,47050
48,1,323,323,100.0,48001
48,3,383,383,100.0,48003
48,4,295,295,100.0,48004
48,5,211,211,100.0,48005
48,6,353,353,100.0,48006
48,7,263,263,100.0,48007
48,8,190,190,100.0,48008
48,9,204,204,100.0,48009
48,10,233,233,100.0,48010
48,11,317,317,100.0,48011
48,12,329,329,100.0,48012
48,14,264,264,100.0,48014
48,15,2,2,100.0,48015
48,16,248,248,100.0,48016
48,17,370,370,100.0,48017
48,18,217,217,100.0,48018
48,19,221,221,100.0,48019
48,20,164,164,100.0,48020
48,21,290,290,100.0,48021
48,23,226,226,100.0,48023
48,24,244,244,100.0,48024
48,25,304,304,100.0,48025
48,26,285,285,100.0,48026
48,27,167,167,100.0,48027
48,28,198,198,100.0,48028
48,29,156,156,100.0,48029
48,30,269,269,100.0,48030
48,31,281,281,100.0,48031
48,32,128,128,100.0,48032
48,34,280,280,100.0,48034
48,35,130,130,100.0,48035
48,36,196,196,100.0,48036
48,37,274,274,100.0,48037
48,38,270,270,100.0,48038
48,39,195,195,100.0,48039
48,40,239,239,100.0,48040
48,42,234,234,100.0,48042
48,43,389,389,100.0,48043
48,44,350,350,100.0,48044
48,45,227,227,100.0,48045
48,46,231,231,100.0,48046
48,47,306,306,100.0,48047
48,48,303,303,100.0,48048
48,49,88,88,100.0,48049
48,50,311,311,100.0,48050
48,51,334,334,100.0,48051
48,52,242,242,100.0,48052
48,53,147,147,100.0,48053
49,17,102,102,100.0,49017
