ward,precinct,total,Heather Steans,Heather Steans Percent,Tom Durkin,Tom Durkin Percent,precinct_id
46,32,334,274,82.04,60,17.96,46032
46,34,519,451,86.9,68,13.1,46034
46,35,541,433,80.04,108,19.96,46035
46,38,372,314,84.41,58,15.59,46038
46,39,522,416,79.69,106,20.31,46039
46,40,343,285,83.09,58,16.91,46040
46,41,411,331,80.54,80,19.46,46041
46,42,490,427,87.14,63,12.86,46042
46,45,519,407,78.42,112,21.58,46045
46,46,395,324,82.03,71,17.97,46046
46,47,264,202,76.52,62,23.48,46047
47,5,515,414,80.39,101,19.61,47005
47,10,421,330,78.38,91,21.62,47010
47,11,797,633,79.42,164,20.58,47011
47,19,502,394,78.49,108,21.51,47019
47,20,549,433,78.87,116,21.13,47020
47,22,449,341,75.95,108,24.05,47022
47,23,257,215,83.66,42,16.34,47023
47,26,835,652,78.08,183,21.92,47026
47,28,595,462,77.65,133,22.35,47028
47,30,555,450,81.08,105,18.92,47030
47,31,541,443,81.89,98,18.11,47031
47,32,564,456,80.85,108,19.15,47032
47,33,476,361,75.84,115,24.16,47033
47,34,600,487,81.17,113,18.83,47034
47,36,775,604,77.94,171,22.06,47036
47,37,630,486,77.14,144,22.86,47037
47,38,578,457,79.07,121,20.93,47038
47,39,527,405,76.85,122,23.15,47039
47,41,839,690,82.24,149,17.76,47041
47,45,489,356,72.8,133,27.2,47045
48,1,466,370,79.4,96,20.6,48001
48,2,333,254,76.28,79,23.72,48002
48,3,624,527,84.46,97,15.54,48003
48,4,445,353,79.33,92,20.67,48004
48,5,325,250,76.92,75,23.08,48005
48,6,530,443,83.58,87,16.42,48006
48,7,373,296,79.36,77,20.64,48007
48,8,299,239,79.93,60,20.07,48008
48,9,351,268,76.35,83,23.65,48009
48,10,311,248,79.74,63,20.26,48010
48,11,477,396,83.02,81,16.98,48011
48,12,476,384,80.67,92,19.33,48012
48,13,351,275,78.35,76,21.65,48013
48,14,414,327,78.99,87,21.01,48014
48,15,344,270,78.49,74,21.51,48015
48,16,396,340,85.86,56,14.14,48016
48,17,531,427,80.41,104,19.59,48017
48,18,328,283,86.28,45,13.72,48018
48,19,333,267,80.18,66,19.82,48019
48,20,242,205,84.71,37,15.29,48020
48,21,435,369,84.83,66,15.17,48021
48,22,454,368,81.06,86,18.94,48022
48,23,326,271,83.13,55,16.87,48023
48,24,324,261,80.56,63,19.44,48024
48,25,435,375,86.21,60,13.79,48025
48,26,427,340,79.63,87,20.37,48026
48,27,257,212,82.49,45,17.51,48027
48,28,293,247,84.3,46,15.7,48028
48,29,255,196,76.86,59,23.14,48029
48,30,379,288,75.99,91,24.01,48030
48,31,409,353,86.31,56,13.69,48031
48,32,419,331,79.0,88,21.0,48032
48,33,281,230,81.85,51,18.15,48033
48,34,423,354,83.69,69,16.31,48034
48,35,183,139,75.96,44,24.04,48035
48,36,314,246,78.34,68,21.66,48036
48,37,392,313,79.85,79,20.15,48037
48,38,411,332,80.78,79,19.22,48038
48,39,314,249,79.3,65,20.7,48039
48,40,315,267,84.76,48,15.24,48040
48,41,342,266,77.78,76,22.22,48041
48,42,349,301,86.25,48,13.75,48042
48,43,561,456,81.28,105,18.72,48043
48,44,493,404,81.95,89,18.05,48044
48,45,337,279,82.79,58,17.21,48045
48,46,348,292,83.91,56,16.09,48046
48,47,451,393,87.14,58,12.86,48047
48,48,422,339,80.33,83,19.67,48048
48,49,196,155,79.08,41,20.92,48049
48,50,451,359,79.6,92,20.4,48050
48,51,500,401,80.2,99,19.8,48051
48,52,358,282,78.77,76,21.23,48052
48,53,230,180,78.26,50,21.74,48053
48,54,399,340,85.21,59,14.79,48054
49,2,509,416,81.73,93,18.27,49002
49,3,294,242,82.31,52,17.69,49003
49,4,213,180,84.51,33,15.49,49004
49,7,341,282,82.7,59,17.3,49007
49,8,453,370,81.68,83,18.32,49008
49,9,344,269,78.2,75,21.8,49009
49,10,349,283,81.09,66,18.91,49010
49,11,299,254,84.95,45,15.05,49011
49,12,466,410,87.98,56,12.02,49012
49,13,475,391,82.32,84,17.68,49013
49,15,398,353,88.69,45,11.31,49015
49,17,141,107,75.89,34,24.11,49017
49,18,253,195,77.08,58,22.92,49018
49,19,370,325,87.84,45,12.16,49019
49,21,131,97,74.05,34,25.95,49021
49,22,344,279,81.1,65,18.9,49022
49,23,382,316,82.72,66,17.28,49023
49,25,474,370,78.06,104,21.94,49025
49,26,382,295,77.23,87,22.77,49026
49,27,684,585,85.53,99,14.47,49027
49,29,504,416,82.54,88,17.46,49029
49,31,332,272,81.93,60,18.07,49031
49,32,292,224,76.71,68,23.29,49032
49,33,324,264,81.48,60,18.52,49033
49,36,628,479,76.27,149,23.73,49036
49,37,626,518,82.75,108,17.25,49037
49,39,426,371,87.09,55,12.91,49039
49,42,504,421,83.53,83,16.47,49042
50,34,151,126,83.44,25,16.56,50034
