ward,precinct,total,Eugene ''Gene'' Moore,Eugene ''Gene'' Moore Percent,Gregory Goldstein,Gregory Goldstein Percent,Terrence A. Gilhooly,Terrence A. Gilhooly Percent,precinct_id
3,11,411,392,95.38,12,2.92,7,1.7,03011
3,12,335,324,96.72,9,2.69,2,0.6,03012
3,13,236,187,79.24,36,15.25,13,5.51,03013
3,14,237,236,99.58,1,0.42,0,0.0,03014
3,15,408,394,96.57,8,1.96,6,1.47,03015
3,16,305,298,97.7,1,0.33,6,1.97,03016
3,17,229,223,97.38,3,1.31,3,1.31,03017
3,18,204,196,96.08,2,0.98,6,2.94,03018
3,19,122,93,76.23,22,18.03,7,5.74,03019
3,20,284,276,97.18,6,2.11,2,0.7,03020
3,21,215,208,96.74,7,3.26,0,0.0,03021
3,22,215,211,98.14,4,1.86,0,0.0,03022
3,23,389,375,96.4,7,1.8,7,1.8,03023
3,24,467,447,95.72,9,1.93,11,2.36,03024
3,25,294,286,97.28,6,2.04,2,0.68,03025
3,26,156,154,98.72,2,1.28,0,0.0,03026
3,27,384,374,97.4,6,1.56,4,1.04,03027
3,28,839,561,66.87,212,25.27,66,7.87,03028
3,29,297,288,96.97,7,2.36,2,0.67,03029
3,30,283,278,98.23,2,0.71,3,1.06,03030
3,31,513,501,97.66,10,1.95,2,0.39,03031
3,32,350,342,97.71,3,0.86,5,1.43,03032
3,33,520,499,95.96,9,1.73,12,2.31,03033
3,34,286,271,94.76,8,2.8,7,2.45,03034
3,35,379,364,96.04,3,0.79,12,3.17,03035
3,36,141,136,96.45,4,2.84,1,0.71,03036
3,37,145,136,93.79,4,2.76,5,3.45,03037
3,38,434,427,98.39,5,1.15,2,0.46,03038
3,39,337,326,96.74,7,2.08,4,1.19,03039
3,40,328,317,96.65,4,1.22,7,2.13,03040
3,41,281,230,81.85,36,12.81,15,5.34,03041
3,42,358,347,96.93,6,1.68,5,1.4,03042
3,43,118,118,100.0,0,0.0,0,0.0,03043
3,44,166,160,96.39,5,3.01,1,0.6,03044
3,45,455,380,83.52,60,13.19,15,3.3,03045
3,46,90,89,98.89,1,1.11,0,0.0,03046
3,47,227,222,97.8,3,1.32,2,0.88,03047
3,48,255,247,96.86,4,1.57,4,1.57,03048
3,49,134,129,96.27,3,2.24,2,1.49,03049
3,50,277,268,96.75,5,1.81,4,1.44,03050
4,1,658,538,81.76,60,9.12,60,9.12,04001
4,2,609,578,94.91,20,3.28,11,1.81,04002
4,3,551,530,96.19,9,1.63,12,2.18,04003
4,4,489,474,96.93,9,1.84,6,1.23,04004
4,5,523,496,94.84,19,3.63,8,1.53,04005
4,6,145,143,98.62,0,0.0,2,1.38,04006
4,7,537,514,95.72,9,1.68,14,2.61,04007
4,8,539,523,97.03,8,1.48,8,1.48,04008
4,9,645,625,96.9,4,0.62,16,2.48,04009
4,10,524,505,96.37,12,2.29,7,1.34,04010
4,11,483,470,97.31,6,1.24,7,1.45,04011
4,12,269,261,97.03,2,0.74,6,2.23,04012
4,13,329,282,85.71,29,8.81,18,5.47,04013
4,14,428,412,96.26,9,2.1,7,1.64,04014
4,15,362,331,91.44,21,5.8,10,2.76,04015
4,16,551,542,98.37,5,0.91,4,0.73,04016
4,17,451,374,82.93,60,13.3,17,3.77,04017
4,18,499,483,96.79,12,2.4,4,0.8,04018
4,19,491,476,96.95,6,1.22,9,1.83,04019
4,20,296,290,97.97,3,1.01,3,1.01,04020
4,21,503,452,89.86,21,4.17,30,5.96,04021
4,22,495,446,90.1,28,5.66,21,4.24,04022
4,23,328,277,84.45,35,10.67,16,4.88,04023
4,24,495,449,90.71,27,5.45,19,3.84,04024
4,25,381,361,94.75,15,3.94,5,1.31,04025
4,26,516,500,96.9,6,1.16,10,1.94,04026
4,27,405,390,96.3,6,1.48,9,2.22,04027
4,28,281,227,80.78,37,13.17,17,6.05,04028
4,29,360,298,82.78,39,10.83,23,6.39,04029
4,30,370,340,91.89,21,5.68,9,2.43,04030
4,31,275,205,74.55,37,13.45,33,12.0,04031
4,32,444,347,78.15,54,12.16,43,9.68,04032
4,33,390,373,95.64,12,3.08,5,1.28,04033
4,34,310,224,72.26,50,16.13,36,11.61,04034
4,35,334,325,97.31,6,1.8,3,0.9,04035
4,36,326,308,94.48,14,4.29,4,1.23,04036
4,37,78,74,94.87,3,3.85,1,1.28,04037
4,38,591,515,87.14,47,7.95,29,4.91,04038
4,39,338,332,98.22,1,0.3,5,1.48,04039
4,40,461,434,94.14,15,3.25,12,2.6,04040
4,41,233,161,69.1,29,12.45,43,18.45,04041
4,42,489,463,94.68,21,4.29,5,1.02,04042
4,43,281,224,79.72,33,11.74,24,8.54,04043
4,44,291,250,85.91,18,6.19,23,7.9,04044
4,45,570,524,91.93,37,6.49,9,1.58,04045
4,46,344,321,93.31,11,3.2,12,3.49,04046
4,47,646,553,85.6,36,5.57,57,8.82,04047
4,48,456,377,82.68,56,12.28,23,5.04,04048
4,49,294,286,97.28,5,1.7,3,1.02,04049
4,50,380,371,97.63,4,1.05,5,1.32,04050
4,51,420,400,95.24,10,2.38,10,2.38,04051
4,52,513,503,98.05,6,1.17,4,0.78,04052
5,1,493,477,96.75,6,1.22,10,2.03,05001
5,2,400,386,96.5,9,2.25,5,1.25,05002
5,3,229,185,80.79,21,9.17,23,10.04,05003
5,4,289,283,97.92,2,0.69,4,1.38,05004
5,5,430,422,98.14,4,0.93,4,0.93,05005
5,6,497,485,97.59,6,1.21,6,1.21,05006
5,7,443,433,97.74,7,1.58,3,0.68,05007
5,8,472,349,73.94,78,16.53,45,9.53,05008
5,9,417,404,96.88,7,1.68,6,1.44,05009
5,10,419,411,98.09,3,0.72,5,1.19,05010
5,11,337,258,76.56,47,13.95,32,9.5,05011
5,12,302,291,96.36,7,2.32,4,1.32,05012
5,13,408,387,94.85,13,3.19,8,1.96,05013
5,14,488,393,80.53,50,10.25,45,9.22,05014
5,15,330,276,83.64,23,6.97,31,9.39,05015
5,16,364,354,97.25,6,1.65,4,1.1,05016
5,17,454,443,97.58,7,1.54,4,0.88,05017
5,18,438,414,94.52,12,2.74,12,2.74,05018
5,19,260,256,98.46,0,0.0,4,1.54,05019
5,20,231,224,96.97,4,1.73,3,1.3,05020
5,21,457,445,97.37,6,1.31,6,1.31,05021
5,22,384,376,97.92,3,0.78,5,1.3,05022
5,23,301,288,95.68,10,3.32,3,1.0,05023
5,24,278,234,84.17,31,11.15,13,4.68,05024
5,25,446,437,97.98,4,0.9,5,1.12,05025
5,26,498,486,97.59,7,1.41,5,1.0,05026
5,27,531,355,66.85,101,19.02,75,14.12,05027
5,28,435,413,94.94,11,2.53,11,2.53,05028
5,29,416,401,96.39,7,1.68,8,1.92,05029
5,30,325,209,64.31,78,24.0,38,11.69,05030
5,31,459,443,96.51,5,1.09,11,2.4,05031
5,32,563,523,92.9,23,4.09,17,3.02,05032
5,33,232,228,98.28,2,0.86,2,0.86,05033
5,34,490,478,97.55,6,1.22,6,1.22,05034
5,35,320,257,80.31,36,11.25,27,8.44,05035
5,36,313,307,98.08,4,1.28,2,0.64,05036
5,37,312,258,82.69,27,8.65,27,8.65,05037
5,38,342,259,75.73,50,14.62,33,9.65,05038
5,39,429,305,71.1,75,17.48,49,11.42,05039
5,40,530,516,97.36,5,0.94,9,1.7,05040
5,41,323,218,67.49,54,16.72,51,15.79,05041
5,42,477,457,95.81,13,2.73,7,1.47,05042
5,43,412,399,96.84,9,2.18,4,0.97,05043
5,44,521,491,94.24,10,1.92,20,3.84,05044
5,45,242,235,97.11,5,2.07,2,0.83,05045
5,46,437,320,73.23,66,15.1,51,11.67,05046
5,47,404,395,97.77,5,1.24,4,0.99,05047
5,48,266,212,79.7,25,9.4,29,10.9,05048
5,49,94,92,97.87,1,1.06,1,1.06,05049
5,50,352,342,97.16,4,1.14,6,1.7,05050
5,51,337,326,96.74,4,1.19,7,2.08,05051
5,52,85,67,78.82,9,10.59,9,10.59,05052
5,53,400,343,85.75,32,8.0,25,6.25,05053
5,54,553,531,96.02,10,1.81,12,2.17,05054
5,55,360,353,98.06,4,1.11,3,0.83,05055
6,1,456,448,98.25,3,0.66,5,1.1,06001
6,2,461,451,97.83,6,1.3,4,0.87,06002
6,3,440,428,97.27,6,1.36,6,1.36,06003
6,4,398,387,97.24,5,1.26,6,1.51,06004
6,5,286,284,99.3,1,0.35,1,0.35,06005
6,6,338,328,97.04,8,2.37,2,0.59,06006
6,7,473,455,96.19,11,2.33,7,1.48,06007
6,8,504,493,97.82,7,1.39,4,0.79,06008
6,9,377,370,98.14,3,0.8,4,1.06,06009
6,10,489,477,97.55,6,1.23,6,1.23,06010
6,11,421,411,97.62,6,1.43,4,0.95,06011
6,12,457,448,98.03,7,1.53,2,0.44,06012
6,13,380,374,98.42,2,0.53,4,1.05,06013
6,14,495,488,98.59,2,0.4,5,1.01,06014
6,15,297,288,96.97,2,0.67,7,2.36,06015
6,16,445,436,97.98,4,0.9,5,1.12,06016
6,17,450,440,97.78,4,0.89,6,1.33,06017
6,18,329,322,97.87,5,1.52,2,0.61,06018
6,19,502,494,98.41,4,0.8,4,0.8,06019
6,20,410,397,96.83,5,1.22,8,1.95,06020
6,21,400,394,98.5,4,1.0,2,0.5,06021
6,22,341,335,98.24,4,1.17,2,0.59,06022
6,23,356,350,98.31,5,1.4,1,0.28,06023
6,24,442,433,97.96,4,0.9,5,1.13,06024
6,25,331,325,98.19,5,1.51,1,0.3,06025
6,26,461,452,98.05,7,1.52,2,0.43,06026
6,27,514,508,98.83,4,0.78,2,0.39,06027
6,28,651,639,98.16,10,1.54,2,0.31,06028
6,29,471,462,98.09,6,1.27,3,0.64,06029
6,30,422,410,97.16,8,1.9,4,0.95,06030
6,31,456,452,99.12,2,0.44,2,0.44,06031
6,32,497,486,97.79,7,1.41,4,0.8,06032
6,33,550,538,97.82,7,1.27,5,0.91,06033
6,34,394,386,97.97,5,1.27,3,0.76,06034
6,35,370,361,97.57,8,2.16,1,0.27,06035
6,36,305,299,98.03,5,1.64,1,0.33,06036
6,37,433,428,98.85,3,0.69,2,0.46,06037
6,38,470,460,97.87,5,1.06,5,1.06,06038
6,39,444,433,97.52,6,1.35,5,1.13,06039
6,40,286,282,98.6,4,1.4,0,0.0,06040
6,41,412,400,97.09,4,0.97,8,1.94,06041
6,42,318,309,97.17,6,1.89,3,0.94,06042
6,43,463,453,97.84,5,1.08,5,1.08,06043
6,44,426,409,96.01,6,1.41,11,2.58,06044
6,45,343,334,97.38,7,2.04,2,0.58,06045
6,46,400,391,97.75,3,0.75,6,1.5,06046
6,47,435,421,96.78,6,1.38,8,1.84,06047
6,48,408,401,98.28,5,1.23,2,0.49,06048
6,49,433,423,97.69,7,1.62,3,0.69,06049
6,50,405,396,97.78,2,0.49,7,1.73,06050
6,51,297,291,97.98,5,1.68,1,0.34,06051
6,52,314,306,97.45,5,1.59,3,0.96,06052
6,53,393,388,98.73,3,0.76,2,0.51,06053
6,54,411,402,97.81,4,0.97,5,1.22,06054
6,55,419,406,96.9,7,1.67,6,1.43,06055
6,56,323,318,98.45,2,0.62,3,0.93,06056
6,57,260,257,98.85,3,1.15,0,0.0,06057
6,58,413,403,97.58,4,0.97,6,1.45,06058
6,59,368,362,98.37,3,0.82,3,0.82,06059
6,60,272,267,98.16,2,0.74,3,1.1,06060
6,61,283,279,98.59,3,1.06,1,0.35,06061
6,62,437,426,97.48,5,1.14,6,1.37,06062
6,63,392,387,98.72,1,0.26,4,1.02,06063
6,64,429,419,97.67,5,1.17,5,1.17,06064
7,1,555,541,97.48,8,1.44,6,1.08,07001
7,2,478,461,96.44,11,2.3,6,1.26,07002
7,3,346,331,95.66,10,2.89,5,1.45,07003
7,4,341,323,94.72,11,3.23,7,2.05,07004
7,5,370,355,95.95,11,2.97,4,1.08,07005
7,6,367,358,97.55,6,1.63,3,0.82,07006
7,7,325,312,96.0,5,1.54,8,2.46,07007
7,8,176,165,93.75,9,5.11,2,1.14,07008
7,9,362,348,96.13,8,2.21,6,1.66,07009
7,10,316,305,96.52,6,1.9,5,1.58,07010
7,11,406,391,96.31,6,1.48,9,2.22,07011
7,12,290,279,96.21,7,2.41,4,1.38,07012
7,13,272,256,94.12,5,1.84,11,4.04,07013
7,14,498,478,95.98,11,2.21,9,1.81,07014
7,15,241,230,95.44,8,3.32,3,1.24,07015
7,16,312,300,96.15,7,2.24,5,1.6,07016
7,17,257,247,96.11,5,1.95,5,1.95,07017
7,18,328,307,93.6,13,3.96,8,2.44,07018
7,19,564,542,96.1,17,3.01,5,0.89,07019
7,20,254,249,98.03,3,1.18,2,0.79,07020
7,21,408,392,96.08,9,2.21,7,1.72,07021
7,22,286,276,96.5,6,2.1,4,1.4,07022
7,23,469,452,96.38,9,1.92,8,1.71,07023
7,24,323,314,97.21,5,1.55,4,1.24,07024
7,25,433,417,96.3,11,2.54,5,1.15,07025
7,26,472,460,97.46,6,1.27,6,1.27,07026
7,27,497,487,97.99,5,1.01,5,1.01,07027
7,28,558,548,98.21,5,0.9,5,0.9,07028
7,29,405,394,97.28,5,1.23,6,1.48,07029
7,30,333,323,97.0,6,1.8,4,1.2,07030
7,31,318,307,96.54,6,1.89,5,1.57,07031
7,32,371,346,93.26,14,3.77,11,2.96,07032
7,33,264,260,98.48,2,0.76,2,0.76,07033
7,34,330,324,98.18,5,1.52,1,0.3,07034
7,35,518,481,92.86,25,4.83,12,2.32,07035
7,36,392,382,97.45,2,0.51,8,2.04,07036
7,37,176,171,97.16,5,2.84,0,0.0,07037
7,38,285,277,97.19,6,2.11,2,0.7,07038
7,39,466,460,98.71,3,0.64,3,0.64,07039
7,40,497,472,94.97,17,3.42,8,1.61,07040
7,41,274,267,97.45,5,1.82,2,0.73,07041
7,42,604,587,97.19,11,1.82,6,0.99,07042
7,43,393,380,96.69,10,2.54,3,0.76,07043
7,44,622,588,94.53,19,3.05,15,2.41,07044
7,45,474,457,96.41,8,1.69,9,1.9,07045
7,46,136,128,94.12,5,3.68,3,2.21,07046
7,47,314,306,97.45,4,1.27,4,1.27,07047
7,48,326,320,98.16,4,1.23,2,0.61,07048
7,49,192,190,98.96,0,0.0,2,1.04,07049
7,50,244,237,97.13,3,1.23,4,1.64,07050
7,51,627,607,96.81,6,0.96,14,2.23,07051
7,52,274,263,95.99,6,2.19,5,1.82,07052
7,53,308,302,98.05,6,1.95,0,0.0,07053
7,54,186,178,95.7,6,3.23,2,1.08,07054
7,55,289,282,97.58,4,1.38,3,1.04,07055
7,56,350,337,96.29,5,1.43,8,2.29,07056
7,57,284,275,96.83,3,1.06,6,2.11,07057
7,58,367,357,97.28,9,2.45,1,0.27,07058
7,59,219,210,95.89,5,2.28,4,1.83,07059
7,60,245,239,97.55,6,2.45,0,0.0,07060
7,61,303,295,97.36,7,2.31,1,0.33,07061
8,1,392,377,96.17,8,2.04,7,1.79,08001
8,2,216,207,95.83,5,2.31,4,1.85,08002
8,3,441,433,98.19,4,0.91,4,0.91,08003
8,4,383,374,97.65,4,1.04,5,1.31,08004
8,5,385,377,97.92,4,1.04,4,1.04,08005
8,6,386,380,98.45,5,1.3,1,0.26,08006
8,7,384,379,98.7,3,0.78,2,0.52,08007
8,8,376,372,98.94,3,0.8,1,0.27,08008
8,9,428,418,97.66,6,1.4,4,0.93,08009
8,10,479,465,97.08,6,1.25,8,1.67,08010
8,11,384,375,97.66,5,1.3,4,1.04,08011
8,12,425,417,98.12,5,1.18,3,0.71,08012
8,13,351,345,98.29,4,1.14,2,0.57,08013
8,14,428,419,97.9,4,0.93,5,1.17,08014
8,15,320,314,98.13,4,1.25,2,0.63,08015
8,16,383,370,96.61,7,1.83,6,1.57,08016
8,17,331,317,95.77,9,2.72,5,1.51,08017
8,18,341,338,99.12,2,0.59,1,0.29,08018
8,19,435,425,97.7,6,1.38,4,0.92,08019
8,20,325,319,98.15,1,0.31,5,1.54,08020
8,21,297,287,96.63,5,1.68,5,1.68,08021
8,22,386,380,98.45,6,1.55,0,0.0,08022
8,23,380,376,98.95,4,1.05,0,0.0,08023
8,24,408,396,97.06,8,1.96,4,0.98,08024
8,25,406,397,97.78,4,0.99,5,1.23,08025
8,26,324,314,96.91,4,1.23,6,1.85,08026
8,27,428,419,97.9,9,2.1,0,0.0,08027
8,28,332,325,97.89,4,1.2,3,0.9,08028
8,29,485,473,97.53,7,1.44,5,1.03,08029
8,30,337,326,96.74,6,1.78,5,1.48,08030
8,31,312,308,98.72,2,0.64,2,0.64,08031
8,32,586,575,98.12,5,0.85,6,1.02,08032
8,33,371,368,99.19,1,0.27,2,0.54,08033
8,34,488,471,96.52,8,1.64,9,1.84,08034
8,35,445,437,98.2,6,1.35,2,0.45,08035
8,36,382,376,98.43,2,0.52,4,1.05,08036
8,37,518,504,97.3,6,1.16,8,1.54,08037
8,38,424,417,98.35,5,1.18,2,0.47,08038
8,39,403,396,98.26,3,0.74,4,0.99,08039
8,40,430,421,97.91,8,1.86,1,0.23,08040
8,41,340,330,97.06,6,1.76,4,1.18,08041
8,42,387,373,96.38,11,2.84,3,0.78,08042
8,43,397,388,97.73,6,1.51,3,0.76,08043
8,44,295,286,96.95,6,2.03,3,1.02,08044
8,45,366,354,96.72,7,1.91,5,1.37,08045
8,46,333,327,98.2,4,1.2,2,0.6,08046
8,47,379,372,98.15,3,0.79,4,1.06,08047
8,48,342,328,95.91,6,1.75,8,2.34,08048
8,49,503,496,98.61,4,0.8,3,0.6,08049
8,50,391,384,98.21,4,1.02,3,0.77,08050
8,51,464,454,97.84,6,1.29,4,0.86,08051
8,52,376,366,97.34,5,1.33,5,1.33,08052
8,53,423,413,97.64,6,1.42,4,0.95,08053
8,54,417,404,96.88,7,1.68,6,1.44,08054
8,55,506,489,96.64,8,1.58,9,1.78,08055
8,56,439,428,97.49,9,2.05,2,0.46,08056
8,57,363,354,97.52,4,1.1,5,1.38,08057
8,58,398,392,98.49,1,0.25,5,1.26,08058
8,59,279,269,96.42,5,1.79,5,1.79,08059
8,60,351,341,97.15,5,1.42,5,1.42,08060
8,61,344,341,99.13,2,0.58,1,0.29,08061
8,62,318,315,99.06,2,0.63,1,0.31,08062
8,63,360,352,97.78,3,0.83,5,1.39,08063
8,64,406,399,98.28,6,1.48,1,0.25,08064
8,65,261,254,97.32,1,0.38,6,2.3,08065
8,66,570,560,98.25,5,0.88,5,0.88,08066
8,67,261,260,99.62,0,0.0,1,0.38,08067
8,68,335,325,97.01,7,2.09,3,0.9,08068
8,69,315,304,96.51,8,2.54,3,0.95,08069
8,70,619,600,96.93,14,2.26,5,0.81,08070
9,1,446,437,97.98,6,1.35,3,0.67,09001
9,2,475,460,96.84,10,2.11,5,1.05,09002
9,3,287,282,98.26,4,1.39,1,0.35,09003
9,4,390,383,98.21,4,1.03,3,0.77,09004
9,5,438,430,98.17,8,1.83,0,0.0,09005
9,6,456,445,97.59,3,0.66,8,1.75,09006
9,7,387,376,97.16,8,2.07,3,0.78,09007
9,8,467,451,96.57,7,1.5,9,1.93,09008
9,9,450,443,98.44,4,0.89,3,0.67,09009
9,10,398,390,97.99,2,0.5,6,1.51,09010
9,11,329,319,96.96,7,2.13,3,0.91,09011
9,12,436,429,98.39,6,1.38,1,0.23,09012
9,13,404,399,98.76,2,0.5,3,0.74,09013
9,14,534,518,97.0,6,1.12,10,1.87,09014
9,15,474,448,94.51,18,3.8,8,1.69,09015
9,16,409,402,98.29,3,0.73,4,0.98,09016
9,17,422,415,98.34,4,0.95,3,0.71,09017
9,18,426,418,98.12,2,0.47,6,1.41,09018
9,19,436,427,97.94,6,1.38,3,0.69,09019
9,20,410,405,98.78,1,0.24,4,0.98,09020
9,21,438,429,97.95,8,1.83,1,0.23,09021
9,22,472,458,97.03,7,1.48,7,1.48,09022
9,23,351,339,96.58,4,1.14,8,2.28,09023
9,24,246,238,96.75,6,2.44,2,0.81,09024
9,25,318,241,75.79,45,14.15,32,10.06,09025
9,26,369,363,98.37,5,1.36,1,0.27,09026
9,27,407,394,96.81,7,1.72,6,1.47,09027
9,28,322,302,93.79,13,4.04,7,2.17,09028
9,29,437,419,95.88,10,2.29,8,1.83,09029
9,30,403,396,98.26,3,0.74,4,0.99,09030
9,31,388,373,96.13,7,1.8,8,2.06,09031
9,32,428,418,97.66,8,1.87,2,0.47,09032
9,33,320,314,98.13,3,0.94,3,0.94,09033
9,34,384,374,97.4,8,2.08,2,0.52,09034
9,35,453,437,96.47,7,1.55,9,1.99,09035
9,36,486,481,98.97,4,0.82,1,0.21,09036
9,37,345,273,79.13,46,13.33,26,7.54,09037
9,38,489,475,97.14,8,1.64,6,1.23,09038
9,39,475,460,96.84,9,1.89,6,1.26,09039
9,40,450,440,97.78,5,1.11,5,1.11,09040
9,41,457,448,98.03,7,1.53,2,0.44,09041
9,42,289,281,97.23,4,1.38,4,1.38,09042
9,43,318,310,97.48,5,1.57,3,0.94,09043
9,44,352,345,98.01,5,1.42,2,0.57,09044
9,45,340,330,97.06,8,2.35,2,0.59,09045
9,46,401,395,98.5,4,1.0,2,0.5,09046
9,47,455,447,98.24,6,1.32,2,0.44,09047
9,48,405,395,97.53,6,1.48,4,0.99,09048
9,49,362,353,97.51,3,0.83,6,1.66,09049
9,50,432,419,96.99,3,0.69,10,2.31,09050
9,51,240,229,95.42,8,3.33,3,1.25,09051
9,52,412,399,96.84,5,1.21,8,1.94,09052
9,53,268,262,97.76,3,1.12,3,1.12,09053
