ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Anthony W. Williams,Anthony W. Williams Percent,precinct_id
9,12,455,445,97.8,10,2.2,09012
9,13,418,413,98.8,5,1.2,09013
9,14,571,565,98.95,6,1.05,09014
9,15,491,476,96.95,15,3.05,09015
9,16,437,430,98.4,7,1.6,09016
9,17,446,439,98.43,7,1.57,09017
9,18,450,438,97.33,12,2.67,09018
9,19,453,449,99.12,4,0.88,09019
9,20,424,417,98.35,7,1.65,09020
9,21,456,448,98.25,8,1.75,09021
9,22,490,480,97.96,10,2.04,09022
9,23,378,366,96.83,12,3.17,09023
9,24,276,275,99.64,1,0.36,09024
9,25,337,282,83.68,55,16.32,09025
9,26,392,387,98.72,5,1.28,09026
9,27,438,431,98.4,7,1.6,09027
9,28,353,334,94.62,19,5.38,09028
9,29,462,456,98.7,6,1.3,09029
9,30,421,416,98.81,5,1.19,09030
9,31,414,407,98.31,7,1.69,09031
9,32,466,454,97.42,12,2.58,09032
9,33,345,341,98.84,4,1.16,09033
9,34,427,417,97.66,10,2.34,09034
9,35,464,455,98.06,9,1.94,09035
9,37,361,299,82.83,62,17.17,09037
9,38,524,516,98.47,8,1.53,09038
9,39,499,485,97.19,14,2.81,09039
9,40,458,442,96.51,16,3.49,09040
9,41,482,464,96.27,18,3.73,09041
9,42,309,304,98.38,5,1.62,09042
9,43,345,336,97.39,9,2.61,09043
9,44,363,358,98.62,5,1.38,09044
9,45,349,345,98.85,4,1.15,09045
9,46,418,411,98.33,7,1.67,09046
9,48,432,424,98.15,8,1.85,09048
9,49,388,382,98.45,6,1.55,09049
9,50,457,446,97.59,11,2.41,09050
9,51,249,235,94.38,14,5.62,09051
9,52,433,423,97.69,10,2.31,09052
9,53,291,289,99.31,2,0.69,09053
10,1,377,357,94.69,20,5.31,10001
10,2,248,183,73.79,65,26.21,10002
10,3,325,188,57.85,137,42.15,10003
10,4,342,317,92.69,25,7.31,10004
10,5,300,224,74.67,76,25.33,10005
10,6,355,350,98.59,5,1.41,10006
10,7,105,95,90.48,10,9.52,10007
10,8,299,174,58.19,125,41.81,10008
10,9,283,179,63.25,104,36.75,10009
10,10,302,200,66.23,102,33.77,10010
10,11,345,262,75.94,83,24.06,10011
10,12,280,222,79.29,58,20.71,10012
10,13,253,205,81.03,48,18.97,10013
10,14,351,239,68.09,112,31.91,10014
10,15,164,126,76.83,38,23.17,10015
10,16,285,167,58.6,118,41.4,10016
10,17,265,181,68.3,84,31.7,10017
10,18,363,349,96.14,14,3.86,10018
10,19,354,248,70.06,106,29.94,10019
10,20,255,187,73.33,68,26.67,10020
10,21,294,183,62.24,111,37.76,10021
10,22,312,293,93.91,19,6.09,10022
10,23,296,261,88.18,35,11.82,10023
10,24,260,149,57.31,111,42.69,10024
10,25,475,440,92.63,35,7.37,10025
10,26,318,253,79.56,65,20.44,10026
10,27,354,250,70.62,104,29.38,10027
10,28,257,253,98.44,4,1.56,10028
10,29,335,329,98.21,6,1.79,10029
10,30,379,325,85.75,54,14.25,10030
10,31,360,286,79.44,74,20.56,10031
10,32,330,262,79.39,68,20.61,10032
10,33,339,279,82.3,60,17.7,10033
10,34,325,284,87.38,41,12.62,10034
10,35,318,266,83.65,52,16.35,10035
10,36,371,347,93.53,24,6.47,10036
10,37,341,320,93.84,21,6.16,10037
10,38,370,293,79.19,77,20.81,10038
10,39,300,241,80.33,59,19.67,10039
10,40,270,245,90.74,25,9.26,10040
10,41,368,253,68.75,115,31.25,10041
10,42,313,192,61.34,121,38.66,10042
10,43,229,213,93.01,16,6.99,10043
10,44,344,292,84.88,52,15.12,10044
10,45,213,180,84.51,33,15.49,10045
10,46,342,280,81.87,62,18.13,10046
10,47,245,192,78.37,53,21.63,10047
10,48,316,303,95.89,13,4.11,10048
34,1,616,606,98.38,10,1.62,34001
34,2,386,384,99.48,2,0.52,34002
34,3,564,554,98.23,10,1.77,34003
34,4,620,614,99.03,6,0.97,34004
34,5,513,503,98.05,10,1.95,34005
34,6,282,275,97.52,7,2.48,34006
34,7,543,537,98.9,6,1.1,34007
34,9,431,424,98.38,7,1.62,34009
34,10,452,444,98.23,8,1.77,34010
34,11,442,432,97.74,10,2.26,34011
34,12,549,541,98.54,8,1.46,34012
34,14,444,440,99.1,4,0.9,34014
34,15,437,429,98.17,8,1.83,34015
34,16,432,424,98.15,8,1.85,34016
34,17,432,424,98.15,8,1.85,34017
34,18,326,324,99.39,2,0.61,34018
34,20,603,594,98.51,9,1.49,34020
34,21,415,410,98.8,5,1.2,34021
34,22,485,472,97.32,13,2.68,34022
34,23,419,407,97.14,12,2.86,34023
34,24,480,476,99.17,4,0.83,34024
34,25,499,493,98.8,6,1.2,34025
34,26,369,363,98.37,6,1.63,34026
34,27,439,428,97.49,11,2.51,34027
34,28,331,325,98.19,6,1.81,34028
34,30,508,492,96.85,16,3.15,34030
34,31,303,297,98.02,6,1.98,34031
34,32,253,248,98.02,5,1.98,34032
34,34,499,485,97.19,14,2.81,34034
34,35,507,498,98.22,9,1.78,34035
34,36,485,472,97.32,13,2.68,34036
34,37,460,451,98.04,9,1.96,34037
34,38,426,417,97.89,9,2.11,34038
34,39,427,417,97.66,10,2.34,34039
34,40,493,492,99.8,1,0.2,34040
34,41,321,319,99.38,2,0.62,34041
34,42,534,526,98.5,8,1.5,34042
34,43,591,576,97.46,15,2.54,34043
34,44,447,443,99.11,4,0.89,34044
34,46,460,457,99.35,3,0.65,34046
34,48,536,524,97.76,12,2.24,34048
34,49,602,596,99.0,6,1.0,34049
34,50,457,450,98.47,7,1.53,34050
34,52,380,377,99.21,3,0.79,34052
34,53,425,421,99.06,4,0.94,34053
34,54,429,423,98.6,6,1.4,34054
34,56,265,260,98.11,5,1.89,34056
34,59,495,489,98.79,6,1.21,34059
34,60,498,491,98.59,7,1.41,34060
34,61,389,383,98.46,6,1.54,34061
