ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Michael Hawkins,Michael Hawkins Percent,Jerome Pohlen,Jerome Pohlen Percent,precinct_id
18,41,389,317,81.49,63,16.2,9,2.31,18041
18,43,359,318,88.58,28,7.8,13,3.62,18043
18,48,270,234,86.67,26,9.63,10,3.7,18048
18,55,376,296,78.72,73,19.41,7,1.86,18055
18,56,430,393,91.4,29,6.74,8,1.86,18056
18,57,335,308,91.94,20,5.97,7,2.09,18057
18,62,314,281,89.49,23,7.32,10,3.18,18062
19,1,443,343,77.43,91,20.54,9,2.03,19001
19,2,399,334,83.71,50,12.53,15,3.76,19002
19,3,384,265,69.01,108,28.13,11,2.86,19003
19,4,388,276,71.13,94,24.23,18,4.64,19004
19,5,467,376,80.51,65,13.92,26,5.57,19005
19,6,400,285,71.25,97,24.25,18,4.5,19006
19,7,437,326,74.6,77,17.62,34,7.78,19007
19,8,379,288,75.99,84,22.16,7,1.85,19008
19,9,333,235,70.57,89,26.73,9,2.7,19009
19,10,592,451,76.18,89,15.03,52,8.78,19010
19,11,503,330,65.61,159,31.61,14,2.78,19011
19,12,442,300,67.87,131,29.64,11,2.49,19012
19,13,374,343,91.71,16,4.28,15,4.01,19013
19,14,273,192,70.33,68,24.91,13,4.76,19014
19,15,410,279,68.05,112,27.32,19,4.63,19015
19,16,518,380,73.36,122,23.55,16,3.09,19016
19,17,452,333,73.67,90,19.91,29,6.42,19017
19,18,486,364,74.9,91,18.72,31,6.38,19018
19,19,463,344,74.3,81,17.49,38,8.21,19019
19,20,431,351,81.44,44,10.21,36,8.35,19020
19,21,343,244,71.14,81,23.62,18,5.25,19021
19,22,497,377,75.86,89,17.91,31,6.24,19022
19,23,496,356,71.77,112,22.58,28,5.65,19023
19,24,381,265,69.55,103,27.03,13,3.41,19024
19,25,509,345,67.78,125,24.56,39,7.66,19025
19,26,482,330,68.46,103,21.37,49,10.17,19026
19,27,333,247,74.17,43,12.91,43,12.91,19027
19,29,364,257,70.6,92,25.27,15,4.12,19029
19,30,425,314,73.88,101,23.76,10,2.35,19030
19,31,413,283,68.52,85,20.58,45,10.9,19031
19,32,471,346,73.46,95,20.17,30,6.37,19032
19,33,494,358,72.47,118,23.89,18,3.64,19033
19,34,445,318,71.46,99,22.25,28,6.29,19034
19,35,408,301,73.77,74,18.14,33,8.09,19035
19,36,677,579,85.52,56,8.27,42,6.2,19036
19,37,458,368,80.35,50,10.92,40,8.73,19037
19,38,475,392,82.53,39,8.21,44,9.26,19038
19,39,276,265,96.01,7,2.54,4,1.45,19039
19,40,500,381,76.2,81,16.2,38,7.6,19040
19,41,344,239,69.48,92,26.74,13,3.78,19041
19,42,512,409,79.88,64,12.5,39,7.62,19042
19,44,429,285,66.43,127,29.6,17,3.96,19044
19,45,462,346,74.89,98,21.21,18,3.9,19045
19,46,538,409,76.02,113,21.0,16,2.97,19046
19,47,330,295,89.39,22,6.67,13,3.94,19047
19,49,544,462,84.93,52,9.56,30,5.51,19049
19,51,353,238,67.42,97,27.48,18,5.1,19051
19,52,376,260,69.15,103,27.39,13,3.46,19052
19,53,430,326,75.81,87,20.23,17,3.95,19053
19,54,397,271,68.26,121,30.48,5,1.26,19054
19,55,386,283,73.32,91,23.58,12,3.11,19055
19,56,525,397,75.62,95,18.1,33,6.29,19056
19,57,517,392,75.82,83,16.05,42,8.12,19057
19,58,461,325,70.5,124,26.9,12,2.6,19058
19,59,435,292,67.13,125,28.74,18,4.14,19059
19,61,536,423,78.92,81,15.11,32,5.97,19061
19,62,443,339,76.52,83,18.74,21,4.74,19062
19,63,316,274,86.71,25,7.91,17,5.38,19063
19,64,548,434,79.2,82,14.96,32,5.84,19064
19,65,322,277,86.02,22,6.83,23,7.14,19065
20,41,127,113,88.98,8,6.3,6,4.72,20041
23,1,368,274,74.46,77,20.92,17,4.62,23001
23,2,426,315,73.94,82,19.25,29,6.81,23002
23,3,375,282,75.2,83,22.13,10,2.67,23003
23,4,387,301,77.78,71,18.35,15,3.88,23004
23,5,320,286,89.38,19,5.94,15,4.69,23005
23,6,402,350,87.06,34,8.46,18,4.48,23006
23,7,213,206,96.71,7,3.29,0,0.0,23007
23,8,415,355,85.54,39,9.4,21,5.06,23008
23,10,423,380,89.83,28,6.62,15,3.55,23010
23,11,440,343,77.95,78,17.73,19,4.32,23011
23,12,386,293,75.91,74,19.17,19,4.92,23012
23,13,454,348,76.65,89,19.6,17,3.74,23013
23,14,200,194,97.0,4,2.0,2,1.0,23014
23,15,416,323,77.64,80,19.23,13,3.13,23015
23,16,411,325,79.08,66,16.06,20,4.87,23016
23,17,456,330,72.37,101,22.15,25,5.48,23017
23,18,322,230,71.43,69,21.43,23,7.14,23018
23,19,360,271,75.28,63,17.5,26,7.22,23019
23,20,338,269,79.59,59,17.46,10,2.96,23020
23,21,358,344,96.09,8,2.23,6,1.68,23021
23,22,411,325,79.08,65,15.82,21,5.11,23022
23,23,392,304,77.55,74,18.88,14,3.57,23023
23,25,327,272,83.18,41,12.54,14,4.28,23025
23,26,389,293,75.32,86,22.11,10,2.57,23026
23,27,341,268,78.59,64,18.77,9,2.64,23027
23,28,389,306,78.66,67,17.22,16,4.11,23028
23,30,348,282,81.03,48,13.79,18,5.17,23030
23,31,410,338,82.44,50,12.2,22,5.37,23031
23,32,438,386,88.13,41,9.36,11,2.51,23032
23,33,423,368,87.0,47,11.11,8,1.89,23033
23,34,344,281,81.69,41,11.92,22,6.4,23034
23,35,281,273,97.15,4,1.42,4,1.42,23035
23,36,493,379,76.88,97,19.68,17,3.45,23036
23,37,276,266,96.38,5,1.81,5,1.81,23037
23,38,333,274,82.28,36,10.81,23,6.91,23038
23,39,365,275,75.34,78,21.37,12,3.29,23039
23,40,419,312,74.46,81,19.33,26,6.21,23040
23,41,418,351,83.97,53,12.68,14,3.35,23041
23,42,323,266,82.35,51,15.79,6,1.86,23042
23,43,461,338,73.32,105,22.78,18,3.9,23043
23,44,381,317,83.2,45,11.81,19,4.99,23044
23,45,478,381,79.71,75,15.69,22,4.6,23045
23,46,397,314,79.09,64,16.12,19,4.79,23046
23,47,435,333,76.55,74,17.01,28,6.44,23047
23,48,382,321,84.03,50,13.09,11,2.88,23048
23,49,445,345,77.53,82,18.43,18,4.04,23049
23,50,281,237,84.34,29,10.32,15,5.34,23050
23,51,325,282,86.77,34,10.46,9,2.77,23051
23,52,446,335,75.11,86,19.28,25,5.61,23052
23,53,245,215,87.76,18,7.35,12,4.9,23053
23,54,455,364,80.0,81,17.8,10,2.2,23054
23,55,394,289,73.35,85,21.57,20,5.08,23055
23,56,355,267,75.21,64,18.03,24,6.76,23056
