ward,precinct,total,Dominique C. Ross,Dominique C. Ross Percent,precinct_id
4,32,302,302,100.0,04032
4,33,299,299,100.0,04033
4,34,217,217,100.0,04034
4,35,232,232,100.0,04035
4,36,243,243,100.0,04036
4,37,58,58,100.0,04037
4,38,426,426,100.0,04038
4,39,260,260,100.0,04039
4,40,322,322,100.0,04040
4,41,175,175,100.0,04041
4,42,351,351,100.0,04042
4,43,202,202,100.0,04043
4,44,214,214,100.0,04044
4,45,390,390,100.0,04045
4,46,262,262,100.0,04046
4,47,503,503,100.0,04047
4,48,322,322,100.0,04048
4,49,220,220,100.0,04049
4,50,268,268,100.0,04050
4,51,302,302,100.0,04051
4,52,325,325,100.0,04052
5,1,319,319,100.0,05001
5,2,252,252,100.0,05002
5,3,173,173,100.0,05003
5,4,190,190,100.0,05004
5,5,307,307,100.0,05005
5,6,324,324,100.0,05006
5,7,320,320,100.0,05007
5,8,278,278,100.0,05008
5,9,283,283,100.0,05009
5,10,299,299,100.0,05010
5,11,230,230,100.0,05011
5,13,288,288,100.0,05013
5,14,327,327,100.0,05014
5,15,212,212,100.0,05015
5,16,260,260,100.0,05016
5,17,310,310,100.0,05017
5,18,305,305,100.0,05018
5,19,175,175,100.0,05019
5,20,159,159,100.0,05020
5,21,318,318,100.0,05021
5,22,279,279,100.0,05022
5,23,198,198,100.0,05023
5,24,170,170,100.0,05024
5,25,285,285,100.0,05025
5,26,355,355,100.0,05026
5,27,357,357,100.0,05027
5,28,291,291,100.0,05028
5,29,300,300,100.0,05029
5,30,201,201,100.0,05030
5,31,329,329,100.0,05031
5,32,409,409,100.0,05032
5,33,157,157,100.0,05033
5,34,361,361,100.0,05034
5,35,228,228,100.0,05035
5,36,211,211,100.0,05036
5,37,220,220,100.0,05037
5,38,214,214,100.0,05038
5,39,260,260,100.0,05039
5,40,390,390,100.0,05040
5,41,209,209,100.0,05041
5,42,322,322,100.0,05042
5,43,305,305,100.0,05043
5,44,385,385,100.0,05044
5,45,156,156,100.0,05045
5,46,292,292,100.0,05046
5,47,276,276,100.0,05047
5,48,179,179,100.0,05048
5,49,72,72,100.0,05049
5,50,91,91,100.0,05050
5,51,228,228,100.0,05051
5,52,63,63,100.0,05052
5,53,278,278,100.0,05053
5,54,407,407,100.0,05054
5,55,245,245,100.0,05055
6,7,318,318,100.0,06007
6,15,194,194,100.0,06015
6,18,228,228,100.0,06018
6,20,282,282,100.0,06020
6,30,290,290,100.0,06030
6,32,349,349,100.0,06032
6,33,389,389,100.0,06033
6,39,140,140,100.0,06039
6,48,305,305,100.0,06048
6,61,207,207,100.0,06061
6,62,328,328,100.0,06062
7,9,277,277,100.0,07009
7,11,303,303,100.0,07011
7,35,368,368,100.0,07035
7,40,332,332,100.0,07040
7,44,432,432,100.0,07044
7,45,341,341,100.0,07045
7,50,178,178,100.0,07050
8,57,276,276,100.0,08057
8,69,75,75,100.0,08069
8,70,456,456,100.0,08070
11,12,164,164,100.0,11012
11,13,184,184,100.0,11013
11,15,161,161,100.0,11015
11,27,119,119,100.0,11027
11,28,148,148,100.0,11028
11,31,112,112,100.0,11031
11,32,124,124,100.0,11032
11,34,102,102,100.0,11034
11,39,219,219,100.0,11039
11,42,77,77,100.0,11042
11,43,211,211,100.0,11043
11,45,98,98,100.0,11045
11,46,67,67,100.0,11046
11,47,178,178,100.0,11047
11,48,64,64,100.0,11048
11,49,144,144,100.0,11049
15,2,160,160,100.0,15002
15,3,197,197,100.0,15003
15,4,206,206,100.0,15004
15,5,206,206,100.0,15005
15,7,205,205,100.0,15007
15,12,133,133,100.0,15012
15,17,186,186,100.0,15017
15,18,110,110,100.0,15018
15,19,145,145,100.0,15019
15,20,142,142,100.0,15020
15,21,162,162,100.0,15021
15,23,156,156,100.0,15023
15,26,199,199,100.0,15026
15,31,151,151,100.0,15031
15,33,177,177,100.0,15033
15,34,111,111,100.0,15034
15,35,175,175,100.0,15035
15,36,198,198,100.0,15036
15,37,154,154,100.0,15037
15,39,212,212,100.0,15039
15,40,211,211,100.0,15040
15,42,149,149,100.0,15042
15,43,189,189,100.0,15043
15,46,125,125,100.0,15046
15,47,211,211,100.0,15047
15,51,127,127,100.0,15051
15,52,167,167,100.0,15052
16,3,161,161,100.0,16003
16,5,192,192,100.0,16005
16,6,67,67,100.0,16006
16,8,239,239,100.0,16008
16,9,223,223,100.0,16009
16,10,319,319,100.0,16010
16,12,163,163,100.0,16012
16,14,197,197,100.0,16014
16,15,236,236,100.0,16015
16,16,215,215,100.0,16016
16,18,183,183,100.0,16018
16,19,261,261,100.0,16019
16,20,170,170,100.0,16020
16,22,204,204,100.0,16022
16,24,78,78,100.0,16024
16,25,158,158,100.0,16025
16,26,183,183,100.0,16026
16,27,188,188,100.0,16027
16,28,238,238,100.0,16028
16,29,181,181,100.0,16029
16,30,214,214,100.0,16030
16,31,214,214,100.0,16031
16,33,141,141,100.0,16033
16,34,184,184,100.0,16034
16,36,232,232,100.0,16036
16,37,157,157,100.0,16037
16,38,154,154,100.0,16038
16,40,192,192,100.0,16040
16,41,103,103,100.0,16041
16,43,262,262,100.0,16043
16,44,4,4,100.0,16044
17,1,144,144,100.0,17001
17,6,200,200,100.0,17006
17,8,192,192,100.0,17008
17,13,156,156,100.0,17013
17,14,207,207,100.0,17014
17,16,208,208,100.0,17016
17,17,188,188,100.0,17017
17,19,96,96,100.0,17019
17,34,194,194,100.0,17034
17,36,156,156,100.0,17036
17,39,178,178,100.0,17039
17,41,164,164,100.0,17041
17,42,187,187,100.0,17042
17,43,213,213,100.0,17043
17,45,186,186,100.0,17045
17,46,233,233,100.0,17046
17,49,169,169,100.0,17049
17,58,124,124,100.0,17058
20,1,277,277,100.0,20001
20,2,229,229,100.0,20002
20,3,226,226,100.0,20003
20,5,190,190,100.0,20005
20,6,347,347,100.0,20006
20,7,95,95,100.0,20007
20,9,276,276,100.0,20009
20,10,208,208,100.0,20010
20,11,169,169,100.0,20011
20,12,134,134,100.0,20012
20,13,128,128,100.0,20013
20,14,352,352,100.0,20014
20,16,323,323,100.0,20016
20,17,173,173,100.0,20017
20,18,200,200,100.0,20018
20,19,190,190,100.0,20019
20,20,160,160,100.0,20020
20,22,356,356,100.0,20022
20,23,337,337,100.0,20023
20,24,275,275,100.0,20024
20,25,193,193,100.0,20025
20,26,221,221,100.0,20026
20,27,207,207,100.0,20027
20,28,261,261,100.0,20028
20,29,299,299,100.0,20029
20,30,222,222,100.0,20030
20,31,302,302,100.0,20031
20,32,241,241,100.0,20032
20,33,282,282,100.0,20033
20,34,359,359,100.0,20034
20,35,139,139,100.0,20035
20,36,220,220,100.0,20036
20,37,230,230,100.0,20037
20,38,44,44,100.0,20038
20,39,201,201,100.0,20039
20,40,155,155,100.0,20040
20,41,3,3,100.0,20041
20,42,276,276,100.0,20042
20,43,83,83,100.0,20043
20,44,259,259,100.0,20044
20,45,153,153,100.0,20045
20,46,236,236,100.0,20046
20,47,214,214,100.0,20047
20,48,97,97,100.0,20048
20,49,196,196,100.0,20049
20,50,140,140,100.0,20050
