ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Michael Benjamin Younan,Michael Benjamin Younan Percent,Morris Shanfield,Morris Shanfield Percent,precinct_id
49,10,373,318,85.25,39,10.46,16,4.29,49010
49,11,317,281,88.64,23,7.26,13,4.1,49011
49,12,486,436,89.71,34,7.0,16,3.29,49012
49,13,504,432,85.71,56,11.11,16,3.17,49013
49,14,410,339,82.68,51,12.44,20,4.88,49014
49,15,418,379,90.67,24,5.74,15,3.59,49015
49,16,332,292,87.95,31,9.34,9,2.71,49016
49,17,152,113,74.34,31,20.39,8,5.26,49017
49,18,272,221,81.25,35,12.87,16,5.88,49018
49,19,394,350,88.83,26,6.6,18,4.57,49019
49,20,485,417,85.98,47,9.69,21,4.33,49020
49,21,159,118,74.21,33,20.75,8,5.03,49021
49,22,358,310,86.59,25,6.98,23,6.42,49022
49,23,407,348,85.5,32,7.86,27,6.63,49023
49,24,417,375,89.93,29,6.95,13,3.12,49024
49,25,505,427,84.55,43,8.51,35,6.93,49025
49,26,442,353,79.86,65,14.71,24,5.43,49026
49,27,713,625,87.66,49,6.87,39,5.47,49027
49,28,339,292,86.14,34,10.03,13,3.83,49028
49,29,544,457,84.01,58,10.66,29,5.33,49029
49,30,477,419,87.84,45,9.43,13,2.73,49030
49,31,349,299,85.67,30,8.6,20,5.73,49031
49,32,311,242,77.81,35,11.25,34,10.93,49032
49,33,350,312,89.14,29,8.29,9,2.57,49033
49,34,442,388,87.78,41,9.28,13,2.94,49034
49,35,514,415,80.74,69,13.42,30,5.84,49035
49,36,662,558,84.29,63,9.52,41,6.19,49036
49,37,650,550,84.62,61,9.38,39,6.0,49037
49,38,392,363,92.6,16,4.08,13,3.32,49038
49,39,456,404,88.6,32,7.02,20,4.39,49039
49,40,382,318,83.25,51,13.35,13,3.4,49040
49,41,415,363,87.47,39,9.4,13,3.13,49041
49,42,525,464,88.38,32,6.1,29,5.52,49042
50,1,490,354,72.24,123,25.1,13,2.65,50001
50,2,494,349,70.65,125,25.3,20,4.05,50002
50,3,383,306,79.9,65,16.97,12,3.13,50003
50,4,424,352,83.02,63,14.86,9,2.12,50004
50,5,455,310,68.13,124,27.25,21,4.62,50005
50,6,273,237,86.81,26,9.52,10,3.66,50006
50,7,418,345,82.54,54,12.92,19,4.55,50007
50,8,391,310,79.28,68,17.39,13,3.32,50008
50,9,348,286,82.18,50,14.37,12,3.45,50009
50,10,332,248,74.7,72,21.69,12,3.61,50010
50,11,414,284,68.6,115,27.78,15,3.62,50011
50,12,217,175,80.65,35,16.13,7,3.23,50012
50,13,491,410,83.5,71,14.46,10,2.04,50013
50,14,167,130,77.84,31,18.56,6,3.59,50014
50,15,460,373,81.09,69,15.0,18,3.91,50015
50,16,187,139,74.33,41,21.93,7,3.74,50016
50,17,374,275,73.53,88,23.53,11,2.94,50017
50,18,349,268,76.79,65,18.62,16,4.58,50018
50,19,376,280,74.47,81,21.54,15,3.99,50019
50,20,410,299,72.93,98,23.9,13,3.17,50020
50,21,409,314,76.77,81,19.8,14,3.42,50021
50,22,575,488,84.87,65,11.3,22,3.83,50022
50,23,335,229,68.36,100,29.85,6,1.79,50023
50,24,513,415,80.9,86,16.76,12,2.34,50024
50,25,394,288,73.1,95,24.11,11,2.79,50025
50,26,362,301,83.15,49,13.54,12,3.31,50026
50,27,140,104,74.29,34,24.29,2,1.43,50027
50,28,331,273,82.48,50,15.11,8,2.42,50028
50,29,452,379,83.85,57,12.61,16,3.54,50029
50,30,340,234,68.82,91,26.76,15,4.41,50030
50,31,127,104,81.89,18,14.17,5,3.94,50031
50,32,460,393,85.43,51,11.09,16,3.48,50032
50,33,350,252,72.0,88,25.14,10,2.86,50033
50,34,330,284,86.06,26,7.88,20,6.06,50034
50,35,489,409,83.64,64,13.09,16,3.27,50035
50,36,408,309,75.74,91,22.3,8,1.96,50036
50,37,435,360,82.76,59,13.56,16,3.68,50037
50,38,220,173,78.64,39,17.73,8,3.64,50038
50,39,355,248,69.86,94,26.48,13,3.66,50039
50,40,469,338,72.07,114,24.31,17,3.62,50040
50,41,472,332,70.34,126,26.69,14,2.97,50041
50,42,368,277,75.27,76,20.65,15,4.08,50042
50,43,454,374,82.38,64,14.1,16,3.52,50043
