ward,precinct,total,Yes,Yes Percent,No,No Percent,precinct_id
8,38,264,196,74.24,68,25.76,08038
8,39,258,196,75.97,62,24.03,08039
8,40,265,188,70.94,77,29.06,08040
8,41,224,171,76.34,53,23.66,08041
8,42,252,190,75.4,62,24.6,08042
8,43,194,144,74.23,50,25.77,08043
8,44,205,155,75.61,50,24.39,08044
8,45,217,157,72.35,60,27.65,08045
8,46,206,158,76.7,48,23.3,08046
8,47,205,162,79.02,43,20.98,08047
8,48,224,172,76.79,52,23.21,08048
8,49,300,231,77.0,69,23.0,08049
8,50,237,186,78.48,51,21.52,08050
8,51,293,229,78.16,64,21.84,08051
8,52,268,199,74.25,69,25.75,08052
8,53,225,169,75.11,56,24.89,08053
8,54,261,206,78.93,55,21.07,08054
8,55,324,233,71.91,91,28.09,08055
8,56,230,169,73.48,61,26.52,08056
8,57,241,186,77.18,55,22.82,08057
8,58,245,191,77.96,54,22.04,08058
8,59,159,111,69.81,48,30.19,08059
8,60,231,179,77.49,52,22.51,08060
8,61,209,145,69.38,64,30.62,08061
8,62,199,149,74.87,50,25.13,08062
8,63,247,193,78.14,54,21.86,08063
8,64,276,205,74.28,71,25.72,08064
8,65,177,127,71.75,50,28.25,08065
8,66,373,284,76.14,89,23.86,08066
8,67,165,117,70.91,48,29.09,08067
8,68,177,133,75.14,44,24.86,08068
8,69,176,132,75.0,44,25.0,08069
8,70,395,293,74.18,102,25.82,08070
9,1,285,204,71.58,81,28.42,09001
9,2,241,166,68.88,75,31.12,09002
9,3,104,77,74.04,27,25.96,09003
9,4,233,182,78.11,51,21.89,09004
9,5,252,204,80.95,48,19.05,09005
9,6,280,199,71.07,81,28.93,09006
9,7,232,168,72.41,64,27.59,09007
9,8,268,194,72.39,74,27.61,09008
9,9,305,215,70.49,90,29.51,09009
9,10,227,156,68.72,71,31.28,09010
9,11,159,117,73.58,42,26.42,09011
9,12,242,175,72.31,67,27.69,09012
9,13,251,189,75.3,62,24.7,09013
9,14,339,250,73.75,89,26.25,09014
9,15,287,197,68.64,90,31.36,09015
9,16,232,143,61.64,89,38.36,09016
9,17,246,182,73.98,64,26.02,09017
9,18,254,191,75.2,63,24.8,09018
9,19,295,217,73.56,78,26.44,09019
9,20,261,189,72.41,72,27.59,09020
9,21,257,192,74.71,65,25.29,09021
9,22,289,223,77.16,66,22.84,09022
9,23,225,160,71.11,65,28.89,09023
9,24,112,74,66.07,38,33.93,09024
9,25,217,157,72.35,60,27.65,09025
9,26,209,139,66.51,70,33.49,09026
9,27,215,164,76.28,51,23.72,09027
9,28,159,120,75.47,39,24.53,09028
9,29,227,158,69.6,69,30.4,09029
9,30,281,193,68.68,88,31.32,09030
9,31,215,151,70.23,64,29.77,09031
9,32,254,186,73.23,68,26.77,09032
9,33,168,125,74.4,43,25.6,09033
9,34,217,159,73.27,58,26.73,09034
9,35,311,230,73.95,81,26.05,09035
9,36,315,222,70.48,93,29.52,09036
9,37,234,172,73.5,62,26.5,09037
9,38,327,233,71.25,94,28.75,09038
9,39,305,233,76.39,72,23.61,09039
9,40,282,216,76.6,66,23.4,09040
9,41,293,205,69.97,88,30.03,09041
9,42,101,72,71.29,29,28.71,09042
9,43,204,159,77.94,45,22.06,09043
9,44,210,151,71.9,59,28.1,09044
9,45,227,178,78.41,49,21.59,09045
9,46,281,202,71.89,79,28.11,09046
9,47,294,215,73.13,79,26.87,09047
9,48,273,209,76.56,64,23.44,09048
9,49,217,151,69.59,66,30.41,09049
9,50,262,187,71.37,75,28.63,09050
9,51,155,124,80.0,31,20.0,09051
9,52,271,198,73.06,73,26.94,09052
9,53,183,132,72.13,51,27.87,09053
10,1,158,115,72.78,43,27.22,10001
10,2,130,92,70.77,38,29.23,10002
10,3,195,121,62.05,74,37.95,10003
10,4,202,144,71.29,58,28.71,10004
10,5,175,130,74.29,45,25.71,10005
10,6,221,172,77.83,49,22.17,10006
10,7,55,42,76.36,13,23.64,10007
10,8,181,127,70.17,54,29.83,10008
10,9,159,119,74.84,40,25.16,10009
10,10,158,104,65.82,54,34.18,10010
10,11,220,155,70.45,65,29.55,10011
10,12,185,140,75.68,45,24.32,10012
10,13,122,81,66.39,41,33.61,10013
10,14,216,154,71.3,62,28.7,10014
10,15,94,68,72.34,26,27.66,10015
10,16,163,109,66.87,54,33.13,10016
10,17,164,125,76.22,39,23.78,10017
10,18,217,160,73.73,57,26.27,10018
10,19,194,144,74.23,50,25.77,10019
10,20,158,117,74.05,41,25.95,10020
10,21,156,110,70.51,46,29.49,10021
10,22,173,122,70.52,51,29.48,10022
10,23,176,126,71.59,50,28.41,10023
10,24,149,103,69.13,46,30.87,10024
10,25,265,201,75.85,64,24.15,10025
10,26,196,138,70.41,58,29.59,10026
10,27,200,144,72.0,56,28.0,10027
10,28,137,109,79.56,28,20.44,10028
10,29,187,145,77.54,42,22.46,10029
10,30,192,151,78.65,41,21.35,10030
10,31,201,139,69.15,62,30.85,10031
10,32,214,157,73.36,57,26.64,10032
10,33,186,137,73.66,49,26.34,10033
10,34,184,141,76.63,43,23.37,10034
10,35,201,165,82.09,36,17.91,10035
10,36,218,161,73.85,57,26.15,10036
10,37,170,113,66.47,57,33.53,10037
