ward,precinct,total,Dorothy A. Brown,Dorothy A. Brown Percent,Diane Shapiro,Diane Shapiro Percent,Paloma Andrade,Paloma Andrade Percent,precinct_id
2,38,706,422,59.77,260,36.83,24,3.4,02038
2,39,533,436,81.8,59,11.07,38,7.13,02039
2,40,1010,740,73.27,210,20.79,60,5.94,02040
2,41,275,269,97.82,3,1.09,3,1.09,02041
2,42,193,191,98.96,1,0.52,1,0.52,02042
2,43,484,345,71.28,117,24.17,22,4.55,02043
2,44,270,254,94.07,12,4.44,4,1.48,02044
2,45,503,466,92.64,24,4.77,13,2.58,02045
2,46,506,476,94.07,20,3.95,10,1.98,02046
2,47,314,305,97.13,6,1.91,3,0.96,02047
2,48,301,297,98.67,0,0.0,4,1.33,02048
2,49,351,238,67.81,81,23.08,32,9.12,02049
2,50,340,258,75.88,56,16.47,26,7.65,02050
2,51,372,348,93.55,21,5.65,3,0.81,02051
2,52,593,560,94.44,22,3.71,11,1.85,02052
2,53,591,426,72.08,128,21.66,37,6.26,02053
2,54,606,416,68.65,115,18.98,75,12.38,02054
2,55,265,182,68.68,64,24.15,19,7.17,02055
2,56,369,346,93.77,15,4.07,8,2.17,02056
3,1,355,347,97.75,5,1.41,3,0.85,03001
3,2,453,442,97.57,5,1.1,6,1.32,03002
3,3,515,419,81.36,72,13.98,24,4.66,03003
3,4,309,293,94.82,8,2.59,8,2.59,03004
3,5,323,304,94.12,12,3.72,7,2.17,03005
3,6,346,341,98.55,3,0.87,2,0.58,03006
3,7,366,356,97.27,5,1.37,5,1.37,03007
3,8,493,478,96.96,10,2.03,5,1.01,03008
3,9,358,345,96.37,8,2.23,5,1.4,03009
3,10,182,181,99.45,0,0.0,1,0.55,03010
3,11,425,414,97.41,7,1.65,4,0.94,03011
3,12,359,352,98.05,5,1.39,2,0.56,03012
3,13,246,172,69.92,31,12.6,43,17.48,03013
3,14,255,254,99.61,0,0.0,1,0.39,03014
3,15,428,419,97.9,4,0.93,5,1.17,03015
3,16,310,297,95.81,4,1.29,9,2.9,03016
3,17,239,234,97.91,4,1.67,1,0.42,03017
3,18,208,198,95.19,1,0.48,9,4.33,03018
3,19,122,80,65.57,24,19.67,18,14.75,03019
3,20,305,295,96.72,9,2.95,1,0.33,03020
3,21,229,224,97.82,3,1.31,2,0.87,03021
3,22,223,217,97.31,5,2.24,1,0.45,03022
3,23,414,397,95.89,11,2.66,6,1.45,03023
3,24,486,463,95.27,13,2.67,10,2.06,03024
3,25,307,305,99.35,2,0.65,0,0.0,03025
3,26,158,153,96.84,2,1.27,3,1.9,03026
3,27,394,379,96.19,9,2.28,6,1.52,03027
3,28,865,566,65.43,232,26.82,67,7.75,03028
3,29,324,317,97.84,5,1.54,2,0.62,03029
3,30,292,286,97.95,5,1.71,1,0.34,03030
3,31,530,519,97.92,9,1.7,2,0.38,03031
3,32,363,352,96.97,4,1.1,7,1.93,03032
3,33,546,525,96.15,9,1.65,12,2.2,03033
3,34,301,289,96.01,5,1.66,7,2.33,03034
3,35,392,375,95.66,8,2.04,9,2.3,03035
3,36,151,145,96.03,4,2.65,2,1.32,03036
3,37,150,141,94.0,3,2.0,6,4.0,03037
3,38,456,446,97.81,5,1.1,5,1.1,03038
3,39,370,364,98.38,4,1.08,2,0.54,03039
3,40,342,332,97.08,5,1.46,5,1.46,03040
3,41,294,243,82.65,42,14.29,9,3.06,03041
3,42,384,367,95.57,11,2.86,6,1.56,03042
3,43,126,125,99.21,1,0.79,0,0.0,03043
3,44,172,166,96.51,5,2.91,1,0.58,03044
3,45,472,382,80.93,76,16.1,14,2.97,03045
3,46,96,94,97.92,1,1.04,1,1.04,03046
3,47,240,235,97.92,3,1.25,2,0.83,03047
3,48,272,266,97.79,2,0.74,4,1.47,03048
3,49,141,136,96.45,2,1.42,3,2.13,03049
3,50,291,282,96.91,4,1.37,5,1.72,03050
4,1,679,559,82.33,64,9.43,56,8.25,04001
4,2,626,589,94.09,24,3.83,13,2.08,04002
4,3,577,553,95.84,13,2.25,11,1.91,04003
4,4,505,490,97.03,5,0.99,10,1.98,04004
4,5,546,519,95.05,20,3.66,7,1.28,04005
4,6,149,146,97.99,0,0.0,3,2.01,04006
4,7,558,536,96.06,9,1.61,13,2.33,04007
4,8,558,532,95.34,13,2.33,13,2.33,04008
4,9,670,642,95.82,12,1.79,16,2.39,04009
4,10,527,505,95.83,11,2.09,11,2.09,04010
4,11,501,487,97.21,5,1.0,9,1.8,04011
4,12,270,261,96.67,5,1.85,4,1.48,04012
4,13,339,292,86.14,29,8.55,18,5.31,04013
4,14,438,426,97.26,8,1.83,4,0.91,04014
4,15,370,329,88.92,25,6.76,16,4.32,04015
4,16,570,547,95.96,11,1.93,12,2.11,04016
4,17,468,383,81.84,68,14.53,17,3.63,04017
4,18,503,477,94.83,16,3.18,10,1.99,04018
4,19,517,505,97.68,5,0.97,7,1.35,04019
4,20,310,306,98.71,2,0.65,2,0.65,04020
4,21,520,464,89.23,28,5.38,28,5.38,04021
4,22,517,468,90.52,29,5.61,20,3.87,04022
4,23,344,290,84.3,34,9.88,20,5.81,04023
4,24,509,465,91.36,26,5.11,18,3.54,04024
4,25,382,362,94.76,15,3.93,5,1.31,04025
4,26,534,516,96.63,12,2.25,6,1.12,04026
4,27,417,405,97.12,6,1.44,6,1.44,04027
4,28,299,245,81.94,36,12.04,18,6.02,04028
4,29,367,301,82.02,49,13.35,17,4.63,04029
4,30,388,357,92.01,25,6.44,6,1.55,04030
4,31,281,214,76.16,39,13.88,28,9.96,04031
4,32,459,365,79.52,56,12.2,38,8.28,04032
4,33,403,389,96.53,7,1.74,7,1.74,04033
4,34,324,249,76.85,49,15.12,26,8.02,04034
4,35,349,330,94.56,10,2.87,9,2.58,04035
4,36,339,314,92.63,17,5.01,8,2.36,04036
4,37,86,85,98.84,0,0.0,1,1.16,04037
4,38,609,536,88.01,40,6.57,33,5.42,04038
4,39,349,336,96.28,5,1.43,8,2.29,04039
4,40,493,468,94.93,15,3.04,10,2.03,04040
4,41,241,175,72.61,33,13.69,33,13.69,04041
4,42,498,470,94.38,23,4.62,5,1.0,04042
4,43,292,239,81.85,32,10.96,21,7.19,04043
4,44,301,256,85.05,22,7.31,23,7.64,04044
4,45,587,529,90.12,44,7.5,14,2.39,04045
4,46,355,324,91.27,13,3.66,18,5.07,04046
4,47,666,571,85.74,46,6.91,49,7.36,04047
4,48,475,402,84.63,53,11.16,20,4.21,04048
4,49,311,304,97.75,6,1.93,1,0.32,04049
4,50,411,400,97.32,5,1.22,6,1.46,04050
4,51,434,408,94.01,15,3.46,11,2.53,04051
4,52,538,528,98.14,5,0.93,5,0.93,04052
5,1,528,517,97.92,6,1.14,5,0.95,05001
5,2,414,404,97.58,8,1.93,2,0.48,05002
5,3,235,202,85.96,16,6.81,17,7.23,05003
5,4,300,292,97.33,3,1.0,5,1.67,05004
5,5,457,447,97.81,5,1.09,5,1.09,05005
5,6,517,507,98.07,5,0.97,5,0.97,05006
5,7,460,448,97.39,6,1.3,6,1.3,05007
5,8,492,381,77.44,70,14.23,41,8.33,05008
5,9,434,421,97.0,8,1.84,5,1.15,05009
5,10,430,418,97.21,4,0.93,8,1.86,05010
5,11,354,280,79.1,42,11.86,32,9.04,05011
5,12,315,306,97.14,4,1.27,5,1.59,05012
5,13,424,407,95.99,8,1.89,9,2.12,05013
5,14,507,431,85.01,44,8.68,32,6.31,05014
5,15,343,289,84.26,24,7.0,30,8.75,05015
5,16,373,360,96.51,10,2.68,3,0.8,05016
5,17,485,478,98.56,6,1.24,1,0.21,05017
5,18,456,434,95.18,10,2.19,12,2.63,05018
5,19,269,264,98.14,0,0.0,5,1.86,05019
5,20,239,233,97.49,1,0.42,5,2.09,05020
5,21,477,463,97.06,7,1.47,7,1.47,05021
5,22,396,382,96.46,7,1.77,7,1.77,05022
5,23,317,301,94.95,8,2.52,8,2.52,05023
5,24,282,245,86.88,28,9.93,9,3.19,05024
5,25,474,464,97.89,5,1.05,5,1.05,05025
5,26,514,495,96.3,13,2.53,6,1.17,05026
5,27,558,386,69.18,104,18.64,68,12.19,05027
5,28,441,422,95.69,11,2.49,8,1.81,05028
5,29,435,407,93.56,14,3.22,14,3.22,05029
5,30,351,243,69.23,81,23.08,27,7.69,05030
5,31,474,462,97.47,3,0.63,9,1.9,05031
5,32,587,557,94.89,18,3.07,12,2.04,05032
5,33,249,241,96.79,6,2.41,2,0.8,05033
5,34,500,488,97.6,7,1.4,5,1.0,05034
5,35,331,274,82.78,39,11.78,18,5.44,05035
5,36,324,318,98.15,3,0.93,3,0.93,05036
5,37,319,271,84.95,23,7.21,25,7.84,05037
5,38,363,286,78.79,53,14.6,24,6.61,05038
5,39,453,331,73.07,83,18.32,39,8.61,05039
5,40,549,535,97.45,5,0.91,9,1.64,05040
5,41,340,238,70.0,54,15.88,48,14.12,05041
5,42,502,484,96.41,13,2.59,5,1.0,05042
5,43,427,416,97.42,6,1.41,5,1.17,05043
5,44,538,514,95.54,9,1.67,15,2.79,05044
5,45,252,248,98.41,3,1.19,1,0.4,05045
5,46,451,348,77.16,56,12.42,47,10.42,05046
5,47,429,418,97.44,7,1.63,4,0.93,05047
5,48,273,223,81.68,24,8.79,26,9.52,05048
5,49,99,93,93.94,3,3.03,3,3.03,05049
5,50,376,368,97.87,3,0.8,5,1.33,05050
5,51,353,346,98.02,4,1.13,3,0.85,05051
5,52,88,69,78.41,11,12.5,8,9.09,05052
5,53,414,353,85.27,35,8.45,26,6.28,05053
5,54,566,542,95.76,13,2.3,11,1.94,05054
5,55,376,370,98.4,5,1.33,1,0.27,05055
6,1,460,451,98.04,7,1.52,2,0.43,06001
6,2,472,460,97.46,8,1.69,4,0.85,06002
6,3,470,459,97.66,6,1.28,5,1.06,06003
6,4,410,398,97.07,8,1.95,4,0.98,06004
6,5,295,293,99.32,1,0.34,1,0.34,06005
6,6,349,340,97.42,6,1.72,3,0.86,06006
6,7,495,482,97.37,8,1.62,5,1.01,06007
6,8,519,509,98.07,3,0.58,7,1.35,06008
6,9,390,385,98.72,4,1.03,1,0.26,06009
6,10,514,506,98.44,7,1.36,1,0.19,06010
6,11,428,414,96.73,7,1.64,7,1.64,06011
6,12,468,458,97.86,7,1.5,3,0.64,06012
6,13,394,386,97.97,4,1.02,4,1.02,06013
6,14,518,508,98.07,5,0.97,5,0.97,06014
6,15,313,306,97.76,3,0.96,4,1.28,06015
6,16,467,451,96.57,8,1.71,8,1.71,06016
6,17,472,463,98.09,3,0.64,6,1.27,06017
6,18,335,326,97.31,5,1.49,4,1.19,06018
6,19,521,512,98.27,5,0.96,4,0.77,06019
6,20,437,432,98.86,5,1.14,0,0.0,06020
6,21,414,399,96.38,8,1.93,7,1.69,06021
6,22,354,348,98.31,2,0.56,4,1.13,06022
6,23,368,366,99.46,1,0.27,1,0.27,06023
6,24,457,450,98.47,3,0.66,4,0.88,06024
6,25,342,336,98.25,6,1.75,0,0.0,06025
6,26,486,472,97.12,6,1.23,8,1.65,06026
6,27,530,518,97.74,6,1.13,6,1.13,06027
6,28,664,647,97.44,13,1.96,4,0.6,06028
6,29,480,471,98.13,4,0.83,5,1.04,06029
6,30,431,419,97.22,7,1.62,5,1.16,06030
6,31,473,458,96.83,6,1.27,9,1.9,06031
6,32,519,506,97.5,9,1.73,4,0.77,06032
6,33,555,546,98.38,3,0.54,6,1.08,06033
6,34,409,397,97.07,8,1.96,4,0.98,06034
6,35,374,363,97.06,6,1.6,5,1.34,06035
6,36,316,310,98.1,4,1.27,2,0.63,06036
6,37,441,431,97.73,4,0.91,6,1.36,06037
6,38,484,472,97.52,6,1.24,6,1.24,06038
6,39,461,447,96.96,9,1.95,5,1.08,06039
6,40,297,292,98.32,3,1.01,2,0.67,06040
6,41,420,409,97.38,6,1.43,5,1.19,06041
6,42,336,323,96.13,7,2.08,6,1.79,06042
6,43,477,467,97.9,3,0.63,7,1.47,06043
6,44,439,426,97.04,6,1.37,7,1.59,06044
6,45,352,341,96.88,4,1.14,7,1.99,06045
6,46,412,401,97.33,6,1.46,5,1.21,06046
6,47,451,439,97.34,6,1.33,6,1.33,06047
6,48,423,412,97.4,5,1.18,6,1.42,06048
6,49,464,455,98.06,5,1.08,4,0.86,06049
6,50,414,405,97.83,4,0.97,5,1.21,06050
6,51,312,303,97.12,7,2.24,2,0.64,06051
6,52,331,320,96.68,9,2.72,2,0.6,06052
6,53,412,406,98.54,3,0.73,3,0.73,06053
6,54,441,432,97.96,7,1.59,2,0.45,06054
6,55,439,424,96.58,12,2.73,3,0.68,06055
6,56,328,324,98.78,2,0.61,2,0.61,06056
6,57,272,265,97.43,5,1.84,2,0.74,06057
6,58,432,419,96.99,6,1.39,7,1.62,06058
6,59,385,377,97.92,3,0.78,5,1.3,06059
6,60,281,275,97.86,1,0.36,5,1.78,06060
6,61,292,283,96.92,5,1.71,4,1.37,06061
6,62,446,436,97.76,4,0.9,6,1.35,06062
6,63,418,409,97.85,7,1.67,2,0.48,06063
6,64,431,422,97.91,5,1.16,4,0.93,06064
7,1,568,558,98.24,7,1.23,3,0.53,07001
7,2,492,478,97.15,8,1.63,6,1.22,07002
7,3,358,342,95.53,9,2.51,7,1.96,07003
7,4,360,337,93.61,15,4.17,8,2.22,07004
7,5,387,368,95.09,7,1.81,12,3.1,07005
7,6,379,375,98.94,3,0.79,1,0.26,07006
7,7,347,338,97.41,4,1.15,5,1.44,07007
7,8,180,164,91.11,3,1.67,13,7.22,07008
7,9,377,360,95.49,8,2.12,9,2.39,07009
7,10,325,317,97.54,5,1.54,3,0.92,07010
7,11,421,408,96.91,7,1.66,6,1.43,07011
7,12,299,286,95.65,5,1.67,8,2.68,07012
7,13,273,264,96.7,4,1.47,5,1.83,07013
7,14,514,491,95.53,9,1.75,14,2.72,07014
7,15,245,236,96.33,7,2.86,2,0.82,07015
7,16,327,313,95.72,9,2.75,5,1.53,07016
7,17,271,266,98.15,3,1.11,2,0.74,07017
7,18,339,312,92.04,13,3.83,14,4.13,07018
7,19,586,568,96.93,9,1.54,9,1.54,07019
7,20,273,261,95.6,8,2.93,4,1.47,07020
7,21,416,402,96.63,8,1.92,6,1.44,07021
7,22,294,277,94.22,7,2.38,10,3.4,07022
7,23,491,480,97.76,9,1.83,2,0.41,07023
7,24,347,339,97.69,4,1.15,4,1.15,07024
7,25,443,425,95.94,11,2.48,7,1.58,07025
7,26,484,469,96.9,8,1.65,7,1.45,07026
7,27,509,498,97.84,6,1.18,5,0.98,07027
7,28,585,570,97.44,9,1.54,6,1.03,07028
7,29,414,399,96.38,7,1.69,8,1.93,07029
7,30,349,341,97.71,5,1.43,3,0.86,07030
7,31,329,321,97.57,7,2.13,1,0.3,07031
7,32,384,346,90.1,21,5.47,17,4.43,07032
7,33,269,260,96.65,4,1.49,5,1.86,07033
7,34,339,334,98.53,4,1.18,1,0.29,07034
7,35,539,516,95.73,12,2.23,11,2.04,07035
7,36,411,401,97.57,4,0.97,6,1.46,07036
7,37,181,178,98.34,3,1.66,0,0.0,07037
7,38,297,288,96.97,7,2.36,2,0.67,07038
7,39,476,469,98.53,3,0.63,4,0.84,07039
7,40,509,490,96.27,13,2.55,6,1.18,07040
7,41,285,277,97.19,5,1.75,3,1.05,07041
7,42,624,610,97.76,10,1.6,4,0.64,07042
7,43,409,399,97.56,8,1.96,2,0.49,07043
7,44,648,619,95.52,16,2.47,13,2.01,07044
7,45,489,473,96.73,8,1.64,8,1.64,07045
7,46,156,147,94.23,4,2.56,5,3.21,07046
7,47,332,325,97.89,3,0.9,4,1.2,07047
7,48,336,331,98.51,2,0.6,3,0.89,07048
7,49,197,194,98.48,2,1.02,1,0.51,07049
7,50,256,249,97.27,5,1.95,2,0.78,07050
7,51,640,619,96.72,11,1.72,10,1.56,07051
7,52,286,280,97.9,2,0.7,4,1.4,07052
7,53,310,303,97.74,4,1.29,3,0.97,07053
7,54,197,182,92.39,7,3.55,8,4.06,07054
7,55,299,290,96.99,4,1.34,5,1.67,07055
7,56,359,349,97.21,4,1.11,6,1.67,07056
7,57,294,288,97.96,5,1.7,1,0.34,07057
7,58,371,360,97.04,9,2.43,2,0.54,07058
7,59,230,224,97.39,4,1.74,2,0.87,07059
7,60,257,250,97.28,4,1.56,3,1.17,07060
7,61,313,308,98.4,3,0.96,2,0.64,07061
8,1,404,388,96.04,8,1.98,8,1.98,08001
8,2,226,218,96.46,2,0.88,6,2.65,08002
8,3,454,445,98.02,5,1.1,4,0.88,08003
8,4,390,382,97.95,6,1.54,2,0.51,08004
8,5,405,396,97.78,5,1.23,4,0.99,08005
8,6,395,388,98.23,5,1.27,2,0.51,08006
8,7,389,384,98.71,3,0.77,2,0.51,08007
8,8,396,393,99.24,2,0.51,1,0.25,08008
8,9,444,429,96.62,14,3.15,1,0.23,08009
8,10,491,474,96.54,11,2.24,6,1.22,08010
8,11,411,407,99.03,4,0.97,0,0.0,08011
8,12,437,431,98.63,3,0.69,3,0.69,08012
8,13,369,363,98.37,5,1.36,1,0.27,08013
8,14,445,435,97.75,5,1.12,5,1.12,08014
8,15,333,326,97.9,3,0.9,4,1.2,08015
8,16,387,374,96.64,7,1.81,6,1.55,08016
8,17,338,331,97.93,4,1.18,3,0.89,08017
8,18,356,352,98.88,4,1.12,0,0.0,08018
8,19,454,447,98.46,6,1.32,1,0.22,08019
8,20,335,330,98.51,4,1.19,1,0.3,08020
8,21,301,290,96.35,9,2.99,2,0.66,08021
8,22,385,380,98.7,1,0.26,4,1.04,08022
8,23,397,392,98.74,4,1.01,1,0.25,08023
8,24,418,411,98.33,6,1.44,1,0.24,08024
8,25,415,409,98.55,4,0.96,2,0.48,08025
8,26,337,330,97.92,6,1.78,1,0.3,08026
8,27,435,424,97.47,8,1.84,3,0.69,08027
8,28,348,341,97.99,4,1.15,3,0.86,08028
8,29,494,488,98.79,4,0.81,2,0.4,08029
8,30,354,341,96.33,8,2.26,5,1.41,08030
8,31,317,309,97.48,2,0.63,6,1.89,08031
8,32,605,594,98.18,8,1.32,3,0.5,08032
8,33,381,377,98.95,2,0.52,2,0.52,08033
8,34,505,490,97.03,9,1.78,6,1.19,08034
8,35,455,445,97.8,5,1.1,5,1.1,08035
8,36,386,381,98.7,5,1.3,0,0.0,08036
8,37,541,526,97.23,11,2.03,4,0.74,08037
8,38,433,425,98.15,7,1.62,1,0.23,08038
8,39,411,401,97.57,4,0.97,6,1.46,08039
8,40,445,436,97.98,3,0.67,6,1.35,08040
8,41,354,347,98.02,5,1.41,2,0.56,08041
8,42,393,385,97.96,7,1.78,1,0.25,08042
8,43,416,405,97.36,7,1.68,4,0.96,08043
8,44,301,290,96.35,5,1.66,6,1.99,08044
8,45,382,379,99.21,3,0.79,0,0.0,08045
8,46,344,339,98.55,4,1.16,1,0.29,08046
8,47,385,377,97.92,5,1.3,3,0.78,08047
8,48,354,344,97.18,6,1.69,4,1.13,08048
8,49,515,503,97.67,6,1.17,6,1.17,08049
8,50,398,393,98.74,4,1.01,1,0.25,08050
8,51,480,463,96.46,9,1.88,8,1.67,08051
8,52,387,377,97.42,2,0.52,8,2.07,08052
8,53,448,437,97.54,9,2.01,2,0.45,08053
8,54,429,417,97.2,6,1.4,6,1.4,08054
8,55,518,505,97.49,8,1.54,5,0.97,08055
8,56,460,444,96.52,11,2.39,5,1.09,08056
8,57,368,359,97.55,4,1.09,5,1.36,08057
8,58,411,399,97.08,3,0.73,9,2.19,08058
8,59,285,275,96.49,8,2.81,2,0.7,08059
8,60,355,344,96.9,5,1.41,6,1.69,08060
8,61,360,352,97.78,4,1.11,4,1.11,08061
8,62,321,316,98.44,2,0.62,3,0.93,08062
8,63,371,361,97.3,6,1.62,4,1.08,08063
8,64,420,407,96.9,7,1.67,6,1.43,08064
8,65,262,257,98.09,2,0.76,3,1.15,08065
8,66,597,588,98.49,4,0.67,5,0.84,08066
8,67,278,275,98.92,1,0.36,2,0.72,08067
8,68,348,335,96.26,8,2.3,5,1.44,08068
8,69,317,310,97.79,4,1.26,3,0.95,08069
8,70,629,610,96.98,13,2.07,6,0.95,08070
9,1,455,448,98.46,5,1.1,2,0.44,09001
9,2,493,481,97.57,7,1.42,5,1.01,09002
9,3,293,289,98.63,2,0.68,2,0.68,09003
9,4,403,398,98.76,2,0.5,3,0.74,09004
9,5,464,457,98.49,6,1.29,1,0.22,09005
9,6,477,466,97.69,5,1.05,6,1.26,09006
9,7,403,395,98.01,4,0.99,4,0.99,09007
9,8,492,487,98.98,1,0.2,4,0.81,09008
9,9,470,457,97.23,10,2.13,3,0.64,09009
9,10,413,403,97.58,7,1.69,3,0.73,09010
9,11,343,338,98.54,3,0.87,2,0.58,09011
9,12,445,433,97.3,6,1.35,6,1.35,09012
9,13,407,403,99.02,2,0.49,2,0.49,09013
9,14,562,546,97.15,8,1.42,8,1.42,09014
9,15,486,471,96.91,11,2.26,4,0.82,09015
9,16,425,418,98.35,4,0.94,3,0.71,09016
9,17,430,423,98.37,2,0.47,5,1.16,09017
9,18,436,432,99.08,3,0.69,1,0.23,09018
9,19,448,442,98.66,4,0.89,2,0.45,09019
9,20,420,415,98.81,1,0.24,4,0.95,09020
9,21,447,438,97.99,8,1.79,1,0.22,09021
9,22,487,476,97.74,4,0.82,7,1.44,09022
9,23,366,352,96.17,7,1.91,7,1.91,09023
9,24,256,252,98.44,3,1.17,1,0.39,09024
9,25,331,248,74.92,52,15.71,31,9.37,09025
9,26,380,378,99.47,2,0.53,0,0.0,09026
9,27,426,412,96.71,6,1.41,8,1.88,09027
9,28,342,315,92.11,9,2.63,18,5.26,09028
9,29,451,437,96.9,11,2.44,3,0.67,09029
9,30,412,404,98.06,2,0.49,6,1.46,09030
9,31,400,390,97.5,5,1.25,5,1.25,09031
9,32,451,444,98.45,6,1.33,1,0.22,09032
9,33,329,321,97.57,3,0.91,5,1.52,09033
9,34,395,388,98.23,3,0.76,4,1.01,09034
9,35,464,451,97.2,6,1.29,7,1.51,09035
9,36,506,495,97.83,6,1.19,5,0.99,09036
9,37,355,271,76.34,60,16.9,24,6.76,09037
9,38,512,496,96.88,10,1.95,6,1.17,09038
9,39,499,484,96.99,10,2.0,5,1.0,09039
9,40,454,444,97.8,7,1.54,3,0.66,09040
9,41,473,461,97.46,8,1.69,4,0.85,09041
9,42,297,290,97.64,4,1.35,3,1.01,09042
9,43,337,330,97.92,4,1.19,3,0.89,09043
9,44,361,356,98.61,4,1.11,1,0.28,09044
9,45,347,335,96.54,8,2.31,4,1.15,09045
9,46,411,406,98.78,1,0.24,4,0.97,09046
9,47,465,463,99.57,1,0.22,1,0.22,09047
9,48,425,416,97.88,6,1.41,3,0.71,09048
9,49,379,375,98.94,2,0.53,2,0.53,09049
9,50,438,430,98.17,3,0.68,5,1.14,09050
9,51,249,239,95.98,4,1.61,6,2.41,09051
9,52,426,414,97.18,7,1.64,5,1.17,09052
9,53,285,280,98.25,2,0.7,3,1.05,09053
10,1,360,333,92.5,10,2.78,17,4.72,10001
