ward,precinct,total,John McCain & Sarah Palin,John McCain & Sarah Palin Percent,Cynthia McKinney & Rosa Clemente,Cynthia McKinney & Rosa Clemente Percent,Bob Barr & Wayne A. Root,Bob Barr & Wayne A. Root Percent,Charles O. Baldwin & Darrell L. Castle,Charles O. Baldwin & Darrell L. Castle Percent,Ralph Nader & Matt Gonzalez,Ralph Nader & Matt Gonzalez Percent,precinct_id
1,28,314,38,12.1,0,0.0,1,0.32,2,0.64,3,0.96,01028
1,29,511,72,14.09,0,0.0,3,0.59,2,0.39,1,0.2,01029
1,30,663,76,11.46,5,0.75,3,0.45,0,0.0,1,0.15,01030
1,31,738,154,20.87,1,0.14,3,0.41,0,0.0,4,0.54,01031
1,32,485,64,13.2,0,0.0,1,0.21,0,0.0,4,0.82,01032
1,33,516,71,13.76,0,0.0,1,0.19,0,0.0,1,0.19,01033
1,34,373,41,10.99,2,0.54,2,0.54,1,0.27,1,0.27,01034
1,35,503,92,18.29,1,0.2,0,0.0,1,0.2,6,1.19,01035
1,36,538,83,15.43,3,0.56,2,0.37,0,0.0,4,0.74,01036
1,37,458,49,10.7,2,0.44,1,0.22,0,0.0,1,0.22,01037
1,38,311,30,9.65,1,0.32,0,0.0,3,0.96,2,0.64,01038
1,39,512,56,10.94,3,0.59,2,0.39,0,0.0,2,0.39,01039
1,40,248,38,15.32,0,0.0,3,1.21,1,0.4,1,0.4,01040
1,41,406,74,18.23,1,0.25,3,0.74,0,0.0,1,0.25,01041
1,42,449,65,14.48,1,0.22,5,1.11,3,0.67,3,0.67,01042
1,43,400,56,14.0,2,0.5,2,0.5,0,0.0,2,0.5,01043
1,44,420,50,11.9,4,0.95,3,0.71,0,0.0,3,0.71,01044
1,45,496,54,10.89,4,0.81,6,1.21,0,0.0,3,0.6,01045
1,46,517,66,12.77,3,0.58,6,1.16,0,0.0,3,0.58,01046
1,47,538,74,13.75,1,0.19,4,0.74,0,0.0,1,0.19,01047
1,48,315,49,15.56,2,0.63,0,0.0,0,0.0,2,0.63,01048
1,49,356,45,12.64,3,0.84,4,1.12,0,0.0,3,0.84,01049
1,50,419,55,13.13,1,0.24,1,0.24,0,0.0,2,0.48,01050
2,1,986,168,17.04,2,0.2,4,0.41,0,0.0,1,0.1,02001
2,2,215,19,8.84,0,0.0,0,0.0,0,0.0,0,0.0,02002
2,3,733,99,13.51,2,0.27,4,0.55,0,0.0,3,0.41,02003
2,4,464,1,0.22,0,0.0,0,0.0,1,0.22,0,0.0,02004
2,5,526,11,2.09,1,0.19,1,0.19,0,0.0,0,0.0,02005
2,6,890,208,23.37,0,0.0,5,0.56,1,0.11,3,0.34,02006
2,7,524,4,0.76,0,0.0,0,0.0,0,0.0,0,0.0,02007
2,8,681,120,17.62,1,0.15,4,0.59,1,0.15,3,0.44,02008
2,9,520,18,3.46,0,0.0,0,0.0,1,0.19,2,0.38,02009
2,10,400,4,1.0,0,0.0,0,0.0,1,0.25,0,0.0,02010
2,11,608,113,18.59,4,0.66,7,1.15,0,0.0,1,0.16,02011
2,12,882,185,20.98,0,0.0,9,1.02,1,0.11,4,0.45,02012
2,13,578,42,7.27,1,0.17,3,0.52,1,0.17,1,0.17,02013
2,14,479,14,2.92,1,0.21,1,0.21,0,0.0,0,0.0,02014
2,15,333,3,0.9,0,0.0,0,0.0,0,0.0,0,0.0,02015
2,16,974,223,22.9,2,0.21,6,0.62,0,0.0,4,0.41,02016
2,17,460,8,1.74,0,0.0,0,0.0,0,0.0,1,0.22,02017
2,18,487,124,25.46,1,0.21,2,0.41,0,0.0,1,0.21,02018
2,19,766,186,24.28,5,0.65,2,0.26,0,0.0,4,0.52,02019
2,20,522,26,4.98,1,0.19,1,0.19,0,0.0,2,0.38,02020
2,21,464,31,6.68,1,0.22,0,0.0,0,0.0,0,0.0,02021
2,22,665,140,21.05,1,0.15,0,0.0,0,0.0,3,0.45,02022
2,23,362,29,8.01,1,0.28,0,0.0,0,0.0,0,0.0,02023
2,24,704,77,10.94,3,0.43,1,0.14,0,0.0,10,1.42,02024
2,25,752,70,9.31,1,0.13,1,0.13,0,0.0,4,0.53,02025
2,26,518,71,13.71,0,0.0,0,0.0,0,0.0,3,0.58,02026
2,27,414,6,1.45,0,0.0,0,0.0,0,0.0,1,0.24,02027
2,28,455,89,19.56,1,0.22,4,0.88,0,0.0,0,0.0,02028
2,29,309,38,12.3,0,0.0,0,0.0,0,0.0,0,0.0,02029
2,30,725,166,22.9,3,0.41,4,0.55,1,0.14,2,0.28,02030
2,31,437,7,1.6,0,0.0,0,0.0,0,0.0,0,0.0,02031
2,32,381,19,4.99,0,0.0,1,0.26,2,0.52,1,0.26,02032
2,33,337,5,1.48,3,0.89,1,0.3,1,0.3,0,0.0,02033
2,34,371,10,2.7,1,0.27,0,0.0,1,0.27,1,0.27,02034
2,35,231,25,10.82,2,0.87,1,0.43,0,0.0,3,1.3,02035
2,36,801,127,15.86,1,0.12,0,0.0,0,0.0,7,0.87,02036
2,37,455,96,21.1,0,0.0,0,0.0,0,0.0,2,0.44,02037
2,38,804,219,27.24,0,0.0,4,0.5,0,0.0,1,0.12,02038
2,39,599,41,6.84,1,0.17,2,0.33,0,0.0,3,0.5,02039
2,40,1160,176,15.17,1,0.09,7,0.6,1,0.09,5,0.43,02040
2,41,322,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02041
2,42,230,3,1.3,0,0.0,0,0.0,1,0.43,0,0.0,02042
2,43,542,81,14.94,1,0.18,4,0.74,0,0.0,1,0.18,02043
2,44,319,9,2.82,0,0.0,2,0.63,0,0.0,1,0.31,02044
2,45,543,22,4.05,0,0.0,0,0.0,0,0.0,0,0.0,02045
2,46,523,9,1.72,1,0.19,0,0.0,0,0.0,0,0.0,02046
2,47,341,6,1.76,2,0.59,0,0.0,0,0.0,1,0.29,02047
2,48,319,1,0.31,0,0.0,0,0.0,0,0.0,0,0.0,02048
2,49,428,56,13.08,4,0.93,2,0.47,2,0.47,2,0.47,02049
2,50,383,48,12.53,2,0.52,2,0.52,0,0.0,1,0.26,02050
2,51,414,6,1.45,0,0.0,0,0.0,0,0.0,0,0.0,02051
2,52,644,13,2.02,2,0.31,0,0.0,1,0.16,1,0.16,02052
2,53,684,90,13.16,3,0.44,5,0.73,0,0.0,2,0.29,02053
2,54,695,68,9.78,2,0.29,8,1.15,1,0.14,2,0.29,02054
2,55,301,48,15.95,1,0.33,3,1.0,0,0.0,1,0.33,02055
2,56,392,10,2.55,0,0.0,0,0.0,0,0.0,1,0.26,02056
3,1,427,1,0.23,0,0.0,0,0.0,0,0.0,0,0.0,03001
3,2,502,5,1.0,1,0.2,0,0.0,0,0.0,0,0.0,03002
3,3,580,56,9.66,1,0.17,1,0.17,2,0.34,1,0.17,03003
3,4,330,3,0.91,0,0.0,0,0.0,0,0.0,0,0.0,03004
3,5,354,12,3.39,0,0.0,1,0.28,0,0.0,1,0.28,03005
3,6,396,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,03006
3,7,413,5,1.21,1,0.24,0,0.0,1,0.24,0,0.0,03007
3,8,543,6,1.1,2,0.37,0,0.0,1,0.18,0,0.0,03008
3,9,393,2,0.51,0,0.0,0,0.0,2,0.51,0,0.0,03009
3,10,198,1,0.51,0,0.0,0,0.0,0,0.0,0,0.0,03010
3,11,453,4,0.88,1,0.22,0,0.0,0,0.0,0,0.0,03011
3,12,420,2,0.48,0,0.0,0,0.0,0,0.0,0,0.0,03012
3,13,251,40,15.94,0,0.0,0,0.0,0,0.0,2,0.8,03013
3,14,266,1,0.38,1,0.38,0,0.0,0,0.0,0,0.0,03014
3,15,501,2,0.4,0,0.0,0,0.0,0,0.0,2,0.4,03015
3,16,326,1,0.31,1,0.31,0,0.0,0,0.0,0,0.0,03016
3,17,259,2,0.77,0,0.0,0,0.0,0,0.0,0,0.0,03017
3,18,224,1,0.45,0,0.0,0,0.0,0,0.0,0,0.0,03018
3,19,136,22,16.18,0,0.0,0,0.0,0,0.0,1,0.74,03019
3,20,345,4,1.16,0,0.0,0,0.0,0,0.0,0,0.0,03020
3,21,255,1,0.39,0,0.0,1,0.39,0,0.0,0,0.0,03021
3,22,242,1,0.41,0,0.0,0,0.0,0,0.0,0,0.0,03022
3,23,479,5,1.04,1,0.21,0,0.0,0,0.0,0,0.0,03023
3,24,536,2,0.37,0,0.0,0,0.0,1,0.19,0,0.0,03024
3,25,329,2,0.61,0,0.0,0,0.0,0,0.0,1,0.3,03025
3,26,179,1,0.56,0,0.0,0,0.0,0,0.0,0,0.0,03026
3,27,418,2,0.48,0,0.0,0,0.0,0,0.0,0,0.0,03027
3,28,975,169,17.33,2,0.21,5,0.51,1,0.1,4,0.41,03028
3,29,364,3,0.82,0,0.0,0,0.0,0,0.0,0,0.0,03029
3,30,317,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03030
3,31,565,2,0.35,0,0.0,0,0.0,0,0.0,0,0.0,03031
3,32,395,0,0.0,0,0.0,0,0.0,1,0.25,1,0.25,03032
3,33,592,4,0.68,1,0.17,0,0.0,0,0.0,0,0.0,03033
3,34,327,9,2.75,1,0.31,0,0.0,0,0.0,0,0.0,03034
3,35,441,5,1.13,0,0.0,1,0.23,0,0.0,0,0.0,03035
3,36,175,1,0.57,0,0.0,0,0.0,0,0.0,0,0.0,03036
3,37,167,2,1.2,0,0.0,0,0.0,0,0.0,0,0.0,03037
3,38,494,2,0.4,0,0.0,0,0.0,1,0.2,0,0.0,03038
3,39,415,2,0.48,0,0.0,0,0.0,1,0.24,0,0.0,03039
3,40,366,5,1.37,0,0.0,0,0.0,0,0.0,0,0.0,03040
3,41,360,25,6.94,2,0.56,1,0.28,1,0.28,2,0.56,03041
3,42,453,4,0.88,1,0.22,0,0.0,0,0.0,3,0.66,03042
3,43,148,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03043
3,44,190,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03044
3,45,568,48,8.45,1,0.18,1,0.18,1,0.18,1,0.18,03045
3,46,116,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03046
3,47,263,2,0.76,0,0.0,0,0.0,0,0.0,0,0.0,03047
3,48,314,2,0.64,1,0.32,0,0.0,0,0.0,0,0.0,03048
3,49,161,1,0.62,0,0.0,0,0.0,0,0.0,0,0.0,03049
3,50,327,0,0.0,0,0.0,2,0.61,0,0.0,0,0.0,03050
4,1,773,35,4.53,1,0.13,4,0.52,0,0.0,0,0.0,04001
4,2,658,9,1.37,2,0.3,0,0.0,0,0.0,0,0.0,04002
4,3,634,5,0.79,2,0.32,0,0.0,0,0.0,0,0.0,04003
4,4,579,3,0.52,1,0.17,0,0.0,0,0.0,1,0.17,04004
4,5,581,7,1.2,1,0.17,1,0.17,0,0.0,0,0.0,04005
4,6,154,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04006
4,7,575,5,0.87,0,0.0,0,0.0,0,0.0,1,0.17,04007
4,8,578,3,0.52,2,0.35,0,0.0,0,0.0,1,0.17,04008
4,9,701,8,1.14,2,0.29,0,0.0,0,0.0,2,0.29,04009
4,10,584,6,1.03,0,0.0,0,0.0,0,0.0,1,0.17,04010
4,11,552,5,0.91,1,0.18,0,0.0,0,0.0,0,0.0,04011
4,12,287,1,0.35,1,0.35,0,0.0,0,0.0,0,0.0,04012
4,13,359,14,3.9,2,0.56,0,0.0,0,0.0,1,0.28,04013
4,14,468,3,0.64,0,0.0,0,0.0,0,0.0,0,0.0,04014
4,15,414,18,4.35,1,0.24,1,0.24,1,0.24,0,0.0,04015
4,16,632,6,0.95,0,0.0,0,0.0,0,0.0,1,0.16,04016
4,17,522,54,10.34,1,0.19,2,0.38,0,0.0,1,0.19,04017
4,18,551,6,1.09,0,0.0,0,0.0,1,0.18,0,0.0,04018
4,19,567,2,0.35,0,0.0,1,0.18,0,0.0,0,0.0,04019
4,20,364,1,0.27,0,0.0,0,0.0,0,0.0,0,0.0,04020
4,21,566,18,3.18,2,0.35,0,0.0,0,0.0,2,0.35,04021
4,22,559,10,1.79,0,0.0,1,0.18,0,0.0,1,0.18,04022
4,23,374,26,6.95,0,0.0,0,0.0,0,0.0,0,0.0,04023
4,24,537,19,3.54,0,0.0,2,0.37,0,0.0,0,0.0,04024
4,25,410,10,2.44,0,0.0,1,0.24,0,0.0,1,0.24,04025
4,26,582,6,1.03,0,0.0,1,0.17,0,0.0,0,0.0,04026
4,27,441,2,0.45,0,0.0,0,0.0,0,0.0,0,0.0,04027
4,28,333,18,5.41,2,0.6,2,0.6,2,0.6,1,0.3,04028
4,29,407,21,5.16,0,0.0,0,0.0,0,0.0,0,0.0,04029
4,30,412,21,5.1,0,0.0,1,0.24,0,0.0,0,0.0,04030
4,31,349,21,6.02,1,0.29,1,0.29,1,0.29,2,0.57,04031
4,32,518,36,6.95,1,0.19,1,0.19,1,0.19,2,0.39,04032
4,33,423,5,1.18,1,0.24,0,0.0,0,0.0,1,0.24,04033
4,34,364,22,6.04,1,0.27,3,0.82,0,0.0,0,0.0,04034
4,35,374,4,1.07,0,0.0,1,0.27,0,0.0,0,0.0,04035
4,36,362,4,1.1,1,0.28,0,0.0,1,0.28,1,0.28,04036
4,37,100,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04037
4,38,683,18,2.64,3,0.44,0,0.0,1,0.15,1,0.15,04038
4,39,369,2,0.54,1,0.27,0,0.0,0,0.0,0,0.0,04039
4,40,550,10,1.82,1,0.18,0,0.0,1,0.18,0,0.0,04040
4,41,280,15,5.36,2,0.71,2,0.71,0,0.0,1,0.36,04041
4,42,535,17,3.18,0,0.0,0,0.0,0,0.0,0,0.0,04042
4,43,331,13,3.93,3,0.91,2,0.6,0,0.0,1,0.3,04043
4,44,333,7,2.1,3,0.9,1,0.3,0,0.0,3,0.9,04044
4,45,628,19,3.03,2,0.32,0,0.0,0,0.0,1,0.16,04045
4,46,382,8,2.09,3,0.79,0,0.0,0,0.0,1,0.26,04046
4,47,717,15,2.09,1,0.14,4,0.56,1,0.14,3,0.42,04047
4,48,514,31,6.03,1,0.19,1,0.19,0,0.0,0,0.0,04048
4,49,355,2,0.56,0,0.0,1,0.28,0,0.0,1,0.28,04049
4,50,456,3,0.66,0,0.0,0,0.0,0,0.0,1,0.22,04050
4,51,465,6,1.29,0,0.0,0,0.0,0,0.0,1,0.22,04051
4,52,570,2,0.35,0,0.0,0,0.0,0,0.0,0,0.0,04052
5,1,569,2,0.35,1,0.18,0,0.0,0,0.0,0,0.0,05001
5,2,453,3,0.66,1,0.22,0,0.0,0,0.0,0,0.0,05002
5,3,259,6,2.32,3,1.16,1,0.39,0,0.0,1,0.39,05003
5,4,313,3,0.96,0,0.0,0,0.0,0,0.0,0,0.0,05004
5,5,496,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0,05005
5,6,557,3,0.54,0,0.0,2,0.36,0,0.0,0,0.0,05006
5,7,495,4,0.81,0,0.0,0,0.0,1,0.2,1,0.2,05007
5,8,547,34,6.22,2,0.37,1,0.18,0,0.0,2,0.37,05008
5,9,461,2,0.43,1,0.22,0,0.0,0,0.0,0,0.0,05009
5,10,452,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05010
5,11,406,25,6.16,1,0.25,1,0.25,0,0.0,1,0.25,05011
5,12,335,3,0.9,0,0.0,0,0.0,0,0.0,0,0.0,05012
5,13,451,6,1.33,2,0.44,0,0.0,0,0.0,0,0.0,05013
5,14,565,13,2.3,4,0.71,1,0.18,0,0.0,2,0.35,05014
5,15,381,15,3.94,4,1.05,2,0.52,0,0.0,2,0.52,05015
5,16,405,3,0.74,0,0.0,0,0.0,0,0.0,0,0.0,05016
5,17,523,1,0.19,1,0.19,0,0.0,0,0.0,0,0.0,05017
5,18,489,6,1.23,0,0.0,0,0.0,0,0.0,1,0.2,05018
5,19,288,2,0.69,0,0.0,0,0.0,1,0.35,0,0.0,05019
5,20,310,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05020
5,21,503,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,05021
5,22,442,0,0.0,1,0.23,0,0.0,0,0.0,1,0.23,05022
5,23,337,3,0.89,1,0.3,0,0.0,0,0.0,0,0.0,05023
5,24,311,11,3.54,1,0.32,0,0.0,0,0.0,2,0.64,05024
5,25,563,1,0.18,1,0.18,0,0.0,1,0.18,1,0.18,05025
5,26,558,6,1.08,1,0.18,0,0.0,0,0.0,1,0.18,05026
5,27,679,62,9.13,8,1.18,1,0.15,0,0.0,4,0.59,05027
5,28,476,4,0.84,0,0.0,0,0.0,0,0.0,0,0.0,05028
5,29,463,5,1.08,2,0.43,0,0.0,0,0.0,0,0.0,05029
5,30,409,38,9.29,1,0.24,5,1.22,0,0.0,4,0.98,05030
5,31,507,5,0.99,1,0.2,0,0.0,1,0.2,2,0.39,05031
5,32,623,10,1.61,3,0.48,2,0.32,0,0.0,1,0.16,05032
5,33,264,1,0.38,0,0.0,0,0.0,0,0.0,0,0.0,05033
5,34,530,2,0.38,0,0.0,0,0.0,0,0.0,1,0.19,05034
5,35,391,33,8.44,0,0.0,0,0.0,0,0.0,2,0.51,05035
5,36,343,3,0.87,0,0.0,0,0.0,0,0.0,1,0.29,05036
5,37,371,13,3.5,1,0.27,1,0.27,0,0.0,2,0.54,05037
5,38,414,27,6.52,1,0.24,2,0.48,0,0.0,1,0.24,05038
5,39,525,35,6.67,2,0.38,2,0.38,0,0.0,1,0.19,05039
5,40,594,0,0.0,1,0.17,0,0.0,1,0.17,0,0.0,05040
5,41,415,31,7.47,3,0.72,0,0.0,0,0.0,2,0.48,05041
5,42,543,8,1.47,0,0.0,0,0.0,0,0.0,0,0.0,05042
5,43,452,3,0.66,1,0.22,0,0.0,0,0.0,0,0.0,05043
5,44,563,6,1.07,0,0.0,0,0.0,1,0.18,2,0.36,05044
5,45,274,2,0.73,0,0.0,0,0.0,0,0.0,0,0.0,05045
5,46,533,36,6.75,1,0.19,3,0.56,0,0.0,1,0.19,05046
5,47,465,2,0.43,1,0.22,0,0.0,1,0.22,0,0.0,05047
5,48,311,14,4.5,1,0.32,0,0.0,1,0.32,3,0.96,05048
5,49,107,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05049
5,50,405,1,0.25,0,0.0,0,0.0,0,0.0,1,0.25,05050
5,51,379,3,0.79,1,0.26,1,0.26,0,0.0,0,0.0,05051
5,52,117,7,5.98,1,0.85,1,0.85,0,0.0,1,0.85,05052
5,53,466,28,6.01,3,0.64,2,0.43,0,0.0,6,1.29,05053
5,54,596,6,1.01,1,0.17,0,0.0,1,0.17,0,0.0,05054
5,55,412,2,0.49,0,0.0,0,0.0,0,0.0,0,0.0,05055
6,1,481,2,0.42,0,0.0,0,0.0,0,0.0,0,0.0,06001
6,2,483,2,0.41,1,0.21,0,0.0,0,0.0,1,0.21,06002
6,3,501,3,0.6,0,0.0,0,0.0,0,0.0,1,0.2,06003
6,4,474,4,0.84,1,0.21,0,0.0,0,0.0,0,0.0,06004
6,5,326,3,0.92,0,0.0,0,0.0,1,0.31,0,0.0,06005
6,6,369,1,0.27,1,0.27,0,0.0,0,0.0,1,0.27,06006
6,7,537,4,0.74,0,0.0,1,0.19,0,0.0,0,0.0,06007
6,8,541,2,0.37,0,0.0,0,0.0,0,0.0,0,0.0,06008
6,9,412,2,0.49,0,0.0,0,0.0,0,0.0,0,0.0,06009
6,10,531,2,0.38,0,0.0,0,0.0,0,0.0,0,0.0,06010
6,11,445,3,0.67,1,0.22,0,0.0,0,0.0,0,0.0,06011
6,12,504,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06012
6,13,423,4,0.95,0,0.0,1,0.24,0,0.0,1,0.24,06013
6,14,545,1,0.18,0,0.0,0,0.0,1,0.18,0,0.0,06014
6,15,460,2,0.43,1,0.22,0,0.0,0,0.0,0,0.0,06015
6,16,485,2,0.41,0,0.0,0,0.0,0,0.0,0,0.0,06016
6,17,487,2,0.41,0,0.0,0,0.0,0,0.0,0,0.0,06017
6,18,356,1,0.28,0,0.0,0,0.0,0,0.0,0,0.0,06018
6,19,542,3,0.55,0,0.0,0,0.0,0,0.0,1,0.18,06019
6,20,478,2,0.42,0,0.0,0,0.0,0,0.0,1,0.21,06020
6,21,433,2,0.46,0,0.0,0,0.0,0,0.0,1,0.23,06021
6,22,454,4,0.88,0,0.0,0,0.0,0,0.0,1,0.22,06022
6,23,396,4,1.01,0,0.0,0,0.0,0,0.0,0,0.0,06023
6,24,475,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06024
6,25,364,1,0.27,0,0.0,0,0.0,0,0.0,0,0.0,06025
6,26,522,5,0.96,0,0.0,0,0.0,0,0.0,0,0.0,06026
6,27,558,2,0.36,1,0.18,0,0.0,0,0.0,1,0.18,06027
6,28,691,8,1.16,0,0.0,0,0.0,0,0.0,0,0.0,06028
6,29,495,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,06029
6,30,467,5,1.07,0,0.0,0,0.0,0,0.0,0,0.0,06030
6,31,496,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0,06031
6,32,560,2,0.36,1,0.18,0,0.0,0,0.0,0,0.0,06032
6,33,578,6,1.04,0,0.0,0,0.0,0,0.0,1,0.17,06033
6,34,437,5,1.14,0,0.0,0,0.0,0,0.0,0,0.0,06034
6,35,396,6,1.52,1,0.25,1,0.25,0,0.0,0,0.0,06035
6,36,326,1,0.31,0,0.0,0,0.0,0,0.0,0,0.0,06036
6,37,464,2,0.43,0,0.0,0,0.0,0,0.0,1,0.22,06037
6,38,531,3,0.56,0,0.0,0,0.0,0,0.0,2,0.38,06038
6,39,489,3,0.61,0,0.0,1,0.2,0,0.0,1,0.2,06039
6,40,320,1,0.31,0,0.0,0,0.0,0,0.0,0,0.0,06040
6,41,442,6,1.36,0,0.0,1,0.23,1,0.23,0,0.0,06041
6,42,364,1,0.27,0,0.0,0,0.0,0,0.0,0,0.0,06042
6,43,506,3,0.59,0,0.0,0,0.0,0,0.0,0,0.0,06043
6,44,465,3,0.65,0,0.0,0,0.0,0,0.0,0,0.0,06044
6,45,387,2,0.52,0,0.0,0,0.0,0,0.0,0,0.0,06045
6,46,431,3,0.7,1,0.23,0,0.0,0,0.0,0,0.0,06046
6,47,473,7,1.48,1,0.21,0,0.0,0,0.0,0,0.0,06047
6,48,445,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06048
6,49,541,3,0.55,0,0.0,0,0.0,0,0.0,0,0.0,06049
6,50,439,0,0.0,1,0.23,0,0.0,0,0.0,0,0.0,06050
6,51,340,2,0.59,0,0.0,0,0.0,0,0.0,0,0.0,06051
6,52,368,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06052
6,53,443,3,0.68,1,0.23,0,0.0,0,0.0,0,0.0,06053
6,54,487,2,0.41,0,0.0,0,0.0,0,0.0,0,0.0,06054
6,55,470,6,1.28,0,0.0,0,0.0,0,0.0,0,0.0,06055
6,56,337,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,06056
6,57,299,1,0.33,0,0.0,0,0.0,0,0.0,0,0.0,06057
6,58,451,2,0.44,0,0.0,0,0.0,1,0.22,1,0.22,06058
6,59,413,4,0.97,2,0.48,0,0.0,0,0.0,1,0.24,06059
6,60,298,0,0.0,0,0.0,0,0.0,0,0.0,1,0.34,06060
6,61,305,1,0.33,1,0.33,0,0.0,0,0.0,0,0.0,06061
6,62,472,1,0.21,0,0.0,0,0.0,0,0.0,1,0.21,06062
6,63,437,4,0.92,0,0.0,0,0.0,0,0.0,0,0.0,06063
6,64,464,6,1.29,0,0.0,0,0.0,1,0.22,1,0.22,06064
7,1,612,4,0.65,2,0.33,0,0.0,2,0.33,0,0.0,07001
7,2,518,10,1.93,0,0.0,0,0.0,0,0.0,0,0.0,07002
7,3,385,2,0.52,0,0.0,0,0.0,0,0.0,2,0.52,07003
7,4,415,10,2.41,0,0.0,0,0.0,0,0.0,0,0.0,07004
7,5,399,14,3.51,0,0.0,0,0.0,0,0.0,0,0.0,07005
7,6,418,0,0.0,0,0.0,0,0.0,0,0.0,1,0.24,07006
7,7,385,1,0.26,1,0.26,0,0.0,0,0.0,0,0.0,07007
7,8,193,6,3.11,0,0.0,0,0.0,0,0.0,3,1.55,07008
7,9,401,2,0.5,1,0.25,0,0.0,0,0.0,0,0.0,07009
7,10,362,8,2.21,0,0.0,0,0.0,0,0.0,0,0.0,07010
7,11,440,5,1.14,1,0.23,0,0.0,0,0.0,0,0.0,07011
7,12,327,10,3.06,0,0.0,0,0.0,0,0.0,1,0.31,07012
7,13,312,4,1.28,0,0.0,0,0.0,1,0.32,0,0.0,07013
7,14,543,6,1.1,0,0.0,0,0.0,0,0.0,1,0.18,07014
7,15,269,3,1.12,0,0.0,0,0.0,0,0.0,0,0.0,07015
7,16,359,1,0.28,0,0.0,0,0.0,0,0.0,0,0.0,07016
7,17,322,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07017
7,18,383,13,3.39,0,0.0,1,0.26,0,0.0,0,0.0,07018
7,19,625,5,0.8,0,0.0,0,0.0,0,0.0,0,0.0,07019
7,20,300,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,07020
7,21,435,6,1.38,2,0.46,0,0.0,0,0.0,0,0.0,07021
