ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Daniel Cunningham,Daniel Cunningham Percent,Omar N. LÃ³pez,Omar N. LÃ³pez Percent,precinct_id
12,6,155,137,88.39,4,2.58,14,9.03,12006
12,7,347,299,86.17,16,4.61,32,9.22,12007
12,8,424,346,81.6,54,12.74,24,5.66,12008
12,9,239,212,88.7,15,6.28,12,5.02,12009
12,10,280,232,82.86,35,12.5,13,4.64,12010
12,11,391,353,90.28,22,5.63,16,4.09,12011
12,12,265,214,80.75,34,12.83,17,6.42,12012
12,13,407,337,82.8,49,12.04,21,5.16,12013
12,14,294,241,81.97,37,12.59,16,5.44,12014
12,15,227,203,89.43,6,2.64,18,7.93,12015
12,16,263,233,88.59,18,6.84,12,4.56,12016
12,17,265,231,87.17,21,7.92,13,4.91,12017
12,18,264,221,83.71,10,3.79,33,12.5,12018
12,19,387,321,82.95,41,10.59,25,6.46,12019
12,20,253,221,87.35,20,7.91,12,4.74,12020
12,21,329,273,82.98,39,11.85,17,5.17,12021
12,22,220,178,80.91,16,7.27,26,11.82,12022
12,23,289,259,89.62,21,7.27,9,3.11,12023
12,24,305,250,81.97,37,12.13,18,5.9,12024
13,3,459,363,79.08,81,17.65,15,3.27,13003
14,1,207,180,86.96,19,9.18,8,3.86,14001
14,3,362,330,91.16,22,6.08,10,2.76,14003
14,4,253,206,81.42,28,11.07,19,7.51,14004
14,5,412,387,93.93,12,2.91,13,3.16,14005
14,6,269,232,86.25,27,10.04,10,3.72,14006
14,7,257,207,80.54,41,15.95,9,3.5,14007
14,8,198,176,88.89,15,7.58,7,3.54,14008
14,9,285,259,90.88,21,7.37,5,1.75,14009
14,10,312,248,79.49,46,14.74,18,5.77,14010
14,11,250,226,90.4,16,6.4,8,3.2,14011
14,12,243,219,90.12,18,7.41,6,2.47,14012
14,13,288,237,82.29,40,13.89,11,3.82,14013
14,14,243,213,87.65,19,7.82,11,4.53,14014
14,15,317,282,88.96,28,8.83,7,2.21,14015
14,16,323,271,83.9,43,13.31,9,2.79,14016
14,17,311,282,90.68,19,6.11,10,3.22,14017
14,18,295,244,82.71,38,12.88,13,4.41,14018
14,19,378,323,85.45,34,8.99,21,5.56,14019
14,20,265,228,86.04,24,9.06,13,4.91,14020
14,21,289,255,88.24,23,7.96,11,3.81,14021
14,22,375,313,83.47,47,12.53,15,4.0,14022
14,23,366,307,83.88,41,11.2,18,4.92,14023
14,24,187,165,88.24,15,8.02,7,3.74,14024
14,26,330,291,88.18,24,7.27,15,4.55,14026
14,27,366,291,79.51,61,16.67,14,3.83,14027
14,29,340,300,88.24,32,9.41,8,2.35,14029
14,30,249,206,82.73,28,11.24,15,6.02,14030
14,31,265,236,89.06,21,7.92,8,3.02,14031
14,32,215,196,91.16,11,5.12,8,3.72,14032
14,33,228,198,86.84,20,8.77,10,4.39,14033
14,34,249,230,92.37,13,5.22,6,2.41,14034
14,35,320,291,90.94,14,4.38,15,4.69,14035
16,21,310,265,85.48,29,9.35,16,5.16,16021
16,32,155,133,85.81,15,9.68,7,4.52,16032
20,4,316,292,92.41,14,4.43,10,3.16,20004
20,8,106,85,80.19,15,14.15,6,5.66,20008
20,15,324,289,89.2,25,7.72,10,3.09,20015
20,21,196,172,87.76,16,8.16,8,4.08,20021
22,1,245,203,82.86,12,4.9,30,12.24,22001
22,2,208,187,89.9,9,4.33,12,5.77,22002
22,3,327,274,83.79,11,3.36,42,12.84,22003
22,4,291,257,88.32,5,1.72,29,9.97,22004
22,5,344,308,89.53,9,2.62,27,7.85,22005
22,6,253,232,91.7,6,2.37,15,5.93,22006
22,8,262,233,88.93,7,2.67,22,8.4,22008
22,9,327,293,89.6,12,3.67,22,6.73,22009
22,10,297,272,91.58,9,3.03,16,5.39,22010
22,11,285,251,88.07,14,4.91,20,7.02,22011
22,12,236,206,87.29,18,7.63,12,5.08,22012
22,13,350,305,87.14,15,4.29,30,8.57,22013
22,14,240,205,85.42,20,8.33,15,6.25,22014
22,15,268,232,86.57,14,5.22,22,8.21,22015
22,16,332,294,88.55,19,5.72,19,5.72,22016
22,17,291,253,86.94,15,5.15,23,7.9,22017
22,18,322,281,87.27,12,3.73,29,9.01,22018
22,20,331,282,85.2,22,6.65,27,8.16,22020
22,22,281,234,83.27,6,2.14,41,14.59,22022
22,23,322,281,87.27,9,2.8,32,9.94,22023
22,24,231,208,90.04,2,0.87,21,9.09,22024
22,25,225,204,90.67,9,4.0,12,5.33,22025
22,26,227,182,80.18,13,5.73,32,14.1,22026
22,27,381,335,87.93,14,3.67,32,8.4,22027
22,28,209,189,90.43,6,2.87,14,6.7,22028
22,29,213,179,84.04,8,3.76,26,12.21,22029
23,9,417,348,83.45,56,13.43,13,3.12,23009
23,24,304,244,80.26,44,14.47,16,5.26,23024
23,29,347,290,83.57,43,12.39,14,4.03,23029
24,44,108,97,89.81,9,8.33,2,1.85,24044
24,53,365,334,91.51,10,2.74,21,5.75,24053
25,1,374,310,82.89,30,8.02,34,9.09,25001
25,2,560,452,80.71,25,4.46,83,14.82,25002
25,5,386,291,75.39,52,13.47,43,11.14,25005
25,6,265,207,78.11,12,4.53,46,17.36,25006
25,7,396,317,80.05,25,6.31,54,13.64,25007
25,8,414,358,86.47,18,4.35,38,9.18,25008
25,9,577,498,86.31,32,5.55,47,8.15,25009
25,11,506,416,82.21,28,5.53,62,12.25,25011
25,12,465,351,75.48,36,7.74,78,16.77,25012
25,13,467,400,85.65,15,3.21,52,11.13,25013
25,15,383,318,83.03,25,6.53,40,10.44,25015
25,17,635,537,84.57,32,5.04,66,10.39,25017
25,19,494,403,81.58,19,3.85,72,14.57,25019
25,20,459,394,85.84,26,5.66,39,8.5,25020
25,22,254,202,79.53,21,8.27,31,12.2,25022
25,23,503,412,81.91,14,2.78,77,15.31,25023
25,24,581,457,78.66,20,3.44,104,17.9,25024
25,30,437,366,83.75,16,3.66,55,12.59,25030
25,31,308,238,77.27,28,9.09,42,13.64,25031
26,1,259,204,78.76,23,8.88,32,12.36,26001
26,2,307,273,88.93,12,3.91,22,7.17,26002
26,3,278,237,85.25,19,6.83,22,7.91,26003
26,4,215,184,85.58,9,4.19,22,10.23,26004
26,5,338,283,83.73,18,5.33,37,10.95,26005
26,6,179,158,88.27,10,5.59,11,6.15,26006
26,7,236,179,75.85,39,16.53,18,7.63,26007
26,8,229,182,79.48,16,6.99,31,13.54,26008
26,9,221,194,87.78,15,6.79,12,5.43,26009
26,10,197,171,86.8,15,7.61,11,5.58,26010
26,11,236,190,80.51,21,8.9,25,10.59,26011
26,12,213,185,86.85,10,4.69,18,8.45,26012
26,13,240,173,72.08,31,12.92,36,15.0,26013
26,14,232,209,90.09,9,3.88,14,6.03,26014
26,15,271,227,83.76,22,8.12,22,8.12,26015
26,16,193,167,86.53,8,4.15,18,9.33,26016
26,18,197,164,83.25,15,7.61,18,9.14,26018
26,19,461,346,75.05,41,8.89,74,16.05,26019
26,20,402,327,81.34,31,7.71,44,10.95,26020
26,21,354,304,85.88,19,5.37,31,8.76,26021
26,22,230,191,83.04,18,7.83,21,9.13,26022
26,23,215,193,89.77,10,4.65,12,5.58,26023
26,24,260,204,78.46,28,10.77,28,10.77,26024
26,25,109,96,88.07,3,2.75,10,9.17,26025
26,26,215,186,86.51,12,5.58,17,7.91,26026
26,27,253,213,84.19,13,5.14,27,10.67,26027
26,28,247,209,84.62,16,6.48,22,8.91,26028
26,29,291,259,89.0,12,4.12,20,6.87,26029
26,30,287,239,83.28,24,8.36,24,8.36,26030
26,31,224,178,79.46,18,8.04,28,12.5,26031
26,32,360,283,78.61,52,14.44,25,6.94,26032
26,34,297,233,78.45,19,6.4,45,15.15,26034
26,35,330,246,74.55,51,15.45,33,10.0,26035
26,36,251,222,88.45,15,5.98,14,5.58,26036
26,37,172,148,86.05,15,8.72,9,5.23,26037
26,38,267,211,79.03,21,7.87,35,13.11,26038
26,39,265,219,82.64,13,4.91,33,12.45,26039
26,40,169,141,83.43,11,6.51,17,10.06,26040
26,41,227,174,76.65,21,9.25,32,14.1,26041
26,42,277,238,85.92,17,6.14,22,7.94,26042
26,43,211,189,89.57,10,4.74,12,5.69,26043
26,44,159,138,86.79,10,6.29,11,6.92,26044
26,45,340,286,84.12,24,7.06,30,8.82,26045
26,46,93,71,76.34,16,17.2,6,6.45,26046
26,47,175,152,86.86,10,5.71,13,7.43,26047
26,48,324,271,83.64,17,5.25,36,11.11,26048
26,49,209,189,90.43,9,4.31,11,5.26,26049
26,50,205,162,79.02,25,12.2,18,8.78,26050
26,51,282,225,79.79,30,10.64,27,9.57,26051
26,52,135,119,88.15,4,2.96,12,8.89,26052
26,53,250,191,76.4,36,14.4,23,9.2,26053
26,54,227,197,86.78,17,7.49,13,5.73,26054
26,55,166,130,78.31,17,10.24,19,11.45,26055
26,56,276,225,81.52,15,5.43,36,13.04,26056
26,57,221,195,88.24,13,5.88,13,5.88,26057
26,58,217,174,80.18,14,6.45,29,13.36,26058
26,59,267,210,78.65,20,7.49,37,13.86,26059
26,60,274,224,81.75,19,6.93,31,11.31,26060
26,61,172,140,81.4,8,4.65,24,13.95,26061
26,62,282,220,78.01,33,11.7,29,10.28,26062
26,63,112,99,88.39,6,5.36,7,6.25,26063
27,13,376,280,74.47,61,16.22,35,9.31,27013
27,18,19,19,100.0,0,0.0,0,0.0,27018
27,32,290,218,75.17,33,11.38,39,13.45,27032
27,35,414,310,74.88,56,13.53,48,11.59,27035
27,38,343,271,79.01,53,15.45,19,5.54,27038
27,41,506,356,70.36,100,19.76,50,9.88,27041
27,56,339,252,74.34,49,14.45,38,11.21,27056
27,59,430,360,83.72,46,10.7,24,5.58,27059
28,29,337,298,88.43,17,5.04,22,6.53,28029
28,34,77,65,84.42,5,6.49,7,9.09,28034
28,38,167,143,85.63,12,7.19,12,7.19,28038
29,6,229,194,84.72,21,9.17,14,6.11,29006
29,7,299,269,89.97,26,8.7,4,1.34,29007
29,10,240,209,87.08,24,10.0,7,2.92,29010
29,24,63,57,90.48,4,6.35,2,3.17,29024
29,39,338,296,87.57,32,9.47,10,2.96,29039
30,4,319,261,81.82,34,10.66,24,7.52,30004
30,5,229,206,89.96,14,6.11,9,3.93,30005
30,17,29,22,75.86,5,17.24,2,6.9,30017
30,18,261,210,80.46,40,15.33,11,4.21,30018
30,19,234,192,82.05,20,8.55,22,9.4,30019
30,20,274,247,90.15,12,4.38,15,5.47,30020
30,21,352,299,84.94,30,8.52,23,6.53,30021
30,22,358,308,86.03,24,6.7,26,7.26,30022
30,23,335,300,89.55,28,8.36,7,2.09,30023
30,24,304,268,88.16,19,6.25,17,5.59,30024
30,25,69,57,82.61,11,15.94,1,1.45,30025
30,26,208,189,90.87,10,4.81,9,4.33,30026
30,27,425,375,88.24,29,6.82,21,4.94,30027
30,29,209,183,87.56,11,5.26,15,7.18,30029
30,31,236,203,86.02,12,5.08,21,8.9,30031
30,32,130,103,79.23,17,13.08,10,7.69,30032
30,33,268,247,92.16,17,6.34,4,1.49,30033
30,35,299,256,85.62,24,8.03,19,6.35,30035
30,36,300,236,78.67,48,16.0,16,5.33,30036
30,41,318,299,94.03,8,2.52,11,3.46,30041
31,1,145,131,90.34,11,7.59,3,2.07,31001
31,2,208,175,84.13,21,10.1,12,5.77,31002
31,4,236,200,84.75,25,10.59,11,4.66,31004
31,5,309,253,81.88,46,14.89,10,3.24,31005
31,6,270,221,81.85,37,13.7,12,4.44,31006
31,7,276,254,92.03,12,4.35,10,3.62,31007
31,10,144,127,88.19,11,7.64,6,4.17,31010
31,11,201,156,77.61,34,16.92,11,5.47,31011
31,12,268,232,86.57,24,8.96,12,4.48,31012
31,13,313,267,85.3,30,9.58,16,5.11,31013
31,14,250,222,88.8,18,7.2,10,4.0,31014
31,16,133,101,75.94,23,17.29,9,6.77,31016
31,17,269,232,86.25,19,7.06,18,6.69,31017
31,18,233,196,84.12,28,12.02,9,3.86,31018
31,20,220,188,85.45,23,10.45,9,4.09,31020
31,21,289,265,91.7,14,4.84,10,3.46,31021
31,22,197,163,82.74,26,13.2,8,4.06,31022
31,23,172,147,85.47,22,12.79,3,1.74,31023
31,24,222,192,86.49,16,7.21,14,6.31,31024
31,25,265,238,89.81,18,6.79,9,3.4,31025
31,27,235,216,91.91,8,3.4,11,4.68,31027
31,30,292,248,84.93,32,10.96,12,4.11,31030
31,31,345,267,77.39,56,16.23,22,6.38,31031
31,34,219,200,91.32,11,5.02,8,3.65,31034
31,35,155,140,90.32,9,5.81,6,3.87,31035
31,36,300,260,86.67,18,6.0,22,7.33,31036
31,37,284,248,87.32,28,9.86,8,2.82,31037
31,39,182,163,89.56,10,5.49,9,4.95,31039
31,40,183,159,86.89,15,8.2,9,4.92,31040
31,42,314,267,85.03,28,8.92,19,6.05,31042
31,44,269,244,90.71,14,5.2,11,4.09,31044
31,49,135,116,85.93,12,8.89,7,5.19,31049
31,51,177,156,88.14,10,5.65,11,6.21,31051
32,1,110,84,76.36,10,9.09,16,14.55,32001
32,2,606,455,75.08,100,16.5,51,8.42,32002
32,3,487,363,74.54,86,17.66,38,7.8,32003
32,4,595,412,69.24,133,22.35,50,8.4,32004
32,5,424,316,74.53,79,18.63,29,6.84,32005
32,11,463,322,69.55,79,17.06,62,13.39,32011
32,12,271,214,78.97,28,10.33,29,10.7,32012
32,14,455,334,73.41,71,15.6,50,10.99,32014
32,16,500,359,71.8,96,19.2,45,9.0,32016
32,17,403,305,75.68,52,12.9,46,11.41,32017
32,28,463,312,67.39,101,21.81,50,10.8,32028
32,29,438,313,71.46,76,17.35,49,11.19,32029
32,31,641,451,70.36,146,22.78,44,6.86,32031
32,33,331,223,67.37,85,25.68,23,6.95,32033
32,34,659,449,68.13,163,24.73,47,7.13,32034
32,35,585,428,73.16,115,19.66,42,7.18,32035
32,36,661,457,69.14,155,23.45,49,7.41,32036
32,46,87,65,74.71,17,19.54,5,5.75,32046
32,52,341,245,71.85,70,20.53,26,7.62,32052
33,1,545,460,84.4,50,9.17,35,6.42,33001
33,2,582,440,75.6,116,19.93,26,4.47,33002
33,3,537,431,80.26,50,9.31,56,10.43,33003
33,4,614,481,78.34,91,14.82,42,6.84,33004
33,6,519,452,87.09,49,9.44,18,3.47,33006
33,8,489,350,71.57,84,17.18,55,11.25,33008
33,11,547,432,78.98,74,13.53,41,7.5,33011
33,12,551,430,78.04,94,17.06,27,4.9,33012
33,13,531,435,81.92,63,11.86,33,6.21,33013
33,15,566,426,75.27,98,17.31,42,7.42,33015
33,16,468,373,79.7,69,14.74,26,5.56,33016
33,17,538,410,76.21,78,14.5,50,9.29,33017
33,19,587,467,79.56,83,14.14,37,6.3,33019
33,20,562,445,79.18,71,12.63,46,8.19,33020
33,21,582,474,81.44,76,13.06,32,5.5,33021
33,22,274,215,78.47,46,16.79,13,4.74,33022
33,26,589,473,80.31,72,12.22,44,7.47,33026
33,27,530,420,79.25,63,11.89,47,8.87,33027
35,1,519,391,75.34,75,14.45,53,10.21,35001
35,2,373,304,81.5,22,5.9,47,12.6,35002
35,3,469,359,76.55,54,11.51,56,11.94,35003
35,4,486,353,72.63,90,18.52,43,8.85,35004
35,5,421,331,78.62,38,9.03,52,12.35,35005
35,6,455,364,80.0,56,12.31,35,7.69,35006
35,7,556,419,75.36,71,12.77,66,11.87,35007
35,8,417,290,69.54,42,10.07,85,20.38,35008
35,9,497,378,76.06,60,12.07,59,11.87,35009
35,10,483,354,73.29,48,9.94,81,16.77,35010
35,11,484,382,78.93,57,11.78,45,9.3,35011
35,12,535,397,74.21,66,12.34,72,13.46,35012
35,13,166,146,87.95,15,9.04,5,3.01,35013
35,14,540,448,82.96,37,6.85,55,10.19,35014
35,15,427,329,77.05,45,10.54,53,12.41,35015
35,16,507,382,75.35,59,11.64,66,13.02,35016
35,17,512,385,75.2,52,10.16,75,14.65,35017
35,18,571,450,78.81,60,10.51,61,10.68,35018
35,19,484,380,78.51,33,6.82,71,14.67,35019
35,20,480,385,80.21,51,10.63,44,9.17,35020
35,21,450,341,75.78,55,12.22,54,12.0,35021
35,23,290,234,80.69,27,9.31,29,10.0,35023
35,24,291,236,81.1,39,13.4,16,5.5,35024
35,25,532,401,75.38,49,9.21,82,15.41,35025
35,26,560,436,77.86,88,15.71,36,6.43,35026
35,27,519,363,69.94,76,14.64,80,15.41,35027
35,28,598,427,71.4,43,7.19,128,21.4,35028
35,29,532,388,72.93,76,14.29,68,12.78,35029
35,30,609,434,71.26,59,9.69,116,19.05,35030
35,31,305,214,70.16,25,8.2,66,21.64,35031
35,32,259,216,83.4,15,5.79,28,10.81,35032
35,34,475,333,70.11,59,12.42,83,17.47,35034
35,35,419,339,80.91,33,7.88,47,11.22,35035
35,36,399,285,71.43,56,14.04,58,14.54,35036
36,4,288,247,85.76,34,11.81,7,2.43,36004
36,33,175,137,78.29,29,16.57,9,5.14,36033
36,44,94,69,73.4,21,22.34,4,4.26,36044
36,54,100,87,87.0,10,10.0,3,3.0,36054
36,55,45,35,77.78,8,17.78,2,4.44,36055
37,1,306,275,89.87,21,6.86,10,3.27,37001
37,11,211,192,91.0,12,5.69,7,3.32,37011
37,19,394,346,87.82,27,6.85,21,5.33,37019
37,39,412,350,84.95,49,11.89,13,3.16,37039
