ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Steve Miller,Steve Miller Percent,precinct_id
27,46,358,347,96.93,11,3.07,27046
27,47,295,292,98.98,3,1.02,27047
27,48,401,397,99.0,4,1.0,27048
27,49,378,372,98.41,6,1.59,27049
27,50,483,326,67.49,157,32.51,27050
27,51,171,167,97.66,4,2.34,27051
27,52,325,321,98.77,4,1.23,27052
27,53,311,265,85.21,46,14.79,27053
27,54,611,442,72.34,169,27.66,27054
27,55,349,345,98.85,4,1.15,27055
27,57,385,279,72.47,106,27.53,27057
27,58,172,116,67.44,56,32.56,27058
28,1,381,374,98.16,7,1.84,28001
28,2,412,395,95.87,17,4.13,28002
28,3,326,320,98.16,6,1.84,28003
28,4,405,404,99.75,1,0.25,28004
28,5,327,312,95.41,15,4.59,28005
28,6,272,269,98.9,3,1.1,28006
28,7,319,312,97.81,7,2.19,28007
28,8,352,348,98.86,4,1.14,28008
28,9,276,275,99.64,1,0.36,28009
28,10,91,91,100.0,0,0.0,28010
28,11,305,304,99.67,1,0.33,28011
28,12,306,303,99.02,3,0.98,28012
28,13,291,288,98.97,3,1.03,28013
28,14,252,250,99.21,2,0.79,28014
28,15,323,320,99.07,3,0.93,28015
28,16,333,330,99.1,3,0.9,28016
28,17,264,258,97.73,6,2.27,28017
28,18,468,463,98.93,5,1.07,28018
28,19,427,422,98.83,5,1.17,28019
28,20,350,347,99.14,3,0.86,28020
28,21,443,438,98.87,5,1.13,28021
28,22,313,305,97.44,8,2.56,28022
28,23,378,372,98.41,6,1.59,28023
28,24,285,282,98.95,3,1.05,28024
28,25,191,185,96.86,6,3.14,28025
28,26,341,337,98.83,4,1.17,28026
28,27,445,438,98.43,7,1.57,28027
28,28,234,229,97.86,5,2.14,28028
28,30,276,271,98.19,5,1.81,28030
28,31,338,335,99.11,3,0.89,28031
28,32,367,360,98.09,7,1.91,28032
28,33,409,405,99.02,4,0.98,28033
28,35,314,303,96.5,11,3.5,28035
28,36,300,299,99.67,1,0.33,28036
28,37,517,508,98.26,9,1.74,28037
28,39,340,339,99.71,1,0.29,28039
28,40,435,432,99.31,3,0.69,28040
28,41,382,377,98.69,5,1.31,28041
28,42,320,315,98.44,5,1.56,28042
28,43,448,437,97.54,11,2.46,28043
28,44,395,389,98.48,6,1.52,28044
28,45,403,400,99.26,3,0.74,28045
28,46,340,339,99.71,1,0.29,28046
28,47,345,332,96.23,13,3.77,28047
28,48,241,238,98.76,3,1.24,28048
28,49,260,257,98.85,3,1.15,28049
28,50,273,268,98.17,5,1.83,28050
28,51,312,307,98.4,5,1.6,28051
28,52,331,322,97.28,9,2.72,28052
28,53,229,206,89.96,23,10.04,28053
28,54,318,314,98.74,4,1.26,28054
28,55,324,320,98.77,4,1.23,28055
28,56,338,332,98.22,6,1.78,28056
28,57,300,295,98.33,5,1.67,28057
28,58,417,411,98.56,6,1.44,28058
28,59,250,248,99.2,2,0.8,28059
28,60,257,254,98.83,3,1.17,28060
28,61,278,258,92.81,20,7.19,28061
29,1,750,744,99.2,6,0.8,29001
29,3,509,505,99.21,4,0.79,29003
29,4,408,399,97.79,9,2.21,29004
29,5,425,422,99.29,3,0.71,29005
29,8,310,309,99.68,1,0.32,29008
29,11,445,435,97.75,10,2.25,29011
29,12,479,455,94.99,24,5.01,29012
29,13,451,447,99.11,4,0.89,29013
29,14,480,476,99.17,4,0.83,29014
29,15,410,404,98.54,6,1.46,29015
29,16,557,548,98.38,9,1.62,29016
29,17,340,336,98.82,4,1.18,29017
29,18,511,494,96.67,17,3.33,29018
29,19,625,610,97.6,15,2.4,29019
29,20,505,499,98.81,6,1.19,29020
29,21,506,496,98.02,10,1.98,29021
29,22,365,334,91.51,31,8.49,29022
29,23,435,433,99.54,2,0.46,29023
29,25,483,479,99.17,4,0.83,29025
29,26,378,373,98.68,5,1.32,29026
29,27,463,458,98.92,5,1.08,29027
29,28,566,560,98.94,6,1.06,29028
29,29,508,496,97.64,12,2.36,29029
29,31,441,434,98.41,7,1.59,29031
29,33,310,307,99.03,3,0.97,29033
29,34,315,285,90.48,30,9.52,29034
29,35,381,368,96.59,13,3.41,29035
29,36,536,530,98.88,6,1.12,29036
29,37,422,414,98.1,8,1.9,29037
29,38,388,385,99.23,3,0.77,29038
29,40,569,563,98.95,6,1.05,29040
29,41,467,463,99.14,4,0.86,29041
29,42,553,549,99.28,4,0.72,29042
29,43,523,518,99.04,5,0.96,29043
29,44,366,356,97.27,10,2.73,29044
29,45,384,379,98.7,5,1.3,29045
29,46,438,429,97.95,9,2.05,29046
29,47,555,531,95.68,24,4.32,29047
29,48,418,405,96.89,13,3.11,29048
29,49,613,606,98.86,7,1.14,29049
32,1,415,326,78.55,89,21.45,32001
32,6,491,375,76.37,116,23.63,32006
32,12,58,50,86.21,8,13.79,32012
32,17,195,157,80.51,38,19.49,32017
32,26,402,323,80.35,79,19.65,32026
32,37,1,1,100.0,0,0.0,32037
32,46,121,90,74.38,31,25.62,32046
32,50,550,341,62.0,209,38.0,32050
32,51,583,334,57.29,249,42.71,32051
36,23,178,153,85.96,25,14.04,36023
36,24,424,398,93.87,26,6.13,36024
36,44,286,235,82.17,51,17.83,36044
36,54,395,349,88.35,46,11.65,36054
37,2,437,415,94.97,22,5.03,37002
37,3,343,328,95.63,15,4.37,37003
37,4,528,510,96.59,18,3.41,37004
37,5,519,510,98.27,9,1.73,37005
37,6,517,510,98.65,7,1.35,37006
37,7,552,547,99.09,5,0.91,37007
37,8,492,477,96.95,15,3.05,37008
37,9,476,464,97.48,12,2.52,37009
37,10,407,392,96.31,15,3.69,37010
37,12,409,393,96.09,16,3.91,37012
37,13,430,417,96.98,13,3.02,37013
37,14,557,549,98.56,8,1.44,37014
37,15,492,485,98.58,7,1.42,37015
37,16,448,435,97.1,13,2.9,37016
37,17,479,473,98.75,6,1.25,37017
37,18,489,484,98.98,5,1.02,37018
37,20,474,467,98.52,7,1.48,37020
37,21,476,470,98.74,6,1.26,37021
37,22,364,360,98.9,4,1.1,37022
37,23,366,364,99.45,2,0.55,37023
37,24,497,491,98.79,6,1.21,37024
37,25,520,509,97.88,11,2.12,37025
37,26,519,514,99.04,5,0.96,37026
37,27,508,504,99.21,4,0.79,37027
37,28,464,453,97.63,11,2.37,37028
37,29,526,522,99.24,4,0.76,37029
37,30,292,282,96.58,10,3.42,37030
37,31,439,426,97.04,13,2.96,37031
37,32,495,491,99.19,4,0.81,37032
37,33,438,434,99.09,4,0.91,37033
37,34,472,465,98.52,7,1.48,37034
37,35,421,418,99.29,3,0.71,37035
37,36,461,454,98.48,7,1.52,37036
37,37,450,444,98.67,6,1.33,37037
37,38,548,544,99.27,4,0.73,37038
37,40,455,449,98.68,6,1.32,37040
37,41,493,487,98.78,6,1.22,37041
37,42,359,339,94.43,20,5.57,37042
37,43,434,420,96.77,14,3.23,37043
42,1,521,330,63.34,191,36.66,42001
42,2,381,282,74.02,99,25.98,42002
42,3,537,357,66.48,180,33.52,42003
42,4,437,255,58.35,182,41.65,42004
42,5,352,245,69.6,107,30.4,42005
42,6,626,406,64.86,220,35.14,42006
42,7,433,268,61.89,165,38.11,42007
42,8,552,355,64.31,197,35.69,42008
42,9,1244,881,70.82,363,29.18,42009
42,10,337,206,61.13,131,38.87,42010
42,11,480,259,53.96,221,46.04,42011
42,12,342,215,62.87,127,37.13,42012
42,13,564,349,61.88,215,38.12,42013
42,14,578,379,65.57,199,34.43,42014
42,15,484,305,63.02,179,36.98,42015
42,16,314,199,63.38,115,36.62,42016
42,17,825,610,73.94,215,26.06,42017
42,18,1033,653,63.21,380,36.79,42018
42,19,293,188,64.16,105,35.84,42019
42,20,363,238,65.56,125,34.44,42020
42,21,412,279,67.72,133,32.28,42021
42,22,554,344,62.09,210,37.91,42022
42,23,470,278,59.15,192,40.85,42023
42,24,556,339,60.97,217,39.03,42024
42,25,383,240,62.66,143,37.34,42025
42,26,427,334,78.22,93,21.78,42026
42,27,509,337,66.21,172,33.79,42027
42,28,406,272,67.0,134,33.0,42028
42,29,465,277,59.57,188,40.43,42029
42,30,354,221,62.43,133,37.57,42030
42,31,471,280,59.45,191,40.55,42031
42,32,452,301,66.59,151,33.41,42032
42,33,491,326,66.4,165,33.6,42033
42,34,419,297,70.88,122,29.12,42034
42,35,331,194,58.61,137,41.39,42035
42,36,475,311,65.47,164,34.53,42036
42,37,348,204,58.62,144,41.38,42037
42,38,355,199,56.06,156,43.94,42038
42,39,206,136,66.02,70,33.98,42039
42,40,433,257,59.35,176,40.65,42040
42,41,778,501,64.4,277,35.6,42041
42,42,290,165,56.9,125,43.1,42042
42,43,382,224,58.64,158,41.36,42043
42,44,715,461,64.48,254,35.52,42044
42,45,433,296,68.36,137,31.64,42045
42,46,463,301,65.01,162,34.99,42046
42,47,262,177,67.56,85,32.44,42047
42,48,406,216,53.2,190,46.8,42048
42,49,229,72,31.44,157,68.56,42049
42,50,562,320,56.94,242,43.06,42050
42,51,590,369,62.54,221,37.46,42051
42,52,245,153,62.45,92,37.55,42052
42,53,543,356,65.56,187,34.44,42053
42,54,396,259,65.4,137,34.6,42054
42,55,556,352,63.31,204,36.69,42055
42,56,726,409,56.34,317,43.66,42056
42,57,441,323,73.24,118,26.76,42057
42,58,440,262,59.55,178,40.45,42058
42,59,796,515,64.7,281,35.3,42059
42,60,324,226,69.75,98,30.25,42060
42,61,333,166,49.85,167,50.15,42061
42,62,253,163,64.43,90,35.57,42062
42,63,379,227,59.89,152,40.11,42063
42,64,205,155,75.61,50,24.39,42064
42,65,521,332,63.72,189,36.28,42065
42,66,495,328,66.26,167,33.74,42066
42,67,1097,677,61.71,420,38.29,42067
42,68,596,357,59.9,239,40.1,42068
42,69,455,341,74.95,114,25.05,42069
43,1,563,396,70.34,167,29.66,43001
43,3,512,319,62.3,193,37.7,43003
43,4,652,399,61.2,253,38.8,43004
43,5,509,313,61.49,196,38.51,43005
43,9,531,331,62.34,200,37.66,43009
43,10,534,320,59.93,214,40.07,43010
43,11,469,298,63.54,171,36.46,43011
43,13,330,216,65.45,114,34.55,43013
43,15,407,250,61.43,157,38.57,43015
43,16,476,295,61.97,181,38.03,43016
43,18,516,319,61.82,197,38.18,43018
43,19,473,311,65.75,162,34.25,43019
43,23,390,271,69.49,119,30.51,43023
43,24,558,357,63.98,201,36.02,43024
43,25,489,363,74.23,126,25.77,43025
43,26,371,221,59.57,150,40.43,43026
43,28,554,330,59.57,224,40.43,43028
43,30,430,298,69.3,132,30.7,43030
43,35,517,278,53.77,239,46.23,43035
43,36,470,292,62.13,178,37.87,43036
43,37,524,340,64.89,184,35.11,43037
43,39,328,187,57.01,141,42.99,43039
43,40,206,122,59.22,84,40.78,43040
43,41,326,211,64.72,115,35.28,43041
43,42,352,216,61.36,136,38.64,43042
43,46,479,237,49.48,242,50.52,43046
43,47,425,253,59.53,172,40.47,43047
43,49,466,316,67.81,150,32.19,43049
43,51,515,401,77.86,114,22.14,43051
43,52,493,291,59.03,202,40.97,43052
43,54,414,298,71.98,116,28.02,43054
43,55,429,339,79.02,90,20.98,43055
