ward,precinct,total,Jackie Marie Portman,Jackie Marie Portman Percent,precinct_id
16,22,208,208,100.0,16022
16,24,75,75,100.0,16024
16,25,154,154,100.0,16025
16,26,191,191,100.0,16026
16,27,186,186,100.0,16027
16,28,235,235,100.0,16028
16,29,182,182,100.0,16029
16,30,215,215,100.0,16030
16,31,214,214,100.0,16031
16,33,143,143,100.0,16033
16,34,179,179,100.0,16034
16,36,226,226,100.0,16036
16,37,152,152,100.0,16037
16,38,157,157,100.0,16038
16,40,196,196,100.0,16040
16,41,99,99,100.0,16041
16,43,260,260,100.0,16043
16,44,4,4,100.0,16044
17,1,148,148,100.0,17001
17,6,207,207,100.0,17006
17,8,189,189,100.0,17008
17,13,156,156,100.0,17013
17,14,219,219,100.0,17014
17,16,214,214,100.0,17016
17,17,185,185,100.0,17017
17,19,99,99,100.0,17019
17,34,194,194,100.0,17034
17,36,143,143,100.0,17036
17,39,185,185,100.0,17039
17,41,168,168,100.0,17041
17,42,192,192,100.0,17042
17,43,220,220,100.0,17043
17,45,182,182,100.0,17045
17,46,251,251,100.0,17046
17,49,166,166,100.0,17049
17,58,121,121,100.0,17058
20,1,271,271,100.0,20001
20,2,222,222,100.0,20002
20,3,218,218,100.0,20003
20,5,173,173,100.0,20005
20,6,327,327,100.0,20006
20,7,93,93,100.0,20007
20,9,276,276,100.0,20009
20,10,202,202,100.0,20010
20,11,164,164,100.0,20011
20,12,126,126,100.0,20012
20,13,130,130,100.0,20013
20,14,340,340,100.0,20014
20,16,311,311,100.0,20016
20,17,168,168,100.0,20017
20,18,199,199,100.0,20018
20,19,185,185,100.0,20019
20,20,152,152,100.0,20020
20,22,344,344,100.0,20022
20,23,331,331,100.0,20023
20,24,272,272,100.0,20024
20,25,193,193,100.0,20025
20,26,217,217,100.0,20026
20,27,211,211,100.0,20027
20,28,261,261,100.0,20028
20,29,288,288,100.0,20029
20,30,216,216,100.0,20030
20,31,309,309,100.0,20031
20,32,233,233,100.0,20032
20,33,277,277,100.0,20033
20,34,354,354,100.0,20034
20,35,145,145,100.0,20035
20,36,212,212,100.0,20036
20,37,226,226,100.0,20037
20,38,41,41,100.0,20038
20,39,190,190,100.0,20039
20,40,142,142,100.0,20040
20,41,4,4,100.0,20041
20,42,268,268,100.0,20042
20,43,73,73,100.0,20043
20,44,254,254,100.0,20044
20,45,149,149,100.0,20045
20,46,235,235,100.0,20046
20,47,206,206,100.0,20047
20,48,97,97,100.0,20048
20,49,193,193,100.0,20049
20,50,138,138,100.0,20050
