ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Antoine Members,Antoine Members Percent,precinct_id
6,43,481,471,97.92,10,2.08,06043
6,44,445,428,96.18,17,3.82,06044
6,45,361,351,97.23,10,2.77,06045
6,46,413,405,98.06,8,1.94,06046
6,47,459,452,98.47,7,1.53,06047
6,48,427,425,99.53,2,0.47,06048
6,49,471,463,98.3,8,1.7,06049
6,50,414,404,97.58,10,2.42,06050
6,51,322,314,97.52,8,2.48,06051
6,52,344,335,97.38,9,2.62,06052
6,53,419,411,98.09,8,1.91,06053
6,54,453,448,98.9,5,1.1,06054
6,55,455,447,98.24,8,1.76,06055
6,56,327,325,99.39,2,0.61,06056
6,57,275,269,97.82,6,2.18,06057
6,58,433,422,97.46,11,2.54,06058
6,59,393,380,96.69,13,3.31,06059
6,60,289,285,98.62,4,1.38,06060
6,61,295,291,98.64,4,1.36,06061
6,62,455,442,97.14,13,2.86,06062
6,63,416,409,98.32,7,1.68,06063
8,1,418,413,98.8,5,1.2,08001
8,2,228,226,99.12,2,0.88,08002
8,3,81,80,98.77,1,1.23,08003
8,6,399,397,99.5,2,0.5,08006
8,10,489,476,97.34,13,2.66,08010
8,11,402,393,97.76,9,2.24,08011
8,12,443,433,97.74,10,2.26,08012
8,13,360,354,98.33,6,1.67,08013
8,14,467,456,97.64,11,2.36,08014
8,16,392,386,98.47,6,1.53,08016
8,18,342,334,97.66,8,2.34,08018
8,20,329,327,99.39,2,0.61,08020
8,21,302,294,97.35,8,2.65,08021
8,22,396,388,97.98,8,2.02,08022
8,29,482,475,98.55,7,1.45,08029
8,30,352,346,98.3,6,1.7,08030
8,31,311,308,99.04,3,0.96,08031
8,33,385,382,99.22,3,0.78,08033
8,35,462,456,98.7,6,1.3,08035
8,37,530,525,99.06,5,0.94,08037
8,38,437,430,98.4,7,1.6,08038
8,40,446,438,98.21,8,1.79,08040
8,41,361,355,98.34,6,1.66,08041
8,43,402,392,97.51,10,2.49,08043
8,45,380,372,97.89,8,2.11,08045
8,48,358,347,96.93,11,3.07,08048
8,52,388,381,98.2,7,1.8,08052
8,53,458,446,97.38,12,2.62,08053
8,54,429,421,98.14,8,1.86,08054
8,55,538,524,97.4,14,2.6,08055
8,56,470,467,99.36,3,0.64,08056
8,58,420,418,99.52,2,0.48,08058
8,59,295,288,97.63,7,2.37,08059
8,61,370,369,99.73,1,0.27,08061
8,64,419,407,97.14,12,2.86,08064
8,67,274,270,98.54,4,1.46,08067
8,68,356,353,99.16,3,0.84,08068
8,69,323,319,98.76,4,1.24,08069
9,36,507,500,98.62,7,1.38,09036
9,47,467,460,98.5,7,1.5,09047
15,2,268,263,98.13,5,1.87,15002
15,3,309,300,97.09,9,2.91,15003
15,4,335,332,99.1,3,0.9,15004
15,5,316,316,100.0,0,0.0,15005
15,6,399,385,96.49,14,3.51,15006
15,7,321,319,99.38,2,0.62,15007
15,8,500,482,96.4,18,3.6,15008
15,9,355,343,96.62,12,3.38,15009
15,11,414,406,98.07,8,1.93,15011
15,12,194,194,100.0,0,0.0,15012
15,17,298,294,98.66,4,1.34,15017
15,18,217,212,97.7,5,2.3,15018
15,19,289,284,98.27,5,1.73,15019
15,20,233,227,97.42,6,2.58,15020
15,21,296,289,97.64,7,2.36,15021
15,22,446,430,96.41,16,3.59,15022
15,23,246,242,98.37,4,1.63,15023
15,24,319,299,93.73,20,6.27,15024
15,26,293,288,98.29,5,1.71,15026
15,27,265,259,97.74,6,2.26,15027
15,29,178,175,98.31,3,1.69,15029
15,30,383,371,96.87,12,3.13,15030
15,31,271,265,97.79,6,2.21,15031
15,33,295,288,97.63,7,2.37,15033
15,34,243,239,98.35,4,1.65,15034
15,35,318,313,98.43,5,1.57,15035
15,36,280,273,97.5,7,2.5,15036
15,37,253,249,98.42,4,1.58,15037
15,38,311,304,97.75,7,2.25,15038
15,39,328,320,97.56,8,2.44,15039
15,40,316,313,99.05,3,0.95,15040
15,41,449,427,95.1,22,4.9,15041
15,42,225,220,97.78,5,2.22,15042
15,43,289,281,97.23,8,2.77,15043
15,45,208,198,95.19,10,4.81,15045
15,46,241,238,98.76,3,1.24,15046
15,47,352,347,98.58,5,1.42,15047
15,48,266,254,95.49,12,4.51,15048
15,49,205,189,92.2,16,7.8,15049
15,50,306,291,95.1,15,4.9,15050
15,51,245,239,97.55,6,2.45,15051
15,52,263,259,98.48,4,1.52,15052
16,2,261,254,97.32,7,2.68,16002
16,3,320,317,99.06,3,0.94,16003
16,5,322,321,99.69,1,0.31,16005
16,8,373,359,96.25,14,3.75,16008
16,9,357,350,98.04,7,1.96,16009
16,10,547,534,97.62,13,2.38,16010
16,12,261,251,96.17,10,3.83,16012
16,14,320,315,98.44,5,1.56,16014
16,19,404,395,97.77,9,2.23,16019
16,24,175,172,98.29,3,1.71,16024
16,25,239,236,98.74,3,1.26,16025
16,26,321,316,98.44,5,1.56,16026
16,27,313,311,99.36,2,0.64,16027
16,28,388,385,99.23,3,0.77,16028
16,31,367,363,98.91,4,1.09,16031
16,34,293,286,97.61,7,2.39,16034
16,36,346,340,98.27,6,1.73,16036
16,37,239,236,98.74,3,1.26,16037
16,38,251,247,98.41,4,1.59,16038
16,40,348,336,96.55,12,3.45,16040
16,41,181,178,98.34,3,1.66,16041
16,43,403,397,98.51,6,1.49,16043
16,44,337,320,94.96,17,5.04,16044
17,1,252,246,97.62,6,2.38,17001
17,2,430,416,96.74,14,3.26,17002
17,3,283,278,98.23,5,1.77,17003
17,4,473,464,98.1,9,1.9,17004
17,5,302,298,98.68,4,1.32,17005
17,6,336,331,98.51,5,1.49,17006
17,7,448,445,99.33,3,0.67,17007
17,8,308,307,99.68,1,0.32,17008
17,9,258,255,98.84,3,1.16,17009
17,10,348,341,97.99,7,2.01,17010
17,11,410,404,98.54,6,1.46,17011
17,12,473,464,98.1,9,1.9,17012
17,13,261,256,98.08,5,1.92,17013
17,14,335,329,98.21,6,1.79,17014
17,15,445,434,97.53,11,2.47,17015
17,16,351,346,98.58,5,1.42,17016
17,17,305,301,98.69,4,1.31,17017
17,18,382,378,98.95,4,1.05,17018
17,19,178,175,98.31,3,1.69,17019
17,20,363,359,98.9,4,1.1,17020
17,21,395,386,97.72,9,2.28,17021
17,22,379,373,98.42,6,1.58,17022
17,23,254,249,98.03,5,1.97,17023
17,24,409,394,96.33,15,3.67,17024
17,25,275,272,98.91,3,1.09,17025
17,26,450,442,98.22,8,1.78,17026
17,27,489,482,98.57,7,1.43,17027
17,28,332,327,98.49,5,1.51,17028
17,29,374,363,97.06,11,2.94,17029
17,30,401,399,99.5,2,0.5,17030
17,31,340,335,98.53,5,1.47,17031
17,32,407,400,98.28,7,1.72,17032
17,33,289,289,100.0,0,0.0,17033
17,34,305,298,97.7,7,2.3,17034
17,35,226,224,99.12,2,0.88,17035
17,36,243,240,98.77,3,1.23,17036
17,37,320,313,97.81,7,2.19,17037
17,38,405,394,97.28,11,2.72,17038
17,39,312,307,98.4,5,1.6,17039
17,40,331,320,96.68,11,3.32,17040
17,41,277,272,98.19,5,1.81,17041
17,42,303,299,98.68,4,1.32,17042
17,43,342,338,98.83,4,1.17,17043
17,44,270,268,99.26,2,0.74,17044
17,45,272,267,98.16,5,1.84,17045
17,46,388,384,98.97,4,1.03,17046
17,47,226,225,99.56,1,0.44,17047
17,48,438,433,98.86,5,1.14,17048
17,49,262,260,99.24,2,0.76,17049
17,50,417,411,98.56,6,1.44,17050
17,51,437,430,98.4,7,1.6,17051
17,52,493,483,97.97,10,2.03,17052
17,53,322,316,98.14,6,1.86,17053
17,54,376,370,98.4,6,1.6,17054
17,55,323,316,97.83,7,2.17,17055
17,56,371,367,98.92,4,1.08,17056
17,57,381,375,98.43,6,1.57,17057
17,58,314,309,98.41,5,1.59,17058
17,59,218,215,98.62,3,1.38,17059
17,60,442,438,99.1,4,0.9,17060
17,61,325,321,98.77,4,1.23,17061
17,62,301,293,97.34,8,2.66,17062
17,63,345,336,97.39,9,2.61,17063
17,64,261,258,98.85,3,1.15,17064
18,1,234,217,92.74,17,7.26,18001
18,2,395,367,92.91,28,7.09,18002
18,4,425,404,95.06,21,4.94,18004
18,5,446,440,98.65,6,1.35,18005
18,7,386,344,89.12,42,10.88,18007
18,8,196,192,97.96,4,2.04,18008
18,9,422,394,93.36,28,6.64,18009
18,10,564,543,96.28,21,3.72,18010
18,11,385,330,85.71,55,14.29,18011
18,12,478,449,93.93,29,6.07,18012
18,13,487,456,93.63,31,6.37,18013
18,14,451,428,94.9,23,5.1,18014
18,16,471,451,95.75,20,4.25,18016
18,17,406,370,91.13,36,8.87,18017
18,18,345,337,97.68,8,2.32,18018
18,19,472,465,98.52,7,1.48,18019
18,20,407,395,97.05,12,2.95,18020
18,21,580,549,94.66,31,5.34,18021
18,22,506,484,95.65,22,4.35,18022
18,23,372,351,94.35,21,5.65,18023
18,24,453,440,97.13,13,2.87,18024
18,25,438,430,98.17,8,1.83,18025
18,26,327,311,95.11,16,4.89,18026
18,27,470,442,94.04,28,5.96,18027
18,29,420,358,85.24,62,14.76,18029
18,30,381,379,99.48,2,0.52,18030
18,31,436,408,93.58,28,6.42,18031
18,32,506,500,98.81,6,1.19,18032
18,33,392,382,97.45,10,2.55,18033
18,34,505,472,93.47,33,6.53,18034
18,35,506,473,93.48,33,6.52,18035
18,36,313,277,88.5,36,11.5,18036
18,37,341,325,95.31,16,4.69,18037
18,38,468,461,98.5,7,1.5,18038
18,39,430,410,95.35,20,4.65,18039
18,40,482,459,95.23,23,4.77,18040
18,42,380,344,90.53,36,9.47,18042
18,44,288,262,90.97,26,9.03,18044
18,45,405,395,97.53,10,2.47,18045
18,46,452,449,99.34,3,0.66,18046
18,47,451,431,95.57,20,4.43,18047
18,49,379,372,98.15,7,1.85,18049
18,50,472,452,95.76,20,4.24,18050
18,51,542,535,98.71,7,1.29,18051
18,52,441,433,98.19,8,1.81,18052
18,53,344,331,96.22,13,3.78,18053
18,54,457,441,96.5,16,3.5,18054
18,58,486,476,97.94,10,2.06,18058
18,59,346,338,97.69,8,2.31,18059
18,60,523,513,98.09,10,1.91,18060
18,61,389,383,98.46,6,1.54,18061
19,28,510,478,93.73,32,6.27,19028
19,43,572,549,95.98,23,4.02,19043
19,48,419,406,96.9,13,3.1,19048
19,50,599,589,98.33,10,1.67,19050
19,60,434,419,96.54,15,3.46,19060
19,66,530,512,96.6,18,3.4,19066
20,1,415,410,98.8,5,1.2,20001
20,2,355,352,99.15,3,0.85,20002
20,3,361,353,97.78,8,2.22,20003
20,5,270,264,97.78,6,2.22,20005
20,6,494,488,98.79,6,1.21,20006
20,7,140,140,100.0,0,0.0,20007
20,9,447,433,96.87,14,3.13,20009
20,10,342,334,97.66,8,2.34,20010
20,11,309,303,98.06,6,1.94,20011
20,12,233,228,97.85,5,2.15,20012
20,13,244,240,98.36,4,1.64,20013
20,14,540,534,98.89,6,1.11,20014
20,16,482,465,96.47,17,3.53,20016
20,17,300,295,98.33,5,1.67,20017
20,18,292,290,99.32,2,0.68,20018
20,19,322,318,98.76,4,1.24,20019
20,20,238,233,97.9,5,2.1,20020
20,22,511,494,96.67,17,3.33,20022
20,23,545,538,98.72,7,1.28,20023
20,24,440,423,96.14,17,3.86,20024
20,25,316,310,98.1,6,1.9,20025
20,26,322,317,98.45,5,1.55,20026
20,28,397,390,98.24,7,1.76,20028
20,29,454,438,96.48,16,3.52,20029
20,30,351,331,94.3,20,5.7,20030
20,32,357,343,96.08,14,3.92,20032
20,33,465,456,98.06,9,1.94,20033
20,34,539,511,94.81,28,5.19,20034
20,35,250,246,98.4,4,1.6,20035
20,36,333,326,97.9,7,2.1,20036
20,37,402,395,98.26,7,1.74,20037
20,38,69,68,98.55,1,1.45,20038
20,39,355,350,98.59,5,1.41,20039
20,42,413,401,97.09,12,2.91,20042
20,43,107,107,100.0,0,0.0,20043
20,44,398,387,97.24,11,2.76,20044
20,46,364,356,97.8,8,2.2,20046
20,47,335,328,97.91,7,2.09,20047
20,49,286,266,93.01,20,6.99,20049
20,50,241,237,98.34,4,1.66,20050
21,1,566,555,98.06,11,1.94,21001
21,2,439,431,98.18,8,1.82,21002
21,3,357,348,97.48,9,2.52,21003
21,4,459,449,97.82,10,2.18,21004
21,5,400,394,98.5,6,1.5,21005
21,6,387,382,98.71,5,1.29,21006
21,7,431,417,96.75,14,3.25,21007
21,8,477,468,98.11,9,1.89,21008
21,9,505,499,98.81,6,1.19,21009
21,10,349,343,98.28,6,1.72,21010
21,11,431,422,97.91,9,2.09,21011
21,12,434,419,96.54,15,3.46,21012
21,13,233,228,97.85,5,2.15,21013
21,14,440,435,98.86,5,1.14,21014
21,15,407,402,98.77,5,1.23,21015
21,16,421,407,96.67,14,3.33,21016
21,17,409,403,98.53,6,1.47,21017
21,18,362,354,97.79,8,2.21,21018
21,19,345,341,98.84,4,1.16,21019
21,20,238,235,98.74,3,1.26,21020
21,21,488,478,97.95,10,2.05,21021
21,22,376,369,98.14,7,1.86,21022
21,23,330,325,98.48,5,1.52,21023
21,24,440,431,97.95,9,2.05,21024
21,25,303,300,99.01,3,0.99,21025
21,26,306,302,98.69,4,1.31,21026
21,27,411,404,98.3,7,1.7,21027
21,28,335,330,98.51,5,1.49,21028
21,29,247,244,98.79,3,1.21,21029
21,30,309,306,99.03,3,0.97,21030
21,31,544,532,97.79,12,2.21,21031
21,32,457,447,97.81,10,2.19,21032
21,33,422,419,99.29,3,0.71,21033
21,34,498,493,99.0,5,1.0,21034
21,35,275,268,97.45,7,2.55,21035
21,36,408,395,96.81,13,3.19,21036
21,37,484,475,98.14,9,1.86,21037
21,38,417,413,99.04,4,0.96,21038
21,39,354,347,98.02,7,1.98,21039
21,40,338,334,98.82,4,1.18,21040
21,41,367,362,98.64,5,1.36,21041
21,42,393,381,96.95,12,3.05,21042
21,43,409,400,97.8,9,2.2,21043
21,44,418,409,97.85,9,2.15,21044
21,45,353,345,97.73,8,2.27,21045
21,46,344,338,98.26,6,1.74,21046
21,47,447,439,98.21,8,1.79,21047
21,48,570,562,98.6,8,1.4,21048
21,49,479,469,97.91,10,2.09,21049
21,50,400,396,99.0,4,1.0,21050
21,51,432,426,98.61,6,1.39,21051
21,52,449,443,98.66,6,1.34,21052
21,53,421,409,97.15,12,2.85,21053
21,54,344,335,97.38,9,2.62,21054
21,55,473,465,98.31,8,1.69,21055
21,56,326,319,97.85,7,2.15,21056
21,57,404,398,98.51,6,1.49,21057
21,58,322,318,98.76,4,1.24,21058
21,59,528,516,97.73,12,2.27,21059
21,60,419,409,97.61,10,2.39,21060
21,61,480,471,98.13,9,1.88,21061
21,62,394,384,97.46,10,2.54,21062
21,63,374,371,99.2,3,0.8,21063
21,64,254,246,96.85,8,3.15,21064
21,65,473,460,97.25,13,2.75,21065
21,66,318,310,97.48,8,2.52,21066
21,67,431,424,98.38,7,1.62,21067
21,68,427,421,98.59,6,1.41,21068
21,69,354,351,99.15,3,0.85,21069
21,70,399,392,98.25,7,1.75,21070
21,71,330,325,98.48,5,1.52,21071
21,72,433,427,98.61,6,1.39,21072
21,73,556,544,97.84,12,2.16,21073
21,74,200,196,98.0,4,2.0,21074
34,8,504,497,98.61,7,1.39,34008
34,13,563,554,98.4,9,1.6,34013
34,19,110,108,98.18,2,1.82,34019
34,29,427,422,98.83,5,1.17,34029
34,33,244,242,99.18,2,0.82,34033
34,44,29,27,93.1,2,6.9,34044
34,45,454,445,98.02,9,1.98,34045
34,47,291,288,98.97,3,1.03,34047
34,51,670,657,98.06,13,1.94,34051
34,55,501,492,98.2,9,1.8,34055
34,57,536,526,98.13,10,1.87,34057
34,58,423,418,98.82,5,1.18,34058
