ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,Jay Valko,Jay Valko Percent,precinct_id
43,48,523,386,73.8,137,26.2,43048
43,49,445,326,73.26,119,26.74,43049
43,50,402,295,73.38,107,26.62,43050
43,52,467,291,62.31,176,37.69,43052
43,53,504,385,76.39,119,23.61,43053
43,56,425,290,68.24,135,31.76,43056
43,57,458,348,75.98,110,24.02,43057
43,58,431,334,77.49,97,22.51,43058
43,59,369,291,78.86,78,21.14,43059
44,1,382,296,77.49,86,22.51,44001
44,2,346,273,78.9,73,21.1,44002
44,3,397,334,84.13,63,15.87,44003
44,4,390,319,81.79,71,18.21,44004
44,5,637,533,83.67,104,16.33,44005
44,6,637,500,78.49,137,21.51,44006
44,7,472,366,77.54,106,22.46,44007
44,8,285,233,81.75,52,18.25,44008
44,9,486,354,72.84,132,27.16,44009
44,10,468,365,77.99,103,22.01,44010
44,11,600,440,73.33,160,26.67,44011
44,12,375,302,80.53,73,19.47,44012
44,13,396,298,75.25,98,24.75,44013
44,14,508,395,77.76,113,22.24,44014
44,15,611,508,83.14,103,16.86,44015
44,16,625,504,80.64,121,19.36,44016
44,17,519,444,85.55,75,14.45,44017
44,18,463,337,72.79,126,27.21,44018
44,19,349,281,80.52,68,19.48,44019
44,20,624,485,77.72,139,22.28,44020
44,21,722,622,86.15,100,13.85,44021
44,22,508,422,83.07,86,16.93,44022
44,23,548,448,81.75,100,18.25,44023
44,24,420,334,79.52,86,20.48,44024
44,25,622,467,75.08,155,24.92,44025
44,26,497,399,80.28,98,19.72,44026
44,27,723,538,74.41,185,25.59,44027
44,28,458,322,70.31,136,29.69,44028
44,29,692,531,76.73,161,23.27,44029
44,30,479,410,85.59,69,14.41,44030
44,31,674,492,73.0,182,27.0,44031
44,32,393,339,86.26,54,13.74,44032
44,33,717,644,89.82,73,10.18,44033
44,34,386,313,81.09,73,18.91,44034
44,35,350,276,78.86,74,21.14,44035
44,36,636,501,78.77,135,21.23,44036
44,37,604,506,83.77,98,16.23,44037
44,38,579,410,70.81,169,29.19,44038
44,39,670,471,70.3,199,29.7,44039
44,40,610,464,76.07,146,23.93,44040
44,41,521,410,78.69,111,21.31,44041
44,42,683,550,80.53,133,19.47,44042
44,43,693,515,74.31,178,25.69,44043
44,44,600,514,85.67,86,14.33,44044
44,45,695,554,79.71,141,20.29,44045
44,46,371,309,83.29,62,16.71,44046
44,47,787,566,71.92,221,28.08,44047
44,48,286,220,76.92,66,23.08,44048
44,49,698,556,79.66,142,20.34,44049
44,50,614,448,72.96,166,27.04,44050
44,51,495,359,72.53,136,27.47,44051
46,1,635,535,84.25,100,15.75,46001
46,3,574,497,86.59,77,13.41,46003
46,5,474,392,82.7,82,17.3,46005
46,10,449,361,80.4,88,19.6,46010
46,13,536,404,75.37,132,24.63,46013
46,15,549,431,78.51,118,21.49,46015
46,17,566,462,81.63,104,18.37,46017
46,18,490,402,82.04,88,17.96,46018
46,24,527,428,81.21,99,18.79,46024
46,28,617,481,77.96,136,22.04,46028
46,29,391,319,81.59,72,18.41,46029
46,30,494,395,79.96,99,20.04,46030
46,31,518,432,83.4,86,16.6,46031
46,33,524,436,83.21,88,16.79,46033
46,36,427,347,81.26,80,18.74,46036
46,37,413,334,80.87,79,19.13,46037
46,43,644,545,84.63,99,15.37,46043
46,44,442,393,88.91,49,11.09,46044
47,1,574,507,88.33,67,11.67,47001
47,2,336,272,80.95,64,19.05,47002
47,3,374,303,81.02,71,18.98,47003
47,4,476,394,82.77,82,17.23,47004
47,6,522,430,82.38,92,17.62,47006
47,7,469,362,77.19,107,22.81,47007
47,8,568,473,83.27,95,16.73,47008
47,9,338,287,84.91,51,15.09,47009
47,12,473,400,84.57,73,15.43,47012
47,13,595,527,88.57,68,11.43,47013
47,14,380,313,82.37,67,17.63,47014
47,15,573,526,91.8,47,8.2,47015
47,16,434,371,85.48,63,14.52,47016
47,17,468,384,82.05,84,17.95,47017
47,18,556,455,81.83,101,18.17,47018
47,21,484,423,87.4,61,12.6,47021
47,24,610,449,73.61,161,26.39,47024
47,25,639,505,79.03,134,20.97,47025
47,27,510,434,85.1,76,14.9,47027
47,29,569,468,82.25,101,17.75,47029
47,35,736,607,82.47,129,17.53,47035
47,40,509,439,86.25,70,13.75,47040
47,42,452,399,88.27,53,11.73,47042
47,43,363,278,76.58,85,23.42,47043
47,44,529,394,74.48,135,25.52,47044
47,46,414,342,82.61,72,17.39,47046
47,47,468,383,81.84,85,18.16,47047
47,48,57,53,92.98,4,7.02,47048
47,49,333,265,79.58,68,20.42,47049
47,50,533,424,79.55,109,20.45,47050
47,51,293,241,82.25,52,17.75,47051
47,52,190,161,84.74,29,15.26,47052
