ward,precinct,total,Eileen O'Neill Burke,Eileen O'Neill Burke Percent,precinct_id
47,14,244,244,100.0,47014
47,16,284,284,100.0,47016
47,17,308,308,100.0,47017
47,19,330,330,100.0,47019
47,20,379,379,100.0,47020
47,21,31,31,100.0,47021
47,22,287,287,100.0,47022
47,25,329,329,100.0,47025
47,26,584,584,100.0,47026
47,27,329,329,100.0,47027
47,28,401,401,100.0,47028
47,29,354,354,100.0,47029
47,30,374,374,100.0,47030
47,31,380,380,100.0,47031
47,32,375,375,100.0,47032
47,33,350,350,100.0,47033
47,34,428,428,100.0,47034
47,35,476,476,100.0,47035
47,36,547,547,100.0,47036
47,37,424,424,100.0,47037
47,38,376,376,100.0,47038
47,39,369,369,100.0,47039
47,42,302,302,100.0,47042
47,43,232,232,100.0,47043
47,45,318,318,100.0,47045
47,46,254,254,100.0,47046
47,47,281,281,100.0,47047
47,48,37,37,100.0,47048
47,49,216,216,100.0,47049
47,50,271,271,100.0,47050
47,51,183,183,100.0,47051
47,52,111,111,100.0,47052
48,49,54,54,100.0,48049
50,8,220,220,100.0,50008
50,23,147,147,100.0,50023
50,29,268,268,100.0,50029
50,45,37,37,100.0,50045
