ward,precinct,total,SUSANA A. MENDOZA,SUSANA A. MENDOZA Percent,precinct_id
3,35,95,95,100.0,03035
3,36,110,110,100.0,03036
3,37,178,178,100.0,03037
3,38,265,265,100.0,03038
3,39,176,176,100.0,03039
3,40,252,252,100.0,03040
3,41,240,240,100.0,03041
4,1,281,281,100.0,04001
4,2,224,224,100.0,04002
4,3,209,209,100.0,04003
4,4,284,284,100.0,04004
4,5,263,263,100.0,04005
4,6,350,350,100.0,04006
4,7,312,312,100.0,04007
4,8,302,302,100.0,04008
4,9,395,395,100.0,04009
4,10,284,284,100.0,04010
4,11,223,223,100.0,04011
4,12,236,236,100.0,04012
4,13,114,114,100.0,04013
4,14,258,258,100.0,04014
4,15,295,295,100.0,04015
4,16,198,198,100.0,04016
4,17,207,207,100.0,04017
4,18,251,251,100.0,04018
4,19,212,212,100.0,04019
4,20,227,227,100.0,04020
4,21,188,188,100.0,04021
4,22,273,273,100.0,04022
4,23,301,301,100.0,04023
4,24,205,205,100.0,04024
4,25,221,221,100.0,04025
4,26,251,251,100.0,04026
4,27,242,242,100.0,04027
4,28,287,287,100.0,04028
4,29,206,206,100.0,04029
4,30,279,279,100.0,04030
4,31,324,324,100.0,04031
4,32,248,248,100.0,04032
4,33,272,272,100.0,04033
4,34,205,205,100.0,04034
4,35,339,339,100.0,04035
4,36,282,282,100.0,04036
4,37,246,246,100.0,04037
4,38,316,316,100.0,04038
5,1,177,177,100.0,05001
5,2,191,191,100.0,05002
5,3,206,206,100.0,05003
5,4,244,244,100.0,05004
5,5,236,236,100.0,05005
5,6,196,196,100.0,05006
5,7,222,222,100.0,05007
5,8,227,227,100.0,05008
5,9,262,262,100.0,05009
5,10,173,173,100.0,05010
5,11,276,276,100.0,05011
5,12,166,166,100.0,05012
5,13,211,211,100.0,05013
5,14,259,259,100.0,05014
5,15,221,221,100.0,05015
5,16,221,221,100.0,05016
5,17,177,177,100.0,05017
5,18,216,216,100.0,05018
5,19,231,231,100.0,05019
5,20,279,279,100.0,05020
5,21,206,206,100.0,05021
5,22,295,295,100.0,05022
5,23,345,345,100.0,05023
5,24,221,221,100.0,05024
5,25,239,239,100.0,05025
5,26,210,210,100.0,05026
5,27,170,170,100.0,05027
5,28,279,279,100.0,05028
5,29,280,280,100.0,05029
5,30,149,149,100.0,05030
5,31,179,179,100.0,05031
5,32,288,288,100.0,05032
5,33,264,264,100.0,05033
5,34,236,236,100.0,05034
